sequence,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUByQB+GB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUB2QBqGB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?iWBMPBvSB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhFJRBtWB?3XBSeBMUB+LB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?aZBGYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?eZBSYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhEvWBJGB?0XB+ZBqNB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SBKLB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SByQB
IJLOZST,O,O,O,O,O,O,O,O,O
IJSTLZO,X,O,X,O,O,O,X,X,X
IJSTLOZ,X,O,X,O,X,X,X,X,X
IJSTZLO,X,O,X,X,O,O,X,X,X
IJSTZOL,X,O,X,X,X,O,X,X,X
IJSTOLZ,X,O,X,O,X,O,X,X,X
IJSTOZL,X,O,X,O,X,O,O,X,X
IJSLTZO,O,O,X,O,O,O,X,X,X
IJSLTOZ,O,O,X,O,X,X,X,X,X
IJSLZTO,O,O,X,O,O,O,X,X,X
IJSLZOT,O,O,X,O,O,O,X,X,X
IJSLOTZ,O,O,X,O,O,O,X,X,X
IJSLOZT,O,O,X,O,O,O,O,X,X
IJSZTLO,X,O,X,X,O,O,X,X,X
IJSZTOL,X,O,X,X,X,O,X,X,X
IJSZLTO,O,O,X,X,O,O,X,X,X
IJSZLOT,O,O,X,X,O,O,X,X,X
IJSZOTL,X,O,X,X,O,O,O,X,X
IJSZOLT,O,O,X,X,O,O,O,X,X
IJSOTLZ,X,O,X,O,O,O,X,X,X
IJSOTZL,X,O,X,O,O,O,O,X,X
IJSOLTZ,O,O,X,O,O,O,X,X,X
IJSOLZT,O,O,X,O,O,O,O,X,X
IJSOZTL,X,O,X,O,O,O,O,X,X
IJSOZLT,O,O,X,O,O,O,O,X,X
IJZTLSO,X,O,X,O,O,O,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X,X
IJZTSLO,X,O,X,X,O,O,X,X,X
IJZTSOL,X,O,X,X,X,O,X,X,X
IJZTOLS,X,O,X,O,X,O,X,X,X
IJZTOSL,X,O,X,O,X,O,X,X,X
IJZLTSO,O,O,X,O,O,O,X,X,X
IJZLTOS,O,O,X,O,X,X,X,X,X
IJZLSTO,O,O,X,O,O,O,X,X,X
IJZLSOT,O,O,X,O,O,O,X,X,X
IJZLOTS,O,O,O,O,O,O,X,O,O
IJZLOST,O,O,O,O,O,O,X,O,O
IJZSTLO,X,O,X,X,O,O,X,X,X
IJZSTOL,X,O,X,X,X,O,X,X,X
IJZSLTO,O,O,X,X,O,O,X,X,X
IJZSLOT,O,O,X,X,O,O,X,X,X
IJZSOTL,X,O,X,X,O,O,O,X,X
IJZSOLT,O,O,X,X,O,O,O,X,X
IJZOTLS,X,O,O,O,O,O,O,O,O
IJZOTSL,X,O,O,O,O,O,O,O,O
IJZOLTS,O,O,O,O,O,O,O,O,O
IJZOLST,O,O,O,O,O,O,O,O,O
IJZOSTL,X,O,O,O,O,O,O,O,O
IJZOSLT,O,O,O,O,O,O,O,O,O
IJOTLSZ,X,O,O,O,O,O,X,O,X
IJOTLZS,X,O,O,O,O,O,X,O,X
IJOTSLZ,X,O,O,O,O,O,X,O,X
IJOTSZL,X,O,O,O,O,O,O,O,O
IJOTZLS,X,O,O,O,O,O,O,O,O
IJOTZSL,X,O,O,O,O,O,O,O,O
IJOLTSZ,O,O,O,O,O,O,X,O,X
IJOLTZS,O,O,O,O,O,O,X,O,X
IJOLSTZ,O,O,O,O,O,O,X,O,X
IJOLSZT,O,O,O,O,O,O,O,O,O
IJOLZTS,O,O,O,O,O,O,O,O,O
IJOLZST,O,O,O,O,O,O,O,O,O
IJOSTLZ,X,O,O,O,O,O,X,O,X
IJOSTZL,X,O,O,O,O,O,O,O,O
IJOSLTZ,O,O,O,O,O,O,X,O,X
IJOSLZT,O,O,O,O,O,O,O,O,O
IJOSZTL,X,O,O,O,O,O,O,O,O
IJOSZLT,O,O,O,O,O,O,O,O,O
IJOZTLS,X,O,O,O,O,O,O,O,O
IJOZTSL,X,O,O,O,O,O,O,O,O
IJOZLTS,O,O,O,O,O,O,O,O,O
IJOZLST,O,O,O,O,O,O,O,O,O
IJOZSTL,X,O,O,O,O,O,O,O,O
IJOZSLT,O,O,O,O,O,O,O,O,O
ISTLJZO,O,X,X,O,O,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,X,X,X
ISTLZJO,O,X,X,O,O,X,X,X,X
ISTLZOJ,O,X,X,O,O,X,X,X,X
ISTLOJZ,O,X,X,O,O,X,X,X,X
ISTLOZJ,O,X,X,O,O,X,X,X,X
ISTJLZO,X,O,X,O,O,O,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,X,X
ISTJZLO,X,O,X,X,O,O,X,X,X
ISTJZOL,X,O,X,X,X,O,X,X,X
ISTJOLZ,X,O,X,O,X,O,X,X,X
ISTJOZL,X,O,X,O,X,O,O,X,X
ISTZLJO,O,X,X,X,O,X,X,X,X
ISTZLOJ,O,X,X,X,O,X,X,X,X
ISTZJLO,X,O,X,X,O,O,X,X,X
ISTZJOL,X,O,X,X,X,O,X,X,X
ISTZOLJ,O,X,X,X,O,X,X,X,X
ISTZOJL,X,O,X,X,O,O,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,X,X
ISTOLZJ,O,X,X,O,O,X,X,X,X
ISTOJLZ,X,O,X,O,O,O,X,X,X
ISTOJZL,X,O,X,O,O,O,O,X,X
ISTOZLJ,O,X,X,O,O,X,O,X,X
ISTOZJL,X,O,X,O,O,O,O,X,X
ISLTJZO,O,X,X,O,O,X,X,X,X
ISLTJOZ,O,X,X,O,X,X,X,X,X
ISLTZJO,O,X,X,O,O,X,X,X,X
ISLTZOJ,O,X,X,O,O,X,X,X,X
ISLTOJZ,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,X,X,O,O,X,X,X,X
ISLJTZO,O,O,X,O,O,O,X,X,X
ISLJTOZ,O,O,X,O,X,X,X,X,X
ISLJZTO,O,O,X,O,O,O,X,X,X
ISLJZOT,O,O,X,O,O,O,X,X,X
ISLJOTZ,O,O,X,O,O,O,X,X,X
ISLJOZT,O,O,X,O,O,O,O,X,X
ISLZTJO,O,X,X,O,O,X,X,X,X
ISLZTOJ,O,X,X,O,O,X,X,X,X
ISLZJTO,O,O,X,O,O,O,X,X,X
ISLZJOT,O,O,X,O,O,O,X,X,X
ISLZOTJ,O,X,X,O,O,X,X,X,X
ISLZOJT,O,O,X,O,O,O,X,X,X
ISLOTJZ,O,X,X,O,O,X,X,X,X
ISLOTZJ,O,X,X,O,O,X,X,X,X
ISLOJTZ,O,O,X,O,O,O,X,X,X
ISLOJZT,O,O,X,O,O,O,O,X,X
ISLOZTJ,O,X,X,O,O,X,O,X,X
ISLOZJT,O,O,X,O,O,O,O,X,X
ISJTLZO,X,O,X,O,O,O,X,X,X
ISJTLOZ,X,O,X,O,X,X,X,X,X
ISJTZLO,X,O,X,X,O,O,X,X,X
ISJTZOL,X,O,X,X,X,O,X,X,X
ISJTOLZ,X,O,X,O,X,O,X,X,X
ISJTOZL,X,O,X,O,X,O,O,X,X
ISJLTZO,O,O,X,O,O,O,X,X,X
ISJLTOZ,O,O,X,O,X,X,X,X,X
ISJLZTO,O,O,X,O,O,O,X,X,X
ISJLZOT,O,O,X,O,O,O,X,X,X
ISJLOTZ,O,O,X,O,O,O,X,X,X
ISJLOZT,O,O,X,O,O,O,O,X,X
ISJZTLO,X,O,X,X,O,O,X,X,X
ISJZTOL,X,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,X,O,O,X,X,X
ISJZLOT,O,O,X,X,O,O,X,X,X
ISJZOTL,X,O,X,X,O,O,O,X,X
ISJZOLT,O,O,X,X,O,O,O,X,X
ISJOTLZ,X,O,X,O,O,O,X,X,X
ISJOTZL,X,O,X,O,O,O,O,X,X
ISJOLTZ,O,O,X,O,O,O,X,X,X
ISJOLZT,O,O,X,O,O,O,O,X,X
ISJOZTL,X,O,X,O,O,O,O,X,X
ISJOZLT,O,O,X,O,O,O,O,X,X
ISZTLJO,O,X,X,X,O,X,X,X,X
ISZTLOJ,O,X,X,X,O,X,X,X,X
ISZTJLO,X,O,X,X,O,O,X,X,X
ISZTJOL,X,O,X,X,X,O,X,X,X
ISZTOLJ,O,X,X,X,O,X,X,X,X
ISZTOJL,X,O,X,X,O,O,X,X,X
ISZLTJO,O,X,X,X,O,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,X,X,X
ISZLJTO,O,O,X,X,O,O,X,X,X
ISZLJOT,O,O,X,X,O,O,X,X,X
ISZLOTJ,O,X,X,X,O,X,X,X,X
ISZLOJT,O,O,X,X,O,O,X,X,X
ISZJTLO,X,O,X,X,O,O,X,X,X
ISZJTOL,X,O,X,X,X,O,X,X,X
ISZJLTO,O,O,X,X,O,O,X,X,X
ISZJLOT,O,O,X,X,O,O,X,X,X
ISZJOTL,X,O,X,X,O,O,O,X,X
ISZJOLT,O,O,X,X,O,O,O,X,X
ISZOTLJ,O,X,X,X,O,X,O,X,X
ISZOTJL,X,O,X,X,O,O,O,X,X
ISZOLTJ,O,X,X,X,O,X,O,X,X
ISZOLJT,O,O,X,X,O,O,O,X,X
ISZOJTL,X,O,X,X,O,O,O,X,X
ISZOJLT,O,O,X,X,O,O,O,X,X
ISOTLJZ,O,X,X,O,O,X,X,X,X
ISOTLZJ,O,X,X,O,O,X,X,X,X
ISOTJLZ,X,O,X,O,O,O,X,X,X
ISOTJZL,X,O,X,O,O,O,O,X,X
ISOTZLJ,O,X,X,O,O,X,O,X,X
ISOTZJL,X,O,X,O,O,O,O,X,X
ISOLTJZ,O,X,X,O,O,X,X,X,X
ISOLTZJ,O,X,X,O,O,X,X,X,X
ISOLJTZ,O,O,X,O,O,O,X,X,X
ISOLJZT,O,O,X,O,O,O,O,X,X
ISOLZTJ,O,X,X,O,O,X,O,X,X
ISOLZJT,O,O,X,O,O,O,O,X,X
ISOJTLZ,X,O,X,O,O,O,X,X,X
ISOJTZL,X,O,X,O,O,O,O,X,X
ISOJLTZ,O,O,X,O,O,O,X,X,X
ISOJLZT,O,O,X,O,O,O,O,X,X
ISOJZTL,X,O,X,O,O,O,O,X,X
ISOJZLT,O,O,X,O,O,O,O,X,X
ISOZTLJ,O,X,X,O,O,X,O,X,X
ISOZTJL,X,O,X,O,O,O,O,X,X
ISOZLTJ,O,X,X,O,O,X,O,X,X
ISOZLJT,O,O,X,O,O,O,O,X,X
ISOZJTL,X,O,X,O,O,O,O,X,X
ISOZJLT,O,O,X,O,O,O,O,X,X
IZTLJSO,O,X,X,O,O,X,X,X,X
IZTLJOS,O,X,X,O,X,X,X,X,X
IZTLSJO,O,X,X,O,O,X,X,X,X
IZTLSOJ,O,X,X,O,O,X,X,X,X
IZTLOJS,O,X,X,O,O,X,X,X,X
IZTLOSJ,O,X,X,O,O,X,X,X,X
IZTJLSO,X,O,X,O,O,O,X,X,X
IZTJLOS,X,O,X,O,X,X,X,X,X
IZTJSLO,X,O,X,X,O,O,X,X,X
IZTJSOL,X,O,X,X,X,O,X,X,X
IZTJOLS,X,O,X,O,X,O,X,X,X
IZTJOSL,X,O,X,O,X,O,X,X,X
IZTSLJO,O,X,X,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,X,X,X
IZTSJLO,X,O,X,X,O,O,X,X,X
IZTSJOL,X,O,X,X,X,O,X,X,X
IZTSOLJ,O,X,X,X,O,X,X,X,X
IZTSOJL,X,O,X,X,O,O,X,X,X
IZTOLJS,O,X,X,O,O,X,X,X,X
IZTOLSJ,O,X,X,O,O,X,X,X,X
IZTOJLS,X,O,X,O,O,O,X,X,X
IZTOJSL,X,O,X,O,O,O,X,X,X
IZTOSLJ,O,X,X,O,O,X,X,X,X
IZTOSJL,X,O,X,O,O,O,X,X,X
IZLTJSO,O,X,X,O,O,X,X,X,X
IZLTJOS,O,X,X,O,X,X,X,X,X
IZLTSJO,O,X,X,O,O,X,X,X,X
IZLTSOJ,O,X,X,O,O,X,X,X,X
IZLTOJS,O,X,X,O,O,X,X,X,X
IZLTOSJ,O,X,X,O,O,X,X,X,X
IZLJTSO,O,O,X,O,O,O,X,X,X
IZLJTOS,O,O,X,O,X,X,X,X,X
IZLJSTO,O,O,X,O,O,O,X,X,X
IZLJSOT,O,O,X,O,O,O,X,X,X
IZLJOTS,O,O,X,O,O,O,X,O,O
IZLJOST,O,O,X,O,O,O,X,O,O
IZLSTJO,O,X,X,O,O,X,X,X,X
IZLSTOJ,O,X,X,O,O,X,X,X,X
IZLSJTO,O,O,X,O,O,O,X,X,X
IZLSJOT,O,O,X,O,O,O,X,X,X
IZLSOTJ,O,X,X,O,O,X,X,X,X
IZLSOJT,O,O,X,O,O,O,X,X,X
IZLOTJS,O,X,X,O,O,X,X,O,O
IZLOTSJ,O,X,X,O,O,X,X,O,O
IZLOJTS,O,O,X,O,O,O,X,O,O
IZLOJST,O,O,X,O,O,O,X,O,O
IZLOSTJ,O,X,X,O,O,X,X,O,O
IZLOSJT,O,O,X,O,O,O,X,O,O
IZJTLSO,X,O,X,O,O,O,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,X
IZJTSLO,X,O,X,X,O,O,X,X,X
IZJTSOL,X,O,X,X,X,O,X,X,X
IZJTOLS,X,O,X,O,X,O,X,X,X
IZJTOSL,X,O,X,O,X,O,X,X,X
IZJLTSO,O,O,X,O,O,O,X,X,X
IZJLTOS,O,O,X,O,X,X,X,X,X
IZJLSTO,O,O,X,O,O,O,X,X,X
IZJLSOT,O,O,X,O,O,O,X,X,X
IZJLOTS,O,O,X,O,O,O,X,O,O
IZJLOST,O,O,X,O,O,O,X,O,O
IZJSTLO,X,O,X,X,O,O,X,X,X
IZJSTOL,X,O,X,X,X,O,X,X,X
IZJSLTO,O,O,X,X,O,O,X,X,X
IZJSLOT,O,O,X,X,O,O,X,X,X
IZJSOTL,X,O,X,X,O,O,O,X,X
IZJSOLT,O,O,X,X,O,O,O,X,X
IZJOTLS,X,O,X,O,O,O,O,O,O
IZJOTSL,X,O,X,O,O,O,O,O,O
IZJOLTS,O,O,X,O,O,O,O,O,O
IZJOLST,O,O,X,O,O,O,O,O,O
IZJOSTL,X,O,X,O,O,O,O,O,O
IZJOSLT,O,O,X,O,O,O,O,O,O
IZSTLJO,O,X,X,X,O,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,X,X,X
IZSTJLO,X,O,X,X,O,O,X,X,X
IZSTJOL,X,O,X,X,X,O,X,X,X
IZSTOLJ,O,X,X,X,O,X,X,X,X
IZSTOJL,X,O,X,X,O,O,X,X,X
IZSLTJO,O,X,X,X,O,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,X,X,X
IZSLJTO,O,O,X,X,O,O,X,X,X
IZSLJOT,O,O,X,X,O,O,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X
IZSLOJT,O,O,X,X,O,O,X,X,X
IZSJTLO,X,O,X,X,O,O,X,X,X
IZSJTOL,X,O,X,X,X,O,X,X,X
IZSJLTO,O,O,X,X,O,O,X,X,X
IZSJLOT,O,O,X,X,O,O,X,X,X
IZSJOTL,X,O,X,X,O,O,O,X,X
IZSJOLT,O,O,X,X,O,O,O,X,X
IZSOTLJ,O,X,X,X,O,X,O,X,X
IZSOTJL,X,O,X,X,O,O,O,X,X
IZSOLTJ,O,X,X,X,O,X,O,X,X
IZSOLJT,O,O,X,X,O,O,O,X,X
IZSOJTL,X,O,X,X,O,O,O,X,X
IZSOJLT,O,O,X,X,O,O,O,X,X
IZOTLJS,O,X,X,O,O,X,O,O,O
IZOTLSJ,O,X,X,O,O,X,O,O,O
IZOTJLS,X,O,X,O,O,O,O,O,O
IZOTJSL,X,O,X,O,O,O,O,O,O
IZOTSLJ,O,X,X,O,O,X,O,O,O
IZOTSJL,X,O,X,O,O,O,O,O,O
IZOLTJS,O,X,X,O,O,X,O,O,O
IZOLTSJ,O,X,X,O,O,X,O,O,O
IZOLJTS,O,O,X,O,O,O,O,O,O
IZOLJST,O,O,X,O,O,O,O,O,O
IZOLSTJ,O,X,X,O,O,X,O,O,O
IZOLSJT,O,O,X,O,O,O,O,O,O
IZOJTLS,X,O,X,O,O,O,O,O,O
IZOJTSL,X,O,X,O,O,O,O,O,O
IZOJLTS,O,O,X,O,O,O,O,O,O
IZOJLST,O,O,X,O,O,O,O,O,O
IZOJSTL,X,O,X,O,O,O,O,O,O
IZOJSLT,O,O,X,O,O,O,O,O,O
IZOSTLJ,O,X,X,O,O,X,O,O,O
IZOSTJL,X,O,X,O,O,O,O,O,O
IZOSLTJ,O,X,X,O,O,X,O,O,O
IZOSLJT,O,O,X,O,O,O,O,O,O
IZOSJTL,X,O,X,O,O,O,O,O,O
IZOSJLT,O,O,X,O,O,O,O,O,O
IOTLJSZ,O,X,O,O,O,X,X,O,X
IOTLJZS,O,X,O,O,O,X,X,O,X
IOTLSJZ,O,X,O,O,O,X,X,O,X
IOTLSZJ,O,X,X,O,O,X,X,O,X
IOTLZJS,O,X,X,O,O,X,X,O,X
IOTLZSJ,O,X,X,O,O,X,X,O,X
IOTJLSZ,X,O,O,O,O,O,X,O,X
IOTJLZS,X,O,O,O,O,O,X,O,X
IOTJSLZ,X,O,O,O,O,O,X,O,X
IOTJSZL,X,O,O,O,O,O,O,O,O
IOTJZLS,X,O,O,O,O,O,O,O,O
IOTJZSL,X,O,O,O,O,O,O,O,O
IOTSLJZ,O,X,O,O,O,X,X,O,X
IOTSLZJ,O,X,X,O,O,X,X,O,X
IOTSJLZ,X,O,O,O,O,O,X,O,X
IOTSJZL,X,O,O,O,O,O,O,O,O
IOTSZLJ,O,X,X,O,O,X,O,O,O
IOTSZJL,X,O,X,O,O,O,O,O,O
IOTZLJS,O,X,X,O,O,X,O,O,O
IOTZLSJ,O,X,X,O,O,X,O,O,O
IOTZJLS,X,O,X,O,O,O,O,O,O
IOTZJSL,X,O,X,O,O,O,O,O,O
IOTZSLJ,O,X,X,O,O,X,O,O,O
IOTZSJL,X,O,X,O,O,O,O,O,O
IOLTJSZ,O,X,O,O,O,X,X,O,X
IOLTJZS,O,X,O,O,O,X,X,O,X
IOLTSJZ,O,X,O,O,O,X,X,O,X
IOLTSZJ,O,X,X,O,O,X,X,O,X
IOLTZJS,O,X,X,O,O,X,X,O,X
IOLTZSJ,O,X,X,O,O,X,X,O,X
IOLJTSZ,O,O,O,O,O,O,X,O,X
IOLJTZS,O,O,O,O,O,O,X,O,X
IOLJSTZ,O,O,O,O,O,O,X,O,X
IOLJSZT,O,O,O,O,O,O,O,O,O
IOLJZTS,O,O,O,O,O,O,O,O,O
IOLJZST,O,O,O,O,O,O,O,O,O
IOLSTJZ,O,X,O,O,O,X,X,O,X
IOLSTZJ,O,X,X,O,O,X,X,O,X
IOLSJTZ,O,O,O,O,O,O,X,O,X
IOLSJZT,O,O,O,O,O,O,O,O,O
IOLSZTJ,O,X,X,O,O,X,O,O,O
IOLSZJT,O,O,O,O,O,O,O,O,O
IOLZTJS,O,X,X,O,O,X,O,O,O
IOLZTSJ,O,X,X,O,O,X,O,O,O
IOLZJTS,O,O,O,O,O,O,O,O,O
IOLZJST,O,O,O,O,O,O,O,O,O
IOLZSTJ,O,X,X,O,O,X,O,O,O
IOLZSJT,O,O,O,O,O,O,O,O,O
IOJTLSZ,X,O,O,O,O,O,X,O,X
IOJTLZS,X,O,O,O,O,O,X,O,X
IOJTSLZ,X,O,O,O,O,O,X,O,X
IOJTSZL,X,O,O,O,O,O,O,O,O
IOJTZLS,X,O,O,O,O,O,O,O,O
IOJTZSL,X,O,O,O,O,O,O,O,O
IOJLTSZ,O,O,O,O,O,O,X,O,X
IOJLTZS,O,O,O,O,O,O,X,O,X
IOJLSTZ,O,O,O,O,O,O,X,O,X
IOJLSZT,O,O,O,O,O,O,O,O,O
IOJLZTS,O,O,O,O,O,O,O,O,O
IOJLZST,O,O,O,O,O,O,O,O,O
IOJSTLZ,X,O,O,O,O,O,X,O,X
IOJSTZL,X,O,O,O,O,O,O,O,O
IOJSLTZ,O,O,O,O,O,O,X,O,X
IOJSLZT,O,O,O,O,O,O,O,O,O
IOJSZTL,X,O,O,O,O,O,O,O,O
IOJSZLT,O,O,O,O,O,O,O,O,O
IOJZTLS,X,O,O,O,O,O,O,O,O
IOJZTSL,X,O,O,O,O,O,O,O,O
IOJZLTS,O,O,O,O,O,O,O,O,O
IOJZLST,O,O,O,O,O,O,O,O,O
IOJZSTL,X,O,O,O,O,O,O,O,O
IOJZSLT,O,O,O,O,O,O,O,O,O
IOSTLJZ,O,X,O,O,O,X,X,O,X
IOSTLZJ,O,X,X,O,O,X,X,O,X
IOSTJLZ,X,O,O,O,O,O,X,O,X
IOSTJZL,X,O,O,O,O,O,O,O,O
IOSTZLJ,O,X,X,O,O,X,O,O,O
IOSTZJL,X,O,X,O,O,O,O,O,O
IOSLTJZ,O,X,O,O,O,X,X,O,X
IOSLTZJ,O,X,X,O,O,X,X,O,X
IOSLJTZ,O,O,O,O,O,O,X,O,X
IOSLJZT,O,O,O,O,O,O,O,O,O
IOSLZTJ,O,X,X,O,O,X,O,O,O
IOSLZJT,O,O,O,O,O,O,O,O,O
IOSJTLZ,X,O,O,O,O,O,X,O,X
IOSJTZL,X,O,O,O,O,O,O,O,O
IOSJLTZ,O,O,O,O,O,O,X,O,X
IOSJLZT,O,O,O,O,O,O,O,O,O
IOSJZTL,X,O,O,O,O,O,O,O,O
IOSJZLT,O,O,O,O,O,O,O,O,O
IOSZTLJ,O,X,X,O,O,X,O,O,O
IOSZTJL,X,O,X,O,O,O,O,O,O
IOSZLTJ,O,X,X,O,O,X,O,O,O
IOSZLJT,O,O,O,O,O,O,O,O,O
IOSZJTL,X,O,O,O,O,O,O,O,O
IOSZJLT,O,O,O,O,O,O,O,O,O
IOZTLJS,O,X,X,O,O,X,O,O,O
IOZTLSJ,O,X,X,O,O,X,O,O,O
IOZTJLS,X,O,X,O,O,O,O,O,O
IOZTJSL,X,O,X,O,O,O,O,O,O
IOZTSLJ,O,X,X,O,O,X,O,O,O
IOZTSJL,X,O,X,O,O,O,O,O,O
IOZLTJS,O,X,X,O,O,X,O,O,O
IOZLTSJ,O,X,X,O,O,X,O,O,O
IOZLJTS,O,O,O,O,O,O,O,O,O
IOZLJST,O,O,O,O,O,O,O,O,O
IOZLSTJ,O,X,X,O,O,X,O,O,O
IOZLSJT,O,O,O,O,O,O,O,O,O
IOZJTLS,X,O,O,O,O,O,O,O,O
IOZJTSL,X,O,O,O,O,O,O,O,O
IOZJLTS,O,O,O,O,O,O,O,O,O
IOZJLST,O,O,O,O,O,O,O,O,O
IOZJSTL,X,O,O,O,O,O,O,O,O
IOZJSLT,O,O,O,O,O,O,O,O,O
IOZSTLJ,O,X,X,O,O,X,O,O,O
IOZSTJL,X,O,X,O,O,O,O,O,O
IOZSLTJ,O,X,X,O,O,X,O,O,O
IOZSLJT,O,O,O,O,O,O,O,O,O
IOZSJTL,X,O,O,O,O,O,O,O,O
IOZSJLT,O,O,O,O,O,O,O,O,O
LTIJSZO,O,X,X,O,O,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,X,X,X
LTIJZSO,O,X,X,O,O,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,X,X,X,X
LTIJOZS,O,X,X,O,X,X,X,X,X
LTISJZO,O,X,X,O,O,X,X,X,X
LTISJOZ,O,X,X,O,X,X,X,X,X
LTISZJO,O,X,X,O,O,X,X,X,X
LTISZOJ,O,X,X,O,O,X,X,X,X
LTISOJZ,O,X,X,O,O,X,X,X,X
LTISOZJ,O,X,X,O,O,X,X,X,X
LTIZJSO,O,X,X,O,O,X,X,X,X
LTIZJOS,O,X,X,O,X,X,X,X,X
LTIZSJO,O,X,X,O,O,X,X,X,X
LTIZSOJ,O,X,X,O,O,X,X,X,X
LTIZOJS,O,X,X,O,O,X,X,X,X
LTIZOSJ,O,X,X,O,O,X,X,X,X
LTIOJSZ,O,X,X,O,O,X,X,X,X
LTIOJZS,O,X,X,O,O,X,X,X,X
LTIOSJZ,O,X,X,O,O,X,X,X,X
LTIOSZJ,O,X,X,O,O,X,X,X,X
LTIOZJS,O,X,X,O,O,X,X,X,X
LTIOZSJ,O,X,X,O,O,X,X,X,X
LTJISZO,O,X,X,O,O,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,X,X
LTJIZSO,O,X,X,O,O,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,X,X,X,X
LTJIOZS,O,X,X,O,X,X,X,X,X
LTJSIZO,O,X,X,O,O,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,X,X,X
LTJSZIO,O,X,X,O,O,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,X,X
LTJSOZI,O,X,X,O,X,X,X,X,X
LTJZISO,O,X,X,O,O,X,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X,X
LTJZSIO,O,X,X,O,O,X,X,X,X
LTJZSOI,O,X,X,O,X,X,X,X,X
LTJZOIS,O,X,O,O,X,X,X,O,O
LTJZOSI,O,X,O,O,X,X,X,X,X
LTJOISZ,O,X,O,O,X,X,X,O,X
LTJOIZS,O,X,O,O,X,X,X,O,X
LTJOSIZ,O,X,O,O,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,X,X,X
LTJOZIS,O,X,O,O,X,X,X,O,O
LTJOZSI,O,X,O,O,X,X,X,X,X
LTSIJZO,O,X,X,O,O,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X,X
LTSIZJO,O,X,X,O,O,X,X,X,X
LTSIZOJ,O,X,X,O,O,X,X,X,X
LTSIOJZ,O,X,X,O,O,X,X,X,X
LTSIOZJ,O,X,X,O,O,X,X,X,X
LTSJIZO,O,X,X,O,O,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,X,X
LTSJZIO,O,X,X,O,O,X,X,X,X
LTSJZOI,O,X,X,O,X,X,X,X,X
LTSJOIZ,O,X,X,O,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,X,X
LTSZIJO,O,X,X,O,O,X,X,X,X
LTSZIOJ,O,X,X,O,O,X,X,X,X
LTSZJIO,O,X,X,O,O,X,X,X,X
LTSZJOI,O,X,X,O,X,X,X,X,X
LTSZOIJ,O,X,X,O,O,X,X,X,X
LTSZOJI,O,X,X,O,O,X,X,X,X
LTSOIJZ,O,X,X,O,O,X,X,X,X
LTSOIZJ,O,X,X,O,O,X,X,X,X
LTSOJIZ,O,X,X,O,O,X,X,X,X
LTSOJZI,O,X,X,O,O,X,X,X,X
LTSOZIJ,O,X,X,O,O,X,X,X,X
LTSOZJI,O,X,X,O,O,X,X,X,X
LTZIJSO,O,X,X,O,O,X,X,X,X
LTZIJOS,O,X,X,O,X,X,X,X,X
LTZISJO,O,X,X,O,O,X,X,X,X
LTZISOJ,O,X,X,O,O,X,X,X,X
LTZIOJS,O,X,X,O,O,X,X,X,X
LTZIOSJ,O,X,X,O,O,X,X,X,X
LTZJISO,O,X,X,O,O,X,X,X,X
LTZJIOS,O,X,X,O,X,X,X,X,X
