sequence,v115@8gA8IeC8GeC8GeC8BeF8JezHJvhEpPBenBscBvqBKa?B,v115@8gA8IeC8GeC8GeC8BeF8JesKJvhEugBPgBJVBTnBao?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjBTnBCiBWd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjB+nBzhBSd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcB2sBziBid?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcBysBTiBmd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBTU?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBzQ?B,v115@8gA8IeC8GeC8GeC8BeF8JexLJvhEmnBSmBsaBPdBzd?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEmVBUmBPnBJjB6n?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBpS?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBJZ?B
ITZOJLS,X,O,X,X,X,X,O,X,X,X,X,X
ITZOJSL,X,O,X,X,X,X,O,X,X,O,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZOSJL,X,O,X,X,X,X,O,X,X,O,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,O,X,X
ITOLJZS,O,X,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,O,X,X
ITOLSZJ,X,O,O,X,X,X,X,X,X,O,X,X
ITOLZJS,X,O,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,O,X,X,O,X,X
ITOJLZS,O,X,X,X,X,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,O,X,X,O,X,X
ITOJSZL,O,X,X,X,X,X,O,X,X,O,X,X
ITOJZLS,O,X,X,X,X,X,O,X,X,X,X,X
ITOJZSL,O,X,X,X,X,X,O,X,X,O,X,X
ITOSLJZ,O,X,O,X,X,X,X,X,X,O,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,O,X,X
ITOSJLZ,O,X,X,X,X,X,O,X,X,O,X,X
ITOSJZL,O,X,X,X,X,X,O,X,X,O,X,X
ITOSZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITOSZJL,X,O,X,X,X,X,O,X,X,O,X,X
ITOZLJS,X,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,O,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,O,X,X,O,X,X
ITOZSLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITOZSJL,X,O,X,X,X,X,O,X,X,O,X,X
ILTJSZO,O,X,X,X,X,X,X,X,O,X,X,X
ILTJSOZ,O,X,X,X,X,X,X,X,O,X,X,X
ILTJZSO,O,X,X,X,X,X,X,X,O,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,O,X,X,O
ILTJOSZ,O,X,X,X,X,X,X,X,O,X,X,O
ILTJOZS,O,X,X,X,X,X,X,X,O,X,X,O
ILTSJZO,O,X,X,X,X,X,X,X,O,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,O,X,X,X
ILTSZJO,X,O,X,X,X,X,X,X,O,X,X,X
ILTSZOJ,X,O,X,X,X,X,X,X,X,O,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,O,X,X
ILTSOZJ,X,O,X,X,X,X,X,X,X,O,X,X
ILTZJSO,X,O,X,X,X,X,X,X,O,X,X,X
ILTZJOS,X,O,X,X,X,X,X,X,O,X,X,O
ILTZSJO,X,O,X,X,X,X,X,X,O,X,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X,X,X,X,X,O
ILTZOSJ,X,O,X,X,X,X,X,X,X,X,X,O
ILTOJSZ,O,X,X,X,X,X,X,X,X,O,X,O
ILTOJZS,O,X,X,X,X,X,X,X,X,X,X,O
ILTOSJZ,O,X,X,X,X,X,X,X,X,O,X,O
ILTOSZJ,X,O,X,X,X,X,X,X,X,O,X,O
ILTOZJS,X,O,X,X,X,X,X,X,X,X,X,O
ILTOZSJ,X,O,X,X,X,X,X,X,X,X,X,O
ILJTSZO,O,X,X,X,X,X,O,O,O,X,X,X
ILJTSOZ,O,X,X,O,X,X,O,O,O,X,X,X
ILJTZSO,O,X,X,X,X,X,O,O,O,X,X,X
ILJTZOS,O,X,X,X,X,X,O,X,O,X,O,O
ILJTOSZ,O,X,X,O,X,X,O,X,O,X,O,O
ILJTOZS,O,X,X,O,X,X,O,X,O,X,O,O
ILJSTZO,O,X,X,X,X,X,O,O,O,X,X,X
ILJSTOZ,O,X,X,O,X,X,O,O,O,X,X,X
ILJSZTO,O,O,X,X,X,X,O,O,O,X,X,X
ILJSZOT,O,O,X,O,X,X,O,O,O,O,O,O
ILJSOTZ,O,X,X,O,X,X,O,O,O,O,O,O
ILJSOZT,O,O,X,O,X,O,O,O,O,O,O,O
ILJZTSO,O,O,X,X,X,X,O,O,O,X,X,X
ILJZTOS,O,O,X,X,X,X,O,X,O,X,O,O
ILJZSTO,O,O,X,X,X,X,O,O,O,X,X,X
ILJZSOT,O,O,X,O,X,X,O,O,O,X,O,O
ILJZOTS,O,O,X,O,X,X,O,X,O,X,O,O
ILJZOST,O,O,X,O,X,X,O,O,O,X,O,O
ILJOTSZ,O,X,X,O,X,X,O,X,O,O,O,O
ILJOTZS,O,X,X,O,X,X,O,X,O,X,O,O
ILJOSTZ,O,X,X,O,X,X,O,O,O,O,O,O
ILJOSZT,O,O,X,O,X,O,O,O,O,O,O,O
ILJOZTS,O,O,X,O,X,O,O,X,O,X,O,O
ILJOZST,O,O,X,O,X,O,O,O,O,O,O,O
ILSTJZO,O,X,X,X,X,X,X,X,O,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,O,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X,O,X,X,X
ILSTZOJ,X,O,X,X,X,X,X,X,X,O,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,O,X,X
ILSTOZJ,X,O,X,X,X,X,X,X,X,O,X,X
ILSJTZO,O,X,X,X,X,X,O,O,O,X,X,X
ILSJTOZ,O,X,X,O,X,X,O,O,O,X,X,X
ILSJZTO,O,O,X,X,X,X,O,O,O,X,X,X
ILSJZOT,O,O,X,O,X,X,O,O,O,O,X,O
ILSJOTZ,O,X,X,O,X,X,O,O,O,O,X,O
ILSJOZT,O,O,X,O,X,O,O,O,O,O,X,O
ILSZTJO,X,O,X,X,X,X,X,X,O,X,X,X
ILSZTOJ,X,O,X,X,X,O,X,X,X,O,X,X
ILSZJTO,O,O,X,X,X,X,O,O,O,X,X,X
ILSZJOT,O,O,X,O,X,O,O,O,O,O,X,O
ILSZOTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILSZOJT,O,O,O,X,X,O,O,O,O,O,X,O
ILSOTJZ,O,X,O,X,X,X,X,X,X,O,X,O
ILSOTZJ,X,O,O,X,X,X,X,X,X,O,X,O
ILSOJTZ,O,X,O,X,X,X,O,O,O,O,X,O
ILSOJZT,O,O,O,X,X,O,O,O,O,O,X,O
ILSOZTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILSOZJT,O,O,O,X,X,O,O,O,O,O,X,O
ILZTJSO,X,O,X,X,X,X,X,X,O,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X,O,X,X,O
ILZTSJO,X,O,X,X,X,X,X,X,O,X,X,X
ILZTSOJ,X,O,X,X,X,O,X,X,X,X,X,X
ILZTOJS,X,O,X,X,X,O,X,X,X,X,X,O
ILZTOSJ,X,O,X,X,X,O,X,X,X,X,X,O
ILZJTSO,O,O,X,X,X,X,O,O,O,X,X,X
ILZJTOS,O,O,X,X,X,X,O,X,O,X,O,O
ILZJSTO,O,O,X,X,X,X,O,O,O,X,X,X
ILZJSOT,O,O,X,O,X,O,O,O,O,X,O,O
ILZJOTS,O,O,X,O,X,O,O,X,O,X,O,O
ILZJOST,O,O,X,O,X,O,O,O,O,X,O,O
ILZSTJO,X,O,X,X,X,X,X,X,O,X,X,X
ILZSTOJ,X,O,X,X,X,O,X,X,X,O,X,X
ILZSJTO,O,O,X,X,X,X,O,O,O,X,X,X
ILZSJOT,O,O,X,O,X,O,O,O,O,O,X,O
ILZSOTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILZSOJT,O,O,O,X,X,O,O,O,O,O,X,O
ILZOTJS,X,O,O,X,X,O,X,X,X,X,X,O
ILZOTSJ,X,O,O,X,X,O,X,X,X,X,X,O
ILZOJTS,O,O,O,X,X,O,O,X,O,X,O,O
ILZOJST,O,O,O,X,X,O,O,X,O,O,O,O
ILZOSTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILZOSJT,O,O,O,X,X,O,O,X,O,O,O,O
ILOTJSZ,O,X,O,X,X,X,X,X,X,O,X,O
ILOTJZS,O,X,O,X,X,X,X,X,X,X,X,O
ILOTSJZ,O,X,O,X,X,X,X,X,X,O,X,O
ILOTSZJ,X,O,O,X,X,X,X,X,X,O,X,O
ILOTZJS,X,O,O,X,X,X,X,X,X,X,X,O
ILOTZSJ,X,O,O,X,X,X,X,X,X,X,X,O
ILOJTSZ,O,X,O,X,X,X,O,X,O,O,O,O
ILOJTZS,O,X,O,X,X,X,O,X,O,X,O,O
ILOJSTZ,O,X,O,X,X,X,O,X,O,O,O,O
ILOJSZT,O,O,O,X,X,O,O,X,O,O,O,O
ILOJZTS,O,O,O,X,X,O,O,X,O,X,O,O
ILOJZST,O,O,O,X,X,O,O,X,O,O,O,O
ILOSTJZ,O,X,O,X,X,X,X,X,X,O,X,O
ILOSTZJ,X,O,O,X,X,X,X,X,X,O,X,O
ILOSJTZ,O,X,O,X,X,X,O,X,O,O,O,O
ILOSJZT,O,O,O,X,X,O,O,X,O,O,O,O
ILOSZTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILOSZJT,O,O,O,X,X,O,O,X,O,O,O,O
ILOZTJS,X,O,O,X,X,O,X,X,X,X,X,O
ILOZTSJ,X,O,O,X,X,O,X,X,X,X,X,O
ILOZJTS,O,O,O,X,X,O,O,X,O,X,O,O
ILOZJST,O,O,O,X,X,O,O,X,O,O,O,O
ILOZSTJ,X,O,O,X,X,O,X,X,X,O,X,O
ILOZSJT,O,O,O,X,X,O,O,X,O,O,O,O
IJTLSZO,O,X,X,X,X,X,O,O,O,X,X,X
IJTLSOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJTLZSO,O,X,X,X,X,X,O,O,O,X,X,X
IJTLZOS,O,X,X,X,X,X,O,X,O,X,X,X
IJTLOSZ,O,X,X,O,X,X,O,X,O,X,X,X
IJTLOZS,O,X,X,O,X,X,O,X,O,X,X,X
IJTSLZO,O,X,X,X,X,X,O,O,O,X,X,X
IJTSLOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJTSZLO,O,X,X,X,X,X,O,O,O,X,X,X
IJTSZOL,O,X,X,O,X,X,O,O,O,X,X,X
IJTSOLZ,O,X,X,O,X,X,O,O,O,X,X,X
IJTSOZL,O,X,X,O,X,X,O,O,O,X,X,X
IJTZLSO,O,X,X,X,X,X,O,O,O,X,X,X
IJTZLOS,O,X,X,X,X,X,O,X,O,X,X,X
IJTZSLO,O,X,X,X,X,X,O,O,O,X,X,X
IJTZSOL,O,X,X,O,X,X,O,O,O,X,X,X
IJTZOLS,O,X,X,O,X,X,O,X,O,X,X,X
IJTZOSL,O,X,X,O,X,X,O,X,O,X,X,X
IJTOLSZ,O,X,X,O,X,X,O,X,O,X,X,X
IJTOLZS,O,X,X,O,X,X,O,X,O,X,X,X
IJTOSLZ,O,X,X,O,X,X,O,X,O,X,X,X
IJTOSZL,O,X,X,O,X,X,O,X,O,X,X,X
IJTOZLS,O,X,X,O,X,X,O,X,O,X,X,X
IJTOZSL,O,X,X,O,X,X,O,X,O,X,X,X
IJLTSZO,O,X,X,X,X,X,O,O,O,X,X,X
IJLTSOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJLTZSO,O,X,X,X,X,X,O,O,O,X,X,X
IJLTZOS,O,X,X,X,X,X,O,X,O,X,X,X
IJLTOSZ,O,X,X,O,X,X,O,X,O,X,X,X
IJLTOZS,O,X,X,O,X,X,O,X,O,X,X,X
IJLSTZO,O,X,X,X,X,X,O,O,O,X,X,X
IJLSTOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJLSZTO,O,O,X,X,X,X,O,O,O,X,X,X
IJLSZOT,O,O,X,O,X,X,O,O,O,O,X,X
IJLSOTZ,O,X,X,O,X,X,O,O,O,O,X,X
IJLSOZT,O,O,X,O,X,X,O,O,O,O,X,X
IJLZTSO,O,O,X,X,X,X,O,O,O,X,X,X
IJLZTOS,O,O,X,X,X,X,O,X,O,X,X,X
IJLZSTO,O,O,X,X,X,X,O,O,O,X,X,X
IJLZSOT,O,O,X,O,X,X,O,O,O,X,X,X
IJLZOTS,O,O,X,O,X,X,O,X,O,X,X,X
IJLZOST,O,O,X,O,X,X,O,O,O,X,X,X
IJLOTSZ,O,X,X,O,X,X,O,X,O,O,X,X
IJLOTZS,O,X,X,O,X,X,O,X,O,X,X,X
IJLOSTZ,O,X,X,O,X,X,O,O,O,O,X,X
IJLOSZT,O,O,X,O,X,X,O,O,O,O,X,X
IJLOZTS,O,O,X,O,X,X,O,X,O,X,X,X
IJLOZST,O,O,X,O,X,X,O,O,O,O,X,X
IJSTLZO,O,X,X,X,X,X,O,O,O,X,X,X
IJSTLOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJSTZLO,O,X,X,X,X,X,O,O,O,X,X,X
IJSTZOL,O,X,X,O,X,X,O,O,O,X,X,X
IJSTOLZ,O,X,X,O,X,X,O,O,O,X,X,X
IJSTOZL,O,X,X,O,X,X,O,O,O,X,X,X
IJSLTZO,O,X,X,X,X,X,O,O,O,X,X,X
IJSLTOZ,O,X,X,O,X,X,O,O,O,X,X,X
IJSLZTO,O,O,X,X,X,X,O,O,O,X,X,X
IJSLZOT,O,O,X,O,X,X,O,O,O,O,X,X
IJSLOTZ,O,X,X,O,X,X,O,O,O,O,X,X
IJSLOZT,O,O,X,O,X,X,O,O,O,O,X,X
IJSZTLO,O,O,X,X,X,X,O,O,O,X,X,X
IJSZTOL,O,O,X,O,O,X,O,O,O,X,X,X
IJSZLTO,O,O,X,X,X,X,O,O,O,X,X,X
IJSZLOT,O,O,X,O,O,X,O,O,O,O,X,X
IJSZOTL,O,O,X,O,O,X,O,O,O,O,X,X
IJSZOLT,O,O,O,O,O,X,O,O,O,O,X,X
IJSOTLZ,O,X,X,O,X,X,O,O,O,O,X,X
IJSOTZL,O,X,X,O,X,X,O,O,O,O,X,X
IJSOLTZ,O,X,O,O,X,X,O,O,O,O,X,X
IJSOLZT,O,O,O,O,O,X,O,O,O,O,X,X
IJSOZTL,O,O,X,O,O,X,O,O,O,O,X,X
IJSOZLT,O,O,O,O,O,X,O,O,O,O,X,X
IJZTLSO,O,O,X,X,X,X,O,O,O,X,X,X
IJZTLOS,O,O,X,X,X,X,O,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,O,O,O,X,X,X
IJZTSOL,O,O,X,O,O,X,O,O,O,X,X,X
IJZTOLS,O,O,X,O,O,X,O,X,O,X,X,X
IJZTOSL,O,O,X,O,O,X,O,X,O,X,X,X
IJZLTSO,O,O,X,X,X,X,O,O,O,X,X,X
IJZLTOS,O,O,X,X,X,X,O,X,O,X,X,X
IJZLSTO,O,O,X,X,X,X,O,O,O,X,X,X
IJZLSOT,O,O,X,O,O,X,O,O,O,X,X,X
IJZLOTS,O,O,X,O,O,X,O,X,O,X,X,X
IJZLOST,O,O,X,O,O,X,O,O,O,X,X,X
IJZSTLO,O,O,X,X,X,X,O,O,O,X,X,X
IJZSTOL,O,O,X,O,O,X,O,O,O,X,X,X
IJZSLTO,O,O,X,X,X,X,O,O,O,X,X,X
IJZSLOT,O,O,X,O,O,X,O,O,O,O,X,X
IJZSOTL,O,O,X,O,O,X,O,O,O,O,X,X
IJZSOLT,O,O,O,O,O,X,O,O,O,O,X,X
IJZOTLS,O,O,X,O,O,X,O,X,O,X,X,X
IJZOTSL,O,O,X,O,O,X,O,X,O,O,X,X
IJZOLTS,O,O,O,O,O,X,O,X,O,X,X,X
IJZOLST,O,O,O,O,O,X,O,O,O,O,X,X
IJZOSTL,O,O,X,O,O,X,O,O,O,O,X,X
IJZOSLT,O,O,O,O,O,X,O,O,O,O,X,X
IJOTLSZ,O,X,X,O,X,X,O,X,O,O,X,X
IJOTLZS,O,X,X,O,X,X,O,X,O,X,X,X
IJOTSLZ,O,X,X,O,X,X,O,X,O,O,X,X
IJOTSZL,O,X,X,O,X,X,O,X,O,O,X,X
IJOTZLS,O,X,X,O,X,X,O,X,O,X,X,X
IJOTZSL,O,X,X,O,X,X,O,X,O,O,X,X
IJOLTSZ,O,X,O,O,X,X,O,X,O,O,X,X
IJOLTZS,O,X,O,O,X,X,O,X,O,X,X,X
IJOLSTZ,O,X,O,O,X,X,O,O,O,O,X,X
IJOLSZT,O,O,O,O,O,X,O,O,O,O,X,X
IJOLZTS,O,O,O,O,O,X,O,X,O,X,X,X
IJOLZST,O,O,O,O,O,X,O,O,O,O,X,X
IJOSTLZ,O,X,X,O,X,X,O,O,O,O,X,X
IJOSTZL,O,X,X,O,X,X,O,O,O,O,X,X
IJOSLTZ,O,X,O,O,X,X,O,O,O,O,X,X
IJOSLZT,O,O,O,O,O,X,O,O,O,O,X,X
IJOSZTL,O,O,X,O,O,X,O,O,O,O,X,X
IJOSZLT,O,O,O,O,O,X,O,O,O,O,X,X
IJOZTLS,O,O,X,O,O,X,O,X,O,X,X,X
IJOZTSL,O,O,X,O,O,X,O,X,O,O,X,X
IJOZLTS,O,O,O,O,O,X,O,X,O,X,X,X
IJOZLST,O,O,O,O,O,X,O,O,O,O,X,X
IJOZSTL,O,O,X,O,O,X,O,O,O,O,X,X
IJOZSLT,O,O,O,O,O,X,O,O,O,O,X,X
ISTLJZO,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,O,X,X
ISTLOZJ,X,O,X,X,X,X,X,X,X,O,X,X
ISTJLZO,O,X,X,X,X,X,O,O,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,O,X,X,X,X
ISTJZLO,O,X,X,X,X,X,O,O,X,X,X,X
ISTJZOL,O,X,X,O,X,X,O,O,X,X,X,X
ISTJOLZ,O,X,X,O,X,X,O,O,X,X,X,X
ISTJOZL,O,X,X,O,X,X,O,O,X,X,X,X
ISTZLJO,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X,X,O,X,X
ISTZJLO,X,O,X,X,X,X,O,O,X,X,X,X
ISTZJOL,X,O,X,O,X,X,O,O,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTZOJL,X,O,X,X,X,X,O,O,X,O,X,X
ISTOLJZ,O,X,O,X,X,X,X,X,X,O,X,X
ISTOLZJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTOJLZ,O,X,X,X,X,X,O,O,X,O,X,X
ISTOJZL,O,X,X,X,X,X,O,O,X,O,X,X
ISTOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISTOZJL,X,O,X,X,X,X,O,O,X,O,X,X
ISLTJZO,O,X,X,X,X,X,X,X,O,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,O,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X,O,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,X,O,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,X,O,X,X
ISLTOZJ,X,O,X,X,X,X,X,X,X,O,X,X
ISLJTZO,O,X,X,X,X,X,O,O,O,X,X,X
ISLJTOZ,O,X,X,O,X,X,O,O,O,X,X,X
ISLJZTO,O,O,X,X,X,X,O,O,O,X,X,X
ISLJZOT,O,O,X,O,X,X,O,O,O,O,X,X
ISLJOTZ,O,X,X,O,X,X,O,O,O,O,X,X
ISLJOZT,O,O,X,O,X,O,O,O,O,O,X,X
ISLZTJO,X,O,X,X,X,X,X,X,O,X,X,X
ISLZTOJ,X,O,X,X,X,O,X,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,O,O,O,X,X,X
ISLZJOT,O,O,X,O,X,O,O,O,O,O,X,X
ISLZOTJ,X,O,O,X,X,O,X,X,X,O,X,X
ISLZOJT,O,O,O,X,X,O,O,O,O,O,X,X
ISLOTJZ,O,X,O,X,X,X,X,X,X,O,X,X
ISLOTZJ,X,O,O,X,X,X,X,X,X,O,X,X
ISLOJTZ,O,X,O,X,X,X,O,O,O,O,X,X
ISLOJZT,O,O,O,X,X,O,O,O,O,O,X,X
ISLOZTJ,X,O,O,X,X,O,X,X,X,O,X,X
ISLOZJT,O,O,O,X,X,O,O,O,O,O,X,X
ISJTLZO,O,X,X,X,X,X,O,O,O,X,X,X
ISJTLOZ,O,X,X,O,X,X,O,O,O,X,X,X
ISJTZLO,O,X,X,X,X,X,O,O,O,X,X,X
ISJTZOL,O,X,X,O,X,X,O,O,O,X,X,X
ISJTOLZ,O,X,X,O,X,X,O,O,O,X,X,X
ISJTOZL,O,X,X,O,X,X,O,O,O,X,X,X
ISJLTZO,O,X,X,X,X,X,O,O,O,X,X,X
ISJLTOZ,O,X,X,O,X,X,O,O,O,X,X,X
ISJLZTO,O,O,X,X,X,X,O,O,O,X,X,X
ISJLZOT,O,O,X,O,X,X,O,O,O,O,X,X
ISJLOTZ,O,X,X,O,X,X,O,O,O,O,X,X
ISJLOZT,O,O,X,O,X,X,O,O,O,O,X,X
ISJZTLO,O,O,X,X,X,X,O,O,O,X,X,X
ISJZTOL,O,O,X,O,O,X,O,O,O,X,X,X
ISJZLTO,O,O,X,X,X,X,O,O,O,X,X,X
ISJZLOT,O,O,X,O,O,X,O,O,O,O,X,X
ISJZOTL,O,O,X,O,O,X,O,O,O,O,X,X
ISJZOLT,O,O,O,O,O,X,O,O,O,O,X,X
ISJOTLZ,O,X,X,O,X,X,O,O,O,O,X,X
ISJOTZL,O,X,X,O,X,X,O,O,O,O,X,X
ISJOLTZ,O,X,O,O,X,X,O,O,O,O,X,X
ISJOLZT,O,O,O,O,O,X,O,O,O,O,X,X
ISJOZTL,O,O,X,O,O,X,O,O,O,O,X,X
ISJOZLT,O,O,O,O,O,X,O,O,O,O,X,X
ISZTLJO,X,O,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,O,X,X,X,O,X,X,X,O,X,X
ISZTJLO,X,O,X,X,X,X,O,O,X,X,X,X
ISZTJOL,X,O,X,O,O,X,O,O,X,X,X,X
ISZTOLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISZTOJL,X,O,X,X,X,X,O,O,X,O,X,X
ISZLTJO,X,O,X,X,X,X,X,X,O,X,X,X
ISZLTOJ,X,O,X,X,X,O,X,X,X,O,X,X
ISZLJTO,O,O,X,X,X,X,O,O,O,X,X,X
ISZLJOT,O,O,X,O,O,O,O,O,O,O,X,X
ISZLOTJ,X,O,O,X,X,O,X,X,X,O,X,X
ISZLOJT,O,O,O,X,X,O,O,O,O,O,X,X
ISZJTLO,O,O,X,X,X,X,O,O,O,X,X,X
ISZJTOL,O,O,X,O,O,X,O,O,O,X,X,X
ISZJLTO,O,O,X,X,X,X,O,O,O,X,X,X
ISZJLOT,O,O,X,O,O,O,O,O,O,O,X,X
ISZJOTL,O,O,X,O,O,X,O,O,O,O,X,X
ISZJOLT,O,O,O,O,O,X,O,O,O,O,X,X
ISZOTLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISZOTJL,X,O,X,X,X,X,O,O,X,O,X,X
ISZOLTJ,X,O,O,X,X,O,X,X,X,O,X,X
ISZOLJT,O,O,O,O,X,O,O,O,X,O,X,X
ISZOJTL,O,O,X,O,O,X,O,O,X,O,X,X
ISZOJLT,O,O,O,O,O,X,O,O,X,O,X,X
ISOTLJZ,O,X,O,X,X,X,X,X,X,O,X,X
ISOTLZJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOTJLZ,O,X,X,X,X,X,O,O,X,O,X,X
ISOTJZL,O,X,X,X,X,X,O,O,X,O,X,X
ISOTZLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOTZJL,X,O,X,X,X,X,O,O,X,O,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,O,X,X
ISOLTZJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOLJTZ,O,X,O,X,X,X,O,O,X,O,X,X
ISOLJZT,O,O,O,X,X,X,O,O,X,O,X,X
ISOLZTJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOLZJT,O,O,O,X,X,X,O,O,X,O,X,X
ISOJTLZ,O,X,X,O,X,X,O,O,X,O,X,X
ISOJTZL,O,X,X,O,X,X,O,O,X,O,X,X
ISOJLTZ,O,X,O,O,X,X,O,O,X,O,X,X
ISOJLZT,O,O,O,O,X,X,O,O,X,O,X,X
ISOJZTL,O,O,X,O,X,X,O,O,X,O,X,X
ISOJZLT,O,O,O,O,X,X,O,O,X,O,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOZTJL,X,O,X,X,X,X,O,O,X,O,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOZLJT,O,O,O,X,X,X,O,O,X,O,X,X
ISOZJTL,O,O,X,O,X,X,O,O,X,O,X,X
ISOZJLT,O,O,O,O,X,X,O,O,X,O,X,X
IZTLJSO,X,O,X,X,X,X,X,X,O,X,X,X
IZTLJOS,X,O,X,X,X,X,X,X,O,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X,O,X,X,X
IZTLSOJ,X,O,X,X,X,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,O,O,O,X,X,X
IZTJLOS,X,O,X,X,X,X,O,X,O,X,X,X
IZTJSLO,X,O,X,X,X,X,O,O,O,X,X,X
IZTJSOL,X,O,X,O,O,X,O,O,O,X,X,X
IZTJOLS,X,O,X,O,O,X,O,X,O,X,X,X
IZTJOSL,X,O,X,O,O,X,O,X,O,X,X,X
IZTSLJO,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,O,X,X,X,O,X,X
IZTSJLO,X,O,X,X,X,X,O,O,X,X,X,X
IZTSJOL,X,O,X,O,O,X,O,O,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTSOJL,X,O,X,X,X,X,O,O,X,O,X,X
IZTOLJS,X,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,O,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,O,X,X,O,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTOSJL,X,O,X,X,X,X,O,X,X,O,X,X
IZLTJSO,X,O,X,X,X,X,X,X,O,X,X,X
IZLTJOS,X,O,X,X,X,X,X,X,O,X,X,O
IZLTSJO,X,O,X,X,X,X,X,X,O,X,X,X
