sequence,v115@VhC8FeD8BeA8JeRGJvhEKpBMtBusBvfBrVB,v115@VhC8FeD8BeA8Je01IvhE/fBKpBRmBGoBzsB,v115@VhC8FeD8BeA8JeXNJvhDCqBZkBUhBzcB,v115@VhC8FeD8BeA8Je5AJvhEmfB3hBTkBctByuB,v115@VhC8FeD8BeA8Je5AJvhEifB3hBzkBctB2uB,v115@VhC8FeD8BeA8JeSAJvhEZkB3hBGlBctBzpB,v115@VhC8FeD8BeA8JeZ6IvhEzfB3hBSqBctB2uB,v115@VhC8FeD8BeA8JemJJvhFykBpgB3hBMtBlnBTpB,v115@VhC8FeD8BeA8JeiJJvhF2kBpgBMtB3hBlnBzpB,v115@VhC8FeD8BeA8Jee8IvhEZkB3hBqpBTlBctB,v115@VhC8FeD8BeA8Jeq/IvhEZkBulB3hBctBzpB,v115@VhC8FeD8BeA8Jez7IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8JeT1IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8Jea8IvhE5gB3hBTkBeqBctB,v115@VhC8FeD8BeA8JeO1IvhEZkB3hBqpBTlBctB
JLOSITZ,X,O,X,O,O,X,O,X,X,O,O,O,O,O,O
JLOSIZT,X,O,X,O,O,X,O,O,O,O,O,O,O,O,O
JLOSZTI,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X
JLOSZIT,X,O,X,O,O,X,O,O,O,O,O,O,O,O,O
JLOZTIS,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
JLOZTSI,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
JLOZITS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JLOZIST,X,O,X,O,O,X,O,O,O,O,O,O,O,O,O
JLOZSTI,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X
JLOZSIT,X,O,X,O,O,X,O,O,O,O,O,O,O,O,O
JSTILZO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTILOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JSTIZLO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTIZOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSTIOLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSTIOZL,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSTLIZO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTLIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JSTLZIO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTLZOI,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTLOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JSTLOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JSTZILO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTZIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSTZLIO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTZLOI,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSTZOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSTZOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
JSTOILZ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSTOIZL,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSTOLIZ,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JSTOLZI,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JSTOZIL,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSTOZLI,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JSITLZO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
JSITLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
JSITZLO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
JSITZOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSITOLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSITOZL,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSILTZO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSILTOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O
JSILZTO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSILZOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSILOTZ,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O
JSILOZT,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JSIZTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JSIZTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSIZLTO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSIZLOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSIZOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSIZOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
JSIOTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSIOTZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSIOLTZ,X,X,X,X,O,O,O,X,X,O,O,O,O,O,O
JSIOLZT,X,X,X,X,O,O,O,O,X,O,O,O,O,O,O
JSIOZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSIOZLT,X,X,X,X,O,O,O,O,X,O,O,O,O,O,O
JSLTIZO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JSLTIOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X
JSLTZIO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JSLTZOI,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X
JSLTOIZ,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JSLTOZI,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JSLITZO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSLITOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O
JSLIZTO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSLIZOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSLIOTZ,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O
JSLIOZT,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JSLZTIO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JSLZTOI,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X
JSLZITO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSLZIOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSLZOTI,X,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JSLZOIT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSLOTIZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,X
JSLOTZI,X,X,X,O,O,X,O,X,X,O,O,O,X,O,X
JSLOITZ,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O
JSLOIZT,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JSLOZTI,X,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JSLOZIT,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JSZTILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JSZTIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSZTLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JSZTLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JSZTOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSZTOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
JSZITLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JSZITOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JSZILTO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSZILOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSZIOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSZIOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
JSZLTIO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JSZLTOI,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X
JSZLITO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JSZLIOT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSZLOTI,X,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JSZLOIT,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JSZOTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSZOTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JSZOITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSZOILT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X
JSZOLTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSZOLIT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,O
JSOTILZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOTIZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOTLIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JSOTLZI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JSOTZIL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOTZLI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JSOITLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOITZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JSOILTZ,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X
JSOILZT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSOIZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSOIZLT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSOLTIZ,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X
JSOLTZI,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X
JSOLITZ,X,X,X,X,O,O,O,X,X,O,O,O,X,O,O
JSOLIZT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,O
JSOLZTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSOLZIT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,O
JSOZTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSOZTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JSOZITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JSOZILT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSOZLTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JSOZLIT,X,X,X,X,O,O,O,O,X,O,O,O,X,O,O
JZTILSO,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTILOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTISLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTISOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTIOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTIOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTLISO,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTLIOS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTLSOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTSILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTSIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTSLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTSLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTSOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTSOLI,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTOILS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTOISL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTOLIS,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JZTOLSI,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JZTOSIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZTOSLI,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZITLSO,O,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JZITLOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JZITSLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JZITSOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZITOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZITOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZILTSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZILTOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZILSTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZILSOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZILOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JZILOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZISTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JZISTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZISLTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZISLOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZISOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZISOLT,X,X,O,X,O,O,O,O,X,X,O,O,O,O,O
JZIOTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZIOTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZIOLTS,X,X,X,X,O,O,O,O,X,X,O,X,O,O,O
JZIOLST,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O
JZIOSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZIOSLT,X,X,O,X,O,O,O,O,X,X,O,X,O,O,O
JZLTISO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
JZLTIOS,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X
JZLTSIO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
JZLTSOI,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZLTOIS,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZLTOSI,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JZLITSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZLITOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZLISTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZLISOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZLIOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JZLIOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZLSTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JZLSTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
JZLSITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZLSIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZLSOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JZLSOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZLOTIS,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
JZLOTSI,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
JZLOITS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
JZLOIST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZLOSTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JZLOSIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZSTILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZSTIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZSTLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZSTLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZSTOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZSTOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
JZSITLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
JZSITOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JZSILTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZSILOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZSIOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZSIOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
JZSLTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
JZSLTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
JZSLITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
JZSLIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZSLOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
JZSLOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
JZSOTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZSOTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JZSOITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZSOILT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X
JZSOLTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
JZSOLIT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,O
JZOTILS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOTISL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOTLIS,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JZOTLSI,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JZOTSIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOTSLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JZOITLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOITSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOILTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JZOILST,O,X,O,X,O,O,O,O,X,O,O,X,X,O,X
JZOISTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOISLT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,X
JZOLTIS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JZOLTSI,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JZOLITS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O
JZOLIST,O,X,O,X,O,O,O,O,X,O,O,X,X,O,O
JZOLSTI,O,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JZOLSIT,O,X,O,X,O,O,O,O,X,O,O,X,X,O,O
JZOSTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOSTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JZOSITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JZOSILT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,X
JZOSLTI,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JZOSLIT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,O
JOTILSZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTILZS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTISLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTISZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTIZLS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTIZSL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTLISZ,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTLIZS,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTLSIZ,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTLSZI,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTLZIS,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTLZSI,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTSILZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTSIZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTSLIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOTSLZI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOTSZIL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTSZLI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOTZILS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTZISL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTZLIS,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTZLSI,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTZSIL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOTZSLI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOITLSZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X
JOITLZS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOITSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOITSZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOITZLS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOITZSL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOILTSZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOILTZS,X,X,X,X,O,O,O,X,X,O,O,X,X,O,X
JOILSTZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOILSZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOILZTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOILZST,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOISTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOISTZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOISLTZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOISLZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOISZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOISZLT,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOIZTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOIZTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOIZLTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOIZLST,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOIZSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOIZSLT,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOLTISZ,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLTIZS,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLTSIZ,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLTSZI,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLTZIS,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLTZSI,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X
JOLITSZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,O
JOLITZS,X,X,X,X,O,O,O,X,X,O,O,X,X,O,O
JOLISTZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,O
JOLISZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLIZTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLIZST,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLSTIZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOLSTZI,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOLSITZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,O
JOLSIZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLSZTI,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOLSZIT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLZTIS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JOLZTSI,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
JOLZITS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLZIST,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOLZSTI,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOLZSIT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOSTILZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSTIZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSTLIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOSTLZI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOSTZIL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSTZLI,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
JOSITLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSITZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
JOSILTZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOSILZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOSIZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOSIZLT,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOSLTIZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOSLTZI,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
JOSLITZ,X,O,X,X,O,O,O,X,X,O,O,X,X,O,O
JOSLIZT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOSLZTI,X,O,X,X,O,O,O,O,X,O,O,X,X,O,X
JOSLZIT,X,O,X,X,O,O,O,O,X,O,O,X,X,O,O
JOSZTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOSZTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JOSZITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOSZILT,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOSZLTI,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
JOSZLIT,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O
JOZTILS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOZTISL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOZTLIS,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JOZTLSI,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JOZTSIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOZTSLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
JOZITLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOZITSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOZILTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
