sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
TSZOJIL,O,X,X,O,X,X
TSZOJLI,O,X,X,O,X,X
TSOILJZ,O,X,X,O,X,X
TSOILZJ,O,X,X,O,X,X
TSOIJLZ,O,X,X,O,X,X
TSOIJZL,O,X,X,O,X,X
TSOIZLJ,O,X,X,O,X,X
TSOIZJL,O,X,X,O,X,X
TSOLIJZ,O,X,X,O,X,X
TSOLIZJ,O,X,X,O,X,X
TSOLJIZ,O,X,X,O,X,X
TSOLJZI,O,X,X,O,X,X
TSOLZIJ,O,X,X,O,X,X
TSOLZJI,O,X,X,O,X,X
TSOJILZ,O,X,X,O,X,X
TSOJIZL,O,X,X,O,X,X
TSOJLIZ,O,X,X,O,X,X
TSOJLZI,O,X,X,O,X,X
TSOJZIL,O,X,X,O,X,X
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,X,X,O,X,X
TSOZIJL,O,X,X,O,X,X
TSOZLIJ,O,X,X,O,X,X
TSOZLJI,O,X,X,O,X,X
TSOZJIL,O,X,X,O,X,X
TSOZJLI,O,X,X,O,X,X
TZILJSO,O,O,O,O,O,X
TZILJOS,O,O,O,O,O,X
TZILSJO,O,O,O,O,O,X
TZILSOJ,O,X,O,O,X,O
TZILOJS,O,X,O,O,X,O
TZILOSJ,O,X,O,O,X,O
TZIJLSO,O,O,O,O,O,X
TZIJLOS,O,O,O,O,O,X
TZIJSLO,O,O,O,X,X,X
TZIJSOL,O,O,O,X,X,X
TZIJOLS,O,O,O,O,O,X
TZIJOSL,O,O,O,O,X,X
TZISLJO,O,O,O,O,X,X
TZISLOJ,O,X,O,O,X,X
TZISJLO,O,O,O,X,X,X
TZISJOL,O,O,O,X,X,X
TZISOLJ,O,X,X,O,X,X
TZISOJL,O,X,X,O,X,X
TZIOLJS,O,X,O,O,X,O
TZIOLSJ,O,X,O,O,X,O
TZIOJLS,O,X,O,O,X,O
TZIOJSL,O,X,O,O,X,X
TZIOSLJ,O,X,X,O,X,X
TZIOSJL,O,X,X,O,X,X
TZLIJSO,O,O,O,O,O,X
TZLIJOS,O,O,O,O,O,X
TZLISJO,O,O,O,O,O,X
TZLISOJ,O,X,O,O,X,O
TZLIOJS,O,X,O,O,X,O
TZLIOSJ,O,X,O,O,X,O
TZLJISO,O,O,O,O,O,X
TZLJIOS,O,O,O,O,O,X
TZLJSIO,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O
TZLJOIS,O,O,O,O,O,O
TZLJOSI,O,O,O,O,O,O
TZLSIJO,O,O,O,O,O,X
TZLSIOJ,O,X,O,O,X,O
TZLSJIO,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O
TZLSOIJ,O,X,O,O,X,O
TZLSOJI,O,X,O,O,X,O
TZLOIJS,O,X,O,O,X,O
TZLOISJ,O,X,O,O,X,O
TZLOJIS,O,X,O,O,X,O
TZLOJSI,O,X,O,O,X,O
TZLOSIJ,O,X,O,O,X,O
TZLOSJI,O,X,O,O,X,O
TZJILSO,O,O,O,O,O,X
TZJILOS,O,O,O,O,O,X
TZJISLO,O,O,O,X,X,X
TZJISOL,O,O,O,X,X,X
TZJIOLS,O,O,O,O,O,X
TZJIOSL,O,O,O,O,X,X
TZJLISO,O,O,O,O,O,X
TZJLIOS,O,O,O,O,O,X
TZJLSIO,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O
TZJLOIS,O,O,O,O,O,O
TZJLOSI,O,O,O,O,O,O
TZJSILO,O,O,O,X,X,X
TZJSIOL,O,O,O,X,X,X
TZJSLIO,O,O,O,O,X,X
TZJSLOI,O,O,O,O,X,X
TZJSOIL,O,O,O,O,X,X
TZJSOLI,O,O,O,O,X,X
TZJOILS,O,O,O,O,O,O
TZJOISL,O,O,O,O,X,X
TZJOLIS,O,O,O,O,O,O
TZJOLSI,O,O,O,O,O,O
TZJOSIL,O,O,O,O,X,X
TZJOSLI,O,O,O,O,X,X
TZSILJO,O,O,O,O,X,X
TZSILOJ,O,X,O,O,X,X
TZSIJLO,O,O,O,X,X,X
TZSIJOL,O,O,O,X,X,X
TZSIOLJ,O,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X
TZSLIJO,O,O,O,O,X,X
TZSLIOJ,O,X,O,O,X,X
TZSLJIO,O,O,O,O,X,X
TZSLJOI,O,O,O,O,X,X
TZSLOIJ,O,X,O,O,X,X
TZSLOJI,O,X,O,O,X,X
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,O,O,X,X
TZSJLOI,O,O,O,O,X,X
TZSJOIL,O,O,O,O,X,X
TZSJOLI,O,O,O,O,X,X
TZSOILJ,O,X,X,O,X,X
TZSOIJL,O,X,X,O,X,X
TZSOLIJ,O,X,X,O,X,X
TZSOLJI,O,X,X,O,X,X
TZSOJIL,O,X,X,O,X,X
TZSOJLI,O,X,X,O,X,X
TZOILJS,O,X,O,O,X,O
TZOILSJ,O,X,O,O,X,O
TZOIJLS,O,X,O,O,X,O
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,X,X,O,X,X
TZOISJL,O,X,X,O,X,X
TZOLIJS,O,X,O,O,X,O
