sequence,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDqCBAAvhF3hB1kBTeBsgBGiBifB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBKNMgC6OBAAvhF2kBfjB6jBzcBsgBlfB,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTnjWCqOBAAvhF3hBTeBsgBifBGdBlfB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDs/AAAvhF3fBFjBzcBsgBiaBGjB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBzvaFDsOBAAvhF3fBGjBzcBsgBiaBFjB,v115@RhA8AeH8AeI8JeXDYaAFLDmClcJSAVDEHBEooRBToA?VBpXWWCv/AAAvhFRmBUdBVhBKfBzaBGjB,v115@RhA8AeH8AeI8JezAYaAFLDmClcJSAVDEHBEooRBPoA?VBzP9VC6OBAAvhF3fB+jBRiBiaB0hBliB,v115@RhA8AeH8AeI8Je1GYaAFLDmClcJSAVDEHBEooRBUoA?VBTejWCv/AAAvhF3fBxiBsgBiaBTjBGiB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBvuLuCqCBAAvhFTfBViBUeBXcBmaBSoB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUtHgCpCBAAvhFVmB3fB+jBzdBRcBiaB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBU3TWCp/AAAvhFVmBTfBfjB6jBRcBmaB,v115@RhA8AeH8AeI8JeWIYaAFLDmClcJSAVDEHBEooRBKoA?VBJ9aFD0CBAAvhFRmB3fBTeBUcBFdBiaB,v115@RhA8AeH8AeI8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUNMgCK+AAAvhFVnBXhBKfBzaBGeBRcB,v115@RhA8AeH8AeI8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFD0/AAAvhFRmBTfBXeBUcBFdBmaB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBqHUWCvOBAAvhF+jBsiBXdBKfBzaBFcB
JSTOZLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSITLZO,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O
JSITLOZ,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O
JSITZLO,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O
JSITZOL,O,O,O,O,O,X,X,X,X,O,X,O,O,X,O
JSITOLZ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X
JSITOZL,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X
JSILTZO,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O
JSILTOZ,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O
JSILZTO,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O
JSILZOT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O
JSILOTZ,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O
JSILOZT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O
JSIZTLO,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O
JSIZTOL,O,O,O,O,O,X,X,X,X,O,X,O,X,X,O
JSIZLTO,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O
JSIZLOT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O
JSIZOTL,O,O,O,O,O,X,X,X,X,O,X,O,X,X,O
JSIZOLT,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O
JSIOTLZ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X
JSIOTZL,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X
JSIOLTZ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X
JSIOLZT,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X
JSIOZTL,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X
JSIOZLT,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X
JSLTIZO,O,O,O,O,O,X,X,O,X,O,X,O,O,X,X
JSLTIOZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
JSLTZIO,O,O,O,X,X,X,X,O,X,O,X,O,O,X,X
JSLTZOI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JSLTOIZ,O,O,X,X,X,X,O,X,X,O,O,O,O,X,X
JSLTOZI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JSLITZO,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O
JSLITOZ,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O
JSLIZTO,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O
JSLIZOT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O
JSLIOTZ,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O
JSLIOZT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O
JSLZTIO,O,O,O,X,X,X,X,O,X,O,O,O,X,X,O
JSLZTOI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSLZITO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
JSLZIOT,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O
JSLZOTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSLZOIT,X,X,O,X,X,O,O,X,X,O,O,O,X,X,O
JSLOTIZ,X,O,X,X,X,X,O,X,X,O,O,O,O,X,X
JSLOTZI,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JSLOITZ,X,O,O,X,O,O,O,X,X,O,O,O,O,X,O
JSLOIZT,X,O,O,X,O,O,O,X,X,O,O,O,X,X,O
JSLOZTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSLOZIT,X,X,O,X,X,O,O,X,X,O,O,O,X,X,O
JSZTILO,O,O,O,X,X,X,X,O,X,O,O,X,X,X,O
JSZTIOL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
JSZTLIO,O,O,O,X,X,X,X,O,X,O,O,O,X,X,O
JSZTLOI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZTOIL,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JSZTOLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZITLO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
JSZITOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JSZILTO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
JSZILOT,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O
JSZIOTL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JSZIOLT,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O
JSZLTIO,O,O,O,X,X,X,X,O,X,O,O,O,X,X,O
JSZLTOI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZLITO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
JSZLIOT,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O
JSZLOTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZLOIT,X,X,O,X,X,O,O,X,X,O,O,O,X,X,O
JSZOTIL,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JSZOTLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZOITL,O,X,O,X,X,X,X,X,X,O,O,O,X,X,O
JSZOILT,O,X,O,X,X,X,O,X,X,O,O,O,X,X,O
JSZOLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZOLIT,X,X,O,X,X,X,O,X,X,O,O,O,X,X,O
JSOTILZ,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JSOTIZL,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOTLIZ,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JSOTLZI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOTZIL,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSOTZLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOITLZ,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOITZL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X
JSOILTZ,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOILZT,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOIZTL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X
JSOIZLT,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOLTIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JSOLTZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOLITZ,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOLIZT,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X
JSOLZTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOLZIT,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
JSOZTIL,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSOZTLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOZITL,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X
JSOZILT,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X
JSOZLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JSOZLIT,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
JZTILSO,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZTILOS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZTISLO,X,O,X,X,X,X,X,O,X,O,O,O,O,X,O
JZTISOL,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JZTIOLS,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JZTIOSL,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JZTLISO,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTLIOS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTLSIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTLSOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTLOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTLOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZTSILO,O,O,X,X,X,X,X,O,X,O,O,X,O,X,O
JZTSIOL,O,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JZTSLIO,O,O,X,X,X,X,X,O,X,O,O,O,O,X,O
JZTSLOI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZTSOIL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZTSOLI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZTOILS,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X
JZTOISL,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X
JZTOLIS,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZTOLSI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZTOSIL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZTOSLI,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JZITLSO,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZITLOS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZITSLO,X,O,X,O,O,X,X,X,X,O,O,O,O,X,O
JZITSOL,X,O,X,O,O,X,X,X,X,O,O,O,O,X,O
JZITOLS,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O
JZITOSL,X,O,X,O,O,X,X,X,X,O,O,O,O,X,O
JZILTSO,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZILTOS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZILSTO,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O
JZILSOT,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O
JZILOTS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O
JZILOST,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O
JZISTLO,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZISTOL,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZISLTO,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZISLOT,X,O,X,O,O,X,O,X,X,O,O,O,X,X,O
JZISOTL,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZISOLT,X,O,X,O,O,X,O,X,X,O,O,O,X,X,O
JZIOTLS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O
JZIOTSL,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZIOLTS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O
JZIOLST,X,O,X,X,O,X,X,X,X,O,O,O,X,X,O
JZIOSTL,X,O,X,O,O,X,X,X,X,O,O,O,X,X,O
JZIOSLT,X,O,X,O,O,X,O,X,X,O,O,O,X,X,O
JZLTISO,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTIOS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTSIO,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTSOI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLITSO,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLITOS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLISTO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLISOT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLIOTS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLSTIO,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O
JZLSTOI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLSITO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
JZLSIOT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
JZLSOTI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLSOIT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZLOTIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLOTSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLOITS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLOIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLOSTI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLOSIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSTILO,O,O,O,X,X,X,X,O,X,O,O,X,O,X,O
JZSTIOL,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O
JZSTLIO,O,O,O,X,X,X,X,O,X,O,O,O,O,X,O
JZSTLOI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZSTOIL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZSTOLI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZSITLO,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JZSITOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JZSILTO,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JZSILOT,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O
JZSIOTL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JZSIOLT,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O
JZSLTIO,O,O,O,X,X,X,X,O,X,O,O,O,O,X,O
JZSLTOI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZSLITO,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
JZSLIOT,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O
JZSLOTI,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O
JZSLOIT,X,X,O,X,X,X,O,X,X,O,O,O,X,X,O
JZSOTIL,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JZSOTLI,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JZSOITL,O,X,O,X,X,X,X,X,X,O,O,O,X,X,O
JZSOILT,O,X,O,X,X,X,O,X,X,O,O,O,X,X,O
JZSOLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JZSOLIT,X,X,O,X,X,X,O,X,X,O,O,O,X,X,O
JZOTILS,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X
JZOTISL,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X
JZOTLIS,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZOTLSI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZOTSIL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JZOTSLI,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JZOITLS,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOITSL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOILTS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O
JZOILST,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOISTL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOISLT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O
JZOLTIS,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZOLTSI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZOLITS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZOLIST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JZOLSTI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O
JZOLSIT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JZOSTIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JZOSTLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOSITL,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOSILT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O
JZOSLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JZOSLIT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O
JOTILSZ,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X
JOTILZS,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X
JOTISLZ,X,O,X,X,X,X,O,X,O,O,O,O,X,O,X
JOTISZL,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X
JOTIZLS,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X
JOTIZSL,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X
JOTLISZ,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOTLIZS,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
JOTLSIZ,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X
JOTLSZI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOTLZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTSILZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JOTSIZL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTSLIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JOTSLZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTSZIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTSZLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTZILS,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTZISL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTZLIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTZLSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTZSIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTZSLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOITLSZ,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O
JOITLZS,X,O,X,X,X,X,X,X,O,X,O,O,X,O,O
JOITSLZ,X,O,X,X,O,X,O,X,O,O,O,O,X,O,X
JOITSZL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,X
JOITZLS,X,O,X,X,X,X,X,X,O,X,O,O,X,O,O
JOITZSL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,O
JOILTSZ,X,O,X,X,X,X,X,X,O,X,O,O,X,O,O
JOILTZS,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O
JOILSTZ,X,O,X,X,O,X,O,X,O,X,O,O,X,O,O
JOILSZT,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O
JOILZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
JOILZST,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O
JOISTLZ,X,O,X,X,O,X,O,X,O,O,O,O,X,O,X
JOISTZL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,X
JOISLTZ,X,O,X,X,O,X,O,X,O,O,O,O,X,O,X
JOISLZT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOISZTL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,X
JOISZLT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOIZTLS,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O
JOIZTSL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,O
JOIZLTS,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O
JOIZLST,X,O,X,X,O,X,X,X,X,O,O,O,X,O,O
JOIZSTL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,O
JOIZSLT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,O
JOLTISZ,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
JOLTIZS,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
JOLTSIZ,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X
JOLTSZI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOLTZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLTZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLITSZ,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O
JOLITZS,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O
JOLISTZ,X,X,X,X,X,X,O,X,O,X,O,O,X,O,O
JOLISZT,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O
JOLIZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
JOLIZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
JOLSTIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,O,X
JOLSTZI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOLSITZ,X,O,X,X,X,X,O,X,X,O,O,O,X,O,O
JOLSIZT,X,O,X,X,X,X,O,X,X,O,O,O,X,O,O
JOLSZTI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
JOLSZIT,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O
JOLZTIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOLZTSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOLZITS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
JOLZIST,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOLZSTI,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOLZSIT,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOSTILZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JOSTIZL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSTLIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X
JOSTLZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSTZIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSTZLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSITLZ,X,O,X,X,O,X,O,X,O,O,O,O,X,O,X
JOSITZL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,X
JOSILTZ,X,O,X,X,O,X,O,X,O,O,O,O,X,O,X
JOSILZT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOSIZTL,X,O,X,X,O,X,X,X,O,O,O,O,X,O,X
JOSIZLT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOSLTIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,O,X
JOSLTZI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOSLITZ,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOSLIZT,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X
JOSLZTI,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
JOSLZIT,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X
JOSZTIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSZTLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSZITL,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSZILT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X
JOSZLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSZLIT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X
JOZTILS,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOZTISL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOZTLIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZTLSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZTSIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZTSLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JOZITLS,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O
JOZITSL,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O
JOZILTS,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O
JOZILST,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O
JOZISTL,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O
JOZISLT,X,O,X,X,X,X,O,X,X,O,O,O,X,O,O
JOZLTIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOZLTSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOZLITS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
JOZLIST,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOZLSTI,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOZLSIT,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JOZSTIL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOZSTLI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JOZSITL,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JOZSILT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O
JOZSLTI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JOZSLIT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O
STILJZO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X
STILJOZ,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X
STILZJO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X
