sequence,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBUnjWCz/AAAvhFFZBzSBsWBKVBXRBGZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBKnjWCzOBAAvhFGZBzSBsWBKVBXRBFZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je33XaAFLDmClcJSAVDEHB?EooRBToAVBKH8LC6OBAAvhF+ZBzTBKVBRWBUYBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jez2XaAFLDmClcJSAVDEHB?EooRBPoAVBK+rtC6OBAAvhF+ZBRYBKVBXRB0XBlYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBKH8LCzOBAAvhF+ZBzTBKVBRWB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je18XaAFLDmClcJSAVDEHB?EooRBUoAVBpXstCv/AAAvhFxYBsWBKVBXRBTZBGYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBqSFgCzOBAAvhFWZBKVBRWBTZB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeW+XaAFLDmClcJSAVDEHB?EooRBKoAVBJ3TWC6OBAAvhFRcBTUBXTBKVBURBFSB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVB6vytCM+AAAvhF0WB+ZBzTB3SBKVBRRB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVBzvKWCa+AAAvhFXXB+ZBzTBKVBURBRSB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex9XaAFLDmClcJSAVDEHB?EooRBJoAVBTnjWCqOBAAvhF3XBTUBsWBKVBGTBFRB
ITOSJZL,X,X,X,X,X,X,X,O,X,O,O
ITOSZLJ,O,X,X,X,X,X,X,X,X,X,O
ITOSZJL,X,X,X,X,X,X,X,X,X,X,O
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,O,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,X,O,O,O,O
ILTJSOZ,X,X,O,X,X,X,X,O,O,O,O
ILTJZSO,O,O,X,X,X,O,X,O,O,O,X
ILTJZOS,O,O,X,X,O,X,X,O,O,O,X
ILTJOSZ,X,X,O,X,X,X,X,O,O,O,O
ILTJOZS,O,O,X,X,O,X,X,O,O,O,X
ILTSJZO,X,X,X,X,X,X,X,O,O,O,O
ILTSJOZ,X,X,O,X,X,X,X,O,O,O,O
ILTSZJO,O,X,X,X,X,O,X,O,O,O,O
ILTSZOJ,O,X,X,X,X,O,X,O,O,O,O
ILTSOJZ,X,X,X,X,X,X,X,O,O,O,O
ILTSOZJ,O,X,X,X,X,X,X,O,X,O,O
ILTZJSO,O,O,X,X,X,O,O,O,O,O,X
ILTZJOS,O,O,X,X,O,X,O,O,O,O,X
ILTZSJO,O,O,X,X,X,O,X,O,O,O,X
ILTZSOJ,O,O,X,X,X,O,X,O,O,O,X
ILTZOJS,O,O,X,X,X,X,X,O,O,X,X
ILTZOSJ,O,O,X,X,X,O,X,O,O,X,X
ILTOJSZ,X,X,X,X,X,X,X,O,X,O,O
ILTOJZS,O,O,X,X,X,X,X,O,X,O,X
ILTOSJZ,X,X,X,X,X,X,X,O,X,O,O
ILTOSZJ,O,X,X,X,X,X,X,O,X,O,O
ILTOZJS,O,O,X,X,X,X,X,O,X,X,X
ILTOZSJ,O,O,X,X,X,O,X,O,X,X,X
ILJTSZO,X,X,X,X,X,X,X,O,O,O,O
ILJTSOZ,X,X,O,X,X,X,X,O,O,O,O
ILJTZSO,O,O,X,X,X,X,X,O,O,O,X
ILJTZOS,O,O,X,X,O,X,X,O,O,O,X
ILJTOSZ,X,X,O,O,X,X,X,O,O,O,O
ILJTOZS,O,O,X,X,O,X,X,O,O,O,X
ILJSTZO,X,X,X,X,X,X,X,O,X,X,O
ILJSTOZ,X,X,O,X,X,X,X,O,X,X,O
ILJSZTO,X,O,X,X,X,X,X,O,X,X,O
ILJSZOT,X,O,O,X,O,X,X,O,X,X,O
ILJSOTZ,X,X,O,O,X,X,X,O,X,X,O
ILJSOZT,X,O,O,O,O,X,X,O,X,X,O
ILJZTSO,O,O,X,X,X,X,O,O,O,X,X
ILJZTOS,O,O,X,X,O,X,O,O,O,X,X
ILJZSTO,O,O,X,X,X,X,O,O,O,X,O
ILJZSOT,O,O,O,X,O,X,O,O,X,X,O
ILJZOTS,O,O,X,X,O,X,O,O,O,X,X
ILJZOST,O,O,O,O,O,X,O,O,X,X,O
ILJOTSZ,X,X,O,O,X,X,X,O,O,O,O
ILJOTZS,O,O,X,X,O,X,X,O,O,O,X
ILJOSTZ,X,X,O,O,X,X,X,O,X,X,O
ILJOSZT,X,O,O,O,O,X,X,O,X,X,O
ILJOZTS,O,O,X,X,O,X,X,O,X,X,X
ILJOZST,O,O,O,O,O,X,X,O,X,X,O
ILSTJZO,X,X,X,X,X,X,X,O,X,O,O
ILSTJOZ,X,X,O,X,X,X,X,O,X,O,O
ILSTZJO,O,X,X,X,X,X,X,O,X,O,O
ILSTZOJ,O,X,X,X,X,X,X,O,X,O,O
ILSTOJZ,X,X,X,X,X,X,X,O,X,O,O
ILSTOZJ,O,X,X,X,X,X,X,O,X,O,O
ILSJTZO,X,X,X,X,X,X,X,O,X,O,O
ILSJTOZ,X,X,O,X,X,X,X,O,X,O,O
ILSJZTO,X,O,X,X,X,X,X,O,X,O,O
ILSJZOT,X,O,O,X,O,X,X,O,X,X,O
ILSJOTZ,X,X,O,O,X,X,X,O,X,X,O
ILSJOZT,X,O,O,O,O,X,X,O,X,X,O
ILSZTJO,O,O,X,X,X,X,X,O,X,O,O
ILSZTOJ,O,O,X,X,X,X,X,O,X,O,O
ILSZJTO,O,O,X,X,X,X,O,O,X,O,O
ILSZJOT,O,O,O,X,O,X,O,O,X,X,O
ILSZOTJ,O,O,X,X,X,X,X,O,X,O,O
ILSZOJT,O,O,X,X,X,X,X,O,X,X,O
ILSOTJZ,X,X,X,X,X,X,X,O,X,O,O
ILSOTZJ,O,X,X,X,X,X,X,O,X,O,O
ILSOJTZ,X,X,O,O,X,X,X,O,X,X,O
ILSOJZT,X,O,O,O,X,X,X,O,X,X,O
ILSOZTJ,O,O,X,X,X,X,X,O,X,O,O
ILSOZJT,O,O,X,X,X,X,X,O,X,X,O
ILZTJSO,O,O,X,X,X,X,O,O,O,X,X
ILZTJOS,O,O,X,X,O,X,O,O,O,X,X
ILZTSJO,O,O,X,X,X,X,X,O,O,X,X
ILZTSOJ,O,O,X,X,X,X,X,O,O,X,X
ILZTOJS,O,O,X,X,X,X,X,O,O,X,X
ILZTOSJ,O,O,X,X,X,X,X,O,O,X,X
ILZJTSO,O,O,X,X,X,X,O,O,O,X,X
ILZJTOS,O,O,X,X,O,X,O,O,O,X,X
ILZJSTO,O,O,X,X,X,X,O,O,O,X,O
ILZJSOT,O,O,O,X,O,X,O,O,X,X,O
ILZJOTS,O,O,X,X,O,X,O,O,O,X,X
ILZJOST,O,O,O,X,O,X,O,O,X,X,O
ILZSTJO,O,O,X,X,X,X,X,O,O,X,O
ILZSTOJ,O,O,X,X,X,X,X,O,O,X,O
ILZSJTO,O,O,X,X,X,X,O,O,O,X,O
ILZSJOT,O,O,O,X,O,X,O,O,X,X,O
ILZSOTJ,O,O,X,X,X,X,X,O,O,X,O
ILZSOJT,O,O,X,X,X,X,X,O,X,X,O
ILZOTJS,O,O,X,X,X,X,X,O,O,X,X
ILZOTSJ,O,O,X,X,X,X,X,O,O,X,X
ILZOJTS,O,O,X,X,O,X,O,O,O,X,X
ILZOJST,O,O,X,X,O,X,O,O,X,X,O
ILZOSTJ,O,O,X,X,X,X,X,O,O,X,O
ILZOSJT,O,O,X,X,X,X,X,O,X,X,O
ILOTJSZ,X,X,X,X,X,X,X,O,X,X,O
ILOTJZS,O,O,X,X,X,X,X,O,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,O,X,X,O
ILOTSZJ,O,X,X,X,X,X,X,O,X,X,O
ILOTZJS,O,O,X,X,X,X,X,O,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,O,X,X,O
ILOJTZS,O,O,X,X,O,X,X,O,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,O,X,X,O
ILOJSZT,X,O,O,O,O,X,X,O,X,X,O
ILOJZTS,O,O,X,X,O,X,X,O,X,X,X
ILOJZST,O,O,O,O,O,X,X,O,X,X,O
ILOSTJZ,X,X,X,X,X,X,X,O,X,X,O
ILOSTZJ,O,X,X,X,X,X,X,O,X,X,O
ILOSJTZ,X,X,O,O,X,X,X,O,X,X,O
ILOSJZT,X,O,O,O,X,X,X,O,X,X,O
ILOSZTJ,O,O,X,X,X,X,X,O,X,X,O
ILOSZJT,O,O,X,X,X,X,X,O,X,X,O
ILOZTJS,O,O,X,X,X,X,X,O,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,O,X,X,X
ILOZJTS,O,O,X,X,O,X,O,O,X,X,X
ILOZJST,O,O,X,X,O,X,O,O,X,X,O
ILOZSTJ,O,O,X,X,X,X,X,O,X,X,O
ILOZSJT,O,O,X,X,X,X,X,O,X,X,O
IJTLSZO,X,X,X,X,X,X,X,O,O,O,O
IJTLSOZ,X,X,X,X,X,X,X,O,O,O,O
IJTLZSO,O,O,X,X,X,X,X,O,O,O,X
IJTLZOS,O,O,X,X,X,X,X,O,O,O,X
IJTLOSZ,X,X,X,O,X,X,X,O,O,O,O
IJTLOZS,O,O,X,X,X,X,X,O,O,O,X
IJTSLZO,X,X,X,X,X,X,X,O,O,O,O
IJTSLOZ,X,X,X,X,X,X,X,O,O,O,O
IJTSZLO,X,X,X,X,X,X,X,O,O,O,O
IJTSZOL,X,X,X,X,X,X,X,O,O,O,O
IJTSOLZ,X,X,X,X,X,X,X,O,O,O,O
IJTSOZL,X,X,X,X,X,X,X,O,O,O,O
IJTZLSO,O,O,X,X,X,X,X,O,O,O,X
IJTZLOS,O,O,X,X,X,X,X,O,O,O,X
IJTZSLO,X,X,X,X,X,X,X,O,O,O,X
IJTZSOL,X,X,X,X,X,X,X,O,O,O,X
IJTZOLS,O,O,X,X,X,X,X,O,O,O,X
IJTZOSL,X,X,X,X,X,X,X,O,O,O,X
IJTOLSZ,X,X,X,O,X,X,X,O,O,O,O
IJTOLZS,O,O,X,X,X,X,X,O,O,O,X
IJTOSLZ,X,X,X,X,X,X,X,O,O,O,O
IJTOSZL,X,X,X,X,X,X,X,O,O,O,O
IJTOZLS,O,O,X,X,X,X,X,O,O,O,X
IJTOZSL,X,X,X,X,X,X,X,O,O,O,X
IJLTSZO,X,X,X,X,X,X,X,O,O,O,O
IJLTSOZ,X,X,O,X,X,X,X,O,O,O,O
IJLTZSO,O,O,X,X,X,X,X,O,O,O,X
IJLTZOS,O,O,X,X,O,X,X,O,O,O,X
IJLTOSZ,X,X,O,O,X,X,X,O,O,O,O
IJLTOZS,O,O,X,X,O,X,X,O,O,O,X
IJLSTZO,X,X,X,X,X,X,X,O,X,X,O
IJLSTOZ,X,X,O,X,X,X,X,O,X,X,O
IJLSZTO,X,O,X,X,X,X,X,O,X,X,O
IJLSZOT,X,O,O,X,O,X,X,O,X,X,O
IJLSOTZ,X,X,O,O,X,X,X,O,X,X,O
IJLSOZT,X,O,O,O,O,X,X,O,X,X,O
IJLZTSO,O,O,X,X,X,X,X,O,O,X,X
IJLZTOS,O,O,X,X,O,X,X,O,O,X,X
IJLZSTO,O,O,X,X,X,X,X,O,O,X,O
IJLZSOT,O,O,O,X,O,X,X,O,X,X,O
IJLZOTS,O,O,X,X,O,X,X,O,O,X,X
IJLZOST,O,O,O,O,O,X,X,O,X,X,O
IJLOTSZ,X,X,O,O,X,X,X,O,O,O,O
IJLOTZS,O,O,X,X,O,X,X,O,O,O,X
IJLOSTZ,X,X,O,O,X,X,X,O,X,X,O
IJLOSZT,X,O,O,O,O,X,X,O,X,X,O
IJLOZTS,O,O,X,X,O,X,X,O,X,X,X
IJLOZST,O,O,O,O,O,X,X,O,X,X,O
IJSTLZO,X,X,X,X,X,X,X,O,X,X,O
IJSTLOZ,X,X,X,X,X,X,X,O,X,X,O
IJSTZLO,X,X,X,X,X,X,X,O,X,X,O
IJSTZOL,X,X,X,X,X,X,X,O,X,X,O
IJSTOLZ,X,X,X,X,X,X,X,O,X,X,O
IJSTOZL,X,X,X,X,X,X,X,O,X,X,O
IJSLTZO,X,X,X,X,X,X,X,O,X,X,O
IJSLTOZ,X,X,O,X,X,X,X,O,X,X,O
IJSLZTO,X,O,X,X,X,X,X,O,X,X,O
IJSLZOT,X,O,O,X,X,X,X,O,X,X,O
IJSLOTZ,X,X,O,O,X,X,X,O,X,X,O
IJSLOZT,X,O,O,O,X,X,X,O,X,X,O
IJSZTLO,X,X,X,X,X,X,X,O,X,X,O
IJSZTOL,X,X,X,X,X,X,X,O,X,X,O
IJSZLTO,X,O,X,X,X,X,X,O,X,X,O
IJSZLOT,X,O,X,X,X,X,X,O,X,X,O
IJSZOTL,X,X,X,X,X,X,X,O,X,X,O
IJSZOLT,X,O,X,X,X,X,X,O,X,X,O
IJSOTLZ,X,X,X,X,X,X,X,O,X,X,O
IJSOTZL,X,X,X,X,X,X,X,O,X,X,O
IJSOLTZ,X,X,O,O,X,X,X,O,X,X,O
IJSOLZT,X,O,O,O,X,X,X,O,X,X,O
IJSOZTL,X,X,X,X,X,X,X,O,X,X,O
IJSOZLT,X,O,X,X,X,X,X,O,X,X,O
IJZTLSO,O,O,X,X,X,X,X,O,O,X,X
IJZTLOS,O,O,X,X,X,X,X,O,O,X,X
IJZTSLO,X,X,X,X,X,X,X,O,O,X,X
IJZTSOL,X,X,X,X,X,X,X,O,O,X,X
IJZTOLS,O,O,X,X,X,X,X,O,O,X,X
IJZTOSL,X,X,X,X,X,X,X,O,O,X,X
IJZLTSO,O,O,X,X,X,X,X,O,O,X,X
IJZLTOS,O,O,X,X,O,X,X,O,O,X,X
IJZLSTO,O,O,X,X,X,X,X,O,O,X,O
IJZLSOT,O,O,X,X,O,X,X,O,X,X,O
IJZLOTS,O,O,X,X,O,X,X,O,O,X,X
IJZLOST,O,O,X,O,O,X,X,O,X,X,O
IJZSTLO,X,X,X,X,X,X,X,O,X,X,O
IJZSTOL,X,X,X,X,X,X,X,O,X,X,O
IJZSLTO,X,O,X,X,X,X,X,O,X,X,O
IJZSLOT,X,O,X,X,X,X,X,O,X,X,O
IJZSOTL,X,X,X,X,X,X,X,O,X,X,O
IJZSOLT,X,O,X,X,X,X,X,O,X,X,O
IJZOTLS,O,O,X,X,X,X,X,O,X,X,X
IJZOTSL,X,X,X,X,X,X,X,O,X,X,X
IJZOLTS,O,O,X,X,O,X,X,O,X,X,X
IJZOLST,O,O,X,O,O,X,X,O,X,X,O
IJZOSTL,X,X,X,X,X,X,X,O,X,X,O
IJZOSLT,X,O,X,X,X,X,X,O,X,X,O
IJOTLSZ,X,X,X,O,X,X,X,O,O,O,O
IJOTLZS,O,O,X,X,X,X,X,O,O,O,X
IJOTSLZ,X,X,X,X,X,X,X,O,O,O,O
IJOTSZL,X,X,X,X,X,X,X,O,O,O,O
IJOTZLS,O,O,X,X,X,X,X,O,O,O,X
IJOTZSL,X,X,X,X,X,X,X,O,O,O,X
IJOLTSZ,X,X,O,O,X,X,X,O,O,O,O
IJOLTZS,O,O,X,X,O,X,X,O,O,O,X
IJOLSTZ,X,X,O,O,X,X,X,O,X,X,O
IJOLSZT,X,O,O,O,O,X,X,O,X,X,O
IJOLZTS,O,O,X,X,O,X,X,O,X,X,X
IJOLZST,O,O,O,O,O,X,X,O,X,X,O
IJOSTLZ,X,X,X,X,X,X,X,O,X,X,O
IJOSTZL,X,X,X,X,X,X,X,O,X,X,O
IJOSLTZ,X,X,O,O,X,X,X,O,X,X,O
IJOSLZT,X,O,O,O,X,X,X,O,X,X,O
IJOSZTL,X,X,X,X,X,X,X,O,X,X,O
IJOSZLT,X,O,X,X,X,X,X,O,X,X,O
IJOZTLS,O,O,X,X,X,X,X,O,X,X,X
IJOZTSL,X,X,X,X,X,X,X,O,X,X,X
IJOZLTS,O,O,X,X,O,X,X,O,X,X,X
IJOZLST,O,O,X,O,O,X,X,O,X,X,O
IJOZSTL,X,X,X,X,X,X,X,O,X,X,O
IJOZSLT,X,O,X,X,X,X,X,O,X,X,O
ISTLJZO,X,X,X,X,X,X,X,O,X,O,O
ISTLJOZ,X,X,X,X,X,X,X,O,X,O,O
ISTLZJO,O,X,X,X,X,X,X,O,X,O,O
ISTLZOJ,O,X,X,X,X,X,X,O,X,O,O
ISTLOJZ,X,X,X,X,X,X,X,O,X,O,O
ISTLOZJ,O,X,X,X,X,X,X,O,X,O,O
ISTJLZO,X,X,X,X,X,X,X,O,X,O,O
ISTJLOZ,X,X,X,X,X,X,X,O,X,O,O
ISTJZLO,X,X,X,X,X,X,X,O,X,O,O
ISTJZOL,X,X,X,X,X,X,X,O,X,O,O
ISTJOLZ,X,X,X,X,X,X,X,O,X,O,O
ISTJOZL,X,X,X,X,X,X,X,O,X,O,O
ISTZLJO,O,X,X,X,X,X,X,O,X,O,O
ISTZLOJ,O,X,X,X,X,X,X,O,X,O,O
ISTZJLO,X,X,X,X,X,X,X,O,X,O,O
ISTZJOL,X,X,X,X,X,X,X,O,X,O,O
ISTZOLJ,O,X,X,X,X,X,X,X,X,X,O
ISTZOJL,X,X,X,X,X,X,X,X,X,X,O
ISTOLJZ,X,X,X,X,X,X,X,O,X,O,O
ISTOLZJ,O,X,X,X,X,X,X,O,X,O,O
ISTOJLZ,X,X,X,X,X,X,X,O,X,O,O
ISTOJZL,X,X,X,X,X,X,X,O,X,O,O
ISTOZLJ,O,X,X,X,X,X,X,X,X,X,O
ISTOZJL,X,X,X,X,X,X,X,X,X,X,O
ISLTJZO,X,X,X,X,X,X,X,O,X,O,O
ISLTJOZ,X,X,O,X,X,X,X,O,X,O,O
ISLTZJO,O,X,X,X,X,X,X,O,X,O,O
ISLTZOJ,O,X,X,X,X,X,X,O,X,O,O
ISLTOJZ,X,X,X,X,X,X,X,O,X,O,O
ISLTOZJ,O,X,X,X,X,X,X,O,X,O,O
ISLJTZO,X,X,X,X,X,X,X,O,X,O,O
ISLJTOZ,X,X,O,X,X,X,X,O,X,O,O
ISLJZTO,X,O,X,X,X,X,X,O,X,O,O
ISLJZOT,X,O,O,X,X,X,X,O,X,X,O
ISLJOTZ,X,X,O,X,X,X,X,O,X,X,O
ISLJOZT,X,O,O,X,X,X,X,O,X,X,O
ISLZTJO,O,O,X,X,X,X,X,O,X,O,O
ISLZTOJ,O,O,X,X,X,X,X,O,X,O,O
ISLZJTO,O,O,X,X,X,X,X,O,X,O,O
ISLZJOT,O,O,O,X,X,X,X,O,X,X,O
ISLZOTJ,O,O,X,X,X,X,X,O,X,O,O
ISLZOJT,O,O,X,X,X,X,X,O,X,X,O
ISLOTJZ,X,X,X,X,X,X,X,O,X,O,O
ISLOTZJ,O,X,X,X,X,X,X,O,X,O,O
ISLOJTZ,X,X,O,X,X,X,X,O,X,X,O
ISLOJZT,X,O,O,X,X,X,X,O,X,X,O
ISLOZTJ,O,O,X,X,X,X,X,O,X,O,O
ISLOZJT,O,O,X,X,X,X,X,O,X,X,O
ISJTLZO,X,X,X,X,X,X,X,O,X,O,O
ISJTLOZ,X,X,X,X,X,X,X,O,X,O,O
ISJTZLO,X,X,X,X,X,X,X,O,X,O,O
ISJTZOL,X,X,X,X,X,X,X,O,X,O,O
ISJTOLZ,X,X,X,X,X,X,X,O,X,O,O
ISJTOZL,X,X,X,X,X,X,X,O,X,O,O
ISJLTZO,X,X,X,X,X,X,X,O,X,O,O
ISJLTOZ,X,X,O,X,X,X,X,O,X,O,O
ISJLZTO,X,O,X,X,X,X,X,O,X,O,O
ISJLZOT,X,O,O,X,X,X,X,O,X,X,O
ISJLOTZ,X,X,O,X,X,X,X,O,X,X,O
ISJLOZT,X,O,O,X,X,X,X,O,X,X,O
ISJZTLO,X,X,X,X,X,X,X,O,X,X,O
ISJZTOL,X,X,X,X,X,X,X,O,X,X,O
ISJZLTO,X,O,X,X,X,X,X,O,X,X,O
ISJZLOT,X,O,X,X,X,X,X,O,X,X,O
ISJZOTL,X,X,X,X,X,X,X,O,X,X,O
ISJZOLT,X,O,X,X,X,X,X,O,X,X,O
ISJOTLZ,X,X,X,X,X,X,X,O,X,X,O
ISJOTZL,X,X,X,X,X,X,X,O,X,X,O
ISJOLTZ,X,X,O,X,X,X,X,O,X,X,O
ISJOLZT,X,O,O,X,X,X,X,O,X,X,O
ISJOZTL,X,X,X,X,X,X,X,O,X,X,O
ISJOZLT,X,O,X,X,X,X,X,O,X,X,O
ISZTLJO,O,X,X,X,X,X,X,O,X,O,O
ISZTLOJ,O,X,X,X,X,X,X,O,X,O,O
ISZTJLO,X,X,X,X,X,X,X,O,X,O,O
ISZTJOL,X,X,X,X,X,X,X,O,X,O,O
ISZTOLJ,O,X,X,X,X,X,X,X,X,X,O
ISZTOJL,X,X,X,X,X,X,X,X,X,X,O
ISZLTJO,O,O,X,X,X,X,X,O,X,O,O
ISZLTOJ,O,O,X,X,X,X,X,O,X,O,O
ISZLJTO,O,O,X,X,X,X,X,O,X,O,O
ISZLJOT,O,O,X,X,X,X,X,O,X,X,O
ISZLOTJ,O,O,X,X,X,X,X,O,X,O,O
ISZLOJT,O,O,X,X,X,X,X,O,X,X,O
ISZJTLO,X,X,X,X,X,X,X,O,X,X,O
ISZJTOL,X,X,X,X,X,X,X,O,X,X,O
ISZJLTO,X,O,X,X,X,X,X,O,X,X,O
ISZJLOT,X,O,X,X,X,X,X,O,X,X,O
ISZJOTL,X,X,X,X,X,X,X,O,X,X,O
ISZJOLT,X,O,X,X,X,X,X,O,X,X,O
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,O
ISZOTJL,X,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,X,X,X,X,X,O
ISZOLJT,O,O,X,X,X,X,X,X,X,X,O
ISZOJTL,X,X,X,X,X,X,X,X,X,X,O
ISZOJLT,X,O,X,X,X,X,X,X,X,X,O
ISOTLJZ,X,X,X,X,X,X,X,O,X,O,O
ISOTLZJ,O,X,X,X,X,X,X,O,X,O,O
ISOTJLZ,X,X,X,X,X,X,X,O,X,O,O
ISOTJZL,X,X,X,X,X,X,X,O,X,O,O
ISOTZLJ,O,X,X,X,X,X,X,X,X,X,O
ISOTZJL,X,X,X,X,X,X,X,X,X,X,O
ISOLTJZ,X,X,X,X,X,X,X,O,X,O,O
ISOLTZJ,O,X,X,X,X,X,X,O,X,O,O
ISOLJTZ,X,X,X,X,X,X,X,O,X,X,O
ISOLJZT,X,O,X,X,X,X,X,O,X,X,O
ISOLZTJ,O,O,X,X,X,X,X,O,X,O,O
ISOLZJT,O,O,X,X,X,X,X,O,X,X,O
ISOJTLZ,X,X,X,X,X,X,X,O,X,X,O
ISOJTZL,X,X,X,X,X,X,X,O,X,X,O
ISOJLTZ,X,X,X,X,X,X,X,O,X,X,O
ISOJLZT,X,O,X,X,X,X,X,O,X,X,O
ISOJZTL,X,X,X,X,X,X,X,O,X,X,O
ISOJZLT,X,O,X,X,X,X,X,O,X,X,O
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,O
ISOZTJL,X,X,X,X,X,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,O
ISOZLJT,O,O,X,X,X,X,X,X,X,X,O
ISOZJTL,X,X,X,X,X,X,X,X,X,X,O
ISOZJLT,X,O,X,X,X,X,X,X,X,X,O
IZTLJSO,O,O,X,X,X,X,X,O,O,X,X
IZTLJOS,O,O,X,X,X,X,X,O,O,X,X
IZTLSJO,O,O,X,X,X,X,X,O,O,X,X
IZTLSOJ,O,O,X,X,X,X,X,O,O,X,X
IZTLOJS,O,O,X,X,X,X,X,O,O,X,X
IZTLOSJ,O,O,X,X,X,X,X,O,O,X,X
IZTJLSO,O,O,X,X,X,X,X,O,O,X,X
IZTJLOS,O,O,X,X,X,X,X,O,O,X,X
IZTJSLO,X,X,X,X,X,X,X,O,O,X,X
IZTJSOL,X,X,X,X,X,X,X,O,O,X,X
IZTJOLS,O,O,X,X,X,X,X,O,O,X,X
IZTJOSL,X,X,X,X,X,X,X,O,O,X,X
IZTSLJO,O,X,X,X,X,X,X,O,O,X,X
IZTSLOJ,O,X,X,X,X,X,X,O,O,X,X
IZTSJLO,X,X,X,X,X,X,X,O,O,X,X
IZTSJOL,X,X,X,X,X,X,X,O,O,X,X
IZTSOLJ,O,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,X,X,X,O,O,O,X,X
IZLTJOS,O,O,X,X,O,X,O,O,O,X,X
IZLTSJO,O,O,X,X,X,X,X,O,O,X,X
IZLTSOJ,O,O,X,X,X,X,X,O,O,X,X
IZLTOJS,O,O,X,X,X,X,X,O,O,X,X
IZLTOSJ,O,O,X,X,X,X,X,O,O,X,X
IZLJTSO,O,O,X,X,X,X,O,O,O,X,X
IZLJTOS,O,O,X,X,O,X,O,O,O,X,X
IZLJSTO,O,O,X,X,X,X,O,O,O,X,O
IZLJSOT,O,O,X,X,O,X,O,O,X,X,O
IZLJOTS,O,O,X,X,O,X,O,O,O,X,X
IZLJOST,O,O,X,X,O,X,O,O,X,X,O
IZLSTJO,O,O,X,X,X,X,X,O,O,X,O
IZLSTOJ,O,O,X,X,X,X,X,O,O,X,O
IZLSJTO,O,O,X,X,X,X,O,O,O,X,O
IZLSJOT,O,O,X,X,O,X,O,O,X,X,O
IZLSOTJ,O,O,X,X,X,X,X,O,O,X,O
IZLSOJT,O,O,X,X,X,X,X,O,X,X,O
IZLOTJS,O,O,X,X,X,X,X,O,O,X,X
IZLOTSJ,O,O,X,X,X,X,X,O,O,X,X
IZLOJTS,O,O,X,X,O,X,O,O,O,X,X
IZLOJST,O,O,X,X,O,X,O,O,X,X,O
IZLOSTJ,O,O,X,X,X,X,X,O,O,X,O
IZLOSJT,O,O,X,X,X,X,X,O,X,X,O
IZJTLSO,O,O,X,X,X,X,X,O,O,X,X
IZJTLOS,O,O,X,X,X,X,X,O,O,X,X
IZJTSLO,X,X,X,X,X,X,X,O,O,X,X
IZJTSOL,X,X,X,X,X,X,X,O,O,X,X
IZJTOLS,O,O,X,X,X,X,X,O,O,X,X
IZJTOSL,X,X,X,X,X,X,X,O,O,X,X
IZJLTSO,O,O,X,X,X,X,O,O,O,X,X
IZJLTOS,O,O,X,X,O,X,O,O,O,X,X
IZJLSTO,O,O,X,X,X,X,O,O,O,X,O
IZJLSOT,O,O,X,X,O,X,O,O,X,X,O
IZJLOTS,O,O,X,X,O,X,O,O,O,X,X
IZJLOST,O,O,X,X,O,X,O,O,X,X,O
