sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
TJILSOZ,X,X,O,O,X,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,O,X,X,X,X,X
TJILZOS,X,O,O,O,O,O,O,X,X,X,X
TJILOSZ,X,X,O,O,O,X,O,X,X,X,X
TJILOZS,X,O,O,O,O,X,O,X,X,X,X
TJISLZO,X,X,O,O,X,O,X,X,X,O,X
TJISLOZ,X,X,O,O,X,O,X,X,X,O,X
TJISZLO,X,X,O,O,X,O,X,X,X,O,X
TJISZOL,X,X,X,O,O,O,X,X,X,O,X
TJISOLZ,X,X,X,O,O,O,X,X,X,O,X
TJISOZL,X,X,X,O,O,O,X,X,X,O,X
TJIZLSO,X,O,O,O,X,O,X,X,X,X,X
TJIZLOS,X,O,O,O,O,O,O,X,X,X,X
TJIZSLO,X,O,O,O,X,O,X,X,X,O,X
TJIZSOL,X,X,X,O,O,O,X,X,X,O,X
TJIZOLS,X,X,X,O,O,X,O,X,X,X,X
TJIZOSL,X,X,X,O,O,O,O,X,X,O,X
TJIOLSZ,X,X,X,O,O,X,O,X,X,X,X
TJIOLZS,X,X,X,O,O,X,O,X,X,X,X
TJIOSLZ,X,X,X,O,O,O,O,X,X,O,X
TJIOSZL,X,X,X,O,O,O,O,X,X,O,X
TJIOZLS,X,X,X,O,O,X,O,X,X,X,X
TJIOZSL,X,X,X,O,O,O,O,X,X,O,X
TJLISZO,X,X,O,X,X,O,X,X,X,X,X
TJLISOZ,X,X,O,X,X,O,X,X,X,X,X
TJLIZSO,X,O,O,X,X,O,X,X,X,X,X
TJLIZOS,X,O,O,X,O,O,O,X,X,X,X
TJLIOSZ,X,X,O,X,O,X,O,X,X,X,X
TJLIOZS,X,O,O,X,O,X,O,X,X,X,X
TJLSIZO,X,X,O,X,X,O,X,X,X,X,X
TJLSIOZ,X,X,O,X,X,O,X,X,X,X,X
TJLSZIO,X,X,O,X,X,O,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,X,O,X,X,X,X,X
TJLSOZI,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,X,O,X,X,X,X,X
TJLZIOS,X,O,O,X,O,O,O,X,X,X,X
TJLZSIO,X,O,O,X,X,O,X,X,X,X,X
TJLZSOI,X,O,O,X,X,X,X,X,X,X,X
TJLZOIS,X,O,O,X,O,X,O,X,X,X,X
TJLZOSI,X,O,O,X,X,X,O,X,X,X,X
TJLOISZ,X,X,O,X,O,X,O,X,X,X,X
TJLOIZS,O,O,O,X,O,X,O,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,O,X,X,X,X
TJLOSZI,X,X,O,X,X,X,O,X,X,X,X
TJLOZIS,X,O,O,X,O,X,O,X,X,X,X
TJLOZSI,X,O,O,X,X,X,O,X,X,X,X
TJSILZO,X,X,O,O,X,O,X,X,X,O,X
TJSILOZ,X,X,O,O,X,O,X,X,X,O,X
TJSIZLO,X,X,O,O,X,O,X,X,X,O,X
TJSIZOL,X,X,X,O,X,O,X,X,X,O,X
TJSIOLZ,X,X,X,O,X,O,X,X,X,O,X
TJSIOZL,X,X,X,O,X,O,X,X,X,O,X
TJSLIZO,X,X,O,X,X,O,X,X,X,O,X
TJSLIOZ,X,X,O,X,X,O,X,X,X,O,X
TJSLZIO,X,X,O,X,X,O,X,X,X,O,X
TJSLZOI,X,X,O,X,X,X,X,X,X,O,X
TJSLOIZ,X,X,O,X,X,O,X,X,X,O,X
TJSLOZI,X,X,O,X,X,X,X,X,X,O,X
TJSZILO,X,X,O,O,X,O,X,O,X,O,X
TJSZIOL,X,X,X,O,X,O,X,O,X,O,X
TJSZLIO,X,X,O,X,X,O,X,O,X,O,X
TJSZLOI,X,X,O,X,X,X,X,O,X,O,X
TJSZOIL,X,X,X,O,X,X,X,O,X,O,X
TJSZOLI,X,X,X,X,X,X,X,O,X,O,X
TJSOILZ,X,X,X,O,X,O,X,X,X,O,X
TJSOIZL,X,X,X,O,X,O,X,X,X,O,X
TJSOLIZ,X,X,X,X,X,O,X,X,X,O,X
TJSOLZI,X,X,X,X,X,X,X,X,X,O,X
TJSOZIL,X,X,X,O,X,X,X,O,X,O,X
TJSOZLI,X,X,X,X,X,X,X,O,X,O,X
TJZILSO,X,O,O,O,X,O,X,O,X,X,X
TJZILOS,X,O,O,O,O,O,O,O,X,X,X
TJZISLO,X,O,O,O,X,O,X,O,X,O,X
TJZISOL,X,X,X,O,O,O,X,O,X,O,X
TJZIOLS,X,X,X,O,O,X,O,O,X,X,X
TJZIOSL,X,X,X,O,O,O,O,O,X,O,X
TJZLISO,X,O,O,X,X,O,X,O,X,X,X
TJZLIOS,X,O,O,X,O,O,O,O,X,X,X
TJZLSIO,X,O,O,X,X,O,X,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X,O,X,X,X
TJZLOIS,O,O,O,X,O,X,O,O,X,X,X
TJZLOSI,O,O,O,X,X,X,O,O,X,X,X
TJZSILO,X,O,O,O,X,O,X,O,X,O,X
TJZSIOL,X,X,X,O,X,O,X,O,X,O,X
TJZSLIO,X,O,O,X,X,O,X,O,X,O,X
TJZSLOI,O,O,O,X,X,X,X,O,X,O,X
TJZSOIL,O,X,X,O,X,X,X,O,X,O,X
TJZSOLI,O,O,X,X,X,X,X,O,X,O,X
TJZOILS,O,X,X,O,O,X,O,O,X,X,X
TJZOISL,O,X,X,O,O,X,O,O,X,O,X
TJZOLIS,O,O,X,X,O,X,O,O,X,X,X
TJZOLSI,O,O,X,X,X,X,O,O,X,X,X
TJZOSIL,O,X,X,O,X,X,O,O,X,O,X
TJZOSLI,O,O,X,X,X,X,O,O,X,O,X
TJOILSZ,X,X,X,O,O,X,O,X,X,X,X
TJOILZS,O,X,X,O,O,X,O,X,X,X,X
TJOISLZ,X,X,X,O,O,X,O,X,X,O,X
TJOISZL,X,X,X,O,O,X,O,X,X,O,X
TJOIZLS,O,X,X,O,O,X,O,X,X,X,X
TJOIZSL,O,X,X,O,O,X,O,X,X,O,X
TJOLISZ,X,X,X,X,O,X,O,X,X,X,X
