sequence,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEMeBZLB?qkBXmBTgB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lBThBPdB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lB3hBzbB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBzfB?qgBvhBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBSlB?ThBXbBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeTwIvhEUdBXhB?6oBWqBRnB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEzkB5gB?MmBPdBacB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeJrIvhEqkBvlB?ToBUiBubB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBUdB?ClBebBTQB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBKdB?ukBTlBUWB
ILZOJTS,X,O,O,X,O,O,X,X,O,X
ILZOJST,X,O,O,X,O,O,X,O,O,X
ILZOSTJ,X,O,O,X,X,O,X,O,O,X
ILZOSJT,X,O,O,X,O,O,X,O,O,X
ILOTJSZ,X,O,X,O,O,O,X,X,O,X
ILOTJZS,X,O,X,O,O,O,X,X,O,X
ILOTSJZ,X,O,X,O,O,O,X,O,O,X
ILOTSZJ,X,O,X,X,X,O,X,O,O,X
ILOTZJS,X,O,X,X,X,O,X,X,O,X
ILOTZSJ,X,O,X,X,X,O,X,O,O,X
ILOJTSZ,X,O,X,O,O,O,X,X,O,O
ILOJTZS,X,O,X,O,O,O,X,X,O,O
ILOJSTZ,O,O,X,O,O,O,X,O,O,O
ILOJSZT,O,O,O,O,O,O,X,O,O,O
ILOJZTS,X,O,O,O,O,O,X,X,O,O
ILOJZST,O,O,O,O,O,O,X,O,O,O
ILOSTJZ,O,O,X,O,O,O,X,O,O,X
ILOSTZJ,X,O,X,X,X,O,X,O,O,X
ILOSJTZ,O,O,X,O,O,O,X,O,O,O
ILOSJZT,O,O,O,O,O,O,X,O,O,O
ILOSZTJ,X,O,O,X,X,O,X,O,O,X
ILOSZJT,O,O,O,O,O,O,X,O,O,X
ILOZTJS,X,O,O,X,X,O,X,X,O,X
ILOZTSJ,X,O,O,X,X,O,X,O,O,X
ILOZJTS,X,O,O,O,O,O,X,X,O,X
ILOZJST,X,O,O,O,O,O,X,O,O,X
ILOZSTJ,X,O,O,X,X,O,X,O,O,X
ILOZSJT,X,O,O,O,O,O,X,O,O,X
IJTLSZO,O,X,O,X,O,O,X,X,X,X
IJTLSOZ,O,X,X,X,O,O,X,X,X,O
IJTLZSO,O,X,O,X,O,O,X,X,X,X
IJTLZOS,X,O,O,X,O,O,X,X,X,X
IJTLOSZ,X,O,X,X,O,O,X,X,X,O
IJTLOZS,X,O,X,X,O,O,X,X,X,O
IJTSLZO,O,X,O,X,X,O,X,X,X,X
IJTSLOZ,O,X,X,X,X,O,X,X,X,O
IJTSZLO,O,X,X,X,X,O,X,X,X,X
IJTSZOL,X,X,X,O,X,O,X,X,X,X
IJTSOLZ,X,X,X,O,X,O,X,X,X,O
IJTSOZL,X,X,X,O,X,O,X,X,X,O
IJTZLSO,O,X,X,X,O,O,X,X,X,X
IJTZLOS,X,X,X,X,O,O,X,X,X,X
IJTZSLO,O,X,X,X,X,O,X,X,X,X
IJTZSOL,X,X,X,O,X,O,X,X,X,X
IJTZOLS,X,X,X,O,O,O,X,X,X,X
IJTZOSL,X,X,X,O,X,O,X,X,X,X
IJTOLSZ,X,O,X,O,O,O,X,X,X,O
IJTOLZS,X,O,X,O,O,O,X,X,X,O
IJTOSLZ,X,O,X,O,X,O,X,X,X,O
IJTOSZL,X,X,X,O,X,O,X,X,X,O
IJTOZLS,X,X,X,O,O,O,X,X,X,O
IJTOZSL,X,X,X,O,X,O,X,X,X,O
IJLTSZO,O,X,O,X,O,O,X,X,O,X
IJLTSOZ,O,X,X,X,O,O,X,X,O,O
IJLTZSO,O,X,O,X,O,O,X,X,O,X
IJLTZOS,X,O,O,X,O,O,X,X,O,X
IJLTOSZ,X,O,X,X,O,O,X,X,O,O
IJLTOZS,X,O,X,X,O,O,X,X,O,O
IJLSTZO,O,X,O,X,O,O,X,O,O,X
IJLSTOZ,O,X,X,X,O,O,X,O,O,O
IJLSZTO,O,X,O,X,O,O,X,O,O,X
IJLSZOT,O,O,O,O,O,O,X,O,O,O
IJLSOTZ,O,O,X,O,O,O,X,O,O,O
IJLSOZT,O,O,O,O,O,O,X,O,O,O
IJLZTSO,O,X,O,X,O,O,X,X,O,X
IJLZTOS,X,O,O,X,O,O,X,X,O,X
IJLZSTO,O,X,O,X,O,O,X,O,O,X
IJLZSOT,O,O,O,O,O,O,X,O,O,O
IJLZOTS,X,O,O,O,O,O,X,X,O,O
IJLZOST,O,O,O,O,O,O,X,O,O,O
IJLOTSZ,X,O,X,O,O,O,X,X,O,O
IJLOTZS,X,O,X,O,O,O,X,X,O,O
IJLOSTZ,O,O,X,O,O,O,X,O,O,O
IJLOSZT,O,O,O,O,O,O,X,O,O,O
IJLOZTS,X,O,O,O,O,O,X,X,O,O
IJLOZST,O,O,O,O,O,O,X,O,O,O
IJSTLZO,O,X,O,X,X,O,X,X,X,X
IJSTLOZ,O,X,X,X,X,O,X,X,X,O
IJSTZLO,O,X,X,X,X,O,X,X,X,X
IJSTZOL,X,X,X,O,X,O,X,X,X,X
IJSTOLZ,X,X,X,O,X,O,X,X,X,O
IJSTOZL,X,X,X,O,X,O,X,X,X,O
IJSLTZO,O,X,O,X,O,O,X,X,O,X
IJSLTOZ,O,X,X,X,O,O,X,X,O,O
IJSLZTO,O,X,O,X,O,O,X,X,O,X
IJSLZOT,O,O,O,O,O,O,X,X,O,O
IJSLOTZ,O,O,X,O,O,O,X,X,O,O
IJSLOZT,O,O,O,O,O,O,X,X,O,O
IJSZTLO,O,X,X,X,X,O,X,X,X,X
IJSZTOL,X,X,X,O,X,O,X,X,X,X
IJSZLTO,O,X,O,X,O,O,X,X,O,X
IJSZLOT,O,X,O,O,O,O,X,X,O,O
IJSZOTL,X,X,X,O,X,O,X,X,X,O
IJSZOLT,O,X,X,O,O,O,X,X,O,O
IJSOTLZ,X,O,X,O,X,O,X,X,X,O
IJSOTZL,X,X,X,O,X,O,X,X,X,O
IJSOLTZ,O,O,X,O,O,O,X,X,O,O
IJSOLZT,O,O,O,O,O,O,X,X,O,O
IJSOZTL,X,X,X,O,X,O,X,X,X,O
IJSOZLT,O,O,X,O,O,O,X,X,O,O
IJZTLSO,O,X,X,X,O,O,X,X,X,X
IJZTLOS,X,X,X,X,O,O,X,X,X,X
IJZTSLO,O,X,X,X,X,O,X,X,X,X
IJZTSOL,X,X,X,O,X,O,X,X,X,X
IJZTOLS,X,X,X,O,O,O,X,X,X,X
IJZTOSL,X,X,X,O,X,O,X,X,X,X
IJZLTSO,O,X,O,X,O,O,X,X,O,X
IJZLTOS,X,O,O,X,O,O,X,X,O,X
IJZLSTO,O,X,O,X,O,O,X,O,O,X
IJZLSOT,O,O,O,O,O,O,X,O,O,O
IJZLOTS,X,O,O,O,O,O,X,X,O,O
IJZLOST,O,O,O,O,O,O,X,O,O,O
IJZSTLO,O,X,X,X,X,O,X,X,X,X
IJZSTOL,X,X,X,O,X,O,X,X,X,X
IJZSLTO,O,X,O,X,O,O,X,X,O,X
IJZSLOT,O,X,O,O,O,O,X,X,O,O
IJZSOTL,X,X,X,O,X,O,O,X,X,O
IJZSOLT,O,X,X,O,O,O,O,X,O,O
IJZOTLS,X,X,X,O,O,O,O,X,X,O
IJZOTSL,X,X,X,O,X,O,O,X,X,O
IJZOLTS,X,O,X,O,O,O,O,X,O,O
IJZOLST,O,O,X,O,O,O,O,O,O,O
IJZOSTL,X,X,X,O,X,O,O,X,X,O
IJZOSLT,O,O,X,O,O,O,O,X,O,O
IJOTLSZ,X,O,X,O,O,O,X,X,X,O
IJOTLZS,X,O,X,O,O,O,X,X,X,O
IJOTSLZ,X,O,X,O,X,O,X,X,X,O
IJOTSZL,X,X,X,O,X,O,X,X,X,O
IJOTZLS,X,X,X,O,O,O,O,X,X,O
IJOTZSL,X,X,X,O,X,O,O,X,X,O
IJOLTSZ,X,O,X,O,O,O,X,X,O,O
IJOLTZS,X,O,X,O,O,O,X,X,O,O
IJOLSTZ,O,O,X,O,O,O,X,O,O,O
IJOLSZT,O,O,O,O,O,O,X,O,O,O
IJOLZTS,X,O,O,O,O,O,O,X,O,O
IJOLZST,O,O,O,O,O,O,O,O,O,O
IJOSTLZ,X,O,X,O,X,O,X,X,X,O
IJOSTZL,X,X,X,O,X,O,X,X,X,O
IJOSLTZ,O,O,X,O,O,O,X,X,O,O
IJOSLZT,O,O,O,O,O,O,X,X,O,O
IJOSZTL,X,X,X,O,X,O,O,X,X,O
IJOSZLT,O,O,X,O,O,O,O,X,O,O
IJOZTLS,X,X,X,O,O,O,O,X,X,O
IJOZTSL,X,X,X,O,X,O,O,X,X,O
IJOZLTS,X,O,X,O,O,O,O,X,O,O
IJOZLST,O,O,X,O,O,O,O,O,O,O
IJOZSTL,X,X,X,O,X,O,O,X,X,O
IJOZSLT,O,O,X,O,O,O,O,X,O,O
ISTLJZO,O,X,O,X,X,O,X,X,O,X
ISTLJOZ,O,X,X,X,X,O,X,X,O,O
ISTLZJO,X,X,O,X,X,O,X,X,O,X
ISTLZOJ,X,X,O,X,X,O,X,X,O,X
ISTLOJZ,O,X,X,X,X,O,X,X,O,X
ISTLOZJ,X,X,X,X,X,O,X,X,O,X
ISTJLZO,O,X,O,X,X,O,X,X,X,X
ISTJLOZ,O,X,X,X,X,O,X,X,X,O
ISTJZLO,O,X,X,X,X,O,X,X,X,X
ISTJZOL,X,X,X,O,X,O,X,X,X,X
ISTJOLZ,X,X,X,O,X,O,X,X,X,O
ISTJOZL,X,X,X,O,X,O,X,X,X,O
ISTZLJO,X,X,X,X,X,O,X,X,O,X
ISTZLOJ,X,X,X,X,X,O,X,X,O,X
ISTZJLO,X,X,X,X,X,O,X,X,X,X
ISTZJOL,X,X,X,X,X,O,X,X,X,X
ISTZOLJ,X,X,X,X,X,O,X,X,O,X
ISTZOJL,X,X,X,X,X,O,X,X,X,X
ISTOLJZ,X,X,X,O,X,O,X,X,O,X
ISTOLZJ,X,X,X,X,X,O,X,X,O,X
ISTOJLZ,X,X,X,O,X,O,X,X,X,X
ISTOJZL,X,X,X,O,X,O,X,X,X,X
ISTOZLJ,X,X,X,X,X,O,X,X,O,X
ISTOZJL,X,X,X,X,X,O,X,X,X,X
ISLTJZO,O,X,O,X,O,O,X,O,O,X
ISLTJOZ,O,X,X,X,O,O,X,O,O,O
ISLTZJO,X,X,O,X,X,O,X,O,O,X
ISLTZOJ,X,X,O,X,X,O,X,O,O,X
ISLTOJZ,O,X,X,X,O,O,X,O,O,X
ISLTOZJ,X,X,X,X,X,O,X,O,O,X
ISLJTZO,O,X,O,X,O,O,X,O,O,X
ISLJTOZ,O,X,X,X,O,O,X,O,O,O
ISLJZTO,O,X,O,X,O,O,X,O,O,X
ISLJZOT,O,O,O,O,O,O,X,O,O,O
ISLJOTZ,O,O,X,O,O,O,X,O,O,O
ISLJOZT,O,O,O,O,O,O,X,O,O,O
ISLZTJO,X,X,O,X,X,O,X,O,O,X
ISLZTOJ,X,X,O,X,X,O,X,O,O,X
ISLZJTO,O,X,O,X,O,O,X,O,O,X
ISLZJOT,O,O,O,X,O,O,X,O,O,O
ISLZOTJ,X,O,O,X,X,O,X,O,O,X
ISLZOJT,O,O,O,X,O,O,X,O,O,X
ISLOTJZ,O,O,X,O,O,O,X,O,O,X
ISLOTZJ,X,O,X,X,X,O,X,O,O,X
ISLOJTZ,O,O,X,O,O,O,X,O,O,O
ISLOJZT,O,O,O,O,O,O,X,O,O,O
ISLOZTJ,X,O,O,X,X,O,X,O,O,X
ISLOZJT,O,O,O,O,O,O,X,O,O,X
ISJTLZO,O,X,O,X,X,O,X,X,X,X
ISJTLOZ,O,X,X,X,X,O,X,X,X,O
ISJTZLO,O,X,X,X,X,O,X,X,X,X
ISJTZOL,X,X,X,O,X,O,X,X,X,X
ISJTOLZ,X,X,X,O,X,O,X,X,X,O
ISJTOZL,X,X,X,O,X,O,X,X,X,O
ISJLTZO,O,X,O,X,O,O,X,X,O,X
ISJLTOZ,O,X,X,X,O,O,X,X,O,O
ISJLZTO,O,X,O,X,O,O,X,X,O,X
ISJLZOT,O,O,O,O,O,O,X,X,O,O
ISJLOTZ,O,O,X,O,O,O,X,X,O,O
ISJLOZT,O,O,O,O,O,O,X,X,O,O
ISJZTLO,O,X,X,X,X,O,X,X,X,X
ISJZTOL,X,X,X,O,X,O,X,X,X,X
ISJZLTO,O,X,O,X,O,O,X,X,O,X
ISJZLOT,O,X,O,O,O,O,X,X,O,O
ISJZOTL,X,X,X,O,X,O,X,X,X,O
ISJZOLT,O,X,X,O,O,O,X,X,O,O
ISJOTLZ,X,O,X,O,X,O,X,X,X,O
ISJOTZL,X,X,X,O,X,O,X,X,X,O
ISJOLTZ,O,O,X,O,O,O,X,X,O,O
ISJOLZT,O,O,O,O,O,O,X,X,O,O
ISJOZTL,X,X,X,O,X,O,X,X,X,O
ISJOZLT,O,O,X,O,O,O,X,X,O,O
ISZTLJO,X,X,X,X,X,O,X,X,O,X
ISZTLOJ,X,X,X,X,X,O,X,X,O,X
ISZTJLO,X,X,X,X,X,O,X,X,X,X
ISZTJOL,X,X,X,X,X,O,X,X,X,X
ISZTOLJ,X,X,X,X,X,O,X,X,O,X
ISZTOJL,X,X,X,X,X,O,X,X,X,X
ISZLTJO,X,X,O,X,X,O,X,O,O,X
ISZLTOJ,X,X,O,X,X,O,X,O,O,X
ISZLJTO,O,X,O,X,X,O,X,O,O,X
ISZLJOT,O,X,O,X,X,O,X,O,O,O
ISZLOTJ,X,X,O,X,X,O,X,O,O,X
ISZLOJT,O,X,O,X,X,O,X,O,O,X
ISZJTLO,O,X,X,X,X,O,X,X,X,X
ISZJTOL,X,X,X,O,X,O,X,X,X,X
ISZJLTO,O,X,O,X,X,O,X,X,O,X
ISZJLOT,O,X,O,O,X,O,X,X,O,O
ISZJOTL,X,X,X,O,X,O,X,X,X,O
ISZJOLT,O,X,X,O,X,O,X,X,O,O
ISZOTLJ,X,X,X,X,X,O,X,X,O,X
ISZOTJL,X,X,X,X,X,O,X,X,X,X
ISZOLTJ,X,X,X,X,X,O,X,O,O,X
ISZOLJT,X,X,X,O,X,O,X,O,O,X
ISZOJTL,X,X,X,O,X,O,X,X,X,X
ISZOJLT,X,X,X,O,X,O,X,X,O,X
ISOTLJZ,X,O,X,O,X,O,X,X,O,X
ISOTLZJ,X,O,X,X,X,O,X,X,O,X
ISOTJLZ,X,O,X,O,X,O,X,X,X,X
ISOTJZL,X,X,X,O,X,O,X,X,X,X
ISOTZLJ,X,X,X,X,X,O,X,X,O,X
ISOTZJL,X,X,X,X,X,O,X,X,X,X
ISOLTJZ,O,O,X,O,O,O,X,O,O,X
ISOLTZJ,X,O,X,X,X,O,X,O,O,X
ISOLJTZ,O,O,X,O,O,O,X,O,O,O
ISOLJZT,O,O,O,O,O,O,X,O,O,O
ISOLZTJ,X,O,O,X,X,O,X,O,O,X
ISOLZJT,O,O,O,O,O,O,X,O,O,X
ISOJTLZ,X,O,X,O,X,O,X,X,X,O
ISOJTZL,X,X,X,O,X,O,X,X,X,O
ISOJLTZ,O,O,X,O,O,O,X,X,O,O
ISOJLZT,O,O,O,O,O,O,X,X,O,O
ISOJZTL,X,X,X,O,X,O,X,X,X,O
ISOJZLT,O,O,X,O,O,O,X,X,O,O
ISOZTLJ,X,X,X,X,X,O,X,X,O,X
ISOZTJL,X,X,X,X,X,O,X,X,X,X
ISOZLTJ,X,O,X,X,X,O,X,O,O,X
ISOZLJT,X,O,X,O,X,O,X,O,O,X
ISOZJTL,X,X,X,O,X,O,X,X,X,X
ISOZJLT,X,O,X,O,X,O,X,X,O,X
IZTLJSO,X,X,X,X,X,O,X,X,O,X
IZTLJOS,X,X,X,X,X,O,X,X,O,X
IZTLSJO,X,X,X,X,X,O,X,O,O,X
IZTLSOJ,X,X,X,X,X,O,X,O,O,X
IZTLOJS,X,X,X,X,X,O,X,X,O,X
IZTLOSJ,X,X,X,X,X,O,X,O,O,X
IZTJLSO,X,X,X,X,X,O,X,X,X,X
IZTJLOS,X,X,X,X,X,O,X,X,X,X
IZTJSLO,X,X,X,X,X,O,X,X,X,X
IZTJSOL,X,X,X,X,X,O,X,X,X,X
IZTJOLS,X,X,X,X,X,O,X,X,X,X
IZTJOSL,X,X,X,X,X,O,X,X,X,X
IZTSLJO,X,X,X,X,X,O,X,X,O,X
IZTSLOJ,X,X,X,X,X,O,X,X,O,X
IZTSJLO,X,X,X,X,X,O,X,X,X,X
IZTSJOL,X,X,X,X,X,O,X,X,X,X
IZTSOLJ,X,X,X,X,X,O,X,X,O,X
IZTSOJL,X,X,X,X,X,O,X,X,X,X
IZTOLJS,X,X,X,X,X,O,X,X,O,X
IZTOLSJ,X,X,X,X,X,O,X,O,O,X
IZTOJLS,X,X,X,X,X,O,X,X,X,X
IZTOJSL,X,X,X,X,X,O,X,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,X,O,X
IZTOSJL,X,X,X,X,X,O,X,X,X,X
IZLTJSO,X,X,O,X,X,O,X,X,O,X
IZLTJOS,X,O,O,X,X,O,X,X,O,X
IZLTSJO,X,X,O,X,X,O,X,O,O,X
IZLTSOJ,X,X,O,X,X,O,X,O,O,X
IZLTOJS,X,O,O,X,X,O,X,X,O,X
IZLTOSJ,X,O,O,X,X,O,X,O,O,X
IZLJTSO,O,X,O,X,O,O,X,X,O,X
IZLJTOS,X,O,O,X,O,O,X,X,O,X
IZLJSTO,O,X,O,X,O,O,X,O,O,X
IZLJSOT,O,O,O,X,O,O,X,O,O,O
IZLJOTS,X,O,O,X,O,O,X,X,O,O
IZLJOST,O,O,O,X,O,O,X,O,O,O
IZLSTJO,X,X,O,X,X,O,X,O,O,X
IZLSTOJ,X,X,O,X,X,O,X,O,O,X
IZLSJTO,O,X,O,X,O,O,X,O,O,X
IZLSJOT,O,O,O,X,O,O,X,O,O,O
IZLSOTJ,X,O,O,X,X,O,X,O,O,X
IZLSOJT,O,O,O,X,O,O,X,O,O,X
IZLOTJS,X,O,O,X,X,O,X,X,O,X
IZLOTSJ,X,O,O,X,X,O,X,O,O,X
IZLOJTS,X,O,O,X,O,O,X,X,O,X
IZLOJST,X,O,O,X,O,O,X,O,O,X
IZLOSTJ,X,O,O,X,X,O,X,O,O,X
IZLOSJT,X,O,O,X,O,O,X,O,O,X
IZJTLSO,O,X,X,X,O,O,X,X,X,X
IZJTLOS,X,X,X,X,O,O,X,X,X,X
IZJTSLO,O,X,X,X,X,O,X,X,X,X
IZJTSOL,X,X,X,O,X,O,X,X,X,X
IZJTOLS,X,X,X,O,O,O,X,X,X,X
IZJTOSL,X,X,X,O,X,O,X,X,X,X
IZJLTSO,O,X,O,X,O,O,X,X,O,X
IZJLTOS,X,O,O,X,O,O,X,X,O,X
IZJLSTO,O,X,O,X,O,O,X,O,O,X
IZJLSOT,O,O,O,O,O,O,X,O,O,O
IZJLOTS,X,O,O,O,O,O,X,X,O,O
IZJLOST,O,O,O,O,O,O,X,O,O,O
IZJSTLO,O,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,X,O,X,O,X,X,X,X
IZJSLTO,O,X,O,X,O,O,X,X,O,X
IZJSLOT,O,X,O,O,O,O,X,X,O,O
IZJSOTL,X,X,X,O,X,O,O,X,X,O
IZJSOLT,O,X,X,O,O,O,O,X,O,O
IZJOTLS,X,X,X,O,O,O,O,X,X,O
IZJOTSL,X,X,X,O,X,O,O,X,X,O
IZJOLTS,X,O,X,O,O,O,O,X,O,O
IZJOLST,O,O,X,O,O,O,O,O,O,O
IZJOSTL,X,X,X,O,X,O,O,X,X,O
IZJOSLT,O,O,X,O,O,O,O,X,O,O
IZSTLJO,X,X,X,X,X,O,X,X,O,X
IZSTLOJ,X,X,X,X,X,O,X,X,O,X
IZSTJLO,X,X,X,X,X,O,X,X,X,X
IZSTJOL,X,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,X,X,X,X,O,X,X,O,X
IZSTOJL,X,X,X,X,X,O,X,X,X,X
IZSLTJO,X,X,O,X,X,O,X,O,O,X
IZSLTOJ,X,X,O,X,X,O,X,O,O,X
IZSLJTO,O,X,O,X,X,O,X,O,O,X
IZSLJOT,O,X,O,X,X,O,X,O,O,O
IZSLOTJ,X,X,O,X,X,O,X,O,O,X
IZSLOJT,O,X,O,X,X,O,X,O,O,X
IZSJTLO,O,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,O,X,O,X,X,X,X
IZSJLTO,O,X,O,X,X,O,X,X,O,X
IZSJLOT,O,X,O,O,X,O,X,X,O,O
IZSJOTL,X,X,X,O,X,O,O,X,X,O
IZSJOLT,O,X,X,O,X,O,O,X,O,O
IZSOTLJ,X,X,X,X,X,O,O,X,O,X
IZSOTJL,X,X,X,X,X,O,O,X,X,X
IZSOLTJ,X,X,X,X,X,O,O,O,O,X
IZSOLJT,X,X,X,O,X,O,O,O,O,X
IZSOJTL,X,X,X,O,X,O,O,X,X,X
IZSOJLT,X,X,X,O,X,O,O,X,O,X
IZOTLJS,X,X,X,X,X,O,O,X,O,X
IZOTLSJ,X,X,X,X,X,O,O,O,O,X
IZOTJLS,X,X,X,X,X,O,O,X,X,X
IZOTJSL,X,X,X,X,X,O,O,X,X,X
IZOTSLJ,X,X,X,X,X,O,O,X,O,X
IZOTSJL,X,X,X,X,X,O,O,X,X,X
IZOLTJS,X,O,X,X,X,O,O,X,O,X
IZOLTSJ,X,O,X,X,X,O,O,O,O,X
IZOLJTS,X,O,X,O,O,O,O,X,O,X
IZOLJST,X,O,X,O,O,O,O,O,O,X
IZOLSTJ,X,O,X,X,X,O,O,O,O,X
IZOLSJT,X,O,X,O,O,O,O,O,O,X
IZOJTLS,X,X,X,O,O,O,O,X,X,X
IZOJTSL,X,X,X,O,X,O,O,X,X,X
IZOJLTS,X,O,X,O,O,O,O,X,O,X
IZOJLST,X,O,X,O,O,O,O,O,O,X
IZOJSTL,X,X,X,O,X,O,O,X,X,X
IZOJSLT,X,O,X,O,O,O,O,X,O,X
IZOSTLJ,X,X,X,X,X,O,O,X,O,X
IZOSTJL,X,X,X,X,X,O,O,X,X,X
IZOSLTJ,X,O,X,X,X,O,O,O,O,X
IZOSLJT,X,O,X,O,X,O,O,O,O,X
IZOSJTL,X,X,X,O,X,O,O,X,X,X
IZOSJLT,X,O,X,O,X,O,O,X,O,X
IOTLJSZ,X,O,X,O,O,O,X,X,O,X
IOTLJZS,X,O,X,O,O,O,X,X,O,X
IOTLSJZ,X,O,X,O,O,O,X,O,O,X
IOTLSZJ,X,O,X,X,X,O,X,O,O,X
IOTLZJS,X,O,X,X,X,O,X,X,O,X
IOTLZSJ,X,O,X,X,X,O,X,O,O,X
IOTJLSZ,X,O,X,O,O,O,X,X,X,X
IOTJLZS,X,O,X,O,O,O,X,X,X,X
IOTJSLZ,X,O,X,O,X,O,X,X,X,X
IOTJSZL,X,X,X,O,X,O,X,X,X,X
IOTJZLS,X,X,X,O,O,O,O,X,X,X
IOTJZSL,X,X,X,O,X,O,O,X,X,X
IOTSLJZ,X,O,X,O,X,O,X,X,O,X
IOTSLZJ,X,O,X,X,X,O,X,X,O,X
IOTSJLZ,X,O,X,O,X,O,X,X,X,X
IOTSJZL,X,X,X,O,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,O,X
IOTSZJL,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,X,O,O,X,O,X
IOTZLSJ,X,X,X,X,X,O,O,O,O,X
IOTZJLS,X,X,X,X,X,O,O,X,X,X
IOTZJSL,X,X,X,X,X,O,O,X,X,X
IOTZSLJ,X,X,X,X,X,O,O,X,O,X
IOTZSJL,X,X,X,X,X,O,O,X,X,X
IOLTJSZ,X,O,X,O,O,O,X,X,O,X
IOLTJZS,X,O,X,O,O,O,X,X,O,X
IOLTSJZ,X,O,X,O,O,O,X,O,O,X
IOLTSZJ,X,O,X,X,X,O,X,O,O,X
IOLTZJS,X,O,X,X,X,O,X,X,O,X
IOLTZSJ,X,O,X,X,X,O,X,O,O,X
IOLJTSZ,X,O,X,O,O,O,X,X,O,O
IOLJTZS,X,O,X,O,O,O,X,X,O,O
IOLJSTZ,O,O,X,O,O,O,X,O,O,O
IOLJSZT,O,O,O,O,O,O,X,O,O,O
IOLJZTS,X,O,O,O,O,O,O,X,O,O
IOLJZST,O,O,O,O,O,O,O,O,O,O
IOLSTJZ,O,O,X,O,O,O,X,O,O,X
IOLSTZJ,X,O,X,X,X,O,X,O,O,X
IOLSJTZ,O,O,X,O,O,O,X,O,O,O
IOLSJZT,O,O,O,O,O,O,X,O,O,O
IOLSZTJ,X,O,O,X,X,O,X,O,O,X
IOLSZJT,O,O,O,O,O,O,X,O,O,X
IOLZTJS,X,O,O,X,X,O,O,X,O,X
IOLZTSJ,X,O,O,X,X,O,O,O,O,X
IOLZJTS,X,O,O,O,O,O,O,X,O,X
IOLZJST,X,O,O,O,O,O,O,O,O,X
IOLZSTJ,X,O,O,X,X,O,O,O,O,X
IOLZSJT,X,O,O,O,O,O,O,O,O,X
IOJTLSZ,X,O,X,O,O,O,X,X,X,O
IOJTLZS,X,O,X,O,O,O,X,X,X,O
IOJTSLZ,X,O,X,O,X,O,X,X,X,O
IOJTSZL,X,X,X,O,X,O,X,X,X,O
IOJTZLS,X,X,X,O,O,O,O,X,X,O
IOJTZSL,X,X,X,O,X,O,O,X,X,O
IOJLTSZ,X,O,X,O,O,O,X,X,O,O
IOJLTZS,X,O,X,O,O,O,X,X,O,O
IOJLSTZ,O,O,X,O,O,O,X,O,O,O
IOJLSZT,O,O,O,O,O,O,X,O,O,O
IOJLZTS,X,O,O,O,O,O,O,X,O,O
IOJLZST,O,O,O,O,O,O,O,O,O,O
IOJSTLZ,X,O,X,O,X,O,X,X,X,O
IOJSTZL,X,X,X,O,X,O,X,X,X,O
IOJSLTZ,O,O,X,O,O,O,X,X,O,O
IOJSLZT,O,O,O,O,O,O,X,X,O,O
IOJSZTL,X,X,X,O,X,O,O,X,X,O
IOJSZLT,O,O,X,O,O,O,O,X,O,O
IOJZTLS,X,X,X,O,O,O,O,X,X,O
IOJZTSL,X,X,X,O,X,O,O,X,X,O
IOJZLTS,X,O,X,O,O,O,O,X,O,O
IOJZLST,O,O,X,O,O,O,O,O,O,O
IOJZSTL,X,X,X,O,X,O,O,X,X,O
IOJZSLT,O,O,X,O,O,O,O,X,O,O
IOSTLJZ,X,O,X,O,X,O,X,X,O,X
IOSTLZJ,X,O,X,X,X,O,X,X,O,X
IOSTJLZ,X,O,X,O,X,O,X,X,X,X
IOSTJZL,X,X,X,O,X,O,X,X,X,X
IOSTZLJ,X,X,X,X,X,O,X,X,O,X
IOSTZJL,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,O,X,O,O,O,X,O,O,X
IOSLTZJ,X,O,X,X,X,O,X,O,O,X
IOSLJTZ,O,O,X,O,O,O,X,O,O,O
IOSLJZT,O,O,O,O,O,O,X,O,O,O
IOSLZTJ,X,O,O,X,X,O,X,O,O,X
IOSLZJT,O,O,O,O,O,O,X,O,O,X
IOSJTLZ,X,O,X,O,X,O,X,X,X,O
IOSJTZL,X,X,X,O,X,O,X,X,X,O
IOSJLTZ,O,O,X,O,O,O,X,X,O,O
