sequence,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYBX?eB0iBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jei1IvhFRXBceB3aBG?dBziBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxdB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jey6IvhFGXBxdBTaB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jem1IvhFRXBTaBFeBf?oBUnBCtB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBRXBceBf?oBFnBusB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeO6IvhF8aBRXBXeBz?nBFnBCtB
ISLTJZO,X,X,O,X,X,X,X,X
ISLTJOZ,X,O,O,X,X,X,X,X
ISLTZJO,X,X,O,X,X,X,X,X
ISLTZOJ,X,X,O,X,X,X,X,X
ISLTOJZ,X,O,O,X,X,X,X,X
ISLTOZJ,X,X,O,X,X,X,X,X
ISLJTZO,X,X,O,X,O,X,X,X
ISLJTOZ,X,O,O,X,O,X,X,X
ISLJZTO,X,O,O,X,X,X,X,X
ISLJZOT,X,O,O,X,O,X,X,X
ISLJOTZ,X,O,X,O,O,X,X,X
ISLJOZT,X,O,O,O,O,X,X,X
ISLZTJO,X,O,O,X,X,X,O,X
ISLZTOJ,X,O,O,X,X,X,O,X
ISLZJTO,X,O,O,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,O,X
ISLZOJT,X,O,O,X,X,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,X
ISLOJTZ,X,O,X,O,X,X,X,X
ISLOJZT,X,O,O,O,X,X,X,X
ISLOZTJ,X,O,X,X,X,X,O,X
ISLOZJT,X,O,O,X,X,X,X,X
ISJTLZO,X,X,O,X,X,X,X,X
ISJTLOZ,X,O,O,X,X,X,X,X
ISJTZLO,X,X,O,X,X,X,X,X
ISJTZOL,X,X,O,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,X
ISJLTZO,X,X,O,X,O,X,X,X
ISJLTOZ,X,O,O,X,O,X,X,X
ISJLZTO,X,O,O,X,X,X,X,X
ISJLZOT,X,O,O,X,O,X,X,X
ISJLOTZ,X,O,X,O,O,X,X,X
ISJLOZT,X,O,O,O,O,X,X,X
ISJZTLO,X,X,O,X,X,X,X,X
ISJZTOL,X,X,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,X,X
ISJOLZT,X,O,O,X,X,X,X,X
ISJOZTL,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,X,X,X
ISZTLJO,X,X,O,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,X,X,X
ISZTJLO,X,X,O,X,X,X,X,X
ISZTJOL,X,X,O,X,X,X,X,X
ISZTOLJ,X,X,O,X,X,X,X,X
ISZTOJL,X,X,O,X,X,X,X,X
ISZLTJO,X,X,O,X,X,X,O,X
ISZLTOJ,X,X,O,X,X,X,O,X
ISZLJTO,X,X,O,X,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,O,X
ISZLOJT,X,O,O,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X
ISZJOLT,X,X,O,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X
ISZOLJT,X,X,O,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X
ISZOJLT,X,X,O,X,X,X,X,X
ISOTLJZ,X,X,O,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,X,X,X
ISOTJZL,X,X,O,X,X,O,X,X
ISOTZLJ,X,X,O,X,X,O,X,X
ISOTZJL,X,X,O,X,X,O,X,X
ISOLTJZ,X,O,O,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X,X
ISOLJZT,X,O,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X
ISOLZJT,X,O,O,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,O,X,X
ISOJLTZ,X,O,X,X,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X
ISOZLJT,X,X,O,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X
ISOZJLT,X,X,O,X,X,X,X,X
IZTLJSO,X,X,O,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,X
IZTLSJO,X,X,O,X,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X,X
IZTLOJS,O,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X
IZTJSLO,X,X,O,X,X,X,X,X
IZTJSOL,X,X,O,X,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,X,X,X,X
IZTSLJO,X,X,O,X,X,X,X,X
IZTSLOJ,X,X,O,X,X,X,X,X
IZTSJLO,X,X,O,X,X,X,X,X
IZTSJOL,X,X,O,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X
IZTSOJL,X,X,O,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,X,X,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,X
IZTOSJL,X,X,O,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X
IZLTSJO,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,O,X,X,X
IZLJTOS,O,X,X,X,O,X,X,X
IZLJSTO,O,X,O,X,X,X,X,X
IZLJSOT,O,X,O,X,O,X,X,X
IZLJOTS,O,X,X,O,O,X,X,X
IZLJOST,O,X,X,O,O,X,X,X
IZLSTJO,O,X,O,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,O,X,X,X,X
IZLOJST,O,X,X,O,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X
IZJTSLO,X,X,O,X,X,X,X,X
IZJTSOL,X,X,X,X,X,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X
IZJLTOS,O,X,X,X,O,X,X,X
IZJLSTO,O,X,O,X,X,X,X,X
IZJLSOT,O,X,O,X,O,X,X,X
IZJLOTS,O,X,X,O,O,X,X,X
IZJLOST,O,X,X,O,O,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X
IZJSTOL,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X
IZJSOLT,X,X,O,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O
IZJOSLT,X,X,O,X,X,X,X,X
IZSTLJO,X,X,O,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X,X
IZSTJLO,X,X,O,X,X,X,X,X
IZSTJOL,X,X,O,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,X
IZSTOJL,X,X,O,X,X,X,X,X
IZSLTJO,X,X,O,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X
IZSLJOT,O,X,O,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X,X,X
IZSJLOT,O,X,O,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X
IZSJOLT,X,X,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X
IZSOLJT,X,X,O,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X
IZSOJLT,X,X,O,X,X,X,X,X
IZOTLJS,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,O
IZOJSLT,X,X,O,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X
IZOSLJT,X,X,O,X,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,O
IZOSJLT,X,X,O,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X,X,X
IOTJZSL,X,X,O,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,X
IOTSZLJ,X,X,O,X,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,X,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,X
IOTZSJL,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,O,X,X,X
IOLJTZS,X,X,X,O,O,X,X,X
IOLJSTZ,X,X,X,O,O,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,X,X,X,O,O,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,X
IOLSJZT,X,X,X,O,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,O,X,X,X
IOJLTZS,X,X,X,O,O,X,X,X
IOJLSTZ,X,X,X,O,O,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,X,X,X,O,O,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,X,X,O,X,X
IOJSLTZ,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X
IOJSZLT,X,X,O,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X
IOJZSLT,X,X,O,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,X,X
IOSTJZL,X,X,O,X,X,O,X,X
IOSTZLJ,X,X,O,X,X,O,X,X
IOSTZJL,X,X,O,X,X,O,X,X
IOSLTJZ,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X
IOSLZJT,X,X,O,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,O,X,X
IOSJLTZ,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X
IOSZLJT,X,X,O,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,O
IOSZJLT,X,X,O,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,O
IOZJSLT,X,X,O,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X
IOZSLJT,X,X,O,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,O
IOZSJLT,X,X,O,X,X,X,X,X
LTIJSZO,X,O,O,X,O,X,X,X
LTIJSOZ,X,O,O,O,O,X,X,X
LTIJZSO,O,X,O,X,O,X,X,X
LTIJZOS,O,X,X,O,O,X,X,X
LTIJOSZ,X,O,X,O,O,X,X,X
LTIJOZS,O,X,X,O,O,X,X,X
LTISJZO,X,O,O,X,O,X,X,X
LTISJOZ,X,O,O,O,O,X,X,X
LTISZJO,X,O,O,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X
LTISOJZ,X,O,O,O,X,X,X,X
LTISOZJ,X,O,O,X,X,X,X,X
LTIZJSO,O,X,O,X,O,X,X,X
LTIZJOS,O,X,X,O,O,X,X,X
LTIZSJO,O,X,O,X,X,X,X,X
LTIZSOJ,O,X,O,X,X,X,X,X
LTIZOJS,O,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,O,X,X,X
LTIOJZS,O,X,X,O,O,X,X,X
LTIOSJZ,X,O,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,X
LTIOZJS,O,X,X,O,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X
LTJISZO,X,O,O,X,O,X,X,X
LTJISOZ,X,O,O,O,O,X,X,X
LTJIZSO,O,X,O,X,O,X,X,X
LTJIZOS,O,X,X,O,O,X,X,X
LTJIOSZ,X,O,X,O,O,X,X,X
LTJIOZS,O,X,X,O,O,X,X,X
LTJSIZO,X,O,O,X,O,X,X,X
LTJSIOZ,X,O,O,O,O,X,X,X
LTJSZIO,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X
LTJSOIZ,X,O,O,O,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,X
LTJZISO,O,X,O,X,O,X,X,X
LTJZIOS,O,X,X,O,O,X,X,X
LTJZSIO,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,X
LTJZOIS,O,X,X,O,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X
LTJOISZ,X,O,X,O,O,X,X,X
LTJOIZS,O,X,X,O,O,X,X,X
LTJOSIZ,X,O,X,O,X,X,X,X
LTJOSZI,O,O,X,X,X,X,X,X
LTJOZIS,O,X,X,O,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X
LTSIJZO,X,O,O,X,O,X,X,X
LTSIJOZ,X,O,O,O,O,X,X,X
LTSIZJO,X,O,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X,X
LTSIOJZ,X,O,O,O,X,X,X,X
LTSIOZJ,X,O,O,X,X,X,X,X
LTSJIZO,X,O,O,X,O,X,X,X
LTSJIOZ,X,O,O,O,O,X,X,X
LTSJZIO,O,O,O,X,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X,X
LTSJOIZ,X,O,O,O,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X,X
LTSZIJO,O,O,O,X,X,X,O,X
LTSZIOJ,O,O,O,X,X,X,O,X
LTSZJIO,O,O,O,X,X,X,O,X
LTSZJOI,O,O,O,X,X,X,O,X
LTSZOIJ,O,O,O,X,X,X,O,X
LTSZOJI,O,O,O,X,X,X,O,X
LTSOIJZ,X,O,O,O,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,X,X
LTSOJIZ,X,O,O,O,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,O,X
LTSOZJI,O,O,O,X,X,X,O,X
LTZIJSO,O,X,O,X,O,X,X,X
LTZIJOS,O,X,X,O,O,X,X,X
LTZISJO,O,X,O,X,X,X,X,X
LTZISOJ,O,X,O,X,X,X,X,X
LTZIOJS,O,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,X,X,X
LTZJIOS,O,X,X,O,O,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X,X
LTZJOIS,O,X,X,O,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X,X
LTZOIJS,O,X,X,O,X,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X
LTZOJIS,O,X,X,O,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X,X
LTOIJSZ,X,O,X,O,O,X,X,X
LTOIJZS,O,X,X,O,O,X,X,X
LTOISJZ,X,O,X,O,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X,X
LTOIZJS,O,X,X,O,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,X,X
LTOJISZ,X,O,X,O,O,X,X,X
LTOJIZS,O,X,X,O,O,X,X,X
LTOJSIZ,X,O,X,O,X,X,X,X
LTOJSZI,O,O,X,X,X,X,X,X
LTOJZIS,O,X,X,O,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,X,X
LTOSIZJ,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,X,O,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,O,X
LTOSZJI,O,O,X,X,X,X,O,X
LTOZIJS,O,X,X,O,X,X,X,X
LTOZISJ,O,X,X,X,X,X,X,X
LTOZJIS,O,X,X,O,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X,X
LITJSZO,X,O,O,X,O,X,X,X
LITJSOZ,X,O,O,O,O,X,X,X
LITJZSO,O,X,O,X,O,X,X,X
LITJZOS,O,X,X,O,O,X,X,X
LITJOSZ,X,O,X,O,O,X,X,X
LITJOZS,O,X,X,O,O,X,X,X
LITSJZO,X,O,O,X,O,X,X,X
LITSJOZ,X,O,O,O,O,X,X,X
LITSZJO,X,O,O,X,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X,X
LITSOJZ,X,O,O,O,X,X,X,X
LITSOZJ,X,O,O,X,X,X,X,X
LITZJSO,O,X,O,X,O,X,X,X
LITZJOS,O,X,X,O,O,X,X,X
LITZSJO,O,X,O,X,X,X,X,X
LITZSOJ,O,X,O,X,X,X,X,X
LITZOJS,O,X,X,O,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X
LITOJSZ,X,O,X,O,O,X,X,X
LITOJZS,O,X,X,O,O,X,X,X
LITOSJZ,X,O,X,O,X,X,X,X
LITOSZJ,X,O,X,X,X,X,X,X
LITOZJS,O,X,X,O,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X,X
LIJTSZO,X,O,X,X,O,X,X,X
LIJTSOZ,X,O,X,O,O,X,X,X
LIJTZSO,O,X,X,X,O,X,X,X
LIJTZOS,O,X,X,O,O,X,X,X
LIJTOSZ,X,O,X,O,O,X,X,X
LIJTOZS,O,X,X,O,O,X,X,X
LIJSTZO,X,X,O,X,O,X,X,X
LIJSTOZ,X,O,X,X,O,X,X,X
LIJSZTO,X,O,O,X,X,X,X,X
LIJSZOT,X,O,O,X,O,X,X,X
LIJSOTZ,X,O,X,O,O,X,X,X
LIJSOZT,X,O,O,O,O,X,X,X
LIJZTSO,X,X,X,X,O,X,X,X
LIJZTOS,O,X,X,X,O,X,X,X
LIJZSTO,O,X,O,X,X,X,X,X
LIJZSOT,O,X,O,X,O,X,X,X
LIJZOTS,O,X,X,O,O,X,X,X
LIJZOST,O,X,X,O,O,X,X,X
LIJOTSZ,X,O,X,O,O,X,X,X
LIJOTZS,O,X,X,O,O,X,X,X
LIJOSTZ,X,O,X,O,O,X,X,X
LIJOSZT,X,O,X,O,O,X,X,X
LIJOZTS,O,X,X,O,O,X,X,X
LIJOZST,O,X,X,O,O,X,X,X
LISTJZO,X,X,O,X,X,X,X,X
LISTJOZ,X,O,O,X,X,X,X,X
LISTZJO,X,X,O,X,X,X,X,X
LISTZOJ,X,X,O,X,X,X,X,X
LISTOJZ,X,O,O,X,X,X,X,X
LISTOZJ,X,X,O,X,X,X,X,X
LISJTZO,X,X,O,X,O,X,X,X
LISJTOZ,X,O,O,X,O,X,X,X
LISJZTO,X,O,O,X,X,X,X,X
LISJZOT,X,O,O,X,O,X,X,X
LISJOTZ,X,O,X,O,O,X,X,X
LISJOZT,X,O,O,O,O,X,X,X
LISZTJO,X,O,O,X,X,X,O,X
LISZTOJ,X,O,O,X,X,X,O,X
LISZJTO,X,O,O,X,X,X,X,X
LISZJOT,X,O,O,X,X,X,X,X
LISZOTJ,X,O,X,X,X,X,O,X
LISZOJT,X,O,O,X,X,X,X,X
LISOTJZ,X,O,O,X,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X,X
LISOJTZ,X,O,X,O,X,X,X,X
LISOJZT,X,O,O,O,X,X,X,X
LISOZTJ,X,O,X,X,X,X,O,X
LISOZJT,X,O,O,X,X,X,X,X
LIZTJSO,X,X,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X
LIZTSJO,X,X,X,X,X,X,X,X
LIZTSOJ,X,X,X,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X
LIZTOSJ,X,X,X,X,X,X,X,X
LIZJTSO,X,X,X,X,O,X,X,X
LIZJTOS,O,X,X,X,O,X,X,X
LIZJSTO,O,X,O,X,X,X,X,X
LIZJSOT,O,X,O,X,O,X,X,X
LIZJOTS,O,X,X,O,O,X,X,X
LIZJOST,O,X,X,O,O,X,X,X
LIZSTJO,O,X,O,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X,X,X
LIZSJTO,O,X,O,X,X,X,X,X
LIZSJOT,O,X,O,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,X,X,X
LIZSOJT,O,X,O,X,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,X
LIZOTSJ,X,X,X,X,X,X,X,X
LIZOJTS,O,X,X,O,X,X,X,X
LIZOJST,O,X,X,O,X,X,X,X
LIZOSTJ,O,X,X,X,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X,X
LIOTJSZ,X,O,X,O,X,X,X,X
LIOTJZS,O,X,X,O,X,X,X,X
LIOTSJZ,X,O,X,O,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X,X
LIOTZJS,O,X,X,O,X,X,X,X
LIOTZSJ,O,X,X,X,X,X,X,X
LIOJTSZ,X,O,X,O,O,X,X,X
LIOJTZS,O,X,X,O,O,X,X,X
