sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
TLJOSZI,O,X,O,X,X,X,O,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,O,O,X,X
TLJOZSI,X,O,O,X,X,X,O,O,O,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,O,X,X,X,X
TLSJZOI,O,X,X,X,X,X,O,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,O,X,X,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,O,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,X,X,X,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,O,O,X,X
TLZIJOS,X,O,O,X,X,X,X,O,O,X,X
TLZISJO,X,O,X,X,X,O,X,X,O,X,X
TLZISOJ,X,O,X,X,X,O,X,O,O,X,X
TLZIOJS,X,O,O,X,X,X,X,O,O,X,X
TLZIOSJ,X,O,X,X,X,X,X,O,O,X,X
TLZJISO,X,O,X,X,X,X,X,O,O,X,X
TLZJIOS,X,O,O,X,X,X,X,O,O,X,X
TLZJSIO,X,O,X,X,X,X,O,O,O,X,X
TLZJSOI,X,O,X,X,X,X,O,O,O,X,X
TLZJOIS,X,O,O,X,X,X,X,O,O,X,X
TLZJOSI,X,O,O,X,X,X,O,O,O,X,X
TLZSIJO,X,O,X,X,X,O,O,X,O,X,X
TLZSIOJ,X,O,X,X,X,O,O,O,O,X,X
TLZSJIO,X,O,X,X,X,O,O,X,O,X,X
TLZSJOI,X,O,X,X,X,O,O,X,O,X,X
TLZSOIJ,X,O,X,X,X,O,O,O,O,X,X
TLZSOJI,X,O,X,X,X,O,O,X,O,X,X
TLZOIJS,X,O,O,X,X,X,X,O,O,X,X
TLZOISJ,X,O,X,X,X,X,X,O,O,X,X
TLZOJIS,X,O,O,X,X,X,X,O,O,X,X
TLZOJSI,X,O,O,X,X,X,O,O,O,X,X
TLZOSIJ,X,O,X,X,X,X,O,O,O,X,X
TLZOSJI,X,O,X,X,X,X,O,X,O,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,X,X,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,O,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,O,O,X,X
TLOJZSI,X,O,O,X,X,X,O,O,O,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X
