sequence,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhETXB8hBCgB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKVB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZwIvhEKbB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Jef3IvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je/wIvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhE3XB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhETXBKfB8hB+?oBXlB
IJSTOLZ,O,O,X,X,X,X,O,X,O
IJSTOZL,O,O,X,X,X,X,O,X,O
IJSLTZO,O,X,X,O,O,X,O,O,O
IJSLTOZ,O,X,X,O,O,X,O,O,O
IJSLZTO,O,X,X,O,O,X,O,O,O
IJSLZOT,O,O,O,O,O,O,O,O,O
IJSLOTZ,O,O,O,O,O,O,O,O,O
IJSLOZT,O,O,O,O,O,O,O,O,O
IJSZTLO,O,X,X,O,O,X,O,O,O
IJSZTOL,O,O,X,X,X,X,O,X,O
IJSZLTO,O,X,X,O,O,X,O,O,O
IJSZLOT,O,O,O,O,O,O,O,O,O
IJSZOTL,O,O,O,X,X,X,O,X,O
IJSZOLT,O,O,O,O,O,O,O,O,O
IJSOTLZ,O,O,O,X,X,X,O,X,O
IJSOTZL,O,O,O,X,X,X,O,X,O
IJSOLTZ,O,O,O,O,O,O,O,O,O
IJSOLZT,O,O,O,O,O,O,O,O,O
IJSOZTL,O,O,O,X,X,X,O,X,O
IJSOZLT,O,O,O,O,O,O,O,O,O
IJZTLSO,X,X,X,O,X,X,O,O,X
IJZTLOS,X,X,X,X,X,O,O,O,X
IJZTSLO,O,X,X,O,X,X,O,O,X
IJZTSOL,O,O,X,X,X,X,O,X,X
IJZTOLS,X,O,X,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,O,X,X
IJZLTSO,X,X,X,O,X,X,O,O,X
IJZLTOS,X,X,X,X,X,O,O,O,X
IJZLSTO,O,X,X,O,O,X,O,O,O
IJZLSOT,O,O,X,O,O,O,O,O,O
IJZLOTS,X,O,X,X,X,O,O,O,X
IJZLOST,O,O,X,O,X,O,O,O,O
IJZSTLO,O,X,X,O,O,X,O,O,O
IJZSTOL,O,O,X,X,X,X,O,X,O
IJZSLTO,O,X,X,O,O,X,O,O,O
IJZSLOT,O,O,O,O,O,O,O,O,O
IJZSOTL,O,O,O,X,X,X,O,X,O
IJZSOLT,O,O,O,O,O,O,O,O,O
IJZOTLS,X,O,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,O,X,X
IJZOLTS,X,O,X,X,X,O,O,O,X
IJZOLST,O,O,O,O,X,O,O,O,O
IJZOSTL,O,O,O,X,X,X,O,X,O
IJZOSLT,O,O,O,O,X,O,O,O,O
IJOTLSZ,X,O,X,X,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,O,X,X
IJOTSZL,O,O,O,X,X,X,O,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,O,X,X
IJOLTSZ,X,O,X,X,X,O,O,O,X
IJOLTZS,X,O,X,X,X,O,O,O,X
IJOLSTZ,O,O,O,O,X,O,O,O,O
IJOLSZT,O,O,O,O,X,O,O,O,O
IJOLZTS,X,O,X,X,X,O,O,O,X
IJOLZST,O,O,O,O,X,O,O,O,O
IJOSTLZ,O,O,O,X,X,X,O,X,O
IJOSTZL,O,O,O,X,X,X,O,X,O
IJOSLTZ,O,O,O,O,X,O,O,O,O
IJOSLZT,O,O,O,O,X,O,O,O,O
IJOSZTL,O,O,O,X,X,X,O,X,O
IJOSZLT,O,O,O,O,X,O,O,O,O
IJOZTLS,X,O,X,X,X,X,X,X,X
IJOZTSL,O,O,O,X,X,X,O,X,X
IJOZLTS,X,O,X,X,X,O,O,O,X
IJOZLST,O,O,O,O,X,O,O,O,O
IJOZSTL,O,O,O,X,X,X,O,X,O
IJOZSLT,O,O,O,O,X,O,O,O,O
ISTLJZO,O,X,X,O,O,X,O,O,O
ISTLJOZ,O,X,X,O,O,X,O,O,O
ISTLZJO,O,X,X,O,O,X,O,O,O
ISTLZOJ,O,X,X,O,O,X,O,O,O
ISTLOJZ,O,X,X,O,O,X,O,O,O
ISTLOZJ,O,X,X,O,O,X,O,O,O
ISTJLZO,O,X,X,O,O,X,O,O,O
ISTJLOZ,O,X,X,O,O,X,O,O,O
ISTJZLO,O,X,X,O,O,X,O,O,O
ISTJZOL,O,O,X,X,X,X,O,X,O
ISTJOLZ,O,O,X,X,X,X,O,X,O
ISTJOZL,O,O,X,X,X,X,O,X,O
ISTZLJO,O,X,X,O,O,X,O,O,O
ISTZLOJ,O,X,X,O,O,X,O,O,O
ISTZJLO,O,X,X,O,O,X,O,O,O
ISTZJOL,O,O,X,X,X,X,O,X,O
ISTZOLJ,O,O,X,X,X,X,O,X,O
ISTZOJL,O,O,X,X,X,X,O,X,O
ISTOLJZ,O,O,X,X,X,X,O,X,O
ISTOLZJ,O,O,X,X,X,X,O,X,O
ISTOJLZ,O,O,X,X,X,X,O,X,O
ISTOJZL,O,O,X,X,X,X,O,X,O
ISTOZLJ,O,O,X,X,X,X,O,X,O
ISTOZJL,O,O,X,X,X,X,O,X,O
ISLTJZO,O,X,X,O,O,X,O,O,O
ISLTJOZ,O,X,X,O,O,X,O,O,O
ISLTZJO,O,X,X,O,O,X,O,O,O
ISLTZOJ,O,X,X,O,O,X,O,O,O
ISLTOJZ,O,X,X,O,O,X,O,O,O
ISLTOZJ,O,X,X,O,O,X,O,O,O
ISLJTZO,O,X,X,O,O,X,O,O,O
ISLJTOZ,O,X,X,O,O,X,O,O,O
ISLJZTO,O,X,X,O,O,X,O,O,O
ISLJZOT,O,O,O,O,O,O,O,O,O
ISLJOTZ,O,O,O,O,O,O,O,O,O
ISLJOZT,O,O,O,O,O,O,O,O,O
ISLZTJO,O,X,X,O,O,X,O,O,O
ISLZTOJ,O,X,X,O,O,X,O,O,O
ISLZJTO,O,X,X,O,O,X,O,O,O
ISLZJOT,O,O,O,O,O,O,O,O,O
ISLZOTJ,O,O,O,O,O,O,O,O,O
ISLZOJT,O,O,O,O,O,O,O,O,O
ISLOTJZ,O,O,O,O,O,O,O,O,O
ISLOTZJ,O,O,O,O,O,O,O,O,O
ISLOJTZ,O,O,O,O,O,O,O,O,O
ISLOJZT,O,O,O,O,O,O,O,O,O
ISLOZTJ,O,O,O,O,O,O,O,O,O
ISLOZJT,O,O,O,O,O,O,O,O,O
ISJTLZO,O,X,X,O,O,X,O,O,O
ISJTLOZ,O,X,X,O,O,X,O,O,O
ISJTZLO,O,X,X,O,O,X,O,O,O
ISJTZOL,O,O,X,X,X,X,O,X,O
ISJTOLZ,O,O,X,X,X,X,O,X,O
ISJTOZL,O,O,X,X,X,X,O,X,O
ISJLTZO,O,X,X,O,O,X,O,O,O
ISJLTOZ,O,X,X,O,O,X,O,O,O
ISJLZTO,O,X,X,O,O,X,O,O,O
ISJLZOT,O,O,O,O,O,O,O,O,O
ISJLOTZ,O,O,O,O,O,O,O,O,O
ISJLOZT,O,O,O,O,O,O,O,O,O
ISJZTLO,O,X,X,O,O,X,O,O,O
ISJZTOL,O,O,X,X,X,X,O,X,O
ISJZLTO,O,X,X,O,O,X,O,O,O
ISJZLOT,O,O,O,O,O,O,O,O,O
ISJZOTL,O,O,O,X,X,X,O,X,O
ISJZOLT,O,O,O,O,O,O,O,O,O
ISJOTLZ,O,O,O,X,X,X,O,X,O
ISJOTZL,O,O,O,X,X,X,O,X,O
ISJOLTZ,O,O,O,O,O,O,O,O,O
ISJOLZT,O,O,O,O,O,O,O,O,O
ISJOZTL,O,O,O,X,X,X,O,X,O
ISJOZLT,O,O,O,O,O,O,O,O,O
ISZTLJO,O,X,X,O,O,X,O,O,O
ISZTLOJ,O,X,X,O,O,X,O,O,O
ISZTJLO,O,X,X,O,O,X,O,O,O
ISZTJOL,O,O,X,X,X,X,O,X,O
ISZTOLJ,O,O,X,X,X,X,O,X,O
ISZTOJL,O,O,X,X,X,X,O,X,O
ISZLTJO,O,X,X,O,O,X,O,O,O
ISZLTOJ,O,X,X,O,O,X,O,O,O
ISZLJTO,O,X,X,O,O,X,O,O,O
ISZLJOT,O,O,O,O,O,O,O,O,O
ISZLOTJ,O,O,O,O,O,O,O,O,O
ISZLOJT,O,O,O,O,O,O,O,O,O
ISZJTLO,O,X,X,O,O,X,O,O,O
ISZJTOL,O,O,X,X,X,X,O,X,O
ISZJLTO,O,X,X,O,O,X,O,O,O
ISZJLOT,O,O,O,O,O,O,O,O,O
ISZJOTL,O,O,O,X,X,X,O,X,O
ISZJOLT,O,O,O,O,O,O,O,O,O
ISZOTLJ,O,O,O,X,X,X,O,X,O
ISZOTJL,O,O,O,X,X,X,O,X,O
ISZOLTJ,O,O,O,O,O,O,O,O,O
ISZOLJT,O,O,O,O,O,O,O,O,O
ISZOJTL,O,O,O,X,X,X,O,X,O
ISZOJLT,O,O,O,O,O,O,O,O,O
ISOTLJZ,O,O,O,X,X,X,O,X,O
ISOTLZJ,O,O,O,X,X,X,O,X,O
ISOTJLZ,O,O,O,X,X,X,O,X,O
ISOTJZL,O,O,O,X,X,X,O,X,O
ISOTZLJ,O,O,O,X,X,X,O,X,O
ISOTZJL,O,O,O,X,X,X,O,X,O
ISOLTJZ,O,O,O,O,O,O,O,O,O
ISOLTZJ,O,O,O,O,O,O,O,O,O
ISOLJTZ,O,O,O,O,O,O,O,O,O
ISOLJZT,O,O,O,O,O,O,O,O,O
ISOLZTJ,O,O,O,O,O,O,O,O,O
ISOLZJT,O,O,O,O,O,O,O,O,O
ISOJTLZ,O,O,O,X,X,X,O,X,O
ISOJTZL,O,O,O,X,X,X,O,X,O
ISOJLTZ,O,O,O,O,O,O,O,O,O
ISOJLZT,O,O,O,O,O,O,O,O,O
ISOJZTL,O,O,O,X,X,X,O,X,O
ISOJZLT,O,O,O,O,O,O,O,O,O
ISOZTLJ,O,O,O,X,X,X,O,X,O
ISOZTJL,O,O,O,X,X,X,O,X,O
ISOZLTJ,O,O,O,O,O,O,O,O,O
ISOZLJT,O,O,O,O,O,O,O,O,O
ISOZJTL,O,O,O,X,X,X,O,X,O
ISOZJLT,O,O,O,O,O,O,O,O,O
IZTLJSO,X,X,X,O,X,X,O,O,X
IZTLJOS,X,X,X,X,X,O,O,O,X
IZTLSJO,X,X,X,O,X,X,O,O,X
IZTLSOJ,X,X,X,O,X,X,O,O,X
IZTLOJS,X,X,X,X,X,O,O,O,X
IZTLOSJ,X,X,X,X,X,O,O,O,X
IZTJLSO,X,X,X,O,X,X,O,O,X
IZTJLOS,X,X,X,X,X,O,O,O,X
IZTJSLO,O,X,X,O,X,X,O,O,X
IZTJSOL,O,O,X,X,X,X,O,X,X
IZTJOLS,X,O,X,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,O,X,X
IZTSLJO,O,X,X,O,X,X,O,O,X
IZTSLOJ,O,X,X,O,X,X,O,O,X
IZTSJLO,O,X,X,O,X,X,O,O,X
IZTSJOL,O,O,X,X,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,O,X,X
IZTSOJL,O,O,X,X,X,X,O,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,O,X,X
IZTOSLJ,O,O,X,X,X,X,O,X,X
IZTOSJL,O,O,X,X,X,X,O,X,X
IZLTJSO,X,X,X,O,X,X,O,O,X
IZLTJOS,X,X,X,X,X,O,O,O,X
IZLTSJO,X,X,X,O,X,X,O,O,X
IZLTSOJ,X,X,X,O,X,X,O,O,X
IZLTOJS,X,X,X,X,X,O,O,O,X
IZLTOSJ,X,X,X,X,X,O,O,O,X
IZLJTSO,X,X,X,O,X,X,O,O,X
IZLJTOS,X,X,X,X,X,O,O,O,X
IZLJSTO,O,X,X,O,O,X,O,O,O
IZLJSOT,O,O,X,O,O,O,O,O,O
IZLJOTS,X,O,X,X,X,O,O,O,X
IZLJOST,O,O,X,O,X,O,O,O,O
IZLSTJO,O,X,X,O,O,X,O,O,O
IZLSTOJ,O,X,X,O,O,X,O,O,O
IZLSJTO,O,X,X,O,O,X,O,O,O
IZLSJOT,O,O,X,O,O,O,O,O,O
IZLSOTJ,O,O,X,O,O,O,O,O,O
IZLSOJT,O,O,X,O,O,O,O,O,O
IZLOTJS,X,O,X,X,X,O,O,O,X
IZLOTSJ,X,O,X,X,X,O,O,O,X
IZLOJTS,X,O,X,X,X,O,O,O,X
IZLOJST,O,O,X,O,X,O,O,O,O
IZLOSTJ,O,O,X,O,X,O,O,O,O
IZLOSJT,O,O,X,O,X,O,O,O,O
IZJTLSO,X,X,X,O,X,X,O,O,X
IZJTLOS,X,X,X,X,X,O,O,O,X
IZJTSLO,O,X,X,O,X,X,O,O,X
IZJTSOL,O,O,X,X,X,X,O,X,X
IZJTOLS,X,O,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,O,X,X
IZJLTSO,X,X,X,O,X,X,O,O,X
IZJLTOS,X,X,X,X,X,O,O,O,X
IZJLSTO,O,X,X,O,O,X,O,O,O
IZJLSOT,O,O,X,O,O,O,O,O,O
IZJLOTS,X,O,X,X,X,O,O,O,X
IZJLOST,O,O,X,O,X,O,O,O,O
IZJSTLO,O,X,X,O,O,X,O,O,O
IZJSTOL,O,O,X,X,X,X,O,X,O
IZJSLTO,O,X,X,O,O,X,O,O,O
IZJSLOT,O,O,O,O,O,O,O,O,O
IZJSOTL,O,O,O,X,X,X,O,X,O
IZJSOLT,O,O,O,O,O,O,O,O,O
IZJOTLS,X,O,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,O,X,X
IZJOLTS,X,O,X,X,X,O,O,O,X
IZJOLST,O,O,O,O,X,O,O,O,O
IZJOSTL,O,O,O,X,X,X,O,X,O
IZJOSLT,O,O,O,O,X,O,O,O,O
IZSTLJO,O,X,X,O,O,X,O,O,O
IZSTLOJ,O,X,X,O,O,X,O,O,O
IZSTJLO,O,X,X,O,O,X,O,O,O
IZSTJOL,O,O,X,X,X,X,O,X,O
IZSTOLJ,O,O,X,X,X,X,O,X,O
IZSTOJL,O,O,X,X,X,X,O,X,O
IZSLTJO,O,X,X,O,O,X,O,O,O
IZSLTOJ,O,X,X,O,O,X,O,O,O
IZSLJTO,O,X,X,O,O,X,O,O,O
IZSLJOT,O,O,O,O,O,O,O,O,O
IZSLOTJ,O,O,O,O,O,O,O,O,O
IZSLOJT,O,O,O,O,O,O,O,O,O
IZSJTLO,O,X,X,O,O,X,O,O,O
IZSJTOL,O,O,X,X,X,X,O,X,O
IZSJLTO,O,X,X,O,O,X,O,O,O
IZSJLOT,O,O,O,O,O,O,O,O,O
IZSJOTL,O,O,O,X,X,X,O,X,O
IZSJOLT,O,O,O,O,O,O,O,O,O
IZSOTLJ,O,O,O,X,X,X,O,X,O
IZSOTJL,O,O,O,X,X,X,O,X,O
IZSOLTJ,O,O,O,O,O,O,O,O,O
IZSOLJT,O,O,O,O,O,O,O,O,O
IZSOJTL,O,O,O,X,X,X,O,X,O
IZSOJLT,O,O,O,O,O,O,O,O,O
IZOTLJS,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,O,X,X
IZOTSLJ,O,O,O,X,X,X,O,X,X
IZOTSJL,O,O,O,X,X,X,O,X,X
IZOLTJS,X,O,X,X,X,O,O,O,X
IZOLTSJ,X,O,X,X,X,O,O,O,X
IZOLJTS,X,O,X,X,X,O,O,O,X
IZOLJST,O,O,O,O,X,O,O,O,O
IZOLSTJ,O,O,O,O,X,O,O,O,O
IZOLSJT,O,O,O,O,X,O,O,O,O
IZOJTLS,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,O,X,X
IZOJLTS,X,O,X,X,X,O,O,O,X
IZOJLST,O,O,O,O,X,O,O,O,O
IZOJSTL,O,O,O,X,X,X,O,X,O
IZOJSLT,O,O,O,O,X,O,O,O,O
IZOSTLJ,O,O,O,X,X,X,O,X,O
IZOSTJL,O,O,O,X,X,X,O,X,O
IZOSLTJ,O,O,O,O,X,O,O,O,O
IZOSLJT,O,O,O,O,X,O,O,O,O
IZOSJTL,O,O,O,X,X,X,O,X,O
IZOSJLT,O,O,O,O,X,O,O,O,O
IOTLJSZ,X,O,X,X,X,X,X,X,X
IOTLJZS,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,X
IOTLZJS,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X,X,X
IOTJLZS,X,O,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,O,X,X
IOTJSZL,O,O,O,X,X,X,O,X,X
IOTJZLS,X,O,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,O,X,X
IOTSLJZ,O,O,O,X,X,X,O,X,X
IOTSLZJ,O,O,O,X,X,X,O,X,X
IOTSJLZ,O,O,O,X,X,X,O,X,X
IOTSJZL,O,O,O,X,X,X,O,X,X
IOTSZLJ,O,O,O,X,X,X,O,X,X
IOTSZJL,O,O,O,X,X,X,O,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,O,X,X
IOTZSLJ,O,O,O,X,X,X,O,X,X
IOTZSJL,O,O,O,X,X,X,O,X,X
IOLTJSZ,X,O,X,X,X,O,O,O,X
IOLTJZS,X,O,X,X,X,O,O,O,X
IOLTSJZ,X,O,X,X,X,O,O,O,X
IOLTSZJ,X,O,X,X,X,O,O,O,X
IOLTZJS,X,O,X,X,X,O,O,O,X
IOLTZSJ,X,O,X,X,X,O,O,O,X
IOLJTSZ,X,O,X,X,X,O,O,O,X
IOLJTZS,X,O,X,X,X,O,O,O,X
IOLJSTZ,O,O,O,O,X,O,O,O,O
IOLJSZT,O,O,O,O,X,O,O,O,O
IOLJZTS,X,O,X,X,X,O,O,O,X
IOLJZST,O,O,O,O,X,O,O,O,O
IOLSTJZ,O,O,O,O,X,O,O,O,O
IOLSTZJ,O,O,O,O,X,O,O,O,O
IOLSJTZ,O,O,O,O,X,O,O,O,O
IOLSJZT,O,O,O,O,X,O,O,O,O
IOLSZTJ,O,O,O,O,X,O,O,O,O
IOLSZJT,O,O,O,O,X,O,O,O,O
IOLZTJS,X,O,X,X,X,O,O,O,X
IOLZTSJ,X,O,X,X,X,O,O,O,X
IOLZJTS,X,O,X,X,X,O,O,O,X
IOLZJST,O,O,O,O,X,O,O,O,O
IOLZSTJ,O,O,O,O,X,O,O,O,O
IOLZSJT,O,O,O,O,X,O,O,O,O
IOJTLSZ,X,O,X,X,X,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,X,X,O,X,X
IOJTSZL,O,O,O,X,X,X,O,X,X
IOJTZLS,X,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,O,X,X
IOJLTSZ,X,O,X,X,X,O,O,O,X
IOJLTZS,X,O,X,X,X,O,O,O,X
IOJLSTZ,O,O,O,O,X,O,O,O,O
IOJLSZT,O,O,O,O,X,O,O,O,O
IOJLZTS,X,O,X,X,X,O,O,O,X
IOJLZST,O,O,O,O,X,O,O,O,O
IOJSTLZ,O,O,O,X,X,X,O,X,O
IOJSTZL,O,O,O,X,X,X,O,X,O
IOJSLTZ,O,O,O,O,X,O,O,O,O
IOJSLZT,O,O,O,O,X,O,O,O,O
IOJSZTL,O,O,O,X,X,X,O,X,O
IOJSZLT,O,O,O,O,X,O,O,O,O
IOJZTLS,X,O,X,X,X,X,X,X,X
IOJZTSL,O,O,O,X,X,X,O,X,X
IOJZLTS,X,O,X,X,X,O,O,O,X
IOJZLST,O,O,O,O,X,O,O,O,O
IOJZSTL,O,O,O,X,X,X,O,X,O
IOJZSLT,O,O,O,O,X,O,O,O,O
IOSTLJZ,O,O,O,X,X,X,O,X,O
IOSTLZJ,O,O,O,X,X,X,O,X,O
IOSTJLZ,O,O,O,X,X,X,O,X,O
IOSTJZL,O,O,O,X,X,X,O,X,O
IOSTZLJ,O,O,O,X,X,X,O,X,O
IOSTZJL,O,O,O,X,X,X,O,X,O
IOSLTJZ,O,O,O,O,X,O,O,O,O
IOSLTZJ,O,O,O,O,X,O,O,O,O
IOSLJTZ,O,O,O,O,X,O,O,O,O
IOSLJZT,O,O,O,O,X,O,O,O,O
IOSLZTJ,O,O,O,O,X,O,O,O,O
IOSLZJT,O,O,O,O,X,O,O,O,O
IOSJTLZ,O,O,O,X,X,X,O,X,O
IOSJTZL,O,O,O,X,X,X,O,X,O
IOSJLTZ,O,O,O,O,X,O,O,O,O
IOSJLZT,O,O,O,O,X,O,O,O,O
IOSJZTL,O,O,O,X,X,X,O,X,O
IOSJZLT,O,O,O,O,X,O,O,O,O
IOSZTLJ,O,O,O,X,X,X,O,X,O
IOSZTJL,O,O,O,X,X,X,O,X,O
IOSZLTJ,O,O,O,O,X,O,O,O,O
IOSZLJT,O,O,O,O,X,O,O,O,O
IOSZJTL,O,O,O,X,X,X,O,X,O
IOSZJLT,O,O,O,O,X,O,O,O,O
IOZTLJS,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,X,X,O,X,X
IOZTSLJ,O,O,O,X,X,X,O,X,X
IOZTSJL,O,O,O,X,X,X,O,X,X
IOZLTJS,X,O,X,X,X,O,O,O,X
IOZLTSJ,X,O,X,X,X,O,O,O,X
IOZLJTS,X,O,X,X,X,O,O,O,X
IOZLJST,O,O,O,O,X,O,O,O,O
IOZLSTJ,O,O,O,O,X,O,O,O,O
IOZLSJT,O,O,O,O,X,O,O,O,O
IOZJTLS,X,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,X,X,X,O,X,X
IOZJLTS,X,O,X,X,X,O,O,O,X
IOZJLST,O,O,O,O,X,O,O,O,O
IOZJSTL,O,O,O,X,X,X,O,X,O
IOZJSLT,O,O,O,O,X,O,O,O,O
IOZSTLJ,O,O,O,X,X,X,O,X,O
IOZSTJL,O,O,O,X,X,X,O,X,O
IOZSLTJ,O,O,O,O,X,O,O,O,O
IOZSLJT,O,O,O,O,X,O,O,O,O
IOZSJTL,O,O,O,X,X,X,O,X,O
IOZSJLT,O,O,O,O,X,O,O,O,O
LTIJSZO,X,X,X,O,X,X,O,O,X
LTIJSOZ,X,X,X,O,X,X,O,O,X
LTIJZSO,X,X,X,O,X,X,O,O,X
LTIJZOS,X,X,X,X,X,O,O,O,X
LTIJOSZ,X,X,X,X,X,O,O,O,X
LTIJOZS,X,X,X,X,X,O,O,O,X
LTISJZO,X,X,X,O,X,X,O,O,X
LTISJOZ,X,X,X,O,X,X,O,O,X
LTISZJO,X,X,X,O,X,X,O,O,X
LTISZOJ,X,X,X,O,X,X,O,O,X
LTISOJZ,X,X,X,O,X,X,O,O,X
LTISOZJ,X,X,X,O,X,X,O,O,X
LTIZJSO,X,X,X,O,X,X,O,O,X
LTIZJOS,X,X,X,X,X,O,O,O,X
LTIZSJO,X,X,X,O,X,X,O,O,X
LTIZSOJ,X,X,X,O,X,X,O,O,X
LTIZOJS,X,X,X,X,X,O,O,O,X
LTIZOSJ,X,X,X,X,X,O,O,O,X
LTIOJSZ,X,X,X,X,X,O,O,O,X
LTIOJZS,X,X,X,X,X,O,O,O,X
LTIOSJZ,X,X,X,X,X,O,O,O,X
LTIOSZJ,X,X,X,X,X,O,O,O,X
LTIOZJS,X,X,X,X,X,O,O,O,X
LTIOZSJ,X,X,X,X,X,O,O,O,X
LTJISZO,X,X,X,O,X,X,O,O,X
LTJISOZ,X,X,X,O,X,X,O,O,X
LTJIZSO,X,X,X,O,X,X,O,O,X
LTJIZOS,X,X,X,X,X,O,O,O,X
LTJIOSZ,X,X,X,X,X,O,O,O,X
LTJIOZS,X,X,X,X,X,O,O,O,X
LTJSIZO,X,X,X,O,O,X,X,O,O
LTJSIOZ,X,X,X,O,O,X,X,O,O
LTJSZIO,X,X,X,O,O,X,X,O,O
LTJSZOI,X,X,X,O,O,X,X,O,O
LTJSOIZ,X,X,X,O,O,X,X,O,O
LTJSOZI,X,X,X,O,O,X,X,O,O
LTJZISO,X,X,X,O,X,X,O,O,X
LTJZIOS,X,X,X,X,X,O,O,O,X
LTJZSIO,X,X,X,O,O,X,X,O,O
LTJZSOI,X,X,X,O,O,X,X,O,O
LTJZOIS,X,X,X,X,X,O,O,O,X
LTJZOSI,X,X,X,X,X,O,X,O,O
LTJOISZ,X,X,X,X,X,O,O,O,X
LTJOIZS,X,X,X,X,X,O,O,O,X
LTJOSIZ,X,X,X,X,X,O,X,O,O
LTJOSZI,X,X,X,X,X,O,X,O,O
LTJOZIS,X,X,X,X,X,O,O,O,X
LTJOZSI,X,X,X,X,X,O,X,O,O
LTSIJZO,X,X,X,O,O,X,X,O,O
LTSIJOZ,X,X,X,O,O,X,X,O,O
LTSIZJO,X,X,X,O,O,X,X,O,O
LTSIZOJ,X,X,X,O,O,X,X,O,O
LTSIOJZ,X,X,X,O,O,X,X,O,O
LTSIOZJ,X,X,X,O,O,X,X,O,O
LTSJIZO,X,X,X,O,O,X,X,O,O
LTSJIOZ,X,X,X,O,O,X,X,O,O
LTSJZIO,X,X,X,O,O,X,X,O,O
LTSJZOI,X,X,X,O,O,X,X,O,O
LTSJOIZ,X,X,X,O,O,X,X,O,O
LTSJOZI,X,X,X,O,O,X,X,O,O
LTSZIJO,X,X,X,O,O,X,X,O,O
LTSZIOJ,X,X,X,O,O,X,X,O,O
LTSZJIO,X,X,X,O,O,X,X,O,O
LTSZJOI,X,X,X,O,O,X,X,O,O
LTSZOIJ,X,X,X,O,O,X,X,O,O
LTSZOJI,X,X,X,O,O,X,X,O,O
LTSOIJZ,X,X,X,O,O,X,X,O,O
LTSOIZJ,X,X,X,O,O,X,X,O,O
LTSOJIZ,X,X,X,O,O,X,X,O,O
LTSOJZI,X,X,X,O,O,X,X,O,O
LTSOZIJ,X,X,X,O,O,X,X,O,O
LTSOZJI,X,X,X,O,O,X,X,O,O
LTZIJSO,X,X,X,O,X,X,O,O,X
LTZIJOS,X,X,X,X,X,O,O,O,X
LTZISJO,X,X,X,O,X,X,O,O,X
LTZISOJ,X,X,X,O,X,X,O,O,X
LTZIOJS,X,X,X,X,X,O,O,O,X
LTZIOSJ,X,X,X,X,X,O,O,O,X
LTZJISO,X,X,X,O,X,X,O,O,X
LTZJIOS,X,X,X,X,X,O,O,O,X
LTZJSIO,X,X,X,O,O,X,X,O,O
LTZJSOI,X,X,X,O,O,X,X,O,O
LTZJOIS,X,X,X,X,X,O,O,O,X
LTZJOSI,X,X,X,X,X,O,X,O,O
LTZSIJO,X,X,X,O,O,X,X,O,O
LTZSIOJ,X,X,X,O,O,X,X,O,O
LTZSJIO,X,X,X,O,O,X,X,O,O
