sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
TZSOLJI,X,O,O,X
TZSOJIL,X,O,O,X
TZSOJLI,X,O,O,X
TZOILJS,O,O,O,X
TZOILSJ,O,O,O,X
TZOIJLS,O,O,O,X
TZOIJSL,O,O,O,X
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,O,X
TZOLISJ,O,O,O,X
TZOLJIS,O,O,O,X
TZOLJSI,O,O,O,X
TZOLSIJ,X,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,O,O,X
TZOJISL,O,O,O,X
TZOJLIS,O,O,O,X
TZOJLSI,O,O,O,X
TZOJSIL,X,O,O,X
TZOJSLI,O,O,O,X
TZOSILJ,X,O,O,X
TZOSIJL,X,O,O,X
TZOSLIJ,X,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,X,O,O,X
TZOSJLI,O,O,O,X
TOILJSZ,O,O,X,X
TOILJZS,O,O,X,X
TOILSJZ,O,O,O,X
TOILSZJ,O,O,O,X
TOILZJS,O,O,O,X
TOILZSJ,O,O,O,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,O,O,X,X
TOIJSZL,O,O,X,X
TOIJZLS,O,O,X,X
TOIJZSL,O,O,X,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,O,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,X,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,O,X
TOIZLSJ,O,O,O,X
TOIZJLS,O,O,O,X
TOIZJSL,O,O,O,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,O,O,O,X
TOLISZJ,O,O,O,X
TOLIZJS,O,O,O,X
TOLIZSJ,O,O,O,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,O,O,O,X
TOLSIZJ,O,O,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,O,O,O,X
TOLSZIJ,X,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,X,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,O,X,X
TOJISZL,O,O,X,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,O,O,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,O,O,X,X
TOJSLZI,O,O,X,X
TOJSZIL,X,O,X,X
TOJSZLI,O,O,X,X
TOJZILS,O,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,X,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,O,O,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,X,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,O,O,X
TOSLZIJ,X,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,X
TOSJIZL,O,O,X,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,X,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,X,O,O,X
TOSZIJL,X,O,O,X
TOSZLIJ,X,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,X,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,O,O,O,X
TOZILSJ,O,O,O,X
TOZIJLS,O,O,O,X
TOZIJSL,O,O,O,X
TOZISLJ,O,O,O,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,O,X
TOZLISJ,O,O,O,X
TOZLJIS,O,O,O,X
TOZLJSI,O,O,O,X
TOZLSIJ,X,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,O,O,X
TOZJISL,O,O,O,X
TOZJLIS,O,O,O,X
TOZJLSI,O,O,O,X
TOZJSIL,X,O,O,X
TOZJSLI,O,O,O,X
TOZSILJ,X,O,O,X
TOZSIJL,X,O,O,X
TOZSLIJ,X,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,X,O,O,X
TOZSJLI,O,O,O,X
ITLJSZO,O,O,X,O
ITLJSOZ,X,O,X,O
ITLJZSO,O,O,X,X
ITLJZOS,O,O,X,X
ITLJOSZ,O,O,X,O
ITLJOZS,O,O,X,X
ITLSJZO,O,O,X,O
ITLSJOZ,X,O,X,O
ITLSZJO,O,O,X,O
ITLSZOJ,O,O,X,O
ITLSOJZ,O,X,X,O
ITLSOZJ,O,X,X,O
ITLZJSO,O,O,X,X
ITLZJOS,O,O,X,X
ITLZSJO,O,O,X,X
ITLZSOJ,O,O,X,X
ITLZOJS,O,X,X,X
ITLZOSJ,O,O,X,X
ITLOJSZ,O,O,X,O
ITLOJZS,O,O,X,X
ITLOSJZ,O,O,X,O
ITLOSZJ,O,O,X,O
ITLOZJS,O,O,X,X
ITLOZSJ,O,O,X,X
ITJLSZO,O,O,X,O
ITJLSOZ,X,O,X,O
ITJLZSO,O,O,X,X
ITJLZOS,O,O,X,X
ITJLOSZ,O,O,X,O
ITJLOZS,O,O,X,X
ITJSLZO,O,O,X,O
ITJSLOZ,X,O,X,O
ITJSZLO,O,O,X,O
ITJSZOL,X,O,X,O
ITJSOLZ,X,O,X,O
ITJSOZL,X,O,X,O
ITJZLSO,O,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,O,O,X,X
ITJZSOL,X,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,O,O,X,O
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,X,O
ITJOSZL,O,O,X,O
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,O,O,X,O
ITSLJOZ,X,O,X,O
ITSLZJO,O,O,X,O
ITSLZOJ,O,O,X,O
ITSLOJZ,O,X,X,O
ITSLOZJ,O,X,X,O
ITSJLZO,O,O,X,O
ITSJLOZ,X,O,X,O
ITSJZLO,O,O,X,O
ITSJZOL,X,O,X,O
ITSJOLZ,X,O,X,O
ITSJOZL,X,X,X,O
ITSZLJO,O,O,X,O
ITSZLOJ,O,O,X,O
ITSZJLO,O,O,X,O
ITSZJOL,X,O,X,O
ITSZOLJ,O,O,X,O
ITSZOJL,O,X,X,O
ITSOLJZ,O,X,X,O
ITSOLZJ,O,X,X,O
ITSOJLZ,O,X,X,O
ITSOJZL,O,X,X,O
ITSOZLJ,O,X,X,O
ITSOZJL,O,X,X,O
ITZLJSO,O,O,X,X
ITZLJOS,O,O,X,X
ITZLSJO,O,O,X,X
ITZLSOJ,O,O,X,X
ITZLOJS,O,X,X,X
ITZLOSJ,O,O,X,X
ITZJLSO,O,O,X,X
