sequence,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFlgBRiBzkB3nB0r?BirB,v115@GhA8IeA8CeA8DeF8CeC8Je1FJvhFxhBynBTkBcrBmk?BXsB,v115@GhA8IeA8CeA8DeF8CeC8Je0/IvhFlgB3hBziB2pBxr?BywB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFxgB8nBypBFmB3r?BOsB,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFxgBiiBzkB3nB0r?BFrB,v115@GhA8IeA8CeA8DeF8CeC8Je3AJvhFRiB0kBOrBlnBik?BzrB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFlgBmiBypBxrBcr?BXsB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhF8nBypBRmBmlB3r?BFsB
ISLTOJZ,O,X,O,O,X,X,O,X
ISLTOZJ,X,O,X,O,X,X,O,O
ISLJTZO,O,X,O,X,X,X,O,X
ISLJTOZ,O,X,O,X,X,X,O,X
ISLJZTO,O,X,O,X,X,X,O,X
ISLJZOT,X,X,O,X,X,X,O,O
ISLJOTZ,X,X,O,X,X,X,O,X
ISLJOZT,X,X,O,X,X,X,O,O
ISLZTJO,O,O,X,O,X,X,O,X
ISLZTOJ,O,O,X,O,X,X,O,O
ISLZJTO,O,O,X,X,X,X,O,X
ISLZJOT,X,O,X,X,X,X,O,O
ISLZOTJ,O,O,X,O,O,X,O,O
ISLZOJT,O,O,X,X,O,X,O,O
ISLOTJZ,O,X,O,O,O,X,O,X
ISLOTZJ,X,O,X,O,X,X,O,O
ISLOJTZ,O,X,O,X,O,X,O,X
ISLOJZT,O,X,O,X,O,X,O,O
ISLOZTJ,O,O,X,O,O,X,O,O
ISLOZJT,O,O,X,X,O,X,O,O
ISJTLZO,O,X,O,X,X,O,X,X
ISJTLOZ,O,X,O,X,X,X,X,X
ISJTZLO,O,X,O,X,X,O,X,X
ISJTZOL,O,X,O,X,X,O,X,X
ISJTOLZ,O,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,O,X,X
ISJLTZO,O,X,O,X,X,X,O,X
ISJLTOZ,O,X,O,X,X,X,O,X
ISJLZTO,O,X,O,X,X,X,O,X
ISJLZOT,X,X,O,X,X,X,O,O
ISJLOTZ,X,X,O,X,X,X,O,X
ISJLOZT,X,X,O,X,X,X,O,O
ISJZTLO,O,X,O,X,X,O,X,X
ISJZTOL,O,X,O,X,X,O,X,X
ISJZLTO,O,X,O,X,X,X,X,X
ISJZLOT,X,X,O,X,X,X,X,O
ISJZOTL,O,X,O,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X
ISJOZTL,O,X,O,X,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,X
ISZTLJO,O,O,X,O,X,X,X,X
ISZTLOJ,O,O,X,O,X,X,X,O
ISZTJLO,O,O,O,O,X,O,X,X
ISZTJOL,O,O,O,X,X,O,X,X
ISZTOLJ,O,O,X,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X
ISZLTJO,O,O,X,O,X,X,X,X
ISZLTOJ,O,O,X,O,X,X,X,O
ISZLJTO,O,O,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X,O
ISZLOTJ,O,O,X,O,O,X,X,O
ISZLOJT,O,O,X,X,O,X,X,O
ISZJTLO,O,O,O,X,X,O,X,X
ISZJTOL,O,O,O,X,X,O,X,X
ISZJLTO,O,O,O,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,O
ISZJOTL,O,O,O,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,O,X,X,X
ISZOTJL,O,O,O,X,O,X,X,X
ISZOLTJ,O,O,X,X,O,X,X,O
ISZOLJT,O,O,X,X,O,X,X,O
ISZOJTL,O,O,O,X,O,X,X,X
ISZOJLT,O,O,O,X,O,X,X,X
ISOTLJZ,O,X,O,X,O,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,O,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X
ISOLTJZ,O,X,O,X,O,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,O
ISOLJTZ,O,X,O,X,O,X,X,X
ISOLJZT,O,X,O,X,O,X,X,O
ISOLZTJ,O,O,X,X,O,X,X,O
ISOLZJT,O,O,X,X,O,X,X,O
ISOJTLZ,O,X,O,X,O,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X
ISOJLTZ,O,X,O,X,O,X,X,X
ISOJLZT,O,X,O,X,O,X,X,X
ISOJZTL,O,X,O,X,O,X,X,X
ISOJZLT,O,X,O,X,O,X,X,X
ISOZTLJ,O,O,X,X,O,X,X,X
ISOZTJL,O,O,O,X,O,X,X,X
ISOZLTJ,O,O,X,X,O,X,X,O
ISOZLJT,O,O,X,X,O,X,X,O
ISOZJTL,O,O,O,X,O,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X
IZTLJSO,X,X,X,X,X,X,O,X
IZTLJOS,X,O,X,X,X,X,O,X
IZTLSJO,X,X,X,X,X,X,O,X
IZTLSOJ,X,O,X,X,X,X,O,X
IZTLOJS,X,O,X,X,X,X,O,O
IZTLOSJ,X,O,X,X,X,X,O,O
IZTJLSO,X,X,O,X,X,O,X,X
IZTJLOS,X,O,O,X,X,X,X,X
IZTJSLO,O,X,O,X,X,O,X,X
IZTJSOL,O,X,O,X,X,O,X,X
IZTJOLS,X,O,O,X,X,X,X,X
IZTJOSL,X,X,O,X,X,O,X,X
IZTSLJO,O,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,O,X,X
IZTSJOL,O,X,O,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X
IZTOJLS,X,O,O,X,X,O,X,X
IZTOJSL,O,X,O,X,X,O,X,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,O,X
IZLTJOS,X,O,X,X,X,X,O,X
IZLTSJO,X,X,X,X,X,X,O,X
IZLTSOJ,X,O,X,X,X,X,O,X
IZLTOJS,X,O,X,X,X,X,O,O
IZLTOSJ,X,O,X,X,X,X,O,O
IZLJTSO,X,X,X,X,X,X,O,X
IZLJTOS,X,O,X,X,X,X,O,X
IZLJSTO,X,X,X,X,X,X,O,X
IZLJSOT,X,X,X,X,X,X,O,X
IZLJOTS,X,O,X,X,X,X,O,O
IZLJOST,X,X,X,X,X,X,O,O
IZLSTJO,X,X,X,O,X,X,O,X
IZLSTOJ,X,O,X,O,X,X,O,O
IZLSJTO,X,X,X,X,X,X,O,X
IZLSJOT,X,X,X,X,X,X,O,O
IZLSOTJ,X,O,X,O,X,X,O,O
IZLSOJT,X,X,X,X,X,X,O,O
IZLOTJS,X,O,X,X,X,X,O,O
IZLOTSJ,X,O,X,X,X,X,O,O
IZLOJTS,X,O,X,X,X,X,O,O
IZLOJST,X,X,X,X,X,X,O,O
IZLOSTJ,X,O,X,O,X,X,O,O
IZLOSJT,X,X,X,X,X,X,O,O
IZJTLSO,X,X,O,X,X,O,X,X
IZJTLOS,X,O,O,X,X,X,X,X
IZJTSLO,O,X,O,X,X,O,X,X
IZJTSOL,O,X,O,X,X,O,X,X
IZJTOLS,X,O,O,X,X,X,X,X
IZJTOSL,X,X,O,X,X,O,X,X
IZJLTSO,X,X,O,X,X,X,O,X
IZJLTOS,X,O,O,X,X,X,O,X
IZJLSTO,X,X,O,X,X,X,O,X
IZJLSOT,X,X,O,X,X,X,O,X
IZJLOTS,X,O,O,X,X,X,O,O
IZJLOST,X,X,O,X,X,X,O,O
IZJSTLO,O,X,O,X,X,O,X,X
IZJSTOL,O,X,O,X,X,O,X,X
IZJSLTO,O,X,O,X,X,X,X,X
IZJSLOT,X,X,O,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X
IZJSOLT,X,X,O,X,X,X,X,X
IZJOTLS,X,O,O,X,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X
IZJOLTS,X,O,O,X,X,X,X,X
IZJOLST,X,X,O,X,X,X,X,X
IZJOSTL,X,X,O,X,X,X,X,X
IZJOSLT,X,X,O,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,O
IZSTJLO,O,X,O,O,X,O,X,X
IZSTJOL,O,X,O,X,X,O,X,X
IZSTOLJ,O,O,X,O,X,X,X,X
IZSTOJL,O,X,O,X,X,X,X,X
IZSLTJO,O,X,X,O,X,X,X,X
IZSLTOJ,O,O,X,O,X,X,X,O
IZSLJTO,O,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,O
IZSLOTJ,O,O,X,O,O,X,X,O
IZSLOJT,O,X,X,X,O,X,X,O
IZSJTLO,O,X,O,X,X,O,X,X
IZSJTOL,O,X,O,X,X,O,X,X
IZSJLTO,O,X,O,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,O
IZSJOTL,O,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,O,X,X,X
IZSOTJL,O,X,O,X,O,X,X,X
IZSOLTJ,O,O,X,X,O,X,X,O
IZSOLJT,O,X,X,X,O,X,X,O
IZSOJTL,O,X,O,X,O,X,X,X
IZSOJLT,O,X,O,X,O,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X
IZOTJLS,X,O,O,X,X,O,X,X
IZOTJSL,O,X,O,X,O,O,X,X
IZOTSLJ,O,O,X,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X,X,X
IZOLTJS,X,O,X,X,X,X,X,O
IZOLTSJ,X,O,X,X,X,X,X,O
IZOLJTS,X,O,X,X,X,X,X,O
IZOLJST,X,X,X,X,O,X,X,O
IZOLSTJ,X,O,X,X,O,X,X,O
IZOLSJT,X,X,X,X,O,X,X,O
IZOJTLS,X,O,O,X,X,O,X,X
IZOJTSL,O,X,O,X,O,O,X,X
IZOJLTS,X,O,O,X,X,X,X,X
IZOJLST,X,X,O,X,O,X,X,X
IZOJSTL,O,X,O,X,O,O,X,X
IZOJSLT,O,X,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,O,X,X,X
IZOSTJL,O,X,O,X,O,X,X,X
IZOSLTJ,O,O,X,X,O,X,X,X
IZOSLJT,O,X,X,X,O,X,X,X
IZOSJTL,O,X,O,X,O,X,X,X
IZOSJLT,O,X,O,X,O,X,X,X
IOTLJSZ,X,X,O,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,O,X
IOTLSJZ,X,X,O,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,O,X
IOTLZJS,X,O,X,X,X,X,O,X
IOTLZSJ,X,O,X,X,X,X,O,X
IOTJLSZ,X,X,O,X,X,O,X,X
IOTJLZS,X,X,O,X,X,O,X,X
IOTJSLZ,O,X,O,X,O,O,X,X
IOTJSZL,O,X,O,X,X,O,X,X
IOTJZLS,X,X,O,X,X,O,X,X
IOTJZSL,O,X,O,X,O,O,X,X
IOTSLJZ,O,X,O,X,O,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,O,X,X,X
IOTSJZL,O,X,O,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,O,X,X
IOTZJSL,O,X,O,X,O,O,X,X
IOTZSLJ,O,O,X,X,O,X,X,X
IOTZSJL,O,X,O,X,O,X,X,X
IOLTJSZ,X,X,O,X,X,X,O,X
IOLTJZS,X,X,O,X,X,X,O,X
IOLTSJZ,X,X,O,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,O,X
IOLTZJS,X,O,X,X,X,X,O,O
IOLTZSJ,X,O,X,X,X,X,O,O
IOLJTSZ,X,X,O,X,X,X,O,X
IOLJTZS,X,X,O,X,X,X,O,X
IOLJSTZ,X,X,O,X,O,X,O,X
IOLJSZT,X,X,O,X,O,X,O,X
IOLJZTS,X,X,O,X,X,X,O,O
IOLJZST,X,X,O,X,O,X,O,O
IOLSTJZ,X,X,O,X,O,X,O,X
IOLSTZJ,X,O,X,X,X,X,O,X
IOLSJTZ,X,X,O,X,O,X,O,X
IOLSJZT,X,X,O,X,O,X,O,X
IOLSZTJ,X,O,X,X,X,X,O,O
IOLSZJT,X,O,X,X,O,X,O,O
IOLZTJS,X,O,X,X,X,X,O,O
IOLZTSJ,X,O,X,X,X,X,O,O
IOLZJTS,X,O,X,X,X,X,O,O
IOLZJST,X,X,X,X,O,X,O,O
IOLZSTJ,X,O,X,X,O,X,O,O
IOLZSJT,X,X,X,X,O,X,O,O
IOJTLSZ,X,X,O,X,X,O,X,X
IOJTLZS,X,X,O,X,X,O,X,X
IOJTSLZ,O,X,O,X,O,O,X,X
IOJTSZL,O,X,O,X,X,O,X,X
IOJTZLS,X,X,O,X,X,O,X,X
IOJTZSL,O,X,O,X,O,O,X,X
IOJLTSZ,X,X,O,X,X,X,O,X
IOJLTZS,X,X,O,X,X,X,O,X
IOJLSTZ,X,X,O,X,O,X,O,X
IOJLSZT,X,X,O,X,O,X,O,X
IOJLZTS,X,X,O,X,X,X,O,X
IOJLZST,X,X,O,X,O,X,O,X
IOJSTLZ,O,X,O,X,O,O,X,X
IOJSTZL,O,X,O,X,X,O,X,X
IOJSLTZ,O,X,O,X,O,X,X,X
IOJSLZT,O,X,O,X,O,X,X,X
IOJSZTL,O,X,O,X,O,O,X,X
IOJSZLT,O,X,O,X,O,X,X,X
IOJZTLS,X,X,O,X,X,O,X,X
IOJZTSL,O,X,O,X,O,O,X,X
IOJZLTS,X,X,O,X,X,X,X,X
IOJZLST,X,X,O,X,O,X,X,X
IOJZSTL,O,X,O,X,O,O,X,X
IOJZSLT,O,X,O,X,O,X,X,X
IOSTLJZ,O,X,O,X,O,X,X,X
IOSTLZJ,X,O,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,X
IOSTJZL,O,X,O,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,O,X,O,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X
IOSLJTZ,O,X,O,X,O,X,X,X
IOSLJZT,O,X,O,X,O,X,X,X
IOSLZTJ,O,O,X,X,O,X,X,X
IOSLZJT,O,O,X,X,O,X,X,X
IOSJTLZ,O,X,O,X,O,X,X,X
IOSJTZL,O,X,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,O,X,X,X
IOSJLZT,O,X,O,X,O,X,X,X
IOSJZTL,O,X,O,X,O,X,X,X
IOSJZLT,O,X,O,X,O,X,X,X
IOSZTLJ,O,O,X,X,O,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X
IOSZLTJ,O,O,X,X,O,X,X,X
IOSZLJT,O,O,X,X,O,X,X,X
IOSZJTL,O,O,O,X,O,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,X,O,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X
IOZTJLS,X,O,O,X,X,O,X,X
IOZTJSL,O,X,O,X,O,O,X,X
IOZTSLJ,O,O,X,X,O,X,X,X
IOZTSJL,O,X,O,X,O,X,X,X
IOZLTJS,X,O,X,X,X,X,X,O
IOZLTSJ,X,O,X,X,X,X,X,O
IOZLJTS,X,O,X,X,X,X,X,O
IOZLJST,X,X,X,X,O,X,X,O
IOZLSTJ,X,O,X,X,O,X,X,O
IOZLSJT,X,X,X,X,O,X,X,O
IOZJTLS,X,O,O,X,X,O,X,X
IOZJTSL,O,X,O,X,O,O,X,X
IOZJLTS,X,O,O,X,X,X,X,X
IOZJLST,X,X,O,X,O,X,X,X
IOZJSTL,O,X,O,X,O,O,X,X
IOZJSLT,O,X,O,X,O,X,X,X
IOZSTLJ,O,O,X,X,O,X,X,X
IOZSTJL,O,X,O,X,O,X,X,X
IOZSLTJ,O,O,X,X,O,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X
IOZSJTL,O,X,O,X,O,X,X,X
IOZSJLT,O,X,O,X,O,X,X,X
LTIJSZO,X,X,O,O,X,X,O,X
LTIJSOZ,X,X,O,O,X,X,O,X
LTIJZSO,X,X,O,X,X,X,O,X
LTIJZOS,X,X,O,X,X,X,O,X
LTIJOSZ,X,X,O,O,X,X,O,X
LTIJOZS,X,X,O,X,X,X,O,X
LTISJZO,X,X,O,O,X,X,O,X
LTISJOZ,X,X,O,O,X,X,O,X
LTISZJO,X,X,X,O,X,X,O,X
LTISZOJ,X,X,X,O,X,X,O,X
LTISOJZ,X,X,O,O,X,X,O,X
LTISOZJ,X,X,X,O,X,X,O,X
LTIZJSO,X,X,X,X,X,X,O,X
LTIZJOS,X,O,X,X,X,X,O,X
LTIZSJO,X,X,X,O,X,X,O,X
LTIZSOJ,X,O,X,O,X,X,O,X
LTIZOJS,X,O,X,X,X,X,O,O
LTIZOSJ,X,O,X,O,X,X,O,O
LTIOJSZ,X,X,O,O,X,X,O,X
LTIOJZS,X,X,O,X,X,X,O,X
LTIOSJZ,X,X,O,O,X,X,O,X
LTIOSZJ,X,X,X,O,X,X,O,X
LTIOZJS,X,O,X,X,X,X,O,O
LTIOZSJ,X,O,X,O,X,X,O,O
LTJISZO,X,X,O,O,X,O,O,X
LTJISOZ,X,X,O,O,X,X,O,X
LTJIZSO,X,X,O,X,X,O,O,X
LTJIZOS,X,X,O,X,X,X,O,X
LTJIOSZ,X,X,O,O,X,X,O,X
LTJIOZS,X,X,O,X,X,X,O,X
LTJSIZO,O,X,X,O,X,O,X,X
LTJSIOZ,O,X,X,O,X,X,X,X
LTJSZIO,O,X,X,O,X,O,X,X
LTJSZOI,X,X,X,O,X,O,X,X
LTJSOIZ,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X
LTJZISO,X,X,O,X,X,O,X,X
LTJZIOS,X,O,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,O,X,X
LTJZSOI,X,X,X,X,X,O,X,X
LTJZOIS,X,O,O,X,X,X,X,X
LTJZOSI,X,O,X,X,X,X,X,X
LTJOISZ,X,X,O,O,X,X,O,X
LTJOIZS,X,X,O,X,X,X,O,X
LTJOSIZ,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X
LTSIJZO,O,X,X,O,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X
LTSIZJO,X,O,X,O,X,X,O,X
LTSIZOJ,X,O,X,O,X,X,O,O
LTSIOJZ,O,X,X,O,X,X,X,X
LTSIOZJ,X,O,X,O,X,X,O,O
LTSJIZO,O,X,X,O,X,O,X,X
LTSJIOZ,O,X,X,O,X,X,X,X
LTSJZIO,O,O,X,O,X,O,X,X
LTSJZOI,X,O,X,O,X,O,X,X
LTSJOIZ,X,X,X,O,X,X,X,X
LTSJOZI,X,O,X,O,X,X,X,X
LTSZIJO,O,O,X,O,X,X,X,X
LTSZIOJ,O,O,X,O,X,X,X,O
LTSZJIO,O,O,X,O,X,O,X,X
LTSZJOI,X,O,X,O,X,O,X,X
LTSZOIJ,O,O,X,O,X,X,X,O
LTSZOJI,O,O,X,O,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,X
LTSOIZJ,X,O,X,O,X,X,O,O
LTSOJIZ,O,X,X,O,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X
LTSOZIJ,O,O,X,O,X,X,X,O
LTSOZJI,O,O,X,O,X,X,X,X
LTZIJSO,X,X,X,X,X,X,O,X
LTZIJOS,X,O,X,X,X,X,O,X
LTZISJO,X,X,X,O,X,X,O,X
LTZISOJ,X,O,X,O,X,X,O,X
LTZIOJS,X,O,X,X,X,X,O,O
LTZIOSJ,X,O,X,O,X,X,O,O
LTZJISO,X,X,X,X,X,O,X,X
LTZJIOS,X,O,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,O,X,X
LTZJSOI,X,X,X,X,X,O,X,X
LTZJOIS,X,O,X,X,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,X,X
LTZSIOJ,O,O,X,O,X,X,X,O
LTZSJIO,O,X,X,O,X,O,X,X
LTZSJOI,X,X,X,O,X,O,X,X
LTZSOIJ,O,O,X,O,X,X,X,O
LTZSOJI,O,O,X,O,X,X,X,X
LTZOIJS,X,O,X,X,X,X,O,O
LTZOISJ,X,O,X,O,X,X,O,O
LTZOJIS,X,O,X,X,X,O,X,X
LTZOJSI,O,O,X,X,X,O,X,X
LTZOSIJ,O,O,X,O,X,X,X,O
LTZOSJI,O,O,X,O,X,X,X,X
LTOIJSZ,X,X,O,O,X,X,O,X
LTOIJZS,X,X,O,X,X,X,O,X
LTOISJZ,X,X,O,O,X,X,O,X
LTOISZJ,X,X,X,O,X,X,O,X
LTOIZJS,X,O,X,X,X,X,O,O
LTOIZSJ,X,O,X,O,X,X,O,O
LTOJISZ,X,X,O,O,X,O,O,X
LTOJIZS,X,X,O,X,X,O,O,X
LTOJSIZ,O,X,X,O,X,O,X,X
LTOJSZI,O,X,X,O,X,O,X,X
LTOJZIS,X,O,O,X,X,O,X,X
LTOJZSI,O,O,X,X,X,O,X,X
LTOSIJZ,O,X,X,O,X,X,X,X
LTOSIZJ,X,O,X,O,X,X,O,O
LTOSJIZ,O,X,X,O,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X
LTOSZIJ,O,O,X,O,X,X,X,O
LTOSZJI,O,O,X,O,X,X,X,X
LTOZIJS,X,O,X,X,X,X,O,O
LTOZISJ,X,O,X,O,X,X,O,O
LTOZJIS,X,O,X,X,X,O,X,X
LTOZJSI,O,O,X,X,X,O,X,X
LTOZSIJ,O,O,X,O,X,X,X,O
LTOZSJI,O,O,X,O,X,X,X,X
LITJSZO,X,X,O,O,X,X,O,X
LITJSOZ,X,X,O,O,X,X,O,X
LITJZSO,X,X,O,X,X,X,O,X
LITJZOS,X,X,O,X,X,X,O,X
LITJOSZ,X,X,O,O,X,X,O,X
LITJOZS,X,X,O,X,X,X,O,X
LITSJZO,X,X,O,O,X,X,O,X
LITSJOZ,X,X,O,O,X,X,O,X
LITSZJO,X,X,X,O,X,X,O,X
LITSZOJ,X,X,X,O,X,X,O,X
LITSOJZ,X,X,O,O,X,X,O,X
LITSOZJ,X,X,X,O,X,X,O,X
LITZJSO,X,X,X,X,X,X,O,X
LITZJOS,X,O,X,X,X,X,O,X
LITZSJO,X,X,X,O,X,X,O,X
LITZSOJ,X,O,X,O,X,X,O,X
LITZOJS,X,O,X,X,X,X,O,O
LITZOSJ,X,O,X,O,X,X,O,O
LITOJSZ,X,X,O,O,X,X,O,X
LITOJZS,X,X,O,X,X,X,O,X
LITOSJZ,X,X,O,O,X,X,O,X
LITOSZJ,X,X,X,O,X,X,O,X
LITOZJS,X,O,X,X,X,X,O,O
LITOZSJ,X,O,X,O,X,X,O,O
LIJTSZO,X,X,O,O,X,X,O,X
LIJTSOZ,X,X,O,O,X,X,O,X
LIJTZSO,X,X,O,X,X,X,O,X
LIJTZOS,X,X,O,X,X,X,O,X
LIJTOSZ,X,X,O,O,X,X,O,X
LIJTOZS,X,X,O,X,X,X,O,X
LIJSTZO,X,X,O,X,X,X,O,X
LIJSTOZ,X,X,O,X,X,X,O,X
LIJSZTO,X,X,O,X,X,X,O,X
LIJSZOT,X,X,O,X,X,X,O,X
LIJSOTZ,X,X,O,X,X,X,O,X
LIJSOZT,X,X,O,X,X,X,O,X
LIJZTSO,X,X,O,X,X,X,O,X
LIJZTOS,X,X,O,X,X,X,O,X
LIJZSTO,X,X,O,X,X,X,O,X
LIJZSOT,X,X,O,X,X,X,O,X
LIJZOTS,X,X,O,X,X,X,O,O
LIJZOST,X,X,O,X,X,X,O,O
LIJOTSZ,X,X,O,O,X,X,O,X
LIJOTZS,X,X,O,X,X,X,O,X
LIJOSTZ,X,X,O,X,X,X,O,X
LIJOSZT,X,X,O,X,X,X,O,X
LIJOZTS,X,X,O,X,X,X,O,O
LIJOZST,X,X,O,X,X,X,O,O
LISTJZO,X,X,O,O,X,X,O,X
LISTJOZ,X,X,O,O,X,X,O,X
LISTZJO,X,O,X,O,X,X,O,X
LISTZOJ,X,O,X,O,X,X,O,O
LISTOJZ,X,X,O,O,X,X,O,X
LISTOZJ,X,O,X,O,X,X,O,O
LISJTZO,X,X,O,X,X,X,O,X
LISJTOZ,X,X,O,X,X,X,O,X
LISJZTO,X,X,O,X,X,X,O,X
LISJZOT,X,X,O,X,X,X,O,O
LISJOTZ,X,X,O,X,X,X,O,X
LISJOZT,X,X,O,X,X,X,O,O
LISZTJO,X,O,X,O,X,X,O,X
LISZTOJ,X,O,X,O,X,X,O,O
LISZJTO,X,O,X,X,X,X,O,X
LISZJOT,X,O,X,X,X,X,O,O
LISZOTJ,X,O,X,O,X,X,O,O
LISZOJT,X,O,X,X,X,X,O,O
LISOTJZ,X,X,O,O,X,X,O,X
LISOTZJ,X,O,X,O,X,X,O,O
LISOJTZ,X,X,O,X,X,X,O,X
LISOJZT,X,X,O,X,X,X,O,O
LISOZTJ,X,O,X,O,X,X,O,O
LISOZJT,X,O,X,X,X,X,O,O
LIZTJSO,X,X,X,X,X,X,O,X
LIZTJOS,X,O,X,X,X,X,O,X
LIZTSJO,X,X,X,O,X,X,O,X
LIZTSOJ,X,O,X,O,X,X,O,X
LIZTOJS,X,O,X,X,X,X,O,O
LIZTOSJ,X,O,X,O,X,X,O,O
LIZJTSO,X,X,X,X,X,X,O,X
LIZJTOS,X,O,X,X,X,X,O,X
LIZJSTO,X,X,X,X,X,X,O,X
LIZJSOT,X,X,X,X,X,X,O,X
LIZJOTS,X,O,X,X,X,X,O,O
LIZJOST,X,X,X,X,X,X,O,O
LIZSTJO,X,X,X,O,X,X,O,X
LIZSTOJ,X,O,X,O,X,X,O,O
LIZSJTO,X,X,X,X,X,X,O,X
LIZSJOT,X,X,X,X,X,X,O,O
LIZSOTJ,X,O,X,O,X,X,O,O
LIZSOJT,X,X,X,X,X,X,O,O
LIZOTJS,X,O,X,X,X,X,O,O
LIZOTSJ,X,O,X,O,X,X,O,O
LIZOJTS,X,O,X,X,X,X,O,O
LIZOJST,X,X,X,X,X,X,O,O
LIZOSTJ,X,O,X,O,X,X,O,O
LIZOSJT,X,X,X,X,X,X,O,O
LIOTJSZ,X,X,O,O,X,X,O,X
LIOTJZS,X,X,O,X,X,X,O,X
LIOTSJZ,X,X,O,O,X,X,O,X
LIOTSZJ,X,X,X,O,X,X,O,X
LIOTZJS,X,O,X,X,X,X,O,O
LIOTZSJ,X,O,X,O,X,X,O,O
LIOJTSZ,X,X,O,O,X,X,O,X
LIOJTZS,X,X,O,X,X,X,O,X
LIOJSTZ,X,X,O,X,X,X,O,X
LIOJSZT,X,X,O,X,X,X,O,X
LIOJZTS,X,X,O,X,X,X,O,O
LIOJZST,X,X,O,X,X,X,O,O
LIOSTJZ,X,X,O,O,X,X,O,X
