sequence,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeqGJvhFTiB5oBlkB3?lBmlB0pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke2EJvhFTiB5oBFmBC?lB0mBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeUAJvhFamBGiB5oBz?mBFqB/pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeT/IvhFcnB5oBVqBG?mBimBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBSnB5oBV?rBmmBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBC?nBFnBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBF?nBCnBzpB
IZTJOLS,X,O,X,O,X,X,X
IZTJOSL,X,O,X,O,X,X,O
IZTSLJO,X,X,X,X,O,X,X
IZTSLOJ,O,X,X,X,O,X,X
IZTSJLO,X,X,X,X,O,X,O
IZTSJOL,X,O,X,O,X,X,O
IZTSOLJ,O,X,X,X,O,X,X
IZTSOJL,X,O,X,O,X,X,X
IZTOLJS,X,X,O,O,X,X,X
IZTOLSJ,O,X,O,X,O,X,X
IZTOJLS,X,O,O,O,X,X,X
IZTOJSL,X,O,X,O,X,X,X
IZTOSLJ,O,X,X,X,O,X,X
IZTOSJL,X,O,X,O,X,X,X
IZLTJSO,X,X,X,X,O,X,X
IZLTJOS,X,X,X,O,X,X,X
IZLTSJO,X,X,X,X,O,X,X
IZLTSOJ,O,X,X,X,O,X,X
IZLTOJS,X,X,O,O,X,X,X
IZLTOSJ,O,X,O,X,O,X,X
IZLJTSO,X,X,X,X,X,O,X
IZLJTOS,X,X,X,O,X,X,X
IZLJSTO,X,X,X,X,X,O,X
IZLJSOT,X,X,X,X,X,O,X
IZLJOTS,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,O,X
IZLSTJO,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,X,O,X,X
IZLSJTO,X,X,X,X,X,O,X
IZLSJOT,X,X,X,X,X,O,X
IZLSOTJ,O,X,X,X,X,X,X
IZLSOJT,X,X,X,X,X,X,X
IZLOTJS,X,X,O,O,X,X,X
IZLOTSJ,O,X,O,X,X,X,X
IZLOJTS,X,X,O,X,X,X,X
IZLOJST,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,O,O
IZJTLOS,X,X,X,O,X,X,X
IZJTSLO,X,X,X,X,X,O,O
IZJTSOL,X,X,X,O,X,X,O
IZJTOLS,X,O,X,O,X,X,X
IZJTOSL,X,O,X,O,X,X,O
IZJLTSO,X,X,X,X,X,O,O
IZJLTOS,X,X,X,O,X,X,X
IZJLSTO,X,X,X,X,X,O,O
IZJLSOT,X,X,X,X,X,O,X
IZJLOTS,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,O,X
IZJSTLO,X,X,X,X,X,O,O
IZJSTOL,X,X,X,O,X,X,O
IZJSLTO,X,X,X,X,X,O,O
IZJSLOT,X,X,X,X,X,O,X
IZJSOTL,X,X,X,X,X,X,O
IZJSOLT,X,X,X,X,X,O,X
IZJOTLS,X,O,O,O,X,X,X
IZJOTSL,X,O,X,O,X,X,O
IZJOLTS,X,X,O,X,X,X,X
IZJOLST,X,X,X,X,X,O,X
IZJOSTL,X,X,X,X,X,X,O
IZJOSLT,X,X,X,X,X,O,X
IZSTLJO,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,O,X,X
IZSTJLO,X,X,X,X,O,X,O
IZSTJOL,X,O,X,O,X,X,O
IZSTOLJ,O,X,X,X,O,X,X
IZSTOJL,X,O,X,O,X,X,X
IZSLTJO,X,X,X,X,O,X,X
IZSLTOJ,O,X,X,X,O,X,X
IZSLJTO,X,X,X,X,X,O,X
IZSLJOT,X,X,X,X,X,O,X
IZSLOTJ,O,X,X,X,X,X,X
IZSLOJT,X,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,O,O
IZSJTOL,X,O,X,O,X,X,O
IZSJLTO,X,X,X,X,X,O,O
IZSJLOT,X,X,X,X,X,O,X
IZSJOTL,X,O,X,X,X,X,O
IZSJOLT,X,X,X,X,X,O,X
IZSOTLJ,O,X,X,X,X,X,X
IZSOTJL,X,O,X,O,X,X,X
IZSOLTJ,O,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,X
IZOTLSJ,O,X,O,X,X,X,X
IZOTJLS,X,O,O,O,X,X,X
IZOTJSL,X,O,X,O,X,X,X
IZOTSLJ,O,X,X,X,X,X,X
IZOTSJL,X,O,X,O,X,X,X
IZOLTJS,X,X,O,O,X,X,X
IZOLTSJ,O,X,O,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X
IZOLJST,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,X,X
IZOJTLS,X,O,O,O,X,X,X
IZOJTSL,X,O,X,O,X,X,X
IZOJLTS,X,X,O,X,X,X,X
IZOJLST,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X
IZOSTJL,X,O,X,O,X,X,X
IZOSLTJ,O,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X
IOTLSJZ,O,O,O,X,X,X,X
IOTLSZJ,O,X,O,X,O,X,X
IOTLZJS,X,X,O,O,X,X,X
IOTLZSJ,O,X,O,X,O,X,X
IOTJLSZ,O,O,O,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X
IOTJSLZ,O,O,O,X,X,X,X
IOTJSZL,X,O,X,O,X,X,O
IOTJZLS,X,O,O,O,X,X,X
IOTJZSL,X,O,X,O,X,X,O
IOTSLJZ,O,O,O,X,X,X,X
IOTSLZJ,O,X,O,X,O,X,X
IOTSJLZ,O,O,O,X,X,X,X
IOTSJZL,X,O,X,O,X,X,O
IOTSZLJ,O,X,X,X,O,X,X
IOTSZJL,X,O,X,O,X,X,X
IOTZLJS,X,X,O,O,X,X,X
IOTZLSJ,O,X,O,X,O,X,X
IOTZJLS,X,O,O,O,X,X,X
IOTZJSL,X,O,X,O,X,X,X
IOTZSLJ,O,X,X,X,O,X,X
IOTZSJL,X,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X
IOLTSJZ,O,O,O,X,X,X,X
IOLTSZJ,O,X,O,X,O,X,X
IOLTZJS,X,X,O,O,X,X,X
IOLTZSJ,O,X,O,X,O,X,X
IOLJTSZ,O,O,O,X,X,X,X
IOLJTZS,X,O,O,X,X,X,X
IOLJSTZ,O,X,O,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X
IOLJZTS,X,X,O,X,X,X,X
IOLJZST,X,X,X,X,X,O,X
IOLSTJZ,O,O,O,X,X,X,X
IOLSTZJ,O,X,O,X,O,X,X
IOLSJTZ,O,O,O,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X
IOLSZTJ,O,X,X,X,X,X,X
IOLSZJT,X,X,X,X,X,X,X
IOLZTJS,X,X,O,O,X,X,X
IOLZTSJ,O,X,O,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X
IOLZJST,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,X
IOJTLZS,X,O,O,O,X,X,X
IOJTSLZ,O,O,O,X,X,X,X
IOJTSZL,X,O,X,O,X,X,O
IOJTZLS,X,O,O,O,X,X,X
IOJTZSL,X,O,X,O,X,X,O
IOJLTSZ,O,O,O,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X
IOJLSTZ,O,X,O,X,X,X,X
IOJLSZT,X,X,X,X,X,O,X
IOJLZTS,X,X,O,X,X,X,X
IOJLZST,X,X,X,X,X,O,X
IOJSTLZ,O,O,O,X,X,X,X
IOJSTZL,X,O,X,X,X,X,O
IOJSLTZ,O,O,O,X,X,X,X
IOJSLZT,X,X,X,X,X,O,X
IOJSZTL,X,O,X,X,X,X,O
IOJSZLT,X,X,X,X,X,O,X
IOJZTLS,X,O,O,O,X,X,X
IOJZTSL,X,O,X,O,X,X,O
IOJZLTS,X,X,O,X,X,X,X
IOJZLST,X,X,X,X,X,O,X
IOJZSTL,X,X,X,X,X,X,O
IOJZSLT,X,X,X,X,X,O,X
IOSTLJZ,O,O,O,X,X,X,X
IOSTLZJ,O,X,O,X,O,X,X
IOSTJLZ,O,O,O,X,X,X,X
IOSTJZL,X,O,X,O,X,X,O
IOSTZLJ,O,X,X,X,O,X,X
IOSTZJL,X,O,X,O,X,X,X
IOSLTJZ,O,O,O,X,X,X,X
IOSLTZJ,O,X,O,X,O,X,X
IOSLJTZ,O,O,O,X,X,X,X
IOSLJZT,X,X,X,X,X,O,X
IOSLZTJ,O,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,X,X,X,X
IOSJTZL,X,O,X,X,X,X,O
IOSJLTZ,O,O,O,X,X,X,X
IOSJLZT,X,X,X,X,X,O,X
IOSJZTL,X,O,X,X,X,X,O
IOSJZLT,X,X,X,X,X,O,X
IOSZTLJ,O,X,X,X,X,X,X
IOSZTJL,X,O,X,O,X,X,X
IOSZLTJ,O,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X
IOZTLJS,X,X,O,O,X,X,X
IOZTLSJ,O,X,O,X,X,X,X
IOZTJLS,X,O,O,O,X,X,X
IOZTJSL,X,O,X,O,X,X,X
IOZTSLJ,O,X,X,X,X,X,X
IOZTSJL,X,O,X,O,X,X,X
IOZLTJS,X,X,O,O,X,X,X
IOZLTSJ,O,X,O,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X
IOZLJST,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,X
IOZJTLS,X,O,O,O,X,X,X
IOZJTSL,X,O,X,O,X,X,X
IOZJLTS,X,X,O,X,X,X,X
IOZJLST,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X
IOZSTJL,X,O,X,O,X,X,X
IOZSLTJ,O,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X
IOZSJTL,X,O,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,O,O,O
LTIJSOZ,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,O,O,O
LTIJZOS,X,X,X,O,X,X,X
LTIJOSZ,O,O,O,X,X,X,X
LTIJOZS,X,O,O,O,X,X,X
LTISJZO,X,X,X,X,O,O,O
LTISJOZ,O,O,X,X,X,X,X
LTISZJO,X,X,X,X,O,X,X
LTISZOJ,O,X,X,X,O,X,X
LTISOJZ,O,O,O,X,X,X,X
LTISOZJ,O,X,O,X,O,X,X
LTIZJSO,X,X,X,X,O,X,X
LTIZJOS,X,X,X,O,X,X,X
LTIZSJO,X,X,X,X,O,X,X
LTIZSOJ,O,X,X,X,O,X,X
LTIZOJS,X,X,O,O,X,X,X
LTIZOSJ,O,X,O,X,O,X,X
LTIOJSZ,O,O,O,X,X,X,X
LTIOJZS,X,O,O,O,X,X,X
LTIOSJZ,O,O,O,X,X,X,X
LTIOSZJ,O,X,O,X,O,X,X
LTIOZJS,X,X,O,O,X,X,X
LTIOZSJ,O,X,O,X,O,X,X
LTJISZO,X,X,X,X,O,O,O
LTJISOZ,O,X,X,X,X,X,X
LTJIZSO,X,X,X,X,O,O,O
LTJIZOS,X,X,X,O,X,X,X
LTJIOSZ,O,O,O,X,X,X,X
LTJIOZS,X,O,O,O,X,X,X
LTJSIZO,X,X,X,X,O,O,O
LTJSIOZ,O,X,X,X,X,X,X
LTJSZIO,X,X,X,X,O,O,O
LTJSZOI,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,O,O,O
LTJZIOS,X,X,X,O,X,X,X
LTJZSIO,X,X,X,X,O,O,O
LTJZSOI,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X,X
LTJZOSI,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,X
LTJOIZS,X,O,O,O,X,X,X
LTJOSIZ,O,X,O,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X
LTJOZIS,X,X,O,O,X,X,X
LTJOZSI,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,O,O,O
LTSIJOZ,O,O,X,X,X,X,X
LTSIZJO,X,X,X,X,O,X,X
LTSIZOJ,O,X,X,X,O,X,X
LTSIOJZ,O,O,O,X,X,X,X
LTSIOZJ,O,X,O,X,O,X,X
LTSJIZO,X,X,X,X,O,O,O
LTSJIOZ,O,O,X,X,X,X,X
LTSJZIO,X,X,X,X,O,O,O
LTSJZOI,X,X,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,O,X,X
LTSZIOJ,O,X,X,X,O,X,X
LTSZJIO,X,X,X,X,O,X,X
LTSZJOI,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,O,X,X
LTSZOJI,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X
LTSOIZJ,O,X,O,X,O,X,X
LTSOJIZ,O,O,O,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,O,X,X
LTSOZJI,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,O,X,X
LTZIJOS,X,X,X,O,X,X,X
LTZISJO,X,X,X,X,O,X,X
LTZISOJ,O,X,X,X,O,X,X
LTZIOJS,X,X,O,O,X,X,X
LTZIOSJ,O,X,O,X,O,X,X
LTZJISO,X,X,X,X,O,X,X
LTZJIOS,X,X,X,O,X,X,X
LTZJSIO,X,X,X,X,O,X,X
LTZJSOI,X,X,X,X,X,X,X
LTZJOIS,X,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,X,X
LTZSIJO,X,X,X,X,O,X,X
LTZSIOJ,O,X,X,X,O,X,X
LTZSJIO,X,X,X,X,O,X,X
LTZSJOI,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,O,X,X
LTZSOJI,X,X,X,X,X,X,X
LTZOIJS,X,X,O,O,X,X,X
LTZOISJ,O,X,O,X,O,X,X
LTZOJIS,X,X,O,O,X,X,X
LTZOJSI,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,O,X,X
LTZOSJI,X,X,X,X,X,X,X
LTOIJSZ,O,O,O,X,X,X,X
LTOIJZS,X,O,O,O,X,X,X
LTOISJZ,O,O,O,X,X,X,X
LTOISZJ,O,X,O,X,O,X,X
LTOIZJS,X,X,O,O,X,X,X
LTOIZSJ,O,X,O,X,O,X,X
LTOJISZ,O,O,O,X,X,X,X
LTOJIZS,X,O,O,O,X,X,X
LTOJSIZ,O,X,O,X,X,X,X
LTOJSZI,X,X,X,X,X,X,X
LTOJZIS,X,X,O,O,X,X,X
LTOJZSI,X,X,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,X,X
LTOSIZJ,O,X,O,X,O,X,X
LTOSJIZ,O,O,O,X,X,X,X
LTOSJZI,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,O,X,X
LTOSZJI,X,X,X,X,X,X,X
LTOZIJS,X,X,O,O,X,X,X
LTOZISJ,O,X,O,X,O,X,X
LTOZJIS,X,X,O,O,X,X,X
LTOZJSI,X,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,O,X,X
LTOZSJI,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,O,O
LITJSOZ,O,X,X,X,X,X,X
LITJZSO,X,X,X,X,O,O,O
LITJZOS,X,X,X,O,X,X,X
LITJOSZ,O,O,O,X,X,X,X
LITJOZS,X,O,O,O,X,X,X
LITSJZO,X,X,X,X,O,O,O
LITSJOZ,O,O,X,X,X,X,X
LITSZJO,X,X,X,X,O,X,X
LITSZOJ,O,X,X,X,O,X,X
LITSOJZ,O,O,O,X,X,X,X
LITSOZJ,O,X,O,X,O,X,X
LITZJSO,X,X,X,X,O,X,X
LITZJOS,X,X,X,O,X,X,X
LITZSJO,X,X,X,X,O,X,X
LITZSOJ,O,X,X,X,O,X,X
LITZOJS,X,X,O,O,X,X,X
LITZOSJ,O,X,O,X,O,X,X
LITOJSZ,O,O,O,X,X,X,X
LITOJZS,X,O,O,O,X,X,X
LITOSJZ,O,O,O,X,X,X,X
LITOSZJ,O,X,O,X,O,X,X
LITOZJS,X,X,O,O,X,X,X
LITOZSJ,O,X,O,X,O,X,X
LIJTSZO,X,X,X,X,O,O,O
LIJTSOZ,O,X,X,X,X,X,X
LIJTZSO,X,X,X,X,O,O,O
LIJTZOS,X,X,X,O,X,X,X
LIJTOSZ,O,O,O,X,X,X,X
LIJTOZS,X,O,O,O,X,X,X
LIJSTZO,X,X,X,X,O,O,O
LIJSTOZ,O,X,X,X,X,X,X
LIJSZTO,X,X,X,X,X,O,O
LIJSZOT,X,X,X,X,X,O,X
LIJSOTZ,O,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,O,X
LIJZTSO,X,X,X,X,X,O,O
LIJZTOS,X,X,X,O,X,X,X
LIJZSTO,X,X,X,X,X,O,O
LIJZSOT,X,X,X,X,X,O,X
LIJZOTS,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,O,X
LIJOTSZ,O,O,O,X,X,X,X
LIJOTZS,X,O,O,X,X,X,X
LIJOSTZ,O,X,O,X,X,X,X
LIJOSZT,X,X,X,X,X,O,X
LIJOZTS,X,X,O,X,X,X,X
LIJOZST,X,X,X,X,X,O,X
LISTJZO,X,X,X,X,O,O,O
LISTJOZ,O,O,X,X,X,X,X
LISTZJO,X,X,X,X,O,X,X
LISTZOJ,O,X,X,X,O,X,X
LISTOJZ,O,O,O,X,X,X,X
LISTOZJ,O,X,O,X,O,X,X
LISJTZO,X,X,X,X,O,O,O
LISJTOZ,O,O,X,X,X,X,X
LISJZTO,X,X,X,X,X,O,O
LISJZOT,X,X,X,X,X,O,X
LISJOTZ,O,O,X,X,X,X,X
LISJOZT,X,X,X,X,X,O,X
LISZTJO,X,X,X,X,O,X,X
LISZTOJ,O,X,X,X,O,X,X
LISZJTO,X,X,X,X,X,O,X
LISZJOT,X,X,X,X,X,O,X
LISZOTJ,O,X,X,X,X,X,X
LISZOJT,X,X,X,X,X,X,X
LISOTJZ,O,O,O,X,X,X,X
LISOTZJ,O,X,O,X,O,X,X
LISOJTZ,O,O,O,X,X,X,X
LISOJZT,X,X,X,X,X,O,X
LISOZTJ,O,X,X,X,X,X,X
LISOZJT,X,X,X,X,X,X,X
LIZTJSO,X,X,X,X,O,X,X
LIZTJOS,X,X,X,O,X,X,X
LIZTSJO,X,X,X,X,O,X,X
LIZTSOJ,O,X,X,X,O,X,X
LIZTOJS,X,X,O,O,X,X,X
LIZTOSJ,O,X,O,X,O,X,X
LIZJTSO,X,X,X,X,X,O,X
LIZJTOS,X,X,X,O,X,X,X
LIZJSTO,X,X,X,X,X,O,X
LIZJSOT,X,X,X,X,X,O,X
LIZJOTS,X,X,X,X,X,X,X
LIZJOST,X,X,X,X,X,O,X
LIZSTJO,X,X,X,X,O,X,X
LIZSTOJ,O,X,X,X,O,X,X
LIZSJTO,X,X,X,X,X,O,X
LIZSJOT,X,X,X,X,X,O,X
LIZSOTJ,O,X,X,X,X,X,X
LIZSOJT,X,X,X,X,X,X,X
LIZOTJS,X,X,O,O,X,X,X
LIZOTSJ,O,X,O,X,X,X,X
LIZOJTS,X,X,O,X,X,X,X
LIZOJST,X,X,X,X,X,X,X
LIZOSTJ,O,X,X,X,X,X,X
LIZOSJT,X,X,X,X,X,X,X
LIOTJSZ,O,O,O,X,X,X,X
LIOTJZS,X,O,O,O,X,X,X
LIOTSJZ,O,O,O,X,X,X,X
LIOTSZJ,O,X,O,X,O,X,X
LIOTZJS,X,X,O,O,X,X,X
LIOTZSJ,O,X,O,X,O,X,X
LIOJTSZ,O,O,O,X,X,X,X
LIOJTZS,X,O,O,X,X,X,X
LIOJSTZ,O,X,O,X,X,X,X
LIOJSZT,X,X,X,X,X,O,X
LIOJZTS,X,X,O,X,X,X,X
LIOJZST,X,X,X,X,X,O,X
LIOSTJZ,O,O,O,X,X,X,X
LIOSTZJ,O,X,O,X,O,X,X
LIOSJTZ,O,O,O,X,X,X,X
LIOSJZT,X,X,X,X,X,O,X
LIOSZTJ,O,X,X,X,X,X,X
LIOSZJT,X,X,X,X,X,X,X
LIOZTJS,X,X,O,O,X,X,X
LIOZTSJ,O,X,O,X,X,X,X
LIOZJTS,X,X,O,X,X,X,X
LIOZJST,X,X,X,X,X,X,X
LIOZSTJ,O,X,X,X,X,X,X
LIOZSJT,X,X,X,X,X,X,X
LJTISZO,X,X,X,X,O,O,O
LJTISOZ,O,X,X,X,X,X,X
LJTIZSO,X,X,X,X,O,O,O
LJTIZOS,X,X,X,O,X,X,X
LJTIOSZ,O,O,O,X,X,X,X
LJTIOZS,X,O,O,O,X,X,X
LJTSIZO,X,X,X,X,O,O,O
LJTSIOZ,O,X,X,X,X,X,X
LJTSZIO,X,X,X,X,O,O,O
LJTSZOI,X,X,X,X,X,X,X
LJTSOIZ,O,X,X,X,X,X,X
LJTSOZI,X,X,X,X,X,X,X
LJTZISO,X,X,X,X,O,O,O
LJTZIOS,X,X,X,O,X,X,X
LJTZSIO,X,X,X,X,O,O,O
LJTZSOI,X,X,X,X,X,X,X
LJTZOIS,X,X,X,O,X,X,X
LJTZOSI,X,X,X,X,X,X,X
LJTOISZ,O,O,O,X,X,X,X
LJTOIZS,X,O,O,O,X,X,X
LJTOSIZ,O,X,O,X,X,X,X
LJTOSZI,X,X,X,X,X,X,X
LJTOZIS,X,X,O,O,X,X,X
LJTOZSI,X,X,X,X,X,X,X
LJITSZO,X,X,X,X,O,O,O
LJITSOZ,O,X,X,X,X,X,X
LJITZSO,X,X,X,X,O,O,O
LJITZOS,X,X,X,O,X,X,X
LJITOSZ,O,O,O,X,X,X,X
LJITOZS,X,O,O,O,X,X,X
LJISTZO,X,X,X,X,O,O,O
LJISTOZ,O,X,X,X,X,X,X
LJISZTO,X,X,X,X,X,O,O
LJISZOT,X,X,X,X,X,O,X
LJISOTZ,O,X,X,X,X,X,X
LJISOZT,X,X,X,X,X,O,X
LJIZTSO,X,X,X,X,X,O,O
LJIZTOS,X,X,X,O,X,X,X
LJIZSTO,X,X,X,X,X,O,O
LJIZSOT,X,X,X,X,X,O,X
LJIZOTS,X,X,X,X,X,X,X
LJIZOST,X,X,X,X,X,O,X
LJIOTSZ,O,O,O,X,X,X,X
LJIOTZS,X,O,O,X,X,X,X
LJIOSTZ,O,X,O,X,X,X,X
LJIOSZT,X,X,X,X,X,O,X
LJIOZTS,X,X,O,X,X,X,X
LJIOZST,X,X,X,X,X,O,X
LJSTIZO,X,X,X,X,O,O,O
LJSTIOZ,O,X,X,X,X,X,X
LJSTZIO,X,X,X,X,O,O,O
LJSTZOI,X,X,X,X,X,X,X
LJSTOIZ,O,X,X,X,X,X,X
LJSTOZI,X,X,X,X,X,X,X
LJSITZO,X,X,X,X,O,O,O
LJSITOZ,O,X,X,X,X,X,X
LJSIZTO,X,X,X,X,X,O,O
LJSIZOT,X,X,X,X,X,O,X
LJSIOTZ,O,X,X,X,X,X,X
LJSIOZT,X,X,X,X,X,O,X
LJSZTIO,X,X,X,X,X,O,O
LJSZTOI,X,X,X,X,X,X,X
LJSZITO,X,X,X,X,X,O,O
LJSZIOT,X,X,X,X,X,O,X
LJSZOTI,X,X,X,X,X,X,X
LJSZOIT,X,X,X,X,X,O,X
LJSOTIZ,O,X,X,X,X,X,X
LJSOTZI,X,X,X,X,X,X,X
LJSOITZ,O,X,X,X,X,X,X
LJSOIZT,X,X,X,X,X,O,X
LJSOZTI,X,X,X,X,X,X,X
LJSOZIT,X,X,X,X,X,O,X
LJZTISO,X,X,X,X,X,O,O
LJZTIOS,X,X,X,O,X,X,X
LJZTSIO,X,X,X,X,X,O,O
LJZTSOI,X,X,X,X,X,X,X
LJZTOIS,X,X,X,O,X,X,X
LJZTOSI,X,X,X,X,X,X,X
LJZITSO,X,X,X,X,X,O,O
LJZITOS,X,X,X,O,X,X,X
LJZISTO,X,X,X,X,X,O,O
LJZISOT,X,X,X,X,X,O,X
LJZIOTS,X,X,X,X,X,X,X
LJZIOST,X,X,X,X,X,O,X
LJZSTIO,X,X,X,X,X,O,O
LJZSTOI,X,X,X,X,X,X,X
LJZSITO,X,X,X,X,X,O,O
LJZSIOT,X,X,X,X,X,O,X
LJZSOTI,X,X,X,X,X,X,X
LJZSOIT,X,X,X,X,X,O,X
LJZOTIS,X,X,X,X,X,X,X
LJZOTSI,X,X,X,X,X,X,X
LJZOITS,X,X,X,X,X,X,X
LJZOIST,X,X,X,X,X,O,X
LJZOSTI,X,X,X,X,X,X,X
LJZOSIT,X,X,X,X,X,O,X
LJOTISZ,O,O,O,X,X,X,X
LJOTIZS,X,O,O,X,X,X,X
LJOTSIZ,O,X,O,X,X,X,X
LJOTSZI,X,X,X,X,X,X,X
LJOTZIS,X,X,O,X,X,X,X
LJOTZSI,X,X,X,X,X,X,X
LJOITSZ,O,O,O,X,X,X,X
LJOITZS,X,O,O,X,X,X,X
LJOISTZ,O,X,O,X,X,X,X
LJOISZT,X,X,X,X,X,O,X
LJOIZTS,X,X,O,X,X,X,X
LJOIZST,X,X,X,X,X,O,X
LJOSTIZ,O,X,O,X,X,X,X
LJOSTZI,X,X,X,X,X,X,X
LJOSITZ,O,X,O,X,X,X,X
LJOSIZT,X,X,X,X,X,O,X
LJOSZTI,X,X,X,X,X,X,X
LJOSZIT,X,X,X,X,X,O,X
LJOZTIS,X,X,O,X,X,X,X
LJOZTSI,X,X,X,X,X,X,X
LJOZITS,X,X,O,X,X,X,X
LJOZIST,X,X,X,X,X,O,X
LJOZSTI,X,X,X,X,X,X,X
LJOZSIT,X,X,X,X,X,O,X
LSTIJZO,X,X,X,X,O,O,O
LSTIJOZ,O,O,X,X,X,X,X
LSTIZJO,X,X,X,X,O,X,X
LSTIZOJ,O,X,X,X,O,X,X
LSTIOJZ,O,O,O,X,X,X,X
LSTIOZJ,O,X,O,X,O,X,X
LSTJIZO,X,X,X,X,O,O,O
LSTJIOZ,O,O,X,X,X,X,X
LSTJZIO,X,X,X,X,O,O,O
LSTJZOI,X,X,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,X,X
LSTJOZI,X,X,X,X,X,X,X
LSTZIJO,X,X,X,X,O,X,X
LSTZIOJ,O,X,X,X,O,X,X
LSTZJIO,X,X,X,X,O,X,X
LSTZJOI,X,X,X,X,X,X,X
LSTZOIJ,O,X,X,X,O,X,X
LSTZOJI,X,X,X,X,X,X,X
LSTOIJZ,O,O,O,X,X,X,X
LSTOIZJ,O,X,O,X,O,X,X
LSTOJIZ,O,O,O,X,X,X,X
LSTOJZI,X,X,X,X,X,X,X
LSTOZIJ,O,X,X,X,O,X,X
LSTOZJI,X,X,X,X,X,X,X
LSITJZO,X,X,X,X,O,O,O
