sequence,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFmhBCjBFlB0mBTo?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFulBcmBxiBKqBXs?BTtB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFThBenBfoB6oB1q?BUqB,v115@HhA8IeB8EeA8BeB8BeF8Je0/IvhFXhBxiBFnBToBOq?BCrB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFlhBziB+oBUlByr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFzhBGjBilBUoBRr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8JeRBJvhFfoB6oBFlB8qBzm?BmpB
IZTSJLO,O,X,O,X,X,O,X
IZTSJOL,O,X,O,X,X,O,X
IZTSOLJ,O,X,X,O,X,O,O
IZTSOJL,O,X,X,O,X,O,O
IZTOLJS,O,X,X,O,X,O,X
IZTOLSJ,O,X,X,O,X,O,O
IZTOJLS,O,X,X,O,X,O,X
IZTOJSL,O,X,O,O,X,O,O
IZTOSLJ,O,X,X,O,X,O,O
IZTOSJL,O,X,X,O,X,O,O
IZLTJSO,O,X,X,X,O,O,X
IZLTJOS,O,O,X,X,O,O,X
IZLTSJO,O,X,X,X,O,O,X
IZLTSOJ,X,X,X,O,X,O,X
IZLTOJS,O,O,X,O,O,O,X
IZLTOSJ,X,O,X,O,X,O,X
IZLJTSO,O,X,X,X,O,O,X
IZLJTOS,O,O,X,X,O,O,X
IZLJSTO,O,X,X,X,O,O,X
IZLJSOT,O,X,X,X,O,O,X
IZLJOTS,O,O,X,X,O,O,X
IZLJOST,O,O,X,X,O,O,X
IZLSTJO,O,X,X,X,O,O,X
IZLSTOJ,O,X,X,O,X,O,X
IZLSJTO,O,X,X,X,O,O,X
IZLSJOT,O,X,X,X,O,O,X
IZLSOTJ,X,X,X,O,X,O,X
IZLSOJT,O,X,X,X,X,O,X
IZLOTJS,O,O,X,O,O,O,X
IZLOTSJ,X,O,X,O,X,O,X
IZLOJTS,O,O,X,X,O,O,X
IZLOJST,O,O,X,X,O,O,X
IZLOSTJ,X,O,X,O,X,O,X
IZLOSJT,O,O,X,X,X,O,X
IZJTLSO,O,X,X,X,O,O,X
IZJTLOS,O,X,X,X,O,O,X
IZJTSLO,O,X,O,X,X,O,X
IZJTSOL,O,X,O,X,X,O,X
IZJTOLS,O,X,X,X,O,O,X
IZJTOSL,O,X,O,X,X,O,X
IZJLTSO,O,X,X,X,O,O,X
IZJLTOS,O,O,X,X,O,O,X
IZJLSTO,O,X,X,X,O,O,X
IZJLSOT,O,X,X,X,O,O,X
IZJLOTS,O,O,X,X,O,O,X
IZJLOST,O,O,X,X,O,O,X
IZJSTLO,O,X,O,X,X,O,X
IZJSTOL,O,X,O,X,X,O,X
IZJSLTO,O,X,O,X,O,O,X
IZJSLOT,O,X,O,X,O,O,X
IZJSOTL,O,X,X,X,X,O,X
IZJSOLT,O,X,O,X,O,O,X
IZJOTLS,O,O,X,X,O,O,X
IZJOTSL,O,X,X,X,X,O,X
IZJOLTS,O,O,X,X,O,O,X
IZJOLST,O,O,X,X,O,O,X
IZJOSTL,O,X,X,X,X,O,X
IZJOSLT,O,O,O,X,O,O,X
IZSTLJO,O,X,O,X,X,O,X
IZSTLOJ,O,X,X,X,X,O,O
IZSTJLO,O,X,O,X,X,O,X
IZSTJOL,O,X,O,X,X,O,X
IZSTOLJ,O,X,X,X,X,O,O
IZSTOJL,O,X,X,X,X,O,O
IZSLTJO,O,X,O,X,O,O,X
IZSLTOJ,O,X,X,X,X,O,O
IZSLJTO,O,X,O,X,O,O,X
IZSLJOT,O,X,O,X,O,O,X
IZSLOTJ,O,X,X,X,X,O,O
IZSLOJT,O,X,X,X,X,O,O
IZSJTLO,O,X,O,X,X,O,X
IZSJTOL,O,X,O,X,X,O,X
IZSJLTO,O,X,O,X,O,O,X
IZSJLOT,O,X,O,X,O,O,X
IZSJOTL,O,X,X,X,X,O,X
IZSJOLT,O,X,O,X,O,O,X
IZSOTLJ,O,X,X,X,X,O,O
IZSOTJL,O,X,X,X,X,O,O
IZSOLTJ,O,X,X,X,X,O,O
IZSOLJT,O,X,X,X,X,O,O
IZSOJTL,O,X,X,X,X,O,O
IZSOJLT,O,X,X,X,X,O,O
IZOTLJS,O,O,X,O,X,O,X
IZOTLSJ,O,O,X,O,X,O,O
IZOTJLS,O,O,X,O,X,O,X
IZOTJSL,O,X,X,O,X,O,O
IZOTSLJ,O,X,X,O,X,O,O
IZOTSJL,O,X,X,O,X,O,O
IZOLTJS,O,O,X,O,O,O,X
IZOLTSJ,O,O,X,O,X,O,O
IZOLJTS,O,O,X,X,O,O,X
IZOLJST,O,O,X,X,O,O,X
IZOLSTJ,O,O,X,O,X,O,O
IZOLSJT,O,O,X,X,X,O,O
IZOJTLS,O,O,X,O,O,O,X
IZOJTSL,O,X,X,O,X,O,O
IZOJLTS,O,O,X,X,O,O,X
IZOJLST,O,O,X,X,O,O,X
IZOJSTL,O,X,X,X,X,O,O
IZOJSLT,O,O,X,X,O,O,O
IZOSTLJ,O,X,X,O,X,O,O
IZOSTJL,O,X,X,O,X,O,O
IZOSLTJ,O,O,X,X,X,O,O
IZOSLJT,O,O,X,X,X,O,O
IZOSJTL,O,X,X,X,X,O,O
IZOSJLT,O,O,X,X,X,O,O
IOTLJSZ,X,O,O,O,X,X,X
IOTLJZS,O,O,X,O,X,O,X
IOTLSJZ,X,O,X,O,X,X,X
IOTLSZJ,O,O,X,O,X,O,X
IOTLZJS,O,O,X,O,X,O,X
IOTLZSJ,O,O,X,O,X,O,X
IOTJLSZ,X,O,O,O,X,X,X
IOTJLZS,O,O,X,O,X,O,X
IOTJSLZ,X,O,O,O,X,X,X
IOTJSZL,X,X,O,O,X,X,X
IOTJZLS,O,X,X,O,X,O,X
IOTJZSL,O,X,O,O,X,O,X
IOTSLJZ,X,O,O,O,X,X,X
IOTSLZJ,O,O,X,O,X,O,O
IOTSJLZ,X,O,O,O,X,X,X
IOTSJZL,X,X,O,O,X,X,X
IOTSZLJ,O,O,X,O,X,O,O
IOTSZJL,O,O,X,O,X,O,O
IOTZLJS,O,O,X,O,X,O,X
IOTZLSJ,O,O,X,O,X,O,O
IOTZJLS,O,O,X,O,X,O,X
IOTZJSL,O,X,O,O,X,O,O
IOTZSLJ,O,O,X,O,X,O,O
IOTZSJL,O,X,X,O,X,O,O
IOLTJSZ,X,O,X,O,O,X,X
IOLTJZS,O,O,X,O,O,O,X
IOLTSJZ,X,O,X,O,X,X,X
IOLTSZJ,O,O,X,O,X,O,X
IOLTZJS,O,O,X,O,X,O,X
IOLTZSJ,O,O,X,O,X,O,X
IOLJTSZ,X,O,X,X,O,X,X
IOLJTZS,O,O,X,X,O,O,X
IOLJSTZ,X,O,X,X,O,X,X
IOLJSZT,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,O,O,X
IOLJZST,O,O,X,X,X,O,X
IOLSTJZ,O,O,X,O,X,X,X
IOLSTZJ,O,O,X,O,X,O,O
IOLSJTZ,X,O,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,O
IOLSZTJ,O,O,X,O,X,O,O
IOLSZJT,O,O,X,X,X,O,O
IOLZTJS,O,O,X,O,X,O,X
IOLZTSJ,O,O,X,O,X,O,O
IOLZJTS,O,O,X,X,X,O,X
IOLZJST,O,O,X,X,X,O,X
IOLZSTJ,O,O,X,O,X,O,O
IOLZSJT,O,O,X,X,X,O,O
IOJTLSZ,X,O,O,O,O,X,X
IOJTLZS,O,O,X,O,O,O,X
IOJTSLZ,X,O,O,O,X,X,X
IOJTSZL,X,X,O,O,X,X,X
IOJTZLS,O,X,X,O,O,O,X
IOJTZSL,O,X,O,O,X,O,X
IOJLTSZ,X,O,X,X,O,X,X
IOJLTZS,O,O,X,X,O,O,X
IOJLSTZ,X,O,O,X,O,X,X
IOJLSZT,O,O,O,X,X,X,X
IOJLZTS,O,O,X,X,O,O,X
IOJLZST,O,O,X,X,O,O,X
IOJSTLZ,X,O,O,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X
IOJSLTZ,X,O,O,X,O,X,X
IOJSLZT,O,O,O,X,X,X,O
IOJSZTL,O,O,X,X,X,X,O
IOJSZLT,O,O,O,X,O,X,O
IOJZTLS,O,O,X,O,O,O,X
IOJZTSL,X,X,X,O,X,O,O
IOJZLTS,O,O,X,X,O,O,X
IOJZLST,O,O,X,X,O,O,X
IOJZSTL,X,X,X,X,X,O,O
IOJZSLT,O,O,O,X,O,O,O
IOSTLJZ,O,O,O,O,X,X,X
IOSTLZJ,O,O,X,O,X,O,O
IOSTJLZ,O,O,O,O,X,X,X
IOSTJZL,O,X,O,O,X,X,X
IOSTZLJ,O,O,X,O,X,O,O
IOSTZJL,O,O,X,O,X,O,O
IOSLTJZ,O,O,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,O,O
IOSLJTZ,X,O,O,X,X,X,X
IOSLJZT,O,O,O,X,X,X,O
IOSLZTJ,O,O,X,X,X,O,O
IOSLZJT,O,O,X,X,X,O,O
IOSJTLZ,X,O,O,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X
IOSJLTZ,X,O,O,X,X,X,X
IOSJLZT,O,O,O,X,X,X,O
IOSJZTL,O,O,X,X,X,X,O
IOSJZLT,O,O,O,X,X,X,O
IOSZTLJ,O,O,X,O,X,O,O
IOSZTJL,O,O,X,O,X,O,O
IOSZLTJ,O,O,X,X,X,O,O
IOSZLJT,O,O,X,X,X,O,O
IOSZJTL,O,O,X,X,X,O,O
IOSZJLT,O,O,X,X,X,O,O
IOZTLJS,O,O,X,O,X,O,X
IOZTLSJ,O,O,X,O,X,O,O
IOZTJLS,O,O,X,O,X,O,X
IOZTJSL,O,X,X,O,X,O,O
IOZTSLJ,O,O,X,O,X,O,O
IOZTSJL,O,X,X,O,X,O,O
IOZLTJS,O,O,X,O,O,O,X
IOZLTSJ,O,O,X,O,X,O,O
IOZLJTS,O,O,X,X,O,O,X
IOZLJST,O,O,X,X,O,O,X
IOZLSTJ,O,O,X,O,X,O,O
IOZLSJT,O,O,X,X,X,O,O
IOZJTLS,O,O,X,O,O,O,X
IOZJTSL,O,X,X,O,X,O,O
IOZJLTS,O,O,X,X,O,O,X
IOZJLST,O,O,X,X,O,O,X
IOZJSTL,O,X,X,X,X,O,O
IOZJSLT,O,O,X,X,O,O,O
IOZSTLJ,O,O,X,O,X,O,O
IOZSTJL,O,O,X,O,X,O,O
IOZSLTJ,O,O,X,X,X,O,O
IOZSLJT,O,O,X,X,X,O,O
IOZSJTL,O,O,X,X,X,O,O
IOZSJLT,O,O,X,X,X,O,O
LTIJSZO,X,X,O,X,X,X,X
LTIJSOZ,X,X,O,X,O,X,X
LTIJZSO,O,X,X,X,O,O,X
LTIJZOS,O,O,X,X,O,O,X
LTIJOSZ,X,X,O,X,O,X,X
LTIJOZS,X,O,X,X,O,O,X
LTISJZO,X,O,O,X,X,X,X
LTISJOZ,X,X,O,X,O,X,X
LTISZJO,O,O,O,X,X,O,X
LTISZOJ,X,O,X,O,X,O,X
LTISOJZ,X,O,O,O,X,X,X
LTISOZJ,X,O,X,O,X,O,X
LTIZJSO,O,X,X,X,O,O,X
LTIZJOS,O,O,X,X,O,O,X
LTIZSJO,O,X,X,X,O,O,X
LTIZSOJ,X,X,X,O,X,O,X
LTIZOJS,O,O,X,O,O,O,X
LTIZOSJ,O,O,X,O,X,O,X
LTIOJSZ,X,O,O,O,O,X,X
LTIOJZS,O,O,X,O,O,O,X
LTIOSJZ,X,O,X,O,X,X,X
LTIOSZJ,O,O,X,O,X,O,X
LTIOZJS,O,O,X,O,X,O,X
LTIOZSJ,O,O,X,O,X,O,X
LTJISZO,X,X,O,X,X,X,X
LTJISOZ,X,X,O,X,O,X,X
LTJIZSO,O,X,X,X,O,X,X
LTJIZOS,O,O,X,X,O,X,X
LTJIOSZ,X,X,O,X,O,X,X
LTJIOZS,X,O,X,X,O,X,X
LTJSIZO,X,O,O,X,X,X,X
LTJSIOZ,X,X,O,X,O,X,X
LTJSZIO,X,O,O,X,O,X,X
LTJSZOI,X,O,O,O,O,X,X
LTJSOIZ,X,O,O,O,O,X,X
LTJSOZI,X,O,O,O,O,X,X
LTJZISO,O,X,X,X,O,X,X
LTJZIOS,O,O,X,X,O,X,X
LTJZSIO,O,X,X,X,O,X,X
LTJZSOI,X,O,X,O,O,X,X
LTJZOIS,O,O,X,O,O,X,X
LTJZOSI,X,O,X,O,O,X,X
LTJOISZ,X,O,O,O,O,X,X
LTJOIZS,X,O,X,O,O,X,X
LTJOSIZ,X,O,O,O,O,X,X
LTJOSZI,X,O,O,O,O,X,X
LTJOZIS,X,O,X,O,O,X,X
LTJOZSI,X,O,X,O,O,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,X,X,O,X,O,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X
LTSIOJZ,X,O,O,O,X,X,X
LTSIOZJ,O,O,X,O,X,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,X,X,O,X,O,X,X
LTSJZIO,O,O,O,X,O,X,X
LTSJZOI,O,O,O,O,O,X,X
LTSJOIZ,X,O,O,O,O,X,X
LTSJOZI,X,O,O,O,O,X,X
LTSZIJO,O,O,O,X,O,X,X
LTSZIOJ,O,O,X,O,X,X,X
LTSZJIO,O,O,O,X,O,X,X
LTSZJOI,O,O,O,O,O,X,X
LTSZOIJ,O,O,X,O,X,X,X
LTSZOJI,O,O,X,O,X,X,X
LTSOIJZ,X,O,O,O,X,X,X
LTSOIZJ,O,O,X,O,X,X,X
LTSOJIZ,X,O,O,O,X,X,X
LTSOJZI,X,O,O,O,X,X,X
LTSOZIJ,O,O,X,O,X,X,X
LTSOZJI,O,O,X,O,X,X,X
LTZIJSO,O,X,X,X,O,O,X
LTZIJOS,O,O,X,X,O,O,X
LTZISJO,O,X,X,X,O,O,X
LTZISOJ,X,X,X,O,X,O,X
LTZIOJS,O,O,X,O,O,O,X
LTZIOSJ,O,O,X,O,X,O,X
LTZJISO,O,X,X,X,O,O,X
LTZJIOS,O,O,X,X,O,O,X
LTZJSIO,O,X,X,X,O,X,X
LTZJSOI,O,O,X,O,O,X,X
LTZJOIS,O,O,X,O,O,X,X
LTZJOSI,O,O,X,O,O,X,X
LTZSIJO,O,O,X,X,O,X,X
LTZSIOJ,O,O,X,O,X,X,X
LTZSJIO,O,O,X,X,O,X,X
LTZSJOI,O,O,X,O,O,X,X
LTZSOIJ,O,O,X,O,X,X,X
LTZSOJI,O,O,X,O,X,X,X
LTZOIJS,O,O,X,O,O,X,X
LTZOISJ,O,O,X,O,X,X,X
LTZOJIS,O,O,X,O,O,X,X
LTZOJSI,O,O,X,O,O,X,X
LTZOSIJ,O,O,X,O,X,X,X
LTZOSJI,O,O,X,O,X,X,X
LTOIJSZ,X,O,O,O,O,X,X
LTOIJZS,O,O,X,O,O,X,X
LTOISJZ,X,O,X,O,X,X,X
LTOISZJ,O,O,X,O,X,X,X
LTOIZJS,O,O,X,O,X,X,X
LTOIZSJ,O,O,X,O,X,X,X
LTOJISZ,X,O,O,O,O,X,X
LTOJIZS,O,O,X,O,O,X,X
LTOJSIZ,X,O,O,O,O,X,X
LTOJSZI,X,O,O,O,O,X,X
LTOJZIS,O,O,X,O,O,X,X
LTOJZSI,O,O,X,O,O,X,X
LTOSIJZ,X,O,X,O,X,X,X
LTOSIZJ,O,O,X,O,X,X,X
LTOSJIZ,X,O,X,O,X,X,X
LTOSJZI,X,O,X,O,X,X,X
LTOSZIJ,O,O,X,O,X,X,X
LTOSZJI,O,O,X,O,X,X,X
LTOZIJS,O,O,X,O,O,X,X
LTOZISJ,O,O,X,O,X,X,X
LTOZJIS,O,O,X,O,O,X,X
LTOZJSI,O,O,X,O,O,X,X
LTOZSIJ,O,O,X,O,X,X,X
LTOZSJI,O,O,X,O,X,X,X
LITJSZO,X,X,O,X,X,X,X
LITJSOZ,X,X,O,X,O,X,X
LITJZSO,O,X,X,X,O,O,X
LITJZOS,O,O,X,X,O,O,X
LITJOSZ,X,X,O,X,O,X,X
LITJOZS,X,O,X,X,O,O,X
LITSJZO,X,O,O,X,X,X,X
LITSJOZ,X,X,O,X,O,X,X
LITSZJO,O,O,O,X,X,O,X
LITSZOJ,X,O,X,O,X,O,X
LITSOJZ,X,O,O,O,X,X,X
LITSOZJ,X,O,X,O,X,O,X
LITZJSO,O,X,X,X,O,O,X
LITZJOS,O,O,X,X,O,O,X
LITZSJO,O,X,X,X,O,O,X
LITZSOJ,X,X,X,O,X,O,X
LITZOJS,O,O,X,O,O,O,X
LITZOSJ,O,O,X,O,X,O,X
LITOJSZ,X,O,O,O,O,X,X
LITOJZS,O,O,X,O,O,O,X
LITOSJZ,X,O,X,O,X,X,X
LITOSZJ,O,O,X,O,X,O,X
LITOZJS,O,O,X,O,X,O,X
LITOZSJ,O,O,X,O,X,O,X
LIJTSZO,X,X,O,X,X,X,X
LIJTSOZ,X,X,O,X,O,X,X
LIJTZSO,O,X,X,X,O,O,X
LIJTZOS,O,O,X,X,O,O,X
LIJTOSZ,X,X,O,X,O,X,X
LIJTOZS,X,O,X,X,O,O,X
LIJSTZO,X,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,O,X,X
LIJSZTO,O,X,O,X,X,X,X
LIJSZOT,O,X,O,X,X,X,X
LIJSOTZ,X,X,O,X,O,X,X
LIJSOZT,X,X,O,X,X,X,X
LIJZTSO,O,X,X,X,O,O,X
LIJZTOS,O,O,X,X,O,O,X
LIJZSTO,O,X,X,X,O,O,X
LIJZSOT,O,X,X,X,O,O,X
LIJZOTS,O,O,X,X,O,O,X
LIJZOST,O,O,X,X,O,O,X
LIJOTSZ,X,X,X,X,O,X,X
LIJOTZS,X,O,X,X,O,O,X
LIJOSTZ,X,X,O,X,O,X,X
LIJOSZT,X,X,O,X,X,X,X
LIJOZTS,X,O,X,X,O,O,X
LIJOZST,X,O,X,X,O,O,X
LISTJZO,O,O,O,X,X,X,X
LISTJOZ,X,X,O,X,O,X,X
LISTZJO,O,O,O,X,X,O,X
LISTZOJ,O,O,X,O,X,O,X
LISTOJZ,X,O,O,O,X,X,X
LISTOZJ,O,O,X,O,X,O,X
LISJTZO,X,O,O,X,X,X,X
LISJTOZ,X,X,O,X,O,X,X
LISJZTO,O,O,O,X,X,X,X
LISJZOT,O,O,O,X,X,X,X
LISJOTZ,X,X,O,X,O,X,X
LISJOZT,X,X,O,X,X,X,X
LISZTJO,O,O,O,X,X,O,X
LISZTOJ,O,O,X,O,X,O,X
LISZJTO,O,O,O,X,X,O,X
LISZJOT,O,O,O,X,X,O,X
LISZOTJ,O,O,X,O,X,O,X
LISZOJT,O,O,X,X,X,O,X
LISOTJZ,X,O,O,O,X,X,X
LISOTZJ,O,O,X,O,X,O,X
LISOJTZ,X,O,O,X,X,X,X
LISOJZT,O,O,O,X,X,X,X
LISOZTJ,O,O,X,O,X,O,X
LISOZJT,O,O,X,X,X,O,X
LIZTJSO,O,X,X,X,O,O,X
LIZTJOS,O,O,X,X,O,O,X
LIZTSJO,O,X,X,X,O,O,X
LIZTSOJ,X,X,X,O,X,O,X
LIZTOJS,O,O,X,O,O,O,X
LIZTOSJ,X,O,X,O,X,O,X
LIZJTSO,O,X,X,X,O,O,X
LIZJTOS,O,O,X,X,O,O,X
LIZJSTO,O,X,X,X,O,O,X
LIZJSOT,O,X,X,X,O,O,X
LIZJOTS,O,O,X,X,O,O,X
LIZJOST,O,O,X,X,O,O,X
LIZSTJO,O,X,X,X,O,O,X
LIZSTOJ,O,X,X,O,X,O,X
LIZSJTO,O,X,X,X,O,O,X
LIZSJOT,O,X,X,X,O,O,X
LIZSOTJ,X,X,X,O,X,O,X
LIZSOJT,O,X,X,X,X,O,X
LIZOTJS,O,O,X,O,O,O,X
LIZOTSJ,X,O,X,O,X,O,X
LIZOJTS,O,O,X,X,O,O,X
LIZOJST,O,O,X,X,O,O,X
LIZOSTJ,X,O,X,O,X,O,X
LIZOSJT,O,O,X,X,X,O,X
LIOTJSZ,X,O,X,O,O,X,X
LIOTJZS,O,O,X,O,O,O,X
LIOTSJZ,X,O,X,O,X,X,X
LIOTSZJ,O,O,X,O,X,O,X
LIOTZJS,O,O,X,O,X,O,X
LIOTZSJ,O,O,X,O,X,O,X
LIOJTSZ,X,O,X,X,O,X,X
LIOJTZS,O,O,X,X,O,O,X
LIOJSTZ,X,O,X,X,O,X,X
LIOJSZT,O,O,X,X,X,X,X
LIOJZTS,O,O,X,X,O,O,X
LIOJZST,O,O,X,X,X,O,X
LIOSTJZ,X,O,X,O,X,X,X
LIOSTZJ,O,O,X,O,X,O,X
LIOSJTZ,X,O,X,X,X,X,X
LIOSJZT,O,O,X,X,X,X,X
LIOSZTJ,O,O,X,O,X,O,X
LIOSZJT,O,O,X,X,X,O,X
LIOZTJS,O,O,X,O,X,O,X
LIOZTSJ,O,O,X,O,X,O,X
LIOZJTS,O,O,X,X,X,O,X
LIOZJST,O,O,X,X,X,O,X
LIOZSTJ,O,O,X,O,X,O,X
LIOZSJT,O,O,X,X,X,O,X
LJTISZO,X,X,O,X,X,X,X
LJTISOZ,X,X,O,X,O,X,X
LJTIZSO,O,X,X,X,O,X,X
LJTIZOS,O,O,X,X,O,X,X
LJTIOSZ,X,X,O,X,O,X,X
LJTIOZS,X,O,X,X,O,X,X
LJTSIZO,X,O,O,X,X,X,X
LJTSIOZ,X,X,O,X,O,X,X
LJTSZIO,X,O,O,X,O,X,X
LJTSZOI,X,O,O,O,O,X,X
LJTSOIZ,X,O,O,O,O,X,X
LJTSOZI,X,O,O,O,O,X,X
LJTZISO,O,X,X,X,O,X,X
LJTZIOS,O,O,X,X,O,X,X
LJTZSIO,O,X,X,X,O,X,X
LJTZSOI,X,O,X,O,O,X,X
LJTZOIS,O,O,X,O,O,X,X
LJTZOSI,X,O,X,O,O,X,X
LJTOISZ,X,O,O,O,O,X,X
LJTOIZS,X,O,X,O,O,X,X
LJTOSIZ,X,O,O,O,O,X,X
LJTOSZI,X,O,O,O,O,X,X
LJTOZIS,X,O,X,O,O,X,X
LJTOZSI,X,O,X,O,O,X,X
LJITSZO,X,X,O,X,X,X,X
LJITSOZ,X,X,O,X,O,X,X
LJITZSO,O,X,X,X,O,X,X
LJITZOS,O,O,X,X,O,X,X
LJITOSZ,X,X,O,X,O,X,X
LJITOZS,X,O,X,X,O,X,X
LJISTZO,X,X,O,X,X,X,X
LJISTOZ,X,X,O,X,O,X,X
LJISZTO,O,X,O,X,X,X,X
LJISZOT,O,X,O,X,X,X,X
LJISOTZ,X,X,O,X,O,X,X
LJISOZT,X,X,O,X,X,X,X
LJIZTSO,O,X,X,X,O,X,X
LJIZTOS,O,O,X,X,O,X,X
LJIZSTO,O,X,X,X,O,X,X
LJIZSOT,O,X,X,X,O,X,X
LJIZOTS,O,O,X,X,O,X,X
LJIZOST,O,O,X,X,O,X,X
LJIOTSZ,X,X,X,X,O,X,X
LJIOTZS,X,O,X,X,O,X,X
LJIOSTZ,X,X,O,X,O,X,X
LJIOSZT,X,X,O,X,X,X,X
LJIOZTS,X,O,X,X,O,X,X
LJIOZST,X,O,X,X,O,X,X
LJSTIZO,O,O,O,X,X,X,X
LJSTIOZ,X,X,O,X,O,X,X
LJSTZIO,O,O,O,X,O,X,X
LJSTZOI,O,O,O,O,O,X,X
LJSTOIZ,X,O,O,O,O,X,X
LJSTOZI,X,O,O,O,O,X,X
LJSITZO,X,O,O,X,X,X,X
LJSITOZ,X,X,O,X,O,X,X
LJSIZTO,O,O,O,X,X,X,X
LJSIZOT,O,O,O,X,X,X,X
LJSIOTZ,X,X,O,X,O,X,X
LJSIOZT,X,X,O,X,X,X,X
LJSZTIO,O,O,O,X,O,X,X
LJSZTOI,O,O,O,O,O,X,X
LJSZITO,O,O,O,X,O,X,X
LJSZIOT,O,O,O,X,O,X,X
LJSZOTI,O,O,O,O,O,X,X
LJSZOIT,O,O,O,X,O,X,X
LJSOTIZ,X,O,O,O,O,X,X
LJSOTZI,X,O,O,O,O,X,X
LJSOITZ,X,O,O,X,O,X,X
LJSOIZT,X,O,O,X,X,X,X
LJSOZTI,X,O,O,O,O,X,X
LJSOZIT,X,O,O,X,O,X,X
LJZTISO,O,X,X,X,O,X,X
LJZTIOS,O,O,X,X,O,X,X
LJZTSIO,O,X,X,X,O,X,X
LJZTSOI,O,O,X,O,O,X,X
LJZTOIS,O,O,X,O,O,X,X
LJZTOSI,X,O,X,O,O,X,X
LJZITSO,O,X,X,X,O,X,X
LJZITOS,O,O,X,X,O,X,X
LJZISTO,O,X,X,X,O,X,X
LJZISOT,O,X,X,X,O,X,X
LJZIOTS,O,O,X,X,O,X,X
LJZIOST,O,O,X,X,O,X,X
LJZSTIO,O,X,X,X,O,X,X
LJZSTOI,O,O,X,O,O,X,X
LJZSITO,O,X,X,X,O,X,X
LJZSIOT,O,X,X,X,O,X,X
LJZSOTI,O,O,X,O,O,X,X
LJZSOIT,O,O,X,X,O,X,X
LJZOTIS,O,O,X,O,O,X,X
LJZOTSI,X,O,X,O,O,X,X
LJZOITS,O,O,X,X,O,X,X
LJZOIST,O,O,X,X,O,X,X
LJZOSTI,O,O,X,O,O,X,X
LJZOSIT,O,O,X,X,O,X,X
LJOTISZ,X,O,O,O,O,X,X
LJOTIZS,X,O,X,O,O,X,X
LJOTSIZ,X,O,O,O,O,X,X
LJOTSZI,X,O,O,O,O,X,X
LJOTZIS,X,O,X,O,O,X,X
LJOTZSI,X,O,X,O,O,X,X
LJOITSZ,X,O,X,X,O,X,X
LJOITZS,X,O,X,X,O,X,X
LJOISTZ,X,O,O,X,O,X,X
LJOISZT,X,O,O,X,X,X,X
LJOIZTS,X,O,X,X,O,X,X
LJOIZST,X,O,X,X,O,X,X
LJOSTIZ,X,O,O,O,O,X,X
LJOSTZI,X,O,O,O,O,X,X
LJOSITZ,X,O,O,X,O,X,X
LJOSIZT,X,O,O,X,X,X,X
LJOSZTI,X,O,O,O,O,X,X
LJOSZIT,X,O,O,X,O,X,X
LJOZTIS,X,O,X,O,O,X,X
LJOZTSI,X,O,X,O,O,X,X
LJOZITS,X,O,X,X,O,X,X
LJOZIST,X,O,X,X,O,X,X
LJOZSTI,X,O,X,O,O,X,X
LJOZSIT,X,O,X,X,O,X,X
LSTIJZO,O,O,O,X,X,X,X
LSTIJOZ,X,X,O,X,O,X,X
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,X,O,X,X,X
LSTIOJZ,O,O,O,O,X,X,X
LSTIOZJ,O,O,X,O,X,X,X
LSTJIZO,O,O,O,X,X,X,X
LSTJIOZ,X,X,O,X,O,X,X
LSTJZIO,O,O,O,X,O,X,X
LSTJZOI,O,O,O,O,O,X,X
LSTJOIZ,X,O,O,O,O,X,X
LSTJOZI,X,O,O,O,O,X,X
LSTZIJO,O,O,O,X,O,X,X
LSTZIOJ,O,O,X,O,X,X,O
LSTZJIO,O,O,O,X,O,X,X
LSTZJOI,O,O,O,O,O,X,O
LSTZOIJ,O,O,X,O,X,X,O
LSTZOJI,O,O,X,O,X,X,O
LSTOIJZ,O,O,O,O,X,X,X
LSTOIZJ,O,O,X,O,X,X,O
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,O,O,X,O,X,X,O
LSTOZJI,O,O,X,O,X,X,O
LSITJZO,O,O,O,X,X,X,X
LSITJOZ,X,X,O,X,O,X,X
LSITZJO,O,O,O,X,X,X,X
LSITZOJ,O,O,X,O,X,X,X
LSITOJZ,X,O,O,O,X,X,X
LSITOZJ,O,O,X,O,X,X,X
