sequence,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhF0hB6nBTjB3?lBlrBOqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeuEJvhF6nBTjBxlB8?rBFmBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFigBTjBcqB/?rBGsBFsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFxgBSoBXmB8?rBlnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFAJvhFXhB+nBTjBq?pBxqB8rB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFSnBTjBOqB/?rBlqBUsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBllBRnB/?rBUnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFThBSoB8rBl?nBRqBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBxlBlnBX?mB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFBJvhFGjBClB3nBx?qB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je1FJvhFRiBSoBWqBU?nB/rBzpB
IZOJLST,X,O,O,O,X,X,X,O,X,X,X
IZOJSTL,X,X,O,O,X,X,X,X,X,X,X
IZOJSLT,X,O,O,O,X,O,X,O,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X,X,X,X
IZOSTJL,O,O,O,O,X,X,X,X,X,X,X
IZOSLTJ,X,O,O,O,X,X,X,X,X,X,X
IZOSLJT,X,O,O,O,X,O,X,O,X,X,X
IZOSJTL,X,O,O,O,X,X,X,X,X,X,X
IZOSJLT,X,O,O,O,X,O,X,O,X,X,X
IOTLJSZ,O,X,X,X,X,X,O,X,O,X,X
IOTLJZS,O,X,X,X,X,X,O,X,O,X,X
IOTLSJZ,O,X,X,X,X,X,O,X,O,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,X,O,X,O,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,O,X,O,X,X
IOTJLZS,O,X,X,X,X,X,O,X,O,X,X
IOTJSLZ,O,X,X,X,X,O,O,X,O,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,X,O,X,O,X,X
IOTJZSL,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,O,O,X,O,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,O,O,X,O,X,X
IOTSJZL,O,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,X,O,X,X,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,O,X,O,X,X
IOTZLSJ,O,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X,O,X,O,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,O,X,X,X,X,X,X,X,X
IOTZSJL,O,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,X,O,X,O,X,X
IOLTJZS,O,X,X,X,O,X,O,X,O,X,X
IOLTSJZ,O,X,X,X,O,X,O,X,O,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,O,X,O,X,O,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,O,X,O,X,O,X,X
IOLJTZS,O,X,X,X,O,X,O,X,O,X,X
IOLJSTZ,X,X,X,X,O,O,X,X,X,X,X
IOLJSZT,X,X,X,X,O,O,X,X,X,O,X
IOLJZTS,X,X,X,X,O,X,X,O,X,X,X
IOLJZST,X,X,X,O,O,X,X,O,X,X,X
IOLSTJZ,O,X,X,X,O,O,X,X,O,X,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,X,X,X,X
IOLSJZT,X,O,O,X,O,O,X,X,X,O,X
IOLSZTJ,X,O,O,X,X,X,X,X,X,O,X
IOLSZJT,X,O,O,X,X,O,X,X,X,O,X
IOLZTJS,O,O,X,X,O,X,X,O,O,X,X
IOLZTSJ,O,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,O,X,X,O,X,X,O,X,X,X
IOLZJST,X,O,O,O,O,X,X,O,X,X,X
IOLZSTJ,X,O,O,O,X,X,X,X,X,X,X
IOLZSJT,X,O,O,O,X,X,X,O,X,X,X
IOJTLSZ,O,X,X,X,X,X,O,X,O,X,X
IOJTLZS,O,X,X,X,X,X,O,X,O,X,X
IOJTSLZ,O,X,X,X,X,O,O,X,O,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,X,O,X,O,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,O,X,O,X,O,X,X
IOJLTZS,O,X,X,X,O,X,O,X,O,X,X
IOJLSTZ,X,X,X,X,O,O,X,X,X,X,X
IOJLSZT,X,X,X,X,O,O,X,X,X,O,X
IOJLZTS,X,X,X,X,O,X,X,O,X,X,X
IOJLZST,X,X,X,O,O,X,X,O,X,X,X
IOJSTLZ,O,X,X,X,X,O,O,X,X,X,X
IOJSTZL,O,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,O,X,X,O,X,X,X,O,X
IOJSZTL,X,X,O,X,X,X,X,X,X,X,X
IOJSZLT,X,X,O,X,X,O,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,O,O,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,O,X,X,X
IOJZLST,X,X,O,O,X,X,X,O,X,X,X
IOJZSTL,X,X,O,O,X,X,X,X,X,X,X
IOJZSLT,X,X,O,O,X,O,X,O,X,X,X
IOSTLJZ,O,X,X,X,X,O,O,X,O,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,O,O,X,O,X,X
IOSTJZL,O,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,X,X,O,X,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,X,O,O,X,X,O,X,X,X,O,X
IOSLZTJ,X,O,O,X,X,X,X,X,X,O,X
IOSLZJT,X,O,O,X,X,O,X,X,X,O,X
IOSJTLZ,O,X,X,X,X,O,O,X,X,X,X
IOSJTZL,O,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,O,O,X,X,O,X,X,X,O,X
IOSJZTL,X,O,O,X,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,O,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,X,X
IOSZLJT,X,O,O,X,X,O,X,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,O,X,X,X,X,X
IOZTLJS,O,O,X,X,X,X,O,O,O,X,X
IOZTLSJ,O,X,O,X,X,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,O,O,O,X,X
IOZTJSL,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X,X,X,X
IOZLTJS,O,O,X,X,X,X,X,O,O,X,X
IOZLTSJ,O,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,O,X,X,X,X,X,O,X,X,X
IOZLJST,X,O,O,O,X,X,X,O,X,X,X
IOZLSTJ,X,O,O,O,X,X,X,X,X,X,X
IOZLSJT,X,O,O,O,X,X,X,O,X,X,X
IOZJTLS,X,O,X,X,X,X,O,O,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,O,X,X,X
IOZJLST,X,O,O,O,X,X,X,O,X,X,X
IOZJSTL,X,X,O,O,X,X,X,X,X,X,X
IOZJSLT,X,O,O,O,X,O,X,O,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X,X,X,X
IOZSTJL,O,O,O,O,X,X,X,X,X,X,X
IOZSLTJ,X,O,O,O,X,X,X,X,X,X,X
IOZSLJT,X,O,O,O,X,O,X,O,X,X,X
IOZSJTL,X,O,O,O,X,X,X,X,X,X,X
IOZSJLT,X,O,O,O,X,O,X,O,X,X,X
LTIJSZO,O,X,X,X,O,X,O,X,X,X,X
LTIJSOZ,O,X,X,X,O,X,O,X,X,X,X
LTIJZSO,O,X,X,X,O,X,O,X,X,X,X
LTIJZOS,O,X,X,X,O,X,X,O,X,X,X
LTIJOSZ,O,X,X,X,O,X,O,X,X,X,X
LTIJOZS,O,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,O,X,O,X,X,X,X
LTISJOZ,O,X,X,X,O,X,O,X,X,X,X
LTISZJO,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,X,X,O,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,O,X,O,X,X,X,X
LTIZJOS,O,X,X,X,O,X,X,O,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,O,X,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,O,X,O,X,X,X,X
LTIOJZS,O,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,O,X,X,X,X
LTJISOZ,O,X,X,X,O,X,O,X,X,X,X
LTJIZSO,O,X,X,X,O,X,O,X,X,X,O
LTJIZOS,O,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,O,X,O,X,X,X,X
LTJIOZS,O,X,X,X,O,X,X,X,X,X,X
LTJSIZO,O,X,X,X,O,X,O,X,X,X,X
LTJSIOZ,O,X,X,X,O,X,O,X,X,X,X
LTJSZIO,O,X,X,X,X,X,X,X,X,X,O
LTJSZOI,O,X,X,X,X,X,X,X,X,X,O
LTJSOIZ,O,X,X,X,O,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,O,X,O,X,X,X,O
LTJZIOS,O,X,X,X,O,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,O
LTJZSOI,O,X,X,X,X,X,X,X,X,X,O
LTJZOIS,O,X,X,X,O,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,X,X,O
LTJOISZ,O,X,X,X,O,X,O,X,O,X,X
LTJOIZS,O,X,X,X,O,X,X,X,O,X,X
LTJOSIZ,O,X,X,X,O,X,X,X,O,X,X
LTJOSZI,O,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,O,X,X,X,O,X,X
LTJOZSI,O,X,X,X,X,X,X,X,X,X,O
LTSIJZO,O,X,X,X,O,X,O,X,X,X,X
LTSIJOZ,O,X,X,X,O,X,O,X,X,X,X
LTSIZJO,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,O,X,O,X,X,X,X
LTSJIOZ,O,X,X,X,O,X,O,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,X,X,X,X,X,X
LTSJOZI,O,O,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,O,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,O,X,X,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,O,X,O,X,X,X,X
LTZIJOS,O,O,X,X,O,X,X,O,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,X,X,O,X,X,O,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,X,O,X,O,X,X,X,O
LTZJIOS,O,X,X,X,O,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X,X,O
LTZJSOI,O,X,X,X,X,X,X,X,X,X,O
LTZJOIS,O,X,X,X,O,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X,X,X,O
LTZSIJO,O,O,X,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,X,O,X,X,X,X,X,X,X
LTZSJOI,O,O,X,O,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,O,X,X,X,X,X,X,X
LTZSOJI,O,O,X,O,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,O,X,X,O,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,O,X,X,X,X,X,X
LTZOJSI,O,X,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,O,X,O,X,O,X,X
LTOIJZS,O,X,X,X,O,X,X,X,O,X,X
LTOISJZ,O,X,X,X,O,X,X,X,O,X,X
LTOISZJ,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,O,X,X,X,O,X,X
LTOIZSJ,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,O,X,O,X,O,X,X
LTOJIZS,O,X,X,X,O,X,X,X,O,X,X
LTOJSIZ,O,X,X,X,O,X,X,X,O,X,X
LTOJSZI,O,X,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,O,X,X,X,O,X,X
LTOJZSI,O,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,O,X,X,X,O,X,X
LTOSIZJ,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,O,X,X,X,O,X,X
LTOSJZI,O,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,O,X,X,X,O,X,X
LTOZISJ,O,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,X,X,X,O,X,X,X,O,X,X
LTOZJSI,O,X,X,O,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,X,X,X,X,X
LTOZSJI,O,O,X,O,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,O,X,O,X,X,O,X
LITJSOZ,O,X,X,X,O,X,O,X,X,X,X
LITJZSO,O,X,X,X,O,X,O,X,X,X,X
LITJZOS,O,X,X,X,O,X,X,O,X,X,X
LITJOSZ,O,X,X,X,O,X,O,X,X,X,X
LITJOZS,O,X,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,X,X,O,X,O,X,X,O,X
LITSJOZ,O,X,X,X,O,X,O,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,X,X,O,X
LITSZOJ,O,X,X,X,X,X,X,X,X,O,X
LITSOJZ,O,X,X,X,O,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,O,X,O,X,X,X,X
LITZJOS,O,X,X,X,O,X,X,O,X,X,X
LITZSJO,O,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,O,X,X,O,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X
LITOJSZ,O,X,X,X,O,X,O,X,X,X,X
LITOJZS,O,X,X,X,O,X,X,X,X,X,X
LITOSJZ,O,X,X,X,O,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,O,X,X,X,O,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,X,X,O,X,O,X,X,O,X
LIJTSOZ,O,X,X,X,O,X,O,X,X,X,X
LIJTZSO,O,X,X,X,O,X,O,X,X,X,O
LIJTZOS,O,X,X,X,O,X,X,O,X,X,X
LIJTOSZ,O,X,X,X,O,X,O,X,X,X,X
LIJTOZS,O,X,X,X,O,X,X,X,X,X,X
LIJSTZO,X,X,X,X,O,X,X,X,X,O,X
LIJSTOZ,X,X,X,X,O,O,X,X,X,X,X
LIJSZTO,X,X,X,X,O,X,X,X,X,O,X
LIJSZOT,X,X,X,X,O,O,X,O,X,O,X
LIJSOTZ,X,X,X,X,O,O,X,X,X,X,X
LIJSOZT,X,X,X,X,O,O,X,X,X,O,X
LIJZTSO,X,X,X,X,O,X,X,X,X,X,O
LIJZTOS,X,X,X,X,O,X,X,O,X,X,X
LIJZSTO,X,X,X,X,O,X,X,X,X,O,X
LIJZSOT,X,X,X,X,O,X,X,O,X,O,X
LIJZOTS,X,X,X,X,O,X,X,O,X,X,X
LIJZOST,X,X,X,X,O,X,X,O,X,X,X
LIJOTSZ,O,X,X,X,O,X,O,X,X,X,X
LIJOTZS,O,X,X,X,O,X,O,X,X,X,X
LIJOSTZ,X,X,X,X,O,O,X,X,X,X,X
LIJOSZT,X,X,X,X,O,O,X,X,X,O,X
LIJOZTS,X,X,X,X,O,X,X,O,X,X,X
LIJOZST,X,X,X,X,O,X,X,O,X,X,X
LISTJZO,O,X,X,X,O,X,X,X,X,O,X
LISTJOZ,O,X,X,X,O,O,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,X,X,O,X
LISTZOJ,O,X,X,X,X,X,X,X,X,O,X
LISTOJZ,O,X,X,X,O,O,X,X,X,X,X
LISTOZJ,O,X,X,X,X,X,X,X,X,X,X
LISJTZO,X,X,X,X,O,X,X,X,X,O,X
LISJTOZ,X,X,X,X,O,O,X,X,X,X,X
LISJZTO,X,O,O,X,O,X,X,X,X,O,X
LISJZOT,X,O,O,X,O,O,X,O,X,O,X
LISJOTZ,X,X,X,X,O,O,X,X,X,X,X
LISJOZT,X,O,O,X,O,O,X,X,X,O,X
LISZTJO,X,O,O,X,X,X,X,X,X,O,X
LISZTOJ,X,O,O,X,X,X,X,X,X,O,X
LISZJTO,X,O,O,X,X,X,X,X,X,O,X
LISZJOT,X,O,O,X,X,O,X,O,X,O,X
LISZOTJ,X,O,O,X,X,X,X,X,X,O,X
LISZOJT,X,O,O,X,X,O,X,O,X,O,X
LISOTJZ,O,X,X,X,O,O,X,X,X,X,X
LISOTZJ,O,X,X,X,X,X,X,X,X,X,X
LISOJTZ,X,X,X,X,O,O,X,X,X,X,X
LISOJZT,X,O,O,X,O,O,X,X,X,O,X
LISOZTJ,X,O,O,X,X,X,X,X,X,O,X
LISOZJT,X,O,O,X,X,O,X,X,X,O,X
LIZTJSO,O,X,X,X,O,X,X,X,X,X,X
LIZTJOS,O,O,X,X,O,X,X,O,X,X,X
LIZTSJO,O,X,O,X,X,X,X,X,X,X,X
LIZTSOJ,O,X,O,X,X,X,X,X,X,X,X
LIZTOJS,O,O,X,X,O,X,X,O,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X,X,X,X
LIZJTSO,X,X,X,X,O,X,X,X,X,X,O
LIZJTOS,X,O,X,X,O,X,X,O,X,X,X
LIZJSTO,X,X,O,X,O,X,X,X,X,O,X
LIZJSOT,X,O,O,X,O,X,X,O,X,O,X
LIZJOTS,X,O,X,X,O,X,X,O,X,X,X
LIZJOST,X,O,O,X,O,X,X,O,X,X,X
LIZSTJO,X,O,O,O,X,X,X,X,X,O,X
LIZSTOJ,X,O,O,X,X,X,X,X,X,O,X
LIZSJTO,X,O,O,O,X,X,X,X,X,O,X
LIZSJOT,X,O,O,O,X,X,X,O,X,O,X
LIZSOTJ,X,O,O,O,X,X,X,X,X,O,X
LIZSOJT,X,O,O,O,X,X,X,O,X,O,X
LIZOTJS,O,O,X,X,O,X,X,O,X,X,X
LIZOTSJ,O,X,O,X,X,X,X,X,X,X,X
LIZOJTS,X,O,X,X,O,X,X,O,X,X,X
LIZOJST,X,O,O,O,O,X,X,O,X,X,X
LIZOSTJ,X,O,O,O,X,X,X,X,X,X,X
LIZOSJT,X,O,O,O,X,X,X,O,X,X,X
LIOTJSZ,O,X,X,X,O,X,O,X,X,X,X
LIOTJZS,O,X,X,X,O,X,O,X,X,X,X
LIOTSJZ,O,X,X,X,O,X,O,X,X,X,X
LIOTSZJ,O,X,X,X,X,X,X,X,X,X,X
LIOTZJS,O,X,X,X,O,X,O,X,X,X,X
LIOTZSJ,O,X,X,X,X,X,X,X,X,X,X
LIOJTSZ,O,X,X,X,O,X,O,X,X,X,X
LIOJTZS,O,X,X,X,O,X,O,X,X,X,X
LIOJSTZ,X,X,X,X,O,O,X,X,X,X,X
LIOJSZT,X,X,X,X,O,O,X,X,X,O,X
LIOJZTS,X,X,X,X,O,X,X,O,X,X,X
LIOJZST,X,X,X,O,O,X,X,O,X,X,X
LIOSTJZ,O,X,X,X,O,O,X,X,X,X,X
LIOSTZJ,O,X,X,X,X,X,X,X,X,X,X
LIOSJTZ,X,X,X,X,O,O,X,X,X,X,X
LIOSJZT,X,O,O,X,O,O,X,X,X,O,X
LIOSZTJ,X,O,O,X,X,X,X,X,X,O,X
LIOSZJT,X,O,O,X,X,O,X,X,X,O,X
LIOZTJS,O,O,X,X,O,X,X,O,X,X,X
LIOZTSJ,O,X,O,X,X,X,X,X,X,X,X
LIOZJTS,X,O,X,X,O,X,X,O,X,X,X
LIOZJST,X,O,O,O,O,X,X,O,X,X,X
LIOZSTJ,X,O,O,O,X,X,X,X,X,X,X
LIOZSJT,X,O,O,O,X,X,X,O,X,X,X
LJTISZO,O,X,X,X,O,X,O,X,X,X,X
LJTISOZ,O,X,X,X,O,X,O,X,X,X,X
LJTIZSO,O,X,X,X,O,X,O,X,X,X,O
LJTIZOS,O,X,X,X,O,X,X,X,X,X,X
LJTIOSZ,O,X,X,X,O,X,O,X,X,X,X
LJTIOZS,O,X,X,X,O,X,X,X,X,X,X
LJTSIZO,O,X,X,X,O,X,O,X,X,X,X
LJTSIOZ,O,X,X,X,O,X,O,X,X,X,X
LJTSZIO,O,X,X,X,X,X,X,X,X,X,O
LJTSZOI,O,X,X,X,X,X,X,X,X,X,O
LJTSOIZ,O,X,X,X,O,X,X,X,X,X,X
LJTSOZI,O,X,X,X,X,X,X,X,X,X,X
LJTZISO,O,X,X,X,O,X,O,X,X,X,O
LJTZIOS,O,X,X,X,O,X,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X,X,X,X,X,O
LJTZSOI,O,X,X,X,X,X,X,X,X,X,O
LJTZOIS,O,X,X,X,O,X,X,X,X,X,X
LJTZOSI,O,X,X,X,X,X,X,X,X,X,O
LJTOISZ,O,X,X,X,O,X,O,X,O,X,X
LJTOIZS,O,X,X,X,O,X,X,X,O,X,X
LJTOSIZ,O,X,X,X,O,X,X,X,O,X,X
LJTOSZI,O,X,X,X,X,X,X,X,X,X,X
LJTOZIS,O,X,X,X,O,X,X,X,O,X,X
LJTOZSI,O,X,X,X,X,X,X,X,X,X,O
LJITSZO,O,X,X,X,O,X,O,X,X,O,X
LJITSOZ,O,X,X,X,O,X,O,X,X,X,X
LJITZSO,O,X,X,X,O,X,O,X,X,X,O
LJITZOS,O,X,X,X,O,X,X,O,X,X,X
LJITOSZ,O,X,X,X,O,X,O,X,X,X,X
LJITOZS,O,X,X,X,O,X,X,X,X,X,X
LJISTZO,X,X,X,X,O,X,X,X,X,O,X
LJISTOZ,X,X,X,X,O,O,X,X,X,X,X
LJISZTO,X,X,X,X,O,X,X,X,X,O,X
LJISZOT,X,X,X,X,O,O,X,O,X,O,X
LJISOTZ,X,X,X,X,O,O,X,X,X,X,X
LJISOZT,X,X,X,X,O,O,X,X,X,O,X
LJIZTSO,X,X,X,X,O,X,X,X,X,X,O
LJIZTOS,X,X,X,X,O,X,X,O,X,X,X
LJIZSTO,X,X,X,X,O,X,X,X,X,O,X
LJIZSOT,X,X,X,X,O,X,X,O,X,O,X
LJIZOTS,X,X,X,X,O,X,X,O,X,X,X
LJIZOST,X,X,X,X,O,X,X,O,X,X,X
LJIOTSZ,O,X,X,X,O,X,O,X,X,X,X
LJIOTZS,O,X,X,X,O,X,O,X,X,X,X
LJIOSTZ,X,X,X,X,O,O,X,X,X,X,X
LJIOSZT,X,X,X,X,O,O,X,X,X,O,X
LJIOZTS,X,X,X,X,O,X,X,O,X,X,X
LJIOZST,X,X,X,X,O,X,X,O,X,X,X
LJSTIZO,X,X,X,X,O,X,X,X,X,X,X
LJSTIOZ,X,X,X,X,O,O,X,X,X,X,X
LJSTZIO,X,O,X,X,X,X,X,X,X,X,O
LJSTZOI,X,O,X,X,X,X,X,X,X,X,O
LJSTOIZ,X,X,X,X,O,O,X,X,X,X,X
LJSTOZI,X,O,X,X,X,X,X,X,X,X,X
LJSITZO,X,X,X,X,O,X,X,X,X,O,X
LJSITOZ,X,X,X,X,O,O,X,X,X,X,X
LJSIZTO,X,O,X,X,O,X,X,X,X,O,X
LJSIZOT,X,O,X,X,O,O,X,X,X,O,X
LJSIOTZ,X,X,X,X,O,O,X,X,X,X,X
LJSIOZT,X,O,X,X,O,O,X,X,X,O,X
LJSZTIO,X,O,X,X,X,X,X,X,X,X,O
LJSZTOI,X,O,X,X,X,X,X,X,X,X,O
LJSZITO,X,O,X,X,X,X,X,X,X,X,X
LJSZIOT,X,O,X,X,X,O,X,X,X,X,X
LJSZOTI,X,O,X,X,X,X,X,X,X,X,X
LJSZOIT,X,O,X,X,X,O,X,X,X,X,X
LJSOTIZ,X,X,X,X,O,O,X,X,X,X,X
LJSOTZI,X,O,X,X,X,X,X,X,X,X,X
LJSOITZ,X,X,X,X,O,O,X,X,X,X,X
LJSOIZT,X,O,X,X,O,O,X,X,X,X,X
LJSOZTI,X,O,X,X,X,X,X,X,X,X,X
LJSOZIT,X,O,X,X,X,O,X,X,X,X,X
LJZTISO,X,X,X,X,O,X,X,X,X,X,O
LJZTIOS,X,X,X,X,O,X,X,X,X,X,X
LJZTSIO,X,X,X,X,X,X,X,X,X,X,O
