sequence,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhBliB?5oBUnBzqByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhB6oB?FnB0nBzqBxxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmBVnB?5oB3nB0qByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NelAJvhFUiB5oB?/qBOrBisBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmB5oB?asBftB0qBlsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeXBJvhF5oB2qB?FnBzsB0qBisB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8Ne0AJvhFliB5oB?/qBasBOrBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBisBmqBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeKFJvhFUiB5oB?FmBmsBzqB3sB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBatBTsBmqB
ILZOJTS,O,O,O,X,O,X,X,X,X,X
ILZOJST,O,O,O,O,O,X,X,X,X,X
ILZOSTJ,O,O,O,X,O,X,X,O,X,X
ILZOSJT,O,O,O,X,O,X,X,X,X,X
ILOTJSZ,O,O,X,X,X,O,O,X,X,X
ILOTJZS,O,O,O,X,X,X,X,X,O,X
ILOTSJZ,O,O,X,X,X,O,O,X,X,X
ILOTSZJ,O,O,X,X,X,X,O,X,X,X
ILOTZJS,O,O,O,X,X,X,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,O,X,X,X
ILOJTSZ,O,O,X,X,X,O,O,X,X,X
ILOJTZS,O,O,X,X,X,X,X,X,O,X
ILOJSTZ,O,O,X,O,X,O,O,X,X,X
ILOJSZT,O,O,X,O,O,X,O,X,X,X
ILOJZTS,O,O,X,X,O,X,X,X,O,X
ILOJZST,O,O,X,O,O,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,O,X,X,X
ILOSTZJ,O,O,X,X,X,X,O,O,X,O
ILOSJTZ,O,O,X,O,X,X,O,X,X,X
ILOSJZT,O,O,X,O,O,X,O,X,X,X
ILOSZTJ,O,O,X,X,O,X,O,O,X,O
ILOSZJT,O,O,X,X,O,X,O,X,X,X
ILOZTJS,O,O,O,X,O,X,X,X,X,X
ILOZTSJ,O,O,O,X,O,X,O,X,X,X
ILOZJTS,O,O,O,X,O,X,X,X,X,X
ILOZJST,O,O,O,O,O,X,X,X,X,X
ILOZSTJ,O,O,O,X,O,X,O,O,X,O
ILOZSJT,O,O,O,X,O,X,O,X,X,X
IJTLSZO,X,O,X,O,X,X,X,X,O,X
IJTLSOZ,X,O,X,O,X,O,X,X,X,X
IJTLZSO,O,O,X,O,X,X,X,X,O,X
IJTLZOS,O,X,O,X,X,X,X,X,O,X
IJTLOSZ,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,O,X,X,X,X,X,X,O,X
IJTSLZO,X,O,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,X,O,X,O,X,X,X,X
IJTSZLO,X,O,X,O,X,X,X,X,X,X
IJTSZOL,X,X,O,O,X,O,X,X,X,X
IJTSOLZ,X,O,X,O,X,O,X,X,X,X
IJTSOZL,X,X,X,O,X,O,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X,X,O,X
IJTZLOS,X,X,O,X,X,X,X,X,O,X
IJTZSLO,O,O,X,O,X,X,X,X,X,X
IJTZSOL,O,X,O,O,X,O,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,X,O,X,X,X,X
IJTOSZL,O,O,X,X,X,O,X,X,X,X
IJTOZLS,X,O,O,X,X,X,X,X,X,X
IJTOZSL,O,O,O,X,X,O,X,X,X,X
IJLTSZO,X,O,O,O,O,X,O,X,O,X
IJLTSOZ,X,O,X,O,X,O,X,X,X,X
IJLTZSO,O,O,O,O,O,X,X,X,O,X
IJLTZOS,O,X,O,X,O,X,X,X,O,X
IJLTOSZ,O,O,X,X,X,X,X,X,X,X
IJLTOZS,O,O,O,X,X,X,X,X,O,X
IJLSTZO,X,O,X,O,O,X,O,O,O,X
IJLSTOZ,X,O,X,O,X,O,X,X,X,X
IJLSZTO,O,X,X,O,O,X,O,O,O,X
IJLSZOT,O,X,X,O,O,X,X,X,X,X
IJLSOTZ,X,X,X,O,X,O,X,X,X,X
IJLSOZT,X,X,X,O,O,X,X,X,X,X
IJLZTSO,O,O,O,O,O,X,X,X,O,X
IJLZTOS,O,X,O,X,O,X,X,X,O,X
IJLZSTO,O,X,O,O,O,X,X,O,O,X
IJLZSOT,O,X,O,O,O,X,X,X,X,X
IJLZOTS,O,X,O,X,O,X,X,X,O,X
IJLZOST,O,X,O,O,O,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,O,X,X,X,X
IJLOTZS,O,O,X,X,X,X,X,X,O,X
IJLOSTZ,O,O,X,O,X,O,X,X,X,X
IJLOSZT,O,O,X,O,O,X,X,X,X,X
IJLOZTS,O,O,X,X,O,X,X,X,O,X
IJLOZST,O,O,X,O,O,X,X,X,X,X
IJSTLZO,X,O,X,O,X,X,X,O,X,X
IJSTLOZ,X,O,X,O,X,O,X,X,X,X
IJSTZLO,X,O,X,O,X,X,X,O,X,X
IJSTZOL,X,X,X,O,X,O,X,X,X,O
IJSTOLZ,X,O,X,O,X,O,X,X,X,X
IJSTOZL,X,X,X,O,X,O,X,X,X,O
IJSLTZO,X,O,X,O,O,X,O,O,O,X
IJSLTOZ,X,O,X,O,X,O,X,X,X,X
IJSLZTO,O,X,X,O,O,X,O,O,O,X
IJSLZOT,O,X,X,O,O,X,X,X,X,X
IJSLOTZ,X,X,X,O,X,O,X,X,X,X
IJSLOZT,X,X,X,O,O,X,X,X,X,X
IJSZTLO,O,X,X,O,X,X,X,X,X,X
IJSZTOL,O,X,X,O,X,O,X,X,X,X
IJSZLTO,O,X,X,O,O,X,O,X,O,X
IJSZLOT,X,X,X,O,O,X,X,X,X,X
IJSZOTL,O,X,X,O,X,O,X,X,X,X
IJSZOLT,X,X,X,X,O,X,O,X,X,X
IJSOTLZ,X,X,X,O,X,O,X,X,X,X
IJSOTZL,X,X,X,O,X,O,X,X,X,O
IJSOLTZ,X,X,X,O,X,O,O,X,X,X
IJSOLZT,X,X,X,O,X,X,O,X,X,X
IJSOZTL,X,X,X,O,X,O,X,X,X,O
IJSOZLT,X,X,X,X,X,X,O,X,X,X
IJZTLSO,O,O,O,X,O,X,X,X,O,X
IJZTLOS,X,X,O,X,O,X,X,X,O,X
IJZTSLO,O,O,X,O,X,X,X,X,X,X
IJZTSOL,O,X,O,O,X,O,X,X,X,X
IJZTOLS,O,X,O,X,O,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,X,X,X
IJZLTSO,O,O,O,O,O,X,X,X,O,X
IJZLTOS,O,X,O,X,O,X,X,X,O,X
IJZLSTO,O,X,O,O,O,X,X,X,O,X
IJZLSOT,O,X,O,O,O,X,X,X,X,X
IJZLOTS,O,X,O,X,O,X,X,X,O,X
IJZLOST,O,X,O,O,O,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X,X,X,X,X
IJZSTOL,O,X,O,O,X,O,X,X,X,X
IJZSLTO,O,X,O,O,O,X,X,X,O,X
IJZSLOT,X,X,O,O,O,X,X,X,X,X
IJZSOTL,O,X,O,O,X,O,X,X,X,X
IJZSOLT,X,X,O,X,O,X,X,X,X,X
IJZOTLS,O,X,O,X,O,X,X,X,X,X
IJZOTSL,O,X,O,X,X,O,X,X,X,X
IJZOLTS,O,X,O,X,O,X,X,X,O,X
IJZOLST,O,X,O,X,O,X,X,X,X,X
IJZOSTL,O,X,O,O,X,O,X,X,X,X
IJZOSLT,O,X,O,X,O,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,O,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,O,X,X,X,X
IJOTSZL,O,O,X,X,X,O,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,O,X,X,X,X
IJOLTSZ,O,O,X,X,X,O,O,X,X,X
IJOLTZS,O,O,X,X,X,X,X,X,O,X
IJOLSTZ,O,O,X,O,X,O,O,X,X,X
IJOLSZT,O,O,X,O,X,X,O,X,X,X
IJOLZTS,O,O,X,X,X,X,X,X,O,X
IJOLZST,O,O,X,O,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,O,X,X,X,X
IJOSTZL,O,O,X,O,X,O,X,X,X,O
IJOSLTZ,O,O,X,O,X,O,O,X,X,X
IJOSLZT,O,O,X,O,X,X,O,X,X,X
IJOSZTL,O,O,X,O,X,O,X,X,X,O
IJOSZLT,O,O,X,X,X,X,O,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,O,X,X,X,X
IJOZLTS,O,O,X,X,X,X,X,X,O,X
IJOZLST,O,O,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,O,X,X,X,O
IJOZSLT,O,O,X,X,X,X,X,X,X,X
ISTLJZO,X,O,X,O,O,X,O,O,X,X
ISTLJOZ,X,O,X,O,X,O,X,X,X,X
ISTLZJO,X,O,X,X,O,X,O,O,X,X
ISTLZOJ,X,X,X,X,O,X,O,O,X,O
ISTLOJZ,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,O,O,X,O
ISTJLZO,X,O,X,O,X,X,X,O,X,X
ISTJLOZ,X,O,X,O,X,O,X,X,X,X
ISTJZLO,X,O,X,O,X,X,X,O,X,X
ISTJZOL,X,X,O,O,X,O,X,X,X,O
ISTJOLZ,X,O,X,O,X,O,X,X,X,X
ISTJOZL,X,X,X,O,X,O,X,X,X,O
ISTZLJO,X,O,X,X,O,X,O,O,X,X
ISTZLOJ,X,X,X,X,O,X,O,O,X,O
ISTZJLO,X,O,X,X,X,X,X,O,X,X
ISTZJOL,X,X,O,X,X,O,X,X,X,O
ISTZOLJ,X,X,X,X,O,X,O,O,X,O
ISTZOJL,X,X,O,X,X,X,X,X,X,O
ISTOLJZ,O,O,X,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,X,X,X,O,O,X,O
ISTOJLZ,O,O,X,X,X,O,X,X,X,X
ISTOJZL,O,O,X,X,X,O,X,X,X,O
ISTOZLJ,X,O,X,X,X,X,O,O,X,O
ISTOZJL,O,O,X,X,X,X,X,X,X,O
ISLTJZO,X,O,O,O,O,X,O,O,O,X
ISLTJOZ,X,O,X,O,X,X,X,X,X,X
ISLTZJO,X,O,O,X,O,X,O,O,O,X
ISLTZOJ,X,X,O,X,O,X,O,O,X,O
ISLTOJZ,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,O,O,X,O
ISLJTZO,X,O,X,O,O,X,O,O,O,X
ISLJTOZ,X,O,X,O,X,X,X,X,X,X
ISLJZTO,O,X,X,O,O,X,O,O,O,X
ISLJZOT,O,X,X,O,O,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,X,O,O,X,X,X,X,X
ISLZTJO,O,X,O,X,O,X,O,O,X,X
ISLZTOJ,O,X,O,X,O,X,O,O,X,X
ISLZJTO,O,X,O,O,O,X,O,O,X,X
ISLZJOT,O,X,O,O,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,O,X,O,O,X,X
ISLZOJT,O,X,O,X,O,X,O,X,X,X
ISLOTJZ,O,O,X,X,X,X,O,X,X,X
ISLOTZJ,O,O,X,X,X,X,O,O,X,O
ISLOJTZ,O,O,X,O,X,X,O,X,X,X
ISLOJZT,O,O,X,O,O,X,O,X,X,X
ISLOZTJ,O,O,X,X,O,X,O,O,X,O
ISLOZJT,O,O,X,X,O,X,O,X,X,X
ISJTLZO,X,O,X,O,X,X,X,O,X,X
ISJTLOZ,X,O,X,O,X,O,X,X,X,X
ISJTZLO,X,O,X,O,X,X,X,O,X,X
ISJTZOL,X,X,X,O,X,O,X,X,X,O
ISJTOLZ,X,O,X,O,X,O,X,X,X,X
ISJTOZL,X,X,X,O,X,O,X,X,X,O
ISJLTZO,X,O,X,O,O,X,O,O,O,X
ISJLTOZ,X,O,X,O,X,O,X,X,X,X
ISJLZTO,O,X,X,O,O,X,O,O,O,X
ISJLZOT,O,X,X,O,O,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,O,X,X,X,X
ISJLOZT,X,X,X,O,O,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,X,X
ISJZTOL,O,X,X,O,X,O,X,X,X,X
ISJZLTO,O,X,X,O,O,X,O,X,O,X
ISJZLOT,X,X,X,O,O,X,X,X,X,X
ISJZOTL,O,X,X,O,X,O,X,X,X,X
ISJZOLT,X,X,X,X,O,X,O,X,X,X
ISJOTLZ,X,X,X,O,X,O,X,X,X,X
ISJOTZL,X,X,X,O,X,O,X,X,X,O
ISJOLTZ,X,X,X,O,X,O,O,X,X,X
ISJOLZT,X,X,X,O,X,X,O,X,X,X
ISJOZTL,X,X,X,O,X,O,X,X,X,O
ISJOZLT,X,X,X,X,X,X,O,X,X,X
ISZTLJO,O,X,X,X,O,X,O,O,X,X
ISZTLOJ,X,X,X,X,O,X,O,O,X,O
ISZTJLO,O,X,X,X,X,X,X,O,X,X
ISZTJOL,O,X,O,X,X,X,X,X,X,O
ISZTOLJ,O,X,X,X,O,X,O,O,X,O
ISZTOJL,O,X,O,X,X,X,X,X,X,O
ISZLTJO,O,X,O,X,O,X,O,O,X,X
ISZLTOJ,X,X,O,X,O,X,O,O,X,X
ISZLJTO,O,X,O,O,O,X,O,O,X,X
ISZLJOT,X,X,O,O,O,X,X,X,X,X
ISZLOTJ,X,X,O,X,O,X,O,O,X,X
ISZLOJT,X,X,O,X,O,X,O,X,X,X
ISZJTLO,O,X,X,O,X,X,X,X,X,X
ISZJTOL,O,X,O,O,X,X,X,X,X,X
ISZJLTO,O,X,O,O,O,X,O,X,X,X
ISZJLOT,X,X,O,O,O,X,X,X,X,X
ISZJOTL,O,X,O,O,X,X,X,X,X,X
ISZJOLT,X,X,O,X,O,X,O,X,X,X
ISZOTLJ,O,X,X,X,O,X,O,X,X,O
ISZOTJL,O,X,O,X,X,X,X,X,X,O
ISZOLTJ,O,X,O,X,O,X,O,X,X,O
ISZOLJT,O,X,O,X,O,X,O,X,X,X
ISZOJTL,O,X,O,X,X,X,X,X,X,O
ISZOJLT,O,X,O,X,O,X,O,X,X,X
ISOTLJZ,O,O,X,X,X,O,O,X,X,X
ISOTLZJ,O,O,X,X,X,X,O,O,X,O
ISOTJLZ,O,O,X,X,X,O,X,X,X,X
ISOTJZL,O,O,X,X,X,O,X,X,X,O
ISOTZLJ,O,O,X,X,X,X,O,O,X,O
ISOTZJL,O,O,X,X,X,O,X,X,X,O
ISOLTJZ,O,O,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,X,O,O,X,O
ISOLJTZ,O,O,X,O,X,X,O,X,X,X
ISOLJZT,O,O,X,O,O,X,O,X,X,X
ISOLZTJ,O,O,X,X,O,X,O,O,X,O
ISOLZJT,O,O,X,X,O,X,O,X,X,X
ISOJTLZ,O,O,X,O,X,O,X,X,X,X
ISOJTZL,O,O,X,O,X,O,X,X,X,O
ISOJLTZ,O,O,X,O,X,O,O,X,X,X
ISOJLZT,O,O,X,O,X,X,O,X,X,X
ISOJZTL,O,O,X,O,X,O,X,X,X,O
ISOJZLT,O,O,X,X,X,X,O,X,X,X
ISOZTLJ,O,O,X,X,O,X,O,X,X,O
ISOZTJL,O,O,X,X,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,O,X,O,X,X,O
ISOZLJT,O,O,X,X,O,X,O,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,X,O
ISOZJLT,O,O,X,X,O,X,O,X,X,X
IZTLJSO,O,O,O,X,O,X,X,X,X,X
IZTLJOS,X,X,O,X,O,X,X,X,X,X
IZTLSJO,O,O,O,X,O,X,X,X,X,X
IZTLSOJ,X,X,O,X,O,X,X,X,X,X
IZTLOJS,O,O,O,X,O,X,X,X,X,X
IZTLOSJ,O,O,O,X,O,X,X,X,X,X
IZTJLSO,O,O,O,X,O,X,X,X,X,X
IZTJLOS,X,X,O,X,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X,X,X
IZTJSOL,O,X,O,X,X,O,X,X,X,X
IZTJOLS,O,X,O,X,O,X,X,X,X,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X,X,X,X
IZTSLOJ,X,X,X,X,O,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,O,X,X,X,X
IZTSOLJ,O,X,X,X,O,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X,X,X
IZTOLJS,O,O,O,X,O,X,X,X,X,X
IZTOLSJ,O,O,O,X,O,X,X,X,X,X
IZTOJLS,O,O,O,X,O,X,X,X,X,X
IZTOJSL,O,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,O,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X,X
IZLTJSO,O,O,O,O,O,X,X,X,O,X
IZLTJOS,O,X,O,X,O,X,X,X,O,X
IZLTSJO,O,O,O,X,O,X,O,O,O,X
IZLTSOJ,O,X,O,X,O,X,O,O,X,X
IZLTOJS,O,O,O,X,O,X,X,X,O,X
IZLTOSJ,O,O,O,X,O,X,X,X,X,X
IZLJTSO,O,O,O,O,O,X,X,X,O,X
IZLJTOS,O,X,O,X,O,X,X,X,O,X
IZLJSTO,O,X,O,O,O,X,X,O,O,X
IZLJSOT,O,X,O,O,O,X,X,X,X,X
IZLJOTS,O,X,O,X,O,X,X,X,O,X
IZLJOST,O,X,O,O,O,X,X,X,X,X
IZLSTJO,O,X,O,X,O,X,O,O,X,X
IZLSTOJ,O,X,O,X,O,X,O,O,X,X
IZLSJTO,O,X,O,O,O,X,O,O,X,X
IZLSJOT,O,X,O,O,O,X,X,X,X,X
IZLSOTJ,O,X,O,X,O,X,O,O,X,X
IZLSOJT,O,X,O,X,O,X,X,X,X,X
IZLOTJS,O,O,O,X,O,X,X,X,X,X
IZLOTSJ,O,O,O,X,O,X,X,X,X,X
IZLOJTS,O,O,O,X,O,X,X,X,X,X
IZLOJST,O,O,O,O,O,X,X,X,X,X
IZLOSTJ,O,O,O,X,O,X,X,O,X,X
IZLOSJT,O,O,O,X,O,X,X,X,X,X
IZJTLSO,O,O,O,X,O,X,X,X,O,X
IZJTLOS,X,X,O,X,O,X,X,X,O,X
IZJTSLO,O,O,X,O,X,X,X,X,X,X
IZJTSOL,O,X,O,O,X,O,X,X,X,X
IZJTOLS,O,X,O,X,O,X,X,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X
IZJLTSO,O,O,O,O,O,X,X,X,O,X
IZJLTOS,O,X,O,X,O,X,X,X,O,X
IZJLSTO,O,X,O,O,O,X,X,X,O,X
IZJLSOT,O,X,O,O,O,X,X,X,X,X
IZJLOTS,O,X,O,X,O,X,X,X,O,X
IZJLOST,O,X,O,O,O,X,X,X,X,X
IZJSTLO,O,X,X,O,X,X,X,X,X,X
IZJSTOL,O,X,O,O,X,O,X,X,X,X
IZJSLTO,O,X,O,O,O,X,X,X,O,X
IZJSLOT,X,X,O,O,O,X,X,X,X,X
IZJSOTL,O,X,O,O,X,O,X,X,X,X
IZJSOLT,X,X,O,X,O,X,X,X,X,X
IZJOTLS,O,X,O,X,O,X,X,X,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X,X
IZJOLTS,O,X,O,X,O,X,X,X,O,X
IZJOLST,O,X,O,X,O,X,X,X,X,X
IZJOSTL,O,X,O,O,X,O,X,X,X,X
IZJOSLT,O,X,O,X,O,X,X,X,X,X
IZSTLJO,O,X,X,X,O,X,O,O,X,X
IZSTLOJ,X,X,X,X,O,X,O,O,X,O
IZSTJLO,O,X,X,X,X,X,X,O,X,X
IZSTJOL,O,X,O,X,X,X,X,X,X,O
IZSTOLJ,O,X,X,X,O,X,O,O,X,O
IZSTOJL,O,X,O,X,X,X,X,X,X,O
IZSLTJO,O,X,O,X,O,X,O,O,X,X
IZSLTOJ,X,X,O,X,O,X,O,O,X,X
IZSLJTO,O,X,O,O,O,X,O,O,X,X
IZSLJOT,X,X,O,O,O,X,X,X,X,X
IZSLOTJ,X,X,O,X,O,X,O,O,X,X
IZSLOJT,X,X,O,X,O,X,O,X,X,X
IZSJTLO,O,X,X,O,X,X,X,X,X,X
IZSJTOL,O,X,O,O,X,X,X,X,X,X
IZSJLTO,O,X,O,O,O,X,O,X,X,X
IZSJLOT,X,X,O,O,O,X,X,X,X,X
IZSJOTL,O,X,O,O,X,X,X,X,X,X
IZSJOLT,X,X,O,X,O,X,O,X,X,X
IZSOTLJ,O,X,X,X,O,X,O,X,X,O
IZSOTJL,O,X,O,X,X,X,X,X,X,O
IZSOLTJ,O,X,O,X,O,X,O,X,X,O
IZSOLJT,O,X,O,X,O,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X,X,X,X,O
IZSOJLT,O,X,O,X,O,X,O,X,X,X
IZOTLJS,O,O,O,X,O,X,X,X,X,X
IZOTLSJ,O,O,O,X,O,X,X,X,X,X
IZOTJLS,O,O,O,X,O,X,X,X,X,X
IZOTJSL,O,O,O,X,X,O,X,X,X,X
IZOTSLJ,O,O,X,X,O,X,X,X,X,O
IZOTSJL,O,O,O,X,X,O,X,X,X,O
IZOLTJS,O,O,O,X,O,X,X,X,X,X
IZOLTSJ,O,O,O,X,O,X,O,X,X,X
IZOLJTS,O,O,O,X,O,X,X,X,X,X
IZOLJST,O,O,O,X,O,X,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,O,X,X,O
IZOLSJT,O,O,O,X,O,X,O,X,X,X
IZOJTLS,O,O,O,X,O,X,X,X,X,X
IZOJTSL,O,O,O,X,X,O,X,X,X,X
IZOJLTS,O,O,O,X,O,X,X,X,X,X
IZOJLST,O,O,O,X,O,X,X,X,X,X
IZOJSTL,O,O,O,X,X,O,X,X,X,O
IZOJSLT,O,O,O,X,O,X,X,X,X,X
IZOSTLJ,O,O,X,X,O,X,O,X,X,O
IZOSTJL,O,O,O,X,X,X,X,X,X,O
IZOSLTJ,O,O,O,X,O,X,O,X,X,O
IZOSLJT,O,O,O,X,O,X,O,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,O
IZOSJLT,O,O,O,X,O,X,O,X,X,X
IOTLJSZ,O,O,X,X,X,O,O,X,X,X
IOTLJZS,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,O,O,X,X,X
IOTLSZJ,O,O,X,X,X,X,O,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,O,X,X,X
IOTJLSZ,O,O,X,X,X,O,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,O,X,X,X,X
IOTJSZL,O,O,X,X,X,O,X,X,X,X
IOTJZLS,O,O,O,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,X,O,X,X,X,X
IOTSLJZ,O,O,X,X,X,O,O,X,X,X
IOTSLZJ,O,O,X,X,X,X,O,X,X,O
IOTSJLZ,O,O,X,X,X,O,X,X,X,X
IOTSJZL,O,O,X,X,X,O,X,X,X,O
IOTSZLJ,O,O,X,X,X,X,O,X,X,O
IOTSZJL,O,O,X,X,X,O,X,X,X,O
IOTZLJS,O,O,O,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,O,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,O
IOTZSJL,O,O,O,X,X,O,X,X,X,O
IOLTJSZ,O,O,X,X,X,O,O,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X,O,X
IOLTSJZ,O,O,X,X,X,O,O,X,X,X
IOLTSZJ,O,O,X,X,X,X,O,X,X,X
IOLTZJS,O,O,O,X,X,X,X,X,O,X
IOLTZSJ,O,O,O,X,X,X,O,X,X,X
IOLJTSZ,O,O,X,X,X,O,O,X,X,X
IOLJTZS,O,O,X,X,X,X,X,X,O,X
IOLJSTZ,O,O,X,O,X,O,O,X,X,X
IOLJSZT,O,O,X,O,O,X,O,X,X,X
IOLJZTS,O,O,X,X,O,X,X,X,O,X
IOLJZST,O,O,X,O,O,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,O,X,X,X
IOLSTZJ,O,O,X,X,X,X,O,O,X,O
IOLSJTZ,O,O,X,O,X,X,O,X,X,X
IOLSJZT,O,O,X,O,O,X,O,X,X,X
IOLSZTJ,O,O,X,X,O,X,O,O,X,O
IOLSZJT,O,O,X,X,O,X,O,X,X,X
IOLZTJS,O,O,O,X,O,X,X,X,X,X
IOLZTSJ,O,O,O,X,O,X,O,X,X,X
IOLZJTS,O,O,O,X,O,X,X,X,X,X
IOLZJST,O,O,O,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,O,O,X,O
IOLZSJT,O,O,O,X,O,X,O,X,X,X
IOJTLSZ,O,O,X,X,X,O,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,O,X,X,X,X
IOJTSZL,O,O,X,X,X,O,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,O,X,X,X,X
IOJLTSZ,O,O,X,X,X,O,O,X,X,X
IOJLTZS,O,O,X,X,X,X,X,X,O,X
IOJLSTZ,O,O,X,O,X,O,O,X,X,X
IOJLSZT,O,O,X,O,X,X,O,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X,O,X
IOJLZST,O,O,X,O,X,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,O,X,X,X,X
IOJSTZL,O,O,X,O,X,O,X,X,X,O
IOJSLTZ,O,O,X,O,X,O,O,X,X,X
IOJSLZT,O,O,X,O,X,X,O,X,X,X
IOJSZTL,O,O,X,O,X,O,X,X,X,O
IOJSZLT,O,O,X,X,X,X,O,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,O,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,O,X
IOJZLST,O,O,X,X,X,X,X,X,X,X
IOJZSTL,O,O,X,O,X,O,X,X,X,O
IOJZSLT,O,O,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,O,O,X,X,X
IOSTLZJ,O,O,X,X,X,X,O,O,X,O
IOSTJLZ,O,O,X,X,X,O,X,X,X,X
IOSTJZL,O,O,X,X,X,O,X,X,X,O
IOSTZLJ,O,O,X,X,X,X,O,O,X,O
IOSTZJL,O,O,X,X,X,O,X,X,X,O
IOSLTJZ,O,O,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,X,X,X,X,O,O,X,O
IOSLJTZ,O,O,X,O,X,X,O,X,X,X
IOSLJZT,O,O,X,O,O,X,O,X,X,X
IOSLZTJ,O,O,X,X,O,X,O,O,X,O
IOSLZJT,O,O,X,X,O,X,O,X,X,X
IOSJTLZ,O,O,X,O,X,O,X,X,X,X
IOSJTZL,O,O,X,O,X,O,X,X,X,O
