sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
ISLTZOJ,O,O,X,O,X,X,X,X
ISLTOJZ,X,X,O,X,X,X,O,X
ISLTOZJ,O,X,X,O,X,X,X,X
ISLJTZO,X,O,O,X,X,O,O,X
ISLJTOZ,X,X,O,X,X,O,O,X
ISLJZTO,O,O,O,O,O,O,O,X
ISLJZOT,O,O,O,O,O,O,O,X
ISLJOTZ,X,X,O,X,X,O,O,X
ISLJOZT,O,X,O,O,O,O,O,X
ISLZTJO,O,O,X,O,O,X,X,X
ISLZTOJ,O,O,X,O,X,X,X,X
ISLZJTO,O,O,O,O,O,X,O,X
ISLZJOT,O,O,O,O,O,X,O,X
ISLZOTJ,O,O,X,O,O,X,X,X
ISLZOJT,O,O,O,O,O,X,O,X
ISLOTJZ,X,X,O,X,X,X,O,X
ISLOTZJ,O,X,X,O,X,X,X,X
ISLOJTZ,X,X,O,X,X,O,O,X
ISLOJZT,O,X,O,O,O,O,O,X
ISLOZTJ,O,X,X,O,O,X,X,X
ISLOZJT,O,X,O,O,O,X,O,X
ISJTLZO,X,O,O,X,X,O,O,X
ISJTLOZ,X,X,O,X,X,O,O,X
ISJTZLO,O,O,O,X,X,X,X,X
ISJTZOL,O,O,O,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,O,X,X
ISJTOZL,O,O,O,X,X,X,X,X
ISJLTZO,X,O,O,X,X,O,O,X
ISJLTOZ,X,X,O,X,X,O,O,X
ISJLZTO,O,O,O,X,O,O,O,X
ISJLZOT,O,O,O,X,O,O,O,X
ISJLOTZ,X,X,O,X,X,O,O,X
ISJLOZT,O,X,O,X,O,O,O,X
ISJZTLO,O,O,O,X,O,X,X,X
ISJZTOL,O,O,O,X,X,X,X,X
ISJZLTO,O,O,O,X,O,X,O,X
ISJZLOT,O,O,O,X,O,X,O,X
ISJZOTL,O,O,O,X,O,X,X,X
ISJZOLT,O,O,O,X,O,X,X,X
ISJOTLZ,X,X,O,X,X,O,X,X
ISJOTZL,O,O,O,X,O,X,X,X
ISJOLTZ,X,X,O,X,X,O,O,X
ISJOLZT,O,X,O,X,O,O,O,X
ISJOZTL,O,O,O,X,O,X,X,X
ISJOZLT,O,O,O,X,O,X,X,X
ISZTLJO,O,O,X,O,O,X,X,X
ISZTLOJ,O,O,X,O,X,X,X,X
ISZTJLO,O,O,X,X,O,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,X,O,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,O,X,O,O,X,X,X
ISZLTOJ,O,O,X,O,X,X,X,X
ISZLJTO,O,O,O,O,O,X,O,X
ISZLJOT,O,O,O,O,O,X,O,X
ISZLOTJ,O,O,X,O,O,X,X,X
ISZLOJT,O,O,O,O,O,X,O,X
ISZJTLO,O,O,O,X,O,X,X,X
ISZJTOL,O,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,O,X,O,X
ISZJLOT,O,O,O,X,O,X,O,X
ISZJOTL,O,O,O,X,O,X,X,X
ISZJOLT,O,O,O,X,O,X,X,X
ISZOTLJ,O,O,X,O,O,X,X,X
ISZOTJL,O,O,X,X,O,X,X,X
ISZOLTJ,O,O,X,O,O,X,X,X
ISZOLJT,O,O,O,O,O,X,X,X
ISZOJTL,O,O,O,X,O,X,X,X
ISZOJLT,O,O,O,X,O,X,X,X
ISOTLJZ,X,X,O,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,X,X,X
ISOTJZL,O,O,O,X,O,X,X,X
ISOTZLJ,O,O,X,X,O,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X
ISOLTJZ,X,X,O,X,X,X,O,X
ISOLTZJ,O,X,X,O,X,X,X,X
ISOLJTZ,X,X,O,X,X,O,O,X
ISOLJZT,O,X,O,O,O,O,O,X
ISOLZTJ,O,X,X,O,O,X,X,X
ISOLZJT,O,X,O,O,O,X,O,X
ISOJTLZ,X,X,O,X,X,O,X,X
ISOJTZL,O,O,O,X,O,X,X,X
ISOJLTZ,X,X,O,X,X,O,O,X
ISOJLZT,O,X,O,X,O,O,O,X
ISOJZTL,O,O,O,X,O,X,X,X
ISOJZLT,O,O,O,X,O,X,X,X
ISOZTLJ,O,O,X,O,O,X,X,X
ISOZTJL,O,O,X,X,O,X,X,X
ISOZLTJ,O,O,X,O,O,X,X,X
ISOZLJT,O,O,O,O,O,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X
IZTLJOS,X,X,X,O,X,X,X,X
IZTLSJO,O,X,X,O,O,X,X,X
IZTLSOJ,O,X,X,O,X,X,X,X
IZTLOJS,X,X,X,O,X,X,X,X
IZTLOSJ,O,X,X,O,X,X,X,X
IZTJLSO,O,X,X,O,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,O,O,X,X,X
IZTSLOJ,O,O,X,O,X,X,X,X
IZTSJLO,O,O,X,X,O,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,X,X,X,O,X,X,X,X
IZTOLSJ,O,X,X,O,X,X,X,X
IZTOJLS,X,X,X,O,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,O,X,X,O,X,X,X,X
IZLTJOS,X,X,X,O,X,X,X,X
IZLTSJO,O,X,X,O,O,X,X,X
IZLTSOJ,O,X,X,O,X,X,X,X
IZLTOJS,X,X,X,O,X,X,X,X
IZLTOSJ,O,X,X,O,X,X,X,X
IZLJTSO,O,X,X,O,X,O,X,X
IZLJTOS,X,X,X,O,X,O,X,X
IZLJSTO,O,X,X,O,O,O,O,X
IZLJSOT,O,X,X,O,O,O,O,X
IZLJOTS,X,X,X,O,X,O,X,X
IZLJOST,X,X,X,O,X,O,O,X
IZLSTJO,O,X,X,O,O,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,X
IZLSJTO,O,X,X,O,O,X,O,X
IZLSJOT,O,X,X,O,O,X,O,X
IZLSOTJ,O,X,X,O,O,X,X,X
IZLSOJT,O,X,X,O,O,X,O,X
IZLOTJS,X,X,X,O,X,X,X,X
IZLOTSJ,O,X,X,O,O,X,X,X
IZLOJTS,X,X,X,O,X,O,X,X
IZLOJST,X,X,X,O,O,O,O,X
IZLOSTJ,O,X,X,O,O,X,X,X
IZLOSJT,O,X,X,O,O,X,O,X
IZJTLSO,O,X,X,O,X,O,X,X
IZJTLOS,X,X,X,O,X,O,X,X
IZJTSLO,O,O,O,X,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X
IZJTOLS,X,X,X,O,X,O,X,X
IZJTOSL,X,O,O,X,X,X,X,X
IZJLTSO,O,X,X,O,X,O,X,X
IZJLTOS,X,X,X,O,X,O,X,X
IZJLSTO,O,X,O,O,O,O,O,X
IZJLSOT,O,X,O,O,O,O,O,X
IZJLOTS,X,X,X,O,X,O,X,X
IZJLOST,X,X,O,O,X,O,O,X
IZJSTLO,O,O,O,X,O,X,X,X
IZJSTOL,O,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,O,X,O,X
IZJSLOT,O,O,O,X,O,X,O,X
IZJSOTL,O,O,O,X,X,X,X,X
IZJSOLT,O,O,O,X,O,X,X,X
IZJOTLS,X,X,X,O,X,O,X,X
IZJOTSL,X,O,O,X,X,X,X,X
IZJOLTS,X,X,X,O,X,O,X,X
IZJOLST,X,X,O,O,X,O,O,X
IZJOSTL,X,O,O,X,X,X,X,X
IZJOSLT,X,O,O,X,X,X,X,X
IZSTLJO,O,O,X,O,O,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,X
IZSTJLO,O,O,X,X,O,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,X,O,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,O,O,X,O,O,X,X,X
IZSLTOJ,O,O,X,O,X,X,X,X
IZSLJTO,O,O,O,O,O,X,O,X
IZSLJOT,O,O,O,O,O,X,O,X
IZSLOTJ,O,O,X,O,O,X,X,X
IZSLOJT,O,O,O,O,O,X,O,X
IZSJTLO,O,O,O,X,O,X,X,X
IZSJTOL,O,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,O,X,O,X
IZSJLOT,O,O,O,X,O,X,O,X
IZSJOTL,O,O,O,X,O,X,X,X
IZSJOLT,O,O,O,X,O,X,X,X
IZSOTLJ,O,O,X,O,O,X,X,X
IZSOTJL,O,O,X,X,O,X,X,X
IZSOLTJ,O,O,X,O,O,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X
IZSOJTL,O,O,O,X,O,X,X,X
IZSOJLT,O,O,O,X,O,X,X,X
IZOTLJS,X,X,X,O,X,X,X,X
IZOTLSJ,O,X,X,O,O,X,X,X
IZOTJLS,X,X,X,O,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,O,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X
IZOLTJS,X,X,X,O,X,X,X,X
IZOLTSJ,O,X,X,O,O,X,X,X
IZOLJTS,X,X,X,O,X,O,X,X
IZOLJST,X,X,X,O,O,O,O,X
IZOLSTJ,O,X,X,O,O,X,X,X
IZOLSJT,O,X,X,O,O,X,O,X
IZOJTLS,X,X,X,O,X,O,X,X
IZOJTSL,X,O,O,X,X,X,X,X
IZOJLTS,X,X,X,O,X,O,X,X
IZOJLST,X,X,O,O,O,O,O,X
IZOJSTL,X,O,O,X,O,X,X,X
IZOJSLT,X,O,O,X,O,X,X,X
IZOSTLJ,O,O,X,O,O,X,X,X
IZOSTJL,O,O,X,X,O,X,X,X
IZOSLTJ,O,O,X,O,O,X,X,X
IZOSLJT,O,O,O,O,O,X,X,X
IZOSJTL,O,O,O,X,O,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X
IOTLJSZ,X,X,X,X,X,O,O,O
IOTLJZS,X,X,X,X,X,O,X,O
IOTLSJZ,X,X,X,X,X,X,O,O
IOTLSZJ,X,X,X,O,X,X,X,O
IOTLZJS,X,X,X,O,X,X,X,O
IOTLZSJ,X,X,X,O,X,X,X,O
IOTJLSZ,X,X,X,X,X,O,O,O
IOTJLZS,X,X,X,X,X,O,X,O
IOTJSLZ,X,X,O,X,X,O,X,O
IOTJSZL,X,X,O,X,X,X,X,O
IOTJZLS,X,X,X,X,X,O,X,O
IOTJZSL,X,X,O,X,X,X,X,O
IOTSLJZ,X,X,O,X,X,X,X,O
IOTSLZJ,O,X,X,X,X,X,X,O
IOTSJLZ,X,X,O,X,X,X,X,O
IOTSJZL,O,X,O,X,O,X,X,O
IOTSZLJ,O,X,X,X,O,X,X,O
IOTSZJL,O,X,X,X,O,X,X,O
IOTZLJS,X,X,X,O,X,X,X,O
IOTZLSJ,O,X,X,O,O,X,X,O
IOTZJLS,X,X,X,O,X,X,X,O
IOTZJSL,X,X,X,X,X,X,X,O
IOTZSLJ,O,X,X,O,O,X,X,O
IOTZSJL,O,X,X,X,O,X,X,O
IOLTJSZ,X,X,X,X,X,O,O,X
IOLTJZS,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,O,X,X,X,X
IOLTZJS,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,O,X
IOLJTZS,X,X,X,X,X,O,X,X
IOLJSTZ,X,X,O,X,X,O,O,X
IOLJSZT,X,X,O,O,X,O,O,X
IOLJZTS,X,X,X,O,X,O,X,X
IOLJZST,X,X,O,O,X,O,O,X
IOLSTJZ,X,X,O,X,X,X,O,X
IOLSTZJ,O,X,X,O,X,X,X,X
IOLSJTZ,X,X,O,X,X,O,O,X
IOLSJZT,O,X,O,O,O,O,O,X
IOLSZTJ,O,X,X,O,O,X,X,X
IOLSZJT,O,X,O,O,O,X,O,X
IOLZTJS,X,X,X,O,X,X,X,X
IOLZTSJ,O,X,X,O,O,X,X,X
IOLZJTS,X,X,X,O,X,O,X,X
IOLZJST,X,X,X,O,O,O,O,X
IOLZSTJ,O,X,X,O,O,X,X,X
IOLZSJT,O,X,X,O,O,X,O,X
IOJTLSZ,X,X,X,X,X,O,O,X
IOJTLZS,X,X,X,X,X,O,X,X
IOJTSLZ,X,X,O,X,X,O,X,X
IOJTSZL,X,X,O,X,X,X,X,X
IOJTZLS,X,X,X,X,X,O,X,X
IOJTZSL,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,O,O,X
IOJLTZS,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,O,X,X,O,O,X
IOJLSZT,X,X,O,O,X,O,O,X
IOJLZTS,X,X,X,O,X,O,X,X
IOJLZST,X,X,O,O,X,O,O,X
IOJSTLZ,X,X,O,X,X,O,X,X
IOJSTZL,X,X,O,X,O,X,X,X
IOJSLTZ,X,X,O,X,X,O,O,X
IOJSLZT,X,X,O,X,O,O,O,X
IOJSZTL,X,X,O,X,O,X,X,X
IOJSZLT,X,X,O,X,O,X,X,X
IOJZTLS,X,X,X,O,X,O,X,X
IOJZTSL,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,O,X,O,X,X
IOJZLST,X,X,O,O,O,O,O,X
IOJZSTL,X,X,O,X,O,X,X,X
IOJZSLT,X,X,O,X,O,X,X,X
IOSTLJZ,X,X,O,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,X
IOSTZJL,O,X,X,X,O,X,X,X
IOSLTJZ,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,X,O,X,X,X,X
IOSLJTZ,X,X,O,X,X,O,O,X
IOSLJZT,O,X,O,O,O,O,O,X
IOSLZTJ,O,X,X,O,O,X,X,X
IOSLZJT,O,X,O,O,O,X,O,X
IOSJTLZ,X,X,O,X,X,O,X,X
IOSJTZL,O,X,O,X,O,X,X,X
IOSJLTZ,X,X,O,X,X,O,O,X
IOSJLZT,O,X,O,X,O,O,O,X
IOSJZTL,O,X,O,X,O,X,X,X
IOSJZLT,O,X,O,X,O,X,X,X
IOSZTLJ,O,X,X,O,O,X,X,X
IOSZTJL,O,X,X,X,O,X,X,X
IOSZLTJ,O,X,X,O,O,X,X,X
IOSZLJT,O,X,O,O,O,X,X,X
IOSZJTL,O,X,O,X,O,X,X,X
IOSZJLT,O,X,O,X,O,X,X,X
IOZTLJS,X,X,X,O,X,X,X,O
IOZTLSJ,O,X,X,O,O,X,X,O
IOZTJLS,X,X,X,O,X,X,X,O
IOZTJSL,X,X,X,X,X,X,X,O
IOZTSLJ,O,X,X,O,O,X,X,O
IOZTSJL,O,X,X,X,O,X,X,O
IOZLTJS,X,X,X,O,X,X,X,X
IOZLTSJ,O,X,X,O,O,X,X,X
IOZLJTS,X,X,X,O,X,O,X,X
IOZLJST,X,X,X,O,O,O,O,X
IOZLSTJ,O,X,X,O,O,X,X,X
IOZLSJT,O,X,X,O,O,X,O,X
IOZJTLS,X,X,X,O,X,O,X,X
IOZJTSL,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,O,X,O,X,X
IOZJLST,X,X,O,O,O,O,O,X
IOZJSTL,X,X,O,X,O,X,X,X
IOZJSLT,X,X,O,X,O,X,X,X
IOZSTLJ,O,X,X,O,O,X,X,X
IOZSTJL,O,X,X,X,O,X,X,X
IOZSLTJ,O,X,X,O,O,X,X,X
IOZSLJT,O,X,O,O,O,X,X,X
IOZSJTL,O,X,O,X,O,X,X,X
IOZSJLT,O,X,O,X,O,X,X,X
LTIJSZO,X,X,X,X,X,O,O,X
LTIJSOZ,X,X,X,X,X,O,O,X
LTIJZSO,X,X,X,X,X,O,X,X
LTIJZOS,X,X,X,X,X,O,X,X
LTIJOSZ,X,X,X,X,X,O,O,O
LTIJOZS,X,X,X,X,X,O,X,O
LTISJZO,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,X,X,X,O,X
LTISZJO,O,X,X,O,X,X,X,X
LTISZOJ,O,X,X,O,X,X,X,X
LTISOJZ,X,X,X,X,X,X,O,X
LTISOZJ,O,X,X,O,X,X,X,X
LTIZJSO,O,X,X,O,X,X,X,X
LTIZJOS,X,X,X,O,X,X,X,X
LTIZSJO,O,X,X,O,X,X,X,X
LTIZSOJ,O,X,X,O,X,X,X,X
LTIZOJS,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,O,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,O,O
LTIOJZS,X,X,X,X,X,O,X,O
LTIOSJZ,X,X,X,X,X,X,O,O
LTIOSZJ,X,X,X,O,X,X,X,O
LTIOZJS,X,X,X,O,X,X,X,O
LTIOZSJ,X,X,X,O,X,X,X,O
LTJISZO,X,O,X,X,X,O,O,X
LTJISOZ,X,X,X,X,X,O,O,X
LTJIZSO,X,X,X,X,X,O,X,X
LTJIZOS,X,X,X,X,X,O,X,X
LTJIOSZ,X,X,X,X,X,O,O,O
LTJIOZS,X,X,X,X,X,O,X,O
LTJSIZO,X,O,X,X,X,O,O,X
LTJSIOZ,X,X,X,X,X,O,O,X
LTJSZIO,X,O,X,X,X,X,X,X
LTJSZOI,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,O,X
LTJSOZI,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,X,X
LTJZIOS,X,X,X,X,X,O,X,X
LTJZSIO,X,O,X,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O,X,X
LTJZOSI,X,O,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,O,O
LTJOIZS,X,X,X,X,X,O,X,O
LTJOSIZ,X,X,X,X,X,O,O,O
LTJOSZI,X,X,X,X,X,X,X,O
LTJOZIS,X,X,X,X,X,O,X,O
LTJOZSI,X,X,X,X,X,X,X,O
LTSIJZO,X,O,X,X,X,X,O,X
LTSIJOZ,X,X,X,X,X,X,O,X
LTSIZJO,O,O,X,O,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,X
LTSIOJZ,X,X,X,X,X,X,O,X
LTSIOZJ,O,X,X,O,X,X,X,X
LTSJIZO,X,O,X,X,X,X,O,X
LTSJIOZ,X,X,X,X,X,X,O,X
LTSJZIO,X,O,X,X,O,X,X,X
LTSJZOI,X,O,X,X,O,X,X,X
LTSJOIZ,X,X,X,X,X,X,O,X
LTSJOZI,X,X,X,X,O,X,X,X
LTSZIJO,O,O,X,O,O,X,X,X
LTSZIOJ,O,O,X,O,X,X,X,X
LTSZJIO,O,O,X,O,O,X,X,X
LTSZJOI,O,O,X,O,O,X,X,X
LTSZOIJ,O,O,X,O,O,X,X,X
LTSZOJI,O,O,X,O,O,X,X,X
LTSOIJZ,X,X,X,X,X,X,O,X
LTSOIZJ,O,X,X,O,X,X,X,X
LTSOJIZ,X,X,X,X,X,X,O,X
LTSOJZI,X,X,X,X,O,X,X,X
LTSOZIJ,O,X,X,O,O,X,X,X
LTSOZJI,O,X,X,O,O,X,X,X
LTZIJSO,O,X,X,O,X,X,X,X
LTZIJOS,X,X,X,O,X,X,X,X
LTZISJO,O,X,X,O,O,X,X,X
LTZISOJ,O,X,X,O,X,X,X,X
LTZIOJS,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,O,X,X,X,X
LTZJISO,O,X,X,O,X,X,X,X
LTZJIOS,X,X,X,O,X,X,X,X
LTZJSIO,O,O,X,O,X,X,X,X
LTZJSOI,O,O,X,O,X,X,X,X
LTZJOIS,X,X,X,O,X,X,X,X
LTZJOSI,X,O,X,O,X,X,X,X
LTZSIJO,O,O,X,O,O,X,X,X
LTZSIOJ,O,O,X,O,X,X,X,X
LTZSJIO,O,O,X,O,O,X,X,X
LTZSJOI,O,O,X,O,O,X,X,X
LTZSOIJ,O,O,X,O,O,X,X,X
LTZSOJI,O,O,X,O,O,X,X,X
LTZOIJS,X,X,X,O,X,X,X,X
LTZOISJ,O,X,X,O,O,X,X,X
LTZOJIS,X,X,X,O,X,X,X,X
LTZOJSI,X,O,X,O,X,X,X,X
LTZOSIJ,O,O,X,O,O,X,X,X
LTZOSJI,O,O,X,O,O,X,X,X
LTOIJSZ,X,X,X,X,X,O,O,O
LTOIJZS,X,X,X,X,X,O,X,O
LTOISJZ,X,X,X,X,X,X,O,O
LTOISZJ,X,X,X,O,X,X,X,O
LTOIZJS,X,X,X,O,X,X,X,O
LTOIZSJ,X,X,X,O,X,X,X,O
LTOJISZ,X,X,X,X,X,O,O,O
LTOJIZS,X,X,X,X,X,O,X,O
LTOJSIZ,X,X,X,X,X,O,O,O
LTOJSZI,X,X,X,X,X,X,X,O
LTOJZIS,X,X,X,X,X,O,X,O
LTOJZSI,X,X,X,X,X,X,X,O
LTOSIJZ,X,X,X,X,X,X,O,O
LTOSIZJ,X,X,X,O,X,X,X,O
LTOSJIZ,X,X,X,X,X,X,O,O
LTOSJZI,X,X,X,X,O,X,X,O
LTOSZIJ,X,X,X,O,O,X,X,O
LTOSZJI,X,X,X,O,O,X,X,O
LTOZIJS,X,X,X,O,X,X,X,O
LTOZISJ,X,X,X,O,O,X,X,O
LTOZJIS,X,X,X,O,X,X,X,O
LTOZJSI,X,X,X,O,X,X,X,O
LTOZSIJ,X,X,X,O,O,X,X,O
LTOZSJI,X,X,X,O,O,X,X,O
LITJSZO,X,X,X,X,X,O,O,X
LITJSOZ,X,X,X,X,X,O,O,X
LITJZSO,X,X,X,X,X,O,X,X
LITJZOS,X,X,X,X,X,O,X,X
LITJOSZ,X,X,X,X,X,O,O,X
LITJOZS,X,X,X,X,X,O,X,X
LITSJZO,X,X,X,X,X,X,O,X
LITSJOZ,X,X,X,X,X,X,O,X
LITSZJO,O,X,X,O,X,X,X,X
LITSZOJ,O,X,X,O,X,X,X,X
LITSOJZ,X,X,X,X,X,X,O,X
LITSOZJ,O,X,X,O,X,X,X,X
LITZJSO,O,X,X,O,X,X,X,X
LITZJOS,X,X,X,O,X,X,X,X
LITZSJO,O,X,X,O,X,X,X,X
LITZSOJ,O,X,X,O,X,X,X,X
LITZOJS,X,X,X,O,X,X,X,X
LITZOSJ,O,X,X,O,X,X,X,X
LITOJSZ,X,X,X,X,X,O,O,X
LITOJZS,X,X,X,X,X,O,X,X
LITOSJZ,X,X,X,X,X,X,O,X
LITOSZJ,X,X,X,O,X,X,X,X
LITOZJS,X,X,X,O,X,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X
LIJTSZO,X,X,X,X,X,O,O,X
LIJTSOZ,X,X,X,X,X,O,O,X
LIJTZSO,X,X,X,X,X,O,X,X
LIJTZOS,X,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,X,X,O,O,X
LIJTOZS,X,X,X,X,X,O,X,X
LIJSTZO,X,X,O,X,X,O,O,X
LIJSTOZ,X,X,O,X,X,O,O,X
LIJSZTO,O,X,O,O,X,O,O,X
LIJSZOT,O,X,O,O,X,O,O,X
LIJSOTZ,X,X,O,X,X,O,O,X
LIJSOZT,O,X,O,O,X,O,O,X
LIJZTSO,O,X,X,O,X,O,X,X
LIJZTOS,X,X,X,O,X,O,X,X
LIJZSTO,O,X,O,O,X,O,O,X
LIJZSOT,O,X,O,O,X,O,O,X
LIJZOTS,X,X,X,O,X,O,X,X
LIJZOST,X,X,O,O,X,O,O,X
LIJOTSZ,X,X,X,X,X,O,O,X
LIJOTZS,X,X,X,X,X,O,X,X
LIJOSTZ,X,X,O,X,X,O,O,X
LIJOSZT,X,X,O,O,X,O,O,X
LIJOZTS,X,X,X,O,X,O,X,X
LIJOZST,X,X,O,O,X,O,O,X
LISTJZO,X,X,O,X,X,X,O,X
LISTJOZ,X,X,O,X,X,X,O,X
LISTZJO,O,X,X,O,X,X,X,X
LISTZOJ,O,X,X,O,X,X,X,X
LISTOJZ,X,X,O,X,X,X,O,X
LISTOZJ,O,X,X,O,X,X,X,X
LISJTZO,X,X,O,X,X,O,O,X
LISJTOZ,X,X,O,X,X,O,O,X
LISJZTO,O,X,O,O,O,O,O,X
LISJZOT,O,X,O,O,O,O,O,X
LISJOTZ,X,X,O,X,X,O,O,X
LISJOZT,O,X,O,O,O,O,O,X
LISZTJO,O,X,X,O,O,X,X,X
LISZTOJ,O,X,X,O,X,X,X,X
LISZJTO,O,X,O,O,O,X,O,X
LISZJOT,O,X,O,O,O,X,O,X
LISZOTJ,O,X,X,O,O,X,X,X
LISZOJT,O,X,O,O,O,X,O,X
LISOTJZ,X,X,O,X,X,X,O,X
LISOTZJ,O,X,X,O,X,X,X,X
LISOJTZ,X,X,O,X,X,O,O,X
LISOJZT,O,X,O,O,O,O,O,X
LISOZTJ,O,X,X,O,O,X,X,X
LISOZJT,O,X,O,O,O,X,O,X
LIZTJSO,O,X,X,O,X,X,X,X
LIZTJOS,X,X,X,O,X,X,X,X
LIZTSJO,O,X,X,O,O,X,X,X
LIZTSOJ,O,X,X,O,X,X,X,X
LIZTOJS,X,X,X,O,X,X,X,X
LIZTOSJ,O,X,X,O,X,X,X,X
LIZJTSO,O,X,X,O,X,O,X,X
LIZJTOS,X,X,X,O,X,O,X,X
LIZJSTO,O,X,X,O,O,O,O,X
LIZJSOT,O,X,X,O,O,O,O,X
LIZJOTS,X,X,X,O,X,O,X,X
LIZJOST,X,X,X,O,X,O,O,X
LIZSTJO,O,X,X,O,O,X,X,X
LIZSTOJ,O,X,X,O,X,X,X,X
LIZSJTO,O,X,X,O,O,X,O,X
LIZSJOT,O,X,X,O,O,X,O,X
LIZSOTJ,O,X,X,O,O,X,X,X
LIZSOJT,O,X,X,O,O,X,O,X
LIZOTJS,X,X,X,O,X,X,X,X
LIZOTSJ,O,X,X,O,O,X,X,X
LIZOJTS,X,X,X,O,X,O,X,X
LIZOJST,X,X,X,O,O,O,O,X
LIZOSTJ,O,X,X,O,O,X,X,X
LIZOSJT,O,X,X,O,O,X,O,X
LIOTJSZ,X,X,X,X,X,O,O,X
LIOTJZS,X,X,X,X,X,O,X,X
LIOTSJZ,X,X,X,X,X,X,O,X
LIOTSZJ,X,X,X,O,X,X,X,X
LIOTZJS,X,X,X,O,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,X,O,O,X
LIOJTZS,X,X,X,X,X,O,X,X
LIOJSTZ,X,X,O,X,X,O,O,X
LIOJSZT,X,X,O,O,X,O,O,X
LIOJZTS,X,X,X,O,X,O,X,X
LIOJZST,X,X,O,O,X,O,O,X
