sequence,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFTgBxhBfqBcsBCr?BlrB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhF6mBTiB2pB8qBXs?BFqB,v115@FhB8HeB8HeD8BeA8BeC8Je1FJvhFxhB0kBGnBikB3q?BzrB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFTiBxkBVrBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBxhBTnBFqB0r?BCrB,v115@FhB8HeB8HeD8BeA8BeC8Je2EJvhFfmBTiBxpBFsB6r?BUqB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhFzfBFiBcsBxqBGr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBTiBFqBxrBCr?B0rB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhF1pB0lBxmBGnBzr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhF8kBfmBxhBTqBCs?BFsB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhFlhBTkB2qBCsBcs?B3qB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhFWmB3kBTqBxrBcs?BlrB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhF0gBxhBGnBlqBzr?BfqB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFxkBVrBTnBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeFBJvhFTiBxkBSrB2pBXs?BUqB,v115@FhB8HeB8HeD8BeA8BeC8Jel/IvhF2pB0lBxmBqrBTn?B3qB
JSTLIOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSTZIOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JSTZLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSTOIZL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSTOLIZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITLOZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITZLO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITZOL,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITOZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTOZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSIOTZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSIOLTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLTZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLTOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIZTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIOZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLOTZI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLOITZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLOIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLOZTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLOZIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZTILO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSZTIOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZTLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZITOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOIZTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOLTZI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLITZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOLIZT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLZIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZTIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O
JZTILOS,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O
JZTISLO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTISOL,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O
JZTIOLS,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O
JZTIOSL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O
JZTLISO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
JZTLIOS,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O
JZTLSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X
JZTLOSI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTSIOL,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O
JZTSLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZTSOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O
JZTOISL,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O
JZTOLIS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
JZTOLSI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZTOSLI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O
JZITLOS,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O
JZITSLO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZITSOL,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O
JZITOLS,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O
JZITOSL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O
JZILTSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
JZILTOS,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O
JZILSTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOST,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZISTOL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
JZISLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O
JZIOTSL,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O
JZIOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLTIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLITOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLISTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZLOTSI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLOITS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZLOIST,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLOSTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZSTIOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSTLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSITOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O
JZOTISL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
JZOTLIS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
JZOTLSI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOTSLI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O
JZOITSL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
JZOILTS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOILST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOISTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOLTSI,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOLITS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOLIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSTI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTILZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JOTISLZ,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOTISZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOTIZLS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JOTIZSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOTLSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOTLSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOTLZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOTLZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOTSILZ,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOTSIZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOTSLIZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOTSLZI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O
JOTZISL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
JOTZLIS,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X
JOTZLSI,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTZSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTZSLI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOITLZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JOITSLZ,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOITSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOITZLS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JOITZSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOILTZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JOILSTZ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOILZTS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISTLZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JOISTZL,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOISLTZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOISLZT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOISZTL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTLS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JOIZTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOIZLTS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOIZLST,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLTIZS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLTSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLTSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLTZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLITSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLITZS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLISTZ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOLISZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLIZTS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTIZ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOLSTZI,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLSITZ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOLSZTI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLSZIT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOLZTIS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLZTSI,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JOLZITS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLZIST,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLZSTI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLZSIT,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOSTILZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSTIZL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSTLIZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSTLZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSITZL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSILTZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSILZT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSIZTL,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSIZLT,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSLTIZ,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSLTZI,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOSLITZ,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOSLIZT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOSLZTI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOSLZIT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOSZTIL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSZTLI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSZITL,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSZILT,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSZLTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSZLIT,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOZTILS,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O
JOZTISL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
