sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
ITLOSZJ,O,O,X,X
ITLOZJS,O,O,X,O
ITLOZSJ,O,O,X,O
ITJLSZO,X,O,X,X
ITJLSOZ,X,O,O,X
ITJLZSO,X,O,X,O
ITJLZOS,X,O,X,O
ITJLOSZ,X,O,O,X
ITJLOZS,X,O,X,O
ITJSLZO,X,O,X,X
ITJSLOZ,X,O,O,X
ITJSZLO,O,O,X,X
ITJSZOL,O,O,O,X
ITJSOLZ,X,O,O,X
ITJSOZL,O,O,O,X
ITJZLSO,O,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,O,O,X,X
ITJZSOL,O,O,O,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,O,X
ITJOLSZ,X,O,O,X
ITJOLZS,X,O,X,O
ITJOSLZ,X,O,O,X
ITJOSZL,O,O,O,X
ITJOZLS,O,O,X,X
ITJOZSL,O,O,O,X
ITSLJZO,O,O,X,X
ITSLJOZ,O,O,X,X
ITSLZJO,O,O,X,X
ITSLZOJ,O,O,X,X
ITSLOJZ,O,O,O,X
ITSLOZJ,O,O,X,X
ITSJLZO,O,O,X,X
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,X,X
ITSJZOL,O,O,O,X
ITSJOLZ,O,O,O,X
ITSJOZL,O,O,O,X
ITSZLJO,O,O,X,X
ITSZLOJ,O,O,X,X
ITSZJLO,O,O,X,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,O,X
ITSOLJZ,O,O,O,X
ITSOLZJ,O,O,X,X
ITSOJLZ,O,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,O,X,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,X,X
ITZLJOS,O,O,X,X
ITZLSJO,O,O,X,X
ITZLSOJ,O,O,X,X
ITZLOJS,O,O,X,X
ITZLOSJ,O,O,X,X
ITZJLSO,O,O,X,X
ITZJLOS,O,O,X,X
ITZJSLO,O,O,X,X
