sequence,v115@MhB8GeC8CeB8AeD8BeA8JeOEJvhFxgB0iB6oBfqBll?BzsB,v115@MhB8GeC8CeB8AeD8BeA8Jem/IvhFFhBxiBTkBcqBCo?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Jei/IvhFFhBxiB3kBcqBGo?BzsB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFxgB0iBllBStBmp?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFXhB0iB6oBxpBzs?BFqB,v115@MhB8GeC8CeB8AeD8BeA8Jex/IvhFXhBTjBikBWtBFq?B0sB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFXhBliBxpBCtBOq?BctB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFFhBxiBcqBqsBTt?B3pB
ISLTOJZ,O,X,X,X,X,X,O,X
ISLTOZJ,O,O,X,X,X,X,O,X
ISLJTZO,O,O,X,X,X,X,O,X
ISLJTOZ,O,X,X,X,X,X,O,X
ISLJZTO,O,O,X,X,X,X,O,X
ISLJZOT,O,O,X,X,X,X,O,X
ISLJOTZ,O,X,X,X,O,O,O,X
ISLJOZT,O,O,X,X,O,X,O,X
ISLZTJO,O,O,X,O,X,X,O,X
ISLZTOJ,O,O,X,X,X,X,O,X
ISLZJTO,O,O,X,X,X,X,O,X
ISLZJOT,O,O,X,X,X,X,O,X
ISLZOTJ,X,O,X,X,X,X,O,X
ISLZOJT,O,O,X,X,X,X,O,X
ISLOTJZ,O,X,X,X,O,X,O,X
ISLOTZJ,O,O,X,X,O,X,O,X
ISLOJTZ,O,X,X,X,O,X,O,X
ISLOJZT,O,O,X,X,O,X,O,X
ISLOZTJ,O,O,X,X,O,X,O,X
ISLOZJT,O,O,X,X,O,X,O,X
ISJTLZO,O,X,X,X,X,O,X,X
ISJTLOZ,O,X,X,X,X,O,X,X
ISJTZLO,O,O,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,O,O,X,X
ISJTOZL,O,X,X,X,O,X,X,X
ISJLTZO,O,X,X,X,X,X,O,X
ISJLTOZ,O,X,X,X,X,X,O,X
ISJLZTO,O,X,X,X,X,X,O,X
ISJLZOT,O,X,X,X,X,X,O,X
ISJLOTZ,O,X,X,X,O,O,O,X
ISJLOZT,O,X,X,X,O,X,O,X
ISJZTLO,O,O,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,X,X
ISJZOLT,O,O,X,X,O,X,X,X
ISJOTLZ,O,X,X,X,O,O,X,X
ISJOTZL,O,X,X,X,O,X,X,X
ISJOLTZ,O,X,X,X,O,O,O,X
ISJOLZT,O,X,X,X,O,X,O,X
ISJOZTL,O,O,X,X,O,X,X,X
ISJOZLT,O,O,X,X,O,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X
ISZTJOL,O,O,X,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,O,O,O,X,X,O,X
ISZLTOJ,O,O,O,X,X,X,O,X
ISZLJTO,O,O,O,X,X,X,O,X
ISZLJOT,O,O,X,X,X,X,O,X
ISZLOTJ,X,O,O,X,X,X,O,X
ISZLOJT,O,O,X,X,X,X,O,X
ISZJTLO,O,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,X,X,X
ISZJOLT,O,O,X,X,O,X,X,X
ISZOTLJ,O,O,O,X,O,X,X,X
ISZOTJL,O,O,X,X,O,X,X,X
ISZOLTJ,O,O,O,X,O,X,O,X
ISZOLJT,O,O,X,X,O,X,O,X
ISZOJTL,O,O,X,X,O,X,X,X
ISZOJLT,O,O,X,X,O,X,X,X
ISOTLJZ,O,X,X,X,O,X,O,X
ISOTLZJ,O,X,X,X,O,X,O,X
ISOTJLZ,O,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X
ISOTZLJ,O,O,X,X,O,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X
ISOLTJZ,O,X,X,X,O,X,O,X
ISOLTZJ,O,O,X,X,O,X,O,X
ISOLJTZ,O,X,X,X,O,X,O,X
ISOLJZT,O,O,X,X,O,X,O,X
ISOLZTJ,O,O,X,X,O,X,O,X
ISOLZJT,O,O,X,X,O,X,O,X
ISOJTLZ,O,X,X,X,O,X,X,X
ISOJTZL,O,X,X,X,O,X,X,X
ISOJLTZ,O,X,X,X,O,X,O,X
ISOJLZT,O,X,X,X,O,X,O,X
ISOJZTL,O,O,X,X,O,X,X,X
ISOJZLT,O,O,X,X,O,X,X,X
ISOZTLJ,O,O,X,X,O,X,X,X
ISOZTJL,O,O,X,X,O,X,X,X
ISOZLTJ,O,O,X,X,O,X,O,X
ISOZLJT,O,O,X,X,O,X,O,X
ISOZJTL,O,O,X,X,O,X,X,X
ISOZJLT,O,O,X,X,O,X,X,X
IZTLJSO,O,O,X,O,X,X,X,X
IZTLJOS,X,O,X,O,X,X,X,O
IZTLSJO,O,X,O,O,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X,O
IZTLOSJ,X,X,X,X,X,X,X,O
IZTJLSO,O,O,O,O,X,X,X,X
IZTJLOS,X,O,X,O,X,X,X,O
IZTJSLO,X,O,O,O,X,X,X,X
IZTJSOL,X,O,O,O,X,X,X,X
IZTJOLS,X,O,X,O,X,X,X,X
IZTJOSL,X,O,O,O,X,X,X,X
IZTSLJO,O,O,O,O,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,X
IZTSJOL,X,O,O,O,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X
IZTSOJL,X,O,O,X,X,X,X,X
IZTOLJS,X,O,X,O,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,X,X
IZTOJLS,X,O,O,O,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,X,X
IZLTJSO,O,O,X,O,X,X,O,X
IZLTJOS,X,O,X,O,X,X,O,O
IZLTSJO,O,X,O,O,X,X,O,X
IZLTSOJ,X,X,O,X,X,X,O,X
IZLTOJS,X,O,X,O,X,X,O,O
IZLTOSJ,X,X,X,X,X,X,O,O
IZLJTSO,O,O,X,O,X,X,O,X
IZLJTOS,X,O,X,O,X,X,O,O
IZLJSTO,O,X,X,X,X,X,O,X
IZLJSOT,O,X,X,X,X,X,O,X
IZLJOTS,X,X,X,O,X,X,O,O
IZLJOST,O,X,X,X,X,X,O,O
IZLSTJO,O,X,O,O,X,X,O,X
IZLSTOJ,O,X,O,X,X,X,O,X
IZLSJTO,O,X,O,X,X,X,O,X
IZLSJOT,O,X,X,X,X,X,O,X
IZLSOTJ,X,X,O,X,X,X,O,X
IZLSOJT,O,X,X,X,X,X,O,X
IZLOTJS,X,O,X,O,X,X,O,O
IZLOTSJ,X,X,X,X,X,X,O,O
IZLOJTS,X,O,X,X,X,X,O,O
IZLOJST,O,X,X,X,X,X,O,O
IZLOSTJ,X,X,X,X,X,X,O,O
IZLOSJT,O,X,X,X,X,X,O,O
IZJTLSO,O,O,O,O,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,O
IZJTSLO,X,O,O,O,X,X,X,X
IZJTSOL,X,O,O,O,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X
IZJTOSL,X,O,O,O,X,X,X,X
IZJLTSO,O,O,O,O,X,X,X,X
IZJLTOS,X,O,X,O,X,X,X,O
IZJLSTO,O,X,O,X,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,O
IZJLOST,O,X,X,X,X,X,X,O
IZJSTLO,O,O,O,X,X,X,X,X
IZJSTOL,O,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X,X
IZJSOTL,X,O,O,X,O,X,X,X
IZJSOLT,O,X,O,X,O,X,X,X
IZJOTLS,O,O,X,O,O,X,X,X
IZJOTSL,X,O,O,O,O,X,X,X
IZJOLTS,O,O,X,O,O,X,X,X
IZJOLST,O,X,X,X,O,X,X,X
IZJOSTL,X,O,O,X,O,X,X,X
IZJOSLT,O,X,O,X,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X
IZSTJOL,O,O,O,O,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X
IZSLTJO,O,O,O,O,X,X,O,X
IZSLTOJ,O,O,O,X,X,X,O,X
IZSLJTO,O,O,O,X,X,X,O,X
IZSLJOT,O,O,O,X,X,X,O,X
IZSLOTJ,X,O,O,X,X,X,O,X
IZSLOJT,O,O,O,X,X,X,O,X
IZSJTLO,O,O,O,X,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X
IZSJLOT,O,O,O,X,X,X,X,X
IZSJOTL,O,O,O,X,O,X,X,X
IZSJOLT,O,O,O,X,O,X,X,X
IZSOTLJ,O,O,O,X,O,X,X,X
IZSOTJL,O,O,O,X,O,X,X,X
IZSOLTJ,O,O,O,X,O,X,O,X
IZSOLJT,O,O,O,X,O,X,O,X
IZSOJTL,O,O,O,X,O,X,X,X
IZSOJLT,O,O,O,X,O,X,X,X
IZOTLJS,O,O,X,O,O,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,X
IZOTJLS,O,O,O,O,O,X,X,X
IZOTJSL,X,O,O,O,O,X,X,X
IZOTSLJ,O,O,O,X,O,X,X,X
IZOTSJL,O,O,O,X,O,X,X,X
IZOLTJS,O,O,X,O,O,X,O,X
IZOLTSJ,O,X,O,X,O,X,O,X
IZOLJTS,O,O,X,X,O,X,O,X
IZOLJST,O,X,X,X,O,X,O,X
IZOLSTJ,O,X,O,X,O,X,O,X
IZOLSJT,O,X,O,X,O,X,O,X
IZOJTLS,O,O,O,X,O,X,X,X
IZOJTSL,X,O,O,X,O,X,X,X
IZOJLTS,O,O,O,X,O,X,X,X
IZOJLST,O,X,O,X,O,X,X,X
IZOJSTL,O,O,O,X,O,X,X,X
IZOJSLT,O,O,O,X,O,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X
IZOSTJL,O,O,O,X,O,X,X,X
IZOSLTJ,O,O,O,X,O,X,O,X
IZOSLJT,O,O,O,X,O,X,O,X
IZOSJTL,O,O,O,X,O,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X
IOTLJSZ,X,X,X,O,O,X,O,X
IOTLJZS,O,X,X,O,O,X,O,X
IOTLSJZ,O,X,X,X,O,X,O,X
IOTLSZJ,O,X,X,X,O,X,O,X
IOTLZJS,O,X,X,O,O,X,O,X
IOTLZSJ,O,X,O,X,O,X,O,X
IOTJLSZ,X,X,X,O,O,X,X,X
IOTJLZS,O,X,O,O,O,X,X,X
IOTJSLZ,X,X,X,O,O,X,X,X
IOTJSZL,X,X,O,O,O,X,X,X
IOTJZLS,O,X,O,O,O,X,X,X
IOTJZSL,X,X,O,O,O,X,X,X
IOTSLJZ,O,X,X,X,O,X,O,X
IOTSLZJ,O,X,X,X,O,X,O,X
IOTSJLZ,O,X,X,X,O,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X
IOTSZLJ,O,X,O,X,O,X,X,X
IOTSZJL,O,X,O,X,O,X,X,X
IOTZLJS,O,O,X,O,O,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X
IOTZJLS,O,O,O,O,O,X,X,X
IOTZJSL,X,O,O,O,O,X,X,X
IOTZSLJ,O,X,O,X,O,X,X,X
IOTZSJL,O,O,O,X,O,X,X,X
IOLTJSZ,X,X,X,O,O,X,O,X
IOLTJZS,O,X,X,O,O,X,O,X
IOLTSJZ,O,X,X,X,O,X,O,X
IOLTSZJ,O,X,X,X,O,X,O,X
IOLTZJS,O,X,X,O,O,X,O,X
IOLTZSJ,O,X,O,X,O,X,O,X
IOLJTSZ,X,X,X,X,O,X,O,X
IOLJTZS,O,X,X,X,O,X,O,X
IOLJSTZ,O,X,X,X,O,X,O,X
IOLJSZT,O,X,X,X,O,X,O,X
IOLJZTS,O,X,X,X,O,X,O,X
IOLJZST,O,X,X,X,O,X,O,X
IOLSTJZ,O,X,X,X,O,X,O,X
IOLSTZJ,O,X,X,X,O,X,O,X
IOLSJTZ,O,X,X,X,O,X,O,X
IOLSJZT,O,X,X,X,O,X,O,X
IOLSZTJ,O,X,X,X,O,X,O,X
IOLSZJT,O,X,X,X,O,X,O,X
IOLZTJS,O,O,X,O,O,X,O,X
IOLZTSJ,O,X,O,X,O,X,O,X
IOLZJTS,O,O,X,X,O,X,O,X
IOLZJST,O,X,X,X,O,X,O,X
IOLZSTJ,O,X,O,X,O,X,O,X
IOLZSJT,O,X,O,X,O,X,O,X
IOJTLSZ,X,X,X,X,O,X,X,X
IOJTLZS,O,X,O,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X
IOJTSZL,X,X,O,X,O,X,X,X
IOJTZLS,O,X,O,X,O,X,X,X
IOJTZSL,X,X,O,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X,O,X
IOJLTZS,O,X,O,X,O,X,O,X
IOJLSTZ,O,X,X,X,O,X,O,X
IOJLSZT,O,X,X,X,O,X,O,X
IOJLZTS,O,X,O,X,O,X,O,X
IOJLZST,O,X,O,X,O,X,O,X
IOJSTLZ,O,X,X,X,O,X,X,X
IOJSTZL,O,X,O,X,O,X,X,X
IOJSLTZ,O,X,X,X,O,X,O,X
IOJSLZT,O,X,X,X,O,X,O,X
IOJSZTL,O,X,O,X,O,X,X,X
IOJSZLT,O,X,O,X,O,X,X,X
IOJZTLS,O,O,O,X,O,X,X,X
IOJZTSL,X,O,O,X,O,X,X,X
IOJZLTS,O,O,O,X,O,X,X,X
IOJZLST,O,X,O,X,O,X,X,X
IOJZSTL,O,O,O,X,O,X,X,X
IOJZSLT,O,X,O,X,O,X,X,X
IOSTLJZ,O,X,X,X,O,X,O,X
IOSTLZJ,O,X,X,X,O,X,O,X
IOSTJLZ,O,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,O,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X
IOSTZJL,O,O,O,X,O,X,X,X
IOSLTJZ,O,X,X,X,O,X,O,X
IOSLTZJ,O,O,X,X,O,X,O,X
IOSLJTZ,O,X,X,X,O,X,O,X
IOSLJZT,O,O,X,X,O,X,O,X
IOSLZTJ,O,O,X,X,O,X,O,X
IOSLZJT,O,O,X,X,O,X,O,X
IOSJTLZ,O,X,X,X,O,X,X,X
IOSJTZL,O,X,X,X,O,X,X,X
IOSJLTZ,O,X,X,X,O,X,O,X
IOSJLZT,O,X,X,X,O,X,O,X
IOSJZTL,O,O,X,X,O,X,X,X
IOSJZLT,O,O,X,X,O,X,X,X
IOSZTLJ,O,O,O,X,O,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X
IOSZLTJ,O,O,O,X,O,X,O,X
IOSZLJT,O,O,O,X,O,X,O,X
IOSZJTL,O,O,O,X,O,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,O,O,X,O,O,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X
IOZTJLS,O,O,O,O,O,X,X,X
IOZTJSL,X,O,O,O,O,X,X,X
IOZTSLJ,O,O,O,X,O,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X
IOZLTJS,O,O,X,O,O,X,O,X
IOZLTSJ,O,X,O,X,O,X,O,X
IOZLJTS,O,O,X,X,O,X,O,X
IOZLJST,O,X,X,X,O,X,O,X
IOZLSTJ,O,X,O,X,O,X,O,X
IOZLSJT,O,X,O,X,O,X,O,X
IOZJTLS,O,O,O,X,O,X,X,X
IOZJTSL,X,O,O,X,O,X,X,X
IOZJLTS,O,O,O,X,O,X,X,X
IOZJLST,O,X,O,X,O,X,X,X
IOZJSTL,O,O,O,X,O,X,X,X
IOZJSLT,O,O,O,X,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X
IOZSTJL,O,O,O,X,O,X,X,X
IOZSLTJ,O,O,O,X,O,X,O,X
IOZSLJT,O,O,O,X,O,X,O,X
IOZSJTL,O,O,O,X,O,X,X,X
IOZSJLT,O,O,O,X,O,X,X,X
LTIJSZO,X,X,X,O,X,O,O,X
LTIJSOZ,X,X,X,O,X,O,O,X
LTIJZSO,O,X,X,O,X,O,O,X
LTIJZOS,X,X,X,O,X,O,O,X
LTIJOSZ,X,X,X,O,X,O,O,X
LTIJOZS,X,X,X,O,X,O,O,X
LTISJZO,O,X,X,O,X,O,O,X
LTISJOZ,X,X,X,O,X,O,O,X
LTISZJO,O,X,X,O,X,O,O,X
LTISZOJ,X,X,X,X,X,X,O,X
LTISOJZ,X,X,X,X,X,O,O,X
LTISOZJ,X,X,X,X,X,X,O,X
LTIZJSO,O,O,X,O,X,O,O,X
LTIZJOS,X,O,X,O,X,O,O,O
LTIZSJO,O,X,O,O,X,O,O,X
LTIZSOJ,X,X,O,X,X,X,O,X
LTIZOJS,X,O,X,O,X,X,O,O
LTIZOSJ,X,X,X,X,X,X,O,O
LTIOJSZ,X,X,X,O,X,O,O,X
LTIOJZS,X,X,X,O,X,O,O,O
LTIOSJZ,X,X,X,X,X,O,O,X
LTIOSZJ,X,X,X,X,X,X,O,O
LTIOZJS,X,X,X,O,X,X,O,O
LTIOZSJ,X,X,X,X,X,X,O,O
LTJISZO,X,X,X,O,X,O,X,X
LTJISOZ,X,X,X,O,X,O,X,X
LTJIZSO,O,X,O,O,X,O,X,X
LTJIZOS,X,X,X,O,X,O,X,X
LTJIOSZ,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,O,X,O,X,X
LTJSIZO,O,X,X,O,X,O,X,X
LTJSIOZ,O,X,X,O,X,O,X,X
LTJSZIO,O,X,X,O,X,O,X,X
LTJSZOI,O,X,X,O,X,O,X,X
LTJSOIZ,O,X,X,O,X,O,X,X
LTJSOZI,O,X,X,O,X,O,X,X
LTJZISO,O,X,O,O,X,O,X,X
LTJZIOS,X,X,X,O,X,O,X,O
LTJZSIO,O,X,O,O,X,O,X,X
LTJZSOI,O,X,O,O,X,O,X,O
LTJZOIS,X,X,X,O,X,O,X,O
LTJZOSI,X,X,X,O,X,O,X,O
LTJOISZ,X,X,X,O,X,O,X,X
LTJOIZS,X,X,X,O,X,O,X,O
LTJOSIZ,X,X,X,O,X,O,X,X
LTJOSZI,X,X,X,O,X,O,X,X
LTJOZIS,X,X,X,O,X,O,X,O
LTJOZSI,X,X,X,O,X,O,X,O
LTSIJZO,O,O,X,O,X,O,O,X
LTSIJOZ,O,X,X,O,X,O,O,X
LTSIZJO,O,O,X,O,X,O,O,X
LTSIZOJ,O,O,X,X,X,X,O,X
LTSIOJZ,O,X,X,X,X,O,O,X
LTSIOZJ,O,O,X,X,X,X,O,X
LTSJIZO,O,O,X,O,X,O,X,X
LTSJIOZ,O,X,X,O,X,O,X,X
LTSJZIO,O,O,X,O,X,O,X,X
LTSJZOI,O,O,X,O,X,O,X,X
LTSJOIZ,O,X,X,O,X,O,X,X
LTSJOZI,O,X,X,O,X,O,X,X
LTSZIJO,O,O,X,O,X,O,X,X
LTSZIOJ,O,O,X,X,X,X,X,X
LTSZJIO,O,O,X,O,X,O,X,X
LTSZJOI,O,O,X,O,X,O,X,O
LTSZOIJ,O,O,X,X,X,X,X,O
LTSZOJI,O,O,X,X,X,X,X,O
LTSOIJZ,O,X,X,X,X,O,X,X
LTSOIZJ,O,O,X,X,X,X,X,O
LTSOJIZ,O,X,X,X,X,O,X,X
LTSOJZI,O,X,X,X,X,O,X,X
LTSOZIJ,O,O,X,X,X,X,X,O
LTSOZJI,O,O,X,X,X,X,X,O
LTZIJSO,O,O,X,O,X,O,X,X
LTZIJOS,X,O,X,O,X,O,X,O
LTZISJO,O,X,O,O,X,O,X,X
LTZISOJ,X,X,O,X,X,X,X,X
LTZIOJS,X,O,X,O,X,X,X,O
LTZIOSJ,X,X,X,X,X,X,X,O
LTZJISO,O,O,O,O,X,O,X,X
LTZJIOS,X,O,X,O,X,O,X,O
LTZJSIO,O,O,O,O,X,O,X,X
LTZJSOI,O,O,O,O,X,O,X,O
LTZJOIS,X,X,X,O,X,O,X,O
LTZJOSI,X,X,X,O,X,O,X,O
LTZSIJO,O,O,O,O,X,O,X,X
LTZSIOJ,O,O,O,X,X,X,X,X
LTZSJIO,O,O,O,O,X,O,X,X
LTZSJOI,O,O,O,O,X,O,X,O
LTZSOIJ,O,O,O,X,X,X,X,O
LTZSOJI,O,O,O,X,X,X,X,O
LTZOIJS,X,O,X,O,X,X,X,O
LTZOISJ,X,X,O,X,X,X,X,O
LTZOJIS,X,O,O,O,X,X,X,O
LTZOJSI,X,O,O,O,X,X,X,O
LTZOSIJ,X,O,O,X,X,X,X,O
LTZOSJI,X,O,O,X,X,X,X,O
LTOIJSZ,X,X,X,O,X,O,X,X
LTOIJZS,X,X,X,O,X,O,X,O
LTOISJZ,X,X,X,X,X,O,X,X
LTOISZJ,X,X,X,X,X,X,X,O
LTOIZJS,X,X,X,O,X,X,X,O
LTOIZSJ,X,X,O,X,X,X,X,O
LTOJISZ,X,X,X,O,X,O,X,X
LTOJIZS,X,X,O,O,X,O,X,O
LTOJSIZ,X,X,X,O,X,O,X,X
LTOJSZI,X,X,X,O,X,O,X,X
LTOJZIS,X,X,O,O,X,O,X,O
LTOJZSI,X,X,O,O,X,O,X,O
LTOSIJZ,X,X,X,X,X,O,X,X
LTOSIZJ,X,X,X,X,X,X,X,O
LTOSJIZ,X,X,X,X,X,O,X,X
LTOSJZI,X,X,X,X,X,O,X,X
LTOSZIJ,X,X,X,X,X,X,X,O
LTOSZJI,X,X,X,X,X,X,X,O
LTOZIJS,X,X,X,O,X,X,X,O
LTOZISJ,X,X,O,X,X,X,X,O
LTOZJIS,X,X,O,O,X,X,X,O
LTOZJSI,X,X,O,O,X,X,X,O
LTOZSIJ,X,X,O,X,X,X,X,O
LTOZSJI,X,X,O,X,X,X,X,O
LITJSZO,X,X,X,O,X,X,O,X
LITJSOZ,X,X,X,O,X,X,O,X
LITJZSO,O,X,X,O,X,X,O,X
LITJZOS,X,X,X,O,X,X,O,X
LITJOSZ,X,X,X,O,X,X,O,X
LITJOZS,X,X,X,O,X,X,O,X
LITSJZO,O,X,X,O,X,X,O,X
LITSJOZ,X,X,X,O,X,X,O,X
LITSZJO,O,X,X,O,X,X,O,X
LITSZOJ,X,X,X,X,X,X,O,X
LITSOJZ,X,X,X,X,X,X,O,X
LITSOZJ,X,X,X,X,X,X,O,X
LITZJSO,O,O,X,O,X,X,O,X
LITZJOS,X,O,X,O,X,X,O,O
LITZSJO,O,X,O,O,X,X,O,X
LITZSOJ,X,X,O,X,X,X,O,X
LITZOJS,X,O,X,O,X,X,O,O
LITZOSJ,X,X,X,X,X,X,O,O
LITOJSZ,X,X,X,O,X,X,O,X
LITOJZS,X,X,X,O,X,X,O,O
LITOSJZ,X,X,X,X,X,X,O,X
LITOSZJ,X,X,X,X,X,X,O,O
LITOZJS,X,X,X,O,X,X,O,O
LITOZSJ,X,X,X,X,X,X,O,O
LIJTSZO,X,X,X,O,X,X,O,X
LIJTSOZ,X,X,X,O,X,X,O,X
LIJTZSO,O,X,X,O,X,X,O,X
LIJTZOS,X,X,X,O,X,X,O,X
LIJTOSZ,X,X,X,O,X,X,O,X
LIJTOZS,X,X,X,O,X,X,O,X
LIJSTZO,O,X,X,X,X,X,O,X
LIJSTOZ,O,X,X,X,X,X,O,X
LIJSZTO,O,X,X,X,X,X,O,X
LIJSZOT,O,X,X,X,X,X,O,X
LIJSOTZ,X,X,X,X,O,O,O,X
LIJSOZT,O,X,X,X,O,X,O,X
LIJZTSO,O,X,X,O,X,X,O,X
LIJZTOS,X,X,X,O,X,X,O,X
LIJZSTO,O,X,X,X,X,X,O,X
LIJZSOT,O,X,X,X,X,X,O,X
LIJZOTS,X,X,X,O,X,X,O,X
LIJZOST,O,X,X,X,X,X,O,X
LIJOTSZ,X,X,X,O,O,X,O,X
LIJOTZS,O,X,X,O,O,X,O,X
LIJOSTZ,X,X,X,X,O,O,O,X
LIJOSZT,O,X,X,X,O,X,O,X
LIJOZTS,O,X,X,O,O,X,O,X
LIJOZST,O,X,X,X,O,X,O,X
LISTJZO,O,X,X,O,X,X,O,X
LISTJOZ,O,X,X,O,X,X,O,X
LISTZJO,O,X,X,O,X,X,O,X
LISTZOJ,O,X,X,X,X,X,O,X
LISTOJZ,O,X,X,X,X,X,O,X
LISTOZJ,O,X,X,X,X,X,O,X
LISJTZO,O,X,X,X,X,X,O,X
LISJTOZ,O,X,X,X,X,X,O,X
LISJZTO,O,X,X,X,X,X,O,X
LISJZOT,O,X,X,X,X,X,O,X
LISJOTZ,O,X,X,X,O,O,O,X
LISJOZT,O,X,X,X,O,X,O,X
LISZTJO,O,X,X,O,X,X,O,X
LISZTOJ,O,X,X,X,X,X,O,X
LISZJTO,O,X,X,X,X,X,O,X
LISZJOT,O,X,X,X,X,X,O,X
LISZOTJ,X,X,X,X,X,X,O,X
LISZOJT,O,X,X,X,X,X,O,X
LISOTJZ,O,X,X,X,O,X,O,X
LISOTZJ,O,X,X,X,O,X,O,X
LISOJTZ,O,X,X,X,O,X,O,X
LISOJZT,O,X,X,X,O,X,O,X
LISOZTJ,O,X,X,X,O,X,O,X
LISOZJT,O,X,X,X,O,X,O,X
LIZTJSO,O,O,X,O,X,X,O,X
LIZTJOS,X,O,X,O,X,X,O,O
LIZTSJO,O,X,O,O,X,X,O,X
LIZTSOJ,X,X,O,X,X,X,O,X
LIZTOJS,X,O,X,O,X,X,O,O
LIZTOSJ,X,X,X,X,X,X,O,O
LIZJTSO,O,O,X,O,X,X,O,X
LIZJTOS,X,O,X,O,X,X,O,O
LIZJSTO,O,X,X,X,X,X,O,X
LIZJSOT,O,X,X,X,X,X,O,X
LIZJOTS,X,X,X,O,X,X,O,O
LIZJOST,O,X,X,X,X,X,O,O
LIZSTJO,O,X,O,O,X,X,O,X
LIZSTOJ,O,X,O,X,X,X,O,X
LIZSJTO,O,X,O,X,X,X,O,X
LIZSJOT,O,X,X,X,X,X,O,X
LIZSOTJ,X,X,O,X,X,X,O,X
LIZSOJT,O,X,X,X,X,X,O,X
LIZOTJS,X,O,X,O,X,X,O,O
LIZOTSJ,X,X,X,X,X,X,O,O
LIZOJTS,X,O,X,X,X,X,O,O
LIZOJST,O,X,X,X,X,X,O,O
LIZOSTJ,X,X,X,X,X,X,O,O
LIZOSJT,O,X,X,X,X,X,O,O
LIOTJSZ,X,X,X,O,O,X,O,X
LIOTJZS,O,X,X,O,O,X,O,O
LIOTSJZ,O,X,X,X,O,X,O,X
LIOTSZJ,O,X,X,X,O,X,O,O
LIOTZJS,O,X,X,O,O,X,O,O
LIOTZSJ,O,X,X,X,O,X,O,O
LIOJTSZ,X,X,X,X,O,X,O,X
LIOJTZS,O,X,X,X,O,X,O,O
LIOJSTZ,O,X,X,X,O,X,O,X
LIOJSZT,O,X,X,X,O,X,O,X
LIOJZTS,O,X,X,X,O,X,O,O
LIOJZST,O,X,X,X,O,X,O,O
LIOSTJZ,O,X,X,X,O,X,O,X
