sequence,v115@PhE8EeF8EeA8Je2EJvhFRgBCjBfrBlmB0sBzrB,v115@PhE8EeF8EeA8JeT/IvhF/lBamBWnBxnB1wB0sB,v115@PhE8EeF8EeA8JeT/IvhFmgBfnBxiB0lBqsB1wB,v115@PhE8EeF8EeA8JeT/IvhF/lB1mBxiBqsBmrBUrB,v115@PhE8EeF8EeA8JeT/IvhFxgBymB+nB0lB1wBXtB,v115@PhE8EeF8EeA8JeT/IvhFxgB6nBllBcrBesBXtB,v115@PhE8EeF8EeA8JeT/IvhF2lBCjBUnBfrBlmBRxB
IZTOSJL,X,O,X,X,O,O,X
IZLTJSO,X,X,O,X,O,X,X
IZLTJOS,X,X,O,X,O,X,O
IZLTSJO,X,X,O,X,O,X,X
IZLTSOJ,X,X,O,X,O,X,X
IZLTOJS,X,X,O,X,O,X,O
IZLTOSJ,X,X,O,X,O,X,X
IZLJTSO,O,X,O,O,X,X,X
IZLJTOS,X,X,O,O,X,X,O
IZLJSTO,O,X,X,O,X,X,X
IZLJSOT,O,X,X,O,X,X,O
IZLJOTS,X,X,O,O,X,X,O
IZLJOST,O,X,X,O,X,X,O
IZLSTJO,O,O,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X
IZLSJOT,O,X,X,O,X,X,O
IZLSOTJ,O,O,X,X,X,X,X
IZLSOJT,O,X,X,O,X,X,O
IZLOTJS,X,X,O,X,O,X,O
IZLOTSJ,X,X,O,X,O,X,X
IZLOJTS,X,X,O,O,X,X,O
IZLOJST,X,X,X,O,X,X,O
IZLOSTJ,X,O,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,O
IZJTLSO,O,X,O,X,O,O,X
IZJTLOS,X,X,O,X,O,O,O
IZJTSLO,O,X,X,X,O,O,X
IZJTSOL,O,X,X,X,O,O,X
IZJTOLS,X,X,O,X,O,O,O
IZJTOSL,X,X,X,X,O,O,X
IZJLTSO,O,X,O,X,X,O,X
IZJLTOS,X,X,O,X,X,O,O
IZJLSTO,O,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,O
IZJLOTS,X,X,O,X,X,O,O
IZJLOST,O,X,X,X,X,X,O
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,O
IZJOTLS,X,X,O,X,O,O,O
IZJOTSL,X,X,X,X,O,O,X
IZJOLTS,X,X,O,X,X,O,O
IZJOLST,O,X,X,X,X,X,O
IZJOSTL,O,O,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,O
IZSTLJO,O,O,X,X,O,X,X
IZSTLOJ,O,O,X,X,O,X,X
IZSTJLO,O,O,X,X,O,X,X
IZSTJOL,O,O,X,X,O,X,X
IZSTOLJ,O,O,X,X,O,X,X
IZSTOJL,O,O,X,X,O,X,X
IZSLTJO,O,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,X
IZSLJOT,O,X,X,O,X,X,O
IZSLOTJ,O,O,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,O
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,O
IZSJOTL,O,O,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,O
IZSOTLJ,O,O,X,X,O,X,X
IZSOTJL,O,O,X,X,O,X,X
IZSOLTJ,O,O,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,O
IZSOJTL,O,O,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,O
IZOTLJS,X,X,O,X,O,O,O
IZOTLSJ,X,X,O,X,O,X,X
IZOTJLS,X,X,O,X,O,O,O
IZOTJSL,X,O,X,X,O,O,X
IZOTSLJ,X,O,X,X,O,X,X
IZOTSJL,X,O,X,X,O,O,X
IZOLTJS,X,X,O,X,O,X,O
IZOLTSJ,X,X,O,X,O,X,X
IZOLJTS,X,X,O,O,X,X,O
IZOLJST,X,X,X,O,X,X,O
IZOLSTJ,X,O,X,X,X,X,X
IZOLSJT,X,X,X,O,X,X,O
IZOJTLS,X,X,O,X,O,O,O
IZOJTSL,X,X,X,X,O,O,X
IZOJLTS,X,X,O,X,X,O,O
IZOJLST,X,X,X,X,X,X,O
IZOJSTL,X,O,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,O
IZOSTLJ,X,O,X,X,O,X,X
IZOSTJL,X,O,X,X,O,X,X
IZOSLTJ,X,O,X,X,X,X,X
IZOSLJT,X,X,X,O,X,X,O
IZOSJTL,X,O,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O
IOTLJSZ,X,O,X,O,X,X,X
IOTLJZS,X,X,X,O,O,X,O
IOTLSJZ,X,O,O,O,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,X,X,O,X,O,O,O
IOTLZSJ,X,X,O,X,O,X,X
IOTJLSZ,X,O,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,O
IOTJSLZ,X,O,X,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X
IOTJZLS,X,X,X,X,O,O,O
IOTJZSL,X,O,X,X,O,O,X
IOTSLJZ,X,O,X,O,X,X,X
IOTSLZJ,X,O,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,X
IOTSZJL,X,O,X,X,X,O,X
IOTZLJS,X,X,O,X,O,O,O
IOTZLSJ,X,X,O,X,O,X,X
IOTZJLS,X,X,O,X,O,O,O
IOTZJSL,X,O,X,X,O,O,X
IOTZSLJ,X,O,X,X,O,X,X
IOTZSJL,X,O,X,X,O,O,X
IOLTJSZ,X,O,X,O,X,X,X
IOLTJZS,X,X,X,O,X,X,O
IOLTSJZ,X,O,O,O,X,X,X
IOLTSZJ,X,O,O,X,X,X,X
IOLTZJS,X,X,O,X,X,X,O
IOLTZSJ,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X
IOLJTZS,X,X,X,O,X,X,O
IOLJSTZ,X,X,X,O,X,X,X
IOLJSZT,X,X,X,O,X,X,O
IOLJZTS,X,X,X,O,X,X,O
IOLJZST,X,X,X,O,X,X,O
IOLSTJZ,X,O,X,O,X,X,X
IOLSTZJ,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X
IOLSJZT,X,X,X,O,X,X,O
IOLSZTJ,X,O,X,X,X,X,X
IOLSZJT,X,X,X,O,X,X,O
IOLZTJS,X,X,O,X,X,X,O
IOLZTSJ,X,X,O,X,X,X,X
IOLZJTS,X,X,O,O,X,X,O
IOLZJST,X,X,X,O,X,X,O
IOLZSTJ,X,O,X,X,X,X,X
IOLZSJT,X,X,X,O,X,X,O
IOJTLSZ,X,O,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,O
IOJTSLZ,X,O,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,O
IOJTZSL,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X
IOJLTZS,X,X,X,O,X,X,O
IOJLSTZ,X,X,X,O,X,X,X
IOJLSZT,X,X,X,O,X,X,O
IOJLZTS,X,X,X,O,X,O,O
IOJLZST,X,X,X,O,X,X,O
IOJSTLZ,X,O,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X
IOJSLZT,X,X,X,O,X,X,O
IOJSZTL,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,O
IOJZTLS,X,X,X,X,X,O,O
IOJZTSL,X,X,X,X,X,O,X
IOJZLTS,X,X,X,X,X,O,O
IOJZLST,X,X,X,X,X,X,O
IOJZSTL,X,O,X,X,X,X,X
IOJZSLT,X,X,X,X,X,X,O
IOSTLJZ,X,O,X,O,X,X,X
IOSTLZJ,X,O,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,X
IOSTZJL,X,O,X,X,X,X,X
IOSLTJZ,X,O,X,O,X,X,X
IOSLTZJ,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X
IOSLJZT,X,X,X,O,X,X,O
IOSLZTJ,X,O,X,X,X,X,X
IOSLZJT,X,X,X,O,X,X,O
IOSJTLZ,X,O,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X
IOSJLZT,X,X,X,O,X,X,O
IOSJZTL,X,O,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,O
IOSZTLJ,X,O,X,X,X,X,X
IOSZTJL,X,O,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X
IOSZLJT,X,X,X,O,X,X,O
IOSZJTL,X,O,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,O
IOZTLJS,X,X,O,X,O,O,O
IOZTLSJ,X,X,O,X,O,X,X
IOZTJLS,X,X,O,X,O,O,O
IOZTJSL,X,O,X,X,O,O,X
IOZTSLJ,X,O,X,X,O,X,X
IOZTSJL,X,O,X,X,O,O,X
IOZLTJS,X,X,O,X,O,X,O
IOZLTSJ,X,X,O,X,O,X,X
IOZLJTS,X,X,O,O,X,X,O
IOZLJST,X,X,X,O,X,X,O
IOZLSTJ,X,O,X,X,X,X,X
IOZLSJT,X,X,X,O,X,X,O
IOZJTLS,X,X,O,X,O,O,O
IOZJTSL,X,X,X,X,O,O,X
IOZJLTS,X,X,O,X,X,O,O
IOZJLST,X,X,X,X,X,X,O
IOZJSTL,X,O,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,O
IOZSTLJ,X,O,X,X,O,X,X
IOZSTJL,X,O,X,X,O,X,X
IOZSLTJ,X,O,X,X,X,X,X
IOZSLJT,X,X,X,O,X,X,O
IOZSJTL,X,O,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O
LTIJSZO,X,O,X,O,X,X,X
LTIJSOZ,X,O,X,O,X,X,X
LTIJZSO,X,X,X,O,O,X,X
LTIJZOS,X,X,X,O,O,X,O
LTIJOSZ,X,O,X,O,X,X,X
LTIJOZS,X,X,X,O,O,X,O
LTISJZO,X,O,O,O,X,X,X
LTISJOZ,X,O,O,O,X,X,X
LTISZJO,X,O,O,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X
LTISOJZ,X,O,O,O,X,X,X
LTISOZJ,X,O,O,X,X,X,X
LTIZJSO,X,X,O,X,O,O,X
LTIZJOS,X,X,O,X,O,O,O
LTIZSJO,X,X,O,X,O,X,X
LTIZSOJ,X,X,O,X,O,X,X
LTIZOJS,X,X,O,X,O,O,O
LTIZOSJ,X,X,O,X,O,X,X
LTIOJSZ,X,O,X,O,X,X,X
LTIOJZS,X,X,X,O,O,X,O
LTIOSJZ,X,O,O,O,X,X,X
LTIOSZJ,X,O,O,X,X,X,X
LTIOZJS,X,X,O,X,O,O,O
LTIOZSJ,X,X,O,X,O,X,X
LTJISZO,O,O,X,O,X,X,X
LTJISOZ,X,O,X,O,X,X,X
LTJIZSO,O,X,X,O,O,X,X
LTJIZOS,X,X,X,O,O,X,O
LTJIOSZ,X,O,X,O,X,X,X
LTJIOZS,X,X,X,O,O,X,O
LTJSIZO,O,O,O,O,X,X,X
LTJSIOZ,X,O,O,O,X,X,X
LTJSZIO,O,O,O,O,O,X,X
LTJSZOI,O,O,O,O,O,X,X
LTJSOIZ,X,O,O,O,X,X,X
LTJSOZI,X,O,O,O,O,X,X
LTJZISO,O,X,O,O,O,X,X
LTJZIOS,X,X,O,O,O,X,X
LTJZSIO,O,X,O,O,O,X,X
LTJZSOI,O,X,O,O,O,X,X
LTJZOIS,X,X,O,O,O,X,X
LTJZOSI,X,X,O,O,O,X,X
LTJOISZ,X,O,X,O,X,X,X
LTJOIZS,X,X,X,O,O,X,O
LTJOSIZ,X,O,O,O,X,X,X
LTJOSZI,X,O,O,O,O,X,X
LTJOZIS,X,X,O,O,O,X,X
LTJOZSI,X,X,O,O,O,X,X
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,X,O,O,O,X,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,X,O,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X,X
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,X,O,O,O,X,X,X
LTSJZIO,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,X,X
LTSJOIZ,X,O,O,O,X,X,X
LTSJOZI,X,O,O,O,O,X,X
LTSZIJO,O,O,O,X,O,X,X
LTSZIOJ,O,O,O,X,O,X,X
LTSZJIO,O,O,O,X,O,X,X
LTSZJOI,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,X,O,X,X
LTSZOJI,O,O,O,X,O,X,X
LTSOIJZ,X,O,O,O,X,X,X
LTSOIZJ,X,O,O,X,X,X,X
LTSOJIZ,X,O,O,O,X,X,X
LTSOJZI,X,O,O,O,O,X,X
LTSOZIJ,X,O,O,X,O,X,X
LTSOZJI,X,O,O,X,O,X,X
LTZIJSO,X,X,O,X,O,O,X
LTZIJOS,X,X,O,X,O,O,X
LTZISJO,X,X,O,X,O,X,X
LTZISOJ,X,X,O,X,O,X,X
LTZIOJS,X,X,O,X,O,O,X
LTZIOSJ,X,X,O,X,O,X,X
LTZJISO,O,X,O,X,O,O,X
LTZJIOS,X,X,O,X,O,O,X
LTZJSIO,O,X,O,X,O,O,X
LTZJSOI,O,X,O,X,O,O,X
LTZJOIS,X,X,O,X,O,O,X
LTZJOSI,X,X,O,X,O,O,X
LTZSIJO,O,X,O,X,O,X,X
LTZSIOJ,O,X,O,X,O,X,X
LTZSJIO,O,X,O,X,O,X,X
LTZSJOI,O,X,O,X,O,X,X
LTZSOIJ,O,X,O,X,O,X,X
LTZSOJI,O,X,O,X,O,X,X
LTZOIJS,X,X,O,X,O,O,X
LTZOISJ,X,X,O,X,O,X,X
LTZOJIS,X,X,O,X,O,O,X
LTZOJSI,X,X,O,X,O,O,X
LTZOSIJ,X,X,O,X,O,X,X
LTZOSJI,X,X,O,X,O,X,X
LTOIJSZ,X,O,X,O,X,X,X
LTOIJZS,X,X,X,O,O,X,O
LTOISJZ,X,O,O,O,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,X,X,O,X,O,O,O
LTOIZSJ,X,X,O,X,O,X,X
LTOJISZ,X,O,X,O,X,X,X
LTOJIZS,X,X,X,O,O,X,O
LTOJSIZ,X,O,O,O,X,X,X
LTOJSZI,X,O,O,O,O,X,X
LTOJZIS,X,X,O,O,O,X,X
LTOJZSI,X,X,O,O,O,X,X
LTOSIJZ,X,O,O,O,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,O,O,O,X,X,X
LTOSJZI,X,O,O,O,O,X,X
LTOSZIJ,X,O,O,X,O,X,X
LTOSZJI,X,O,O,X,O,X,X
LTOZIJS,X,X,O,X,O,O,X
LTOZISJ,X,X,O,X,O,X,X
LTOZJIS,X,X,O,X,O,O,X
LTOZJSI,X,X,O,X,O,O,X
LTOZSIJ,X,X,O,X,O,X,X
LTOZSJI,X,X,O,X,O,X,X
LITJSZO,X,O,X,O,X,X,X
LITJSOZ,X,O,X,O,X,X,X
LITJZSO,X,X,X,O,X,X,X
LITJZOS,X,X,X,O,X,X,O
LITJOSZ,X,O,X,O,X,X,X
LITJOZS,X,X,X,O,X,X,O
LITSJZO,X,O,O,O,X,X,X
LITSJOZ,X,O,O,O,X,X,X
LITSZJO,X,O,O,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X
LITSOJZ,X,O,O,O,X,X,X
LITSOZJ,X,O,O,X,X,X,X
LITZJSO,X,X,O,X,X,X,X
LITZJOS,X,X,O,X,X,X,O
LITZSJO,X,X,O,X,X,X,X
LITZSOJ,X,X,O,X,X,X,X
LITZOJS,X,X,O,X,X,X,O
LITZOSJ,X,X,O,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X
LITOJZS,X,X,X,O,X,X,O
LITOSJZ,X,O,O,O,X,X,X
LITOSZJ,X,O,O,X,X,X,X
LITOZJS,X,X,O,X,X,X,O
LITOZSJ,X,X,O,X,X,X,X
LIJTSZO,O,X,X,O,X,X,X
LIJTSOZ,X,X,X,O,X,X,X
LIJTZSO,O,X,X,O,X,X,X
LIJTZOS,X,X,X,O,X,X,O
LIJTOSZ,X,X,X,O,X,X,X
LIJTOZS,X,X,X,O,X,X,O
LIJSTZO,O,X,X,O,X,X,X
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,O,X,X,O,X,X,X
LIJSZOT,O,X,X,O,X,X,O
LIJSOTZ,X,X,X,O,X,X,X
LIJSOZT,O,X,X,O,X,X,O
LIJZTSO,O,X,X,O,X,X,X
LIJZTOS,X,X,X,O,X,X,O
LIJZSTO,O,X,X,O,X,X,X
LIJZSOT,O,X,X,O,X,X,O
LIJZOTS,X,X,X,O,X,X,O
LIJZOST,O,X,X,O,X,X,O
LIJOTSZ,X,X,X,O,X,X,X
LIJOTZS,X,X,X,O,X,X,O
LIJOSTZ,X,X,X,O,X,X,X
LIJOSZT,O,X,X,O,X,X,O
LIJOZTS,X,X,X,O,X,X,O
LIJOZST,O,X,X,O,X,X,O
LISTJZO,O,O,X,O,X,X,X
LISTJOZ,X,O,X,O,X,X,X
LISTZJO,O,O,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X
LISTOJZ,X,O,X,O,X,X,X
LISTOZJ,X,O,X,X,X,X,X
LISJTZO,O,X,X,O,X,X,X
LISJTOZ,X,X,X,O,X,X,X
LISJZTO,O,X,X,O,X,X,X
LISJZOT,O,X,X,O,X,X,O
LISJOTZ,X,X,X,O,X,X,X
LISJOZT,O,X,X,O,X,X,O
LISZTJO,O,O,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X
LISZJTO,O,X,X,O,X,X,X
LISZJOT,O,X,X,O,X,X,O
LISZOTJ,O,O,X,X,X,X,X
LISZOJT,O,X,X,O,X,X,O
LISOTJZ,X,O,X,O,X,X,X
LISOTZJ,X,O,X,X,X,X,X
LISOJTZ,X,X,X,O,X,X,X
LISOJZT,O,X,X,O,X,X,O
LISOZTJ,O,O,X,X,X,X,X
LISOZJT,O,X,X,O,X,X,O
LIZTJSO,X,X,O,X,X,X,X
LIZTJOS,X,X,O,X,X,X,O
LIZTSJO,X,X,O,X,X,X,X
LIZTSOJ,X,X,O,X,X,X,X
LIZTOJS,X,X,O,X,X,X,O
LIZTOSJ,X,X,O,X,X,X,X
LIZJTSO,O,X,O,O,X,X,X
LIZJTOS,X,X,O,O,X,X,O
LIZJSTO,O,X,X,O,X,X,X
LIZJSOT,O,X,X,O,X,X,O
LIZJOTS,X,X,O,O,X,X,O
LIZJOST,O,X,X,O,X,X,O
LIZSTJO,O,O,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,X
LIZSJTO,O,X,X,O,X,X,X
LIZSJOT,O,X,X,O,X,X,O
LIZSOTJ,O,O,X,X,X,X,X
LIZSOJT,O,X,X,O,X,X,O
LIZOTJS,X,X,O,X,X,X,O
LIZOTSJ,X,X,O,X,X,X,X
LIZOJTS,X,X,O,O,X,X,O
LIZOJST,X,X,X,O,X,X,O
LIZOSTJ,X,O,X,X,X,X,X
LIZOSJT,X,X,X,O,X,X,O
LIOTJSZ,X,O,X,O,X,X,X
LIOTJZS,X,X,X,O,X,X,O
LIOTSJZ,X,O,O,O,X,X,X
LIOTSZJ,X,O,O,X,X,X,X
LIOTZJS,X,X,O,X,X,X,O
LIOTZSJ,X,X,O,X,X,X,X
LIOJTSZ,X,X,X,O,X,X,X
LIOJTZS,X,X,X,O,X,X,O
LIOJSTZ,X,X,X,O,X,X,X
LIOJSZT,X,X,X,O,X,X,O
LIOJZTS,X,X,X,O,X,X,O
LIOJZST,X,X,X,O,X,X,O
LIOSTJZ,X,O,X,O,X,X,X
LIOSTZJ,X,O,X,X,X,X,X
LIOSJTZ,X,X,X,O,X,X,X
LIOSJZT,X,X,X,O,X,X,O
LIOSZTJ,X,O,X,X,X,X,X
LIOSZJT,X,X,X,O,X,X,O
LIOZTJS,X,X,O,X,X,X,O
LIOZTSJ,X,X,O,X,X,X,X
LIOZJTS,X,X,O,O,X,X,O
LIOZJST,X,X,X,O,X,X,O
LIOZSTJ,X,O,X,X,X,X,X
LIOZSJT,X,X,X,O,X,X,O
LJTISZO,O,X,X,O,X,X,X
LJTISOZ,X,X,X,O,X,X,X
LJTIZSO,O,X,X,O,X,X,X
LJTIZOS,X,X,X,O,X,X,O
LJTIOSZ,X,X,X,O,X,X,X
LJTIOZS,X,X,X,O,X,X,O
LJTSIZO,O,X,O,O,X,X,X
LJTSIOZ,X,X,O,O,X,X,X
LJTSZIO,O,X,O,O,X,X,X
LJTSZOI,O,X,O,O,X,X,X
LJTSOIZ,X,X,O,O,X,X,X
LJTSOZI,X,X,O,O,X,X,X
LJTZISO,O,X,O,O,X,O,X
LJTZIOS,X,X,O,O,X,O,X
LJTZSIO,O,X,O,O,X,O,X
LJTZSOI,O,X,O,O,X,O,X
LJTZOIS,X,X,O,O,X,O,X
LJTZOSI,X,X,O,O,X,O,X
LJTOISZ,X,X,X,O,X,X,X
LJTOIZS,X,X,X,O,X,X,O
LJTOSIZ,X,X,O,O,X,X,X
LJTOSZI,X,X,O,O,X,X,X
LJTOZIS,X,X,O,O,X,O,X
LJTOZSI,X,X,O,O,X,O,X
LJITSZO,O,X,X,O,X,X,X
LJITSOZ,X,X,X,O,X,X,X
LJITZSO,O,X,X,O,X,X,X
LJITZOS,X,X,X,O,X,X,O
LJITOSZ,X,X,X,O,X,X,X
LJITOZS,X,X,X,O,X,X,O
LJISTZO,O,X,X,O,X,X,X
LJISTOZ,X,X,X,O,X,X,X
LJISZTO,O,X,X,O,X,X,X
LJISZOT,O,X,X,O,X,X,O
LJISOTZ,X,X,X,O,X,X,X
LJISOZT,O,X,X,O,X,X,O
LJIZTSO,O,X,X,O,X,O,X
LJIZTOS,X,X,X,O,X,O,O
LJIZSTO,O,X,X,O,X,X,X
LJIZSOT,O,X,X,O,X,X,O
LJIZOTS,X,X,X,O,X,O,O
LJIZOST,O,X,X,O,X,X,O
LJIOTSZ,X,X,X,O,X,X,X
LJIOTZS,X,X,X,O,X,X,O
LJIOSTZ,X,X,X,O,X,X,X
LJIOSZT,O,X,X,O,X,X,O
LJIOZTS,X,X,X,O,X,O,O
LJIOZST,O,X,X,O,X,X,O
LJSTIZO,O,X,X,O,X,X,X
LJSTIOZ,X,X,X,O,X,X,X
LJSTZIO,O,X,X,O,X,X,X
LJSTZOI,O,X,X,O,X,X,X
LJSTOIZ,X,X,X,O,X,X,X
LJSTOZI,X,X,X,O,X,X,X
LJSITZO,O,X,X,O,X,X,X
LJSITOZ,X,X,X,O,X,X,X
LJSIZTO,O,X,X,O,X,X,X
LJSIZOT,O,X,X,O,X,X,O
LJSIOTZ,X,X,X,O,X,X,X
LJSIOZT,O,X,X,O,X,X,O
LJSZTIO,O,X,X,O,X,O,X
LJSZTOI,O,X,X,O,X,O,X
LJSZITO,O,X,X,O,X,X,X
LJSZIOT,O,X,X,O,X,X,X
LJSZOTI,O,X,X,O,X,O,X
LJSZOIT,O,X,X,O,X,X,X
LJSOTIZ,X,X,X,O,X,X,X
LJSOTZI,X,X,X,O,X,X,X
LJSOITZ,X,X,X,O,X,X,X
LJSOIZT,O,X,X,O,X,X,O
LJSOZTI,O,X,X,O,X,O,X
LJSOZIT,O,X,X,O,X,X,X
LJZTISO,O,X,O,O,X,O,X
LJZTIOS,X,X,O,O,X,O,X
LJZTSIO,O,X,O,O,X,O,X
LJZTSOI,O,X,O,O,X,O,X
LJZTOIS,X,X,O,O,X,O,X
LJZTOSI,X,X,O,O,X,O,X
LJZITSO,O,X,O,O,X,O,X
LJZITOS,X,X,O,O,X,O,O
LJZISTO,O,X,X,O,X,X,X
LJZISOT,O,X,X,O,X,X,O
LJZIOTS,X,X,O,O,X,O,O
LJZIOST,O,X,X,O,X,X,O
LJZSTIO,O,X,O,O,X,O,X
LJZSTOI,O,X,O,O,X,O,X
LJZSITO,O,X,X,O,X,X,X
LJZSIOT,O,X,X,O,X,X,X
LJZSOTI,O,X,O,O,X,O,X
LJZSOIT,O,X,X,O,X,X,X
LJZOTIS,X,X,O,O,X,O,X
LJZOTSI,X,X,O,O,X,O,X
LJZOITS,X,X,O,O,X,O,O
LJZOIST,O,X,X,O,X,X,O
LJZOSTI,O,X,O,O,X,O,X
LJZOSIT,O,X,X,O,X,X,X
LJOTISZ,X,X,X,O,X,X,X
LJOTIZS,X,X,X,O,X,X,O
LJOTSIZ,X,X,O,O,X,X,X
LJOTSZI,X,X,O,O,X,X,X
LJOTZIS,X,X,O,O,X,O,X
LJOTZSI,X,X,O,O,X,O,X
LJOITSZ,X,X,X,O,X,X,X
LJOITZS,X,X,X,O,X,X,O
LJOISTZ,X,X,X,O,X,X,X
LJOISZT,O,X,X,O,X,X,O
LJOIZTS,X,X,X,O,X,O,O
LJOIZST,O,X,X,O,X,X,O
LJOSTIZ,X,X,X,O,X,X,X
LJOSTZI,X,X,X,O,X,X,X
LJOSITZ,X,X,X,O,X,X,X
LJOSIZT,O,X,X,O,X,X,O
LJOSZTI,O,X,X,O,X,O,X
LJOSZIT,O,X,X,O,X,X,X
LJOZTIS,X,X,O,O,X,O,X
LJOZTSI,X,X,O,O,X,O,X
LJOZITS,X,X,O,O,X,O,O
LJOZIST,O,X,X,O,X,X,O
LJOZSTI,O,X,O,O,X,O,X
LJOZSIT,O,X,X,O,X,X,X
LSTIJZO,O,O,O,O,X,X,X
LSTIJOZ,X,O,O,O,X,X,X
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,X,O,O,O,X,X,X
LSTIOZJ,X,O,O,X,X,X,X
LSTJIZO,O,O,O,O,X,X,X
LSTJIOZ,X,O,O,O,X,X,X
LSTJZIO,O,O,O,O,X,X,X
LSTJZOI,O,O,O,O,X,X,X
LSTJOIZ,X,O,O,O,X,X,X
LSTJOZI,X,O,O,O,X,X,X
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,X
LSTZOJI,O,O,O,X,X,X,X
LSTOIJZ,X,O,O,O,X,X,X
LSTOIZJ,X,O,O,X,X,X,X
LSTOJIZ,X,O,O,O,X,X,X
LSTOJZI,X,O,O,O,X,X,X
LSTOZIJ,X,O,O,X,X,X,X
LSTOZJI,X,O,O,X,X,X,X
LSITJZO,O,O,X,O,X,X,X
LSITJOZ,X,O,X,O,X,X,X
LSITZJO,O,O,X,X,X,X,X
LSITZOJ,O,O,X,X,X,X,X
LSITOJZ,X,O,X,O,X,X,X
LSITOZJ,X,O,X,X,X,X,X
LSIJTZO,O,X,X,O,X,X,X
LSIJTOZ,X,X,X,O,X,X,X
LSIJZTO,O,X,X,O,X,X,X
LSIJZOT,O,X,X,O,X,X,O
LSIJOTZ,X,X,X,O,X,X,X
LSIJOZT,O,X,X,O,X,X,O
LSIZTJO,O,O,X,X,X,X,X
LSIZTOJ,O,O,X,X,X,X,X
LSIZJTO,O,X,X,O,X,X,X
LSIZJOT,O,X,X,O,X,X,O
LSIZOTJ,O,O,X,X,X,X,X
LSIZOJT,O,X,X,O,X,X,O
