sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,X,X,X
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,O
TOILJZS,X,X,X
TOILSJZ,X,X,O
TOILSZJ,X,X,O
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,X,O
TOIJLZS,X,X,X
TOIJSLZ,X,X,O
TOIJSZL,X,X,O
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,X,X,O
TOISLZJ,X,X,O
TOISJLZ,X,X,O
TOISJZL,X,X,O
TOISZLJ,X,X,O
TOISZJL,X,X,O
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
