sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
STJZIOL,X,X,X,O,X
STJZLIO,O,X,X,O,X
STJZLOI,O,X,X,O,X
STJZOIL,O,X,X,O,X
STJZOLI,O,X,X,O,X
STJOILZ,O,O,X,X,O
STJOIZL,O,O,X,O,X
STJOLIZ,O,O,X,X,O
STJOLZI,O,X,X,X,O
STJOZIL,O,X,X,O,X
STJOZLI,O,X,X,O,X
STZILJO,O,O,X,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,X,O,X
STZIJOL,X,O,X,O,X
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,X,O,X
STZLIJO,O,O,X,X,X
STZLIOJ,O,O,X,X,X
STZLJIO,O,X,X,O,X
STZLJOI,O,X,X,O,X
STZLOIJ,O,O,X,X,X
STZLOJI,O,X,X,O,X
STZJILO,O,X,X,O,X
STZJIOL,X,X,X,O,X
STZJLIO,O,X,X,O,X
STZJLOI,O,X,X,O,X
STZJOIL,O,X,X,O,X
STZJOLI,O,X,X,O,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,X,O,X
STZOLIJ,O,O,X,X,X
STZOLJI,O,X,X,O,X
STZOJIL,O,X,X,O,X
STZOJLI,O,X,X,O,X
STOILJZ,O,O,X,X,X
STOILZJ,O,O,X,X,X
STOIJLZ,O,O,X,X,X
STOIJZL,O,O,X,X,X
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,X,X,X
STOLIJZ,O,O,X,X,X
STOLIZJ,O,O,X,X,X
STOLJIZ,O,O,X,X,O
STOLJZI,O,X,X,X,O
STOLZIJ,O,O,X,X,X
STOLZJI,O,X,X,X,X
STOJILZ,O,O,X,X,O
STOJIZL,O,O,X,O,X
STOJLIZ,O,O,X,X,O
STOJLZI,O,X,X,X,O
STOJZIL,O,X,X,O,X
STOJZLI,O,X,X,O,X
STOZILJ,O,O,X,X,X
STOZIJL,O,O,X,O,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,X,X,O,X
STOZJIL,O,X,X,O,X
STOZJLI,O,X,X,O,X
SITLJZO,O,O,X,X,X
SITLJOZ,X,O,X,X,X
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,O,X,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,O,X,X,X
SITJLOZ,X,O,X,X,X
SITJZLO,O,O,X,X,X
SITJZOL,X,O,X,X,X
SITJOLZ,X,O,X,X,X
SITJOZL,X,O,X,X,X
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,O,X,X,X
SITZJOL,X,O,X,X,X
SITZOLJ,O,O,X,X,X
SITZOJL,O,O,X,X,X
SITOLJZ,O,O,X,X,X
SITOLZJ,O,O,X,X,X
SITOJLZ,O,O,X,X,X
SITOJZL,O,O,X,X,X
SITOZLJ,O,O,X,X,X
SITOZJL,O,O,X,X,X
SILTJZO,O,O,X,X,X
SILTJOZ,X,O,X,X,X
SILTZJO,O,O,X,X,X
SILTZOJ,O,O,X,X,X
SILTOJZ,O,O,X,X,X
SILTOZJ,O,O,X,X,X
SILJTZO,O,O,O,X,X
SILJTOZ,X,O,O,X,X
SILJZTO,O,O,O,X,X
SILJZOT,O,O,O,X,X
SILJOTZ,O,O,O,X,X
SILJOZT,O,O,O,X,X
SILZTJO,O,O,X,X,X
SILZTOJ,O,O,X,X,X
SILZJTO,O,O,O,X,X
SILZJOT,O,O,O,X,X
SILZOTJ,O,O,X,X,X
SILZOJT,O,O,O,X,X
SILOTJZ,O,O,X,X,X
SILOTZJ,O,O,X,X,X
SILOJTZ,O,O,O,X,X
SILOJZT,O,O,O,X,X
SILOZTJ,O,O,X,X,X
SILOZJT,O,O,O,X,X
SIJTLZO,O,O,X,X,X
SIJTLOZ,X,O,X,X,X
SIJTZLO,O,O,X,X,X
SIJTZOL,X,O,X,X,X
SIJTOLZ,X,O,X,X,X
SIJTOZL,X,O,X,X,X
SIJLTZO,O,O,O,X,X
SIJLTOZ,X,O,O,X,X
SIJLZTO,O,O,O,X,X
SIJLZOT,O,O,O,X,X
SIJLOTZ,O,O,O,X,X
SIJLOZT,O,O,O,X,X
SIJZTLO,X,O,X,X,X
SIJZTOL,X,O,X,X,X
SIJZLTO,O,O,O,X,X
SIJZLOT,O,O,O,X,X
SIJZOTL,X,O,X,X,X
SIJZOLT,X,O,O,X,X
SIJOTLZ,O,O,X,X,X
SIJOTZL,O,O,X,X,X
SIJOLTZ,O,O,O,X,X
SIJOLZT,O,O,O,X,X
SIJOZTL,X,O,X,X,X
SIJOZLT,O,O,O,X,X
SIZTLJO,O,O,X,X,X
SIZTLOJ,O,O,X,X,X
SIZTJLO,O,O,X,X,X
SIZTJOL,X,O,X,X,X
SIZTOLJ,O,O,X,X,X
SIZTOJL,O,O,X,X,X
SIZLTJO,O,O,X,X,X
SIZLTOJ,O,O,X,X,X
SIZLJTO,O,O,O,X,X
SIZLJOT,O,O,O,X,X
SIZLOTJ,O,O,X,X,X
SIZLOJT,O,O,O,X,X
SIZJTLO,X,O,X,X,X
SIZJTOL,X,O,X,X,X
SIZJLTO,O,O,O,X,X
SIZJLOT,O,O,O,X,X
SIZJOTL,X,O,X,X,X
SIZJOLT,X,O,O,X,X
SIZOTLJ,O,O,X,X,X
SIZOTJL,O,O,X,X,X
SIZOLTJ,O,O,X,X,X
SIZOLJT,O,O,O,X,X
SIZOJTL,X,O,X,X,X
SIZOJLT,O,O,O,X,X
SIOTLJZ,O,O,X,X,X
SIOTLZJ,O,O,X,X,X
SIOTJLZ,O,O,X,X,X
SIOTJZL,O,O,X,X,X
SIOTZLJ,O,O,X,X,X
SIOTZJL,O,O,X,X,X
SIOLTJZ,O,O,X,X,X
SIOLTZJ,O,O,X,X,X
SIOLJTZ,O,O,O,X,X
SIOLJZT,O,O,O,X,X
SIOLZTJ,O,O,X,X,X
SIOLZJT,O,O,O,X,X
SIOJTLZ,O,O,X,X,X
SIOJTZL,O,O,X,X,X
SIOJLTZ,O,O,O,X,X
SIOJLZT,O,O,O,X,X
SIOJZTL,X,O,X,X,X
SIOJZLT,O,O,O,X,X
SIOZTLJ,O,O,X,X,X
SIOZTJL,O,O,X,X,X
SIOZLTJ,O,O,X,X,X
SIOZLJT,O,O,O,X,X
SIOZJTL,X,O,X,X,X
SIOZJLT,O,O,O,X,X
SLTIJZO,O,O,X,X,X
SLTIJOZ,X,O,X,X,X
SLTIZJO,O,O,X,X,X
SLTIZOJ,O,O,X,X,X
SLTIOJZ,O,O,X,X,X
SLTIOZJ,O,O,X,X,X
SLTJIZO,O,O,X,X,O
SLTJIOZ,X,O,X,X,O
SLTJZIO,O,X,X,X,O
SLTJZOI,O,X,X,X,O
SLTJOIZ,O,O,X,X,O
SLTJOZI,O,X,X,X,O
SLTZIJO,O,O,X,X,X
SLTZIOJ,O,O,X,X,X
SLTZJIO,O,X,X,X,X
SLTZJOI,O,X,X,X,X
SLTZOIJ,O,O,X,X,X
SLTZOJI,O,X,X,X,X
SLTOIJZ,O,O,X,X,X
SLTOIZJ,O,O,X,X,X
SLTOJIZ,O,O,X,X,O
SLTOJZI,O,X,X,X,O
SLTOZIJ,O,O,X,X,X
SLTOZJI,O,X,X,X,X
SLITJZO,O,O,X,X,X
SLITJOZ,X,O,X,X,X
SLITZJO,O,O,X,X,X
SLITZOJ,O,O,X,X,X
SLITOJZ,O,O,X,X,X
SLITOZJ,O,O,X,X,X
SLIJTZO,O,O,O,X,X
SLIJTOZ,X,O,O,X,X
SLIJZTO,O,O,O,X,X
SLIJZOT,O,O,O,X,X
SLIJOTZ,O,O,O,X,X
SLIJOZT,O,O,O,X,X
SLIZTJO,O,O,X,X,X
SLIZTOJ,O,O,X,X,X
SLIZJTO,O,O,O,X,X
SLIZJOT,O,O,O,X,X
SLIZOTJ,O,O,X,X,X
SLIZOJT,O,O,O,X,X
SLIOTJZ,O,O,X,X,X
SLIOTZJ,O,O,X,X,X
SLIOJTZ,O,O,O,X,X
SLIOJZT,O,O,O,X,X
SLIOZTJ,O,O,X,X,X
SLIOZJT,O,O,O,X,X
SLJTIZO,O,O,X,X,O
SLJTIOZ,X,O,X,X,O
SLJTZIO,O,X,X,X,O
SLJTZOI,O,X,X,X,O
SLJTOIZ,O,O,X,X,O
SLJTOZI,O,X,X,X,O
SLJITZO,O,O,O,X,O
SLJITOZ,X,O,O,X,O
SLJIZTO,O,O,O,X,X
SLJIZOT,O,O,O,X,X
SLJIOTZ,O,O,O,X,O
SLJIOZT,O,O,O,X,X
SLJZTIO,O,X,X,X,X
SLJZTOI,O,X,X,X,X
SLJZITO,O,X,O,X,X
SLJZIOT,O,X,O,X,X
SLJZOTI,O,X,X,X,X
SLJZOIT,O,X,O,X,X
SLJOTIZ,O,O,X,X,O
SLJOTZI,O,X,X,X,O
SLJOITZ,O,O,O,X,O
SLJOIZT,O,O,O,X,X
SLJOZTI,O,X,X,X,X
SLJOZIT,O,X,O,X,X
SLZTIJO,O,O,X,X,X
SLZTIOJ,O,O,X,X,X
SLZTJIO,O,X,X,X,X
SLZTJOI,O,X,X,X,X
SLZTOIJ,O,O,X,X,X
SLZTOJI,O,X,X,X,X
SLZITJO,O,O,X,X,X
SLZITOJ,O,O,X,X,X
SLZIJTO,O,O,O,X,X
SLZIJOT,O,O,O,X,X
SLZIOTJ,O,O,X,X,X
SLZIOJT,O,O,O,X,X
SLZJTIO,O,X,X,X,X
SLZJTOI,O,X,X,X,X
SLZJITO,O,X,O,X,X
SLZJIOT,O,X,O,X,X
SLZJOTI,O,X,X,X,X
SLZJOIT,O,X,O,X,X
SLZOTIJ,O,O,X,X,X
SLZOTJI,O,X,X,X,X
SLZOITJ,O,O,X,X,X
SLZOIJT,O,O,O,X,X
SLZOJTI,O,X,X,X,X
SLZOJIT,O,X,O,X,X
SLOTIJZ,O,O,X,X,X
SLOTIZJ,O,O,X,X,X
SLOTJIZ,O,O,X,X,O
SLOTJZI,O,X,X,X,O
SLOTZIJ,O,O,X,X,X
SLOTZJI,O,X,X,X,X
SLOITJZ,O,O,X,X,X
SLOITZJ,O,O,X,X,X
SLOIJTZ,O,O,O,X,X
SLOIJZT,O,O,O,X,X
SLOIZTJ,O,O,X,X,X
SLOIZJT,O,O,O,X,X
SLOJTIZ,O,O,X,X,O
SLOJTZI,O,X,X,X,O
SLOJITZ,O,O,O,X,O
SLOJIZT,O,O,O,X,X
SLOJZTI,O,X,X,X,X
SLOJZIT,O,X,O,X,X
SLOZTIJ,O,O,X,X,X
SLOZTJI,O,X,X,X,X
SLOZITJ,O,O,X,X,X
SLOZIJT,O,O,O,X,X
SLOZJTI,O,X,X,X,X
SLOZJIT,O,X,O,X,X
SJTILZO,O,O,X,X,O
SJTILOZ,X,O,X,X,O
SJTIZLO,O,O,X,O,X
SJTIZOL,X,O,X,O,X
SJTIOLZ,X,O,X,X,O
SJTIOZL,X,O,X,O,X
SJTLIZO,O,O,X,X,O
SJTLIOZ,X,O,X,X,O
SJTLZIO,O,X,X,X,O
SJTLZOI,O,X,X,X,O
SJTLOIZ,O,O,X,X,O
SJTLOZI,O,X,X,X,O
SJTZILO,O,X,X,O,X
SJTZIOL,X,X,X,O,X
SJTZLIO,O,X,X,O,X
SJTZLOI,O,X,X,O,X
SJTZOIL,O,X,X,O,X
SJTZOLI,O,X,X,O,X
SJTOILZ,O,O,X,X,O
SJTOIZL,O,O,X,O,X
SJTOLIZ,O,O,X,X,O
SJTOLZI,O,X,X,X,O
SJTOZIL,O,X,X,O,X
SJTOZLI,O,X,X,O,X
SJITLZO,O,O,X,X,O
SJITLOZ,X,O,X,X,O
SJITZLO,O,O,X,O,X
SJITZOL,X,O,X,O,X
SJITOLZ,X,O,X,X,O
SJITOZL,X,O,X,O,X
SJILTZO,O,O,O,X,O
SJILTOZ,X,O,O,X,O
SJILZTO,O,O,O,X,X
SJILZOT,O,O,O,X,X
SJILOTZ,O,O,O,X,O
SJILOZT,O,O,O,X,X
SJIZTLO,X,O,X,O,X
SJIZTOL,X,O,X,O,X
SJIZLTO,O,O,O,X,X
SJIZLOT,O,O,O,X,X
SJIZOTL,X,O,X,O,X
SJIZOLT,X,O,O,X,X
SJIOTLZ,O,O,X,X,O
SJIOTZL,O,O,X,O,X
SJIOLTZ,O,O,O,X,O
SJIOLZT,O,O,O,X,X
SJIOZTL,X,O,X,O,X
SJIOZLT,O,O,O,X,X
SJLTIZO,O,O,X,X,O
SJLTIOZ,X,O,X,X,O
SJLTZIO,O,X,X,X,O
SJLTZOI,O,X,X,X,O
SJLTOIZ,O,O,X,X,O
SJLTOZI,O,X,X,X,O
SJLITZO,O,O,O,X,O
SJLITOZ,X,O,O,X,O
SJLIZTO,O,O,O,X,X
SJLIZOT,O,O,O,X,X
SJLIOTZ,O,O,O,X,O
SJLIOZT,O,O,O,X,X
SJLZTIO,O,X,X,X,X
SJLZTOI,O,X,X,X,X
SJLZITO,O,X,O,X,X
SJLZIOT,O,X,O,X,X
SJLZOTI,O,X,X,X,X
SJLZOIT,O,X,O,X,X
SJLOTIZ,O,O,X,X,O
SJLOTZI,O,X,X,X,O
SJLOITZ,O,O,O,X,O
SJLOIZT,O,O,O,X,X
SJLOZTI,O,X,X,X,X
SJLOZIT,O,X,O,X,X
SJZTILO,O,X,X,O,X
SJZTIOL,X,X,X,O,X
SJZTLIO,O,X,X,O,X
SJZTLOI,O,X,X,O,X
SJZTOIL,O,X,X,O,X
SJZTOLI,O,X,X,O,X
SJZITLO,X,X,X,O,X
SJZITOL,X,X,X,O,X
SJZILTO,O,X,O,X,X
SJZILOT,O,X,O,X,X
SJZIOTL,X,X,X,O,X
SJZIOLT,X,X,O,X,X
SJZLTIO,O,X,X,O,X
SJZLTOI,O,X,X,O,X
SJZLITO,O,X,O,X,X
SJZLIOT,O,X,O,X,X
SJZLOTI,O,X,X,O,X
SJZLOIT,O,X,O,X,X
SJZOTIL,O,X,X,O,X
SJZOTLI,O,X,X,O,X
SJZOITL,X,X,X,O,X
SJZOILT,O,X,O,X,X
SJZOLTI,O,X,X,O,X
SJZOLIT,O,X,O,X,X
SJOTILZ,O,O,X,X,O
SJOTIZL,O,O,X,O,X
SJOTLIZ,O,O,X,X,O
SJOTLZI,O,X,X,X,O
SJOTZIL,O,X,X,O,X
SJOTZLI,O,X,X,O,X
SJOITLZ,O,O,X,X,O
SJOITZL,O,O,X,O,X
SJOILTZ,O,O,O,X,O
SJOILZT,O,O,O,X,X
SJOIZTL,X,O,X,O,X
SJOIZLT,O,O,O,X,X
SJOLTIZ,O,O,X,X,O
SJOLTZI,O,X,X,X,O
SJOLITZ,O,O,O,X,O
SJOLIZT,O,O,O,X,X
SJOLZTI,O,X,X,X,X
SJOLZIT,O,X,O,X,X
SJOZTIL,O,X,X,O,X
SJOZTLI,O,X,X,O,X
SJOZITL,X,X,X,O,X
SJOZILT,O,X,O,X,X
SJOZLTI,O,X,X,O,X
SJOZLIT,O,X,O,X,X
SZTILJO,O,O,X,X,X
SZTILOJ,O,O,X,X,X
SZTIJLO,O,O,X,O,X
SZTIJOL,X,O,X,O,X
SZTIOLJ,O,O,X,X,X
SZTIOJL,O,O,X,O,X
SZTLIJO,O,O,X,X,X
SZTLIOJ,O,O,X,X,X
SZTLJIO,O,X,X,O,X
SZTLJOI,O,X,X,O,X
SZTLOIJ,O,O,X,X,X
SZTLOJI,O,X,X,O,X
SZTJILO,O,X,X,O,X
SZTJIOL,X,X,X,O,X
SZTJLIO,O,X,X,O,X
SZTJLOI,O,X,X,O,X
SZTJOIL,O,X,X,O,X
SZTJOLI,O,X,X,O,X
SZTOILJ,O,O,X,X,X
SZTOIJL,O,O,X,O,X
SZTOLIJ,O,O,X,X,X
SZTOLJI,O,X,X,O,X
SZTOJIL,O,X,X,O,X
SZTOJLI,O,X,X,O,X
SZITLJO,O,O,X,X,X
SZITLOJ,O,O,X,X,X
SZITJLO,O,O,X,O,X
SZITJOL,X,O,X,O,X
SZITOLJ,O,O,X,X,X
SZITOJL,O,O,X,O,X
SZILTJO,O,O,X,X,X
SZILTOJ,O,O,X,X,X
SZILJTO,O,O,O,X,X
SZILJOT,O,O,O,X,X
SZILOTJ,O,O,X,X,X
SZILOJT,O,O,O,X,X
SZIJTLO,X,O,X,O,X
SZIJTOL,X,O,X,O,X
SZIJLTO,O,O,O,X,X
SZIJLOT,O,O,O,X,X
SZIJOTL,X,O,X,O,X
SZIJOLT,X,O,O,X,X
SZIOTLJ,O,O,X,X,X
SZIOTJL,O,O,X,O,X
SZIOLTJ,O,O,X,X,X
SZIOLJT,O,O,O,X,X
SZIOJTL,X,O,X,O,X
SZIOJLT,O,O,O,X,X
SZLTIJO,O,O,X,X,X
SZLTIOJ,O,O,X,X,X
SZLTJIO,O,X,X,O,X
SZLTJOI,O,X,X,O,X
SZLTOIJ,O,O,X,X,X
SZLTOJI,O,X,X,O,X
SZLITJO,O,O,X,X,X
SZLITOJ,O,O,X,X,X
SZLIJTO,O,O,O,X,X
SZLIJOT,O,O,O,X,X
SZLIOTJ,O,O,X,X,X
SZLIOJT,O,O,O,X,X
SZLJTIO,O,X,X,O,X
SZLJTOI,O,X,X,O,X
SZLJITO,O,X,O,X,X
SZLJIOT,O,X,O,X,X
SZLJOTI,O,X,X,O,X
SZLJOIT,O,X,O,X,X
SZLOTIJ,O,O,X,X,X
SZLOTJI,O,X,X,O,X
SZLOITJ,O,O,X,X,X
SZLOIJT,O,O,O,X,X
SZLOJTI,O,X,X,O,X
SZLOJIT,O,X,O,X,X
SZJTILO,O,X,X,O,X
SZJTIOL,X,X,X,O,X
SZJTLIO,O,X,X,O,X
SZJTLOI,O,X,X,O,X
SZJTOIL,O,X,X,O,X
SZJTOLI,O,X,X,O,X
SZJITLO,X,X,X,O,X
SZJITOL,X,X,X,O,X
SZJILTO,O,X,O,X,X
SZJILOT,O,X,O,X,X
SZJIOTL,X,X,X,O,X
SZJIOLT,X,X,O,X,X
SZJLTIO,O,X,X,O,X
SZJLTOI,O,X,X,O,X
SZJLITO,O,X,O,X,X
SZJLIOT,O,X,O,X,X
SZJLOTI,O,X,X,O,X
SZJLOIT,O,X,O,X,X
SZJOTIL,O,X,X,O,X
SZJOTLI,O,X,X,O,X
SZJOITL,X,X,X,O,X
SZJOILT,O,X,O,X,X
SZJOLTI,O,X,X,O,X
SZJOLIT,O,X,O,X,X
SZOTILJ,O,O,X,X,X
SZOTIJL,O,O,X,O,X
SZOTLIJ,O,O,X,X,X
SZOTLJI,O,X,X,O,X
SZOTJIL,O,X,X,O,X
SZOTJLI,O,X,X,O,X
SZOITLJ,O,O,X,X,X
SZOITJL,O,O,X,O,X
SZOILTJ,O,O,X,X,X
SZOILJT,O,O,O,X,X
SZOIJTL,X,O,X,O,X
SZOIJLT,O,O,O,X,X
SZOLTIJ,O,O,X,X,X
SZOLTJI,O,X,X,O,X
SZOLITJ,O,O,X,X,X
SZOLIJT,O,O,O,X,X
SZOLJTI,O,X,X,O,X
SZOLJIT,O,X,O,X,X
SZOJTIL,O,X,X,O,X
SZOJTLI,O,X,X,O,X
SZOJITL,X,X,X,O,X
SZOJILT,O,X,O,X,X
SZOJLTI,O,X,X,O,X
SZOJLIT,O,X,O,X,X
SOTILJZ,O,O,X,X,X
SOTILZJ,O,O,X,X,X
SOTIJLZ,O,O,X,X,X
SOTIJZL,O,O,X,X,X
SOTIZLJ,O,O,X,X,X
SOTIZJL,O,O,X,X,X
SOTLIJZ,O,O,X,X,X
SOTLIZJ,O,O,X,X,X
SOTLJIZ,O,O,X,X,O
SOTLJZI,O,X,X,X,O
SOTLZIJ,O,O,X,X,X
SOTLZJI,O,X,X,X,X
SOTJILZ,O,O,X,X,O
SOTJIZL,O,O,X,O,X
SOTJLIZ,O,O,X,X,O
SOTJLZI,O,X,X,X,O
SOTJZIL,O,X,X,O,X
SOTJZLI,O,X,X,O,X
SOTZILJ,O,O,X,X,X
SOTZIJL,O,O,X,O,X
SOTZLIJ,O,O,X,X,X
SOTZLJI,O,X,X,O,X
SOTZJIL,O,X,X,O,X
SOTZJLI,O,X,X,O,X
SOITLJZ,O,O,X,X,X
SOITLZJ,O,O,X,X,X
SOITJLZ,O,O,X,X,X
SOITJZL,O,O,X,X,X
SOITZLJ,O,O,X,X,X
SOITZJL,O,O,X,X,X
SOILTJZ,O,O,X,X,X
SOILTZJ,O,O,X,X,X
SOILJTZ,O,O,O,X,X
SOILJZT,O,O,O,X,X
SOILZTJ,O,O,X,X,X
SOILZJT,O,O,O,X,X
SOIJTLZ,O,O,X,X,X
SOIJTZL,O,O,X,X,X
SOIJLTZ,O,O,O,X,X
SOIJLZT,O,O,O,X,X
SOIJZTL,X,O,X,X,X
SOIJZLT,O,O,O,X,X
SOIZTLJ,O,O,X,X,X
SOIZTJL,O,O,X,X,X
SOIZLTJ,O,O,X,X,X
SOIZLJT,O,O,O,X,X
SOIZJTL,X,O,X,X,X
SOIZJLT,O,O,O,X,X
SOLTIJZ,O,O,X,X,X
SOLTIZJ,O,O,X,X,X
SOLTJIZ,O,O,X,X,O
SOLTJZI,O,X,X,X,O
SOLTZIJ,O,O,X,X,X
SOLTZJI,O,X,X,X,X
SOLITJZ,O,O,X,X,X
SOLITZJ,O,O,X,X,X
SOLIJTZ,O,O,O,X,X
SOLIJZT,O,O,O,X,X
SOLIZTJ,O,O,X,X,X
SOLIZJT,O,O,O,X,X
SOLJTIZ,O,O,X,X,O
SOLJTZI,O,X,X,X,O
SOLJITZ,O,O,O,X,O
SOLJIZT,O,O,O,X,X
SOLJZTI,O,X,X,X,X
SOLJZIT,O,X,O,X,X
SOLZTIJ,O,O,X,X,X
SOLZTJI,O,X,X,X,X
SOLZITJ,O,O,X,X,X
SOLZIJT,O,O,O,X,X
SOLZJTI,O,X,X,X,X
SOLZJIT,O,X,O,X,X
SOJTILZ,O,O,X,X,O
SOJTIZL,O,O,X,O,X
SOJTLIZ,O,O,X,X,O
SOJTLZI,O,X,X,X,O
SOJTZIL,O,X,X,O,X
SOJTZLI,O,X,X,O,X
SOJITLZ,O,O,X,X,O
SOJITZL,O,O,X,O,X
SOJILTZ,O,O,O,X,O
SOJILZT,O,O,O,X,X
SOJIZTL,X,O,X,O,X
SOJIZLT,O,O,O,X,X
SOJLTIZ,O,O,X,X,O
SOJLTZI,O,X,X,X,O
SOJLITZ,O,O,O,X,O
SOJLIZT,O,O,O,X,X
SOJLZTI,O,X,X,X,X
SOJLZIT,O,X,O,X,X
SOJZTIL,O,X,X,O,X
SOJZTLI,O,X,X,O,X
SOJZITL,X,X,X,O,X
SOJZILT,O,X,O,X,X
SOJZLTI,O,X,X,O,X
SOJZLIT,O,X,O,X,X
SOZTILJ,O,O,X,X,X
SOZTIJL,O,O,X,O,X
SOZTLIJ,O,O,X,X,X
SOZTLJI,O,X,X,O,X
SOZTJIL,O,X,X,O,X
SOZTJLI,O,X,X,O,X
SOZITLJ,O,O,X,X,X
SOZITJL,O,O,X,O,X
SOZILTJ,O,O,X,X,X
SOZILJT,O,O,O,X,X
SOZIJTL,X,O,X,O,X
SOZIJLT,O,O,O,X,X
SOZLTIJ,O,O,X,X,X
SOZLTJI,O,X,X,O,X
SOZLITJ,O,O,X,X,X
SOZLIJT,O,O,O,X,X
SOZLJTI,O,X,X,O,X
SOZLJIT,O,X,O,X,X
SOZJTIL,O,X,X,O,X
SOZJTLI,O,X,X,O,X
SOZJITL,X,X,X,O,X
SOZJILT,O,X,O,X,X
SOZJLTI,O,X,X,O,X
SOZJLIT,O,X,O,X,X
ZTILJSO,X,X,O,X,X
ZTILJOS,X,X,O,X,X
ZTILSJO,O,X,X,X,X
ZTILSOJ,O,X,X,X,X
ZTILOJS,X,X,O,X,X
ZTILOSJ,O,X,X,X,X
ZTIJLSO,X,X,O,O,X
ZTIJLOS,X,X,O,O,X
ZTIJSLO,X,X,X,O,X
ZTIJSOL,X,X,X,O,X
ZTIJOLS,X,X,O,O,X
ZTIJOSL,X,X,X,O,X
ZTISLJO,O,X,X,X,X
ZTISLOJ,O,X,X,X,X
ZTISJLO,O,X,X,O,X
ZTISJOL,X,X,X,O,X
ZTISOLJ,O,X,X,X,X
ZTISOJL,O,X,X,O,X
ZTIOLJS,X,X,O,X,X
ZTIOLSJ,O,X,X,X,X
ZTIOJLS,X,X,O,O,X
ZTIOJSL,X,X,X,O,X
ZTIOSLJ,O,X,X,X,X
ZTIOSJL,O,X,X,O,X
ZTLIJSO,X,X,O,X,X
ZTLIJOS,X,X,O,X,X
ZTLISJO,O,X,X,X,X
ZTLISOJ,O,X,X,X,X
ZTLIOJS,X,X,O,X,X
ZTLIOSJ,O,X,X,X,X
ZTLJISO,X,X,O,O,O
ZTLJIOS,X,X,O,O,O
ZTLJSIO,O,X,X,O,O
ZTLJSOI,O,X,X,O,O
ZTLJOIS,X,X,O,O,O
ZTLJOSI,O,X,X,O,O
ZTLSIJO,O,X,X,X,X
ZTLSIOJ,O,X,X,X,X
ZTLSJIO,O,X,X,O,X
ZTLSJOI,O,X,X,O,X
ZTLSOIJ,O,X,X,X,X
ZTLSOJI,O,X,X,O,X
ZTLOIJS,X,X,O,X,X
ZTLOISJ,O,X,X,X,X
ZTLOJIS,X,X,O,O,O
ZTLOJSI,O,X,X,O,O
ZTLOSIJ,O,X,X,X,X
ZTLOSJI,O,X,X,O,X
ZTJILSO,X,X,O,O,O
ZTJILOS,X,X,O,O,O
ZTJISLO,X,X,X,O,X
ZTJISOL,X,X,X,O,X
ZTJIOLS,X,X,O,O,O
ZTJIOSL,X,X,X,O,X
ZTJLISO,X,X,O,O,O
ZTJLIOS,X,X,O,O,O
ZTJLSIO,O,X,X,O,O
ZTJLSOI,O,X,X,O,O
ZTJLOIS,X,X,O,O,O
ZTJLOSI,O,X,X,O,O
ZTJSILO,O,X,X,O,X
ZTJSIOL,X,X,X,O,X
ZTJSLIO,O,X,X,O,X
ZTJSLOI,O,X,X,O,X
ZTJSOIL,O,X,X,O,X
ZTJSOLI,O,X,X,O,X
ZTJOILS,X,X,O,O,O
ZTJOISL,X,X,X,O,X
ZTJOLIS,X,X,O,O,O
ZTJOLSI,O,X,X,O,O
ZTJOSIL,O,X,X,O,X
ZTJOSLI,O,X,X,O,X
ZTSILJO,O,X,X,X,X
ZTSILOJ,O,X,X,X,X
ZTSIJLO,O,X,X,O,X
ZTSIJOL,X,X,X,O,X
ZTSIOLJ,O,X,X,X,X
ZTSIOJL,O,X,X,O,X
ZTSLIJO,O,X,X,X,X
ZTSLIOJ,O,X,X,X,X
ZTSLJIO,O,X,X,O,X
ZTSLJOI,O,X,X,O,X
ZTSLOIJ,O,X,X,X,X
ZTSLOJI,O,X,X,O,X
ZTSJILO,O,X,X,O,X
ZTSJIOL,X,X,X,O,X
ZTSJLIO,O,X,X,O,X
ZTSJLOI,O,X,X,O,X
ZTSJOIL,O,X,X,O,X
ZTSJOLI,O,X,X,O,X
ZTSOILJ,O,X,X,X,X
ZTSOIJL,O,X,X,O,X
ZTSOLIJ,O,X,X,X,X
ZTSOLJI,O,X,X,O,X
ZTSOJIL,O,X,X,O,X
ZTSOJLI,O,X,X,O,X
ZTOILJS,X,X,O,X,X
ZTOILSJ,O,X,X,X,X
ZTOIJLS,X,X,O,O,X
ZTOIJSL,X,X,X,O,X
