sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TSLOJZI,O,X,X,X,O
TSLOZIJ,O,O,X,X,X
TSLOZJI,O,X,X,X,X
TSJILZO,O,O,X,X,O
TSJILOZ,X,O,X,X,O
TSJIZLO,O,O,X,O,X
TSJIZOL,X,O,X,O,X
TSJIOLZ,X,O,X,X,O
TSJIOZL,X,O,X,O,X
TSJLIZO,O,O,X,X,O
TSJLIOZ,X,O,X,X,O
TSJLZIO,O,X,X,X,O
TSJLZOI,O,X,X,X,O
TSJLOIZ,O,O,X,X,O
TSJLOZI,O,X,X,X,O
TSJZILO,O,X,X,O,X
TSJZIOL,X,X,X,O,X
TSJZLIO,O,X,X,O,X
TSJZLOI,O,X,X,O,X
TSJZOIL,O,X,X,O,X
TSJZOLI,O,X,X,O,X
TSJOILZ,O,O,X,X,O
TSJOIZL,O,O,X,O,X
TSJOLIZ,O,O,X,X,O
TSJOLZI,O,X,X,X,O
TSJOZIL,O,X,X,O,X
TSJOZLI,O,X,X,O,X
TSZILJO,O,O,X,X,X
TSZILOJ,O,O,X,X,X
TSZIJLO,O,O,X,O,X
TSZIJOL,X,O,X,O,X
TSZIOLJ,O,O,X,X,X
TSZIOJL,O,O,X,O,X
TSZLIJO,O,O,X,X,X
TSZLIOJ,O,O,X,X,X
TSZLJIO,O,X,X,O,X
TSZLJOI,O,X,X,O,X
TSZLOIJ,O,O,X,X,X
TSZLOJI,O,X,X,O,X
TSZJILO,O,X,X,O,X
TSZJIOL,X,X,X,O,X
TSZJLIO,O,X,X,O,X
TSZJLOI,O,X,X,O,X
TSZJOIL,O,X,X,O,X
TSZJOLI,O,X,X,O,X
TSZOILJ,O,O,X,X,X
TSZOIJL,O,O,X,O,X
TSZOLIJ,O,O,X,X,X
TSZOLJI,O,X,X,O,X
TSZOJIL,O,X,X,O,X
TSZOJLI,O,X,X,O,X
TSOILJZ,O,O,X,X,X
TSOILZJ,O,O,X,X,X
TSOIJLZ,O,O,X,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,O,X,X,X
TSOIZJL,O,O,X,X,X
TSOLIJZ,O,O,X,X,X
TSOLIZJ,O,O,X,X,X
TSOLJIZ,O,O,X,X,O
TSOLJZI,O,X,X,X,O
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,X,X,X,X
TSOJILZ,O,O,X,X,O
TSOJIZL,O,O,X,O,X
TSOJLIZ,O,O,X,X,O
TSOJLZI,O,X,X,X,O
TSOJZIL,O,X,X,O,X
TSOJZLI,O,X,X,O,X
TSOZILJ,O,O,X,X,X
TSOZIJL,O,O,X,O,X
TSOZLIJ,O,O,X,X,X
TSOZLJI,O,X,X,O,X
TSOZJIL,O,X,X,O,X
TSOZJLI,O,X,X,O,X
TZILJSO,X,X,O,X,X
TZILJOS,X,X,O,X,X
TZILSJO,O,X,X,X,X
TZILSOJ,O,X,X,X,X
TZILOJS,X,X,O,X,X
TZILOSJ,O,X,X,X,X
TZIJLSO,X,X,O,O,X
TZIJLOS,X,X,O,O,X
TZIJSLO,X,X,X,O,X
TZIJSOL,X,X,X,O,X
TZIJOLS,X,X,O,O,X
TZIJOSL,X,X,X,O,X
TZISLJO,O,X,X,X,X
TZISLOJ,O,X,X,X,X
TZISJLO,O,X,X,O,X
TZISJOL,X,X,X,O,X
TZISOLJ,O,X,X,X,X
TZISOJL,O,X,X,O,X
TZIOLJS,X,X,O,X,X
TZIOLSJ,O,X,X,X,X
TZIOJLS,X,X,O,O,X
TZIOJSL,X,X,X,O,X
TZIOSLJ,O,X,X,X,X
TZIOSJL,O,X,X,O,X
TZLIJSO,X,X,O,X,X
TZLIJOS,X,X,O,X,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,X,X,O,X,X
TZLIOSJ,O,X,X,X,X
TZLJISO,X,X,O,O,O
TZLJIOS,X,X,O,O,O
TZLJSIO,O,X,X,O,O
TZLJSOI,O,X,X,O,O
TZLJOIS,X,X,O,O,O
TZLJOSI,O,X,X,O,O
TZLSIJO,O,X,X,X,X
TZLSIOJ,O,X,X,X,X
TZLSJIO,O,X,X,O,X
TZLSJOI,O,X,X,O,X
TZLSOIJ,O,X,X,X,X
TZLSOJI,O,X,X,O,X
TZLOIJS,X,X,O,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,X,X,O,O,O
TZLOJSI,O,X,X,O,O
TZLOSIJ,O,X,X,X,X
TZLOSJI,O,X,X,O,X
TZJILSO,X,X,O,O,O
TZJILOS,X,X,O,O,O
TZJISLO,X,X,X,O,X
TZJISOL,X,X,X,O,X
TZJIOLS,X,X,O,O,O
TZJIOSL,X,X,X,O,X
TZJLISO,X,X,O,O,O
TZJLIOS,X,X,O,O,O
TZJLSIO,O,X,X,O,O
TZJLSOI,O,X,X,O,O
TZJLOIS,X,X,O,O,O
TZJLOSI,O,X,X,O,O
TZJSILO,O,X,X,O,X
TZJSIOL,X,X,X,O,X
TZJSLIO,O,X,X,O,X
TZJSLOI,O,X,X,O,X
TZJSOIL,O,X,X,O,X
TZJSOLI,O,X,X,O,X
TZJOILS,X,X,O,O,O
TZJOISL,X,X,X,O,X
TZJOLIS,X,X,O,O,O
TZJOLSI,O,X,X,O,O
TZJOSIL,O,X,X,O,X
TZJOSLI,O,X,X,O,X
TZSILJO,O,X,X,X,X
TZSILOJ,O,X,X,X,X
TZSIJLO,O,X,X,O,X
TZSIJOL,X,X,X,O,X
TZSIOLJ,O,X,X,X,X
TZSIOJL,O,X,X,O,X
TZSLIJO,O,X,X,X,X
TZSLIOJ,O,X,X,X,X
TZSLJIO,O,X,X,O,X
TZSLJOI,O,X,X,O,X
TZSLOIJ,O,X,X,X,X
TZSLOJI,O,X,X,O,X
TZSJILO,O,X,X,O,X
TZSJIOL,X,X,X,O,X
TZSJLIO,O,X,X,O,X
TZSJLOI,O,X,X,O,X
TZSJOIL,O,X,X,O,X
TZSJOLI,O,X,X,O,X
TZSOILJ,O,X,X,X,X
TZSOIJL,O,X,X,O,X
TZSOLIJ,O,X,X,X,X
TZSOLJI,O,X,X,O,X
TZSOJIL,O,X,X,O,X
TZSOJLI,O,X,X,O,X
TZOILJS,X,X,O,X,X
TZOILSJ,O,X,X,X,X
TZOIJLS,X,X,O,O,X
TZOIJSL,X,X,X,O,X
TZOISLJ,O,X,X,X,X
TZOISJL,O,X,X,O,X
TZOLIJS,X,X,O,X,X
TZOLISJ,O,X,X,X,X
TZOLJIS,X,X,O,O,O
TZOLJSI,O,X,X,O,O
TZOLSIJ,O,X,X,X,X
TZOLSJI,O,X,X,O,X
TZOJILS,X,X,O,O,O
TZOJISL,X,X,X,O,X
TZOJLIS,X,X,O,O,O
TZOJLSI,O,X,X,O,O
TZOJSIL,O,X,X,O,X
TZOJSLI,O,X,X,O,X
TZOSILJ,O,X,X,X,X
TZOSIJL,O,X,X,O,X
TZOSLIJ,O,X,X,X,X
TZOSLJI,O,X,X,O,X
TZOSJIL,O,X,X,O,X
TZOSJLI,O,X,X,O,X
TOILJSZ,X,X,O,X,O
TOILJZS,X,X,O,X,O
