sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TJLZOIS,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X
TJSIZLO,X,X,O,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X
TJSZILO,X,X,O,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X
TJSZLIO,X,X,O,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,X,X
TJZISLO,X,X,O,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X
TJZSLIO,X,X,O,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X
TSILJZO,O,O,O,X,X,X,O,O
TSILJOZ,O,O,X,X,X,X,X,X
TSILZJO,O,X,O,X,X,X,O,O
TSILZOJ,O,O,O,X,X,X,O,O
TSILOJZ,O,O,O,X,X,X,X,O
TSILOZJ,O,O,O,X,X,X,X,O
TSIJLZO,X,O,O,X,X,X,X,X
TSIJLOZ,X,O,X,X,X,X,X,X
TSIJZLO,X,O,O,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,O,X
TSIJOLZ,X,O,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,X
TSIZLJO,O,X,O,X,X,X,X,O
TSIZLOJ,O,O,O,X,X,X,X,O
TSIZJLO,X,O,O,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,O,X
TSIZOLJ,O,O,O,X,X,X,X,O
TSIZOJL,X,O,O,X,X,X,O,X
TSIOLJZ,O,O,O,X,X,X,X,O
TSIOLZJ,O,O,O,X,X,X,X,O
TSIOJLZ,X,O,O,X,X,X,X,X
TSIOJZL,X,O,O,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,O
TSIOZJL,X,O,O,X,X,X,X,X
TSLIJZO,O,O,O,X,X,X,O,O
TSLIJOZ,O,O,X,X,X,X,X,X
TSLIZJO,O,X,O,X,X,X,O,O
TSLIZOJ,O,O,O,X,X,X,O,O
TSLIOJZ,O,O,O,X,X,X,X,O
TSLIOZJ,O,O,O,X,X,X,X,O
TSLJIZO,O,O,O,X,X,X,O,O
TSLJIOZ,O,O,X,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,O
TSLJZOI,O,O,X,X,X,X,X,X
TSLJOIZ,O,O,X,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X
TSLZIJO,O,X,O,X,X,X,O,O
TSLZIOJ,O,O,O,X,X,X,O,O
TSLZJIO,O,X,O,X,X,X,O,O
TSLZJOI,O,X,X,X,X,X,O,X
TSLZOIJ,O,O,O,X,X,X,O,O
TSLZOJI,O,X,O,X,X,X,O,O
TSLOIJZ,O,O,O,X,X,X,X,O
TSLOIZJ,O,O,O,X,X,X,X,O
TSLOJIZ,O,O,O,X,X,X,X,O
TSLOJZI,O,O,O,X,X,X,X,O
TSLOZIJ,O,O,O,X,X,X,X,O
TSLOZJI,O,X,O,X,X,X,X,O
TSJILZO,X,O,O,X,X,X,X,X
TSJILOZ,X,O,X,X,X,X,X,X
TSJIZLO,X,O,O,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,O,X
TSJIOLZ,X,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,X
TSJLIZO,X,O,O,X,X,X,X,X
TSJLIOZ,X,O,X,X,X,X,X,X
TSJLZIO,X,O,O,X,X,X,X,X
