sequence,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBemBUnBF?oBCnBXtB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBSoBlmBX?mBmnB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFigBumB3iBz?lBlsBctB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF/lBTjBimB1?sBGmB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF2lB/nBcoB1?rBCmBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBm?lBllBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBl?lBmlBzsB
IZTJOLS,O,O,O,X,X,X,X
IZTJOSL,O,X,O,X,O,X,X
IZTSLJO,X,X,X,X,O,X,O
IZTSLOJ,X,O,X,O,X,X,O
IZTSJLO,X,X,X,X,O,X,X
IZTSJOL,O,X,X,X,O,X,X
IZTSOLJ,X,O,X,O,X,X,X
IZTSOJL,O,X,X,X,O,X,X
IZTOLJS,O,O,O,X,X,X,X
IZTOLSJ,X,O,X,O,X,X,O
IZTOJLS,O,O,O,X,X,X,X
IZTOJSL,O,X,O,X,O,X,X
IZTOSLJ,X,O,X,O,X,X,X
IZTOSJL,O,X,X,X,O,X,X
IZLTJSO,X,X,X,X,O,O,O
IZLTJOS,O,O,X,X,X,X,X
IZLTSJO,X,X,X,X,O,O,O
IZLTSOJ,X,O,X,O,X,X,O
IZLTOJS,O,O,X,X,X,X,X
IZLTOSJ,X,O,X,O,X,X,O
IZLJTSO,X,X,X,X,O,O,O
IZLJTOS,O,O,X,X,X,X,X
IZLJSTO,X,X,X,X,X,O,O
IZLJSOT,X,X,X,X,X,O,X
IZLJOTS,O,O,X,X,X,X,X
IZLJOST,X,X,X,X,X,O,X
IZLSTJO,X,X,X,X,X,O,O
IZLSTOJ,X,O,X,O,X,X,O
IZLSJTO,X,X,X,X,X,O,O
IZLSJOT,X,X,X,X,X,O,X
IZLSOTJ,X,O,X,X,X,X,O
IZLSOJT,X,X,X,X,X,O,X
IZLOTJS,O,O,O,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,O
IZLOJTS,O,O,O,X,X,X,X
IZLOJST,X,X,X,X,X,O,X
IZLOSTJ,X,O,X,X,X,X,O
IZLOSJT,X,X,X,X,X,O,X
IZJTLSO,X,X,X,X,O,O,O
IZJTLOS,O,O,X,X,X,X,X
IZJTSLO,X,X,X,X,O,X,X
IZJTSOL,O,X,X,X,O,X,X
IZJTOLS,O,O,O,X,X,X,X
IZJTOSL,O,X,O,X,O,X,X
IZJLTSO,X,X,X,X,O,O,O
IZJLTOS,O,O,X,X,X,X,X
IZJLSTO,X,X,X,X,X,O,O
IZJLSOT,X,X,X,X,X,O,X
IZJLOTS,O,O,X,X,X,X,X
IZJLOST,X,X,X,X,X,O,X
IZJSTLO,X,X,X,X,O,X,X
IZJSTOL,O,X,X,X,O,X,X
IZJSLTO,X,X,X,X,X,O,X
IZJSLOT,X,X,X,X,X,O,X
IZJSOTL,O,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,X,X,X
IZJOTSL,O,X,O,X,O,X,X
IZJOLTS,O,O,O,X,X,X,X
IZJOLST,X,X,X,X,X,O,X
IZJOSTL,O,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X
IZSTLJO,X,X,X,X,O,X,O
IZSTLOJ,X,O,X,O,X,X,O
IZSTJLO,X,X,X,X,O,X,X
IZSTJOL,O,X,X,X,O,X,X
IZSTOLJ,X,O,X,O,X,X,X
IZSTOJL,O,X,X,X,O,X,X
IZSLTJO,X,X,X,X,X,O,O
IZSLTOJ,X,O,X,O,X,X,O
IZSLJTO,X,X,X,X,X,O,O
IZSLJOT,X,X,X,X,X,O,X
IZSLOTJ,X,O,X,X,X,X,O
IZSLOJT,X,X,X,X,X,O,X
IZSJTLO,X,X,X,X,O,X,X
IZSJTOL,O,X,X,X,O,X,X
IZSJLTO,X,X,X,X,X,O,X
IZSJLOT,X,X,X,X,X,O,X
IZSJOTL,O,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,O,X,X,X
IZSOTJL,O,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,X,X,X
IZOTLSJ,X,O,X,O,X,X,O
IZOTJLS,O,O,O,X,X,X,X
IZOTJSL,O,X,O,X,O,X,X
IZOTSLJ,X,O,X,O,X,X,X
IZOTSJL,O,X,X,X,O,X,X
IZOLTJS,O,O,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,O
IZOLJTS,O,O,O,X,X,X,X
IZOLJST,X,X,X,X,X,O,X
IZOLSTJ,X,O,X,X,X,X,O
IZOLSJT,X,X,X,X,X,O,X
IZOJTLS,O,O,O,X,X,X,X
IZOJTSL,O,X,O,X,O,X,X
IZOJLTS,O,O,O,X,X,X,X
IZOJLST,X,X,X,X,X,O,X
IZOJSTL,O,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,X
IZOSTJL,O,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,X
IOTLJZS,O,O,O,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,X
IOTLSZJ,X,O,X,O,X,X,O
IOTLZJS,O,O,O,X,X,X,X
IOTLZSJ,X,O,X,O,X,X,O
IOTJLSZ,X,O,O,O,X,X,X
IOTJLZS,O,O,O,X,X,X,X
IOTJSLZ,X,X,O,O,X,X,X
IOTJSZL,O,X,O,X,O,X,X
IOTJZLS,O,O,O,X,X,X,X
IOTJZSL,O,X,O,X,O,X,X
IOTSLJZ,X,O,O,O,X,X,X
IOTSLZJ,X,O,X,O,X,X,X
IOTSJLZ,X,X,O,O,X,X,X
IOTSJZL,O,X,O,X,O,X,X
IOTSZLJ,X,O,X,O,X,X,X
IOTSZJL,O,X,X,X,O,X,X
IOTZLJS,O,O,O,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,O
IOTZJLS,O,O,O,X,X,X,X
IOTZJSL,O,X,O,X,O,X,X
IOTZSLJ,X,O,X,O,X,X,X
IOTZSJL,O,X,X,X,O,X,X
IOLTJSZ,X,O,O,O,X,X,X
IOLTJZS,O,O,O,X,X,X,X
IOLTSJZ,X,O,O,O,X,X,X
IOLTSZJ,X,O,X,O,X,X,O
IOLTZJS,O,O,O,X,X,X,X
IOLTZSJ,X,O,X,O,X,X,O
IOLJTSZ,X,O,O,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X
IOLJSTZ,X,X,O,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X
IOLJZTS,O,X,O,X,X,X,X
IOLJZST,X,X,X,X,X,O,X
IOLSTJZ,X,O,O,O,X,X,X
IOLSTZJ,X,O,X,O,X,X,O
IOLSJTZ,X,X,O,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X
IOLSZTJ,X,X,X,X,X,X,O
IOLSZJT,X,X,X,X,X,O,X
IOLZTJS,O,O,O,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,O
IOLZJTS,O,O,O,X,X,X,X
IOLZJST,X,X,X,X,X,O,X
IOLZSTJ,X,O,X,X,X,X,O
IOLZSJT,X,X,X,X,X,O,X
IOJTLSZ,X,O,O,O,X,X,X
IOJTLZS,O,O,O,X,X,X,X
IOJTSLZ,X,X,O,O,X,X,X
IOJTSZL,O,X,O,X,O,X,X
IOJTZLS,O,O,O,X,X,X,X
IOJTZSL,O,X,O,X,O,X,X
IOJLTSZ,X,O,O,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,X
IOJLSZT,X,X,X,X,X,O,X
IOJLZTS,O,X,O,X,X,X,X
IOJLZST,X,X,X,X,X,O,X
IOJSTLZ,X,X,O,O,X,X,X
IOJSTZL,O,X,O,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X
IOJSLZT,X,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,X
IOJZTSL,O,X,O,X,O,X,X
IOJZLTS,O,O,O,X,X,X,X
IOJZLST,X,X,X,X,X,O,X
IOJZSTL,O,X,X,X,X,X,X
IOJZSLT,X,X,X,X,X,X,X
IOSTLJZ,X,O,O,O,X,X,X
IOSTLZJ,X,O,X,O,X,X,X
IOSTJLZ,X,X,O,O,X,X,X
IOSTJZL,O,X,O,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,X
IOSTZJL,O,X,X,X,X,X,X
IOSLTJZ,X,O,O,O,X,X,X
IOSLTZJ,X,O,X,O,X,X,X
IOSLJTZ,X,X,O,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,O,X,X,X
IOSJTZL,O,X,O,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,X,X
IOSZTJL,O,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X
IOZTLJS,O,O,O,X,X,X,X
IOZTLSJ,X,O,X,O,X,X,O
IOZTJLS,O,O,O,X,X,X,X
IOZTJSL,O,X,O,X,O,X,X
IOZTSLJ,X,O,X,O,X,X,X
IOZTSJL,O,X,X,X,O,X,X
IOZLTJS,O,O,O,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,O
IOZLJTS,O,O,O,X,X,X,X
IOZLJST,X,X,X,X,X,O,X
IOZLSTJ,X,O,X,X,X,X,O
IOZLSJT,X,X,X,X,X,O,X
IOZJTLS,O,O,O,X,X,X,X
IOZJTSL,O,X,O,X,O,X,X
IOZJLTS,O,O,O,X,X,X,X
IOZJLST,X,X,X,X,X,O,X
IOZJSTL,O,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,X,X
IOZSTJL,O,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,O,O,O
LTIJSOZ,X,X,X,O,X,X,X
LTIJZSO,X,X,X,X,O,O,O
LTIJZOS,O,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,X
LTIJOZS,O,O,O,X,X,X,X
LTISJZO,X,X,X,X,O,O,O
LTISJOZ,X,X,X,O,X,X,X
LTISZJO,X,X,X,X,O,O,O
LTISZOJ,X,X,X,O,X,X,O
LTISOJZ,X,O,X,O,X,X,X
LTISOZJ,X,O,X,O,X,X,O
LTIZJSO,X,X,X,X,O,O,O
LTIZJOS,O,O,X,X,X,X,X
LTIZSJO,X,X,X,X,O,O,O
LTIZSOJ,X,O,X,O,X,X,O
LTIZOJS,O,O,X,X,X,X,X
LTIZOSJ,X,O,X,O,X,X,O
LTIOJSZ,X,O,O,O,X,X,X
LTIOJZS,O,O,O,X,X,X,X
LTIOSJZ,X,O,O,O,X,X,X
LTIOSZJ,X,O,X,O,X,X,O
LTIOZJS,O,O,O,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,O
LTJISZO,X,X,X,X,O,O,O
LTJISOZ,X,X,X,O,X,X,X
LTJIZSO,X,X,X,X,O,O,O
LTJIZOS,O,X,X,X,X,X,X
LTJIOSZ,X,O,O,O,X,X,X
LTJIOZS,O,O,O,X,X,X,X
LTJSIZO,X,X,X,X,O,O,O
LTJSIOZ,X,X,X,O,X,X,X
LTJSZIO,X,X,X,X,O,O,O
LTJSZOI,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X
LTJSOZI,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,O,O,O
LTJZIOS,O,X,X,X,X,X,X
LTJZSIO,X,X,X,X,O,O,O
LTJZSOI,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X
LTJOISZ,X,O,O,O,X,X,X
LTJOIZS,O,O,O,X,X,X,X
LTJOSIZ,X,X,O,O,X,X,X
LTJOSZI,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,O,O,O
LTSIJOZ,X,X,X,O,X,X,X
LTSIZJO,X,X,X,X,O,O,O
LTSIZOJ,X,X,X,O,X,X,O
LTSIOJZ,X,O,X,O,X,X,X
LTSIOZJ,X,O,X,O,X,X,O
LTSJIZO,X,X,X,X,O,O,O
LTSJIOZ,X,X,X,O,X,X,X
LTSJZIO,X,X,X,X,O,O,O
LTSJZOI,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,O,O,O
LTSZIOJ,X,X,X,O,X,X,O
LTSZJIO,X,X,X,X,O,O,O
LTSZJOI,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,O,X,X,O
LTSZOJI,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,O,X,X,X
LTSOIZJ,X,O,X,O,X,X,O
LTSOJIZ,X,X,X,O,X,X,X
LTSOJZI,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,O,X,X,O
LTSOZJI,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,O,O,O
LTZIJOS,O,O,X,X,X,X,X
LTZISJO,X,X,X,X,O,O,O
LTZISOJ,X,O,X,O,X,X,O
LTZIOJS,O,O,X,X,X,X,X
LTZIOSJ,X,O,X,O,X,X,O
LTZJISO,X,X,X,X,O,O,O
LTZJIOS,O,O,X,X,X,X,X
LTZJSIO,X,X,X,X,O,O,O
LTZJSOI,X,X,X,X,X,X,X
LTZJOIS,O,O,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X
LTZSIJO,X,X,X,X,O,O,O
LTZSIOJ,X,O,X,O,X,X,O
LTZSJIO,X,X,X,X,O,O,O
LTZSJOI,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,O,X,X,O
LTZSOJI,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,X,X,X
LTZOISJ,X,O,X,O,X,X,O
LTZOJIS,O,O,X,X,X,X,X
LTZOJSI,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,O,X,X,O
LTZOSJI,X,X,X,X,X,X,X
LTOIJSZ,X,O,O,O,X,X,X
LTOIJZS,O,O,O,X,X,X,X
LTOISJZ,X,O,O,O,X,X,X
LTOISZJ,X,O,X,O,X,X,O
LTOIZJS,O,O,O,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,O
LTOJISZ,X,O,O,O,X,X,X
LTOJIZS,O,O,O,X,X,X,X
LTOJSIZ,X,X,O,O,X,X,X
LTOJSZI,X,X,X,X,X,X,X
LTOJZIS,O,X,O,X,X,X,X
LTOJZSI,X,X,X,X,X,X,X
LTOSIJZ,X,O,O,O,X,X,X
LTOSIZJ,X,O,X,O,X,X,O
LTOSJIZ,X,X,O,O,X,X,X
LTOSJZI,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,O,X,X,O
LTOSZJI,X,X,X,X,X,X,X
LTOZIJS,O,O,O,X,X,X,X
LTOZISJ,X,O,X,O,X,X,O
LTOZJIS,O,O,O,X,X,X,X
LTOZJSI,X,X,X,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,O
LTOZSJI,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,O,O
LITJSOZ,X,X,X,O,X,X,X
LITJZSO,X,X,X,X,O,O,O
LITJZOS,O,X,X,X,X,X,X
LITJOSZ,X,O,O,O,X,X,X
LITJOZS,O,O,O,X,X,X,X
LITSJZO,X,X,X,X,O,O,O
LITSJOZ,X,X,X,O,X,X,X
LITSZJO,X,X,X,X,O,O,O
LITSZOJ,X,X,X,O,X,X,O
LITSOJZ,X,O,X,O,X,X,X
LITSOZJ,X,O,X,O,X,X,O
LITZJSO,X,X,X,X,O,O,O
LITZJOS,O,O,X,X,X,X,X
LITZSJO,X,X,X,X,O,O,O
LITZSOJ,X,O,X,O,X,X,O
LITZOJS,O,O,X,X,X,X,X
LITZOSJ,X,O,X,O,X,X,O
LITOJSZ,X,O,O,O,X,X,X
LITOJZS,O,O,O,X,X,X,X
LITOSJZ,X,O,O,O,X,X,X
LITOSZJ,X,O,X,O,X,X,O
LITOZJS,O,O,O,X,X,X,X
LITOZSJ,X,O,X,O,X,X,O
LIJTSZO,X,X,X,X,O,O,O
LIJTSOZ,X,X,X,O,X,X,X
LIJTZSO,X,X,X,X,O,O,O
LIJTZOS,O,X,X,X,X,X,X
LIJTOSZ,X,O,O,O,X,X,X
LIJTOZS,O,O,O,X,X,X,X
LIJSTZO,X,X,X,X,X,O,O
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,X,X,X,X,X,O,O
LIJSZOT,X,X,X,X,X,O,X
LIJSOTZ,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,O,X
LIJZTSO,X,X,X,X,O,O,O
LIJZTOS,O,X,X,X,X,X,X
LIJZSTO,X,X,X,X,X,O,O
LIJZSOT,X,X,X,X,X,O,X
LIJZOTS,O,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,O,X
LIJOTSZ,X,O,O,X,X,X,X
LIJOTZS,O,O,O,X,X,X,X
LIJOSTZ,X,X,O,X,X,X,X
LIJOSZT,X,X,X,X,X,O,X
LIJOZTS,O,X,O,X,X,X,X
LIJOZST,X,X,X,X,X,O,X
LISTJZO,X,X,X,X,X,O,O
LISTJOZ,X,X,X,O,X,X,X
LISTZJO,X,X,X,X,X,O,O
LISTZOJ,X,X,X,O,X,X,O
LISTOJZ,X,O,X,O,X,X,X
LISTOZJ,X,O,X,O,X,X,O
LISJTZO,X,X,X,X,X,O,O
LISJTOZ,X,X,X,O,X,X,X
LISJZTO,X,X,X,X,X,O,O
LISJZOT,X,X,X,X,X,O,X
LISJOTZ,X,X,X,X,X,X,X
LISJOZT,X,X,X,X,X,O,X
LISZTJO,X,X,X,X,X,O,O
LISZTOJ,X,X,X,O,X,X,O
LISZJTO,X,X,X,X,X,O,O
LISZJOT,X,X,X,X,X,O,X
LISZOTJ,X,X,X,X,X,X,O
LISZOJT,X,X,X,X,X,O,X
LISOTJZ,X,O,O,O,X,X,X
LISOTZJ,X,O,X,O,X,X,O
LISOJTZ,X,X,O,X,X,X,X
LISOJZT,X,X,X,X,X,O,X
LISOZTJ,X,X,X,X,X,X,O
LISOZJT,X,X,X,X,X,O,X
LIZTJSO,X,X,X,X,O,O,O
LIZTJOS,O,O,X,X,X,X,X
LIZTSJO,X,X,X,X,O,O,O
LIZTSOJ,X,O,X,O,X,X,O
LIZTOJS,O,O,X,X,X,X,X
LIZTOSJ,X,O,X,O,X,X,O
LIZJTSO,X,X,X,X,O,O,O
LIZJTOS,O,O,X,X,X,X,X
LIZJSTO,X,X,X,X,X,O,O
LIZJSOT,X,X,X,X,X,O,X
LIZJOTS,O,O,X,X,X,X,X
LIZJOST,X,X,X,X,X,O,X
LIZSTJO,X,X,X,X,X,O,O
LIZSTOJ,X,O,X,O,X,X,O
LIZSJTO,X,X,X,X,X,O,O
LIZSJOT,X,X,X,X,X,O,X
LIZSOTJ,X,O,X,X,X,X,O
LIZSOJT,X,X,X,X,X,O,X
LIZOTJS,O,O,O,X,X,X,X
LIZOTSJ,X,O,X,X,X,X,O
LIZOJTS,O,O,O,X,X,X,X
LIZOJST,X,X,X,X,X,O,X
LIZOSTJ,X,O,X,X,X,X,O
LIZOSJT,X,X,X,X,X,O,X
LIOTJSZ,X,O,O,O,X,X,X
LIOTJZS,O,O,O,X,X,X,X
LIOTSJZ,X,O,O,O,X,X,X
LIOTSZJ,X,O,X,O,X,X,O
LIOTZJS,O,O,O,X,X,X,X
LIOTZSJ,X,O,X,O,X,X,O
LIOJTSZ,X,O,O,X,X,X,X
LIOJTZS,O,O,O,X,X,X,X
LIOJSTZ,X,X,O,X,X,X,X
LIOJSZT,X,X,X,X,X,O,X
LIOJZTS,O,X,O,X,X,X,X
LIOJZST,X,X,X,X,X,O,X
LIOSTJZ,X,O,O,O,X,X,X
LIOSTZJ,X,O,X,O,X,X,O
LIOSJTZ,X,X,O,X,X,X,X
LIOSJZT,X,X,X,X,X,O,X
LIOSZTJ,X,X,X,X,X,X,O
LIOSZJT,X,X,X,X,X,O,X
LIOZTJS,O,O,O,X,X,X,X
LIOZTSJ,X,O,X,X,X,X,O
LIOZJTS,O,O,O,X,X,X,X
LIOZJST,X,X,X,X,X,O,X
LIOZSTJ,X,O,X,X,X,X,O
LIOZSJT,X,X,X,X,X,O,X
LJTISZO,X,X,X,X,O,O,O
LJTISOZ,X,X,X,O,X,X,X
LJTIZSO,X,X,X,X,O,O,O
LJTIZOS,O,X,X,X,X,X,X
LJTIOSZ,X,O,O,O,X,X,X
LJTIOZS,O,O,O,X,X,X,X
LJTSIZO,X,X,X,X,O,O,O
LJTSIOZ,X,X,X,O,X,X,X
LJTSZIO,X,X,X,X,O,O,O
LJTSZOI,X,X,X,X,X,X,X
LJTSOIZ,X,X,X,O,X,X,X
LJTSOZI,X,X,X,X,X,X,X
LJTZISO,X,X,X,X,O,O,O
LJTZIOS,O,X,X,X,X,X,X
LJTZSIO,X,X,X,X,O,O,O
LJTZSOI,X,X,X,X,X,X,X
LJTZOIS,O,X,X,X,X,X,X
LJTZOSI,X,X,X,X,X,X,X
LJTOISZ,X,O,O,O,X,X,X
LJTOIZS,O,O,O,X,X,X,X
LJTOSIZ,X,X,O,O,X,X,X
LJTOSZI,X,X,X,X,X,X,X
LJTOZIS,O,X,O,X,X,X,X
LJTOZSI,X,X,X,X,X,X,X
LJITSZO,X,X,X,X,O,O,O
LJITSOZ,X,X,X,O,X,X,X
LJITZSO,X,X,X,X,O,O,O
LJITZOS,O,X,X,X,X,X,X
LJITOSZ,X,O,O,O,X,X,X
LJITOZS,O,O,O,X,X,X,X
LJISTZO,X,X,X,X,X,O,O
LJISTOZ,X,X,X,O,X,X,X
LJISZTO,X,X,X,X,X,O,O
LJISZOT,X,X,X,X,X,O,X
LJISOTZ,X,X,X,X,X,X,X
LJISOZT,X,X,X,X,X,O,X
LJIZTSO,X,X,X,X,O,O,O
LJIZTOS,O,X,X,X,X,X,X
LJIZSTO,X,X,X,X,X,O,O
LJIZSOT,X,X,X,X,X,O,X
LJIZOTS,O,X,X,X,X,X,X
LJIZOST,X,X,X,X,X,O,X
LJIOTSZ,X,O,O,X,X,X,X
LJIOTZS,O,O,O,X,X,X,X
LJIOSTZ,X,X,O,X,X,X,X
LJIOSZT,X,X,X,X,X,O,X
LJIOZTS,O,X,O,X,X,X,X
LJIOZST,X,X,X,X,X,O,X
LJSTIZO,X,X,X,X,X,O,O
LJSTIOZ,X,X,X,O,X,X,X
LJSTZIO,X,X,X,X,X,O,O
LJSTZOI,X,X,X,X,X,X,X
LJSTOIZ,X,X,X,O,X,X,X
LJSTOZI,X,X,X,X,X,X,X
LJSITZO,X,X,X,X,X,O,O
LJSITOZ,X,X,X,O,X,X,X
LJSIZTO,X,X,X,X,X,O,O
LJSIZOT,X,X,X,X,X,O,X
LJSIOTZ,X,X,X,X,X,X,X
LJSIOZT,X,X,X,X,X,O,X
LJSZTIO,X,X,X,X,X,O,O
LJSZTOI,X,X,X,X,X,X,X
LJSZITO,X,X,X,X,X,O,O
LJSZIOT,X,X,X,X,X,O,X
LJSZOTI,X,X,X,X,X,X,X
LJSZOIT,X,X,X,X,X,O,X
LJSOTIZ,X,X,X,X,X,X,X
LJSOTZI,X,X,X,X,X,X,X
LJSOITZ,X,X,X,X,X,X,X
LJSOIZT,X,X,X,X,X,O,X
LJSOZTI,X,X,X,X,X,X,X
LJSOZIT,X,X,X,X,X,O,X
LJZTISO,X,X,X,X,O,O,O
LJZTIOS,O,X,X,X,X,X,X
LJZTSIO,X,X,X,X,O,O,O
LJZTSOI,X,X,X,X,X,X,X
LJZTOIS,O,X,X,X,X,X,X
LJZTOSI,X,X,X,X,X,X,X
LJZITSO,X,X,X,X,O,O,O
LJZITOS,O,X,X,X,X,X,X
LJZISTO,X,X,X,X,X,O,O
LJZISOT,X,X,X,X,X,O,X
LJZIOTS,O,X,X,X,X,X,X
LJZIOST,X,X,X,X,X,O,X
LJZSTIO,X,X,X,X,X,O,O
LJZSTOI,X,X,X,X,X,X,X
LJZSITO,X,X,X,X,X,O,O
LJZSIOT,X,X,X,X,X,O,X
LJZSOTI,X,X,X,X,X,X,X
LJZSOIT,X,X,X,X,X,O,X
LJZOTIS,O,X,X,X,X,X,X
LJZOTSI,X,X,X,X,X,X,X
LJZOITS,O,X,X,X,X,X,X
LJZOIST,X,X,X,X,X,O,X
LJZOSTI,X,X,X,X,X,X,X
LJZOSIT,X,X,X,X,X,O,X
LJOTISZ,X,O,O,X,X,X,X
LJOTIZS,O,O,O,X,X,X,X
LJOTSIZ,X,X,O,X,X,X,X
LJOTSZI,X,X,X,X,X,X,X
LJOTZIS,O,X,O,X,X,X,X
LJOTZSI,X,X,X,X,X,X,X
LJOITSZ,X,O,O,X,X,X,X
LJOITZS,O,O,O,X,X,X,X
LJOISTZ,X,X,O,X,X,X,X
LJOISZT,X,X,X,X,X,O,X
LJOIZTS,O,X,O,X,X,X,X
LJOIZST,X,X,X,X,X,O,X
LJOSTIZ,X,X,O,X,X,X,X
LJOSTZI,X,X,X,X,X,X,X
LJOSITZ,X,X,O,X,X,X,X
LJOSIZT,X,X,X,X,X,O,X
LJOSZTI,X,X,X,X,X,X,X
LJOSZIT,X,X,X,X,X,O,X
LJOZTIS,O,X,O,X,X,X,X
LJOZTSI,X,X,X,X,X,X,X
LJOZITS,O,X,O,X,X,X,X
LJOZIST,X,X,X,X,X,O,X
LJOZSTI,X,X,X,X,X,X,X
LJOZSIT,X,X,X,X,X,O,X
LSTIJZO,X,X,X,X,X,O,O
LSTIJOZ,X,X,X,O,X,X,X
LSTIZJO,X,X,X,X,X,O,O
LSTIZOJ,X,X,X,O,X,X,O
LSTIOJZ,X,O,X,O,X,X,X
LSTIOZJ,X,O,X,O,X,X,O
LSTJIZO,X,X,X,X,X,O,O
LSTJIOZ,X,X,X,O,X,X,X
LSTJZIO,X,X,X,X,X,O,O
LSTJZOI,X,X,X,X,X,X,X
LSTJOIZ,X,X,X,O,X,X,X
LSTJOZI,X,X,X,X,X,X,X
LSTZIJO,X,X,X,X,X,O,O
LSTZIOJ,X,X,X,O,X,X,O
LSTZJIO,X,X,X,X,X,O,O
LSTZJOI,X,X,X,X,X,X,X
LSTZOIJ,X,X,X,O,X,X,O
LSTZOJI,X,X,X,X,X,X,X
LSTOIJZ,X,O,X,O,X,X,X
LSTOIZJ,X,O,X,O,X,X,O
LSTOJIZ,X,X,X,O,X,X,X
LSTOJZI,X,X,X,X,X,X,X
LSTOZIJ,X,X,X,O,X,X,O
LSTOZJI,X,X,X,X,X,X,X
LSITJZO,X,X,X,X,X,O,O
