sequence,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFukB1lB0iB6oBXq?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nBTjB0kBllB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBOpBllBStBzp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeT/IvhFxiBllBusBctBip?BXqB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iB6oBlkB3lB2u?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBctB6s?BzpB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nB0kBllBToB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFTjBfqBllBWtBCq?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBStBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTjBKpBfqBllBWt?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Je0AJvhFxiBlkBqsBToBOp?BXqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhF0iB6oBupB3lBzs?BFqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFCgBllBGoBXoBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBllBStBmpBTp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBllBStBmpBTp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTkBllBGoBXoByu?B0sB
JLIZSTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLIZOST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
JLIOTZS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O
JLIOSTZ,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
JLIOSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOZTS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JLIOZST,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSTIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLSTIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JLSTZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLSTZOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JLSTOIZ,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
JLSTOZI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
JLSITZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLSITOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JLSIZTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
JLSIOZT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSZTIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLSZTOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JLSZITO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JLSZOIT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLSOTIZ,X,O,X,X,O,X,X,O,O,O,O,O,X,X,O,O
JLSOTZI,X,O,X,X,O,X,O,X,O,O,O,O,X,X,O,O
JLSOITZ,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X
JLSOIZT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLSOZTI,X,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X
JLSOZIT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLZTISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLZTIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JLZTSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLZTSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
JLZTOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JLZTOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JLZITSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLZITOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JLZISTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLZIOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
JLZSTOI,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X
JLZSITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
JLZSOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLZOTIS,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JLZOTSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JLZOITS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLZOIST,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLZOSTI,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
JLZOSIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLOTISZ,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
JLOTIZS,X,X,O,X,O,X,O,X,O,X,X,O,O,O,O,O
JLOTSIZ,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,O
JLOTSZI,X,O,O,X,O,X,O,X,O,O,X,O,X,O,O,O
JLOTZIS,X,O,O,O,O,X,O,X,O,X,X,O,O,O,O,O
JLOTZSI,X,O,O,O,O,X,O,X,O,X,X,O,X,O,O,O
JLOITSZ,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O
JLOITZS,X,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O
JLOISTZ,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X
JLOISZT,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLOIZTS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
JLOIZST,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLOSTIZ,X,O,O,X,O,X,X,O,O,O,O,O,X,X,O,O
JLOSTZI,X,O,O,X,O,X,O,X,O,O,O,O,X,X,O,O
JLOSITZ,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X
JLOSIZT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLOSZTI,X,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X
JLOSZIT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JLOZTIS,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,O
JLOZTSI,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,O
JLOZITS,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JLOZIST,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JLOZSTI,X,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X
JLOZSIT,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JSTILZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSTIOLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSTIOZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSTLIZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X
JSTLZIO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O,X
JSTLOIZ,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,O
JSTLOZI,O,O,X,X,O,X,O,X,O,X,O,X,X,O,O,O
JSTZILO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTZLIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X
JSTZOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTZOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSTOIZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSTOLIZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSTOLZI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSTOZIL,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JSTOZLI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSITLZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSITOLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSITOZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSILTZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSILOZT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIZTLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZLTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSIZOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIOTLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSIOTZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSIOLTZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSIOLZT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIOZTL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSIOZLT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLTIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JSLTZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSLTZOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JSLTOIZ,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
JSLTOZI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
JSLITZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLITOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
JSLIZTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
JSLIOZT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLZTIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSLZTOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
JSLZITO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JSLZOIT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLOTIZ,X,O,X,X,O,X,X,O,O,O,O,O,X,X,O,O
JSLOTZI,X,O,X,X,O,X,O,X,O,O,O,O,X,X,O,O
JSLOITZ,X,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X
JSLOIZT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSLOZTI,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
JSLOZIT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSZTILO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZTLIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X
JSZTOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZTOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZILTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSZIOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSZLTIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X
JSZLITO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSZLOIT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOTIL,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X
JSZOTLI,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JSZOITL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSZOILT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSZOLTI,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSZOLIT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOTILZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSOTIZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSOTLIZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSOTLZI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOTZIL,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JSOTZLI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOITLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JSOITZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSOILTZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSOILZT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOIZTL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSOIZLT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLTIZ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
JSOLTZI,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
JSOLITZ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
JSOLIZT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZTI,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
JSOLZIT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOZTIL,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JSOZTLI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOZITL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSOZILT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOZLTI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOZLIT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTILSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZTISLO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZTIOSL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTLIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZTLSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
JZTLOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JZTLOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JZTSILO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZTSLIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
JZTSOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X
JZTOISL,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X
JZTOLSI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
JZTOSIL,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JZTOSLI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZITSLO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZILTOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZILSTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZILOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZISOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZIOTLS,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JZIOTSL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZIOLTS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZIOLST,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZIOSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLTIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZLTSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
JZLTOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JZLTOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
JZLITSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZLITOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZLISTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
JZLSTOI,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X
JZLSITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
JZLSOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZLOTIS,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JZLOTSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
JZLOITS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLOIST,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSTI,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
JZLOSIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSTLIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSTOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZSIOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZSLTIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSLITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSLOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZSOTIL,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X
JZSOTLI,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JZSOITL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JZSOILT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZSOLTI,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JZSOLIT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOTILS,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X
JZOTISL,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOTLIS,X,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X
JZOTLSI,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
JZOTSIL,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
JZOTSLI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOITLS,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,X
JZOITSL,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOILTS,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JZOILST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZOISTL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JZOISLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLTIS,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
JZOLTSI,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
JZOLITS,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JZOLIST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZOLSTI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X
JZOLSIT,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZOSTIL,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
JZOSTLI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOSITL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JZOSILT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOSLTI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOSLIT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTILSZ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
JOTILZS,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
JOTISLZ,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
JOTISZL,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JOTIZLS,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
JOTIZSL,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
JOTLISZ,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
JOTLIZS,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,O
JOTLSIZ,O,O,O,X,O,X,X,O,O,O,X,O,O,O,O,O
JOTLSZI,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,O
