sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
ITLJSOZ,O,X,X
ITLJZSO,O,X,O
ITLJZOS,O,X,O
ITLJOSZ,O,X,X
ITLJOZS,O,X,O
ITLSJZO,O,X,X
ITLSJOZ,O,X,X
ITLSZJO,O,X,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,O,X,O
ITLZJOS,O,X,O
ITLZSJO,O,X,O
ITLZSOJ,O,X,O
ITLZOJS,O,X,O
ITLZOSJ,O,X,O
ITLOJSZ,O,X,X
ITLOJZS,O,X,O
ITLOSJZ,O,X,X
ITLOSZJ,O,X,X
ITLOZJS,O,X,O
ITLOZSJ,O,X,O
ITJLSZO,O,X,X
ITJLSOZ,O,X,X
ITJLZSO,O,X,O
ITJLZOS,O,X,O
ITJLOSZ,O,X,X
ITJLOZS,O,X,O
ITJSLZO,O,O,X
ITJSLOZ,O,O,X
ITJSZLO,O,O,X
ITJSZOL,O,O,X
ITJSOLZ,O,O,X
ITJSOZL,O,O,X
ITJZLSO,X,O,O
ITJZLOS,X,O,O
ITJZSLO,O,O,O
ITJZSOL,O,O,O
ITJZOLS,X,O,O
ITJZOSL,O,O,O
ITJOLSZ,O,X,X
ITJOLZS,O,X,O
ITJOSLZ,O,O,X
ITJOSZL,O,O,X
ITJOZLS,X,O,O
ITJOZSL,O,O,O
ITSLJZO,O,O,X
ITSLJOZ,O,O,X
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,O,X
ITSLOZJ,O,O,X
ITSJLZO,O,O,X
ITSJLOZ,O,O,X
ITSJZLO,O,O,X
ITSJZOL,O,O,X
ITSJOLZ,O,O,X
ITSJOZL,O,O,X
ITSZLJO,O,O,X
ITSZLOJ,O,O,X
ITSZJLO,O,O,X
ITSZJOL,O,O,X
ITSZOLJ,O,O,X
ITSZOJL,O,O,X
ITSOLJZ,O,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,O,X
ITSOZLJ,O,O,X
ITSOZJL,O,O,X
ITZLJSO,O,O,O
ITZLJOS,O,O,O
ITZLSJO,O,X,O
ITZLSOJ,O,X,O
ITZLOJS,O,O,O
ITZLOSJ,O,X,O
ITZJLSO,X,O,O
ITZJLOS,X,O,O
ITZJSLO,O,O,O
ITZJSOL,O,O,O
ITZJOLS,X,O,O
ITZJOSL,O,O,O
ITZSLJO,O,O,O
ITZSLOJ,O,O,O
ITZSJLO,O,O,O
ITZSJOL,O,O,O
ITZSOLJ,O,O,O
ITZSOJL,O,O,O
ITZOLJS,O,O,O
ITZOLSJ,O,X,O
ITZOJLS,X,O,O
ITZOJSL,O,O,O
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,O,X,X
ITOLJZS,O,X,O
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,O,X,O
ITOLZSJ,O,X,O
ITOJLSZ,O,X,X
ITOJLZS,O,X,O
ITOJSLZ,O,O,X
ITOJSZL,O,O,X
ITOJZLS,X,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,O,X
ITOSLZJ,O,O,X
ITOSJLZ,O,O,X
ITOSJZL,O,O,X
ITOSZLJ,O,O,X
ITOSZJL,O,O,X
ITOZLJS,O,O,O
ITOZLSJ,O,X,O
ITOZJLS,X,O,O
ITOZJSL,O,O,O
ITOZSLJ,O,O,O
ITOZSJL,O,O,O
ILTJSZO,O,X,X
ILTJSOZ,O,X,X
ILTJZSO,O,X,O
ILTJZOS,O,X,O
ILTJOSZ,O,X,X
ILTJOZS,O,X,O
ILTSJZO,O,X,X
ILTSJOZ,O,X,X
ILTSZJO,O,X,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,O,X,O
ILTZJOS,O,X,O
ILTZSJO,O,X,O
ILTZSOJ,O,X,O
ILTZOJS,O,X,O
ILTZOSJ,O,X,O
ILTOJSZ,O,X,X
ILTOJZS,O,X,O
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,O,X,O
ILTOZSJ,O,X,O
ILJTSZO,O,X,X
ILJTSOZ,O,X,X
ILJTZSO,O,X,O
ILJTZOS,O,X,O
ILJTOSZ,O,X,X
ILJTOZS,O,X,O
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,O
ILJSZOT,O,O,O
ILJSOTZ,O,O,X
ILJSOZT,O,O,O
ILJZTSO,O,O,O
ILJZTOS,O,O,O
ILJZSTO,O,O,O
ILJZSOT,O,O,O
ILJZOTS,O,O,O
ILJZOST,O,O,O
ILJOTSZ,O,X,X
ILJOTZS,O,X,O
ILJOSTZ,O,O,X
ILJOSZT,O,O,O
ILJOZTS,O,O,O
ILJOZST,O,O,O
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,O
ILSJZOT,O,O,O
ILSJOTZ,O,O,X
ILSJOZT,O,O,O
ILSZTJO,O,O,O
ILSZTOJ,O,O,O
ILSZJTO,O,O,O
ILSZJOT,O,O,O
ILSZOTJ,O,O,O
ILSZOJT,O,O,O
ILSOTJZ,O,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,O
ILSOZTJ,O,O,O
ILSOZJT,O,O,O
ILZTJSO,O,O,O
ILZTJOS,O,O,O
ILZTSJO,O,X,O
ILZTSOJ,O,X,O
ILZTOJS,O,O,O
ILZTOSJ,O,X,O
ILZJTSO,O,O,O
ILZJTOS,O,O,O
ILZJSTO,O,O,O
ILZJSOT,O,O,O
ILZJOTS,O,O,O
ILZJOST,O,O,O
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,O,O
ILZSOTJ,O,O,O
ILZSOJT,O,O,O
ILZOTJS,O,O,O
ILZOTSJ,O,X,O
ILZOJTS,O,O,O
ILZOJST,O,O,O
