sequence,v115@RhA8FeF8BeE8Je/EJvhFZmBumBcnBTjB6qBFqB,v115@RhA8FeF8BeE8Je/EJvhFalB5lBcnBTjBOrBlrB,v115@RhA8FeF8BeE8Jex/IvhFCiBTjBlkBXnBmqB8qB,v115@RhA8FeF8BeE8Jem/IvhFxhBTjB0kBFnBCrBfrB,v115@RhA8FeF8BeE8JeT/IvhFXhBGjBVqBRnByrB0qB,v115@RhA8FeF8BeE8JeT/IvhF0gBGjBVqBRnByrBXrB
LZOSTIJ,O,O,X,O,X,X
LZOSTJI,O,O,X,O,X,X
LZOSITJ,O,O,X,X,X,X
LZOSIJT,O,O,X,X,X,X
LZOSJTI,O,O,X,O,X,X
LZOSJIT,O,O,X,X,X,X
LOTIJSZ,X,X,X,X,O,X
LOTIJZS,X,X,X,X,X,O
LOTISJZ,X,X,X,X,O,X
LOTISZJ,O,X,X,X,X,X
LOTIZJS,O,X,X,O,X,O
LOTIZSJ,O,X,X,O,X,X
LOTJISZ,X,X,X,X,O,X
LOTJIZS,X,X,X,X,X,O
LOTJSIZ,X,X,O,X,O,X
LOTJSZI,X,X,O,X,X,X
LOTJZIS,X,X,X,O,X,O
LOTJZSI,X,X,X,O,X,X
LOTSIJZ,X,X,O,X,O,X
LOTSIZJ,O,X,X,X,X,X
LOTSJIZ,X,X,O,X,O,X
LOTSJZI,X,X,O,X,X,X
LOTSZIJ,O,X,X,O,X,X
LOTSZJI,O,X,O,O,X,X
LOTZIJS,O,X,X,O,X,O
LOTZISJ,O,X,X,O,X,X
LOTZJIS,O,X,X,O,X,O
LOTZJSI,O,X,X,O,X,X
LOTZSIJ,O,X,X,O,X,X
LOTZSJI,O,X,X,O,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,X,X,X,X,X,O
LOITSJZ,X,X,X,X,O,X
LOITSZJ,O,X,X,X,X,X
LOITZJS,O,X,X,O,X,O
LOITZSJ,O,X,X,O,X,X
LOIJTSZ,X,X,X,X,O,X
LOIJTZS,X,X,X,X,X,O
LOIJSTZ,X,O,X,X,X,X
LOIJSZT,O,O,X,X,X,X
LOIJZTS,O,X,X,X,X,X
LOIJZST,O,O,X,X,X,X
LOISTJZ,X,O,X,X,X,X
LOISTZJ,O,O,X,X,X,X
LOISJTZ,X,O,X,X,X,X
LOISJZT,O,O,X,X,X,X
LOISZTJ,O,O,X,X,X,X
LOISZJT,O,O,X,X,X,X
LOIZTJS,O,X,X,O,X,X
LOIZTSJ,O,X,X,O,X,X
LOIZJTS,O,X,X,O,X,X
LOIZJST,O,O,X,X,X,X
LOIZSTJ,O,O,X,X,X,X
LOIZSJT,O,O,X,X,X,X
LOJTISZ,X,X,X,X,O,X
LOJTIZS,X,X,X,X,X,O
LOJTSIZ,X,X,O,X,O,X
LOJTSZI,X,X,O,X,X,X
LOJTZIS,X,X,X,O,X,O
LOJTZSI,X,X,X,O,X,X
LOJITSZ,X,X,X,X,O,X
LOJITZS,X,X,X,X,X,O
LOJISTZ,X,O,X,X,X,X
LOJISZT,O,O,X,X,X,X
LOJIZTS,O,X,X,X,X,X
LOJIZST,O,O,X,X,X,X
LOJSTIZ,X,O,O,X,X,X
LOJSTZI,X,O,O,X,X,X
LOJSITZ,X,O,O,X,X,X
LOJSIZT,O,O,X,X,X,X
LOJSZTI,O,O,O,X,X,X
LOJSZIT,O,O,X,X,X,X
LOJZTIS,O,X,X,O,X,X
LOJZTSI,O,X,X,O,X,X
LOJZITS,O,X,X,O,X,X
LOJZIST,O,O,X,X,X,X
LOJZSTI,O,O,X,O,X,X
LOJZSIT,O,O,X,X,X,X
LOSTIJZ,X,O,O,X,X,X
LOSTIZJ,O,O,X,X,X,X
LOSTJIZ,X,O,O,X,X,X
LOSTJZI,X,O,O,X,X,X
LOSTZIJ,O,O,X,O,X,X
LOSTZJI,O,O,O,O,X,X
LOSITJZ,X,O,O,X,X,X
LOSITZJ,O,O,X,X,X,X
LOSIJTZ,X,O,O,X,X,X
LOSIJZT,O,O,X,X,X,X
LOSIZTJ,O,O,X,X,X,X
LOSIZJT,O,O,X,X,X,X
LOSJTIZ,X,O,O,X,X,X
LOSJTZI,X,O,O,X,X,X
LOSJITZ,X,O,O,X,X,X
LOSJIZT,O,O,X,X,X,X
LOSJZTI,O,O,O,X,X,X
LOSJZIT,O,O,X,X,X,X
LOSZTIJ,O,O,X,O,X,X
LOSZTJI,O,O,O,O,X,X
LOSZITJ,O,O,X,X,X,X
LOSZIJT,O,O,X,X,X,X
LOSZJTI,O,O,O,O,X,X
LOSZJIT,O,O,X,X,X,X
LOZTIJS,O,X,X,O,X,X
LOZTISJ,O,X,X,O,X,X
LOZTJIS,O,X,X,O,X,X
LOZTJSI,O,X,X,O,X,X
LOZTSIJ,O,X,X,O,X,X
LOZTSJI,O,X,X,O,X,X
LOZITJS,O,X,X,O,X,X
LOZITSJ,O,X,X,O,X,X
LOZIJTS,O,X,X,O,X,X
LOZIJST,O,O,X,X,X,X
LOZISTJ,O,O,X,X,X,X
LOZISJT,O,O,X,X,X,X
LOZJTIS,O,X,X,O,X,X
LOZJTSI,O,X,X,O,X,X
LOZJITS,O,X,X,O,X,X
LOZJIST,O,O,X,X,X,X
LOZJSTI,O,O,X,O,X,X
LOZJSIT,O,O,X,X,X,X
LOZSTIJ,O,O,X,O,X,X
LOZSTJI,O,O,X,O,X,X
LOZSITJ,O,O,X,X,X,X
LOZSIJT,O,O,X,X,X,X
LOZSJTI,O,O,X,O,X,X
LOZSJIT,O,O,X,X,X,X
JTILSZO,X,X,X,X,X,X
JTILSOZ,X,X,X,X,O,X
JTILZSO,X,X,X,X,X,X
JTILZOS,X,X,X,X,X,O
JTILOSZ,X,X,X,X,O,X
JTILOZS,X,X,X,X,X,O
JTISLZO,X,O,O,X,X,X
JTISLOZ,X,O,O,X,O,X
JTISZLO,X,O,O,X,X,X
JTISZOL,X,O,O,X,O,O
JTISOLZ,X,O,O,X,O,X
JTISOZL,X,O,O,X,O,O
JTIZLSO,X,X,X,X,X,X
JTIZLOS,X,X,X,X,X,O
JTIZSLO,X,O,X,X,X,X
JTIZSOL,X,O,X,X,O,O
JTIZOLS,X,X,X,X,X,O
JTIZOSL,X,O,X,X,O,O
JTIOLSZ,X,X,X,X,O,X
JTIOLZS,X,X,X,X,X,O
JTIOSLZ,X,O,O,X,O,X
JTIOSZL,X,O,O,X,O,O
JTIOZLS,X,X,X,X,X,O
JTIOZSL,X,O,X,X,O,O
JTLISZO,X,X,X,X,X,X
JTLISOZ,X,X,X,X,O,X
JTLIZSO,X,X,X,X,X,X
JTLIZOS,X,X,X,X,X,O
JTLIOSZ,X,X,X,X,O,X
JTLIOZS,X,X,X,X,X,O
JTLSIZO,X,X,O,X,X,X
JTLSIOZ,X,X,O,X,O,X
JTLSZIO,X,X,O,X,X,X
JTLSZOI,X,X,O,X,X,X
JTLSOIZ,X,X,O,X,O,X
JTLSOZI,X,X,O,X,X,X
JTLZISO,X,X,X,O,X,X
JTLZIOS,X,X,X,O,X,O
JTLZSIO,X,X,X,O,X,X
JTLZSOI,X,X,X,O,X,X
JTLZOIS,X,X,X,O,X,O
JTLZOSI,X,X,X,O,X,X
JTLOISZ,X,X,X,X,O,X
JTLOIZS,X,X,X,X,X,O
JTLOSIZ,X,X,O,X,O,X
JTLOSZI,X,X,O,X,X,X
JTLOZIS,X,X,X,O,X,O
JTLOZSI,X,X,X,O,X,X
JTSILZO,X,O,O,X,X,X
JTSILOZ,X,O,O,X,O,X
JTSIZLO,X,O,O,X,X,X
JTSIZOL,X,O,O,X,O,O
JTSIOLZ,X,O,O,X,O,X
JTSIOZL,X,O,O,X,O,O
JTSLIZO,X,O,O,X,X,X
JTSLIOZ,X,O,O,X,O,X
JTSLZIO,X,O,O,X,X,X
JTSLZOI,X,O,O,X,X,X
JTSLOIZ,X,O,O,X,O,X
JTSLOZI,X,O,O,X,X,X
JTSZILO,X,O,O,X,X,X
JTSZIOL,X,O,O,X,O,O
JTSZLIO,X,O,O,X,X,X
JTSZLOI,X,O,O,X,X,X
JTSZOIL,X,O,O,X,O,O
JTSZOLI,X,O,O,X,X,X
JTSOILZ,X,O,O,X,O,X
JTSOIZL,X,O,O,X,O,O
JTSOLIZ,X,O,O,X,O,X
JTSOLZI,X,O,O,X,X,X
JTSOZIL,X,O,O,X,O,O
JTSOZLI,X,O,O,X,X,X
JTZILSO,X,X,X,O,X,X
JTZILOS,X,X,X,O,X,O
JTZISLO,X,O,X,X,X,X
JTZISOL,X,O,X,X,O,O
JTZIOLS,X,X,X,O,X,O
JTZIOSL,X,O,X,X,O,O
JTZLISO,X,X,X,O,X,X
JTZLIOS,X,X,X,O,X,O
JTZLSIO,X,X,X,O,X,X
JTZLSOI,X,X,X,O,X,X
JTZLOIS,X,X,X,O,X,O
JTZLOSI,X,X,X,O,X,X
JTZSILO,X,O,O,X,X,X
JTZSIOL,X,O,O,X,O,O
JTZSLIO,X,O,O,O,X,X
JTZSLOI,X,O,O,O,X,X
JTZSOIL,X,O,O,X,O,O
JTZSOLI,X,O,O,O,X,X
JTZOILS,X,X,X,O,X,O
JTZOISL,X,O,X,X,O,O
JTZOLIS,X,X,X,O,X,O
JTZOLSI,X,X,X,O,X,X
JTZOSIL,X,O,O,X,O,O
JTZOSLI,X,O,O,O,X,X
JTOILSZ,X,X,X,X,O,X
JTOILZS,X,X,X,X,X,O
JTOISLZ,X,O,O,X,O,X
JTOISZL,X,O,O,X,O,O
JTOIZLS,X,X,X,X,X,O
JTOIZSL,X,O,X,X,O,O
JTOLISZ,X,X,X,X,O,X
JTOLIZS,X,X,X,X,X,O
JTOLSIZ,X,X,O,X,O,X
JTOLSZI,X,X,O,X,X,X
JTOLZIS,X,X,X,O,X,O
JTOLZSI,X,X,X,O,X,X
JTOSILZ,X,O,O,X,O,X
JTOSIZL,X,O,O,X,O,O
JTOSLIZ,X,O,O,X,O,X
JTOSLZI,X,O,O,X,X,X
JTOSZIL,X,O,O,X,O,O
JTOSZLI,X,O,O,X,X,X
JTOZILS,X,X,X,O,X,O
JTOZISL,X,O,X,X,O,O
JTOZLIS,X,X,X,O,X,O
JTOZLSI,X,X,X,O,X,X
JTOZSIL,X,O,O,X,O,O
JTOZSLI,X,O,O,O,X,X
JITLSZO,X,X,X,X,X,X
JITLSOZ,X,X,X,X,O,X
JITLZSO,X,X,X,X,X,X
JITLZOS,X,X,X,X,X,O
JITLOSZ,X,X,X,X,O,X
JITLOZS,X,X,X,X,X,O
JITSLZO,X,O,O,X,X,X
JITSLOZ,X,O,O,X,O,X
JITSZLO,X,O,O,X,X,X
JITSZOL,X,O,O,X,O,O
JITSOLZ,X,O,O,X,O,X
JITSOZL,X,O,O,X,O,O
JITZLSO,X,X,X,X,X,X
JITZLOS,X,X,X,X,X,O
JITZSLO,X,O,X,X,X,X
JITZSOL,X,O,X,X,O,O
JITZOLS,X,X,X,X,X,O
JITZOSL,X,O,X,X,O,O
JITOLSZ,X,X,X,X,O,X
JITOLZS,X,X,X,X,X,O
JITOSLZ,X,O,O,X,O,X
JITOSZL,X,O,O,X,O,O
JITOZLS,X,X,X,X,X,O
JITOZSL,X,O,X,X,O,O
JILTSZO,X,X,X,X,X,X
JILTSOZ,X,X,X,X,O,X
JILTZSO,X,X,X,X,X,X
JILTZOS,X,X,X,X,X,O
JILTOSZ,X,X,X,X,O,X
JILTOZS,X,X,X,X,X,O
JILSTZO,X,O,X,X,X,X
JILSTOZ,X,O,X,X,X,X
JILSZTO,O,O,X,X,X,X
JILSZOT,O,O,X,X,X,X
JILSOTZ,X,O,X,X,X,X
JILSOZT,O,O,X,X,X,X
JILZTSO,O,X,X,X,X,X
JILZTOS,O,X,X,X,X,X
JILZSTO,O,O,X,X,X,X
JILZSOT,O,O,X,X,X,X
JILZOTS,O,X,X,X,X,X
JILZOST,O,O,X,X,X,X
JILOTSZ,X,X,X,X,O,X
JILOTZS,X,X,X,X,X,O
JILOSTZ,X,O,X,X,X,X
JILOSZT,O,O,X,X,X,X
JILOZTS,O,X,X,X,X,X
JILOZST,O,O,X,X,X,X
JISTLZO,X,O,O,X,X,X
JISTLOZ,X,O,O,X,O,X
JISTZLO,X,O,O,X,X,X
JISTZOL,X,O,O,X,O,O
JISTOLZ,X,O,O,X,O,X
JISTOZL,X,O,O,X,O,O
JISLTZO,X,O,O,X,X,X
JISLTOZ,X,O,O,X,X,X
JISLZTO,O,O,X,X,X,X
JISLZOT,O,O,X,X,X,X
JISLOTZ,X,O,O,X,X,X
JISLOZT,O,O,X,X,X,X
JISZTLO,O,O,X,X,X,X
JISZTOL,O,O,X,X,X,X
JISZLTO,O,O,X,X,X,X
JISZLOT,O,O,X,X,X,X
JISZOTL,O,O,X,X,X,X
JISZOLT,O,O,X,X,X,X
JISOTLZ,X,O,O,X,O,X
JISOTZL,X,O,O,X,O,O
JISOLTZ,X,O,O,X,X,X
JISOLZT,O,O,X,X,X,X
JISOZTL,O,O,X,X,X,X
JISOZLT,O,O,X,X,X,X
JIZTLSO,O,X,X,X,X,X
JIZTLOS,O,X,X,X,X,O
JIZTSLO,O,O,X,X,X,X
JIZTSOL,O,O,X,X,O,O
JIZTOLS,O,X,X,X,X,O
JIZTOSL,O,O,X,X,O,O
JIZLTSO,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X
JIZLSTO,O,O,X,X,X,X
JIZLSOT,O,O,X,X,X,X
JIZLOTS,O,X,X,X,X,X
JIZLOST,O,O,X,X,X,X
JIZSTLO,O,O,X,X,X,X
JIZSTOL,O,O,X,X,X,X
JIZSLTO,O,O,X,X,X,X
JIZSLOT,O,O,X,X,X,X
JIZSOTL,O,O,X,X,X,X
JIZSOLT,O,O,X,X,X,X
JIZOTLS,O,X,X,X,X,O
JIZOTSL,O,O,X,X,O,O
JIZOLTS,O,X,X,X,X,X
JIZOLST,O,O,X,X,X,X
JIZOSTL,O,O,X,X,X,X
JIZOSLT,O,O,X,X,X,X
JIOTLSZ,X,X,X,X,O,X
JIOTLZS,X,X,X,X,X,O
JIOTSLZ,X,O,O,X,O,X
JIOTSZL,X,O,O,X,O,O
JIOTZLS,X,X,X,X,X,O
JIOTZSL,X,O,X,X,O,O
JIOLTSZ,X,X,X,X,O,X
JIOLTZS,X,X,X,X,X,O
JIOLSTZ,X,O,X,X,X,X
JIOLSZT,O,O,X,X,X,X
JIOLZTS,O,X,X,X,X,X
JIOLZST,O,O,X,X,X,X
JIOSTLZ,X,O,O,X,O,X
JIOSTZL,X,O,O,X,O,O
JIOSLTZ,X,O,O,X,X,X
JIOSLZT,O,O,X,X,X,X
JIOSZTL,O,O,X,X,X,X
JIOSZLT,O,O,X,X,X,X
JIOZTLS,O,X,X,X,X,O
JIOZTSL,O,O,X,X,O,O
JIOZLTS,O,X,X,X,X,X
JIOZLST,O,O,X,X,X,X
JIOZSTL,O,O,X,X,X,X
JIOZSLT,O,O,X,X,X,X
JLTISZO,X,X,X,X,X,X
JLTISOZ,X,X,X,X,O,X
JLTIZSO,X,X,X,X,X,X
JLTIZOS,X,X,X,X,X,O
JLTIOSZ,X,X,X,X,O,X
JLTIOZS,X,X,X,X,X,O
JLTSIZO,X,X,O,X,X,X
JLTSIOZ,X,X,O,X,O,X
JLTSZIO,X,X,O,X,X,X
JLTSZOI,X,X,O,X,X,X
JLTSOIZ,X,X,O,X,O,X
JLTSOZI,X,X,O,X,X,X
JLTZISO,X,X,X,O,X,X
JLTZIOS,X,X,X,O,X,O
JLTZSIO,X,X,X,O,X,X
JLTZSOI,X,X,X,O,X,X
JLTZOIS,X,X,X,O,X,O
JLTZOSI,X,X,X,O,X,X
JLTOISZ,X,X,X,X,O,X
JLTOIZS,X,X,X,X,X,O
JLTOSIZ,X,X,O,X,O,X
JLTOSZI,X,X,O,X,X,X
JLTOZIS,X,X,X,O,X,O
JLTOZSI,X,X,X,O,X,X
JLITSZO,X,X,X,X,X,X
JLITSOZ,X,X,X,X,O,X
JLITZSO,X,X,X,X,X,X
JLITZOS,X,X,X,X,X,O
JLITOSZ,X,X,X,X,O,X
JLITOZS,X,X,X,X,X,O
JLISTZO,X,O,X,X,X,X
JLISTOZ,X,O,X,X,X,X
JLISZTO,O,O,X,X,X,X
JLISZOT,O,O,X,X,X,X
JLISOTZ,X,O,X,X,X,X
JLISOZT,O,O,X,X,X,X
JLIZTSO,O,X,X,X,X,X
JLIZTOS,O,X,X,X,X,X
JLIZSTO,O,O,X,X,X,X
JLIZSOT,O,O,X,X,X,X
JLIZOTS,O,X,X,X,X,X
JLIZOST,O,O,X,X,X,X
JLIOTSZ,X,X,X,X,O,X
JLIOTZS,X,X,X,X,X,O
JLIOSTZ,X,O,X,X,X,X
JLIOSZT,O,O,X,X,X,X
JLIOZTS,O,X,X,X,X,X
JLIOZST,O,O,X,X,X,X
JLSTIZO,X,O,O,X,X,X
JLSTIOZ,X,O,O,X,X,X
JLSTZIO,X,O,O,X,X,X
JLSTZOI,X,O,O,X,X,X
JLSTOIZ,X,O,O,X,X,X
JLSTOZI,X,O,O,X,X,X
JLSITZO,X,O,O,X,X,X
JLSITOZ,X,O,O,X,X,X
JLSIZTO,O,O,X,X,X,X
JLSIZOT,O,O,X,X,X,X
JLSIOTZ,X,O,O,X,X,X
JLSIOZT,O,O,X,X,X,X
JLSZTIO,O,O,O,X,X,X
JLSZTOI,O,O,O,X,X,X
JLSZITO,O,O,X,X,X,X
JLSZIOT,O,O,X,X,X,X
JLSZOTI,O,O,O,X,X,X
JLSZOIT,O,O,X,X,X,X
JLSOTIZ,X,O,O,X,X,X
JLSOTZI,X,O,O,X,X,X
JLSOITZ,X,O,O,X,X,X
JLSOIZT,O,O,X,X,X,X
JLSOZTI,O,O,O,X,X,X
JLSOZIT,O,O,X,X,X,X
JLZTISO,O,X,X,O,X,X
JLZTIOS,O,X,X,O,X,X
JLZTSIO,O,X,X,O,X,X
JLZTSOI,O,X,X,O,X,X
JLZTOIS,O,X,X,O,X,X
JLZTOSI,O,X,X,O,X,X
JLZITSO,O,X,X,O,X,X
JLZITOS,O,X,X,O,X,X
JLZISTO,O,O,X,X,X,X
JLZISOT,O,O,X,X,X,X
JLZIOTS,O,X,X,O,X,X
JLZIOST,O,O,X,X,X,X
JLZSTIO,O,O,X,O,X,X
JLZSTOI,O,O,X,O,X,X
JLZSITO,O,O,X,X,X,X
JLZSIOT,O,O,X,X,X,X
JLZSOTI,O,O,X,O,X,X
JLZSOIT,O,O,X,X,X,X
JLZOTIS,O,X,X,O,X,X
JLZOTSI,O,X,X,O,X,X
JLZOITS,O,X,X,O,X,X
JLZOIST,O,O,X,X,X,X
JLZOSTI,O,O,X,O,X,X
JLZOSIT,O,O,X,X,X,X
JLOTISZ,X,X,X,X,O,X
JLOTIZS,X,X,X,X,X,O
JLOTSIZ,X,X,O,X,O,X
JLOTSZI,X,X,O,X,X,X
JLOTZIS,X,X,X,O,X,O
JLOTZSI,X,X,X,O,X,X
JLOITSZ,X,X,X,X,O,X
JLOITZS,X,X,X,X,X,O
JLOISTZ,X,O,X,X,X,X
JLOISZT,O,O,X,X,X,X
JLOIZTS,O,X,X,X,X,X
JLOIZST,O,O,X,X,X,X
JLOSTIZ,X,O,O,X,X,X
JLOSTZI,X,O,O,X,X,X
JLOSITZ,X,O,O,X,X,X
JLOSIZT,O,O,X,X,X,X
JLOSZTI,O,O,O,X,X,X
JLOSZIT,O,O,X,X,X,X
JLOZTIS,O,X,X,O,X,X
JLOZTSI,O,X,X,O,X,X
JLOZITS,O,X,X,O,X,X
JLOZIST,O,O,X,X,X,X
JLOZSTI,O,O,X,O,X,X
JLOZSIT,O,O,X,X,X,X
JSTILZO,X,O,O,X,X,X
JSTILOZ,X,O,O,X,O,X
JSTIZLO,X,O,O,X,X,X
JSTIZOL,X,O,O,X,O,O
JSTIOLZ,X,O,O,X,O,X
JSTIOZL,X,O,O,X,O,O
JSTLIZO,X,O,O,X,X,X
JSTLIOZ,X,O,O,X,O,X
JSTLZIO,X,O,O,X,X,X
JSTLZOI,X,O,O,X,X,X
JSTLOIZ,X,O,O,X,O,X
JSTLOZI,X,O,O,X,X,X
JSTZILO,X,O,O,X,X,X
JSTZIOL,X,O,O,X,O,O
JSTZLIO,X,O,O,X,X,X
JSTZLOI,X,O,O,X,X,X
JSTZOIL,X,O,O,X,O,O
JSTZOLI,X,O,O,X,X,X
JSTOILZ,X,O,O,X,O,X
JSTOIZL,X,O,O,X,O,O
JSTOLIZ,X,O,O,X,O,X
JSTOLZI,X,O,O,X,X,X
JSTOZIL,X,O,O,X,O,O
JSTOZLI,X,O,O,X,X,X
JSITLZO,X,O,O,X,X,X
JSITLOZ,X,O,O,X,O,X
JSITZLO,X,O,O,X,X,X
JSITZOL,X,O,O,X,O,O
JSITOLZ,X,O,O,X,O,X
JSITOZL,X,O,O,X,O,O
JSILTZO,X,O,O,X,X,X
JSILTOZ,X,O,O,X,X,X
JSILZTO,O,O,X,X,X,X
JSILZOT,O,O,X,X,X,X
JSILOTZ,X,O,O,X,X,X
JSILOZT,O,O,X,X,X,X
JSIZTLO,O,O,X,X,X,X
JSIZTOL,O,O,X,X,X,X
JSIZLTO,O,O,X,X,X,X
JSIZLOT,O,O,X,X,X,X
JSIZOTL,O,O,X,X,X,X
JSIZOLT,O,O,X,X,X,X
JSIOTLZ,X,O,O,X,O,X
JSIOTZL,X,O,O,X,O,O
JSIOLTZ,X,O,O,X,X,X
JSIOLZT,O,O,X,X,X,X
JSIOZTL,O,O,X,X,X,X
JSIOZLT,O,O,X,X,X,X
JSLTIZO,X,O,O,X,X,X
JSLTIOZ,X,O,O,X,X,X
JSLTZIO,X,O,O,X,X,X
JSLTZOI,X,O,O,X,X,X
JSLTOIZ,X,O,O,X,X,X
JSLTOZI,X,O,O,X,X,X
JSLITZO,X,O,O,X,X,X
JSLITOZ,X,O,O,X,X,X
JSLIZTO,O,O,X,X,X,X
JSLIZOT,O,O,X,X,X,X
JSLIOTZ,X,O,O,X,X,X
JSLIOZT,O,O,X,X,X,X
JSLZTIO,O,O,O,X,X,X
JSLZTOI,O,O,O,X,X,X
JSLZITO,O,O,X,X,X,X
JSLZIOT,O,O,X,X,X,X
JSLZOTI,O,O,O,X,X,X
JSLZOIT,O,O,X,X,X,X
JSLOTIZ,X,O,O,X,X,X
JSLOTZI,X,O,O,X,X,X
JSLOITZ,X,O,O,X,X,X
JSLOIZT,O,O,X,X,X,X
JSLOZTI,O,O,O,X,X,X
JSLOZIT,O,O,X,X,X,X
JSZTILO,O,O,O,X,X,X
JSZTIOL,O,O,O,X,X,X
JSZTLIO,O,O,O,X,X,X
JSZTLOI,O,O,O,X,X,X
JSZTOIL,O,O,O,X,X,X
JSZTOLI,O,O,O,X,X,X
JSZITLO,O,O,X,X,X,X
JSZITOL,O,O,X,X,X,X
JSZILTO,O,O,X,X,X,X
JSZILOT,O,O,X,X,X,X
JSZIOTL,O,O,X,X,X,X
JSZIOLT,O,O,X,X,X,X
JSZLTIO,O,O,O,X,X,X
JSZLTOI,O,O,O,X,X,X
JSZLITO,O,O,X,X,X,X
JSZLIOT,O,O,X,X,X,X
JSZLOTI,O,O,O,X,X,X
JSZLOIT,O,O,X,X,X,X
JSZOTIL,O,O,O,X,X,X
JSZOTLI,O,O,O,X,X,X
JSZOITL,O,O,X,X,X,X
JSZOILT,O,O,X,X,X,X
JSZOLTI,O,O,O,X,X,X
JSZOLIT,O,O,X,X,X,X
JSOTILZ,X,O,O,X,O,X
JSOTIZL,X,O,O,X,O,O
JSOTLIZ,X,O,O,X,O,X
JSOTLZI,X,O,O,X,X,X
JSOTZIL,X,O,O,X,O,O
JSOTZLI,X,O,O,X,X,X
JSOITLZ,X,O,O,X,O,X
JSOITZL,X,O,O,X,O,O
JSOILTZ,X,O,O,X,X,X
JSOILZT,O,O,X,X,X,X
JSOIZTL,O,O,X,X,X,X
JSOIZLT,O,O,X,X,X,X
JSOLTIZ,X,O,O,X,X,X
JSOLTZI,X,O,O,X,X,X
JSOLITZ,X,O,O,X,X,X
JSOLIZT,O,O,X,X,X,X
JSOLZTI,O,O,O,X,X,X
JSOLZIT,O,O,X,X,X,X
JSOZTIL,O,O,O,X,X,X
JSOZTLI,O,O,O,X,X,X
JSOZITL,O,O,X,X,X,X
JSOZILT,O,O,X,X,X,X
JSOZLTI,O,O,O,X,X,X
JSOZLIT,O,O,X,X,X,X
JZTILSO,O,X,X,O,X,X
JZTILOS,O,X,X,O,X,O
JZTISLO,O,O,X,X,X,X
JZTISOL,O,O,X,X,O,O
JZTIOLS,O,X,X,O,X,O
JZTIOSL,O,O,X,X,O,O
JZTLISO,O,X,X,O,X,X
JZTLIOS,O,X,X,O,X,O
JZTLSIO,O,X,X,O,X,X
JZTLSOI,O,X,X,O,X,X
JZTLOIS,O,X,X,O,X,O
JZTLOSI,O,X,X,O,X,X
JZTSILO,O,O,O,X,X,X
JZTSIOL,O,O,O,X,O,O
JZTSLIO,O,O,O,O,X,X
JZTSLOI,O,O,O,O,X,X
JZTSOIL,O,O,O,X,O,O
JZTSOLI,O,O,O,O,X,X
JZTOILS,O,X,X,O,X,O
JZTOISL,O,O,X,X,O,O
JZTOLIS,O,X,X,O,X,O
JZTOLSI,O,X,X,O,X,X
JZTOSIL,O,O,O,X,O,O
JZTOSLI,O,O,O,O,X,X
JZITLSO,O,X,X,O,X,X
JZITLOS,O,X,X,O,X,O
JZITSLO,O,O,X,X,X,X
JZITSOL,O,O,X,X,O,O
JZITOLS,O,X,X,O,X,O
JZITOSL,O,O,X,X,O,O
JZILTSO,O,X,X,O,X,X
JZILTOS,O,X,X,O,X,X
JZILSTO,O,O,X,X,X,X
JZILSOT,O,O,X,X,X,X
JZILOTS,O,X,X,O,X,X
JZILOST,O,O,X,X,X,X
JZISTLO,O,O,X,X,X,X
JZISTOL,O,O,X,X,X,X
JZISLTO,O,O,X,X,X,X
JZISLOT,O,O,X,X,X,X
JZISOTL,O,O,X,X,X,X
JZISOLT,O,O,X,X,X,X
JZIOTLS,O,X,X,O,X,O
JZIOTSL,O,O,X,X,O,O
JZIOLTS,O,X,X,O,X,X
JZIOLST,O,O,X,X,X,X
JZIOSTL,O,O,X,X,X,X
JZIOSLT,O,O,X,X,X,X
JZLTISO,O,X,X,O,X,X
JZLTIOS,O,X,X,O,X,X
JZLTSIO,O,X,X,O,X,X
JZLTSOI,O,X,X,O,X,X
JZLTOIS,O,X,X,O,X,X
JZLTOSI,O,X,X,O,X,X
JZLITSO,O,X,X,O,X,X
JZLITOS,O,X,X,O,X,X
JZLISTO,O,O,X,X,X,X
JZLISOT,O,O,X,X,X,X
JZLIOTS,O,X,X,O,X,X
JZLIOST,O,O,X,X,X,X
JZLSTIO,O,O,X,O,X,X
JZLSTOI,O,O,X,O,X,X
JZLSITO,O,O,X,X,X,X
JZLSIOT,O,O,X,X,X,X
JZLSOTI,O,O,X,O,X,X
JZLSOIT,O,O,X,X,X,X
JZLOTIS,O,X,X,O,X,X
JZLOTSI,O,X,X,O,X,X
JZLOITS,O,X,X,O,X,X
JZLOIST,O,O,X,X,X,X
JZLOSTI,O,O,X,O,X,X
JZLOSIT,O,O,X,X,X,X
JZSTILO,O,O,O,X,X,X
JZSTIOL,O,O,O,X,X,X
JZSTLIO,O,O,O,O,X,X
JZSTLOI,O,O,O,O,X,X
JZSTOIL,O,O,O,X,X,X
JZSTOLI,O,O,O,O,X,X
JZSITLO,O,O,X,X,X,X
JZSITOL,O,O,X,X,X,X
JZSILTO,O,O,X,X,X,X
JZSILOT,O,O,X,X,X,X
JZSIOTL,O,O,X,X,X,X
JZSIOLT,O,O,X,X,X,X
JZSLTIO,O,O,O,O,X,X
JZSLTOI,O,O,O,O,X,X
JZSLITO,O,O,X,X,X,X
