sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
JZSOLTI,O,O,X,X,X,X
JZSOLIT,O,O,O,X,O,O
JZOTILS,X,X,X,X,O,X
JZOTISL,X,X,X,X,X,O
JZOTLIS,X,X,X,X,O,X
JZOTLSI,O,O,X,O,X,X
JZOTSIL,O,O,X,O,X,O
JZOTSLI,O,O,X,O,X,X
JZOITLS,X,X,X,X,O,X
JZOITSL,X,X,X,X,X,O
JZOILTS,X,X,X,X,O,X
JZOILST,X,O,X,X,O,O
JZOISTL,X,O,X,X,X,O
JZOISLT,X,O,X,X,O,O
JZOLTIS,X,X,X,X,O,X
JZOLTSI,O,O,X,O,X,X
JZOLITS,X,X,X,X,O,X
JZOLIST,X,O,X,X,O,O
JZOLSTI,O,O,X,X,X,X
JZOLSIT,O,O,X,X,O,O
JZOSTIL,O,O,X,O,X,O
JZOSTLI,O,O,X,O,X,X
JZOSITL,X,O,X,X,X,O
JZOSILT,O,O,X,X,O,O
JZOSLTI,O,O,X,X,X,X
JZOSLIT,O,O,X,X,O,O
JOTILSZ,X,X,O,O,X,X
JOTILZS,X,X,X,X,O,X
JOTISLZ,X,X,O,O,X,X
JOTISZL,X,X,O,O,X,O
JOTIZLS,X,X,X,X,O,X
JOTIZSL,X,X,X,X,X,O
JOTLISZ,X,X,O,O,X,X
JOTLIZS,X,X,X,X,O,X
JOTLSIZ,O,O,O,O,X,X
JOTLSZI,X,X,O,O,X,X
JOTLZIS,X,X,X,X,O,X
JOTLZSI,O,O,X,O,X,X
JOTSILZ,O,O,O,O,X,X
JOTSIZL,X,X,O,O,X,O
JOTSLIZ,O,O,O,O,X,X
JOTSLZI,X,X,O,O,X,X
JOTSZIL,X,X,O,O,X,O
JOTSZLI,X,X,O,O,X,X
JOTZILS,X,X,X,X,O,X
JOTZISL,X,X,X,X,X,O
JOTZLIS,X,X,X,X,O,X
JOTZLSI,O,O,X,O,X,X
JOTZSIL,O,O,X,O,X,O
JOTZSLI,O,O,X,O,X,X
JOITLSZ,X,X,O,O,X,X
JOITLZS,X,X,X,X,O,X
JOITSLZ,X,X,O,O,X,X
JOITSZL,X,X,O,O,X,O
JOITZLS,X,X,X,X,O,X
JOITZSL,X,X,X,X,X,O
JOILTSZ,X,X,O,O,X,X
JOILTZS,X,X,X,X,O,X
JOILSTZ,X,O,O,X,X,X
JOILSZT,X,O,O,X,O,O
JOILZTS,X,X,X,X,O,X
JOILZST,X,O,O,X,O,O
JOISTLZ,X,O,O,O,X,X
JOISTZL,X,X,O,O,X,O
JOISLTZ,X,O,O,X,X,X
JOISLZT,X,O,O,X,O,O
JOISZTL,X,X,O,X,X,O
JOISZLT,X,O,O,X,O,O
JOIZTLS,X,X,X,X,O,X
JOIZTSL,X,X,X,X,X,O
JOIZLTS,X,X,X,X,O,X
JOIZLST,X,O,O,X,O,O
JOIZSTL,X,O,O,X,X,O
JOIZSLT,X,O,O,X,O,O
JOLTISZ,X,X,O,O,X,X
JOLTIZS,X,X,X,X,O,X
JOLTSIZ,O,O,O,O,X,X
JOLTSZI,X,X,O,O,X,X
JOLTZIS,X,X,X,X,O,X
JOLTZSI,O,O,X,O,X,X
JOLITSZ,X,X,O,O,X,X
JOLITZS,X,X,X,X,O,X
JOLISTZ,X,O,O,X,X,X
JOLISZT,X,O,O,X,O,O
JOLIZTS,X,X,X,X,O,X
JOLIZST,X,O,O,X,O,O
JOLSTIZ,O,O,O,O,X,X
JOLSTZI,X,X,O,O,X,X
JOLSITZ,O,O,O,X,X,X
JOLSIZT,O,O,O,X,O,O
JOLSZTI,X,O,O,X,X,X
JOLSZIT,X,O,O,X,O,O
JOLZTIS,X,X,X,X,O,X
JOLZTSI,O,O,X,O,X,X
JOLZITS,X,X,X,X,O,X
JOLZIST,X,O,O,X,O,O
JOLZSTI,O,O,O,X,X,X
JOLZSIT,O,O,O,X,O,O
JOSTILZ,O,O,O,O,X,X
JOSTIZL,X,X,O,O,X,O
JOSTLIZ,O,O,O,O,X,X
JOSTLZI,X,X,O,O,X,X
JOSTZIL,X,X,O,O,X,O
JOSTZLI,X,X,O,O,X,X
JOSITLZ,X,O,O,O,X,X
JOSITZL,X,X,O,O,X,O
JOSILTZ,O,O,O,X,X,X
JOSILZT,O,O,O,X,O,O
JOSIZTL,X,X,O,X,X,O
JOSIZLT,X,O,O,X,O,O
JOSLTIZ,O,O,O,O,X,X
JOSLTZI,X,X,O,O,X,X
JOSLITZ,O,O,O,X,X,X
JOSLIZT,O,O,O,X,O,O
JOSLZTI,X,O,O,X,X,X
JOSLZIT,X,O,O,X,O,O
JOSZTIL,X,O,O,O,X,O
JOSZTLI,X,O,O,O,X,X
JOSZITL,X,O,O,X,X,O
JOSZILT,X,O,O,X,O,O
JOSZLTI,X,O,O,X,X,X
JOSZLIT,X,O,O,X,O,O
JOZTILS,X,X,X,X,O,X
JOZTISL,X,X,X,X,X,O
JOZTLIS,X,X,X,X,O,X
JOZTLSI,O,O,X,O,X,X
JOZTSIL,O,O,X,O,X,O
JOZTSLI,O,O,X,O,X,X
JOZITLS,X,X,X,X,O,X
JOZITSL,X,X,X,X,X,O
JOZILTS,X,X,X,X,O,X
JOZILST,X,O,O,X,O,O
JOZISTL,X,O,O,X,X,O
JOZISLT,X,O,O,X,O,O
JOZLTIS,X,X,X,X,O,X
JOZLTSI,O,O,X,O,X,X
JOZLITS,X,X,X,X,O,X
JOZLIST,X,O,O,X,O,O
JOZLSTI,O,O,O,X,X,X
JOZLSIT,O,O,O,X,O,O
JOZSTIL,O,O,O,O,X,O
JOZSTLI,O,O,O,O,X,X
JOZSITL,X,O,O,X,X,O
JOZSILT,O,O,O,X,O,O
JOZSLTI,O,O,O,X,X,X
JOZSLIT,O,O,O,X,O,O
STILJZO,X,X,O,O,X,X
STILJOZ,O,X,X,O,X,X
STILZJO,X,X,O,X,X,X
STILZOJ,O,X,X,X,X,X
STILOJZ,O,O,X,O,X,X
STILOZJ,O,O,X,X,X,X
STIJLZO,X,X,O,O,X,X
STIJLOZ,O,X,X,O,X,X
STIJZLO,X,X,O,O,X,X
STIJZOL,X,X,X,O,X,O
STIJOLZ,O,X,X,O,X,X
STIJOZL,X,X,X,O,X,O
STIZLJO,X,X,O,X,X,X
STIZLOJ,O,X,X,X,X,X
STIZJLO,X,X,O,X,X,X
STIZJOL,X,X,X,X,X,O
STIZOLJ,O,X,X,X,X,X
STIZOJL,X,X,X,X,X,O
STIOLJZ,O,O,X,O,X,X
STIOLZJ,O,O,X,X,X,X
STIOJLZ,O,X,X,O,X,X
STIOJZL,X,X,X,O,X,O
STIOZLJ,O,X,X,X,X,X
STIOZJL,X,X,X,X,X,O
STLIJZO,X,X,O,O,X,X
STLIJOZ,O,X,X,O,X,X
STLIZJO,X,X,O,X,X,X
STLIZOJ,O,X,X,X,X,X
STLIOJZ,O,O,X,O,X,X
STLIOZJ,O,O,X,X,X,X
STLJIZO,X,X,O,O,X,X
STLJIOZ,O,O,X,O,X,X
STLJZIO,X,X,O,O,X,X
STLJZOI,X,X,X,O,X,X
STLJOIZ,O,O,X,O,X,X
STLJOZI,X,X,X,O,X,X
STLZIJO,O,X,O,X,X,X
STLZIOJ,O,X,X,X,X,X
STLZJIO,O,X,O,O,X,X
STLZJOI,O,X,X,O,X,X
STLZOIJ,O,X,X,X,X,X
STLZOJI,O,X,X,O,X,X
STLOIJZ,O,O,X,O,X,X
STLOIZJ,O,O,X,X,X,X
STLOJIZ,O,O,X,O,X,X
STLOJZI,X,X,X,O,X,X
STLOZIJ,O,X,X,X,X,X
STLOZJI,O,X,X,O,X,X
STJILZO,X,X,O,O,X,X
STJILOZ,O,O,X,O,X,X
STJIZLO,X,X,O,O,X,X
STJIZOL,X,X,X,O,X,O
STJIOLZ,O,O,X,O,X,X
STJIOZL,X,X,X,O,X,O
STJLIZO,X,X,O,O,X,X
STJLIOZ,O,O,X,O,X,X
STJLZIO,X,X,O,O,X,X
STJLZOI,X,X,X,O,X,X
STJLOIZ,O,O,X,O,X,X
STJLOZI,X,X,X,O,X,X
STJZILO,X,X,O,O,X,X
STJZIOL,X,X,X,O,X,O
STJZLIO,X,X,O,O,X,X
STJZLOI,X,X,X,O,X,X
STJZOIL,X,X,X,O,X,O
STJZOLI,X,X,X,O,X,X
STJOILZ,O,O,X,O,X,X
STJOIZL,X,X,X,O,X,O
STJOLIZ,O,O,X,O,X,X
STJOLZI,X,X,X,O,X,X
STJOZIL,X,X,X,O,X,O
STJOZLI,X,X,X,O,X,X
STZILJO,O,X,O,X,X,X
STZILOJ,O,X,X,X,X,X
STZIJLO,O,X,O,X,X,X
STZIJOL,O,X,X,X,X,O
STZIOLJ,O,X,X,X,X,X
STZIOJL,O,X,X,X,X,O
STZLIJO,O,X,O,X,X,X
STZLIOJ,O,X,X,X,X,X
STZLJIO,O,X,O,O,X,X
STZLJOI,O,X,X,O,X,X
STZLOIJ,O,X,X,X,X,X
STZLOJI,O,X,X,O,X,X
STZJILO,O,X,O,O,X,X
STZJIOL,O,X,X,O,X,O
STZJLIO,O,X,O,O,X,X
STZJLOI,O,X,X,O,X,X
STZJOIL,O,X,X,O,X,O
STZJOLI,O,X,X,O,X,X
STZOILJ,O,X,X,X,X,X
STZOIJL,O,X,X,X,X,O
STZOLIJ,O,X,X,X,X,X
STZOLJI,O,X,X,O,X,X
STZOJIL,O,X,X,O,X,O
STZOJLI,O,X,X,O,X,X
STOILJZ,O,O,X,O,X,X
STOILZJ,O,O,X,X,X,X
STOIJLZ,O,X,X,O,X,X
STOIJZL,X,X,X,O,X,O
STOIZLJ,O,X,X,X,X,X
STOIZJL,X,X,X,X,X,O
STOLIJZ,O,O,X,O,X,X
STOLIZJ,O,O,X,X,X,X
STOLJIZ,O,O,X,O,X,X
STOLJZI,X,X,X,O,X,X
STOLZIJ,O,X,X,X,X,X
STOLZJI,O,X,X,O,X,X
STOJILZ,O,O,X,O,X,X
STOJIZL,X,X,X,O,X,O
STOJLIZ,O,O,X,O,X,X
STOJLZI,X,X,X,O,X,X
STOJZIL,X,X,X,O,X,O
STOJZLI,X,X,X,O,X,X
STOZILJ,O,X,X,X,X,X
STOZIJL,O,X,X,X,X,O
STOZLIJ,O,X,X,X,X,X
STOZLJI,O,X,X,O,X,X
STOZJIL,O,X,X,O,X,O
STOZJLI,O,X,X,O,X,X
SITLJZO,X,X,O,O,X,X
SITLJOZ,O,X,X,O,X,X
SITLZJO,X,X,O,X,X,X
SITLZOJ,O,X,X,X,X,X
SITLOJZ,O,O,X,O,X,X
SITLOZJ,O,O,X,X,X,X
SITJLZO,X,X,O,O,X,X
SITJLOZ,O,X,X,O,X,X
SITJZLO,X,X,O,O,X,X
SITJZOL,X,X,X,O,X,O
SITJOLZ,O,X,X,O,X,X
SITJOZL,X,X,X,O,X,O
SITZLJO,X,X,O,X,X,X
SITZLOJ,O,X,X,X,X,X
SITZJLO,X,X,O,X,X,X
SITZJOL,X,X,X,X,X,O
SITZOLJ,O,X,X,X,X,X
SITZOJL,X,X,X,X,X,O
SITOLJZ,O,O,X,O,X,X
SITOLZJ,O,O,X,X,X,X
SITOJLZ,O,X,X,O,X,X
SITOJZL,X,X,X,O,X,O
SITOZLJ,O,X,X,X,X,X
SITOZJL,X,X,X,X,X,O
SILTJZO,X,X,O,X,X,X
SILTJOZ,O,X,X,X,X,X
SILTZJO,X,X,O,X,X,X
SILTZOJ,O,X,X,X,X,X
SILTOJZ,O,O,X,X,X,X
SILTOZJ,O,O,X,X,X,X
SILJTZO,X,X,O,X,X,X
SILJTOZ,X,O,X,X,X,X
SILJZTO,X,X,O,X,X,X
SILJZOT,X,O,O,X,O,O
SILJOTZ,O,O,X,X,X,X
SILJOZT,O,O,O,X,O,O
SILZTJO,X,X,O,X,X,X
SILZTOJ,X,X,X,X,X,X
SILZJTO,X,X,O,X,X,X
SILZJOT,X,X,O,X,O,O
SILZOTJ,O,O,X,X,X,X
SILZOJT,O,O,O,X,O,O
SILOTJZ,O,O,O,X,X,X
SILOTZJ,O,O,O,X,X,X
SILOJTZ,O,O,O,X,X,X
SILOJZT,O,O,O,X,O,O
SILOZTJ,O,O,O,X,X,X
SILOZJT,O,O,O,X,O,O
SIJTLZO,X,X,O,O,X,X
SIJTLOZ,X,O,X,O,X,X
SIJTZLO,X,X,O,O,X,X
SIJTZOL,X,X,X,O,X,O
SIJTOLZ,X,O,X,O,X,X
SIJTOZL,X,X,X,O,X,O
SIJLTZO,X,X,O,X,X,X
SIJLTOZ,X,O,X,X,X,X
SIJLZTO,X,X,O,X,X,X
SIJLZOT,X,O,O,X,O,O
SIJLOTZ,O,O,X,X,X,X
SIJLOZT,O,O,O,X,O,O
SIJZTLO,X,X,O,X,X,X
SIJZTOL,X,X,X,X,X,O
SIJZLTO,X,X,O,X,X,X
SIJZLOT,X,O,O,X,O,O
SIJZOTL,X,X,X,X,X,O
SIJZOLT,X,O,O,X,O,O
SIJOTLZ,X,O,X,O,X,X
SIJOTZL,X,X,X,O,X,O
SIJOLTZ,O,O,X,X,X,X
SIJOLZT,O,O,O,X,O,O
SIJOZTL,X,X,X,X,X,O
SIJOZLT,X,O,O,X,O,O
SIZTLJO,X,X,O,X,X,X
SIZTLOJ,X,X,X,X,X,X
SIZTJLO,X,X,O,X,X,X
SIZTJOL,X,X,X,X,X,O
SIZTOLJ,X,X,X,X,X,X
SIZTOJL,X,X,X,X,X,O
SIZLTJO,X,X,O,X,X,X
SIZLTOJ,X,X,X,X,X,X
SIZLJTO,X,X,O,X,X,X
SIZLJOT,X,X,O,X,O,O
SIZLOTJ,O,O,X,X,X,X
SIZLOJT,O,O,O,X,O,O
SIZJTLO,X,X,O,X,X,X
SIZJTOL,X,X,X,X,X,O
SIZJLTO,X,X,O,X,X,X
SIZJLOT,X,X,O,X,O,O
SIZJOTL,X,X,X,X,X,O
SIZJOLT,X,X,O,X,O,O
SIZOTLJ,X,X,X,X,X,X
SIZOTJL,X,X,X,X,X,O
SIZOLTJ,O,O,X,X,X,X
SIZOLJT,O,O,O,X,O,O
SIZOJTL,X,X,X,X,X,O
SIZOJLT,X,X,O,X,O,O
SIOTLJZ,O,O,O,O,X,X
SIOTLZJ,O,O,O,X,X,X
SIOTJLZ,O,X,O,O,X,X
SIOTJZL,X,X,O,O,X,O
SIOTZLJ,O,X,O,X,X,X
SIOTZJL,X,X,O,X,X,O
SIOLTJZ,O,O,O,X,X,X
SIOLTZJ,O,O,O,X,X,X
SIOLJTZ,O,O,O,X,X,X
SIOLJZT,O,O,O,X,O,O
SIOLZTJ,O,O,O,X,X,X
SIOLZJT,O,O,O,X,O,O
SIOJTLZ,X,O,O,O,X,X
SIOJTZL,X,X,O,O,X,O
SIOJLTZ,O,O,O,X,X,X
SIOJLZT,O,O,O,X,O,O
SIOJZTL,X,X,O,X,X,O
SIOJZLT,X,O,O,X,O,O
SIOZTLJ,X,X,O,X,X,X
SIOZTJL,X,X,O,X,X,O
SIOZLTJ,O,O,O,X,X,X
SIOZLJT,O,O,O,X,O,O
SIOZJTL,X,X,O,X,X,O
SIOZJLT,X,X,O,X,O,O
SLTIJZO,X,X,O,O,X,X
SLTIJOZ,O,X,X,O,X,X
SLTIZJO,X,X,O,X,X,X
SLTIZOJ,O,X,X,X,X,X
SLTIOJZ,O,O,X,O,X,X
SLTIOZJ,O,O,X,X,X,X
SLTJIZO,X,X,O,O,X,X
SLTJIOZ,O,O,X,O,X,X
SLTJZIO,X,X,O,O,X,X
SLTJZOI,X,X,X,O,X,X
SLTJOIZ,O,O,X,O,X,X
SLTJOZI,X,X,X,O,X,X
SLTZIJO,O,X,O,X,X,X
SLTZIOJ,O,X,X,X,X,X
SLTZJIO,O,X,O,O,X,X
SLTZJOI,O,X,X,O,X,X
SLTZOIJ,O,X,X,X,X,X
SLTZOJI,O,X,X,O,X,X
SLTOIJZ,O,O,X,O,X,X
SLTOIZJ,O,O,X,X,X,X
SLTOJIZ,O,O,X,O,X,X
SLTOJZI,X,X,X,O,X,X
SLTOZIJ,O,X,X,X,X,X
SLTOZJI,O,X,X,O,X,X
SLITJZO,X,X,O,X,X,X
SLITJOZ,O,X,X,X,X,X
SLITZJO,X,X,O,X,X,X
SLITZOJ,O,X,X,X,X,X
SLITOJZ,O,O,X,X,X,X
SLITOZJ,O,O,X,X,X,X
SLIJTZO,X,X,O,X,X,X
SLIJTOZ,X,O,X,X,X,X
SLIJZTO,X,X,O,X,X,X
SLIJZOT,X,O,O,X,O,O
SLIJOTZ,O,O,X,X,X,X
SLIJOZT,O,O,O,X,O,O
SLIZTJO,X,X,O,X,X,X
SLIZTOJ,X,X,X,X,X,X
SLIZJTO,X,X,O,X,X,X
SLIZJOT,X,X,O,X,O,O
SLIZOTJ,O,O,X,X,X,X
SLIZOJT,O,O,O,X,O,O
SLIOTJZ,O,O,O,X,X,X
SLIOTZJ,O,O,O,X,X,X
SLIOJTZ,O,O,O,X,X,X
SLIOJZT,O,O,O,X,O,O
SLIOZTJ,O,O,O,X,X,X
SLIOZJT,O,O,O,X,O,O
SLJTIZO,X,X,O,O,X,X
SLJTIOZ,O,O,X,O,X,X
SLJTZIO,X,X,O,O,X,X
SLJTZOI,X,X,X,O,X,X
SLJTOIZ,O,O,X,O,X,X
SLJTOZI,X,X,X,O,X,X
SLJITZO,X,X,O,X,X,X
SLJITOZ,X,O,X,X,X,X
SLJIZTO,X,X,O,X,X,X
SLJIZOT,X,O,O,X,O,O
SLJIOTZ,O,O,X,X,X,X
SLJIOZT,O,O,O,X,O,O
SLJZTIO,X,O,O,X,X,X
SLJZTOI,X,O,X,X,X,X
SLJZITO,X,O,O,X,X,X
SLJZIOT,X,O,O,X,O,O
SLJZOTI,X,O,X,X,X,X
SLJZOIT,X,O,O,X,O,O
SLJOTIZ,O,O,X,O,X,X
SLJOTZI,X,X,X,O,X,X
SLJOITZ,O,O,X,X,X,X
SLJOIZT,O,O,O,X,O,O
SLJOZTI,X,O,X,X,X,X
SLJOZIT,X,O,O,X,O,O
SLZTIJO,O,X,O,X,X,X
SLZTIOJ,O,O,X,X,X,X
SLZTJIO,O,O,O,X,X,X
SLZTJOI,O,O,X,X,X,X
SLZTOIJ,O,O,X,X,X,X
SLZTOJI,O,O,X,X,X,X
SLZITJO,O,X,O,X,X,X
SLZITOJ,O,O,X,X,X,X
SLZIJTO,X,O,O,X,X,X
SLZIJOT,O,O,O,X,O,O
SLZIOTJ,O,O,X,X,X,X
SLZIOJT,O,O,O,X,O,O
SLZJTIO,O,O,O,X,X,X
SLZJTOI,O,O,X,X,X,X
SLZJITO,X,O,O,X,X,X
SLZJIOT,O,O,O,X,O,O
SLZJOTI,O,O,X,X,X,X
SLZJOIT,O,O,O,X,O,O
SLZOTIJ,O,O,X,X,X,X
SLZOTJI,O,O,X,X,X,X
SLZOITJ,O,O,X,X,X,X
SLZOIJT,O,O,O,X,O,O
SLZOJTI,O,O,X,X,X,X
SLZOJIT,O,O,O,X,O,O
SLOTIJZ,O,O,O,O,X,X
SLOTIZJ,O,O,O,X,X,X
SLOTJIZ,O,O,O,O,X,X
SLOTJZI,X,X,O,O,X,X
SLOTZIJ,O,X,O,X,X,X
SLOTZJI,O,X,O,O,X,X
SLOITJZ,O,O,O,X,X,X
SLOITZJ,O,O,O,X,X,X
SLOIJTZ,O,O,O,X,X,X
SLOIJZT,O,O,O,X,O,O
SLOIZTJ,O,O,O,X,X,X
SLOIZJT,O,O,O,X,O,O
SLOJTIZ,O,O,O,O,X,X
SLOJTZI,X,X,O,O,X,X
SLOJITZ,O,O,O,X,X,X
SLOJIZT,O,O,O,X,O,O
SLOJZTI,X,O,O,X,X,X
SLOJZIT,X,O,O,X,O,O
SLOZTIJ,O,O,O,X,X,X
SLOZTJI,O,O,O,X,X,X
SLOZITJ,O,O,O,X,X,X
SLOZIJT,O,O,O,X,O,O
SLOZJTI,O,O,O,X,X,X
SLOZJIT,O,O,O,X,O,O
SJTILZO,X,X,O,O,X,X
SJTILOZ,O,O,X,O,X,X
SJTIZLO,X,X,O,O,X,X
SJTIZOL,X,X,X,O,X,O
SJTIOLZ,O,O,X,O,X,X
SJTIOZL,X,X,X,O,X,O
SJTLIZO,X,X,O,O,X,X
SJTLIOZ,O,O,X,O,X,X
SJTLZIO,X,X,O,O,X,X
SJTLZOI,X,X,X,O,X,X
SJTLOIZ,O,O,X,O,X,X
SJTLOZI,X,X,X,O,X,X
SJTZILO,X,X,O,O,X,X
SJTZIOL,X,X,X,O,X,O
SJTZLIO,X,X,O,O,X,X
SJTZLOI,X,X,X,O,X,X
SJTZOIL,X,X,X,O,X,O
SJTZOLI,X,X,X,O,X,X
SJTOILZ,O,O,X,O,X,X
SJTOIZL,X,X,X,O,X,O
SJTOLIZ,O,O,X,O,X,X
SJTOLZI,X,X,X,O,X,X
SJTOZIL,X,X,X,O,X,O
SJTOZLI,X,X,X,O,X,X
SJITLZO,X,X,O,O,X,X
SJITLOZ,X,O,X,O,X,X
SJITZLO,X,X,O,O,X,X
SJITZOL,X,X,X,O,X,O
SJITOLZ,X,O,X,O,X,X
SJITOZL,X,X,X,O,X,O
SJILTZO,X,X,O,X,X,X
SJILTOZ,X,O,X,X,X,X
SJILZTO,X,X,O,X,X,X
SJILZOT,X,O,O,X,O,O
SJILOTZ,O,O,X,X,X,X
SJILOZT,O,O,O,X,O,O
SJIZTLO,X,X,O,X,X,X
SJIZTOL,X,X,X,X,X,O
SJIZLTO,X,X,O,X,X,X
SJIZLOT,X,O,O,X,O,O
SJIZOTL,X,X,X,X,X,O
SJIZOLT,X,O,O,X,O,O
SJIOTLZ,X,O,X,O,X,X
SJIOTZL,X,X,X,O,X,O
SJIOLTZ,O,O,X,X,X,X
SJIOLZT,O,O,O,X,O,O
SJIOZTL,X,X,X,X,X,O
SJIOZLT,X,O,O,X,O,O
SJLTIZO,X,X,O,O,X,X
SJLTIOZ,O,O,X,O,X,X
SJLTZIO,X,X,O,O,X,X
SJLTZOI,X,X,X,O,X,X
SJLTOIZ,O,O,X,O,X,X
SJLTOZI,X,X,X,O,X,X
SJLITZO,X,X,O,X,X,X
SJLITOZ,X,O,X,X,X,X
SJLIZTO,X,X,O,X,X,X
SJLIZOT,X,O,O,X,O,O
SJLIOTZ,O,O,X,X,X,X
SJLIOZT,O,O,O,X,O,O
SJLZTIO,X,O,O,X,X,X
SJLZTOI,X,O,X,X,X,X
SJLZITO,X,O,O,X,X,X
SJLZIOT,X,O,O,X,O,O
SJLZOTI,X,O,X,X,X,X
SJLZOIT,X,O,O,X,O,O
SJLOTIZ,O,O,X,O,X,X
SJLOTZI,X,X,X,O,X,X
SJLOITZ,O,O,X,X,X,X
SJLOIZT,O,O,O,X,O,O
SJLOZTI,X,O,X,X,X,X
SJLOZIT,X,O,O,X,O,O
SJZTILO,X,O,O,O,X,X
SJZTIOL,X,O,X,O,X,O
SJZTLIO,X,O,O,O,X,X
SJZTLOI,X,O,X,O,X,X
SJZTOIL,X,O,X,O,X,O
SJZTOLI,X,O,X,O,X,X
SJZITLO,X,O,O,X,X,X
SJZITOL,X,O,X,X,X,O
SJZILTO,X,O,O,X,X,X
SJZILOT,X,O,O,X,O,O
SJZIOTL,X,O,X,X,X,O
SJZIOLT,X,O,O,X,O,O
SJZLTIO,X,O,O,X,X,X
SJZLTOI,X,O,X,X,X,X
SJZLITO,X,O,O,X,X,X
SJZLIOT,X,O,O,X,O,O
SJZLOTI,X,O,X,X,X,X
SJZLOIT,X,O,O,X,O,O
SJZOTIL,X,O,X,O,X,O
SJZOTLI,X,O,X,O,X,X
SJZOITL,X,O,X,X,X,O
SJZOILT,X,O,O,X,O,O
SJZOLTI,X,O,X,X,X,X
SJZOLIT,X,O,O,X,O,O
SJOTILZ,O,O,X,O,X,X
SJOTIZL,X,X,X,O,X,O
SJOTLIZ,O,O,X,O,X,X
SJOTLZI,X,X,X,O,X,X
SJOTZIL,X,X,X,O,X,O
SJOTZLI,X,X,X,O,X,X
SJOITLZ,X,O,X,O,X,X
SJOITZL,X,X,X,O,X,O
SJOILTZ,O,O,X,X,X,X
SJOILZT,O,O,O,X,O,O
SJOIZTL,X,X,X,X,X,O
SJOIZLT,X,O,O,X,O,O
SJOLTIZ,O,O,X,O,X,X
SJOLTZI,X,X,X,O,X,X
SJOLITZ,O,O,X,X,X,X
SJOLIZT,O,O,O,X,O,O
SJOLZTI,X,O,X,X,X,X
SJOLZIT,X,O,O,X,O,O
SJOZTIL,X,O,X,O,X,O
SJOZTLI,X,O,X,O,X,X
SJOZITL,X,O,X,X,X,O
SJOZILT,X,O,O,X,O,O
SJOZLTI,X,O,X,X,X,X
SJOZLIT,X,O,O,X,O,O
SZTILJO,O,X,O,X,X,X
SZTILOJ,O,O,X,X,X,X
SZTIJLO,O,X,O,X,X,X
SZTIJOL,O,X,X,X,X,O
SZTIOLJ,O,O,X,X,X,X
SZTIOJL,O,X,X,X,X,O
SZTLIJO,O,X,O,X,X,X
SZTLIOJ,O,O,X,X,X,X
SZTLJIO,O,O,O,O,X,X
SZTLJOI,O,O,X,O,X,X
SZTLOIJ,O,O,X,X,X,X
SZTLOJI,O,O,X,O,X,X
SZTJILO,O,O,O,O,X,X
SZTJIOL,O,O,X,O,X,O
SZTJLIO,O,O,O,O,X,X
SZTJLOI,O,O,X,O,X,X
SZTJOIL,O,O,X,O,X,O
SZTJOLI,O,O,X,O,X,X
SZTOILJ,O,O,X,X,X,X
SZTOIJL,O,X,X,X,X,O
SZTOLIJ,O,O,X,X,X,X
SZTOLJI,O,O,X,O,X,X
SZTOJIL,O,O,X,O,X,O
SZTOJLI,O,O,X,O,X,X
SZITLJO,O,X,O,X,X,X
SZITLOJ,O,O,X,X,X,X
SZITJLO,O,X,O,X,X,X
SZITJOL,O,X,X,X,X,O
SZITOLJ,O,O,X,X,X,X
SZITOJL,O,X,X,X,X,O
SZILTJO,O,X,O,X,X,X
SZILTOJ,O,O,X,X,X,X
SZILJTO,X,O,O,X,X,X
SZILJOT,O,O,O,X,O,O
SZILOTJ,O,O,X,X,X,X
SZILOJT,O,O,O,X,O,O
SZIJTLO,X,O,O,X,X,X
SZIJTOL,X,O,X,X,X,O
SZIJLTO,X,O,O,X,X,X
SZIJLOT,O,O,O,X,O,O
SZIJOTL,X,O,X,X,X,O
SZIJOLT,O,O,O,X,O,O
SZIOTLJ,O,O,X,X,X,X
SZIOTJL,O,X,X,X,X,O
SZIOLTJ,O,O,X,X,X,X
SZIOLJT,O,O,O,X,O,O
SZIOJTL,X,O,X,X,X,O
SZIOJLT,O,O,O,X,O,O
SZLTIJO,O,X,O,X,X,X
SZLTIOJ,O,O,X,X,X,X
SZLTJIO,O,O,O,X,X,X
SZLTJOI,O,O,X,X,X,X
SZLTOIJ,O,O,X,X,X,X
SZLTOJI,O,O,X,X,X,X
SZLITJO,O,X,O,X,X,X
SZLITOJ,O,O,X,X,X,X
SZLIJTO,X,O,O,X,X,X
SZLIJOT,O,O,O,X,O,O
SZLIOTJ,O,O,X,X,X,X
SZLIOJT,O,O,O,X,O,O
SZLJTIO,O,O,O,X,X,X
SZLJTOI,O,O,X,X,X,X
SZLJITO,X,O,O,X,X,X
SZLJIOT,O,O,O,X,O,O
SZLJOTI,O,O,X,X,X,X
SZLJOIT,O,O,O,X,O,O
SZLOTIJ,O,O,X,X,X,X
SZLOTJI,O,O,X,X,X,X
