sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TSJZOLI,O,O,X,O,X
TSJOILZ,O,X,X,O,X
TSJOIZL,O,O,X,O,X
TSJOLIZ,O,O,X,O,X
TSJOLZI,O,O,X,O,X
TSJOZIL,O,O,O,O,X
TSJOZLI,O,O,X,O,X
TSZILJO,O,O,X,O,X
TSZILOJ,O,O,X,O,X
TSZIJLO,O,O,X,O,X
TSZIJOL,O,O,X,O,X
TSZIOLJ,O,O,O,O,X
TSZIOJL,O,O,O,O,X
TSZLIJO,O,O,X,O,X
TSZLIOJ,O,O,O,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,O,O,X
TSZLOIJ,O,O,O,O,X
TSZLOJI,O,O,O,O,X
TSZJILO,O,O,X,O,X
TSZJIOL,O,O,O,O,X
TSZJLIO,O,O,X,O,X
TSZJLOI,O,O,X,O,X
TSZJOIL,O,O,O,O,X
TSZJOLI,O,O,X,O,X
TSZOILJ,O,O,O,O,X
TSZOIJL,O,O,O,O,X
TSZOLIJ,O,O,O,O,X
TSZOLJI,O,O,O,O,X
TSZOJIL,O,O,O,O,X
TSZOJLI,O,O,X,O,X
TSOILJZ,O,O,X,O,X
TSOILZJ,O,O,X,O,X
TSOIJLZ,O,X,X,O,X
TSOIJZL,O,O,X,O,X
TSOIZLJ,O,O,X,O,X
TSOIZJL,O,O,X,O,X
TSOLIJZ,O,O,X,O,X
TSOLIZJ,O,O,X,O,X
TSOLJIZ,O,O,X,O,X
TSOLJZI,O,O,O,O,X
TSOLZIJ,O,O,O,O,X
TSOLZJI,O,O,O,O,X
TSOJILZ,O,X,X,O,X
TSOJIZL,O,O,X,O,X
TSOJLIZ,O,O,X,O,X
TSOJLZI,O,O,X,O,X
TSOJZIL,O,O,O,O,X
TSOJZLI,O,O,X,O,X
TSOZILJ,O,O,O,O,X
TSOZIJL,O,O,O,O,X
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,O,O,X
TSOZJLI,O,O,X,O,X
TZILJSO,O,X,O,X,O
TZILJOS,O,X,O,X,O
TZILSJO,O,X,O,O,O
TZILSOJ,O,X,O,O,O
TZILOJS,O,O,O,X,O
TZILOSJ,O,X,O,O,O
TZIJLSO,O,X,O,X,O
TZIJLOS,O,O,O,X,O
TZIJSLO,O,O,X,X,O
TZIJSOL,O,O,O,X,O
TZIJOLS,O,O,O,X,O
TZIJOSL,O,O,O,X,O
TZISLJO,O,O,X,O,O
TZISLOJ,O,O,X,O,O
TZISJLO,O,O,X,O,O
TZISJOL,O,O,X,O,O
TZISOLJ,O,O,O,O,O
TZISOJL,O,O,O,O,O
TZIOLJS,O,O,O,X,O
TZIOLSJ,O,X,O,O,O
TZIOJLS,O,O,O,X,O
TZIOJSL,O,O,O,X,O
TZIOSLJ,O,O,O,O,O
TZIOSJL,O,O,O,O,O
TZLIJSO,O,X,O,X,O
TZLIJOS,O,X,O,X,O
TZLISJO,O,X,O,O,O
TZLISOJ,O,X,O,O,O
TZLIOJS,O,O,O,X,O
TZLIOSJ,O,X,O,O,O
TZLJISO,O,X,O,X,X
TZLJIOS,O,O,O,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,O,O,O,X,X
