sequence,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFFjBmlBfsB6?sBctBTqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8Je3AJvhFcmBxiBVsBG?oBTqByxB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjBOqB8?qBFsBXtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjB2qBU?sBFtB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeGBJvhFxiBilBToB3?qBFsB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JezBJvhFFjBilB+sBc?tBRrB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFGjBKqBzlBf?sBVtB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeFCJvhFXjBxlBStBU?mBTqB2xB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFmlBfsBlnBc?tBTqBCtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFTjBWsBiqBX?tBcsBlqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhFFjBKqBxmBc?tB3mBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhF1mBXjBKqBc?tBxrBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFWsBToBiqBc?sBlqBXtB
TLZIOSJ,O,O,O,O,X,X,X,X,X,X,O,O,X
TLZJISO,O,O,O,O,X,X,X,X,X,X,X,O,X
TLZJIOS,X,O,O,O,X,X,X,X,X,X,O,O,X
TLZJSIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TLZJSOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZJOIS,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZSIJO,O,O,O,X,X,X,O,X,X,X,X,O,X
TLZSIOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TLZSJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TLZSJOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZSOIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZSOJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZOIJS,O,O,X,O,X,X,O,X,X,X,O,X,X
TLZOISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TLZOJIS,O,O,X,O,X,X,O,X,X,X,O,X,X
TLZOJSI,O,O,X,O,X,X,O,X,X,X,O,X,X
TLZOSIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TLOIJSZ,X,O,X,X,O,X,O,O,X,X,X,X,X
TLOIJZS,X,O,X,X,X,X,O,O,X,X,O,X,X
TLOISJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOISZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLOIZJS,X,O,X,X,X,X,O,X,X,X,O,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X,O,X,X
TLOJISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TLOJIZS,X,O,X,X,X,X,O,O,X,X,O,X,O
TLOJSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOJSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOJZIS,O,O,O,O,X,X,O,O,X,X,O,X,O
TLOJZSI,O,O,O,O,X,X,O,O,X,X,O,X,O
TLOSIJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLOSJIZ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLOSJZI,X,O,O,X,O,X,O,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,O,X,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,O,X,X,X,O,X,X
TLOZISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TLOZJIS,O,O,X,O,X,X,O,X,X,X,O,X,X
TLOZJSI,O,O,X,O,X,X,O,X,X,X,O,X,X
TLOZSIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TLOZSJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TJILSZO,X,O,O,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,O,O,X,X,X,O,O,X,X,X,X,X
TJILZSO,X,O,O,X,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
TJILOZS,X,O,X,X,X,O,O,O,X,X,X,X,X
TJISLZO,O,X,O,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,O,X,O,X,X,X,X,X,X,X
TJIZLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
TJIZSLO,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,O,X,X,O,X,X,X,X,X
TJIOLZS,X,O,X,X,X,O,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TJIOSZL,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,O,X,O,X,O,X,X,X,X,X
TJIOZSL,X,O,X,X,O,O,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,O,O,X,X,X,X,X
TJLSIZO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJLSIOZ,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLSZIO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJLSZOI,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLSOIZ,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLSOZI,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLZISO,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TJLZSOI,O,O,O,O,X,X,O,O,X,X,X,X,X
TJLZOIS,X,O,O,O,X,X,O,O,X,X,X,X,X
TJLZOSI,O,O,O,O,X,X,O,O,X,X,X,X,X
TJLOISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TJLOIZS,X,O,X,X,X,X,O,O,X,X,X,X,O
TJLOSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TJLOSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TJLOZIS,X,O,O,O,X,X,O,O,X,X,X,X,O
TJLOZSI,X,O,O,O,X,X,O,O,X,X,X,X,O
TJSILZO,O,X,O,X,X,X,O,X,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSIOZL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,O,X,X,X,O,X,X,O,X,X,X
TJSLIOZ,X,X,O,X,O,X,O,O,X,O,X,X,X
TJSLZIO,O,X,O,X,X,X,O,X,X,O,X,X,X
TJSLZOI,O,X,O,X,O,X,O,O,X,O,X,X,X
TJSLOIZ,X,X,O,X,O,X,O,O,X,O,X,X,X
TJSLOZI,X,X,O,X,O,X,O,O,X,O,X,X,X
TJSZILO,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
