sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
TLSOZIJ,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
TLSOZJI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
TLZIJSO,O,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
TLZIJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZISOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZJISO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLZJIOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLZJSOI,O,O,O,O,X,X,O,O,O,X,X,O,X,O,X,X
TLZJOIS,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZJOSI,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
TLZSIJO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
TLZSJIO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLZSJOI,O,O,O,O,O,X,O,O,X,X,X,O,X,O,O,X
TLZSOIJ,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
TLZSOJI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TLZOSIJ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZOSJI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOISZJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOJSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOJZIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOSIJZ,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TLOSJZI,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TLOZSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
