sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TOLJSIZ,O,O,X,X
TOLJSZI,O,X,X,X
TOLJZIS,O,O,O,X
TOLJZSI,X,O,O,X
TOLSIJZ,O,O,X,X
TOLSIZJ,O,X,X,X
TOLSJIZ,O,O,X,X
TOLSJZI,O,X,X,X
TOLSZIJ,O,X,X,X
TOLSZJI,O,X,X,X
TOLZIJS,O,O,O,X
TOLZISJ,X,O,O,X
TOLZJIS,O,O,O,X
TOLZJSI,X,O,O,X
TOLZSIJ,X,O,O,X
TOLZSJI,X,O,O,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,O,X
TOJISLZ,O,O,X,X
TOJISZL,O,O,O,X
TOJIZLS,O,O,O,X
TOJIZSL,O,O,O,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,O,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,X,X,X
TOJLZIS,O,O,O,X
TOJLZSI,X,O,O,X
TOJSILZ,O,O,X,X
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,X,X
TOJSLZI,O,X,X,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,X
TOJZILS,O,O,O,X
TOJZISL,O,O,O,X
TOJZLIS,O,O,O,X
TOJZLSI,X,O,O,X
TOJZSIL,O,O,O,X
TOJZSLI,O,O,O,X
TOSILJZ,O,O,X,X
TOSILZJ,O,X,X,X
TOSIJLZ,O,O,X,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,X,X
TOSLIZJ,O,X,X,X
TOSLJIZ,O,O,X,X
TOSLJZI,O,X,X,X
TOSLZIJ,O,X,X,O
TOSLZJI,O,X,X,O
TOSJILZ,O,O,X,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,X,X
TOSJLZI,O,X,X,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,O,O,O,O
TOSZIJL,O,O,O,O
TOSZLIJ,O,O,O,O
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,O,O,X
TOZILSJ,X,O,O,X
TOZIJLS,O,O,O,X
TOZIJSL,O,O,O,O
TOZISLJ,O,O,O,O
TOZISJL,O,O,O,O
TOZLIJS,O,O,O,X
TOZLISJ,X,O,O,X
TOZLJIS,O,O,O,X
TOZLJSI,X,O,O,X
TOZLSIJ,X,O,O,X
TOZLSJI,X,O,O,X
TOZJILS,O,O,O,X
TOZJISL,O,O,O,O
TOZJLIS,O,O,O,X
TOZJLSI,X,O,O,X
TOZJSIL,O,O,O,O
