sequence,v115@NhA8IeB8AeC8BeF8JeOEJvhF0gB6mBxiBzkBFoB3qB,v115@NhA8IeB8AeC8BeF8JeOEJvhFXgB6mBxiBzlBFoBUqB,v115@NhA8IeB8AeC8BeF8JeOEJvhFTgB6mBxiBfqB8qBFtB
TOSLIZJ,O,O,O
TOSLJIZ,O,O,O
TOSLJZI,O,O,O
TOSLZIJ,O,O,O
TOSLZJI,O,O,O
TOSJILZ,O,O,O
TOSJIZL,O,O,O
TOSJLIZ,O,O,O
TOSJLZI,O,O,O
TOSJZIL,O,O,O
TOSJZLI,O,O,O
TOSZILJ,O,O,O
TOSZIJL,O,O,O
TOSZLIJ,O,O,O
TOSZLJI,O,O,O
TOSZJIL,O,O,O
TOSZJLI,O,O,O
TOZILJS,O,O,O
TOZILSJ,O,O,O
TOZIJLS,O,O,O
TOZIJSL,O,O,O
TOZISLJ,O,O,O
TOZISJL,O,O,O
TOZLIJS,O,O,O
TOZLISJ,O,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,O,O,O
TOZJISL,O,O,O
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,O,O
ITLJSOZ,O,O,O
ITLJZSO,O,O,O
ITLJZOS,O,O,O
ITLJOSZ,O,O,O
ITLJOZS,O,O,O
ITLSJZO,O,O,O
ITLSJOZ,O,O,O
ITLSZJO,O,O,O
ITLSZOJ,O,O,O
ITLSOJZ,O,O,O
ITLSOZJ,O,O,O
ITLZJSO,O,O,O
ITLZJOS,O,O,O
ITLZSJO,O,O,O
ITLZSOJ,O,O,O
ITLZOJS,O,O,O
ITLZOSJ,O,O,O
ITLOJSZ,O,O,O
ITLOJZS,O,O,O
ITLOSJZ,O,O,O
ITLOSZJ,O,O,O
ITLOZJS,O,O,O
ITLOZSJ,O,O,O
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,O,O,O
ITJLOZS,O,O,O
ITJSLZO,O,O,O
ITJSLOZ,O,O,O
ITJSZLO,O,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,O,O
ITJSOZL,O,O,O
ITJZLSO,O,O,O
ITJZLOS,O,O,O
ITJZSLO,O,O,O
ITJZSOL,O,O,O
ITJZOLS,O,O,O
ITJZOSL,O,O,O
ITJOLSZ,O,O,O
ITJOLZS,O,O,O
ITJOSLZ,O,O,O
ITJOSZL,O,O,O
ITJOZLS,O,O,O
ITJOZSL,O,O,O
ITSLJZO,O,O,O
ITSLJOZ,O,O,O
ITSLZJO,O,O,O
ITSLZOJ,O,O,O
ITSLOJZ,O,O,O
ITSLOZJ,O,O,O
ITSJLZO,O,O,O
ITSJLOZ,O,O,O
ITSJZLO,O,O,O
ITSJZOL,O,O,O
ITSJOLZ,O,O,O
ITSJOZL,O,O,O
ITSZLJO,O,O,O
ITSZLOJ,O,O,O
ITSZJLO,O,O,O
ITSZJOL,O,O,O
ITSZOLJ,O,O,O
ITSZOJL,O,O,O
ITSOLJZ,O,O,O
ITSOLZJ,O,O,O
ITSOJLZ,O,O,O
ITSOJZL,O,O,O
ITSOZLJ,O,O,O
ITSOZJL,O,O,O
ITZLJSO,O,O,O
ITZLJOS,O,O,O
ITZLSJO,O,O,O
ITZLSOJ,O,O,O
ITZLOJS,O,O,O
ITZLOSJ,O,O,O
ITZJLSO,O,O,O
ITZJLOS,O,O,O
ITZJSLO,O,O,O
ITZJSOL,O,O,O
ITZJOLS,O,O,O
ITZJOSL,O,O,O
ITZSLJO,O,O,O
ITZSLOJ,O,O,O
ITZSJLO,O,O,O
ITZSJOL,O,O,O
ITZSOLJ,O,O,O
ITZSOJL,O,O,O
ITZOLJS,O,O,O
ITZOLSJ,O,O,O
ITZOJLS,O,O,O
ITZOJSL,O,O,O
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,O,O,O
ITOLJZS,O,O,O
ITOLSJZ,O,O,O
ITOLSZJ,O,O,O
ITOLZJS,O,O,O
ITOLZSJ,O,O,O
ITOJLSZ,O,O,O
ITOJLZS,O,O,O
ITOJSLZ,O,O,O
ITOJSZL,O,O,O
ITOJZLS,O,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,O,O
ITOSLZJ,O,O,O
ITOSJLZ,O,O,O
ITOSJZL,O,O,O
ITOSZLJ,O,O,O
ITOSZJL,O,O,O
ITOZLJS,O,O,O
ITOZLSJ,O,O,O
ITOZJLS,O,O,O
ITOZJSL,O,O,O
ITOZSLJ,O,O,O
ITOZSJL,O,O,O
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,O,O,O
ILTJZOS,O,O,O
ILTJOSZ,O,O,O
ILTJOZS,O,O,O
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,O,O,O
ILTSZOJ,O,O,O
ILTSOJZ,O,O,O
ILTSOZJ,O,O,O
ILTZJSO,O,O,O
ILTZJOS,O,O,O
ILTZSJO,O,O,O
ILTZSOJ,O,O,O
ILTZOJS,O,O,O
ILTZOSJ,O,O,O
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,O,O,O
ILTOZJS,O,O,O
ILTOZSJ,O,O,O
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,O,O,O
ILJTOZS,O,O,O
ILJSTZO,O,X,O
ILJSTOZ,O,X,O
ILJSZTO,O,O,O
ILJSZOT,O,O,O
ILJSOTZ,O,O,X
ILJSOZT,O,O,O
ILJZTSO,X,O,O
ILJZTOS,X,O,O
ILJZSTO,O,O,O
ILJZSOT,O,O,O
ILJZOTS,O,O,X
ILJZOST,O,O,O
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,X,O,X
ILJOSZT,O,O,O
ILJOZTS,O,X,X
ILJOZST,O,O,O
ILSTJZO,O,X,O
ILSTJOZ,O,X,O
ILSTZJO,O,X,O
ILSTZOJ,O,X,O
ILSTOJZ,O,X,O
ILSTOZJ,O,X,O
ILSJTZO,O,X,O
ILSJTOZ,O,X,O
ILSJZTO,O,O,O
ILSJZOT,O,O,O
ILSJOTZ,O,O,X
ILSJOZT,O,O,O
ILSZTJO,O,O,O
ILSZTOJ,O,X,O
ILSZJTO,O,O,O
ILSZJOT,O,O,O
ILSZOTJ,O,X,O
ILSZOJT,O,O,O
ILSOTJZ,O,O,X
ILSOTZJ,O,X,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,O
ILSOZTJ,O,X,O
ILSOZJT,O,O,O
ILZTJSO,X,O,O
ILZTJOS,X,O,O
ILZTSJO,X,O,O
ILZTSOJ,X,O,O
ILZTOJS,X,O,O
ILZTOSJ,X,O,O
ILZJTSO,X,O,O
ILZJTOS,X,O,O
ILZJSTO,O,O,O
ILZJSOT,O,O,O
ILZJOTS,O,O,X
ILZJOST,O,O,O
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,O,O
ILZSOTJ,O,O,O
ILZSOJT,O,O,O
ILZOTJS,O,O,X
ILZOTSJ,X,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,O
ILZOSTJ,X,O,O
ILZOSJT,O,O,O
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,O,O,X
