sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TJZILSO,O,O,O,O,O,X,O,X
TJZILOS,O,O,X,X,O,X,O,X
TJZISLO,X,O,O,O,O,O,O,X
TJZISOL,X,O,O,O,O,O,O,X
TJZIOLS,O,O,X,X,O,X,O,X
TJZIOSL,O,O,O,O,O,O,O,X
TJZLISO,O,O,O,O,O,X,X,X
TJZLIOS,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X
TJZLSOI,O,O,O,O,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,O,O,X,X,X
TJZSILO,X,O,O,O,O,O,X,X
TJZSIOL,X,O,O,O,O,O,X,X
TJZSLIO,O,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,X,O,X,X
TJZSOIL,O,O,O,O,O,X,X,X
TJZSOLI,O,O,O,O,O,O,X,X
TJZOILS,O,O,X,X,O,X,O,X
TJZOISL,O,O,O,O,O,X,O,X
TJZOLIS,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,O,O,X,X
TJOILSZ,O,X,X,X,O,O,X,X
TJOILZS,O,X,X,X,O,X,X,X
TJOISLZ,X,X,O,O,O,O,X,X
TJOISZL,O,X,O,O,X,O,X,X
TJOIZLS,O,X,X,X,O,X,X,X
TJOIZSL,O,X,X,O,O,O,X,X
TJOLISZ,O,X,X,X,O,X,X,X
TJOLIZS,O,X,X,X,O,X,X,X
TJOLSIZ,O,X,O,O,O,O,X,X
TJOLSZI,O,X,O,O,O,O,X,X
TJOLZIS,O,X,X,X,O,X,X,X
TJOLZSI,O,X,X,O,O,X,X,X
TJOSILZ,X,X,O,O,O,O,X,X
TJOSIZL,O,X,O,O,X,O,X,X
TJOSLIZ,O,X,O,O,O,O,X,X
TJOSLZI,O,X,O,O,O,O,X,X
TJOSZIL,O,X,O,O,O,X,X,X
TJOSZLI,O,X,O,O,O,O,X,X
TJOZILS,O,X,X,X,O,X,O,X
TJOZISL,O,X,O,O,O,X,O,X
TJOZLIS,O,X,X,X,O,X,X,X
TJOZLSI,O,X,O,O,O,X,X,X
TJOZSIL,O,X,O,O,O,X,X,X
TJOZSLI,O,X,O,O,O,O,X,X
TSILJZO,O,O,O,O,X,O,X,X
TSILJOZ,X,O,O,O,X,O,X,O
TSILZJO,O,O,O,X,X,O,X,X
TSILZOJ,O,O,O,X,X,X,X,X
TSILOJZ,O,O,O,O,X,O,X,O
TSILOZJ,O,O,O,X,X,X,X,X
TSIJLZO,X,O,O,O,O,O,X,X
TSIJLOZ,X,O,O,X,O,O,X,X
TSIJZLO,X,O,O,O,X,O,X,X
TSIJZOL,X,O,O,O,X,O,X,X
TSIJOLZ,X,O,O,O,O,O,X,X
TSIJOZL,X,O,O,O,X,O,X,X
TSIZLJO,O,O,O,X,X,O,X,X
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,O,O,X,X
TSIZJOL,O,O,O,O,O,O,X,X
TSIZOLJ,O,O,O,X,O,X,X,X
TSIZOJL,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,O,O,O,O,X,X
TSIOLZJ,O,O,O,X,O,X,X,X
TSIOJLZ,X,O,O,O,O,O,X,X
TSIOJZL,O,O,O,O,X,O,X,X
TSIOZLJ,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,X,O,X,X
TSLIJOZ,O,O,O,O,X,O,X,O
TSLIZJO,O,O,O,X,X,O,X,X
TSLIZOJ,O,O,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,X,O,X,O
TSLIOZJ,O,O,O,X,X,X,X,X
TSLJIZO,O,O,O,O,X,O,X,X
TSLJIOZ,O,O,O,O,X,O,X,X
TSLJZIO,O,O,O,O,X,O,X,X
TSLJZOI,O,O,O,O,X,O,X,X
TSLJOIZ,O,X,O,O,X,O,X,X
TSLJOZI,O,O,O,O,X,O,X,X
TSLZIJO,O,O,O,X,X,O,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,O,X,O,X,X
TSLZJOI,O,O,O,O,X,O,X,X
TSLZOIJ,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,O,O,O,O,X,O,X,O
TSLOIZJ,O,O,O,X,X,X,X,X
TSLOJIZ,O,X,O,O,X,O,X,X
TSLOJZI,O,O,O,O,X,O,X,X
TSLOZIJ,O,O,O,X,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X,X
TSJILZO,X,O,O,O,O,O,X,X
TSJILOZ,X,O,O,O,O,O,X,X
TSJIZLO,X,O,O,O,X,O,X,X
TSJIZOL,X,O,O,O,X,O,X,X
TSJIOLZ,X,O,O,O,O,O,X,X
TSJIOZL,X,O,O,O,X,O,X,X
TSJLIZO,O,O,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,O,O,X,X
TSJLZIO,O,O,O,O,O,O,X,X
TSJLZOI,O,O,O,O,X,O,X,X
TSJLOIZ,O,X,O,O,X,O,X,X
