sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
TZLOJSI,O,X,X,O,O,X
TZLOSIJ,O,X,X,O,X,O
TZLOSJI,O,X,X,O,X,O
TZJILSO,O,O,O,X,X,X
TZJILOS,O,O,O,X,X,X
TZJISLO,X,X,O,X,O,X
TZJISOL,X,X,O,O,O,O
TZJIOLS,O,O,O,X,X,X
TZJIOSL,X,X,O,O,O,O
TZJLISO,O,O,O,X,X,X
TZJLIOS,O,O,O,X,X,X
TZJLSIO,O,X,X,X,O,X
TZJLSOI,O,X,X,X,O,X
TZJLOIS,O,O,O,X,X,X
TZJLOSI,O,X,X,X,O,X
TZJSILO,X,X,O,X,O,X
TZJSIOL,X,X,O,O,O,O
TZJSLIO,X,X,X,X,O,X
TZJSLOI,X,X,X,X,O,X
TZJSOIL,X,X,O,O,O,O
TZJSOLI,X,X,X,O,O,O
TZJOILS,O,O,O,X,X,X
TZJOISL,X,X,O,O,O,O
TZJOLIS,O,O,O,X,X,X
TZJOLSI,O,X,X,X,O,X
TZJOSIL,X,X,O,O,O,O
TZJOSLI,X,X,X,O,O,O
TZSILJO,X,X,O,X,X,X
TZSILOJ,X,X,O,O,X,O
TZSIJLO,X,X,O,X,X,X
TZSIJOL,X,X,O,O,X,O
TZSIOLJ,X,X,O,O,X,O
TZSIOJL,X,X,O,O,X,O
TZSLIJO,X,X,X,O,X,X
TZSLIOJ,X,X,X,O,X,O
TZSLJIO,X,X,X,O,X,X
TZSLJOI,X,X,X,O,X,X
TZSLOIJ,X,X,X,O,X,O
TZSLOJI,X,X,X,O,X,O
TZSJILO,X,X,O,X,O,X
TZSJIOL,X,X,O,O,O,O
TZSJLIO,X,X,X,X,O,X
TZSJLOI,X,X,X,X,O,X
TZSJOIL,X,X,O,O,O,O
TZSJOLI,X,X,X,O,O,O
TZSOILJ,X,X,O,O,X,O
TZSOIJL,X,X,O,O,X,O
TZSOLIJ,X,X,X,O,X,O
TZSOLJI,X,X,X,O,X,O
TZSOJIL,X,X,O,O,O,O
TZSOJLI,X,X,X,O,O,O
TZOILJS,O,O,O,X,X,X
TZOILSJ,O,X,O,O,X,O
TZOIJLS,O,O,O,X,X,X
TZOIJSL,X,X,O,O,O,O
TZOISLJ,X,X,O,O,X,O
TZOISJL,X,X,O,O,X,O
TZOLIJS,O,O,O,O,X,X
TZOLISJ,O,X,O,O,X,O
TZOLJIS,O,O,O,O,X,X
TZOLJSI,O,X,X,O,O,X
TZOLSIJ,O,X,X,O,X,O
TZOLSJI,O,X,X,O,X,O
TZOJILS,O,O,O,X,X,X
TZOJISL,X,X,O,O,O,O
TZOJLIS,O,O,O,X,X,X
TZOJLSI,O,X,X,X,O,X
TZOJSIL,X,X,O,O,O,O
TZOJSLI,X,X,X,O,O,O
TZOSILJ,X,X,O,O,X,O
TZOSIJL,X,X,O,O,X,O
TZOSLIJ,X,X,X,O,X,O
TZOSLJI,X,X,X,O,X,O
TZOSJIL,X,X,O,O,O,O
TZOSJLI,X,X,X,O,O,O
TOILJSZ,X,O,X,X,X,X
TOILJZS,X,O,X,X,X,X
TOILSJZ,O,O,X,X,X,X
TOILSZJ,X,X,O,X,X,X
TOILZJS,O,O,O,X,X,X
TOILZSJ,O,X,O,X,X,X
TOIJLSZ,X,O,X,X,X,X
TOIJLZS,X,O,X,X,X,X
TOIJSLZ,X,O,X,X,O,X
TOIJSZL,X,X,O,X,O,X
TOIJZLS,X,O,O,X,X,X
TOIJZSL,X,X,O,X,O,X
TOISLJZ,X,O,X,X,X,X
TOISLZJ,X,X,O,X,X,X
TOISJLZ,X,O,X,X,X,X
TOISJZL,X,X,O,X,X,X
TOISZLJ,X,X,O,O,X,O
TOISZJL,X,X,O,O,X,O
TOIZLJS,O,O,O,X,X,X
TOIZLSJ,O,X,O,O,X,O
TOIZJLS,O,O,O,X,X,X
TOIZJSL,X,X,O,O,O,O
TOIZSLJ,X,X,O,O,X,O
TOIZSJL,X,X,O,O,X,O
TOLIJSZ,X,O,X,X,X,X
TOLIJZS,X,O,X,X,X,X
TOLISJZ,O,O,X,X,X,X
TOLISZJ,X,X,O,O,X,X
TOLIZJS,O,O,O,O,X,X
