sequence,v115@NhA8IeE8CeF8JeT/IvhFOlB/mBRiBSoBtqB0pB,v115@NhA8IeE8CeF8JeNEJvhF3gBRiBSoBTmBUlBWvB,v115@NhA8IeE8CeF8JeOEJvhF/mBRiBSoBtpB0lBTqB,v115@NhA8IeE8CeF8JeNEJvhFUgB/mBGiBTjBRqBSvB
TOSJZLI,O,O,O,O
TOSZILJ,O,O,X,O
TOSZIJL,O,X,X,O
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,O
TOSZJIL,O,X,X,O
TOSZJLI,O,X,X,O
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,O
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,O
TOZISLJ,O,O,X,O
TOZISJL,O,X,X,O
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,O
TOZJILS,O,O,X,X
TOZJISL,O,O,X,O
TOZJLIS,O,O,X,X
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,O
TOZSIJL,O,X,O,O
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,O
TOZSJIL,O,X,O,O
TOZSJLI,O,X,O,O
ITLJSZO,O,X,O,X
ITLJSOZ,O,O,O,X
ITLJZSO,O,X,O,X
ITLJZOS,O,O,X,X
ITLJOSZ,X,O,O,X
ITLJOZS,X,O,X,X
ITLSJZO,O,X,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,X,O,O
ITLSZOJ,O,X,O,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,X,O
ITLZJSO,O,X,O,X
ITLZJOS,O,O,X,X
ITLZSJO,O,X,O,O
ITLZSOJ,O,X,O,O
ITLZOJS,O,O,X,X
ITLZOSJ,O,O,X,O
ITLOJSZ,X,O,O,X
ITLOJZS,X,O,X,X
ITLOSJZ,X,O,O,O
ITLOSZJ,X,O,X,O
ITLOZJS,X,O,X,X
ITLOZSJ,X,O,X,O
ITJLSZO,O,X,O,X
ITJLSOZ,O,O,O,X
ITJLZSO,O,X,O,X
ITJLZOS,O,O,X,X
ITJLOSZ,X,O,O,X
ITJLOZS,X,O,X,X
ITJSLZO,O,X,O,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,X,O,O
ITJSZOL,O,X,O,O
ITJSOLZ,O,O,O,O
ITJSOZL,O,O,O,O
ITJZLSO,O,X,O,X
ITJZLOS,O,O,X,X
ITJZSLO,O,X,O,O
ITJZSOL,O,X,O,O
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,O
ITJOLSZ,X,O,O,X
ITJOLZS,X,O,X,X
ITJOSLZ,X,O,O,O
ITJOSZL,X,O,O,O
ITJOZLS,X,O,X,X
ITJOZSL,X,O,X,O
ITSLJZO,O,X,O,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,X,O,O
ITSLZOJ,O,X,O,O
ITSLOJZ,O,O,O,O
ITSLOZJ,O,O,X,O
ITSJLZO,O,X,O,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,X,O,O
ITSJZOL,O,X,O,O
ITSJOLZ,O,O,O,O
ITSJOZL,O,O,O,O
ITSZLJO,O,X,O,O
ITSZLOJ,O,X,O,O
ITSZJLO,O,X,O,O
ITSZJOL,O,X,O,O
ITSZOLJ,O,X,O,O
ITSZOJL,O,X,O,O
ITSOLJZ,O,O,O,O
ITSOLZJ,O,O,X,O
ITSOJLZ,O,O,O,O
ITSOJZL,O,O,O,O
ITSOZLJ,O,O,X,O
ITSOZJL,O,X,X,O
ITZLJSO,O,X,O,X
ITZLJOS,O,O,X,X
ITZLSJO,O,X,O,O
ITZLSOJ,O,X,O,O
ITZLOJS,O,O,X,X
ITZLOSJ,O,O,X,O
ITZJLSO,O,X,O,X
ITZJLOS,O,O,X,X
ITZJSLO,O,X,O,O
ITZJSOL,O,X,O,O
ITZJOLS,O,O,X,X
ITZJOSL,O,O,X,O
ITZSLJO,O,X,O,O
ITZSLOJ,O,X,O,O
ITZSJLO,O,X,O,O
ITZSJOL,O,X,O,O
ITZSOLJ,O,X,O,O
ITZSOJL,O,X,O,O
ITZOLJS,O,O,X,X
ITZOLSJ,O,O,X,O
ITZOJLS,O,O,X,X
ITZOJSL,O,O,X,O
ITZOSLJ,O,O,X,O
