sequence,v115@JhA8GeF8DeA8DeA8AeC8Jei/IvhFlhBTjBxsBfrBcs?BWvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhFlhBTjBxsB/pBcs?ByvB,v115@JhA8GeF8DeA8DeA8AeC8JeT/IvhFlgB3hBUjBOsBSt?BRvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhF1mBxiBcsBToB/p?ByvB,v115@JhA8GeF8DeA8DeA8AeC8Je0BJvhFxiBGoBisB/pBzq?BFqB,v115@JhA8GeF8DeA8DeA8AeC8JexBJvhF8nB+oBasB/pBzq?BFqB
TSIJOZL,X,X,O,X,X,X
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X
TSLJZOI,X,X,O,X,X,X
TSLJOIZ,X,X,X,X,X,X
TSLJOZI,X,X,O,X,X,X
TSLZIJO,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X
TSLOJZI,X,X,O,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X
TSJIZOL,X,X,O,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,O,X,X,X
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X
TSJLZOI,X,X,O,X,X,X
TSJLOIZ,X,X,X,X,X,X
TSJLOZI,X,X,O,X,X,X
TSJZILO,X,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X
TSJZLIO,X,X,X,X,X,X
TSJZLOI,X,X,O,X,X,X
TSJZOIL,X,X,O,X,X,X
TSJZOLI,X,X,O,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,O,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,X,X,O,X,X,X
TSJOZIL,X,X,O,X,X,X
TSJOZLI,X,X,O,X,X,X
TSZILJO,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X
TSZJIOL,X,X,O,X,X,X
TSZJLIO,X,X,X,X,X,X
TSZJLOI,X,X,O,X,X,X
TSZJOIL,X,X,O,X,X,X
