sequence,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBChBxiB/rB0sBFsB,v115@PhC8BeA8DeG8DeA8JefGJvhF0hBxiBlkBqsBmkBzrB,v115@PhC8BeA8DeG8DeA8Jem/IvhFzgBxiB0kBqsBlrBfsB,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBfmBxiBFsB6rB0sB,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBChBxrB/sB0rBFtB,v115@PhC8BeA8DeG8DeA8JeT/IvhFUiBxlBXlB2rBSxBFtB,v115@PhC8BeA8DeG8DeA8JezAJvhFCjBlkBUnBmkB3mBRxB,v115@PhC8BeA8DeG8DeA8Jei/IvhFRhBzkBUmBXsBGsBFtB,v115@PhC8BeA8DeG8DeA8JeT/IvhFmgBUiBXlB1rBCoBRxB,v115@PhC8BeA8DeG8DeA8Jem/IvhFzgB0kBFnB3mBCoBRxB
ILOJSZT,O,O,X,X,O,X,X,X,X,X
ILOJZTS,O,X,X,X,O,O,O,X,X,X
ILOJZST,O,X,X,X,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,O,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,X,X
ILOSJZT,O,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,O,X,X,X,O,O,X,X,X
ILOSZJT,X,O,X,X,X,O,X,X,X,X
ILOZTJS,X,X,O,X,X,O,O,X,X,X
ILOZTSJ,X,O,O,X,X,O,O,X,X,X
ILOZJTS,O,X,O,X,X,O,O,X,X,X
ILOZJST,O,X,X,X,X,O,X,X,X,X
ILOZSTJ,X,O,X,X,X,O,O,X,X,X
ILOZSJT,O,O,X,X,X,O,X,X,X,X
IJTLSZO,X,O,X,O,X,X,X,X,X,X
IJTLSOZ,X,X,X,O,X,X,X,X,X,X
IJTLZSO,X,X,X,X,O,X,X,X,X,X
IJTLZOS,X,X,X,X,O,X,X,X,X,X
IJTLOSZ,O,O,X,O,X,X,X,X,X,X
IJTLOZS,O,X,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,O,X,X,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,X,X,X
IJTSZLO,X,X,X,O,X,X,X,X,X,X
IJTSZOL,X,X,X,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,X,X,X,X,X
IJTSOZL,X,X,X,O,X,X,X,X,X,X
IJTZLSO,X,X,X,X,O,X,X,X,X,X
IJTZLOS,O,X,X,X,O,X,X,X,X,X
IJTZSLO,O,X,X,O,O,X,X,X,X,X
IJTZSOL,O,X,X,O,O,X,X,X,X,X
IJTZOLS,O,X,X,X,O,X,X,X,X,X
IJTZOSL,O,X,X,O,O,X,X,X,X,X
IJTOLSZ,O,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,X,O,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,X,X,X
IJTOSZL,X,X,X,O,X,X,X,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X,X,X
IJTOZSL,O,X,X,O,O,X,X,X,X,X
IJLTSZO,X,O,X,O,X,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,X,X,X
IJLTZSO,X,X,X,X,O,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,X,X,X,X
IJLTOZS,O,X,X,X,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,O,X,X,X,X,X
IJLSZOT,O,X,X,X,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X,X,X,X,X
IJLZTSO,X,X,X,X,O,X,X,X,X,X
IJLZTOS,O,X,X,X,O,X,X,X,X,X
IJLZSTO,O,X,X,X,O,X,X,X,X,X
IJLZSOT,O,X,X,X,O,X,X,X,X,X
IJLZOTS,O,X,X,X,O,O,X,X,X,X
IJLZOST,O,X,X,X,O,O,X,X,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X
IJLOTZS,O,X,X,X,O,X,X,X,X,X
IJLOSTZ,O,O,X,X,X,X,X,X,X,X
IJLOSZT,O,O,X,X,O,X,X,X,X,X
IJLOZTS,O,X,X,X,O,O,X,X,X,X
IJLOZST,O,X,X,X,O,O,X,X,X,X
IJSTLZO,X,O,X,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,O,X,X,X,X,X,X
IJSTZLO,X,X,X,O,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,O,X,X,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,X,X
IJSLTZO,X,O,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,O,X,X,X,X,X
IJSLZOT,O,X,X,X,O,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,O,X,X,X,X,X
IJSZTLO,O,X,X,X,O,X,X,X,X,X
IJSZTOL,O,X,X,X,O,X,X,X,X,X
IJSZLTO,O,X,X,X,O,X,X,X,X,X
IJSZLOT,O,X,X,X,O,X,X,X,X,X
IJSZOTL,O,X,X,X,O,X,X,X,X,X
IJSZOLT,O,X,X,X,O,X,X,X,X,X
IJSOTLZ,O,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X,X,X,X,X
IJSOZTL,O,X,X,X,O,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X,X,X
IJZTLSO,X,X,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X,X,X
IJZTSLO,O,X,X,O,O,X,X,X,X,X
IJZTSOL,O,X,X,O,O,X,X,X,X,X
IJZTOLS,O,X,X,X,O,X,X,X,X,X
IJZTOSL,O,X,X,O,O,X,X,X,X,X
IJZLTSO,X,X,X,X,O,X,X,X,X,X
IJZLTOS,O,X,X,X,O,X,X,X,X,X
IJZLSTO,O,X,X,X,O,X,X,X,X,X
IJZLSOT,O,X,X,X,O,X,X,X,X,X
IJZLOTS,O,X,X,X,O,X,X,X,X,X
IJZLOST,O,X,X,X,O,X,X,X,X,X
IJZSTLO,O,X,X,X,O,X,X,X,X,X
IJZSTOL,O,X,X,X,O,X,X,X,X,X
IJZSLTO,O,X,X,X,O,X,X,X,X,X
IJZSLOT,O,X,X,X,O,X,X,X,X,X
IJZSOTL,O,X,X,X,O,X,X,X,X,X
IJZSOLT,O,X,X,X,O,X,X,X,X,X
IJZOTLS,O,X,X,X,O,X,X,X,X,X
IJZOTSL,O,X,X,O,O,X,X,X,X,X
IJZOLTS,O,X,X,X,O,O,X,X,X,X
IJZOLST,O,X,X,X,O,O,X,X,X,X
IJZOSTL,O,X,X,X,O,X,X,X,X,X
IJZOSLT,O,X,X,X,O,O,X,X,X,X
IJOTLSZ,O,X,X,O,X,X,X,X,X,X
IJOTLZS,O,X,X,X,O,X,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X
IJOTZLS,O,X,X,X,O,X,X,X,X,X
IJOTZSL,O,X,X,O,O,X,X,X,X,X
IJOLTSZ,O,X,X,O,X,X,X,X,X,X
IJOLTZS,O,X,X,X,O,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,O,X,X,X,X,X
IJOLZTS,O,X,X,X,O,O,X,X,X,X
IJOLZST,O,X,X,X,O,O,X,X,X,X
IJOSTLZ,O,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,O,X,X,X,X,X
IJOSZTL,O,X,X,X,O,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X,X,X
IJOZTLS,O,X,X,X,O,X,X,X,X,X
IJOZTSL,O,X,X,O,O,X,X,X,X,X
IJOZLTS,O,X,X,X,O,O,X,X,X,X
IJOZLST,O,X,X,X,O,O,X,X,X,X
IJOZSTL,O,X,X,X,O,X,X,X,X,X
IJOZSLT,O,X,X,X,O,O,X,X,X,X
ISTLJZO,X,O,X,O,X,X,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,X,X,X,X
ISTJLZO,X,O,X,O,X,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,X,X,X,X
ISTJZLO,X,X,X,O,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,X,X,O,X
ISTJOLZ,O,X,X,O,X,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,O,X
ISTZLJO,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X,X,X
ISTZJLO,X,X,X,O,X,X,X,X,X,X
ISTZJOL,X,X,X,O,X,X,X,X,O,X
ISTZOLJ,X,X,X,X,X,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,O,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,O,X
ISTOZLJ,X,X,X,X,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,O,X
ISLTJZO,X,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,O,X,X,X,X,X
ISLJZOT,O,X,X,X,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,O,X,X,X,X,X
ISLZTJO,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,O,X,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,O,X,X,X,X
ISLZOJT,O,X,X,X,X,O,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,X,O,X,X,X,X
ISLOZJT,X,O,X,X,X,O,X,X,X,X
ISJTLZO,X,O,X,O,X,X,X,X,O,X
ISJTLOZ,O,X,X,O,X,X,X,X,O,X
ISJTZLO,X,X,X,O,X,X,X,X,O,X
ISJTZOL,X,X,X,O,X,X,X,X,O,X
ISJTOLZ,O,X,X,O,X,X,X,X,O,X
ISJTOZL,X,X,X,O,X,X,X,X,O,X
ISJLTZO,X,O,X,X,X,X,X,X,O,X
ISJLTOZ,O,X,X,X,X,X,X,X,O,X
ISJLZTO,O,O,X,X,O,X,X,X,X,X
ISJLZOT,O,X,X,X,O,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,O,X
ISJLOZT,O,X,X,X,O,X,X,X,X,X
ISJZTLO,O,X,X,X,O,X,X,X,O,X
ISJZTOL,O,X,X,X,O,X,X,X,O,X
ISJZLTO,O,X,X,X,O,X,X,X,X,X
ISJZLOT,O,X,X,X,O,X,X,X,X,X
ISJZOTL,O,X,X,X,O,X,X,X,O,X
ISJZOLT,O,X,X,X,O,X,X,X,X,X
ISJOTLZ,O,X,X,O,X,X,X,X,O,X
ISJOTZL,X,X,X,O,X,X,X,X,O,X
ISJOLTZ,O,X,X,X,X,X,X,X,O,X
ISJOLZT,O,X,X,X,O,X,X,X,X,X
ISJOZTL,O,X,X,X,O,X,X,X,O,X
ISJOZLT,O,X,X,X,O,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,X,O,X,X,X,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,O,X,X
ISZTOJL,O,X,X,X,X,X,X,O,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,X,O,X,X,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,O,X,X
ISZLOJT,O,X,X,X,X,X,X,O,X,X
ISZJTLO,O,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,O,X,X
ISZJOLT,O,X,X,X,X,X,X,O,X,X
ISZOTLJ,X,X,X,X,X,O,X,O,X,X
ISZOTJL,O,X,X,X,X,X,X,O,X,X
ISZOLTJ,X,X,X,X,X,O,X,O,X,X
ISZOLJT,O,X,X,X,X,O,X,O,X,X
ISZOJTL,O,X,X,X,X,X,X,O,X,X
ISZOJLT,O,X,X,X,X,O,X,O,X,X
ISOTLJZ,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,O,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,O,X,O,X,X
ISOLZJT,X,O,X,X,X,O,X,O,X,X
ISOJTLZ,O,X,X,O,X,X,X,X,O,X
ISOJTZL,X,X,X,O,X,X,X,X,O,X
ISOJLTZ,O,X,X,X,X,X,X,X,O,X
ISOJLZT,O,X,X,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,O,X,X,X,O,X
ISOJZLT,O,X,X,X,O,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,O,X,O,X,X
ISOZTJL,O,X,X,X,X,X,X,O,X,X
ISOZLTJ,X,X,X,X,X,O,X,O,X,X
ISOZLJT,O,X,X,X,X,O,X,O,X,X
ISOZJTL,O,X,X,X,X,X,X,O,X,X
ISOZJLT,O,X,X,X,X,O,X,O,X,X
IZTLJSO,X,X,O,X,X,X,X,X,X,X
IZTLJOS,O,X,O,X,X,X,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,X,X,X
IZTLOSJ,X,O,O,X,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,X,X,X,X,X
IZTJLOS,O,X,O,X,X,X,X,X,X,X
IZTJSLO,O,X,X,O,X,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X
IZTJOLS,O,X,O,X,X,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X
IZTSJOL,O,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,O,X,X,O,X,X,X,X
IZTOLSJ,X,X,O,X,X,O,X,X,X,X
IZTOJLS,O,X,O,X,X,X,X,X,X,X
IZTOJSL,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,X,X,X,X,X
IZLTJOS,O,X,O,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,O,X,X,X,X
IZLJTSO,X,X,O,X,O,X,X,X,X,X
IZLJTOS,O,X,O,X,O,X,X,X,X,X
IZLJSTO,O,X,X,X,O,X,X,X,X,X
IZLJSOT,O,X,X,X,O,X,X,X,X,X
IZLJOTS,O,X,O,X,O,O,X,X,X,X
IZLJOST,O,X,X,X,O,O,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,O,X,X,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X
IZLOTJS,X,X,O,X,X,O,X,X,X,X
IZLOTSJ,X,O,O,X,X,O,X,X,X,X
IZLOJTS,O,X,O,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,O,X,X,X,X
IZLOSJT,O,O,X,X,X,O,X,X,X,X
IZJTLSO,X,X,O,X,O,X,X,X,X,X
IZJTLOS,O,X,O,X,O,X,X,X,X,O
IZJTSLO,O,X,X,O,O,X,X,X,X,X
IZJTSOL,O,X,X,O,O,X,X,X,X,O
IZJTOLS,O,X,O,X,O,X,X,X,X,O
IZJTOSL,O,X,X,O,O,X,X,X,X,O
IZJLTSO,X,X,O,X,O,X,X,X,X,X
IZJLTOS,O,X,O,X,O,X,X,X,X,O
IZJLSTO,O,X,X,X,O,X,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,X,X,X
IZJLOTS,O,X,O,X,O,X,X,X,X,O
IZJLOST,O,X,X,X,O,X,X,X,X,X
IZJSTLO,O,X,X,X,O,X,X,X,X,X
IZJSTOL,O,X,X,X,O,X,X,X,X,O
IZJSLTO,O,X,X,X,O,X,X,X,X,X
IZJSLOT,O,X,X,X,O,X,X,X,X,X
IZJSOTL,O,X,X,X,O,X,X,X,X,O
IZJSOLT,O,X,X,X,O,X,X,X,X,X
IZJOTLS,O,X,O,X,O,X,X,X,X,O
IZJOTSL,O,X,X,O,O,X,X,X,X,O
IZJOLTS,O,X,O,X,O,O,X,X,X,O
IZJOLST,O,X,X,X,O,O,X,X,X,X
IZJOSTL,O,X,X,X,O,X,X,X,X,O
IZJOSLT,O,X,X,X,O,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,O,X,X
IZSTOJL,O,X,X,X,X,X,X,O,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,O,X,X
IZSLOJT,O,X,X,X,X,X,X,O,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,O,X,X
IZSJOLT,O,X,X,X,X,X,X,O,X,X
IZSOTLJ,X,X,X,X,X,O,X,O,X,X
IZSOTJL,O,X,X,X,X,X,X,O,X,X
IZSOLTJ,X,X,X,X,X,O,X,O,X,X
IZSOLJT,O,X,X,X,X,O,X,O,X,X
IZSOJTL,O,X,X,X,X,X,X,O,X,X
IZSOJLT,O,X,X,X,X,O,X,O,X,X
IZOTLJS,X,X,O,X,X,O,X,X,X,O
IZOTLSJ,X,X,O,X,X,O,X,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,O
IZOTJSL,O,X,X,O,X,X,X,X,X,O
IZOTSLJ,X,X,X,X,X,O,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X,X,O
IZOLTJS,X,X,O,X,X,O,X,X,X,O
IZOLTSJ,X,X,O,X,X,O,X,X,X,X
IZOLJTS,O,X,O,X,X,O,X,X,X,O
IZOLJST,O,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,X,O,X,O,X,X
IZOLSJT,O,X,X,X,X,O,X,O,X,X
IZOJTLS,O,X,O,X,O,X,X,X,X,O
IZOJTSL,O,X,X,O,O,X,X,X,X,O
IZOJLTS,O,X,O,X,O,O,X,X,X,O
IZOJLST,O,X,X,X,O,O,X,X,X,X
IZOJSTL,O,X,X,X,O,X,X,X,X,O
IZOJSLT,O,X,X,X,O,O,X,X,X,X
IZOSTLJ,X,X,X,X,X,O,X,O,X,X
IZOSTJL,O,X,X,X,X,X,X,O,X,O
IZOSLTJ,X,X,X,X,X,O,X,O,X,X
IZOSLJT,O,X,X,X,X,O,X,O,X,X
IZOSJTL,O,X,X,X,X,X,X,O,X,O
IZOSJLT,O,X,X,X,X,O,X,O,X,X
IOTLJSZ,X,O,X,O,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,O,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,O,X,X,X
IOTLZJS,X,X,O,X,X,O,O,X,X,O
IOTLZSJ,X,O,O,X,X,O,O,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,O,X,X,O
IOTJZSL,O,X,X,O,O,X,X,X,X,O
IOTSLJZ,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,X
IOTSZJL,X,X,X,X,X,X,X,X,X,O
IOTZLJS,X,X,O,X,X,O,O,X,X,O
IOTZLSJ,X,X,O,X,X,O,O,X,X,X
IOTZJLS,O,X,O,X,X,X,O,X,X,O
IOTZJSL,O,X,X,O,X,X,X,X,X,O
IOTZSLJ,X,X,X,X,X,O,O,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X,X,O
IOLTJSZ,X,O,X,O,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,O,X,X,X
IOLTZJS,X,X,O,X,X,O,O,X,X,O
IOLTZSJ,X,O,O,X,X,O,O,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,O,X,O,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,O,X,X,X,X,X
IOLJZTS,O,X,X,X,O,O,O,X,X,X
IOLJZST,O,X,X,X,O,O,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,O,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,O,O,O,X,X
IOLSZJT,X,O,X,X,X,O,X,O,X,X
IOLZTJS,X,X,O,X,X,O,O,X,X,O
IOLZTSJ,X,O,O,X,X,O,O,X,X,X
IOLZJTS,O,X,O,X,X,O,O,X,X,O
IOLZJST,O,X,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,O,O,O,X,X
IOLZSJT,O,O,X,X,X,O,X,O,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,O,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,X,O,X,O,X,X,O
IOJTZSL,O,X,X,O,O,X,X,X,X,O
IOJLTSZ,O,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,O,X,O,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X
IOJLZTS,O,X,X,X,O,O,O,X,X,X
IOJLZST,O,X,X,X,O,O,X,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X
IOJSZTL,O,X,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X,X,X
IOJZTLS,O,X,X,X,O,X,O,X,X,O
IOJZTSL,O,X,X,O,O,X,X,X,X,O
IOJZLTS,O,X,X,X,O,O,O,X,X,O
IOJZLST,O,X,X,X,O,O,X,X,X,X
IOJZSTL,O,X,X,X,O,X,X,X,X,O
IOJZSLT,O,X,X,X,O,O,X,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,O
IOSLTJZ,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,O,X,X,X
IOSLJTZ,O,O,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,O,O,O,X,X
IOSLZJT,X,O,X,X,X,O,X,O,X,X
IOSJTLZ,O,X,X,O,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,X
IOSJZTL,O,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,O,O,O,X,X
IOSZTJL,O,X,X,X,X,X,X,O,X,O
IOSZLTJ,X,X,X,X,X,O,O,O,X,X
IOSZLJT,O,X,X,X,X,O,X,O,X,X
IOSZJTL,O,X,X,X,X,X,X,O,X,O
IOSZJLT,O,X,X,X,X,O,X,O,X,X
IOZTLJS,X,X,O,X,X,O,O,X,X,O
IOZTLSJ,X,X,O,X,X,O,O,X,X,X
IOZTJLS,O,X,O,X,X,X,O,X,X,O
IOZTJSL,O,X,X,O,X,X,X,X,X,O
IOZTSLJ,X,X,X,X,X,O,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X,X,X,O
IOZLTJS,X,X,O,X,X,O,O,X,X,O
IOZLTSJ,X,X,O,X,X,O,O,X,X,X
