sequence,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgBzhB+nB6?oBllB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Jex/IvhF8lB+mB6oBl?kBTnBXsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBz?lBurBcsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgB+nB6oB0?lBlmBzrB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBW?rBTnB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFUgBRhB+nB6?oBVrBzrB
IOTZLJS,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X
IOTZJSL,X,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X
IOTZSJL,X,O,X,X,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,X,O,X,X,X,X
IOLTSJZ,X,X,O,X,O,X
IOLTSZJ,X,O,O,X,O,X
IOLTZJS,X,O,X,X,X,X
IOLTZSJ,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,O,X
IOLJTZS,X,O,X,X,X,X
IOLJSTZ,X,X,O,X,O,X
IOLJSZT,X,X,X,X,O,X
IOLJZTS,X,O,X,X,X,X
IOLJZST,X,X,X,X,O,X
IOLSTJZ,X,X,O,X,O,X
IOLSTZJ,X,X,O,X,O,X
IOLSJTZ,X,X,O,X,O,X
IOLSJZT,X,X,X,X,O,X
IOLSZTJ,X,X,O,X,O,X
IOLSZJT,X,X,O,X,O,X
IOLZTJS,X,O,X,X,X,X
IOLZTSJ,X,O,O,X,X,X
IOLZJTS,X,O,O,X,X,X
IOLZJST,X,X,O,X,O,X
IOLZSTJ,X,X,O,X,O,X
IOLZSJT,X,X,O,X,O,X
IOJTLSZ,X,X,X,X,O,X
IOJTLZS,X,O,X,X,X,X
IOJTSLZ,X,X,X,X,O,X
IOJTSZL,X,X,X,X,O,X
IOJTZLS,X,O,X,X,X,X
IOJTZSL,X,O,X,X,X,X
IOJLTSZ,X,X,X,X,O,X
IOJLTZS,X,O,X,X,X,X
IOJLSTZ,X,X,O,X,O,X
IOJLSZT,X,X,X,X,O,X
IOJLZTS,X,O,X,X,X,X
IOJLZST,X,X,X,X,O,X
IOJSTLZ,X,X,O,X,O,X
IOJSTZL,X,X,X,X,O,X
IOJSLTZ,X,X,O,X,O,X
IOJSLZT,X,X,X,X,O,X
IOJSZTL,X,X,X,X,O,X
IOJSZLT,X,X,X,X,O,X
IOJZTLS,X,O,X,X,X,X
IOJZTSL,X,O,X,X,X,X
IOJZLTS,X,O,X,X,X,X
IOJZLST,X,X,X,X,O,X
IOJZSTL,X,X,X,X,O,X
IOJZSLT,X,X,X,X,O,X
IOSTLJZ,X,X,O,X,O,X
IOSTLZJ,X,X,O,X,O,X
IOSTJLZ,X,X,O,X,O,X
IOSTJZL,X,X,X,X,O,X
IOSTZLJ,X,X,O,X,O,X
IOSTZJL,X,X,O,X,X,X
IOSLTJZ,X,X,O,X,O,X
IOSLTZJ,X,X,O,X,O,X
IOSLJTZ,X,X,O,X,O,X
IOSLJZT,X,X,X,X,O,X
IOSLZTJ,X,X,O,X,O,X
IOSLZJT,X,X,O,X,O,X
IOSJTLZ,X,X,O,X,O,X
IOSJTZL,X,X,X,X,O,X
IOSJLTZ,X,X,O,X,O,X
IOSJLZT,X,X,X,X,O,X
IOSJZTL,X,X,X,X,O,X
IOSJZLT,X,X,X,X,O,X
IOSZTLJ,X,X,O,X,O,X
IOSZTJL,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,O,X
IOSZLJT,X,X,O,X,O,X
IOSZJTL,X,X,O,X,O,X
IOSZJLT,X,X,O,X,O,X
IOZTLJS,X,O,X,X,X,X
IOZTLSJ,X,O,O,X,X,X
IOZTJLS,X,O,X,X,X,X
IOZTJSL,X,O,X,X,X,X
IOZTSLJ,X,O,O,X,X,X
IOZTSJL,X,O,O,X,X,X
IOZLTJS,X,O,X,X,X,X
IOZLTSJ,X,O,O,X,X,X
IOZLJTS,X,O,O,X,X,X
IOZLJST,X,X,O,X,O,X
IOZLSTJ,X,X,O,X,O,X
IOZLSJT,X,X,O,X,O,X
IOZJTLS,X,O,O,X,X,X
IOZJTSL,X,O,O,X,X,X
IOZJLTS,X,O,O,X,X,X
IOZJLST,X,X,O,X,O,X
IOZJSTL,X,X,O,X,O,X
IOZJSLT,X,X,O,X,O,X
IOZSTLJ,X,X,O,X,O,X
IOZSTJL,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,O,X
IOZSLJT,X,X,O,X,O,X
IOZSJTL,X,X,O,X,O,X
IOZSJLT,X,X,O,X,O,X
LTIJSZO,O,X,X,X,X,O
LTIJSOZ,O,X,X,X,X,O
LTIJZSO,O,O,X,X,X,O
LTIJZOS,O,O,X,X,X,X
LTIJOSZ,O,X,X,X,X,O
LTIJOZS,X,O,X,X,X,X
LTISJZO,O,X,X,X,X,O
LTISJOZ,O,X,X,X,X,O
LTISZJO,O,O,X,X,X,O
LTISZOJ,O,O,X,X,X,O
LTISOJZ,O,X,X,X,X,O
LTISOZJ,O,O,X,X,X,O
LTIZJSO,O,O,X,X,X,O
LTIZJOS,O,O,X,X,X,X
LTIZSJO,O,O,X,X,X,O
LTIZSOJ,O,O,X,X,X,O
LTIZOJS,X,O,X,X,X,X
LTIZOSJ,X,O,X,X,X,X
LTIOJSZ,X,X,X,X,X,O
LTIOJZS,X,O,X,X,X,X
LTIOSJZ,X,X,X,X,X,O
LTIOSZJ,X,O,X,X,X,O
LTIOZJS,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,X,X
LTJISZO,O,X,X,O,X,O
LTJISOZ,O,X,X,X,X,O
LTJIZSO,O,O,X,O,X,O
LTJIZOS,O,O,X,X,X,X
LTJIOSZ,O,X,X,X,X,O
LTJIOZS,X,O,X,X,X,X
LTJSIZO,O,X,X,O,X,O
LTJSIOZ,O,X,X,X,O,O
LTJSZIO,O,O,X,O,X,O
LTJSZOI,O,O,X,O,O,O
LTJSOIZ,O,X,X,X,O,O
LTJSOZI,O,O,X,O,O,O
LTJZISO,O,O,X,O,X,O
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,O,X,O,X,O
LTJZSOI,O,O,X,O,X,O
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,O,X,O,X,X
LTJOISZ,O,X,X,X,O,O
LTJOIZS,X,O,X,X,X,X
LTJOSIZ,O,X,X,X,O,O
LTJOSZI,O,O,X,O,O,O
LTJOZIS,O,O,X,X,X,X
LTJOZSI,O,O,X,O,X,X
LTSIJZO,O,X,X,O,X,O
LTSIJOZ,O,X,X,X,O,O
LTSIZJO,O,O,O,O,X,O
LTSIZOJ,O,O,O,X,X,O
LTSIOJZ,O,X,O,X,O,O
LTSIOZJ,O,O,O,X,O,O
LTSJIZO,O,X,X,O,X,O
LTSJIOZ,O,X,X,X,O,O
LTSJZIO,O,O,O,O,X,O
LTSJZOI,O,O,O,O,O,O
LTSJOIZ,O,X,O,X,O,O
LTSJOZI,O,O,O,O,O,O
LTSZIJO,O,O,O,O,X,O
LTSZIOJ,O,O,O,X,X,O
LTSZJIO,O,O,O,O,X,O
LTSZJOI,O,O,O,O,O,O
LTSZOIJ,O,O,O,X,O,O
LTSZOJI,O,O,O,X,O,O
LTSOIJZ,O,X,O,X,O,O
LTSOIZJ,O,O,O,X,O,O
LTSOJIZ,O,X,O,X,O,O
LTSOJZI,O,O,O,X,O,O
LTSOZIJ,O,O,O,X,O,O
LTSOZJI,O,O,O,X,O,O
LTZIJSO,O,O,X,X,X,O
LTZIJOS,O,O,X,X,X,X
LTZISJO,O,O,O,X,X,O
LTZISOJ,O,O,O,X,X,O
LTZIOJS,X,O,X,X,X,X
LTZIOSJ,X,O,X,X,X,X
LTZJISO,O,O,O,O,X,O
LTZJIOS,O,O,X,X,X,X
LTZJSIO,O,O,O,O,X,O
LTZJSOI,O,O,O,O,X,O
LTZJOIS,O,O,O,X,X,X
LTZJOSI,O,O,O,O,X,X
LTZSIJO,O,O,O,O,X,O
LTZSIOJ,O,O,O,X,X,O
LTZSJIO,O,O,O,O,X,O
LTZSJOI,O,O,O,O,X,O
LTZSOIJ,O,O,O,X,X,O
LTZSOJI,O,O,O,X,X,O
LTZOIJS,X,O,X,X,X,X
LTZOISJ,X,O,O,X,X,X
LTZOJIS,O,O,O,X,X,X
LTZOJSI,O,O,O,X,X,X
LTZOSIJ,O,O,O,X,X,X
LTZOSJI,O,O,O,X,X,X
LTOIJSZ,X,X,X,X,O,O
LTOIJZS,X,O,X,X,X,X
LTOISJZ,X,X,O,X,O,O
LTOISZJ,X,O,O,X,O,O
LTOIZJS,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,X,X
LTOJISZ,O,X,X,X,O,O
LTOJIZS,X,O,X,X,X,X
LTOJSIZ,O,X,X,X,O,O
LTOJSZI,O,O,X,X,O,O
LTOJZIS,O,O,X,X,X,X
LTOJZSI,O,O,X,X,X,X
LTOSIJZ,O,X,O,X,O,O
LTOSIZJ,O,O,O,X,O,O
LTOSJIZ,O,X,O,X,O,O
LTOSJZI,O,O,O,X,O,O
LTOSZIJ,O,O,O,X,O,O
LTOSZJI,O,O,O,X,O,O
LTOZIJS,X,O,X,X,X,X
LTOZISJ,X,O,O,X,X,X
LTOZJIS,O,O,O,X,X,X
LTOZJSI,O,O,O,X,X,X
LTOZSIJ,O,O,O,X,X,X
LTOZSJI,O,O,O,X,X,X
LITJSZO,O,X,X,X,X,O
LITJSOZ,O,X,X,X,X,O
LITJZSO,O,O,X,X,X,O
LITJZOS,O,O,X,X,X,X
LITJOSZ,O,X,X,X,X,O
LITJOZS,X,O,X,X,X,X
LITSJZO,O,X,X,X,X,O
LITSJOZ,O,X,X,X,X,O
LITSZJO,O,O,X,X,X,O
LITSZOJ,O,O,X,X,X,O
LITSOJZ,O,X,X,X,X,O
LITSOZJ,O,O,X,X,X,O
LITZJSO,O,O,X,X,X,O
LITZJOS,O,O,X,X,X,X
LITZSJO,O,O,X,X,X,O
LITZSOJ,O,O,X,X,X,O
LITZOJS,X,O,X,X,X,X
LITZOSJ,X,O,X,X,X,X
LITOJSZ,X,X,X,X,X,O
LITOJZS,X,O,X,X,X,X
LITOSJZ,X,X,X,X,X,O
LITOSZJ,X,O,X,X,X,O
LITOZJS,X,O,X,X,X,X
LITOZSJ,X,O,X,X,X,X
LIJTSZO,O,X,X,O,X,O
LIJTSOZ,O,X,X,X,X,O
LIJTZSO,O,O,X,O,X,O
LIJTZOS,O,O,X,X,X,X
LIJTOSZ,O,X,X,X,X,O
LIJTOZS,X,O,X,X,X,X
LIJSTZO,O,X,X,O,X,O
LIJSTOZ,O,X,X,X,O,O
LIJSZTO,O,X,X,O,X,O
LIJSZOT,O,X,X,O,X,O
LIJSOTZ,O,X,X,X,O,X
LIJSOZT,O,X,X,O,O,X
LIJZTSO,O,O,X,O,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,O,X,X,O,X,X
LIJZSOT,O,X,X,O,X,X
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,X,X,X,X,X
LIJOTSZ,O,X,X,X,O,X
LIJOTZS,X,O,X,X,X,X
LIJOSTZ,O,X,X,X,O,X
LIJOSZT,O,X,X,X,O,X
LIJOZTS,X,O,X,X,X,X
LIJOZST,X,X,X,X,O,X
LISTJZO,O,X,X,O,X,O
LISTJOZ,O,X,X,X,O,O
LISTZJO,O,X,O,O,X,O
LISTZOJ,O,X,O,X,X,O
LISTOJZ,O,X,O,X,O,O
LISTOZJ,O,X,O,X,O,O
LISJTZO,O,X,X,O,X,O
LISJTOZ,O,X,X,X,O,O
LISJZTO,O,X,X,O,X,O
LISJZOT,O,X,X,O,X,O
LISJOTZ,O,X,X,X,O,X
LISJOZT,O,X,X,O,O,X
LISZTJO,O,X,O,O,X,O
LISZTOJ,O,X,O,X,X,O
LISZJTO,O,X,O,O,X,O
LISZJOT,O,X,O,O,X,O
LISZOTJ,X,X,O,X,X,X
LISZOJT,O,X,O,O,X,O
LISOTJZ,O,X,O,X,O,X
LISOTZJ,O,X,O,X,O,X
LISOJTZ,O,X,O,X,O,X
LISOJZT,O,X,X,O,O,X
LISOZTJ,X,X,O,X,O,X
LISOZJT,O,X,O,O,O,X
LIZTJSO,O,O,X,X,X,X
LIZTJOS,O,O,X,X,X,X
LIZTSJO,O,O,O,X,X,X
LIZTSOJ,O,O,O,X,X,X
LIZTOJS,X,O,X,X,X,X
LIZTOSJ,X,O,X,X,X,X
LIZJTSO,O,O,O,O,X,X
LIZJTOS,O,O,X,X,X,X
LIZJSTO,O,X,O,O,X,X
LIZJSOT,O,X,O,O,X,X
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,X,O,X,X,X
LIZSTJO,O,X,O,O,X,X
LIZSTOJ,O,X,O,X,X,X
LIZSJTO,O,X,O,O,X,X
LIZSJOT,O,X,O,O,X,X
LIZSOTJ,X,X,O,X,X,X
LIZSOJT,O,X,O,O,X,X
LIZOTJS,X,O,X,X,X,X
LIZOTSJ,X,O,O,X,X,X
LIZOJTS,X,O,O,X,X,X
LIZOJST,X,X,O,X,X,X
LIZOSTJ,X,X,O,X,X,X
LIZOSJT,X,X,O,X,X,X
LIOTJSZ,X,X,X,X,O,X
LIOTJZS,X,O,X,X,X,X
LIOTSJZ,X,X,O,X,O,X
LIOTSZJ,X,O,O,X,O,X
LIOTZJS,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,O,X
LIOJTZS,X,O,X,X,X,X
LIOJSTZ,X,X,O,X,O,X
LIOJSZT,X,X,X,X,O,X
LIOJZTS,X,O,X,X,X,X
LIOJZST,X,X,X,X,O,X
LIOSTJZ,X,X,O,X,O,X
LIOSTZJ,X,X,O,X,O,X
LIOSJTZ,X,X,O,X,O,X
LIOSJZT,X,X,X,X,O,X
LIOSZTJ,X,X,O,X,O,X
LIOSZJT,X,X,O,X,O,X
LIOZTJS,X,O,X,X,X,X
LIOZTSJ,X,O,O,X,X,X
LIOZJTS,X,O,O,X,X,X
LIOZJST,X,X,O,X,O,X
LIOZSTJ,X,X,O,X,O,X
LIOZSJT,X,X,O,X,O,X
LJTISZO,O,X,X,O,X,O
LJTISOZ,O,X,X,X,X,O
LJTIZSO,O,O,X,O,X,O
LJTIZOS,O,O,X,X,X,X
LJTIOSZ,O,X,X,X,X,O
LJTIOZS,X,O,X,X,X,X
LJTSIZO,O,X,X,O,X,O
LJTSIOZ,O,X,X,X,O,O
LJTSZIO,O,O,X,O,X,O
LJTSZOI,O,O,X,O,O,O
LJTSOIZ,O,X,X,X,O,O
LJTSOZI,O,O,X,O,O,O
LJTZISO,O,O,X,O,X,O
LJTZIOS,O,O,X,X,X,X
LJTZSIO,O,O,X,O,X,O
LJTZSOI,O,O,X,O,X,O
LJTZOIS,O,O,X,X,X,X
LJTZOSI,O,O,X,O,X,X
LJTOISZ,O,X,X,X,O,O
LJTOIZS,X,O,X,X,X,X
LJTOSIZ,O,X,X,X,O,O
LJTOSZI,O,O,X,O,O,O
LJTOZIS,O,O,X,X,X,X
LJTOZSI,O,O,X,O,X,X
LJITSZO,O,X,X,O,X,O
LJITSOZ,O,X,X,X,X,O
LJITZSO,O,O,X,O,X,O
LJITZOS,O,O,X,X,X,X
LJITOSZ,O,X,X,X,X,O
LJITOZS,X,O,X,X,X,X
LJISTZO,O,X,X,O,X,O
LJISTOZ,O,X,X,X,O,O
LJISZTO,O,X,X,O,X,O
LJISZOT,O,X,X,O,X,O
LJISOTZ,O,X,X,X,O,X
LJISOZT,O,X,X,O,O,X
LJIZTSO,O,O,X,O,X,X
LJIZTOS,O,O,X,X,X,X
LJIZSTO,O,X,X,O,X,X
LJIZSOT,O,X,X,O,X,X
LJIZOTS,O,O,X,X,X,X
LJIZOST,O,X,X,X,X,X
LJIOTSZ,O,X,X,X,O,X
LJIOTZS,X,O,X,X,X,X
LJIOSTZ,O,X,X,X,O,X
LJIOSZT,O,X,X,X,O,X
LJIOZTS,X,O,X,X,X,X
LJIOZST,X,X,X,X,O,X
LJSTIZO,O,X,X,O,X,O
LJSTIOZ,O,X,X,X,O,O
LJSTZIO,O,O,O,O,X,O
LJSTZOI,O,O,O,O,O,O
LJSTOIZ,O,X,O,X,O,O
LJSTOZI,O,O,O,O,O,O
LJSITZO,O,X,X,O,X,O
LJSITOZ,O,X,X,X,O,O
LJSIZTO,O,X,X,O,X,O
LJSIZOT,O,X,X,O,X,O
LJSIOTZ,O,X,X,X,O,X
LJSIOZT,O,X,X,O,O,X
LJSZTIO,O,O,O,O,X,O
LJSZTOI,O,O,O,O,O,O
LJSZITO,O,X,O,O,X,O
LJSZIOT,O,X,O,O,X,O
LJSZOTI,O,O,O,O,O,O
LJSZOIT,O,X,O,O,O,O
LJSOTIZ,O,X,O,X,O,O
LJSOTZI,O,O,O,O,O,O
LJSOITZ,O,X,O,X,O,X
LJSOIZT,O,X,X,O,O,X
LJSOZTI,O,O,O,O,O,O
LJSOZIT,O,X,O,O,O,O
LJZTISO,O,O,O,O,X,O
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,O,O,O,X,O
LJZTSOI,O,O,O,O,X,O
LJZTOIS,O,O,O,X,X,X
LJZTOSI,O,O,O,O,X,X
LJZITSO,O,O,O,O,X,X
LJZITOS,O,O,X,X,X,X
LJZISTO,O,X,O,O,X,X
LJZISOT,O,X,O,O,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,X,O,X,X,X
LJZSTIO,O,O,O,O,X,O
LJZSTOI,O,O,O,O,O,O
LJZSITO,O,X,O,O,X,O
LJZSIOT,O,X,O,O,X,O
LJZSOTI,O,O,O,O,O,O
LJZSOIT,O,X,O,O,O,O
LJZOTIS,O,O,O,X,X,X
LJZOTSI,O,O,O,O,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,X,O,X,O,X
LJZOSTI,O,O,O,O,O,X
LJZOSIT,O,X,O,O,O,X
LJOTISZ,O,X,X,X,O,O
LJOTIZS,X,O,X,X,X,X
LJOTSIZ,O,X,X,X,O,O
LJOTSZI,O,O,X,O,O,O
LJOTZIS,O,O,X,X,X,X
LJOTZSI,O,O,X,O,X,X
LJOITSZ,O,X,X,X,O,X
LJOITZS,X,O,X,X,X,X
LJOISTZ,O,X,O,X,O,X
LJOISZT,O,X,X,X,O,X
LJOIZTS,X,O,X,X,X,X
LJOIZST,X,X,X,X,O,X
LJOSTIZ,O,X,O,X,O,O
LJOSTZI,O,O,O,O,O,O
LJOSITZ,O,X,O,X,O,X
LJOSIZT,O,X,X,O,O,X
LJOSZTI,O,O,O,O,O,O
LJOSZIT,O,X,O,O,O,O
LJOZTIS,O,O,O,X,X,X
LJOZTSI,O,O,O,O,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,X,O,X,O,X
LJOZSTI,O,O,O,O,O,X
LJOZSIT,O,X,O,O,O,X
LSTIJZO,O,X,X,O,X,O
LSTIJOZ,O,X,X,X,O,O
LSTIZJO,O,O,O,O,X,O
LSTIZOJ,O,O,O,X,X,O
LSTIOJZ,O,X,O,X,O,O
LSTIOZJ,O,O,O,X,O,O
LSTJIZO,O,X,X,O,X,O
LSTJIOZ,O,X,X,X,O,O
LSTJZIO,O,O,O,O,X,O
LSTJZOI,O,O,O,O,O,O
LSTJOIZ,O,X,O,X,O,O
LSTJOZI,O,O,O,O,O,O
LSTZIJO,O,O,O,O,X,O
LSTZIOJ,O,O,O,X,X,O
LSTZJIO,O,O,O,O,X,O
LSTZJOI,O,O,O,O,O,O
LSTZOIJ,O,O,O,X,O,O
LSTZOJI,O,O,O,X,O,O
LSTOIJZ,O,X,O,X,O,O
LSTOIZJ,O,O,O,X,O,O
LSTOJIZ,O,X,O,X,O,O
LSTOJZI,O,O,O,X,O,O
LSTOZIJ,O,O,O,X,O,O
LSTOZJI,O,O,O,X,O,O
LSITJZO,O,X,X,O,X,O
LSITJOZ,O,X,X,X,O,O
LSITZJO,O,X,O,O,X,O
LSITZOJ,O,X,O,X,X,O
LSITOJZ,O,X,O,X,O,O
LSITOZJ,O,X,O,X,O,O
LSIJTZO,O,X,X,O,X,O
LSIJTOZ,O,X,X,X,O,O
LSIJZTO,O,X,X,O,X,O
LSIJZOT,O,X,X,O,X,O
LSIJOTZ,O,X,X,X,O,X
LSIJOZT,O,X,X,O,O,X
LSIZTJO,O,X,O,O,X,O
LSIZTOJ,O,X,O,X,X,O
LSIZJTO,O,X,O,O,X,O
LSIZJOT,O,X,O,O,X,O
LSIZOTJ,X,X,O,X,X,X
LSIZOJT,O,X,O,O,X,O
LSIOTJZ,O,X,O,X,O,X
LSIOTZJ,O,X,O,X,O,X
LSIOJTZ,O,X,O,X,O,X
LSIOJZT,O,X,X,O,O,X
LSIOZTJ,X,X,O,X,O,X
LSIOZJT,O,X,O,O,O,X
LSJTIZO,O,X,X,O,X,O
LSJTIOZ,O,X,X,X,O,O
LSJTZIO,O,O,O,O,X,O
LSJTZOI,O,O,O,O,O,O
LSJTOIZ,O,X,O,X,O,O
LSJTOZI,O,O,O,O,O,O
LSJITZO,O,X,X,O,X,O
LSJITOZ,O,X,X,X,O,O
LSJIZTO,O,X,X,O,X,O
LSJIZOT,O,X,X,O,X,O
LSJIOTZ,O,X,X,X,O,X
LSJIOZT,O,X,X,O,O,X
LSJZTIO,O,O,O,O,X,O
LSJZTOI,O,O,O,O,O,O
LSJZITO,O,X,O,O,X,O
LSJZIOT,O,X,O,O,X,O
LSJZOTI,O,O,O,O,O,O
LSJZOIT,O,X,O,O,O,O
LSJOTIZ,O,X,O,X,O,O
LSJOTZI,O,O,O,O,O,O
LSJOITZ,O,X,O,X,O,X
LSJOIZT,O,X,X,O,O,X
LSJOZTI,O,O,O,O,O,O
LSJOZIT,O,X,O,O,O,O
LSZTIJO,O,O,O,O,X,O
LSZTIOJ,O,O,O,X,X,O
LSZTJIO,O,O,O,O,X,O
LSZTJOI,O,O,O,O,O,O
LSZTOIJ,O,O,O,X,O,O
LSZTOJI,O,O,O,X,O,O
LSZITJO,O,X,O,O,X,O
LSZITOJ,O,X,O,X,X,O
LSZIJTO,O,X,O,O,X,O
LSZIJOT,O,X,O,O,X,O
LSZIOTJ,X,X,O,X,X,X
LSZIOJT,O,X,O,O,X,O
LSZJTIO,O,O,O,O,X,O
LSZJTOI,O,O,O,O,O,O
LSZJITO,O,X,O,O,X,O
LSZJIOT,O,X,O,O,X,O
LSZJOTI,O,O,O,O,O,O
LSZJOIT,O,X,O,O,O,O
LSZOTIJ,O,O,O,X,O,O
LSZOTJI,O,O,O,X,O,O
LSZOITJ,X,X,O,X,O,X
LSZOIJT,O,X,O,O,O,O
LSZOJTI,O,O,O,O,O,O
LSZOJIT,O,X,O,O,O,O
LSOTIJZ,O,X,O,X,O,O
LSOTIZJ,O,O,O,X,O,O
LSOTJIZ,O,X,O,X,O,O
LSOTJZI,O,O,O,X,O,O
LSOTZIJ,O,O,O,X,O,O
LSOTZJI,O,O,O,X,O,O
LSOITJZ,O,X,O,X,O,X
LSOITZJ,O,X,O,X,O,X
LSOIJTZ,O,X,O,X,O,X
LSOIJZT,O,X,X,O,O,X
LSOIZTJ,X,X,O,X,O,X
LSOIZJT,O,X,O,O,O,X
LSOJTIZ,O,X,O,X,O,O
LSOJTZI,O,O,O,O,O,O
LSOJITZ,O,X,O,X,O,X
LSOJIZT,O,X,X,O,O,X
LSOJZTI,O,O,O,O,O,O
LSOJZIT,O,X,O,O,O,O
LSOZTIJ,O,O,O,X,O,O
LSOZTJI,O,O,O,X,O,O
LSOZITJ,X,X,O,X,O,X
LSOZIJT,O,X,O,O,O,O
LSOZJTI,O,O,O,O,O,O
LSOZJIT,O,X,O,O,O,O
LZTIJSO,O,O,X,X,X,O
LZTIJOS,O,O,X,X,X,X
LZTISJO,O,O,O,X,X,O
LZTISOJ,O,O,O,X,X,O
LZTIOJS,X,O,X,X,X,X
LZTIOSJ,X,O,X,X,X,X
LZTJISO,O,O,O,O,X,O
LZTJIOS,O,O,X,X,X,X
LZTJSIO,O,O,O,O,X,O
LZTJSOI,O,O,O,O,X,O
LZTJOIS,O,O,O,X,X,X
LZTJOSI,O,O,O,O,X,X
LZTSIJO,O,O,O,O,X,O
LZTSIOJ,O,O,O,X,X,O
LZTSJIO,O,O,O,O,X,O
LZTSJOI,O,O,O,O,X,O
LZTSOIJ,O,O,O,X,X,O
LZTSOJI,O,O,O,X,X,O
LZTOIJS,X,O,X,X,X,X
LZTOISJ,X,O,O,X,X,X
LZTOJIS,O,O,O,X,X,X
LZTOJSI,O,O,O,X,X,X
LZTOSIJ,O,O,O,X,X,X
LZTOSJI,O,O,O,X,X,X
LZITJSO,O,O,X,X,X,X
LZITJOS,O,O,X,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,X,X,X
LZITOJS,X,O,X,X,X,X
LZITOSJ,X,O,X,X,X,X
LZIJTSO,O,O,O,O,X,X
LZIJTOS,O,O,X,X,X,X
LZIJSTO,O,X,O,O,X,X
LZIJSOT,O,X,O,O,X,X
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,X,O,X,X,X
LZISTJO,O,X,O,O,X,X
LZISTOJ,O,X,O,X,X,X
LZISJTO,O,X,O,O,X,X
LZISJOT,O,X,O,O,X,X
LZISOTJ,X,X,O,X,X,X
LZISOJT,O,X,O,O,X,X
LZIOTJS,X,O,X,X,X,X
LZIOTSJ,X,O,O,X,X,X
LZIOJTS,X,O,O,X,X,X
LZIOJST,X,X,O,X,X,X
LZIOSTJ,X,X,O,X,X,X
LZIOSJT,X,X,O,X,X,X
LZJTISO,O,O,O,O,X,O
LZJTIOS,O,O,X,X,X,X
LZJTSIO,O,O,O,O,X,O
LZJTSOI,O,O,O,O,X,O
LZJTOIS,O,O,O,X,X,X
LZJTOSI,O,O,O,O,X,X
LZJITSO,O,O,O,O,X,X
LZJITOS,O,O,X,X,X,X
LZJISTO,O,X,O,O,X,X
LZJISOT,O,X,O,O,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,X,O,X,X,X
LZJSTIO,O,O,O,O,X,O
LZJSTOI,O,O,O,O,O,O
LZJSITO,O,X,O,O,X,O
LZJSIOT,O,X,O,O,X,O
LZJSOTI,O,O,O,O,O,O
LZJSOIT,O,X,O,O,O,O
LZJOTIS,O,O,O,X,X,X
LZJOTSI,O,O,O,O,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,X,O,X,O,X
LZJOSTI,O,O,O,O,O,X
LZJOSIT,O,X,O,O,O,X
LZSTIJO,O,O,O,O,X,O
LZSTIOJ,O,O,O,X,X,O
LZSTJIO,O,O,O,O,X,O
LZSTJOI,O,O,O,O,O,O
LZSTOIJ,O,O,O,X,O,O
LZSTOJI,O,O,O,X,O,O
LZSITJO,O,X,O,O,X,O
LZSITOJ,O,X,O,X,X,O
LZSIJTO,O,X,O,O,X,O
LZSIJOT,O,X,O,O,X,O
LZSIOTJ,X,X,O,X,X,X
LZSIOJT,O,X,O,O,X,O
LZSJTIO,O,O,O,O,X,O
LZSJTOI,O,O,O,O,O,O
LZSJITO,O,X,O,O,X,O
LZSJIOT,O,X,O,O,X,O
LZSJOTI,O,O,O,O,O,O
LZSJOIT,O,X,O,O,O,O
LZSOTIJ,O,O,O,X,O,O
LZSOTJI,O,O,O,X,O,O
LZSOITJ,X,X,O,X,O,X
LZSOIJT,O,X,O,O,O,O
LZSOJTI,O,O,O,O,O,O
LZSOJIT,O,X,O,O,O,O
LZOTIJS,X,O,X,X,X,X
LZOTISJ,X,O,O,X,X,X
