sequence,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBGiBTlB0rBlsBirB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBqlB/mB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFmgBXlBSrB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBRhBqnBfrBUsBlrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBUhBFiBfrBRsBSxB,v115@FhB8HeC8HeE8DeB8JeT/IvhFigBGiB8rBRqB3sBFrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFqnBVqBRmBmlBUsB3rB,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBTlBOrB0nBCnBVxB,v115@FhB8HeC8HeE8DeB8JeqHJvhFlkBRmBmkBzlBUsB3rB
IJSZLOT,X,O,O,O,O,O,X,X,X
IJSZOTL,X,X,X,X,O,O,X,O,X
IJSZOLT,X,O,O,O,O,O,X,O,X
IJSOTLZ,X,X,O,X,O,O,X,X,X
IJSOTZL,X,X,X,X,O,X,X,O,X
IJSOLTZ,X,O,O,O,O,O,X,X,X
IJSOLZT,X,O,O,O,O,O,X,O,X
IJSOZTL,X,X,X,X,O,O,X,O,X
IJSOZLT,X,O,O,O,O,O,X,O,X
IJZTLSO,X,O,X,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X,X
IJZTSLO,X,X,X,X,O,X,X,X,X
IJZTSOL,X,X,X,X,O,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X,X
IJZTOSL,X,X,X,X,O,X,X,X,X
IJZLTSO,X,O,O,X,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X
IJZLSTO,X,O,O,O,X,X,X,X,X
IJZLSOT,X,O,O,O,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X
IJZLOST,X,O,O,O,X,X,X,X,X
IJZSTLO,X,X,X,X,O,X,X,X,X
IJZSTOL,X,X,X,X,O,X,X,X,X
IJZSLTO,X,O,O,O,O,X,X,X,X
IJZSLOT,X,O,O,O,O,X,X,X,X
IJZSOTL,X,X,X,X,O,X,X,O,X
IJZSOLT,X,O,O,O,O,X,X,O,X
IJZOTLS,X,O,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,O,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X
IJZOLST,X,O,X,O,X,X,X,X,X
IJZOSTL,X,X,X,X,O,X,X,O,X
IJZOSLT,X,O,O,O,O,X,X,O,X
IJOTLSZ,X,O,X,X,O,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,O,X,X,X,X
IJOTSZL,X,X,X,X,O,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,O,X,X,X,X
IJOLTSZ,X,O,X,X,O,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X
IJOLSTZ,X,O,X,O,O,O,X,X,X
IJOLSZT,X,O,X,O,O,O,X,X,X
IJOLZTS,X,O,X,X,X,X,X,X,X
IJOLZST,X,O,X,O,X,X,X,X,X
IJOSTLZ,X,X,O,X,O,O,X,X,X
IJOSTZL,X,X,X,X,O,X,X,O,X
IJOSLTZ,X,O,O,O,O,O,X,X,X
IJOSLZT,X,O,O,O,O,O,X,O,X
IJOSZTL,X,X,X,X,O,O,X,O,X
IJOSZLT,X,O,O,O,O,O,X,O,X
IJOZTLS,X,O,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,O,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X,X
IJOZLST,X,O,X,O,X,X,X,X,X
IJOZSTL,X,X,X,X,O,X,X,O,X
IJOZSLT,X,O,O,O,O,X,X,O,X
ISTLJZO,O,O,O,X,O,X,X,X,X
ISTLJOZ,O,O,O,X,O,O,X,X,X
ISTLZJO,O,O,O,X,O,O,X,X,X
ISTLZOJ,X,X,O,X,X,O,X,X,X
ISTLOJZ,X,X,O,X,O,O,X,X,X
ISTLOZJ,X,X,O,X,X,O,X,X,X
ISTJLZO,O,X,O,X,O,X,X,X,X
ISTJLOZ,O,X,O,X,O,O,X,X,X
ISTJZLO,O,X,X,X,O,X,X,X,X
ISTJZOL,O,X,X,X,O,X,X,X,X
ISTJOLZ,O,X,O,X,O,O,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X,X
ISTZLJO,O,O,O,X,O,O,X,X,X
ISTZLOJ,X,X,O,X,X,O,X,X,X
ISTZJLO,O,X,X,X,O,O,X,X,X
ISTZJOL,O,X,X,X,O,O,X,X,X
ISTZOLJ,O,X,O,X,X,O,X,X,X
ISTZOJL,O,X,X,X,O,O,X,X,X
ISTOLJZ,O,X,O,X,O,O,X,X,X
ISTOLZJ,O,X,O,X,X,O,X,X,X
ISTOJLZ,O,X,O,X,O,O,X,X,X
ISTOJZL,O,X,X,X,O,X,X,O,X
ISTOZLJ,O,X,O,X,X,O,X,X,X
ISTOZJL,O,X,X,X,O,O,X,O,X
ISLTJZO,O,O,O,X,O,X,X,X,X
ISLTJOZ,O,O,O,O,O,O,X,X,X
ISLTZJO,O,O,O,X,O,O,X,X,X
ISLTZOJ,X,X,O,X,X,O,X,X,X
ISLTOJZ,X,X,O,X,O,O,X,X,X
ISLTOZJ,X,X,O,X,X,O,X,X,X
ISLJTZO,X,O,O,X,O,X,X,X,X
ISLJTOZ,X,O,O,O,O,O,X,X,X
ISLJZTO,X,O,O,O,O,O,X,X,X
ISLJZOT,X,O,O,O,O,O,X,X,X
ISLJOTZ,X,O,O,O,O,O,X,X,X
ISLJOZT,X,O,O,O,O,O,X,X,X
ISLZTJO,O,O,O,O,O,O,X,X,X
ISLZTOJ,X,X,O,X,X,O,X,X,X
ISLZJTO,X,O,O,O,O,O,X,X,X
ISLZJOT,X,O,O,O,O,O,X,X,X
ISLZOTJ,X,X,O,X,X,O,X,X,X
ISLZOJT,X,O,O,O,X,O,X,X,X
ISLOTJZ,O,X,O,X,O,O,X,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X
ISLOJTZ,X,O,O,O,O,O,X,X,X
ISLOJZT,X,O,O,O,O,O,X,O,X
ISLOZTJ,O,X,O,X,X,O,X,X,X
ISLOZJT,X,O,O,O,X,O,X,O,X
ISJTLZO,O,X,O,X,O,X,X,X,X
ISJTLOZ,O,X,O,X,O,O,X,X,X
ISJTZLO,O,X,X,X,O,X,X,X,X
ISJTZOL,O,X,X,X,O,X,X,X,X
ISJTOLZ,O,X,O,X,O,O,X,X,X
ISJTOZL,O,X,X,X,O,X,X,X,X
ISJLTZO,X,O,O,X,O,X,X,X,X
ISJLTOZ,X,O,O,O,O,O,X,X,X
ISJLZTO,X,O,O,O,O,O,X,X,X
ISJLZOT,X,O,O,O,O,O,X,X,X
ISJLOTZ,X,O,O,O,O,O,X,X,X
ISJLOZT,X,O,O,O,O,O,X,X,X
ISJZTLO,O,X,X,X,O,O,X,X,X
ISJZTOL,O,X,X,X,O,O,X,X,X
ISJZLTO,X,O,O,O,O,O,X,X,X
ISJZLOT,X,O,O,O,O,O,X,X,X
ISJZOTL,X,X,X,X,O,O,X,O,X
ISJZOLT,X,O,O,O,O,O,X,O,X
ISJOTLZ,O,X,O,X,O,O,X,X,X
ISJOTZL,O,X,X,X,O,X,X,O,X
ISJOLTZ,X,O,O,O,O,O,X,X,X
ISJOLZT,X,O,O,O,O,O,X,O,X
ISJOZTL,O,X,X,X,O,O,X,O,X
ISJOZLT,X,O,O,O,O,O,X,O,X
ISZTLJO,O,O,O,X,O,O,X,X,X
ISZTLOJ,X,X,O,X,X,O,X,X,X
ISZTJLO,O,X,X,X,O,O,X,X,X
ISZTJOL,O,X,X,X,O,O,X,O,X
ISZTOLJ,O,X,O,X,X,O,X,X,X
ISZTOJL,O,X,X,X,O,O,X,O,X
ISZLTJO,O,O,O,O,O,O,X,X,X
ISZLTOJ,X,X,O,X,X,O,X,X,X
ISZLJTO,X,O,O,O,O,O,X,X,X
ISZLJOT,X,O,O,O,O,O,X,X,X
ISZLOTJ,X,X,O,X,X,O,X,X,X
ISZLOJT,X,O,O,O,X,O,X,X,X
ISZJTLO,O,X,X,X,O,O,X,X,X
ISZJTOL,O,X,X,X,O,O,X,X,X
ISZJLTO,X,O,O,O,O,O,X,X,X
ISZJLOT,X,O,O,O,O,O,X,X,X
ISZJOTL,X,X,X,X,O,O,X,O,X
ISZJOLT,X,O,O,O,O,O,X,O,X
ISZOTLJ,O,X,O,X,X,O,X,X,X
ISZOTJL,O,X,X,X,O,O,X,O,X
ISZOLTJ,O,X,O,X,X,O,X,X,X
ISZOLJT,X,O,O,O,X,O,X,O,X
ISZOJTL,O,X,X,X,O,O,X,O,X
ISZOJLT,X,O,O,O,O,O,X,O,X
ISOTLJZ,O,X,O,X,O,O,X,X,X
ISOTLZJ,O,X,O,X,X,O,X,X,X
ISOTJLZ,O,X,O,X,O,O,X,X,X
ISOTJZL,O,X,X,X,O,X,X,O,X
ISOTZLJ,O,X,O,X,X,O,X,X,X
ISOTZJL,O,X,X,X,O,O,X,O,X
ISOLTJZ,O,X,O,X,O,O,X,X,X
ISOLTZJ,O,X,O,X,X,O,X,X,X
ISOLJTZ,X,O,O,O,O,O,X,X,X
ISOLJZT,X,O,O,O,O,O,X,O,X
ISOLZTJ,O,X,O,X,X,O,X,X,X
ISOLZJT,X,O,O,O,X,O,X,O,X
ISOJTLZ,O,X,O,X,O,O,X,X,X
ISOJTZL,O,X,X,X,O,X,X,O,X
ISOJLTZ,X,O,O,O,O,O,X,X,X
ISOJLZT,X,O,O,O,O,O,X,O,X
ISOJZTL,O,X,X,X,O,O,X,O,X
ISOJZLT,X,O,O,O,O,O,X,O,X
ISOZTLJ,O,X,O,X,X,O,X,X,X
ISOZTJL,O,X,X,X,O,O,X,O,X
ISOZLTJ,O,X,O,X,X,O,X,X,X
ISOZLJT,X,O,O,O,X,O,X,O,X
ISOZJTL,O,X,X,X,O,O,X,O,X
ISOZJLT,X,O,O,O,O,O,X,O,X
IZTLJSO,X,O,O,X,X,X,X,X,O
IZTLJOS,X,O,X,X,X,X,O,X,O
IZTLSJO,X,O,O,X,X,X,X,X,O
IZTLSOJ,X,X,O,X,X,X,O,X,O
IZTLOJS,X,X,X,X,X,X,O,X,O
IZTLOSJ,X,X,X,X,X,X,O,X,O
IZTJLSO,X,O,X,X,X,X,X,X,O
IZTJLOS,X,O,X,X,X,X,O,X,O
IZTJSLO,O,X,X,X,O,X,X,X,X
IZTJSOL,O,X,X,X,O,X,X,O,X
IZTJOLS,X,O,X,X,X,X,O,X,X
IZTJOSL,O,X,X,X,O,X,X,O,X
IZTSLJO,O,O,O,X,O,X,X,X,O
IZTSLOJ,X,X,O,X,X,X,O,X,O
IZTSJLO,O,X,X,X,O,X,X,X,X
IZTSJOL,O,X,X,X,O,X,X,O,X
IZTSOLJ,O,X,O,X,X,X,O,X,X
IZTSOJL,O,X,X,X,O,X,X,O,X
IZTOLJS,X,X,X,X,X,X,O,X,O
IZTOLSJ,X,X,X,X,X,X,O,X,O
IZTOJLS,X,O,X,X,X,X,O,X,X
IZTOJSL,O,X,X,X,O,X,X,O,X
IZTOSLJ,O,X,O,X,X,X,O,X,X
IZTOSJL,O,X,X,X,O,X,X,O,X
IZLTJSO,X,O,O,X,X,X,X,X,O
IZLTJOS,X,O,X,X,X,X,O,X,O
IZLTSJO,X,O,O,X,X,X,X,X,O
IZLTSOJ,X,X,O,X,X,X,O,X,O
IZLTOJS,X,X,X,X,X,X,O,X,O
IZLTOSJ,X,X,X,X,X,X,O,X,O
IZLJTSO,X,O,O,X,X,X,X,X,O
IZLJTOS,X,O,X,X,X,X,X,X,O
IZLJSTO,X,O,O,O,X,X,X,X,X
IZLJSOT,X,O,O,O,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,X,X,X
IZLJOST,X,O,O,O,X,X,X,X,X
IZLSTJO,X,O,O,O,X,O,X,X,O
IZLSTOJ,X,X,O,X,X,O,X,X,O
IZLSJTO,X,O,O,O,X,O,X,X,X
IZLSJOT,X,O,O,O,X,O,X,X,X
IZLSOTJ,X,X,O,X,X,O,X,X,X
IZLSOJT,X,O,O,O,X,O,X,X,X
IZLOTJS,X,X,X,X,X,X,O,X,O
IZLOTSJ,X,X,X,X,X,X,O,X,O
IZLOJTS,X,O,X,X,X,X,X,X,X
IZLOJST,X,O,O,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,O,X,X,X
IZLOSJT,X,O,O,O,X,O,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X,O
IZJTLOS,X,O,X,X,X,X,X,X,O
IZJTSLO,X,X,X,X,O,X,X,X,X
IZJTSOL,X,X,X,X,O,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,X,X
IZJTOSL,X,X,X,X,O,X,X,X,X
IZJLTSO,X,O,O,X,X,X,X,X,O
IZJLTOS,X,O,X,X,X,X,X,X,O
IZJLSTO,X,O,O,O,X,X,X,X,X
IZJLSOT,X,O,O,O,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X
IZJLOST,X,O,O,O,X,X,X,X,X
IZJSTLO,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X
IZJSLTO,X,O,O,O,O,X,X,X,X
IZJSLOT,X,O,O,O,O,X,X,X,X
IZJSOTL,X,X,X,X,O,X,X,O,X
IZJSOLT,X,O,O,O,O,X,X,O,X
IZJOTLS,X,O,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X
IZJOLST,X,O,X,O,X,X,X,X,X
IZJOSTL,X,X,X,X,O,X,X,O,X
IZJOSLT,X,O,O,O,O,X,X,O,X
IZSTLJO,O,O,O,X,O,O,X,X,O
IZSTLOJ,X,X,O,X,X,O,X,X,O
IZSTJLO,O,X,X,X,O,O,X,X,X
IZSTJOL,O,X,X,X,O,O,X,O,X
IZSTOLJ,O,X,O,X,X,O,X,X,X
IZSTOJL,O,X,X,X,O,O,X,O,X
IZSLTJO,O,O,O,O,O,O,X,X,O
IZSLTOJ,X,X,O,X,X,O,X,X,O
IZSLJTO,X,O,O,O,O,O,X,X,X
IZSLJOT,X,O,O,O,O,O,X,X,X
IZSLOTJ,X,X,O,X,X,O,X,X,X
IZSLOJT,X,O,O,O,X,O,X,X,X
IZSJTLO,O,X,X,X,O,O,X,X,X
IZSJTOL,O,X,X,X,O,O,X,X,X
IZSJLTO,X,O,O,O,O,O,X,X,X
IZSJLOT,X,O,O,O,O,O,X,X,X
IZSJOTL,X,X,X,X,O,O,X,O,X
IZSJOLT,X,O,O,O,O,O,X,O,X
IZSOTLJ,O,X,O,X,X,O,X,X,X
IZSOTJL,O,X,X,X,O,O,X,O,X
IZSOLTJ,O,X,O,X,X,O,X,X,X
IZSOLJT,X,O,O,O,X,O,X,O,X
IZSOJTL,O,X,X,X,O,O,X,O,X
IZSOJLT,X,O,O,O,O,O,X,O,X
IZOTLJS,X,X,X,X,X,X,O,X,O
IZOTLSJ,X,X,X,X,X,X,O,X,O
IZOTJLS,X,O,X,X,X,X,O,X,X
IZOTJSL,O,X,X,X,O,X,X,O,X
IZOTSLJ,O,X,O,X,X,X,O,X,X
IZOTSJL,O,X,X,X,O,X,X,O,X
IZOLTJS,X,X,X,X,X,X,O,X,O
IZOLTSJ,X,X,X,X,X,X,O,X,O
IZOLJTS,X,O,X,X,X,X,X,X,X
IZOLJST,X,O,O,O,X,X,X,X,X
IZOLSTJ,X,X,O,X,X,O,X,X,X
IZOLSJT,X,O,O,O,X,O,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,X,X
IZOJSTL,X,X,X,X,O,X,X,O,X
IZOJSLT,X,O,O,O,O,X,X,O,X
IZOSTLJ,O,X,O,X,X,O,X,X,X
IZOSTJL,O,X,X,X,O,O,X,O,X
IZOSLTJ,O,X,O,X,X,O,X,X,X
IZOSLJT,X,O,O,O,X,O,X,O,X
IZOSJTL,O,X,X,X,O,O,X,O,X
IZOSJLT,X,O,O,O,O,O,X,O,X
IOTLJSZ,X,X,X,X,O,X,O,X,X
IOTLJZS,X,X,X,X,X,X,O,X,X
IOTLSJZ,X,X,X,X,O,O,O,X,X
IOTLSZJ,X,X,X,X,X,O,O,X,X
IOTLZJS,X,X,X,X,X,X,O,X,X
IOTLZSJ,X,X,X,X,X,X,O,X,X
IOTJLSZ,X,O,X,X,O,X,O,X,X
IOTJLZS,X,O,X,X,X,X,O,X,X
IOTJSLZ,O,X,X,X,O,X,X,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X
IOTJZLS,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,O,X,O,O,O,X,X
IOTSLZJ,O,X,O,X,X,O,O,X,X
IOTSJLZ,O,X,O,X,O,O,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X,X
IOTSZLJ,O,X,O,X,X,O,X,X,X
IOTSZJL,O,X,X,X,O,O,X,X,X
IOTZLJS,X,X,X,X,X,X,O,X,X
IOTZLSJ,X,X,X,X,X,X,O,X,X
IOTZJLS,X,O,X,X,X,X,O,X,X
IOTZJSL,O,X,X,X,O,X,X,X,X
IOTZSLJ,O,X,O,X,X,X,O,X,X
IOTZSJL,O,X,X,X,O,X,X,X,X
IOLTJSZ,X,X,X,X,O,X,O,X,X
IOLTJZS,X,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,X,X,O,O,O,X,X
IOLTSZJ,X,X,X,X,X,O,O,X,X
IOLTZJS,X,X,X,X,X,X,O,X,X
IOLTZSJ,X,X,X,X,X,X,O,X,X
IOLJTSZ,X,O,X,X,O,X,X,X,X
IOLJTZS,X,O,X,X,X,X,X,X,X
IOLJSTZ,X,O,O,O,O,O,X,X,X
IOLJSZT,X,O,O,O,O,O,X,X,X
IOLJZTS,X,O,X,X,X,X,X,X,X
IOLJZST,X,O,O,O,X,X,X,X,X
IOLSTJZ,X,X,O,X,O,O,X,X,X
IOLSTZJ,X,X,O,X,X,O,X,X,X
IOLSJTZ,X,O,O,O,O,O,X,X,X
IOLSJZT,X,O,O,O,O,O,X,X,X
IOLSZTJ,X,X,O,X,X,O,X,X,X
IOLSZJT,X,O,O,O,X,O,X,X,X
IOLZTJS,X,X,X,X,X,X,O,X,X
IOLZTSJ,X,X,X,X,X,X,O,X,X
IOLZJTS,X,O,X,X,X,X,X,X,X
IOLZJST,X,O,O,O,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,O,X,X,X
IOLZSJT,X,O,O,O,X,O,X,X,X
IOJTLSZ,X,O,X,X,O,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,X,X
IOJLTSZ,X,O,X,X,O,X,X,X,X
IOJLTZS,X,O,X,X,X,X,X,X,X
IOJLSTZ,X,O,X,O,O,O,X,X,X
IOJLSZT,X,O,X,O,O,O,X,X,X
IOJLZTS,X,O,X,X,X,X,X,X,X
IOJLZST,X,O,X,O,X,X,X,X,X
IOJSTLZ,X,X,O,X,O,O,X,X,X
IOJSTZL,X,X,X,X,O,X,X,O,X
IOJSLTZ,X,O,O,O,O,O,X,X,X
IOJSLZT,X,O,O,O,O,O,X,O,X
IOJSZTL,X,X,X,X,O,O,X,O,X
IOJSZLT,X,O,O,O,O,O,X,O,X
IOJZTLS,X,O,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X,X
IOJZSTL,X,X,X,X,O,X,X,O,X
IOJZSLT,X,O,O,O,O,X,X,O,X
IOSTLJZ,O,X,O,X,O,O,X,X,X
IOSTLZJ,O,X,O,X,X,O,X,X,X
IOSTJLZ,O,X,O,X,O,O,X,X,X
IOSTJZL,O,X,X,X,O,X,X,O,X
IOSTZLJ,O,X,O,X,X,O,X,X,X
IOSTZJL,O,X,X,X,O,O,X,O,X
IOSLTJZ,O,X,O,X,O,O,X,X,X
IOSLTZJ,O,X,O,X,X,O,X,X,X
IOSLJTZ,X,O,O,O,O,O,X,X,X
IOSLJZT,X,O,O,O,O,O,X,O,X
IOSLZTJ,O,X,O,X,X,O,X,X,X
IOSLZJT,X,O,O,O,X,O,X,O,X
IOSJTLZ,O,X,O,X,O,O,X,X,X
IOSJTZL,O,X,X,X,O,X,X,O,X
IOSJLTZ,X,O,O,O,O,O,X,X,X
IOSJLZT,X,O,O,O,O,O,X,O,X
IOSJZTL,O,X,X,X,O,O,X,O,X
IOSJZLT,X,O,O,O,O,O,X,O,X
IOSZTLJ,O,X,O,X,X,O,X,X,X
IOSZTJL,O,X,X,X,O,O,X,O,X
IOSZLTJ,O,X,O,X,X,O,X,X,X
IOSZLJT,X,O,O,O,X,O,X,O,X
IOSZJTL,O,X,X,X,O,O,X,O,X
IOSZJLT,X,O,O,O,O,O,X,O,X
IOZTLJS,X,X,X,X,X,X,O,X,X
IOZTLSJ,X,X,X,X,X,X,O,X,X
IOZTJLS,X,O,X,X,X,X,O,X,X
IOZTJSL,O,X,X,X,O,X,X,O,X
IOZTSLJ,O,X,O,X,X,X,O,X,X
IOZTSJL,O,X,X,X,O,X,X,O,X
IOZLTJS,X,X,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,X,O,X,X
IOZLJTS,X,O,X,X,X,X,X,X,X
IOZLJST,X,O,O,O,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,O,X,X,X
IOZLSJT,X,O,O,O,X,O,X,X,X
IOZJTLS,X,O,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X,X
IOZJSTL,X,X,X,X,O,X,X,O,X
IOZJSLT,X,O,O,O,O,X,X,O,X
IOZSTLJ,O,X,O,X,X,O,X,X,X
IOZSTJL,O,X,X,X,O,O,X,O,X
IOZSLTJ,O,X,O,X,X,O,X,X,X
IOZSLJT,X,O,O,O,X,O,X,O,X
IOZSJTL,O,X,X,X,O,O,X,O,X
IOZSJLT,X,O,O,O,O,O,X,O,X
LTIJSZO,X,O,O,X,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X,X
LTIJZSO,X,O,O,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,O,X,X
LTIJOZS,X,O,X,X,X,X,O,X,X
LTISJZO,X,O,O,X,X,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X,X,X
LTISZJO,X,O,O,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,O,X,X,X,O,X,X
LTISOZJ,X,X,O,X,X,X,O,X,X
LTIZJSO,X,O,O,X,X,X,X,X,O
LTIZJOS,X,O,X,X,X,X,O,X,O
LTIZSJO,X,O,O,X,X,X,X,X,O
LTIZSOJ,X,X,O,X,X,X,O,X,O
LTIZOJS,X,X,X,X,X,X,O,X,O
LTIZOSJ,X,X,X,X,X,X,O,X,O
LTIOJSZ,X,X,X,X,X,X,O,X,X
LTIOJZS,X,X,X,X,X,X,O,X,X
LTIOSJZ,X,X,X,X,X,X,O,X,X
LTIOSZJ,X,X,X,X,X,X,O,X,X
LTIOZJS,X,X,X,X,X,X,O,X,X
LTIOZSJ,X,X,X,X,X,X,O,X,X
LTJISZO,X,O,O,X,X,X,X,X,X
LTJISOZ,X,O,O,X,X,X,X,X,X
LTJIZSO,X,O,O,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,O,X,X
LTJIOZS,X,O,X,X,X,X,O,X,X
LTJSIZO,O,O,O,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,X,X,X,X
LTJSOZI,X,O,O,O,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,O
LTJZIOS,X,X,X,X,X,X,O,X,O
LTJZSIO,O,X,X,O,X,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,O,X,X
LTJZOSI,O,O,X,O,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,O,X,X
LTJOIZS,X,O,X,X,X,X,O,X,X
LTJOSIZ,O,O,X,O,X,X,X,X,X
LTJOSZI,X,O,X,O,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X
LTJOZSI,X,O,X,O,X,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,X,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X,X,X
LTSIZOJ,X,X,O,X,X,X,X,X,X
LTSIOJZ,X,X,O,X,X,X,O,X,X
LTSIOZJ,X,X,O,X,X,X,O,X,X
LTSJIZO,O,O,O,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,X,X,X,X,X
LTSJZIO,O,X,X,O,X,X,X,X,X
LTSJZOI,O,O,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,O,X,X,X,X,X
LTSJOZI,X,O,O,O,X,X,X,X,X
LTSZIJO,O,X,X,O,X,X,X,X,O
LTSZIOJ,X,X,X,X,X,X,O,X,O
LTSZJIO,O,X,X,O,X,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,O,X,X
LTSZOJI,O,X,O,O,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,O,X,X
LTSOIZJ,O,X,O,X,X,X,O,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X
LTSOJZI,X,X,O,O,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,X,O,X,X
LTSOZJI,O,X,O,O,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,X,O
LTZIJOS,X,X,X,X,X,X,O,X,O
LTZISJO,X,X,X,X,X,X,X,X,O
LTZISOJ,X,X,X,X,X,X,O,X,O
LTZIOJS,X,X,X,X,X,X,O,X,O
LTZIOSJ,X,X,X,X,X,X,O,X,O
LTZJISO,X,X,X,X,X,X,X,X,O
LTZJIOS,X,X,X,X,X,X,O,X,O
LTZJSIO,O,X,X,O,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,O,X,X
LTZJOSI,O,O,X,O,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,X,X,O
LTZSIOJ,X,X,X,X,X,X,O,X,O
LTZSJIO,O,X,X,O,X,X,X,X,X
LTZSJOI,O,O,O,O,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,O,X,X
LTZSOJI,O,X,O,O,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,O,X,O
LTZOISJ,X,X,X,X,X,X,O,X,O
LTZOJIS,X,X,X,X,X,X,O,X,X
LTZOJSI,O,X,X,O,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,O,X,X
LTZOSJI,O,X,X,O,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,O,X,X
LTOIJZS,X,X,X,X,X,X,O,X,X
LTOISJZ,X,X,X,X,X,X,O,X,X
LTOISZJ,X,X,X,X,X,X,O,X,X
