sequence,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFCgBmhBFjBX?lBUsBTrB
SITLJOZ,O,O,O,O,X
SITLZJO,O,X,O,O,O
SITLZOJ,O,X,O,O,O
SITLOJZ,O,O,O,O,X
SITLOZJ,O,X,O,O,O
SITJLZO,O,O,O,X,O
SITJLOZ,O,O,O,O,X
SITJZLO,O,O,O,X,O
SITJZOL,X,X,X,X,O
SITJOLZ,O,X,O,X,X
SITJOZL,O,X,X,X,X
SITZLJO,O,O,O,O,O
SITZLOJ,O,O,O,O,O
SITZJLO,O,O,O,O,O
SITZJOL,X,X,X,X,O
SITZOLJ,O,O,X,X,O
SITZOJL,O,O,X,X,O
SITOLJZ,O,O,O,X,X
SITOLZJ,O,X,O,X,O
SITOJLZ,O,O,O,X,X
SITOJZL,O,O,X,X,X
SITOZLJ,O,O,X,X,O
SITOZJL,O,O,X,X,O
SILTJZO,O,O,O,X,O
SILTJOZ,O,O,O,O,X
SILTZJO,O,X,O,O,O
SILTZOJ,O,X,O,O,O
SILTOJZ,O,O,O,O,X
SILTOZJ,O,X,O,O,O
SILJTZO,O,O,O,X,O
SILJTOZ,O,O,O,O,X
SILJZTO,O,X,O,X,O
SILJZOT,X,X,O,X,O
SILJOTZ,O,X,O,O,X
SILJOZT,O,X,O,X,X
SILZTJO,O,X,O,O,O
SILZTOJ,O,X,O,O,O
SILZJTO,O,X,O,O,O
SILZJOT,X,X,O,O,O
SILZOTJ,O,X,O,O,O
SILZOJT,O,X,O,O,O
SILOTJZ,O,O,O,O,X
SILOTZJ,O,X,O,O,O
SILOJTZ,O,O,O,O,X
SILOJZT,O,X,O,X,X
SILOZTJ,O,X,O,O,O
SILOZJT,O,X,O,O,O
SIJTLZO,O,O,O,X,O
SIJTLOZ,O,O,O,O,X
SIJTZLO,O,O,O,X,O
SIJTZOL,X,X,X,X,O
SIJTOLZ,O,X,O,X,X
SIJTOZL,O,X,X,X,X
SIJLTZO,O,O,O,X,O
SIJLTOZ,O,O,O,O,X
SIJLZTO,O,X,O,X,O
SIJLZOT,X,X,O,X,O
SIJLOTZ,O,X,O,O,X
SIJLOZT,O,X,O,X,X
SIJZTLO,O,O,O,X,O
SIJZTOL,X,X,X,X,O
SIJZLTO,O,O,O,X,O
SIJZLOT,X,X,O,X,O
SIJZOTL,X,X,X,X,O
SIJZOLT,X,X,X,X,O
SIJOTLZ,O,X,O,X,X
SIJOTZL,O,X,X,X,X
SIJOLTZ,O,X,O,X,X
SIJOLZT,O,X,O,X,X
SIJOZTL,O,X,X,X,X
SIJOZLT,O,X,X,X,X
SIZTLJO,O,O,O,O,O
SIZTLOJ,O,O,O,O,O
SIZTJLO,O,O,O,O,O
SIZTJOL,X,X,X,X,O
SIZTOLJ,O,O,X,X,O
SIZTOJL,O,O,X,X,O
SIZLTJO,O,O,O,O,O
SIZLTOJ,O,O,O,O,O
SIZLJTO,O,O,O,O,O
SIZLJOT,X,X,O,O,O
SIZLOTJ,O,O,O,O,O
SIZLOJT,O,O,O,O,O
SIZJTLO,O,O,O,O,O
SIZJTOL,X,X,X,X,O
SIZJLTO,O,O,O,O,O
SIZJLOT,X,X,O,O,O
SIZJOTL,X,X,X,X,O
SIZJOLT,X,X,X,X,O
SIZOTLJ,O,O,X,X,O
SIZOTJL,O,O,X,X,O
SIZOLTJ,O,O,X,X,O
SIZOLJT,O,O,X,X,O
SIZOJTL,O,O,X,X,O
SIZOJLT,O,O,X,X,O
SIOTLJZ,O,O,O,X,X
SIOTLZJ,O,X,O,X,O
SIOTJLZ,O,O,O,X,X
SIOTJZL,O,O,X,X,X
SIOTZLJ,O,O,X,X,O
SIOTZJL,O,O,X,X,O
SIOLTJZ,O,O,O,X,X
SIOLTZJ,O,X,O,X,O
SIOLJTZ,O,O,O,X,X
SIOLJZT,O,X,O,X,X
SIOLZTJ,O,X,O,X,O
SIOLZJT,O,X,O,X,O
SIOJTLZ,O,O,O,X,X
SIOJTZL,O,O,X,X,X
SIOJLTZ,O,O,O,X,X
SIOJLZT,O,X,O,X,X
SIOJZTL,O,O,X,X,X
SIOJZLT,O,O,X,X,X
SIOZTLJ,O,O,X,X,O
SIOZTJL,O,O,X,X,O
SIOZLTJ,O,O,X,X,O
SIOZLJT,O,O,X,X,O
SIOZJTL,O,O,X,X,O
SIOZJLT,O,O,X,X,O
SLTIJZO,O,O,O,X,O
SLTIJOZ,O,O,O,O,X
SLTIZJO,O,X,O,O,O
SLTIZOJ,O,X,O,O,O
SLTIOJZ,O,O,O,O,X
SLTIOZJ,O,X,O,O,O
SLTJIZO,O,O,O,X,O
SLTJIOZ,O,O,O,O,X
SLTJZIO,O,X,O,X,O
SLTJZOI,X,X,O,X,O
SLTJOIZ,O,X,O,O,X
SLTJOZI,O,X,O,X,X
SLTZIJO,O,X,O,O,O
SLTZIOJ,O,X,O,O,O
SLTZJIO,O,X,O,O,O
SLTZJOI,X,X,O,O,O
SLTZOIJ,O,X,O,O,O
SLTZOJI,O,X,O,O,O
SLTOIJZ,O,O,O,O,X
SLTOIZJ,O,X,O,O,O
SLTOJIZ,O,O,O,O,X
SLTOJZI,O,X,O,X,X
SLTOZIJ,O,X,O,O,O
SLTOZJI,O,X,O,O,O
SLITJZO,O,O,O,X,O
SLITJOZ,O,O,O,O,X
SLITZJO,O,X,O,O,O
SLITZOJ,O,X,O,O,O
SLITOJZ,O,O,O,O,X
SLITOZJ,O,X,O,O,O
SLIJTZO,O,O,O,X,O
SLIJTOZ,O,O,O,O,X
SLIJZTO,O,X,O,X,O
SLIJZOT,X,X,O,X,O
SLIJOTZ,O,X,O,O,X
SLIJOZT,O,X,O,X,X
SLIZTJO,O,X,O,O,O
SLIZTOJ,O,X,O,O,O
SLIZJTO,O,X,O,O,O
SLIZJOT,X,X,O,O,O
SLIZOTJ,O,X,O,O,O
SLIZOJT,O,X,O,O,O
SLIOTJZ,O,O,O,O,X
SLIOTZJ,O,X,O,O,O
SLIOJTZ,O,O,O,O,X
SLIOJZT,O,X,O,X,X
SLIOZTJ,O,X,O,O,O
SLIOZJT,O,X,O,O,O
SLJTIZO,O,O,O,X,O
SLJTIOZ,O,O,O,O,X
SLJTZIO,O,X,O,X,O
SLJTZOI,X,X,O,X,O
SLJTOIZ,O,X,O,O,X
SLJTOZI,O,X,O,X,X
SLJITZO,O,O,O,X,O
SLJITOZ,O,O,O,O,X
SLJIZTO,O,X,O,X,O
SLJIZOT,X,X,O,X,O
SLJIOTZ,O,X,O,O,X
SLJIOZT,O,X,O,X,X
SLJZTIO,O,X,O,X,O
SLJZTOI,X,X,O,X,O
SLJZITO,O,X,O,X,O
SLJZIOT,X,X,O,X,O
SLJZOTI,X,X,O,X,O
SLJZOIT,X,X,O,X,O
SLJOTIZ,O,X,O,O,X
SLJOTZI,O,X,O,X,X
SLJOITZ,O,X,O,O,X
SLJOIZT,O,X,O,X,X
SLJOZTI,O,X,O,X,X
SLJOZIT,O,X,O,X,X
SLZTIJO,O,X,O,O,O
SLZTIOJ,O,X,O,O,O
SLZTJIO,O,X,O,O,O
SLZTJOI,X,X,O,O,O
SLZTOIJ,O,X,O,O,O
SLZTOJI,O,X,O,O,O
SLZITJO,O,X,O,O,O
SLZITOJ,O,X,O,O,O
SLZIJTO,O,X,O,O,O
SLZIJOT,X,X,O,O,O
SLZIOTJ,O,X,O,O,O
SLZIOJT,O,X,O,O,O
SLZJTIO,O,X,O,O,O
SLZJTOI,X,X,O,O,O
SLZJITO,O,X,O,O,O
SLZJIOT,X,X,O,O,O
SLZJOTI,X,X,O,O,O
SLZJOIT,X,X,O,O,O
SLZOTIJ,O,X,O,O,O
SLZOTJI,O,X,O,O,O
SLZOITJ,O,X,O,O,O
SLZOIJT,O,X,O,O,O
SLZOJTI,O,X,O,O,O
SLZOJIT,O,X,O,O,O
SLOTIJZ,O,O,O,O,X
SLOTIZJ,O,X,O,O,O
SLOTJIZ,O,O,O,O,X
SLOTJZI,O,X,O,X,X
SLOTZIJ,O,X,O,O,O
SLOTZJI,O,X,O,O,O
SLOITJZ,O,O,O,O,X
SLOITZJ,O,X,O,O,O
SLOIJTZ,O,O,O,O,X
SLOIJZT,O,X,O,X,X
SLOIZTJ,O,X,O,O,O
SLOIZJT,O,X,O,O,O
SLOJTIZ,O,O,O,O,X
SLOJTZI,O,X,O,X,X
SLOJITZ,O,O,O,O,X
SLOJIZT,O,X,O,X,X
SLOJZTI,O,X,O,X,X
SLOJZIT,O,X,O,X,X
SLOZTIJ,O,X,O,O,O
SLOZTJI,O,X,O,O,O
SLOZITJ,O,X,O,O,O
SLOZIJT,O,X,O,O,O
SLOZJTI,O,X,O,O,O
SLOZJIT,O,X,O,O,O
SJTILZO,O,O,O,X,O
SJTILOZ,O,O,O,O,X
SJTIZLO,O,O,O,X,O
SJTIZOL,X,X,X,X,O
SJTIOLZ,O,X,O,X,X
SJTIOZL,O,X,X,X,X
SJTLIZO,O,O,O,X,O
SJTLIOZ,O,O,O,O,X
SJTLZIO,O,X,O,X,O
SJTLZOI,X,X,O,X,O
SJTLOIZ,O,X,O,O,X
SJTLOZI,O,X,O,X,X
SJTZILO,O,O,O,X,O
SJTZIOL,X,X,X,X,O
SJTZLIO,O,O,O,X,O
SJTZLOI,X,X,O,X,O
SJTZOIL,X,X,X,X,O
SJTZOLI,X,X,O,X,O
SJTOILZ,O,X,O,X,X
SJTOIZL,O,X,X,X,X
SJTOLIZ,O,X,O,O,X
SJTOLZI,O,X,O,X,X
SJTOZIL,O,X,X,X,X
SJTOZLI,O,X,O,X,X
SJITLZO,O,O,O,X,O
SJITLOZ,O,O,O,O,X
SJITZLO,O,O,O,X,O
SJITZOL,X,X,X,X,O
SJITOLZ,O,X,O,X,X
SJITOZL,O,X,X,X,X
SJILTZO,O,O,O,X,O
SJILTOZ,O,O,O,O,X
SJILZTO,O,X,O,X,O
SJILZOT,X,X,O,X,O
SJILOTZ,O,X,O,O,X
SJILOZT,O,X,O,X,X
SJIZTLO,O,O,O,X,O
SJIZTOL,X,X,X,X,O
SJIZLTO,O,O,O,X,O
SJIZLOT,X,X,O,X,O
SJIZOTL,X,X,X,X,O
SJIZOLT,X,X,X,X,O
SJIOTLZ,O,X,O,X,X
SJIOTZL,O,X,X,X,X
SJIOLTZ,O,X,O,X,X
SJIOLZT,O,X,O,X,X
SJIOZTL,O,X,X,X,X
SJIOZLT,O,X,X,X,X
SJLTIZO,O,O,O,X,O
SJLTIOZ,O,O,O,O,X
SJLTZIO,O,X,O,X,O
SJLTZOI,X,X,O,X,O
SJLTOIZ,O,X,O,O,X
SJLTOZI,O,X,O,X,X
SJLITZO,O,O,O,X,O
SJLITOZ,O,O,O,O,X
SJLIZTO,O,X,O,X,O
SJLIZOT,X,X,O,X,O
SJLIOTZ,O,X,O,O,X
SJLIOZT,O,X,O,X,X
SJLZTIO,O,X,O,X,O
SJLZTOI,X,X,O,X,O
SJLZITO,O,X,O,X,O
SJLZIOT,X,X,O,X,O
SJLZOTI,X,X,O,X,O
SJLZOIT,X,X,O,X,O
SJLOTIZ,O,X,O,O,X
SJLOTZI,O,X,O,X,X
SJLOITZ,O,X,O,O,X
SJLOIZT,O,X,O,X,X
SJLOZTI,O,X,O,X,X
SJLOZIT,O,X,O,X,X
SJZTILO,O,O,O,X,O
SJZTIOL,X,X,X,X,O
SJZTLIO,O,O,O,X,O
SJZTLOI,X,X,O,X,O
SJZTOIL,X,X,X,X,O
SJZTOLI,X,X,O,X,O
SJZITLO,O,O,O,X,O
SJZITOL,X,X,X,X,O
SJZILTO,O,O,O,X,O
SJZILOT,X,X,O,X,O
SJZIOTL,X,X,X,X,O
SJZIOLT,X,X,X,X,O
SJZLTIO,O,O,O,X,O
SJZLTOI,X,X,O,X,O
SJZLITO,O,O,O,X,O
SJZLIOT,X,X,O,X,O
SJZLOTI,X,X,O,X,O
SJZLOIT,X,X,O,X,O
SJZOTIL,X,X,X,X,O
SJZOTLI,X,X,O,X,O
SJZOITL,X,X,X,X,O
SJZOILT,X,X,X,X,O
SJZOLTI,X,X,O,X,O
SJZOLIT,X,X,O,X,O
SJOTILZ,O,X,O,X,X
SJOTIZL,O,X,X,X,X
SJOTLIZ,O,X,O,O,X
SJOTLZI,O,X,O,X,X
SJOTZIL,O,X,X,X,X
SJOTZLI,O,X,O,X,X
SJOITLZ,O,X,O,X,X
SJOITZL,O,X,X,X,X
SJOILTZ,O,X,O,X,X
SJOILZT,O,X,O,X,X
SJOIZTL,O,X,X,X,X
SJOIZLT,O,X,X,X,X
SJOLTIZ,O,X,O,O,X
SJOLTZI,O,X,O,X,X
SJOLITZ,O,X,O,O,X
SJOLIZT,O,X,O,X,X
SJOLZTI,O,X,O,X,X
SJOLZIT,O,X,O,X,X
SJOZTIL,O,X,X,X,X
SJOZTLI,O,X,O,X,X
SJOZITL,O,X,X,X,X
SJOZILT,O,X,X,X,X
SJOZLTI,O,X,O,X,X
SJOZLIT,O,X,O,X,X
SZTILJO,O,O,O,O,O
SZTILOJ,O,O,O,O,O
SZTIJLO,O,O,O,O,O
SZTIJOL,X,X,X,X,O
SZTIOLJ,O,O,X,X,O
SZTIOJL,O,O,X,X,O
SZTLIJO,O,O,O,O,O
SZTLIOJ,O,O,O,O,O
SZTLJIO,O,O,O,O,O
SZTLJOI,X,X,O,O,O
SZTLOIJ,O,O,O,O,O
SZTLOJI,O,O,O,O,O
SZTJILO,O,O,O,O,O
SZTJIOL,X,X,X,X,O
SZTJLIO,O,O,O,O,O
SZTJLOI,X,X,O,O,O
SZTJOIL,X,X,X,X,O
SZTJOLI,X,X,O,O,O
SZTOILJ,O,O,X,X,O
SZTOIJL,O,O,X,X,O
SZTOLIJ,O,O,O,O,O
SZTOLJI,O,O,O,O,O
SZTOJIL,O,O,X,X,O
SZTOJLI,O,O,O,O,O
SZITLJO,O,O,O,O,O
SZITLOJ,O,O,O,O,O
SZITJLO,O,O,O,O,O
SZITJOL,X,X,X,X,O
SZITOLJ,O,O,X,X,O
SZITOJL,O,O,X,X,O
SZILTJO,O,O,O,O,O
SZILTOJ,O,O,O,O,O
SZILJTO,O,O,O,O,O
SZILJOT,X,X,O,O,O
SZILOTJ,O,O,O,O,O
SZILOJT,O,O,O,O,O
SZIJTLO,O,O,O,O,O
SZIJTOL,X,X,X,X,O
SZIJLTO,O,O,O,O,O
SZIJLOT,X,X,O,O,O
SZIJOTL,X,X,X,X,O
SZIJOLT,X,X,X,X,O
SZIOTLJ,O,O,X,X,O
SZIOTJL,O,O,X,X,O
SZIOLTJ,O,O,X,X,O
SZIOLJT,O,O,X,X,O
SZIOJTL,O,O,X,X,O
SZIOJLT,O,O,X,X,O
SZLTIJO,O,O,O,O,O
SZLTIOJ,O,O,O,O,O
SZLTJIO,O,O,O,O,O
SZLTJOI,X,X,O,O,O
SZLTOIJ,O,O,O,O,O
SZLTOJI,O,O,O,O,O
SZLITJO,O,O,O,O,O
SZLITOJ,O,O,O,O,O
SZLIJTO,O,O,O,O,O
SZLIJOT,X,X,O,O,O
SZLIOTJ,O,O,O,O,O
SZLIOJT,O,O,O,O,O
SZLJTIO,O,O,O,O,O
SZLJTOI,X,X,O,O,O
SZLJITO,O,O,O,O,O
SZLJIOT,X,X,O,O,O
SZLJOTI,X,X,O,O,O
SZLJOIT,X,X,O,O,O
SZLOTIJ,O,O,O,O,O
SZLOTJI,O,O,O,O,O
SZLOITJ,O,O,O,O,O
SZLOIJT,O,O,O,O,O
SZLOJTI,O,O,O,O,O
SZLOJIT,O,O,O,O,O
SZJTILO,O,O,O,O,O
SZJTIOL,X,X,X,X,O
SZJTLIO,O,O,O,O,O
SZJTLOI,X,X,O,O,O
SZJTOIL,X,X,X,X,O
SZJTOLI,X,X,O,O,O
SZJITLO,O,O,O,O,O
SZJITOL,X,X,X,X,O
SZJILTO,O,O,O,O,O
SZJILOT,X,X,O,O,O
SZJIOTL,X,X,X,X,O
SZJIOLT,X,X,X,X,O
SZJLTIO,O,O,O,O,O
SZJLTOI,X,X,O,O,O
SZJLITO,O,O,O,O,O
SZJLIOT,X,X,O,O,O
SZJLOTI,X,X,O,O,O
SZJLOIT,X,X,O,O,O
SZJOTIL,X,X,X,X,O
SZJOTLI,X,X,O,O,O
SZJOITL,X,X,X,X,O
SZJOILT,X,X,X,X,O
SZJOLTI,X,X,O,O,O
SZJOLIT,X,X,O,O,O
SZOTILJ,O,O,X,X,O
SZOTIJL,O,O,X,X,O
SZOTLIJ,O,O,O,O,O
SZOTLJI,O,O,O,O,O
SZOTJIL,O,O,X,X,O
SZOTJLI,O,O,O,O,O
SZOITLJ,O,O,X,X,O
SZOITJL,O,O,X,X,O
SZOILTJ,O,O,X,X,O
SZOILJT,O,O,X,X,O
SZOIJTL,O,O,X,X,O
SZOIJLT,O,O,X,X,O
SZOLTIJ,O,O,O,O,O
SZOLTJI,O,O,O,O,O
SZOLITJ,O,O,O,O,O
SZOLIJT,O,O,O,O,O
SZOLJTI,O,O,O,O,O
SZOLJIT,O,O,O,O,O
SZOJTIL,O,O,X,X,O
SZOJTLI,O,O,O,O,O
SZOJITL,O,O,X,X,O
SZOJILT,O,O,X,X,O
SZOJLTI,O,O,O,O,O
SZOJLIT,O,O,O,O,O
SOTILJZ,O,O,O,X,X
SOTILZJ,O,X,O,X,O
SOTIJLZ,O,O,O,X,X
SOTIJZL,O,O,X,X,X
SOTIZLJ,O,O,X,X,O
SOTIZJL,O,O,X,X,O
SOTLIJZ,O,O,O,O,X
SOTLIZJ,O,X,O,O,O
SOTLJIZ,O,O,O,O,X
SOTLJZI,O,X,O,X,X
SOTLZIJ,O,X,O,O,O
SOTLZJI,O,X,O,O,O
SOTJILZ,O,O,O,X,X
SOTJIZL,O,O,X,X,X
SOTJLIZ,O,O,O,O,X
SOTJLZI,O,X,O,X,X
SOTJZIL,O,O,X,X,X
SOTJZLI,O,O,O,X,X
SOTZILJ,O,O,X,X,O
SOTZIJL,O,O,X,X,O
SOTZLIJ,O,O,O,O,O
SOTZLJI,O,O,O,O,O
SOTZJIL,O,O,X,X,O
SOTZJLI,O,O,O,O,O
SOITLJZ,O,O,O,X,X
SOITLZJ,O,X,O,X,O
SOITJLZ,O,O,O,X,X
SOITJZL,O,O,X,X,X
SOITZLJ,O,O,X,X,O
SOITZJL,O,O,X,X,O
SOILTJZ,O,O,O,X,X
SOILTZJ,O,X,O,X,O
SOILJTZ,O,O,O,X,X
SOILJZT,O,X,O,X,X
SOILZTJ,O,X,O,X,O
SOILZJT,O,X,O,X,O
SOIJTLZ,O,O,O,X,X
SOIJTZL,O,O,X,X,X
SOIJLTZ,O,O,O,X,X
SOIJLZT,O,X,O,X,X
SOIJZTL,O,O,X,X,X
SOIJZLT,O,O,X,X,X
SOIZTLJ,O,O,X,X,O
SOIZTJL,O,O,X,X,O
SOIZLTJ,O,O,X,X,O
SOIZLJT,O,O,X,X,O
SOIZJTL,O,O,X,X,O
SOIZJLT,O,O,X,X,O
SOLTIJZ,O,O,O,O,X
SOLTIZJ,O,X,O,O,O
SOLTJIZ,O,O,O,O,X
SOLTJZI,O,X,O,X,X
SOLTZIJ,O,X,O,O,O
SOLTZJI,O,X,O,O,O
SOLITJZ,O,O,O,O,X
SOLITZJ,O,X,O,O,O
SOLIJTZ,O,O,O,O,X
SOLIJZT,O,X,O,X,X
SOLIZTJ,O,X,O,O,O
SOLIZJT,O,X,O,O,O
SOLJTIZ,O,O,O,O,X
SOLJTZI,O,X,O,X,X
SOLJITZ,O,O,O,O,X
SOLJIZT,O,X,O,X,X
SOLJZTI,O,X,O,X,X
SOLJZIT,O,X,O,X,X
SOLZTIJ,O,X,O,O,O
SOLZTJI,O,X,O,O,O
SOLZITJ,O,X,O,O,O
SOLZIJT,O,X,O,O,O
SOLZJTI,O,X,O,O,O
SOLZJIT,O,X,O,O,O
SOJTILZ,O,O,O,X,X
SOJTIZL,O,O,X,X,X
SOJTLIZ,O,O,O,O,X
SOJTLZI,O,X,O,X,X
SOJTZIL,O,O,X,X,X
SOJTZLI,O,O,O,X,X
SOJITLZ,O,O,O,X,X
SOJITZL,O,O,X,X,X
SOJILTZ,O,O,O,X,X
SOJILZT,O,X,O,X,X
SOJIZTL,O,O,X,X,X
SOJIZLT,O,O,X,X,X
SOJLTIZ,O,O,O,O,X
SOJLTZI,O,X,O,X,X
SOJLITZ,O,O,O,O,X
SOJLIZT,O,X,O,X,X
SOJLZTI,O,X,O,X,X
SOJLZIT,O,X,O,X,X
SOJZTIL,O,O,X,X,X
SOJZTLI,O,O,O,X,X
SOJZITL,O,O,X,X,X
SOJZILT,O,O,X,X,X
SOJZLTI,O,O,O,X,X
SOJZLIT,O,O,O,X,X
SOZTILJ,O,O,X,X,O
SOZTIJL,O,O,X,X,O
SOZTLIJ,O,O,O,O,O
SOZTLJI,O,O,O,O,O
SOZTJIL,O,O,X,X,O
SOZTJLI,O,O,O,O,O
SOZITLJ,O,O,X,X,O
SOZITJL,O,O,X,X,O
SOZILTJ,O,O,X,X,O
SOZILJT,O,O,X,X,O
SOZIJTL,O,O,X,X,O
SOZIJLT,O,O,X,X,O
SOZLTIJ,O,O,O,O,O
SOZLTJI,O,O,O,O,O
SOZLITJ,O,O,O,O,O
SOZLIJT,O,O,O,O,O
SOZLJTI,O,O,O,O,O
SOZLJIT,O,O,O,O,O
SOZJTIL,O,O,X,X,O
SOZJTLI,O,O,O,O,O
SOZJITL,O,O,X,X,O
SOZJILT,O,O,X,X,O
SOZJLTI,O,O,O,O,O
SOZJLIT,O,O,O,O,O
ZTILJSO,O,O,X,O,O
ZTILJOS,O,O,O,O,X
ZTILSJO,X,O,O,O,O
ZTILSOJ,X,O,O,O,O
ZTILOJS,O,O,O,O,X
ZTILOSJ,X,O,O,O,X
ZTIJLSO,O,O,X,O,O
ZTIJLOS,O,O,O,O,X
ZTIJSLO,O,O,X,O,O
ZTIJSOL,X,X,X,X,O
ZTIJOLS,X,O,X,O,X
ZTIJOSL,X,O,X,X,O
ZTISLJO,O,O,O,O,O
ZTISLOJ,O,O,O,O,O
ZTISJLO,O,O,O,O,O
ZTISJOL,X,X,X,X,O
ZTISOLJ,O,O,X,X,O
ZTISOJL,O,O,X,X,O
ZTIOLJS,O,O,X,O,X
ZTIOLSJ,X,O,X,O,X
ZTIOJLS,O,O,X,O,X
ZTIOJSL,O,O,X,X,O
ZTIOSLJ,O,O,X,X,O
ZTIOSJL,O,O,X,X,O
ZTLIJSO,O,O,X,O,O
ZTLIJOS,O,O,O,O,X
ZTLISJO,X,O,O,O,O
ZTLISOJ,X,O,O,O,O
ZTLIOJS,O,O,O,O,X
ZTLIOSJ,X,O,O,O,X
ZTLJISO,O,O,X,O,O
ZTLJIOS,O,O,O,O,X
ZTLJSIO,X,O,X,O,O
ZTLJSOI,X,X,X,O,O
ZTLJOIS,X,O,O,O,X
ZTLJOSI,X,O,X,O,X
ZTLSIJO,X,O,O,O,O
ZTLSIOJ,X,O,O,O,O
ZTLSJIO,X,O,O,O,O
ZTLSJOI,X,X,O,O,O
ZTLSOIJ,X,O,O,O,O
ZTLSOJI,X,O,O,O,O
ZTLOIJS,O,O,O,O,X
ZTLOISJ,X,O,O,O,X
ZTLOJIS,O,O,O,O,X
ZTLOJSI,X,O,X,O,X
ZTLOSIJ,X,O,O,O,X
ZTLOSJI,X,O,O,O,X
ZTJILSO,O,O,X,O,O
ZTJILOS,O,O,O,O,X
ZTJISLO,O,O,X,O,O
ZTJISOL,X,X,X,X,O
ZTJIOLS,X,O,X,O,X
ZTJIOSL,X,O,X,X,O
ZTJLISO,O,O,X,O,O
ZTJLIOS,O,O,O,O,X
ZTJLSIO,X,O,X,O,O
ZTJLSOI,X,X,X,O,O
ZTJLOIS,X,O,O,O,X
ZTJLOSI,X,O,X,O,X
ZTJSILO,O,O,X,O,O
ZTJSIOL,X,X,X,X,O
ZTJSLIO,O,O,X,O,O
ZTJSLOI,X,X,X,O,O
ZTJSOIL,X,X,X,X,O
ZTJSOLI,X,X,X,O,O
ZTJOILS,X,O,X,O,X
ZTJOISL,X,O,X,X,O
ZTJOLIS,X,O,O,O,X
ZTJOLSI,X,O,X,O,X
ZTJOSIL,X,O,X,X,O
ZTJOSLI,X,O,X,O,O
ZTSILJO,O,O,O,O,O
ZTSILOJ,O,O,O,O,O
ZTSIJLO,O,O,O,O,O
ZTSIJOL,X,X,X,X,O
ZTSIOLJ,O,O,X,X,O
ZTSIOJL,O,O,X,X,O
ZTSLIJO,O,O,O,O,O
ZTSLIOJ,O,O,O,O,O
ZTSLJIO,O,O,O,O,O
ZTSLJOI,X,X,O,O,O
ZTSLOIJ,O,O,O,O,O
ZTSLOJI,O,O,O,O,O
ZTSJILO,O,O,O,O,O
ZTSJIOL,X,X,X,X,O
ZTSJLIO,O,O,O,O,O
ZTSJLOI,X,X,O,O,O
ZTSJOIL,X,X,X,X,O
ZTSJOLI,X,X,O,O,O
ZTSOILJ,O,O,X,X,O
ZTSOIJL,O,O,X,X,O
ZTSOLIJ,O,O,O,O,O
ZTSOLJI,O,O,O,O,O
ZTSOJIL,O,O,X,X,O
ZTSOJLI,O,O,O,O,O
ZTOILJS,O,O,X,O,X
ZTOILSJ,X,O,X,O,X
ZTOIJLS,O,O,X,O,X
ZTOIJSL,O,O,X,X,O
ZTOISLJ,O,O,X,X,O
ZTOISJL,O,O,X,X,O
ZTOLIJS,O,O,O,O,X
ZTOLISJ,X,O,O,O,X
ZTOLJIS,O,O,O,O,X
ZTOLJSI,X,O,X,O,X
ZTOLSIJ,X,O,O,O,X
ZTOLSJI,X,O,O,O,X
ZTOJILS,O,O,X,O,X
ZTOJISL,O,O,X,X,O
ZTOJLIS,O,O,O,O,X
ZTOJLSI,X,O,X,O,X
ZTOJSIL,O,O,X,X,O
ZTOJSLI,O,O,X,O,O
ZTOSILJ,O,O,X,X,O
ZTOSIJL,O,O,X,X,O
ZTOSLIJ,O,O,O,O,O
ZTOSLJI,O,O,O,O,O
ZTOSJIL,O,O,X,X,O
ZTOSJLI,O,O,O,O,O
ZITLJSO,O,O,X,O,O
ZITLJOS,O,O,O,O,X
ZITLSJO,X,O,O,O,O
ZITLSOJ,X,O,O,O,O
ZITLOJS,O,O,O,O,X
ZITLOSJ,X,O,O,O,X
ZITJLSO,O,O,X,O,O
ZITJLOS,O,O,O,O,X
ZITJSLO,O,O,X,O,O
ZITJSOL,X,X,X,X,O
ZITJOLS,X,O,X,O,X
ZITJOSL,X,O,X,X,O
ZITSLJO,O,O,O,O,O
ZITSLOJ,O,O,O,O,O
ZITSJLO,O,O,O,O,O
ZITSJOL,X,X,X,X,O
ZITSOLJ,O,O,X,X,O
ZITSOJL,O,O,X,X,O
ZITOLJS,O,O,X,O,X
ZITOLSJ,X,O,X,O,X
ZITOJLS,O,O,X,O,X
ZITOJSL,O,O,X,X,O
ZITOSLJ,O,O,X,X,O
ZITOSJL,O,O,X,X,O
ZILTJSO,O,O,X,O,O
ZILTJOS,O,O,O,O,X
ZILTSJO,X,O,O,O,O
ZILTSOJ,X,O,O,O,O
ZILTOJS,O,O,O,O,X
ZILTOSJ,X,O,O,O,X
ZILJTSO,O,O,X,O,O
ZILJTOS,O,O,O,O,X
ZILJSTO,X,O,X,O,O
ZILJSOT,X,X,X,O,O
ZILJOTS,X,O,O,O,X
