sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TSLJOIZ,X,X,X,O
TSLJOZI,X,X,X,O
TSLZIJO,X,O,O,O
TSLZIOJ,X,X,X,O
TSLZJIO,X,X,O,O
TSLZJOI,X,X,X,O
TSLZOIJ,X,X,X,O
TSLZOJI,X,X,X,O
TSLOIJZ,X,X,X,O
TSLOIZJ,X,X,X,X
TSLOJIZ,X,X,X,O
TSLOJZI,X,X,X,O
TSLOZIJ,X,X,X,O
TSLOZJI,X,X,X,O
TSJILZO,X,O,O,X
TSJILOZ,X,X,X,X
TSJIZLO,X,O,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,O
TSJIOZL,X,X,X,O
TSJLIZO,X,O,O,X
TSJLIOZ,X,X,X,O
TSJLZIO,X,O,O,O
TSJLZOI,X,O,X,O
TSJLOIZ,X,X,X,O
TSJLOZI,X,X,X,O
TSJZILO,X,O,O,X
TSJZIOL,X,X,X,O
TSJZLIO,X,O,O,X
TSJZLOI,X,O,X,X
TSJZOIL,X,X,X,O
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,O
TSJOIZL,X,X,X,O
TSJOLIZ,X,X,X,O
TSJOLZI,X,X,X,O
TSJOZIL,X,X,X,O
TSJOZLI,X,X,X,X
TSZILJO,X,O,O,X
TSZILOJ,X,X,X,X
TSZIJLO,X,O,O,X
TSZIJOL,X,X,X,O
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,O
TSZLIJO,X,O,O,O
TSZLIOJ,X,X,X,O
TSZLJIO,X,X,O,O
TSZLJOI,X,X,X,O
TSZLOIJ,X,X,X,O
TSZLOJI,X,X,X,O
TSZJILO,X,O,O,X
TSZJIOL,X,X,X,O
TSZJLIO,X,O,O,X
TSZJLOI,X,O,X,X
TSZJOIL,X,X,X,O
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,O
TSZOLIJ,X,X,X,O
TSZOLJI,X,X,X,O
TSZOJIL,X,X,X,O
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,O
TSOILZJ,X,X,X,X
TSOIJLZ,X,X,X,O
TSOIJZL,X,X,X,O
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,X,X,X,O
TSOLIZJ,X,X,X,X
TSOLJIZ,X,X,X,O
TSOLJZI,X,X,X,O
TSOLZIJ,X,X,X,O
TSOLZJI,X,X,X,O
TSOJILZ,X,X,X,O
TSOJIZL,X,X,X,O
TSOJLIZ,X,X,X,O
TSOJLZI,X,X,X,O
TSOJZIL,X,X,X,O
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,O
TSOZLIJ,X,X,X,O
TSOZLJI,X,X,X,O
TSOZJIL,X,X,X,O
TSOZJLI,X,X,X,X
TZILJSO,X,O,X,X
TZILJOS,X,X,X,X
