sequence,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFFiB6oBUlBz?nBXrBGrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeWFJvhFxgBVnB/rBT?oBCoB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8Jez/IvhFUhBFiBXjBS?tBxqBWwB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFxhBTjBlmBW?tBUrB6qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeGAJvhFxhB6oBUlBz?nBXrBlrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFUiBFlB6rBX?oBGoBzqB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeCAJvhFFiBTjBWtBx?qB/rB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFTjBRmBWtBC?nBUrBlqB
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,X,X,O,X,X,O,X,X
ISLTJOZ,X,O,O,X,X,X,X,X
ISLTZJO,O,X,O,X,X,O,X,X
ISLTZOJ,O,X,O,X,X,O,X,X
ISLTOJZ,X,O,O,X,X,X,X,X
ISLTOZJ,X,X,O,X,X,O,X,X
ISLJTZO,X,X,O,X,X,X,O,X
ISLJTOZ,X,O,O,X,X,X,O,X
ISLJZTO,X,X,O,X,X,X,O,X
ISLJZOT,X,X,O,X,X,X,O,X
ISLJOTZ,X,O,O,X,X,X,O,O
ISLJOZT,X,X,O,X,X,X,O,O
ISLZTJO,O,X,O,X,X,O,X,X
ISLZTOJ,O,X,O,X,X,O,X,X
ISLZJTO,O,X,O,X,X,X,X,X
ISLZJOT,X,X,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X
ISLZOJT,X,X,O,X,X,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X,X
ISLOJZT,X,X,O,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,X
ISLOZJT,X,X,O,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,O,X
ISJTLOZ,X,O,X,X,X,X,O,X
ISJTZLO,X,X,X,X,X,X,O,X
ISJTZOL,X,O,X,X,X,X,O,X
ISJTOLZ,X,O,X,X,X,X,O,O
ISJTOZL,X,O,X,X,X,X,O,O
ISJLTZO,X,X,X,X,X,X,O,X
ISJLTOZ,X,O,X,X,X,X,O,X
ISJLZTO,X,X,X,X,X,X,O,X
ISJLZOT,X,X,X,X,X,X,O,X
ISJLOTZ,X,O,X,X,X,X,O,O
ISJLOZT,X,X,X,X,X,X,O,O
ISJZTLO,X,X,X,O,X,X,O,X
ISJZTOL,X,O,X,O,X,X,O,O
ISJZLTO,X,X,X,X,X,X,O,X
ISJZLOT,X,X,X,X,X,X,O,O
ISJZOTL,X,O,X,O,X,X,O,O
ISJZOLT,X,X,X,X,X,X,O,O
ISJOTLZ,X,O,X,X,X,X,O,O
ISJOTZL,X,O,X,X,X,X,O,O
ISJOLTZ,X,O,X,X,X,X,O,O
ISJOLZT,X,X,X,X,X,X,O,O
ISJOZTL,X,O,X,O,X,X,O,O
ISJOZLT,X,X,X,X,X,X,O,O
ISZTLJO,O,X,O,O,X,O,X,X
ISZTLOJ,O,X,O,X,X,O,X,X
ISZTJLO,O,X,X,O,X,X,X,X
ISZTJOL,O,O,X,O,X,X,X,O
ISZTOLJ,O,X,O,X,X,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X
ISZLTJO,O,X,O,X,X,O,X,X
ISZLTOJ,O,X,O,X,X,O,X,X
ISZLJTO,O,X,O,X,X,X,X,X
ISZLJOT,X,X,O,X,X,X,X,O
ISZLOTJ,O,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X
ISZJTLO,O,X,X,O,X,X,X,X
ISZJTOL,O,O,X,O,X,X,X,O
ISZJLTO,O,X,X,X,X,X,X,X
ISZJLOT,X,X,X,X,X,X,X,O
ISZJOTL,O,O,X,O,O,X,X,O
ISZJOLT,O,X,X,X,O,X,X,O
ISZOTLJ,O,X,O,X,O,X,X,X
ISZOTJL,O,O,X,X,O,X,X,X
ISZOLTJ,O,X,O,X,O,X,X,X
ISZOLJT,O,X,O,X,O,X,X,X
ISZOJTL,O,O,X,X,O,X,X,O
ISZOJLT,O,X,X,X,O,X,X,O
ISOTLJZ,X,O,O,X,X,O,X,X
ISOTLZJ,O,X,O,X,O,O,X,X
ISOTJLZ,X,O,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,O,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X
ISOLTJZ,X,O,O,X,X,O,X,X
ISOLTZJ,O,X,O,X,O,O,X,X
ISOLJTZ,X,O,O,X,X,X,X,X
ISOLJZT,X,X,O,X,O,X,X,X
ISOLZTJ,O,X,O,X,O,O,X,X
ISOLZJT,O,X,O,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,X,X,O
ISOJTZL,X,O,X,X,X,X,X,O
ISOJLTZ,X,O,X,X,X,X,X,O
ISOJLZT,X,X,X,X,O,X,X,O
ISOJZTL,X,O,X,X,O,X,X,O
ISOJZLT,X,X,X,X,O,X,X,O
ISOZTLJ,O,X,O,X,O,X,X,X
ISOZTJL,O,O,X,X,O,X,X,X
ISOZLTJ,O,X,O,X,O,X,X,X
ISOZLJT,O,X,O,X,O,X,X,X
ISOZJTL,O,O,X,X,O,X,X,X
ISOZJLT,O,X,X,X,O,X,X,X
IZTLJSO,O,X,O,O,X,O,X,X
IZTLJOS,O,X,O,O,X,X,X,X
IZTLSJO,O,X,O,O,X,O,X,X
IZTLSOJ,O,X,O,X,X,O,X,X
IZTLOJS,O,X,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,O,X,X
IZTJLSO,O,X,O,O,X,X,X,X
IZTJLOS,O,X,O,O,X,X,X,X
IZTJSLO,X,O,X,O,X,X,O,X
IZTJSOL,X,O,X,O,X,X,O,O
IZTJOLS,O,X,O,O,X,X,X,X
IZTJOSL,X,O,X,O,X,X,O,O
IZTSLJO,O,O,O,O,X,O,X,X
IZTSLOJ,O,O,O,X,X,O,X,X
IZTSJLO,O,O,X,O,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,O
IZTSOLJ,O,O,O,X,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X
IZTOLJS,O,X,O,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,X,X
IZTOJLS,O,X,O,O,X,X,X,X
IZTOJSL,X,O,X,O,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X
IZLTJSO,O,X,O,X,X,O,X,X
IZLTJOS,O,X,O,X,X,X,X,X
IZLTSJO,O,X,O,X,X,O,X,X
IZLTSOJ,O,X,O,X,X,O,X,X
IZLTOJS,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,O,X,X
IZLJTSO,O,X,O,X,X,X,O,X
IZLJTOS,O,X,O,X,X,X,O,X
IZLJSTO,O,X,O,X,X,X,O,X
IZLJSOT,X,X,O,X,X,X,O,O
IZLJOTS,X,X,O,X,X,X,O,X
IZLJOST,X,X,O,X,X,X,O,O
IZLSTJO,O,X,O,X,X,O,X,X
IZLSTOJ,O,X,O,X,X,O,X,X
IZLSJTO,O,X,O,X,X,X,X,X
IZLSJOT,X,X,O,X,X,X,X,O
IZLSOTJ,O,X,O,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X,X
IZLOTJS,O,X,O,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X
IZLOSTJ,O,X,O,X,X,X,X,X
IZLOSJT,O,X,O,X,X,X,X,X
IZJTLSO,O,X,O,O,X,X,O,X
IZJTLOS,O,X,O,O,X,X,O,X
IZJTSLO,X,O,X,O,X,X,O,X
IZJTSOL,X,O,X,O,X,X,O,O
IZJTOLS,O,X,O,O,X,X,O,X
IZJTOSL,X,O,X,O,X,X,O,O
IZJLTSO,O,X,O,X,X,X,O,X
IZJLTOS,O,X,O,X,X,X,O,X
IZJLSTO,O,X,O,X,X,X,O,X
IZJLSOT,X,X,O,X,X,X,O,O
IZJLOTS,X,X,O,X,X,X,O,X
IZJLOST,X,X,O,X,X,X,O,O
IZJSTLO,O,O,X,O,X,X,O,X
IZJSTOL,O,O,X,O,X,X,O,O
IZJSLTO,O,O,X,X,X,X,O,X
IZJSLOT,X,O,X,X,X,X,O,O
IZJSOTL,O,O,X,O,O,X,O,O
IZJSOLT,O,O,X,X,O,X,O,O
IZJOTLS,O,X,O,O,O,X,O,X
IZJOTSL,X,O,X,O,X,X,O,O
IZJOLTS,O,X,O,X,O,X,O,X
IZJOLST,O,X,O,X,O,X,O,O
IZJOSTL,O,O,X,O,O,X,O,O
IZJOSLT,O,O,X,X,O,X,O,O
IZSTLJO,O,O,O,O,X,O,X,X
IZSTLOJ,O,O,O,X,X,O,X,X
IZSTJLO,O,O,X,O,X,X,X,X
IZSTJOL,O,O,X,O,X,X,X,O
IZSTOLJ,O,O,O,X,X,X,X,X
IZSTOJL,O,O,X,O,X,X,X,X
IZSLTJO,O,O,O,X,X,O,X,X
IZSLTOJ,O,O,O,X,X,O,X,X
IZSLJTO,O,O,O,X,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,O
IZSLOTJ,O,O,O,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X
IZSJTLO,O,O,X,O,X,X,X,X
IZSJTOL,O,O,X,O,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,O
IZSJOTL,O,O,X,O,O,X,X,O
IZSJOLT,O,O,X,X,O,X,X,O
IZSOTLJ,O,O,O,X,O,X,X,X
IZSOTJL,O,O,X,X,O,X,X,X
IZSOLTJ,O,O,O,X,O,X,X,X
IZSOLJT,O,O,O,X,O,X,X,X
IZSOJTL,O,O,X,X,O,X,X,O
IZSOJLT,O,O,X,X,O,X,X,O
IZOTLJS,O,X,O,X,O,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X
IZOTJLS,O,X,O,X,O,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,X,O,X,O,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X
IZOLJTS,O,X,O,X,O,X,X,X
IZOLJST,O,X,O,X,O,X,X,X
IZOLSTJ,O,X,O,X,O,X,X,X
IZOLSJT,O,X,O,X,O,X,X,X
IZOJTLS,O,X,O,X,O,X,X,X
IZOJTSL,X,O,X,X,X,X,X,O
IZOJLTS,O,X,O,X,O,X,X,X
IZOJLST,O,X,O,X,O,X,X,O
IZOJSTL,O,O,X,X,O,X,X,O
IZOJSLT,O,O,X,X,O,X,X,O
IZOSTLJ,O,O,O,X,O,X,X,X
IZOSTJL,O,O,X,X,O,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X
IZOSJTL,O,O,X,X,O,X,X,O
IZOSJLT,O,O,X,X,O,X,X,O
IOTLJSZ,X,X,O,X,X,O,X,X
IOTLJZS,X,X,O,X,X,O,X,X
IOTLSJZ,X,X,O,X,X,O,X,X
IOTLSZJ,O,X,O,X,O,O,X,X
IOTLZJS,O,X,O,X,O,O,X,X
IOTLZSJ,O,X,O,X,X,O,X,X
IOTJLSZ,X,X,O,X,X,X,O,X
IOTJLZS,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,O,X
IOTJSZL,X,O,X,X,X,X,O,X
IOTJZLS,X,X,O,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,O,X
IOTSLJZ,X,O,O,X,X,O,X,X
IOTSLZJ,O,X,O,X,O,O,X,X
IOTSJLZ,X,O,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,O,X,O,X,X,X
IOTSZJL,O,O,X,X,O,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X
IOTZLSJ,O,X,O,X,X,X,X,X
IOTZJLS,O,X,O,X,O,X,X,X
IOTZJSL,X,O,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,O,X,X
IOLTJZS,X,X,O,X,X,O,X,X
IOLTSJZ,X,X,O,X,X,O,X,X
IOLTSZJ,O,X,O,X,O,O,X,X
IOLTZJS,O,X,O,X,O,O,X,X
IOLTZSJ,O,X,O,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,O,X
IOLJTZS,X,X,O,X,X,X,O,X
IOLJSTZ,X,X,O,X,X,X,O,X
IOLJSZT,X,X,O,X,O,X,O,X
IOLJZTS,X,X,O,X,O,X,O,X
IOLJZST,X,X,O,X,O,X,O,X
IOLSTJZ,X,X,O,X,X,O,X,X
IOLSTZJ,O,X,O,X,O,O,X,X
IOLSJTZ,X,X,O,X,X,X,X,X
IOLSJZT,X,X,O,X,O,X,X,X
IOLSZTJ,O,X,O,X,O,O,X,X
IOLSZJT,O,X,O,X,O,X,X,X
IOLZTJS,O,X,O,X,O,O,X,X
IOLZTSJ,O,X,O,X,X,O,X,X
IOLZJTS,O,X,O,X,O,X,X,X
IOLZJST,O,X,O,X,O,X,X,X
IOLZSTJ,O,X,O,X,O,O,X,X
IOLZSJT,O,X,O,X,O,X,X,X
IOJTLSZ,X,X,O,X,X,X,O,X
IOJTLZS,X,X,O,X,X,X,O,X
IOJTSLZ,X,O,X,X,X,X,O,O
IOJTSZL,X,O,X,X,X,X,O,O
IOJTZLS,X,X,O,X,X,X,O,X
IOJTZSL,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,X,O,X
IOJLTZS,X,X,O,X,X,X,O,X
IOJLSTZ,X,X,O,X,X,X,O,O
IOJLSZT,X,X,O,X,O,X,O,O
IOJLZTS,X,X,O,X,O,X,O,X
IOJLZST,X,X,O,X,O,X,O,X
IOJSTLZ,X,O,X,X,X,X,O,O
IOJSTZL,X,O,X,X,X,X,O,O
IOJSLTZ,X,O,X,X,X,X,O,O
IOJSLZT,X,X,X,X,O,X,O,O
IOJSZTL,X,O,X,X,O,X,O,O
IOJSZLT,X,X,X,X,O,X,O,O
IOJZTLS,X,X,O,X,O,X,O,X
IOJZTSL,X,O,X,X,X,X,O,X
IOJZLTS,X,X,O,X,O,X,O,X
IOJZLST,X,X,O,X,O,X,O,X
IOJZSTL,X,O,X,X,X,X,O,O
IOJZSLT,X,O,X,X,O,X,O,O
IOSTLJZ,X,O,O,X,X,O,X,X
IOSTLZJ,O,X,O,X,O,O,X,X
IOSTJLZ,X,O,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,O,X,X,X
IOSTZJL,O,O,X,X,O,X,X,X
IOSLTJZ,X,O,O,X,X,O,X,X
IOSLTZJ,O,X,O,X,O,O,X,X
IOSLJTZ,X,O,O,X,X,X,X,X
IOSLJZT,X,X,O,X,O,X,X,X
IOSLZTJ,O,X,O,X,O,O,X,X
IOSLZJT,O,X,O,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,O
IOSJTZL,X,O,X,X,X,X,X,O
IOSJLTZ,X,O,X,X,X,X,X,O
IOSJLZT,X,X,X,X,O,X,X,O
IOSJZTL,X,O,X,X,O,X,X,O
IOSJZLT,X,X,X,X,O,X,X,O
IOSZTLJ,O,X,O,X,O,X,X,X
IOSZTJL,O,O,X,X,O,X,X,X
IOSZLTJ,O,X,O,X,O,X,X,X
IOSZLJT,O,X,O,X,O,X,X,X
IOSZJTL,O,O,X,X,O,X,X,X
IOSZJLT,O,X,X,X,O,X,X,X
IOZTLJS,O,X,O,X,O,X,X,X
IOZTLSJ,O,X,O,X,X,X,X,X
IOZTJLS,O,X,O,X,O,X,X,X
IOZTJSL,X,O,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,X,O,X,O,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,X
IOZLJTS,O,X,O,X,O,X,X,X
IOZLJST,O,X,O,X,O,X,X,X
IOZLSTJ,O,X,O,X,O,X,X,X
IOZLSJT,O,X,O,X,O,X,X,X
IOZJTLS,O,X,O,X,O,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X
IOZJLTS,O,X,O,X,O,X,X,X
IOZJLST,O,X,O,X,O,X,X,X
IOZJSTL,O,O,X,X,O,X,X,X
IOZJSLT,O,O,X,X,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X
IOZSTJL,O,O,X,X,O,X,X,X
IOZSLTJ,O,O,O,X,O,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,X,X,O,X,X,X
IOZSJLT,O,O,X,X,O,X,X,X
LTIJSZO,X,X,O,X,X,O,O,X
LTIJSOZ,X,X,O,X,X,X,O,X
LTIJZSO,X,X,O,O,X,O,O,X
LTIJZOS,X,X,O,O,X,X,O,X
LTIJOSZ,X,X,O,X,X,X,O,X
LTIJOZS,X,X,O,O,X,X,O,X
LTISJZO,X,X,O,X,X,O,X,X
LTISJOZ,X,X,O,X,X,X,X,X
LTISZJO,O,X,O,X,X,O,X,X
LTISZOJ,O,X,O,X,X,O,X,X
LTISOJZ,X,X,O,X,X,X,X,X
LTISOZJ,X,X,O,X,X,O,X,X
LTIZJSO,O,X,O,O,X,O,X,X
LTIZJOS,O,X,O,O,X,X,X,X
LTIZSJO,O,X,O,O,X,O,X,X
LTIZSOJ,O,X,O,X,X,O,X,X
LTIZOJS,O,X,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,O,X,X
LTIOJSZ,X,X,O,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X
LTIOSJZ,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,O,X,X
LTIOZJS,X,X,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,O,X,X
LTJISZO,X,X,O,X,X,O,O,X
LTJISOZ,X,X,O,X,X,X,O,X
LTJIZSO,X,X,O,O,X,O,O,X
LTJIZOS,X,X,O,O,X,X,O,X
LTJIOSZ,X,X,O,X,X,X,O,X
LTJIOZS,X,X,O,O,X,X,O,X
LTJSIZO,X,X,O,X,X,O,X,X
LTJSIOZ,X,O,O,X,X,X,X,X
LTJSZIO,O,X,X,X,X,O,X,X
LTJSZOI,X,X,X,X,X,O,X,X
LTJSOIZ,X,O,O,X,X,X,X,X
LTJSOZI,X,O,X,X,X,X,X,X
LTJZISO,O,X,X,O,X,O,X,X
LTJZIOS,O,X,X,O,X,X,X,X
LTJZSIO,O,X,X,O,X,O,X,X
LTJZSOI,X,X,X,O,X,O,X,X
LTJZOIS,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,O,X,X,X,X
LTJOISZ,X,X,O,X,X,X,O,X
LTJOIZS,X,X,O,O,X,X,O,X
LTJOSIZ,X,O,O,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,O,X,X,X,X
LTSIJZO,X,X,O,X,X,O,X,X
LTSIJOZ,X,O,O,X,X,X,X,X
LTSIZJO,O,X,O,X,X,O,X,X
LTSIZOJ,O,X,O,X,X,O,X,X
LTSIOJZ,X,O,O,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,O,X,X
LTSJIZO,X,X,O,X,X,O,X,X
LTSJIOZ,X,O,O,X,X,X,X,X
LTSJZIO,O,X,X,X,X,O,X,X
LTSJZOI,X,X,X,X,X,O,X,X
LTSJOIZ,X,O,O,X,X,X,X,X
LTSJOZI,X,O,X,X,X,X,X,X
LTSZIJO,O,X,O,X,X,O,X,X
LTSZIOJ,O,X,O,X,X,O,X,X
LTSZJIO,O,X,X,X,X,O,X,X
LTSZJOI,X,X,X,X,X,O,X,X
LTSZOIJ,O,X,O,X,X,O,X,X
LTSZOJI,O,X,X,X,X,O,X,X
LTSOIJZ,X,O,O,X,X,O,X,X
LTSOIZJ,O,X,O,X,X,O,X,X
LTSOJIZ,X,O,O,X,X,O,X,X
LTSOJZI,O,O,X,X,X,O,X,X
LTSOZIJ,O,X,O,X,X,O,X,X
LTSOZJI,O,X,X,X,X,O,X,X
LTZIJSO,O,X,O,O,X,O,X,X
LTZIJOS,O,X,O,O,X,X,X,X
LTZISJO,O,X,O,O,X,O,X,X
LTZISOJ,O,X,O,X,X,O,X,X
LTZIOJS,O,X,O,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,O,X,X
LTZJISO,O,X,X,O,X,O,X,X
LTZJIOS,O,X,X,O,X,X,X,X
LTZJSIO,O,O,X,O,X,O,X,X
LTZJSOI,X,O,X,O,X,O,X,X
LTZJOIS,X,X,X,O,X,X,X,X
LTZJOSI,X,O,X,O,X,X,X,X
LTZSIJO,O,O,O,O,X,O,X,X
LTZSIOJ,O,O,O,X,X,O,X,X
LTZSJIO,O,O,X,O,X,O,X,X
LTZSJOI,X,O,X,O,X,O,X,X
LTZSOIJ,O,O,O,X,X,O,X,X
LTZSOJI,O,O,X,X,X,O,X,X
LTZOIJS,O,X,O,X,X,X,X,X
LTZOISJ,O,X,O,X,X,O,X,X
LTZOJIS,O,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,O,X,X
LTZOSJI,O,O,X,X,X,O,X,X
LTOIJSZ,X,X,O,X,X,O,X,X
LTOIJZS,X,X,O,X,X,O,X,X
LTOISJZ,X,X,O,X,X,O,X,X
LTOISZJ,O,X,O,X,X,O,X,X
LTOIZJS,O,X,O,X,X,O,X,X
LTOIZSJ,O,X,O,X,X,O,X,X
LTOJISZ,X,X,O,X,X,O,X,X
LTOJIZS,X,X,O,X,X,O,X,X
LTOJSIZ,X,O,O,X,X,O,X,X
LTOJSZI,O,O,X,X,X,O,X,X
LTOJZIS,O,X,X,X,X,O,X,X
LTOJZSI,O,X,X,X,X,O,X,X
LTOSIJZ,X,O,O,X,X,O,X,X
LTOSIZJ,O,X,O,X,X,O,X,X
LTOSJIZ,X,O,O,X,X,O,X,X
LTOSJZI,O,O,X,X,X,O,X,X
LTOSZIJ,O,X,O,X,X,O,X,X
LTOSZJI,O,X,X,X,X,O,X,X
LTOZIJS,O,X,O,X,X,O,X,X
LTOZISJ,O,X,O,X,X,O,X,X
LTOZJIS,O,X,X,X,X,O,X,X
LTOZJSI,O,O,X,X,X,O,X,X
LTOZSIJ,O,O,O,X,X,O,X,X
LTOZSJI,O,O,X,X,X,O,X,X
LITJSZO,X,X,O,X,X,O,O,X
LITJSOZ,X,X,O,X,X,X,O,X
LITJZSO,X,X,O,X,X,O,O,X
LITJZOS,X,X,O,X,X,X,O,X
LITJOSZ,X,X,O,X,X,X,O,X
LITJOZS,X,X,O,X,X,X,O,X
LITSJZO,X,X,O,X,X,O,X,X
LITSJOZ,X,X,O,X,X,X,X,X
LITSZJO,O,X,O,X,X,O,X,X
LITSZOJ,O,X,O,X,X,O,X,X
LITSOJZ,X,X,O,X,X,X,X,X
LITSOZJ,X,X,O,X,X,O,X,X
LITZJSO,O,X,O,X,X,O,X,X
LITZJOS,O,X,O,X,X,X,X,X
LITZSJO,O,X,O,X,X,O,X,X
LITZSOJ,O,X,O,X,X,O,X,X
LITZOJS,O,X,O,X,X,X,X,X
LITZOSJ,O,X,O,X,X,O,X,X
LITOJSZ,X,X,O,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,X,X
LITOSJZ,X,X,O,X,X,X,X,X
LITOSZJ,X,X,O,X,X,O,X,X
LITOZJS,X,X,O,X,X,X,X,X
LITOZSJ,X,X,O,X,X,O,X,X
LIJTSZO,X,X,O,X,X,X,O,X
LIJTSOZ,X,X,O,X,X,X,O,X
LIJTZSO,X,X,O,X,X,X,O,X
LIJTZOS,X,X,O,X,X,X,O,X
LIJTOSZ,X,X,O,X,X,X,O,X
LIJTOZS,X,X,O,X,X,X,O,X
LIJSTZO,X,X,O,X,X,X,O,X
LIJSTOZ,X,X,O,X,X,X,O,X
LIJSZTO,X,X,O,X,X,X,O,X
LIJSZOT,X,X,O,X,X,X,O,X
LIJSOTZ,X,X,O,X,X,X,O,O
LIJSOZT,X,X,O,X,X,X,O,O
LIJZTSO,X,X,O,X,X,X,O,X
LIJZTOS,X,X,O,X,X,X,O,X
LIJZSTO,X,X,O,X,X,X,O,X
LIJZSOT,X,X,O,X,X,X,O,X
LIJZOTS,X,X,O,X,X,X,O,X
LIJZOST,X,X,O,X,X,X,O,X
LIJOTSZ,X,X,O,X,X,X,O,X
LIJOTZS,X,X,O,X,X,X,O,X
LIJOSTZ,X,X,O,X,X,X,O,O
LIJOSZT,X,X,O,X,X,X,O,O
LIJOZTS,X,X,O,X,X,X,O,X
LIJOZST,X,X,O,X,X,X,O,X
LISTJZO,X,X,O,X,X,O,X,X
LISTJOZ,X,X,O,X,X,X,X,X
LISTZJO,O,X,O,X,X,O,X,X
LISTZOJ,O,X,O,X,X,O,X,X
LISTOJZ,X,X,O,X,X,X,X,X
LISTOZJ,X,X,O,X,X,O,X,X
LISJTZO,X,X,O,X,X,X,O,X
LISJTOZ,X,X,O,X,X,X,O,X
LISJZTO,X,X,O,X,X,X,O,X
LISJZOT,X,X,O,X,X,X,O,X
LISJOTZ,X,X,O,X,X,X,O,O
LISJOZT,X,X,O,X,X,X,O,O
LISZTJO,O,X,O,X,X,O,X,X
LISZTOJ,O,X,O,X,X,O,X,X
LISZJTO,O,X,O,X,X,X,X,X
LISZJOT,X,X,O,X,X,X,X,X
LISZOTJ,O,X,O,X,X,X,X,X
LISZOJT,X,X,O,X,X,X,X,X
LISOTJZ,X,X,O,X,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X,X
LISOJTZ,X,X,O,X,X,X,X,X
LISOJZT,X,X,O,X,X,X,X,X
LISOZTJ,X,X,O,X,X,X,X,X
LISOZJT,X,X,O,X,X,X,X,X
LIZTJSO,O,X,O,X,X,O,X,X
LIZTJOS,O,X,O,X,X,X,X,X
LIZTSJO,O,X,O,X,X,O,X,X
LIZTSOJ,O,X,O,X,X,O,X,X
LIZTOJS,O,X,O,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,O,X,X
LIZJTSO,O,X,O,X,X,X,O,X
LIZJTOS,O,X,O,X,X,X,O,X
LIZJSTO,O,X,O,X,X,X,O,X
LIZJSOT,X,X,O,X,X,X,O,X
LIZJOTS,X,X,O,X,X,X,O,X
LIZJOST,X,X,O,X,X,X,O,X
LIZSTJO,O,X,O,X,X,O,X,X
LIZSTOJ,O,X,O,X,X,O,X,X
LIZSJTO,O,X,O,X,X,X,X,X
LIZSJOT,X,X,O,X,X,X,X,X
LIZSOTJ,O,X,O,X,X,X,X,X
LIZSOJT,X,X,O,X,X,X,X,X
LIZOTJS,O,X,O,X,X,X,X,X
LIZOTSJ,O,X,O,X,X,X,X,X
LIZOJTS,X,X,O,X,X,X,X,X
LIZOJST,X,X,O,X,X,X,X,X
LIZOSTJ,O,X,O,X,X,X,X,X
LIZOSJT,X,X,O,X,X,X,X,X
LIOTJSZ,X,X,O,X,X,X,X,X
LIOTJZS,X,X,O,X,X,X,X,X
LIOTSJZ,X,X,O,X,X,X,X,X
LIOTSZJ,X,X,O,X,X,X,X,X
LIOTZJS,X,X,O,X,X,X,X,X
LIOTZSJ,X,X,O,X,X,X,X,X
LIOJTSZ,X,X,O,X,X,X,O,X
