sequence,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFlgBmiB5oB/?qBKrBUsB,v115@ChA8IeC8BeB8EeB8AeC8EeA8Kei/IvhFzgBmiB5oBU?lBXrBVxB,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFigBmiB5oB3?lBVwBUsB
TOILZSJ,X,O,X
TOIJLSZ,O,O,O
TOIJLZS,X,O,X
TOIJSLZ,O,O,O
TOIJSZL,O,O,O
TOIJZLS,O,O,X
TOIJZSL,O,O,O
TOISLJZ,O,O,O
TOISLZJ,O,O,O
TOISJLZ,O,O,O
TOISJZL,O,O,O
TOISZLJ,X,O,O
TOISZJL,O,O,O
TOIZLJS,O,O,X
TOIZLSJ,O,O,X
TOIZJLS,O,O,X
TOIZJSL,O,O,O
TOIZSLJ,O,O,O
TOIZSJL,O,O,O
TOLIJSZ,O,O,O
TOLIJZS,X,O,X
TOLISJZ,O,O,O
TOLISZJ,O,O,O
TOLIZJS,X,O,X
TOLIZSJ,X,O,X
TOLJISZ,O,O,O
TOLJIZS,X,O,X
TOLJSIZ,O,O,O
TOLJSZI,O,O,O
TOLJZIS,X,O,X
TOLJZSI,X,O,X
TOLSIJZ,O,O,O
TOLSIZJ,O,O,O
TOLSJIZ,O,O,O
TOLSJZI,O,O,O
TOLSZIJ,O,O,O
TOLSZJI,O,O,O
TOLZIJS,X,O,X
TOLZISJ,X,O,X
TOLZJIS,X,O,X
TOLZJSI,X,O,X
TOLZSIJ,X,O,X
TOLZSJI,X,O,X
TOJILSZ,O,O,O
TOJILZS,X,O,X
TOJISLZ,O,O,O
TOJISZL,O,O,O
TOJIZLS,O,O,X
TOJIZSL,O,O,O
TOJLISZ,O,O,O
TOJLIZS,X,O,X
TOJLSIZ,O,O,O
TOJLSZI,O,O,O
TOJLZIS,X,O,X
TOJLZSI,X,O,X
TOJSILZ,O,O,O
TOJSIZL,O,O,O
TOJSLIZ,O,O,O
TOJSLZI,O,O,O
TOJSZIL,O,O,O
TOJSZLI,X,O,O
TOJZILS,O,O,X
TOJZISL,O,O,O
TOJZLIS,O,O,X
TOJZLSI,O,O,X
TOJZSIL,O,O,O
TOJZSLI,O,O,O
TOSILJZ,O,O,O
TOSILZJ,O,O,O
TOSIJLZ,O,O,O
TOSIJZL,O,O,O
TOSIZLJ,X,O,O
TOSIZJL,O,O,O
TOSLIJZ,O,O,O
TOSLIZJ,O,O,O
TOSLJIZ,O,O,O
TOSLJZI,O,O,O
TOSLZIJ,O,O,O
TOSLZJI,O,O,O
TOSJILZ,O,O,O
TOSJIZL,O,O,O
TOSJLIZ,O,O,O
TOSJLZI,O,O,O
TOSJZIL,O,O,O
TOSJZLI,X,O,O
TOSZILJ,X,O,O
TOSZIJL,O,O,O
TOSZLIJ,X,O,O
TOSZLJI,X,O,O
TOSZJIL,O,O,O
TOSZJLI,X,O,O
TOZILJS,O,O,X
TOZILSJ,O,O,X
TOZIJLS,O,O,X
TOZIJSL,O,O,O
TOZISLJ,O,O,O
TOZISJL,O,O,O
TOZLIJS,O,O,X
TOZLISJ,O,O,X
TOZLJIS,O,O,X
TOZLJSI,O,O,X
TOZLSIJ,O,O,X
TOZLSJI,O,O,X
TOZJILS,O,O,X
TOZJISL,O,O,O
TOZJLIS,O,O,X
TOZJLSI,O,O,X
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,O,O
ITLJSOZ,O,O,O
ITLJZSO,X,O,X
ITLJZOS,X,O,X
ITLJOSZ,O,O,O
ITLJOZS,X,O,X
ITLSJZO,O,O,O
ITLSJOZ,O,O,O
ITLSZJO,O,O,O
ITLSZOJ,O,O,O
ITLSOJZ,O,O,O
ITLSOZJ,O,O,O
ITLZJSO,X,O,X
ITLZJOS,X,O,X
ITLZSJO,X,O,X
ITLZSOJ,X,O,X
ITLZOJS,X,O,X
ITLZOSJ,X,O,X
ITLOJSZ,O,O,O
ITLOJZS,X,O,X
ITLOSJZ,O,O,O
ITLOSZJ,O,O,O
ITLOZJS,X,O,X
ITLOZSJ,X,O,X
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,X,O,X
ITJLZOS,X,O,X
ITJLOSZ,O,O,O
ITJLOZS,X,O,X
ITJSLZO,O,O,O
ITJSLOZ,O,O,O
ITJSZLO,X,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,O,O
ITJSOZL,O,O,O
ITJZLSO,O,O,X
ITJZLOS,O,O,X
ITJZSLO,O,O,O
ITJZSOL,O,O,O
ITJZOLS,O,O,X
ITJZOSL,O,O,O
ITJOLSZ,O,O,O
ITJOLZS,X,O,X
ITJOSLZ,O,O,O
ITJOSZL,O,O,O
ITJOZLS,O,O,X
ITJOZSL,O,O,O
ITSLJZO,O,O,O
ITSLJOZ,O,O,O
ITSLZJO,O,O,O
ITSLZOJ,O,O,O
ITSLOJZ,O,O,O
ITSLOZJ,O,O,O
ITSJLZO,O,O,O
ITSJLOZ,O,O,O
ITSJZLO,X,O,O
ITSJZOL,O,O,O
ITSJOLZ,O,O,O
ITSJOZL,O,O,O
ITSZLJO,X,O,O
ITSZLOJ,X,O,O
ITSZJLO,X,O,O
ITSZJOL,O,O,O
ITSZOLJ,X,O,O
ITSZOJL,O,O,O
ITSOLJZ,O,O,O
ITSOLZJ,O,O,O
ITSOJLZ,O,O,O
ITSOJZL,O,O,O
ITSOZLJ,X,O,O
ITSOZJL,O,O,O
ITZLJSO,O,O,X
ITZLJOS,O,O,X
ITZLSJO,O,O,X
ITZLSOJ,O,O,X
ITZLOJS,O,O,X
ITZLOSJ,O,O,X
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,O
ITZJSOL,O,O,O
ITZJOLS,O,O,X
ITZJOSL,O,O,O
ITZSLJO,O,O,O
ITZSLOJ,O,O,O
ITZSJLO,O,O,O
ITZSJOL,O,O,O
ITZSOLJ,O,O,O
ITZSOJL,O,O,O
ITZOLJS,O,O,X
ITZOLSJ,O,O,X
ITZOJLS,O,O,X
ITZOJSL,O,O,O
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,O,O,O
ITOLJZS,X,O,X
ITOLSJZ,O,O,O
ITOLSZJ,O,O,O
ITOLZJS,X,O,X
ITOLZSJ,X,O,X
ITOJLSZ,O,O,O
ITOJLZS,X,O,X
ITOJSLZ,O,O,O
ITOJSZL,O,O,O
ITOJZLS,O,O,X
ITOJZSL,O,O,O
ITOSLJZ,O,O,O
ITOSLZJ,O,O,O
ITOSJLZ,O,O,O
ITOSJZL,O,O,O
ITOSZLJ,X,O,O
ITOSZJL,O,O,O
ITOZLJS,O,O,X
ITOZLSJ,O,O,X
ITOZJLS,O,O,X
ITOZJSL,O,O,O
ITOZSLJ,O,O,O
ITOZSJL,O,O,O
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,X,O,X
ILTJZOS,X,O,X
ILTJOSZ,O,O,O
ILTJOZS,X,O,X
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,O,O,O
ILTSZOJ,O,O,O
ILTSOJZ,O,O,O
ILTSOZJ,O,O,O
ILTZJSO,X,O,X
ILTZJOS,X,O,X
ILTZSJO,X,O,X
ILTZSOJ,X,O,X
ILTZOJS,X,O,X
ILTZOSJ,X,O,X
ILTOJSZ,O,O,O
ILTOJZS,X,O,X
ILTOSJZ,O,O,O
ILTOSZJ,O,O,O
ILTOZJS,X,O,X
ILTOZSJ,X,O,X
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,X,O,X
ILJTZOS,X,O,X
ILJTOSZ,O,O,O
ILJTOZS,X,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,O
ILJSZTO,O,X,X
ILJSZOT,O,O,O
ILJSOTZ,O,X,O
ILJSOZT,O,X,O
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,X,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,O
ILJOTZS,X,O,X
ILJOSTZ,O,X,O
ILJOSZT,O,X,O
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,X
ILSTJOZ,O,O,O
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,O
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,O
ILSJZTO,O,X,X
ILSJZOT,O,O,O
ILSJOTZ,O,X,O
ILSJOZT,O,X,O
ILSZTJO,O,X,X
ILSZTOJ,O,X,X
ILSZJTO,O,X,X
ILSZJOT,O,O,O
ILSZOTJ,O,X,X
ILSZOJT,O,O,O
ILSOTJZ,O,X,O
ILSOTZJ,O,X,X
ILSOJTZ,O,X,O
ILSOJZT,O,X,O
ILSOZTJ,O,X,X
ILSOZJT,O,X,O
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,X
ILZTOSJ,O,O,X
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,X,X
ILZJSOT,O,O,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,O,O,X
ILZSOTJ,O,X,X
ILZSOJT,O,O,X
