sequence,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhF/mBRiBOpBi?nBlkBzsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpB6?sBlpBXsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoB0kB6?sBOpBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpBX?nBlkB6sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoBOpB6?sB0pBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeZEJvhFqkBTgB/mBF?iBmsB8sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBRiB1pBy?sBOpB0sB
LJZTSOI,O,X,X,X,X,X,X
LJZTOIS,X,O,X,X,X,X,X
LJZTOSI,X,X,X,X,X,X,X
LJZITSO,X,X,X,X,X,X,X
LJZITOS,X,O,X,X,X,X,X
LJZISTO,O,X,X,X,X,O,X
LJZISOT,O,O,O,O,O,O,X
LJZIOTS,X,O,X,X,X,X,X
LJZIOST,X,O,O,O,O,O,X
LJZSTIO,O,X,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X,X
LJZSITO,O,X,X,X,X,O,X
LJZSIOT,O,O,O,O,O,O,X
LJZSOTI,O,X,X,X,X,X,X
LJZSOIT,O,O,O,O,O,O,X
LJZOTIS,X,O,X,X,X,X,X
LJZOTSI,O,X,X,X,X,X,X
LJZOITS,X,O,X,X,X,X,X
LJZOIST,O,O,O,O,O,O,X
LJZOSTI,O,X,X,X,X,X,X
LJZOSIT,O,O,O,O,O,O,X
LJOTISZ,X,X,X,X,O,O,X
LJOTIZS,X,O,X,X,X,X,X
LJOTSIZ,O,X,X,X,O,O,O
LJOTSZI,O,X,X,X,X,X,O
LJOTZIS,X,O,X,X,X,X,X
LJOTZSI,O,X,X,X,X,X,X
LJOITSZ,X,X,X,X,O,O,X
LJOITZS,X,O,X,X,X,X,X
LJOISTZ,O,X,X,X,O,O,X
LJOISZT,O,O,O,O,O,O,X
LJOIZTS,X,O,X,X,X,X,X
LJOIZST,O,O,O,O,O,O,X
LJOSTIZ,O,X,X,X,O,O,O
LJOSTZI,O,X,X,X,X,X,O
LJOSITZ,O,X,X,X,O,O,O
LJOSIZT,O,O,O,O,O,O,X
LJOSZTI,O,X,X,X,X,X,X
LJOSZIT,O,O,O,O,O,O,X
LJOZTIS,X,O,X,X,X,X,X
LJOZTSI,O,X,X,X,X,X,X
LJOZITS,X,O,X,X,X,X,X
LJOZIST,O,O,O,O,O,O,X
LJOZSTI,O,X,X,X,X,X,X
LJOZSIT,O,O,O,O,O,O,X
LSTIJZO,O,X,X,X,X,O,O
LSTIJOZ,X,X,X,X,O,O,O
LSTIZJO,O,X,X,X,X,X,O
LSTIZOJ,X,X,O,X,X,X,O
LSTIOJZ,X,X,X,X,O,O,O
LSTIOZJ,X,X,O,X,X,X,O
LSTJIZO,O,X,X,X,X,O,O
LSTJIOZ,X,X,X,X,O,O,O
LSTJZIO,O,X,X,X,X,X,O
LSTJZOI,O,X,X,X,X,X,O
LSTJOIZ,X,X,X,X,O,O,O
LSTJOZI,X,X,X,X,X,X,O
LSTZIJO,O,X,X,X,X,X,O
LSTZIOJ,X,X,O,X,X,X,O
LSTZJIO,O,X,X,X,X,X,O
LSTZJOI,O,X,X,X,X,X,O
LSTZOIJ,X,X,O,X,X,X,O
LSTZOJI,X,X,X,X,X,X,O
LSTOIJZ,X,X,X,X,O,O,O
LSTOIZJ,X,X,O,X,X,X,O
LSTOJIZ,X,X,X,X,O,O,O
LSTOJZI,X,X,X,X,X,X,O
LSTOZIJ,X,X,O,X,X,X,O
LSTOZJI,X,X,X,X,X,X,O
LSITJZO,O,X,X,X,X,O,O
LSITJOZ,X,X,X,X,O,O,O
LSITZJO,O,X,X,X,X,X,O
LSITZOJ,X,X,O,X,X,X,O
LSITOJZ,X,X,X,X,O,O,O
LSITOZJ,X,X,O,X,X,X,O
LSIJTZO,O,X,X,X,X,O,O
LSIJTOZ,X,X,X,X,O,O,O
LSIJZTO,O,X,X,X,X,O,X
LSIJZOT,O,O,O,O,O,O,X
LSIJOTZ,X,X,X,X,O,O,O
LSIJOZT,O,O,O,O,O,O,X
LSIZTJO,O,X,X,X,X,X,O
LSIZTOJ,X,X,O,X,X,X,O
LSIZJTO,O,X,X,X,X,O,X
LSIZJOT,O,O,O,O,O,O,X
LSIZOTJ,X,X,O,X,X,X,O
LSIZOJT,O,O,O,O,O,O,X
LSIOTJZ,X,X,X,X,O,O,O
LSIOTZJ,X,X,O,X,X,X,O
LSIOJTZ,X,X,X,X,O,O,O
LSIOJZT,O,O,O,O,O,O,X
LSIOZTJ,X,X,O,X,X,X,O
LSIOZJT,O,O,O,O,O,O,X
LSJTIZO,O,X,X,X,X,O,O
LSJTIOZ,X,X,X,X,O,O,O
LSJTZIO,O,X,X,X,X,X,O
LSJTZOI,O,X,X,X,X,X,O
LSJTOIZ,X,X,X,X,O,O,O
LSJTOZI,X,X,X,X,X,X,O
LSJITZO,O,X,X,X,X,O,O
LSJITOZ,X,X,X,X,O,O,O
LSJIZTO,O,X,X,X,X,O,X
LSJIZOT,O,O,O,O,O,O,X
LSJIOTZ,X,X,X,X,O,O,O
LSJIOZT,O,O,O,O,O,O,X
LSJZTIO,O,X,X,X,X,X,X
LSJZTOI,O,X,X,X,X,X,X
LSJZITO,O,X,X,X,X,O,X
LSJZIOT,O,O,O,O,O,O,X
LSJZOTI,O,X,X,X,X,X,X
LSJZOIT,O,O,O,O,O,O,X
LSJOTIZ,O,X,X,X,O,O,O
LSJOTZI,O,X,X,X,X,X,O
LSJOITZ,O,X,X,X,O,O,O
LSJOIZT,O,O,O,O,O,O,X
LSJOZTI,O,X,X,X,X,X,X
LSJOZIT,O,O,O,O,O,O,X
LSZTIJO,O,X,X,X,X,X,O
LSZTIOJ,X,X,O,X,X,X,O
LSZTJIO,O,X,X,X,X,X,O
LSZTJOI,O,X,X,X,X,X,O
LSZTOIJ,X,X,O,X,X,X,O
LSZTOJI,X,X,X,X,X,X,O
LSZITJO,O,X,X,X,X,X,O
LSZITOJ,X,X,O,X,X,X,O
LSZIJTO,O,X,X,X,X,O,X
LSZIJOT,O,O,O,O,O,O,X
LSZIOTJ,X,X,O,X,X,X,O
LSZIOJT,O,O,O,O,O,O,X
LSZJTIO,O,X,X,X,X,X,X
LSZJTOI,O,X,X,X,X,X,X
LSZJITO,O,X,X,X,X,O,X
LSZJIOT,O,O,O,O,O,O,X
LSZJOTI,O,X,X,X,X,X,X
LSZJOIT,O,O,O,O,O,O,X
LSZOTIJ,O,X,O,X,X,X,O
LSZOTJI,O,X,X,X,X,X,O
LSZOITJ,O,X,O,X,X,X,O
LSZOIJT,O,O,O,O,O,O,X
LSZOJTI,O,X,X,X,X,X,X
LSZOJIT,O,O,O,O,O,O,X
LSOTIJZ,O,X,X,X,O,O,O
LSOTIZJ,O,X,O,X,X,X,O
LSOTJIZ,O,X,X,X,O,O,O
LSOTJZI,O,X,X,X,X,X,O
LSOTZIJ,O,X,O,X,X,X,O
LSOTZJI,O,X,X,X,X,X,O
LSOITJZ,O,X,X,X,O,O,O
LSOITZJ,O,X,O,X,X,X,O
LSOIJTZ,O,X,X,X,O,O,O
LSOIJZT,O,O,O,O,O,O,X
LSOIZTJ,O,X,O,X,X,X,O
LSOIZJT,O,O,O,O,O,O,X
LSOJTIZ,O,X,X,X,O,O,O
LSOJTZI,O,X,X,X,X,X,O
LSOJITZ,O,X,X,X,O,O,O
LSOJIZT,O,O,O,O,O,O,X
LSOJZTI,O,X,X,X,X,X,X
LSOJZIT,O,O,O,O,O,O,X
LSOZTIJ,O,X,O,X,X,X,O
LSOZTJI,O,X,X,X,X,X,O
LSOZITJ,O,X,O,X,X,X,O
LSOZIJT,O,O,O,O,O,O,X
LSOZJTI,O,X,X,X,X,X,X
LSOZJIT,O,O,O,O,O,O,X
LZTIJSO,X,X,X,X,X,X,X
LZTIJOS,X,O,X,X,X,X,X
LZTISJO,X,X,X,X,X,X,X
LZTISOJ,X,X,O,X,X,X,X
LZTIOJS,X,O,X,X,X,X,X
LZTIOSJ,X,X,O,X,X,X,X
LZTJISO,X,X,X,X,X,X,X
LZTJIOS,X,O,X,X,X,X,X
LZTJSIO,O,X,X,X,X,X,X
LZTJSOI,O,X,X,X,X,X,X
LZTJOIS,X,O,X,X,X,X,X
LZTJOSI,X,X,X,X,X,X,X
LZTSIJO,O,X,X,X,X,X,O
LZTSIOJ,X,X,O,X,X,X,O
LZTSJIO,O,X,X,X,X,X,O
LZTSJOI,O,X,X,X,X,X,O
LZTSOIJ,X,X,O,X,X,X,O
LZTSOJI,X,X,X,X,X,X,O
LZTOIJS,X,O,X,X,X,X,X
LZTOISJ,X,X,O,X,X,X,X
LZTOJIS,X,O,X,X,X,X,X
LZTOJSI,X,X,X,X,X,X,X
LZTOSIJ,X,X,O,X,X,X,O
LZTOSJI,X,X,X,X,X,X,O
LZITJSO,X,X,X,X,X,X,X
LZITJOS,X,O,X,X,X,X,X
LZITSJO,X,X,X,X,X,X,X
LZITSOJ,X,X,O,X,X,X,X
LZITOJS,X,O,X,X,X,X,X
LZITOSJ,X,X,O,X,X,X,X
LZIJTSO,X,X,X,X,X,X,X
LZIJTOS,X,O,X,X,X,X,X
LZIJSTO,O,X,X,X,X,O,X
LZIJSOT,O,O,O,O,O,O,X
LZIJOTS,X,O,X,X,X,X,X
LZIJOST,X,O,O,O,O,O,X
LZISTJO,O,X,X,X,X,X,X
LZISTOJ,X,X,O,X,X,X,X
LZISJTO,O,X,X,X,X,O,X
LZISJOT,O,O,O,O,O,O,X
LZISOTJ,X,X,O,X,X,X,X
LZISOJT,O,O,O,O,O,O,X
LZIOTJS,X,O,X,X,X,X,X
LZIOTSJ,X,X,O,X,X,X,X
LZIOJTS,X,O,X,X,X,X,X
LZIOJST,X,O,O,O,O,O,X
LZIOSTJ,X,X,O,X,X,X,X
LZIOSJT,X,O,O,O,O,O,X
LZJTISO,X,X,X,X,X,X,X
LZJTIOS,X,O,X,X,X,X,X
LZJTSIO,O,X,X,X,X,X,X
LZJTSOI,O,X,X,X,X,X,X
LZJTOIS,X,O,X,X,X,X,X
LZJTOSI,X,X,X,X,X,X,X
LZJITSO,X,X,X,X,X,X,X
LZJITOS,X,O,X,X,X,X,X
LZJISTO,O,X,X,X,X,O,X
LZJISOT,O,O,O,O,O,O,X
LZJIOTS,X,O,X,X,X,X,X
LZJIOST,X,O,O,O,O,O,X
LZJSTIO,O,X,X,X,X,X,X
LZJSTOI,O,X,X,X,X,X,X
LZJSITO,O,X,X,X,X,O,X
LZJSIOT,O,O,O,O,O,O,X
LZJSOTI,O,X,X,X,X,X,X
LZJSOIT,O,O,O,O,O,O,X
LZJOTIS,X,O,X,X,X,X,X
LZJOTSI,O,X,X,X,X,X,X
LZJOITS,X,O,X,X,X,X,X
LZJOIST,O,O,O,O,O,O,X
LZJOSTI,O,X,X,X,X,X,X
LZJOSIT,O,O,O,O,O,O,X
LZSTIJO,O,X,X,X,X,X,O
LZSTIOJ,X,X,O,X,X,X,O
LZSTJIO,O,X,X,X,X,X,O
LZSTJOI,O,X,X,X,X,X,O
LZSTOIJ,X,X,O,X,X,X,O
LZSTOJI,X,X,X,X,X,X,O
LZSITJO,O,X,X,X,X,X,O
LZSITOJ,X,X,O,X,X,X,O
LZSIJTO,O,X,X,X,X,O,X
LZSIJOT,O,O,O,O,O,O,X
LZSIOTJ,X,X,O,X,X,X,O
LZSIOJT,O,O,O,O,O,O,X
LZSJTIO,O,X,X,X,X,X,X
LZSJTOI,O,X,X,X,X,X,X
LZSJITO,O,X,X,X,X,O,X
LZSJIOT,O,O,O,O,O,O,X
LZSJOTI,O,X,X,X,X,X,X
LZSJOIT,O,O,O,O,O,O,X
LZSOTIJ,O,X,O,X,X,X,O
LZSOTJI,O,X,X,X,X,X,O
LZSOITJ,O,X,O,X,X,X,O
LZSOIJT,O,O,O,O,O,O,X
LZSOJTI,O,X,X,X,X,X,X
LZSOJIT,O,O,O,O,O,O,X
LZOTIJS,X,O,X,X,X,X,X
LZOTISJ,X,X,O,X,X,X,X
LZOTJIS,X,O,X,X,X,X,X
LZOTJSI,O,X,X,X,X,X,X
LZOTSIJ,O,X,O,X,X,X,O
LZOTSJI,O,X,X,X,X,X,O
LZOITJS,X,O,X,X,X,X,X
LZOITSJ,X,X,O,X,X,X,X
LZOIJTS,X,O,X,X,X,X,X
LZOIJST,O,O,O,O,O,O,X
LZOISTJ,O,X,O,X,X,X,X
LZOISJT,O,O,O,O,O,O,X
LZOJTIS,X,O,X,X,X,X,X
LZOJTSI,O,X,X,X,X,X,X
LZOJITS,X,O,X,X,X,X,X
LZOJIST,O,O,O,O,O,O,X
LZOJSTI,O,X,X,X,X,X,X
LZOJSIT,O,O,O,O,O,O,X
LZOSTIJ,O,X,O,X,X,X,O
LZOSTJI,O,X,X,X,X,X,O
LZOSITJ,O,X,O,X,X,X,O
LZOSIJT,O,O,O,O,O,O,X
LZOSJTI,O,X,X,X,X,X,X
LZOSJIT,O,O,O,O,O,O,X
LOTIJSZ,X,X,X,X,O,O,X
LOTIJZS,X,O,X,X,X,X,X
LOTISJZ,X,X,X,X,O,O,O
LOTISZJ,X,X,O,X,X,X,O
LOTIZJS,X,O,X,X,X,X,X
LOTIZSJ,X,X,O,X,X,X,X
LOTJISZ,X,X,X,X,O,O,X
LOTJIZS,X,O,X,X,X,X,X
LOTJSIZ,O,X,X,X,O,O,O
LOTJSZI,O,X,X,X,X,X,O
LOTJZIS,X,O,X,X,X,X,X
LOTJZSI,O,X,X,X,X,X,X
LOTSIJZ,O,X,X,X,O,O,O
LOTSIZJ,O,X,O,X,X,X,O
LOTSJIZ,O,X,X,X,O,O,O
LOTSJZI,O,X,X,X,X,X,O
LOTSZIJ,O,X,O,X,X,X,O
LOTSZJI,O,X,X,X,X,X,O
LOTZIJS,X,O,X,X,X,X,X
LOTZISJ,X,X,O,X,X,X,X
LOTZJIS,X,O,X,X,X,X,X
LOTZJSI,O,X,X,X,X,X,X
LOTZSIJ,O,X,O,X,X,X,O
LOTZSJI,O,X,X,X,X,X,O
LOITJSZ,X,X,X,X,O,O,X
LOITJZS,X,O,X,X,X,X,X
LOITSJZ,X,X,X,X,O,O,O
LOITSZJ,X,X,O,X,X,X,O
LOITZJS,X,O,X,X,X,X,X
LOITZSJ,X,X,O,X,X,X,X
LOIJTSZ,X,X,X,X,O,O,X
LOIJTZS,X,O,X,X,X,X,X
LOIJSTZ,O,X,X,X,O,O,X
LOIJSZT,O,O,O,O,O,O,X
LOIJZTS,X,O,X,X,X,X,X
LOIJZST,O,O,O,O,O,O,X
LOISTJZ,O,X,X,X,O,O,O
LOISTZJ,O,X,O,X,X,X,O
LOISJTZ,O,X,X,X,O,O,O
LOISJZT,O,O,O,O,O,O,X
LOISZTJ,O,X,O,X,X,X,O
LOISZJT,O,O,O,O,O,O,X
LOIZTJS,X,O,X,X,X,X,X
LOIZTSJ,X,X,O,X,X,X,X
LOIZJTS,X,O,X,X,X,X,X
LOIZJST,O,O,O,O,O,O,X
LOIZSTJ,O,X,O,X,X,X,X
LOIZSJT,O,O,O,O,O,O,X
LOJTISZ,X,X,X,X,O,O,X
LOJTIZS,X,O,X,X,X,X,X
LOJTSIZ,O,X,X,X,O,O,O
LOJTSZI,O,X,X,X,X,X,O
LOJTZIS,X,O,X,X,X,X,X
LOJTZSI,O,X,X,X,X,X,X
LOJITSZ,X,X,X,X,O,O,X
LOJITZS,X,O,X,X,X,X,X
LOJISTZ,O,X,X,X,O,O,X
LOJISZT,O,O,O,O,O,O,X
LOJIZTS,X,O,X,X,X,X,X
LOJIZST,O,O,O,O,O,O,X
LOJSTIZ,O,X,X,X,O,O,O
LOJSTZI,O,X,X,X,X,X,O
LOJSITZ,O,X,X,X,O,O,O
LOJSIZT,O,O,O,O,O,O,X
LOJSZTI,O,X,X,X,X,X,X
LOJSZIT,O,O,O,O,O,O,X
LOJZTIS,X,O,X,X,X,X,X
LOJZTSI,O,X,X,X,X,X,X
LOJZITS,X,O,X,X,X,X,X
LOJZIST,O,O,O,O,O,O,X
LOJZSTI,O,X,X,X,X,X,X
LOJZSIT,O,O,O,O,O,O,X
LOSTIJZ,O,X,X,X,O,O,O
LOSTIZJ,O,X,O,X,X,X,O
LOSTJIZ,O,X,X,X,O,O,O
LOSTJZI,O,X,X,X,X,X,O
LOSTZIJ,O,X,O,X,X,X,O
LOSTZJI,O,X,X,X,X,X,O
LOSITJZ,O,X,X,X,O,O,O
LOSITZJ,O,X,O,X,X,X,O
LOSIJTZ,O,X,X,X,O,O,O
LOSIJZT,O,O,O,O,O,O,X
LOSIZTJ,O,X,O,X,X,X,O
LOSIZJT,O,O,O,O,O,O,X
LOSJTIZ,O,X,X,X,O,O,O
LOSJTZI,O,X,X,X,X,X,O
LOSJITZ,O,X,X,X,O,O,O
LOSJIZT,O,O,O,O,O,O,X
LOSJZTI,O,X,X,X,X,X,X
LOSJZIT,O,O,O,O,O,O,X
LOSZTIJ,O,X,O,X,X,X,O
LOSZTJI,O,X,X,X,X,X,O
LOSZITJ,O,X,O,X,X,X,O
LOSZIJT,O,O,O,O,O,O,X
LOSZJTI,O,X,X,X,X,X,X
LOSZJIT,O,O,O,O,O,O,X
LOZTIJS,X,O,X,X,X,X,X
LOZTISJ,X,X,O,X,X,X,X
LOZTJIS,X,O,X,X,X,X,X
LOZTJSI,O,X,X,X,X,X,X
LOZTSIJ,O,X,O,X,X,X,O
LOZTSJI,O,X,X,X,X,X,O
LOZITJS,X,O,X,X,X,X,X
LOZITSJ,X,X,O,X,X,X,X
LOZIJTS,X,O,X,X,X,X,X
LOZIJST,O,O,O,O,O,O,X
LOZISTJ,O,X,O,X,X,X,X
LOZISJT,O,O,O,O,O,O,X
LOZJTIS,X,O,X,X,X,X,X
LOZJTSI,O,X,X,X,X,X,X
LOZJITS,X,O,X,X,X,X,X
LOZJIST,O,O,O,O,O,O,X
LOZJSTI,O,X,X,X,X,X,X
LOZJSIT,O,O,O,O,O,O,X
LOZSTIJ,O,X,O,X,X,X,O
LOZSTJI,O,X,X,X,X,X,O
LOZSITJ,O,X,O,X,X,X,O
LOZSIJT,O,O,O,O,O,O,X
LOZSJTI,O,X,X,X,X,X,X
LOZSJIT,O,O,O,O,O,O,X
JTILSZO,X,X,X,X,X,O,X
JTILSOZ,X,X,X,X,O,O,X
JTILZSO,X,X,X,X,X,X,X
JTILZOS,X,O,X,X,X,X,X
JTILOSZ,X,X,X,X,O,O,X
JTILOZS,X,O,X,X,X,X,X
JTISLZO,X,X,X,X,X,O,X
JTISLOZ,X,X,X,X,O,O,X
JTISZLO,X,X,X,X,X,X,X
JTISZOL,X,X,X,O,X,X,X
JTISOLZ,X,X,X,X,O,X,X
JTISOZL,X,X,X,O,X,X,X
JTIZLSO,X,X,X,X,X,X,X
JTIZLOS,X,O,X,X,X,X,X
JTIZSLO,X,X,X,X,X,X,X
JTIZSOL,X,X,X,O,X,X,X
JTIZOLS,X,O,X,X,X,X,X
JTIZOSL,X,X,X,O,X,X,X
JTIOLSZ,X,X,X,X,O,X,X
JTIOLZS,X,O,X,X,X,X,X
JTIOSLZ,X,X,X,X,O,X,X
JTIOSZL,X,X,X,O,X,X,X
JTIOZLS,X,O,X,X,X,X,X
JTIOZSL,X,X,X,O,X,X,X
JTLISZO,X,X,X,X,X,O,X
JTLISOZ,X,X,X,X,O,O,X
JTLIZSO,X,X,X,X,X,X,X
JTLIZOS,X,O,X,X,X,X,X
JTLIOSZ,X,X,X,X,O,O,X
JTLIOZS,X,O,X,X,X,X,X
JTLSIZO,O,X,X,X,X,O,O
JTLSIOZ,X,X,X,X,O,O,O
JTLSZIO,O,X,X,X,X,X,O
JTLSZOI,O,X,X,X,X,X,O
JTLSOIZ,X,X,X,X,O,O,O
JTLSOZI,X,X,X,X,X,X,O
JTLZISO,X,X,X,X,X,X,X
JTLZIOS,X,O,X,X,X,X,X
JTLZSIO,O,X,X,X,X,X,X
JTLZSOI,O,X,X,X,X,X,X
JTLZOIS,X,O,X,X,X,X,X
JTLZOSI,X,X,X,X,X,X,X
JTLOISZ,X,X,X,X,O,O,X
JTLOIZS,X,O,X,X,X,X,X
JTLOSIZ,X,X,X,X,O,O,O
JTLOSZI,X,X,X,X,X,X,O
JTLOZIS,X,O,X,X,X,X,X
JTLOZSI,X,X,X,X,X,X,X
JTSILZO,X,X,X,X,X,O,X
JTSILOZ,X,X,X,X,O,O,X
JTSIZLO,X,X,X,X,X,X,X
JTSIZOL,X,X,X,O,X,X,X
JTSIOLZ,X,X,X,X,O,X,X
JTSIOZL,X,X,X,O,X,X,X
JTSLIZO,O,X,X,X,X,O,O
JTSLIOZ,X,X,X,X,O,O,O
JTSLZIO,O,X,X,X,X,X,O
JTSLZOI,O,X,X,X,X,X,O
JTSLOIZ,X,X,X,X,O,O,O
JTSLOZI,X,X,X,X,X,X,O
JTSZILO,X,X,X,X,X,X,X
JTSZIOL,X,X,X,O,X,X,X
JTSZLIO,O,X,X,X,X,X,X
JTSZLOI,O,X,X,X,X,X,X
JTSZOIL,X,X,X,O,X,X,X
JTSZOLI,O,X,X,X,X,X,X
JTSOILZ,X,X,X,X,O,X,X
JTSOIZL,X,X,X,O,X,X,X
JTSOLIZ,O,X,X,X,O,O,O
JTSOLZI,O,X,X,X,X,X,O
JTSOZIL,X,X,X,O,X,X,X
JTSOZLI,O,X,X,X,X,X,X
JTZILSO,X,X,X,X,X,X,X
JTZILOS,X,O,X,X,X,X,X
JTZISLO,X,X,X,X,X,X,X
JTZISOL,X,X,X,O,X,X,X
JTZIOLS,X,O,X,X,X,X,X
JTZIOSL,X,X,X,O,X,X,X
JTZLISO,X,X,X,X,X,X,X
JTZLIOS,X,O,X,X,X,X,X
JTZLSIO,O,X,X,X,X,X,X
JTZLSOI,O,X,X,X,X,X,X
JTZLOIS,X,O,X,X,X,X,X
JTZLOSI,X,X,X,X,X,X,X
JTZSILO,X,X,X,X,X,X,X
JTZSIOL,X,X,X,O,X,X,X
JTZSLIO,O,X,X,X,X,X,X
JTZSLOI,O,X,X,X,X,X,X
JTZSOIL,X,X,X,O,X,X,X
JTZSOLI,O,X,X,X,X,X,X
JTZOILS,X,O,X,X,X,X,X
JTZOISL,X,X,X,O,X,X,X
JTZOLIS,X,O,X,X,X,X,X
JTZOLSI,O,X,X,X,X,X,X
JTZOSIL,X,X,X,O,X,X,X
JTZOSLI,O,X,X,X,X,X,X
JTOILSZ,X,X,X,X,O,X,X
JTOILZS,X,O,X,X,X,X,X
JTOISLZ,X,X,X,X,O,X,X
JTOISZL,X,X,X,O,X,X,X
JTOIZLS,X,O,X,X,X,X,X
JTOIZSL,X,X,X,O,X,X,X
JTOLISZ,X,X,X,X,O,O,X
JTOLIZS,X,O,X,X,X,X,X
JTOLSIZ,O,X,X,X,O,O,O
JTOLSZI,O,X,X,X,X,X,O
JTOLZIS,X,O,X,X,X,X,X
JTOLZSI,O,X,X,X,X,X,X
JTOSILZ,X,X,X,X,O,X,X
JTOSIZL,X,X,X,O,X,X,X
JTOSLIZ,O,X,X,X,O,O,O
JTOSLZI,O,X,X,X,X,X,O
JTOSZIL,X,X,X,O,X,X,X
JTOSZLI,O,X,X,X,X,X,X
JTOZILS,X,O,X,X,X,X,X
JTOZISL,X,X,X,O,X,X,X
JTOZLIS,X,O,X,X,X,X,X
JTOZLSI,O,X,X,X,X,X,X
JTOZSIL,X,X,X,O,X,X,X
JTOZSLI,O,X,X,X,X,X,X
JITLSZO,X,X,X,X,X,O,X
JITLSOZ,X,X,X,X,O,O,X
JITLZSO,X,X,X,X,X,X,X
JITLZOS,X,O,X,X,X,X,X
JITLOSZ,X,X,X,X,O,O,X
JITLOZS,X,O,X,X,X,X,X
JITSLZO,X,X,X,X,X,O,X
JITSLOZ,X,X,X,X,O,O,X
JITSZLO,X,X,X,X,X,X,X
JITSZOL,X,X,X,O,X,X,X
JITSOLZ,X,X,X,X,O,X,X
JITSOZL,X,X,X,O,X,X,X
JITZLSO,X,X,X,X,X,X,X
JITZLOS,X,O,X,X,X,X,X
JITZSLO,X,X,X,X,X,X,X
JITZSOL,X,X,X,O,X,X,X
JITZOLS,X,O,X,X,X,X,X
JITZOSL,X,X,X,O,X,X,X
JITOLSZ,X,X,X,X,O,X,X
JITOLZS,X,O,X,X,X,X,X
JITOSLZ,X,X,X,X,O,X,X
JITOSZL,X,X,X,O,X,X,X
JITOZLS,X,O,X,X,X,X,X
JITOZSL,X,X,X,O,X,X,X
JILTSZO,X,X,X,X,X,O,X
JILTSOZ,X,X,X,X,O,O,X
JILTZSO,X,X,X,X,X,X,X
JILTZOS,X,O,X,X,X,X,X
JILTOSZ,X,X,X,X,O,O,X
JILTOZS,X,O,X,X,X,X,X
JILSTZO,O,X,X,X,X,O,X
JILSTOZ,X,X,X,X,O,O,X
JILSZTO,O,X,X,X,X,O,X
JILSZOT,O,O,O,O,O,O,X
JILSOTZ,X,X,X,X,O,O,X
JILSOZT,O,O,O,O,O,O,X
JILZTSO,X,X,X,X,X,X,X
JILZTOS,X,O,X,X,X,X,X
JILZSTO,O,X,X,X,X,O,X
JILZSOT,O,O,O,O,O,O,X
JILZOTS,X,O,X,X,X,X,X
JILZOST,X,O,O,O,O,O,X
JILOTSZ,X,X,X,X,O,O,X
JILOTZS,X,O,X,X,X,X,X
JILOSTZ,X,X,X,X,O,O,X
JILOSZT,X,O,O,O,O,O,X
JILOZTS,X,O,X,X,X,X,X
JILOZST,X,O,O,O,O,O,X
JISTLZO,X,X,X,X,X,O,X
JISTLOZ,X,X,X,X,O,O,X
JISTZLO,X,X,X,X,X,X,X
JISTZOL,X,X,X,O,X,X,X
JISTOLZ,X,X,X,X,O,X,X
JISTOZL,X,X,X,O,X,X,X
JISLTZO,O,X,X,X,X,O,X
JISLTOZ,X,X,X,X,O,O,X
JISLZTO,O,X,X,X,X,O,X
JISLZOT,O,O,O,O,O,O,X
JISLOTZ,X,X,X,X,O,O,X
JISLOZT,O,O,O,O,O,O,X
JISZTLO,X,X,X,X,X,X,X
JISZTOL,X,X,X,O,X,X,X
JISZLTO,O,X,X,X,X,O,X
JISZLOT,O,O,O,O,O,O,X
JISZOTL,X,X,X,O,X,X,X
JISZOLT,O,O,O,O,O,X,X
JISOTLZ,X,X,X,X,O,X,X
JISOTZL,X,X,X,O,X,X,X
JISOLTZ,O,X,X,X,O,O,X
JISOLZT,O,O,O,O,O,O,X
JISOZTL,X,X,X,O,X,X,X
JISOZLT,O,O,O,O,O,X,X
JIZTLSO,X,X,X,X,X,X,X
JIZTLOS,X,O,X,X,X,X,X
JIZTSLO,X,X,X,X,X,X,X
JIZTSOL,X,X,X,O,X,X,X
JIZTOLS,X,O,X,X,X,X,X
JIZTOSL,X,X,X,O,X,X,X
JIZLTSO,X,X,X,X,X,X,X
JIZLTOS,X,O,X,X,X,X,X
JIZLSTO,O,X,X,X,X,O,X
JIZLSOT,O,O,O,O,O,O,X
JIZLOTS,X,O,X,X,X,X,X
JIZLOST,X,O,O,O,O,O,X
JIZSTLO,X,X,X,X,X,X,X
JIZSTOL,X,X,X,O,X,X,X
JIZSLTO,O,X,X,X,X,O,X
JIZSLOT,O,O,O,O,O,O,X
JIZSOTL,X,X,X,O,X,X,X
JIZSOLT,O,O,O,O,O,X,X
JIZOTLS,X,O,X,X,X,X,X
JIZOTSL,X,X,X,O,X,X,X
JIZOLTS,X,O,X,X,X,X,X
JIZOLST,O,O,O,O,O,X,X
JIZOSTL,X,X,X,O,X,X,X
JIZOSLT,O,O,O,O,O,X,X
