sequence,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhF/mBRiBOpBi?nBlkBzsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpB6?sBlpBXsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoB0kB6?sBOpBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpBX?nBlkB6sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoBOpB6?sB0pBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeZEJvhFqkBTgB/mBF?iBmsB8sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBRiB1pBy?sBOpB0sB
TJLOIZS,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,O,O
TJLOSZI,X,X,X,X,X,X,O
TJLOZIS,X,O,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,O,X
TJSILOZ,X,X,X,X,O,O,X
TJSIZLO,X,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X
TJSIOLZ,X,X,X,X,O,X,X
TJSIOZL,X,X,X,O,X,X,X
TJSLIZO,O,X,X,X,X,O,O
TJSLIOZ,X,X,X,X,O,O,O
TJSLZIO,O,X,X,X,X,X,O
TJSLZOI,O,X,X,X,X,X,O
TJSLOIZ,X,X,X,X,O,O,O
TJSLOZI,X,X,X,X,X,X,O
TJSZILO,X,X,X,X,X,X,X
TJSZIOL,X,X,X,O,X,X,X
TJSZLIO,O,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X
TJSZOLI,O,X,X,X,X,X,X
TJSOILZ,X,X,X,X,O,X,X
TJSOIZL,X,X,X,O,X,X,X
TJSOLIZ,O,X,X,X,O,O,O
TJSOLZI,O,X,X,X,X,X,O
TJSOZIL,X,X,X,O,X,X,X
TJSOZLI,O,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X
TJZISOL,X,X,X,O,X,X,X
TJZIOLS,X,O,X,X,X,X,X
TJZIOSL,X,X,X,O,X,X,X
TJZLISO,X,X,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X
TJZSIOL,X,X,X,O,X,X,X
TJZSLIO,O,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X
TJZSOIL,X,X,X,O,X,X,X
TJZSOLI,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X
TJZOISL,X,X,X,O,X,X,X
TJZOLIS,X,O,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X,X
TJZOSLI,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,O,X,X
TJOILZS,X,O,X,X,X,X,X
TJOISLZ,X,X,X,X,O,X,X
TJOISZL,X,X,X,O,X,X,X
TJOIZLS,X,O,X,X,X,X,X
TJOIZSL,X,X,X,O,X,X,X
TJOLISZ,X,X,X,X,O,O,X
TJOLIZS,X,O,X,X,X,X,X
TJOLSIZ,O,X,X,X,O,O,O
TJOLSZI,O,X,X,X,X,X,O
TJOLZIS,X,O,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X
TJOSILZ,X,X,X,X,O,X,X
TJOSIZL,X,X,X,O,X,X,X
TJOSLIZ,O,X,X,X,O,O,O
TJOSLZI,O,X,X,X,X,X,O
TJOSZIL,X,X,X,O,X,X,X
TJOSZLI,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X
TJOZISL,X,X,X,O,X,X,X
TJOZLIS,X,O,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X
TJOZSIL,X,X,X,O,X,X,X
TJOZSLI,O,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,O,O
TSILJOZ,X,X,X,X,O,O,O
TSILZJO,X,X,X,X,X,X,O
TSILZOJ,X,X,O,X,X,X,O
TSILOJZ,X,X,X,X,O,O,O
TSILOZJ,X,X,O,X,X,X,O
TSIJLZO,X,X,X,X,X,O,X
TSIJLOZ,X,X,X,X,O,O,X
TSIJZLO,X,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X
TSIJOLZ,X,X,X,X,O,X,X
TSIJOZL,X,X,X,O,X,X,X
TSIZLJO,X,X,X,X,X,X,X
TSIZLOJ,X,X,O,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X
TSIZJOL,X,X,X,O,X,X,X
TSIZOLJ,X,X,O,X,X,X,X
TSIZOJL,X,X,X,O,X,X,X
TSIOLJZ,X,X,X,X,O,X,O
TSIOLZJ,X,X,O,X,X,X,O
TSIOJLZ,X,X,X,X,O,X,X
TSIOJZL,X,X,X,O,X,X,X
TSIOZLJ,X,X,O,X,X,X,X
TSIOZJL,X,X,X,O,X,X,X
TSLIJZO,O,X,X,X,X,O,O
TSLIJOZ,X,X,X,X,O,O,O
TSLIZJO,O,X,X,X,X,X,O
TSLIZOJ,X,X,O,X,X,X,O
TSLIOJZ,X,X,X,X,O,O,O
TSLIOZJ,X,X,O,X,X,X,O
TSLJIZO,O,X,X,X,X,O,O
TSLJIOZ,X,X,X,X,O,O,O
TSLJZIO,O,X,X,X,X,X,O
TSLJZOI,O,X,X,X,X,X,O
TSLJOIZ,X,X,X,X,O,O,O
TSLJOZI,X,X,X,X,X,X,O
TSLZIJO,O,X,X,X,X,X,O
TSLZIOJ,X,X,O,X,X,X,O
TSLZJIO,O,X,X,X,X,X,O
TSLZJOI,O,X,X,X,X,X,O
TSLZOIJ,X,X,O,X,X,X,O
TSLZOJI,X,X,X,X,X,X,O
TSLOIJZ,X,X,X,X,O,O,O
TSLOIZJ,X,X,O,X,X,X,O
TSLOJIZ,X,X,X,X,O,O,O
TSLOJZI,X,X,X,X,X,X,O
TSLOZIJ,X,X,O,X,X,X,O
TSLOZJI,X,X,X,X,X,X,O
