sequence,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBumB3iB5oB8s?BywB,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBUiB5oB+rBys?B3sB
TZOLSIJ,O,X
TZOLSJI,O,X
TZOJILS,X,X
TZOJISL,X,X
TZOJLIS,X,X
TZOJLSI,X,X
TZOJSIL,X,X
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,O,X
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,O,X
TZOSJLI,X,X
TOILJSZ,X,X
TOILJZS,O,O
TOILSJZ,X,X
TOILSZJ,X,X
TOILZJS,O,X
TOILZSJ,O,X
TOIJLSZ,X,X
TOIJLZS,X,O
TOIJSLZ,X,X
TOIJSZL,X,X
TOIJZLS,X,O
TOIJZSL,X,X
TOISLJZ,X,X
TOISLZJ,X,X
TOISJLZ,X,X
TOISJZL,X,X
TOISZLJ,X,X
TOISZJL,X,X
TOIZLJS,O,X
TOIZLSJ,O,X
TOIZJLS,X,X
TOIZJSL,X,X
TOIZSLJ,X,X
TOIZSJL,O,X
TOLIJSZ,X,X
TOLIJZS,O,O
TOLISJZ,X,X
TOLISZJ,X,X
TOLIZJS,O,X
TOLIZSJ,O,X
TOLJISZ,X,X
TOLJIZS,O,O
TOLJSIZ,X,X
TOLJSZI,X,X
TOLJZIS,O,O
TOLJZSI,O,X
TOLSIJZ,X,X
TOLSIZJ,X,X
TOLSJIZ,X,X
TOLSJZI,X,X
TOLSZIJ,X,X
TOLSZJI,X,X
TOLZIJS,O,X
TOLZISJ,O,X
TOLZJIS,O,X
TOLZJSI,O,X
TOLZSIJ,O,X
TOLZSJI,O,X
TOJILSZ,X,X
TOJILZS,X,O
TOJISLZ,X,X
TOJISZL,X,X
TOJIZLS,X,O
TOJIZSL,X,X
TOJLISZ,X,X
TOJLIZS,X,O
TOJLSIZ,X,X
TOJLSZI,X,X
TOJLZIS,X,O
TOJLZSI,X,X
TOJSILZ,X,X
TOJSIZL,X,X
TOJSLIZ,X,X
TOJSLZI,X,X
TOJSZIL,X,X
TOJSZLI,X,X
TOJZILS,X,O
TOJZISL,X,X
TOJZLIS,X,O
TOJZLSI,X,X
TOJZSIL,X,X
TOJZSLI,X,X
TOSILJZ,X,X
TOSILZJ,X,X
TOSIJLZ,X,X
TOSIJZL,X,X
TOSIZLJ,X,X
TOSIZJL,X,X
TOSLIJZ,X,X
TOSLIZJ,X,X
TOSLJIZ,X,X
TOSLJZI,X,X
TOSLZIJ,X,X
TOSLZJI,X,X
TOSJILZ,X,X
TOSJIZL,X,X
TOSJLIZ,X,X
TOSJLZI,X,X
TOSJZIL,X,X
TOSJZLI,X,X
TOSZILJ,X,X
TOSZIJL,X,X
TOSZLIJ,X,X
TOSZLJI,X,X
TOSZJIL,X,X
TOSZJLI,X,X
TOZILJS,O,X
TOZILSJ,O,X
TOZIJLS,X,X
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,O,X
TOZLIJS,O,X
TOZLISJ,O,X
TOZLJIS,O,X
TOZLJSI,O,X
TOZLSIJ,O,X
TOZLSJI,O,X
TOZJILS,X,X
TOZJISL,X,X
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,O,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,O,X
TOZSJLI,X,X
ITLJSZO,X,X
ITLJSOZ,X,X
ITLJZSO,O,X
ITLJZOS,O,O
ITLJOSZ,X,X
ITLJOZS,O,O
ITLSJZO,X,X
ITLSJOZ,X,X
ITLSZJO,X,X
ITLSZOJ,X,X
ITLSOJZ,X,X
ITLSOZJ,X,X
ITLZJSO,O,X
ITLZJOS,O,X
ITLZSJO,O,X
ITLZSOJ,O,X
ITLZOJS,O,X
ITLZOSJ,O,X
ITLOJSZ,X,X
ITLOJZS,O,O
ITLOSJZ,X,X
ITLOSZJ,X,X
ITLOZJS,O,X
ITLOZSJ,O,X
ITJLSZO,X,X
ITJLSOZ,X,X
ITJLZSO,X,X
ITJLZOS,X,O
ITJLOSZ,X,X
ITJLOZS,X,O
ITJSLZO,X,X
