sequence,v115@EhC8IeA8CeA8EeE8DeB8Jex/IvhFlhBTkBilBXnB8s?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gBUiB2pBTmBys?BxwB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gB2pBxmB8sBas?BTrB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBxmB8sBzm?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhFRhB1pBmlBznBUs?B3rB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBTmBmnBUn?BxwB,v115@EhC8IeA8CeA8EeE8DeB8JeT/IvhFxgB2nBypB1rB3s?BUrB
IZTSJLO,X,X,O,O,X,X,X
IZTSJOL,X,X,O,O,X,X,X
IZTSOLJ,X,X,X,O,X,O,X
IZTSOJL,X,X,X,X,X,O,X
IZTOLJS,X,X,X,X,X,O,X
IZTOLSJ,X,X,X,O,X,O,X
IZTOJLS,X,X,X,X,X,O,X
IZTOJSL,X,X,X,X,X,O,X
IZTOSLJ,X,X,X,O,X,O,X
IZTOSJL,X,X,X,X,X,O,X
IZLTJSO,O,O,X,O,X,X,X
IZLTJOS,O,O,X,X,X,X,X
IZLTSJO,O,O,X,O,X,X,X
IZLTSOJ,O,O,X,O,X,X,X
IZLTOJS,O,X,X,X,X,X,X
IZLTOSJ,O,X,X,O,X,X,X
IZLJTSO,O,O,O,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,X
IZLSTJO,O,O,X,O,X,X,X
IZLSTOJ,O,O,X,O,X,X,X
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X
IZJTLSO,X,O,O,O,O,X,X
IZJTLOS,X,O,X,O,O,O,X
IZJTSLO,X,O,O,O,O,X,X
IZJTSOL,X,O,O,O,X,X,X
IZJTOLS,X,O,O,O,O,O,X
IZJTOSL,X,O,O,O,X,O,X
IZJLTSO,O,O,O,O,O,X,X
IZJLTOS,O,O,X,O,O,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X
IZJSTLO,O,O,O,O,O,X,X
IZJSTOL,O,O,O,O,X,X,X
IZJSLTO,O,O,O,O,X,X,X
IZJSLOT,O,O,X,X,X,X,X
IZJSOTL,O,O,O,O,X,X,X
IZJSOLT,O,O,O,X,X,X,X
IZJOTLS,O,O,O,O,O,O,X
IZJOTSL,O,O,O,O,X,O,X
IZJOLTS,O,O,O,X,X,X,X
IZJOLST,O,O,O,X,X,X,X
IZJOSTL,O,O,O,O,X,O,X
IZJOSLT,O,O,O,X,X,X,X
IZSTLJO,O,O,X,O,X,X,X
IZSTLOJ,O,O,X,O,X,O,X
IZSTJLO,X,X,O,O,X,X,X
IZSTJOL,X,X,O,O,X,X,X
IZSTOLJ,O,O,X,O,X,O,X
IZSTOJL,O,O,X,X,X,O,X
IZSLTJO,O,O,X,O,X,X,X
IZSLTOJ,O,O,X,O,X,X,X
IZSLJTO,O,O,O,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X
IZSJTLO,O,O,O,O,X,X,X
IZSJTOL,O,O,O,O,X,X,X
IZSJLTO,O,O,O,O,X,X,X
IZSJLOT,O,O,X,X,X,X,X
IZSJOTL,O,O,O,O,X,X,X
IZSJOLT,O,O,O,X,X,X,X
IZSOTLJ,O,O,X,O,X,O,X
IZSOTJL,O,O,O,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,O,O,X,X,O,X
IZSOJLT,O,O,O,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X
IZOTLSJ,O,X,X,O,X,O,X
IZOTJLS,O,O,O,X,X,O,X
IZOTJSL,O,O,O,X,X,O,X
IZOTSLJ,O,O,X,O,X,O,X
IZOTSJL,O,O,O,X,X,O,X
IZOLTJS,O,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X
IZOLJST,O,O,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X
IZOJTLS,O,O,O,X,X,O,X
IZOJTSL,O,O,O,X,X,O,X
IZOJLTS,O,O,O,X,X,X,X
IZOJLST,O,O,O,X,X,X,X
IZOJSTL,O,O,O,X,X,O,X
IZOJSLT,O,O,O,X,X,X,X
IZOSTLJ,O,O,X,O,X,O,X
IZOSTJL,O,O,O,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X
IZOSJTL,O,O,O,X,X,O,X
IZOSJLT,O,O,O,X,X,X,X
IOTLJSZ,O,O,X,X,O,O,X
IOTLJZS,O,O,X,X,O,O,X
IOTLSJZ,O,O,X,X,X,O,X
IOTLSZJ,O,O,X,X,X,O,X
IOTLZJS,O,O,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,O,O,X
IOTJLZS,O,O,X,X,O,O,X
IOTJSLZ,X,O,X,X,O,O,X
IOTJSZL,X,O,X,X,X,O,X
IOTJZLS,O,O,X,X,O,O,X
IOTJZSL,O,O,X,X,O,O,X
IOTSLJZ,X,O,X,X,X,O,X
IOTSLZJ,X,O,X,X,X,O,X
IOTSJLZ,X,O,X,X,X,O,X
IOTSJZL,X,O,X,X,X,O,X
IOTSZLJ,X,O,X,X,X,O,X
IOTSZJL,X,O,X,X,X,O,X
IOTZLJS,O,X,X,X,X,O,X
IOTZLSJ,O,X,X,X,X,O,X
IOTZJLS,O,O,X,X,O,O,X
IOTZJSL,O,O,X,X,O,O,X
IOTZSLJ,O,O,X,X,X,O,X
IOTZSJL,O,O,X,X,X,O,X
IOLTJSZ,O,O,X,X,X,O,X
IOLTJZS,O,O,X,X,X,O,X
IOLTSJZ,O,O,X,X,X,O,X
IOLTSZJ,O,O,X,X,X,O,X
IOLTZJS,O,O,X,X,X,O,X
IOLTZSJ,O,O,X,X,X,O,X
IOLJTSZ,O,O,X,X,X,O,X
IOLJTZS,O,O,X,X,X,O,X
IOLJSTZ,O,O,X,X,X,O,X
IOLJSZT,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X,X
IOLJZST,O,O,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,O,X
IOLSTZJ,O,O,X,X,X,O,X
IOLSJTZ,O,O,X,X,X,O,X
IOLSJZT,O,O,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X
IOLZJST,O,O,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X
IOJTLSZ,O,O,X,X,O,O,X
IOJTLZS,O,O,X,X,O,O,X
IOJTSLZ,X,O,X,X,O,O,X
IOJTSZL,X,O,O,X,X,O,X
IOJTZLS,O,O,O,X,O,O,X
IOJTZSL,O,O,O,X,O,O,X
IOJLTSZ,O,O,X,X,O,O,X
IOJLTZS,O,O,X,X,O,O,X
IOJLSTZ,O,O,X,X,X,O,X
IOJLSZT,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X
IOJLZST,O,O,X,X,X,X,X
IOJSTLZ,X,O,X,X,O,O,X
IOJSTZL,X,O,O,X,X,O,X
IOJSLTZ,O,O,X,X,X,O,X
IOJSLZT,O,O,X,X,X,X,X
IOJSZTL,O,O,O,X,X,O,X
IOJSZLT,O,O,O,X,X,X,X
IOJZTLS,O,O,O,X,O,O,X
IOJZTSL,O,O,O,X,O,O,X
IOJZLTS,O,O,O,X,O,X,X
IOJZLST,O,O,O,X,X,X,X
IOJZSTL,O,O,O,X,O,O,X
IOJZSLT,O,O,O,X,X,X,X
IOSTLJZ,X,O,X,X,X,O,X
IOSTLZJ,X,O,X,X,X,O,X
IOSTJLZ,X,O,X,X,X,O,X
IOSTJZL,X,O,X,X,X,O,X
IOSTZLJ,X,O,X,X,X,O,X
IOSTZJL,X,O,X,X,X,O,X
IOSLTJZ,O,O,X,X,X,O,X
IOSLTZJ,O,O,X,X,X,O,X
IOSLJTZ,O,O,X,X,X,O,X
IOSLJZT,O,O,X,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X
IOSJTLZ,X,O,X,X,X,O,X
IOSJTZL,X,O,O,X,X,O,X
IOSJLTZ,O,O,X,X,X,O,X
IOSJLZT,O,O,X,X,X,X,X
IOSJZTL,O,O,O,X,X,O,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,O,X
IOSZTJL,O,O,O,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,O,X,X,O,X
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,O,X,X,X,X,O,X
IOZTLSJ,O,X,X,X,X,O,X
IOZTJLS,O,O,O,X,O,O,X
IOZTJSL,O,O,O,X,O,O,X
IOZTSLJ,O,O,X,X,X,O,X
IOZTSJL,O,O,O,X,X,O,X
IOZLTJS,O,O,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X
IOZLJST,O,O,O,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,O,X,O,O,X
IOZJTSL,O,O,O,X,O,O,X
IOZJLTS,O,O,O,X,O,X,X
IOZJLST,O,O,O,X,X,X,X
IOZJSTL,O,O,O,X,O,O,X
IOZJSLT,O,O,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,O,X
IOZSTJL,O,O,O,X,X,O,X
IOZSLTJ,O,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,O,O,X,X,O,X
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,O,X,X,O,O,X,X
LTIJSOZ,O,X,X,X,O,O,X
LTIJZSO,O,X,X,O,O,X,X
LTIJZOS,O,X,X,O,O,O,X
LTIJOSZ,O,X,X,X,O,O,X
LTIJOZS,O,X,X,X,O,O,X
LTISJZO,O,X,X,O,X,X,X
LTISJOZ,O,X,X,X,X,O,X
LTISZJO,O,X,X,O,X,X,X
LTISZOJ,O,X,X,O,X,O,X
LTISOJZ,O,X,X,X,X,O,X
LTISOZJ,O,X,X,X,X,O,X
LTIZJSO,O,X,X,O,X,X,X
LTIZJOS,O,X,X,O,X,O,X
LTIZSJO,O,X,X,O,X,X,X
LTIZSOJ,O,X,X,O,X,O,X
LTIZOJS,O,X,X,X,X,O,X
LTIZOSJ,O,X,X,O,X,O,X
LTIOJSZ,O,X,X,X,O,O,X
LTIOJZS,O,X,X,X,O,O,X
LTIOSJZ,O,X,X,X,X,O,X
LTIOSZJ,O,X,X,X,X,O,X
LTIOZJS,O,X,X,X,X,O,X
LTIOZSJ,O,X,X,X,X,O,X
LTJISZO,O,O,X,O,O,X,X
LTJISOZ,O,O,X,X,O,O,X
LTJIZSO,O,O,X,O,O,X,X
LTJIZOS,O,O,X,O,O,O,X
LTJIOSZ,O,O,X,X,O,O,X
LTJIOZS,O,O,X,X,O,O,X
LTJSIZO,O,O,X,O,O,X,X
LTJSIOZ,O,O,X,X,O,O,X
LTJSZIO,X,O,X,O,O,X,X
LTJSZOI,X,O,X,O,X,X,X
LTJSOIZ,O,X,X,X,O,X,X
LTJSOZI,X,O,X,O,O,X,X
LTJZISO,O,O,X,O,O,X,X
LTJZIOS,O,O,X,O,O,O,X
LTJZSIO,O,O,X,O,O,X,X
LTJZSOI,O,O,X,O,X,X,X
LTJZOIS,O,O,X,O,O,X,X
LTJZOSI,O,O,X,O,O,X,X
LTJOISZ,O,O,X,X,O,O,X
LTJOIZS,O,O,X,X,O,O,X
LTJOSIZ,O,X,X,X,O,X,X
LTJOSZI,X,O,X,O,O,X,X
LTJOZIS,O,O,X,O,O,X,X
LTJOZSI,O,O,X,O,O,X,X
LTSIJZO,O,X,X,O,X,X,O
LTSIJOZ,O,X,X,X,X,O,O
LTSIZJO,O,O,X,O,X,X,O
LTSIZOJ,O,O,X,O,X,O,O
LTSIOJZ,O,X,X,X,X,O,O
LTSIOZJ,O,X,X,X,X,O,O
LTSJIZO,X,O,X,O,O,X,O
LTSJIOZ,X,X,X,X,O,O,O
LTSJZIO,X,O,X,O,O,X,O
LTSJZOI,X,O,X,O,X,X,O
LTSJOIZ,X,X,X,X,O,X,O
LTSJOZI,X,O,X,O,O,X,O
LTSZIJO,X,O,X,O,X,X,O
LTSZIOJ,X,O,X,O,X,O,O
LTSZJIO,X,O,X,O,X,X,O
LTSZJOI,X,O,X,O,X,X,O
LTSZOIJ,X,O,X,O,X,X,O
LTSZOJI,X,O,X,O,X,X,O
LTSOIJZ,O,X,X,X,X,O,O
LTSOIZJ,O,X,X,X,X,O,O
LTSOJIZ,X,X,X,X,O,X,O
LTSOJZI,X,X,X,O,O,X,O
LTSOZIJ,X,O,X,O,X,X,O
LTSOZJI,X,O,X,O,X,X,O
LTZIJSO,O,X,X,O,X,X,X
LTZIJOS,O,X,X,O,X,O,X
LTZISJO,O,X,X,O,X,X,X
LTZISOJ,O,X,X,O,X,O,X
LTZIOJS,O,X,X,X,X,O,X
LTZIOSJ,O,X,X,O,X,O,X
LTZJISO,O,O,X,O,O,X,X
LTZJIOS,O,O,X,O,O,O,X
LTZJSIO,O,O,X,O,O,X,X
LTZJSOI,O,O,X,O,X,X,X
LTZJOIS,O,O,X,O,O,X,X
LTZJOSI,O,O,X,O,O,X,X
LTZSIJO,O,O,X,O,X,X,X
LTZSIOJ,O,O,X,O,X,O,X
LTZSJIO,O,O,X,O,X,X,X
LTZSJOI,O,O,X,O,X,X,X
LTZSOIJ,O,O,X,O,X,X,X
LTZSOJI,O,O,X,O,X,X,X
LTZOIJS,O,X,X,X,X,X,X
LTZOISJ,O,X,X,O,X,X,X
LTZOJIS,O,X,X,O,O,X,X
LTZOJSI,O,X,X,O,O,X,X
LTZOSIJ,O,X,X,O,X,X,X
LTZOSJI,O,X,X,O,X,X,X
LTOIJSZ,O,X,X,X,O,O,X
LTOIJZS,O,X,X,X,O,O,X
LTOISJZ,O,X,X,X,X,O,X
LTOISZJ,O,X,X,X,X,O,X
LTOIZJS,O,X,X,X,X,O,X
LTOIZSJ,O,X,X,X,X,O,X
LTOJISZ,O,X,X,X,O,O,X
LTOJIZS,O,X,X,X,O,O,X
LTOJSIZ,O,X,X,X,O,X,X
LTOJSZI,X,X,X,O,O,X,X
LTOJZIS,O,X,X,O,O,X,X
LTOJZSI,O,X,X,O,O,X,X
LTOSIJZ,O,X,X,X,X,O,O
LTOSIZJ,O,X,X,X,X,O,O
LTOSJIZ,X,X,X,X,O,X,O
LTOSJZI,X,X,X,O,O,X,O
LTOSZIJ,X,X,X,O,X,X,O
LTOSZJI,X,X,X,O,X,X,O
LTOZIJS,O,X,X,X,X,X,X
LTOZISJ,O,X,X,O,X,X,X
LTOZJIS,O,X,X,O,O,X,X
LTOZJSI,O,X,X,O,O,X,X
LTOZSIJ,O,X,X,O,X,X,X
LTOZSJI,O,X,X,O,X,X,X
LITJSZO,O,O,X,X,X,X,X
LITJSOZ,O,O,X,X,X,O,X
LITJZSO,O,O,X,X,X,X,X
LITJZOS,O,O,X,X,X,O,X
LITJOSZ,O,O,X,X,X,O,X
LITJOZS,O,O,X,X,X,O,X
LITSJZO,O,O,X,X,X,X,X
LITSJOZ,O,O,X,X,X,O,X
LITSZJO,O,O,X,X,X,X,X
LITSZOJ,O,O,X,X,X,O,X
LITSOJZ,O,X,X,X,X,O,X
LITSOZJ,O,O,X,X,X,O,X
LITZJSO,O,O,X,X,X,X,X
LITZJOS,O,O,X,X,X,O,X
LITZSJO,O,O,X,X,X,X,X
LITZSOJ,O,O,X,X,X,O,X
LITZOJS,O,X,X,X,X,O,X
LITZOSJ,O,X,X,X,X,O,X
LITOJSZ,O,O,X,X,X,O,X
LITOJZS,O,O,X,X,X,O,X
LITOSJZ,O,O,X,X,X,O,X
LITOSZJ,O,O,X,X,X,O,X
LITOZJS,O,O,X,X,X,O,X
LITOZSJ,O,O,X,X,X,O,X
LIJTSZO,O,O,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,O,X
LIJTZSO,O,O,X,X,X,X,X
LIJTZOS,O,O,X,X,X,O,X
LIJTOSZ,O,O,X,X,X,O,X
LIJTOZS,O,O,X,X,X,O,X
LIJSTZO,O,O,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X,X
LIJSZTO,O,O,X,X,X,X,X
LIJSZOT,O,O,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,X
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,O,O,X,X,X,X,X
LIJZOST,O,O,X,X,X,X,X
LIJOTSZ,O,O,X,X,X,O,X
LIJOTZS,O,O,X,X,X,O,X
LIJOSTZ,O,O,X,X,X,O,X
LIJOSZT,O,O,X,X,X,X,X
LIJOZTS,O,O,X,X,X,X,X
LIJOZST,O,O,X,X,X,X,X
LISTJZO,O,O,X,X,X,X,O
LISTJOZ,O,O,X,X,X,O,O
LISTZJO,O,O,X,X,X,X,O
LISTZOJ,O,O,X,X,X,O,O
LISTOJZ,O,O,X,X,X,O,O
LISTOZJ,O,O,X,X,X,O,O
LISJTZO,O,O,X,X,X,X,O
LISJTOZ,O,O,X,X,X,X,O
LISJZTO,O,O,X,X,X,X,X
LISJZOT,O,O,X,X,X,X,O
LISJOTZ,X,O,X,X,X,X,O
LISJOZT,X,O,X,X,X,X,O
LISZTJO,O,O,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X
LISZJTO,O,O,X,X,X,X,X
LISZJOT,O,O,X,X,X,X,O
LISZOTJ,O,O,X,X,X,X,X
LISZOJT,X,O,X,X,X,X,O
LISOTJZ,X,O,X,X,X,O,O
LISOTZJ,X,O,X,X,X,O,O
LISOJTZ,X,O,X,X,X,O,O
LISOJZT,X,O,X,X,X,X,O
LISOZTJ,X,O,X,X,X,X,X
LISOZJT,X,O,X,X,X,X,O
LIZTJSO,O,O,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,O,O,X,X,X,X,X
LIZJSTO,O,O,X,X,X,X,X
LIZJSOT,O,O,X,X,X,X,X
LIZJOTS,O,O,X,X,X,X,X
LIZJOST,O,O,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X,X
LIZOJST,O,O,X,X,X,X,X
LIZOSTJ,O,O,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X
LIOTJSZ,O,O,X,X,X,O,X
LIOTJZS,O,O,X,X,X,O,X
LIOTSJZ,O,O,X,X,X,O,X
LIOTSZJ,O,O,X,X,X,O,X
LIOTZJS,O,O,X,X,X,O,X
LIOTZSJ,O,O,X,X,X,O,X
LIOJTSZ,O,O,X,X,X,O,X
LIOJTZS,O,O,X,X,X,O,X
LIOJSTZ,O,O,X,X,X,O,X
LIOJSZT,O,O,X,X,X,X,X
LIOJZTS,O,O,X,X,X,X,X
LIOJZST,O,O,X,X,X,X,X
LIOSTJZ,O,O,X,X,X,O,O
LIOSTZJ,O,O,X,X,X,O,O
LIOSJTZ,O,O,X,X,X,O,O
LIOSJZT,O,O,X,X,X,X,O
LIOSZTJ,O,O,X,X,X,X,X
LIOSZJT,O,O,X,X,X,X,O
LIOZTJS,O,O,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X
LIOZJTS,O,O,X,X,X,X,X
LIOZJST,O,O,X,X,X,X,X
LIOZSTJ,O,O,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X
LJTISZO,O,O,X,O,O,X,X
LJTISOZ,O,O,X,X,O,O,X
LJTIZSO,O,O,X,O,O,X,X
LJTIZOS,O,O,X,O,O,O,X
LJTIOSZ,O,O,X,X,O,O,X
LJTIOZS,O,O,X,X,O,O,X
LJTSIZO,O,O,X,O,O,X,X
LJTSIOZ,O,O,X,X,O,O,X
LJTSZIO,X,O,O,O,O,X,X
LJTSZOI,X,O,O,O,X,X,X
LJTSOIZ,O,X,X,X,O,X,X
LJTSOZI,X,O,O,O,O,X,X
LJTZISO,O,O,O,O,O,X,X
LJTZIOS,O,O,X,O,O,O,X
LJTZSIO,O,O,O,O,O,X,X
LJTZSOI,O,O,O,O,X,X,X
LJTZOIS,O,O,O,O,O,X,X
LJTZOSI,O,O,O,O,O,X,X
LJTOISZ,O,O,X,X,O,O,X
LJTOIZS,O,O,X,X,O,O,X
LJTOSIZ,O,X,X,X,O,X,X
LJTOSZI,X,O,O,O,O,X,X
LJTOZIS,O,O,O,O,O,X,X
LJTOZSI,O,O,O,O,O,X,X
LJITSZO,O,O,X,X,O,X,X
LJITSOZ,O,O,X,X,O,O,X
LJITZSO,O,O,X,X,O,X,X
LJITZOS,O,O,X,X,O,O,X
LJITOSZ,O,O,X,X,O,O,X
LJITOZS,O,O,X,X,O,O,X
LJISTZO,O,O,X,X,X,X,X
LJISTOZ,O,O,X,X,X,X,X
LJISZTO,O,O,X,X,X,X,X
LJISZOT,O,O,X,X,X,X,X
LJISOTZ,X,O,X,X,X,X,X
LJISOZT,X,O,X,X,X,X,X
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,X,X,X,X,X
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,O,O,X,X,X,X,X
LJIZOST,O,O,X,X,X,X,X
LJIOTSZ,O,O,X,X,X,O,X
LJIOTZS,O,O,X,X,X,O,X
LJIOSTZ,O,O,X,X,X,O,X
LJIOSZT,O,O,X,X,X,X,X
LJIOZTS,O,O,X,X,X,X,X
LJIOZST,O,O,X,X,X,X,X
LJSTIZO,O,O,X,O,X,X,O
LJSTIOZ,O,O,X,X,X,X,O
LJSTZIO,X,O,O,O,X,X,O
LJSTZOI,X,O,O,O,X,X,O
LJSTOIZ,O,X,X,X,X,X,O
LJSTOZI,X,O,O,O,X,X,O
LJSITZO,O,O,X,X,X,X,O
LJSITOZ,O,O,X,X,X,X,O
LJSIZTO,O,O,X,X,X,X,X
LJSIZOT,O,O,X,X,X,X,O
LJSIOTZ,X,O,X,X,X,X,O
LJSIOZT,X,O,X,X,X,X,O
LJSZTIO,O,O,O,O,X,X,O
LJSZTOI,O,O,O,O,X,X,O
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,X,X,X,X,X,O
LJSZOTI,O,O,O,X,X,X,O
LJSZOIT,O,X,O,X,X,X,O
LJSOTIZ,O,X,X,X,X,X,O
LJSOTZI,X,O,O,X,X,X,O
LJSOITZ,O,X,X,X,X,X,O
LJSOIZT,O,X,X,X,X,X,O
LJSOZTI,O,O,O,X,X,X,O
LJSOZIT,O,X,O,X,X,X,O
LJZTISO,O,O,O,O,O,X,X
LJZTIOS,O,O,X,O,O,X,X
LJZTSIO,O,O,O,O,O,X,X
LJZTSOI,O,O,O,O,X,X,X
LJZTOIS,O,O,O,O,O,X,X
LJZTOSI,O,O,O,O,X,X,X
LJZITSO,O,O,O,O,O,X,X
LJZITOS,O,O,X,O,O,X,X
LJZISTO,O,O,O,O,X,X,X
LJZISOT,O,X,X,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X
LJZIOST,O,X,X,X,X,X,X
LJZSTIO,O,O,O,O,X,X,X
LJZSTOI,O,O,O,O,X,X,X
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,X,X,X,X,X,X
LJZSOTI,O,O,O,X,X,X,X
LJZSOIT,O,X,O,X,X,X,X
LJZOTIS,O,O,O,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X
LJZOITS,O,X,O,X,X,X,X
LJZOIST,O,X,O,X,X,X,X
LJZOSTI,O,O,O,X,X,X,X
LJZOSIT,O,X,O,X,X,X,X
LJOTISZ,O,O,X,X,O,X,X
LJOTIZS,O,O,X,X,O,X,X
LJOTSIZ,O,X,X,X,O,X,X
LJOTSZI,X,O,O,X,O,X,X
LJOTZIS,O,O,O,X,O,X,X
LJOTZSI,O,O,O,X,O,X,X
LJOITSZ,O,X,X,X,O,X,X
LJOITZS,O,X,X,X,O,X,X
LJOISTZ,O,X,X,X,X,X,X
LJOISZT,O,X,X,X,X,X,X
LJOIZTS,O,X,X,X,X,X,X
LJOIZST,O,X,X,X,X,X,X
LJOSTIZ,O,X,X,X,X,X,O
LJOSTZI,X,O,O,X,X,X,O
LJOSITZ,O,X,X,X,X,X,O
LJOSIZT,O,X,X,X,X,X,O
LJOSZTI,O,O,O,X,X,X,O
LJOSZIT,O,X,O,X,X,X,O
LJOZTIS,O,O,O,X,O,X,X
LJOZTSI,O,O,O,X,O,X,X
LJOZITS,O,X,O,X,O,X,X
LJOZIST,O,X,O,X,X,X,X
LJOZSTI,O,O,O,X,X,X,X
LJOZSIT,O,X,O,X,X,X,X
LSTIJZO,O,O,X,O,X,X,O
LSTIJOZ,O,X,X,X,X,O,O
LSTIZJO,O,O,X,O,X,X,O
LSTIZOJ,O,O,X,O,X,O,O
LSTIOJZ,O,O,X,X,X,O,O
LSTIOZJ,O,O,X,X,X,O,O
LSTJIZO,X,O,X,O,X,X,O
LSTJIOZ,X,X,X,X,X,O,O
LSTJZIO,X,O,X,O,X,X,O
LSTJZOI,X,O,X,O,X,X,O
LSTJOIZ,X,X,X,X,X,X,O
LSTJOZI,X,O,X,O,X,X,O
LSTZIJO,X,O,X,O,X,X,O
LSTZIOJ,X,O,X,O,X,O,O
LSTZJIO,X,O,X,O,X,X,O
LSTZJOI,X,O,X,O,X,X,O
LSTZOIJ,X,O,X,O,X,X,O
LSTZOJI,X,O,X,O,X,X,O
LSTOIJZ,O,X,X,X,X,O,O
LSTOIZJ,O,X,X,X,X,O,O
LSTOJIZ,X,X,X,X,X,X,O
LSTOJZI,X,X,X,O,X,X,O
LSTOZIJ,X,O,X,O,X,X,O
LSTOZJI,X,O,X,O,X,X,O
LSITJZO,O,O,X,X,X,X,O
LSITJOZ,O,O,X,X,X,O,O
LSITZJO,O,O,X,X,X,X,O
LSITZOJ,O,O,X,X,X,O,O
LSITOJZ,O,O,X,X,X,O,O
LSITOZJ,O,O,X,X,X,O,O
