sequence,v115@LhC8HeB8BeB8DeE8JeT/IvhF/lBRhBunBcoBlpByvB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBqnBTjB/pB0lB2vB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBGjBfrBznBlpBUqB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBunBcoB/pBTlByvB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBWoBFlBXoB0pBzqB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBunBcoB1pBzqBXqB,v115@LhC8HeB8BeB8DeE8JeWIJvhFxkBTkB0lBXoBVvBirB
IZTOLJS,X,X,O,X,O,O,X
IZTOLSJ,X,X,X,X,X,O,X
IZTOJLS,X,X,O,X,O,O,X
IZTOJSL,O,X,X,X,X,O,X
IZTOSLJ,O,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,O,X
IZLTJSO,O,X,X,O,O,X,X
IZLTJOS,O,X,X,O,O,X,X
IZLTSJO,O,X,X,O,O,X,X
IZLTSOJ,O,X,X,O,X,X,X
IZLTOJS,O,X,X,O,O,X,X
IZLTOSJ,O,X,X,O,X,X,X
IZLJTSO,O,X,X,O,O,X,X
IZLJTOS,O,X,X,O,O,X,X
IZLJSTO,O,O,X,O,X,X,X
IZLJSOT,O,O,X,O,X,X,X
IZLJOTS,X,X,X,O,X,O,X
IZLJOST,O,O,X,O,X,X,X
IZLSTJO,O,X,X,O,X,X,X
IZLSTOJ,O,O,X,O,X,X,X
IZLSJTO,O,X,X,O,X,X,X
IZLSJOT,O,X,X,O,X,X,X
IZLSOTJ,O,O,X,O,X,X,X
IZLSOJT,O,X,X,O,X,X,X
IZLOTJS,X,X,X,O,X,O,X
IZLOTSJ,X,X,X,O,X,O,X
IZLOJTS,X,X,X,O,X,O,X
IZLOJST,O,O,X,O,X,X,X
IZLOSTJ,O,O,X,O,X,X,X
IZLOSJT,O,X,X,O,X,X,X
IZJTLSO,O,X,O,O,O,X,X
IZJTLOS,X,X,O,O,O,X,X
IZJTSLO,O,X,X,O,O,X,X
IZJTSOL,O,X,X,O,X,X,X
IZJTOLS,X,X,X,X,O,O,X
IZJTOSL,O,X,X,X,X,O,X
IZJLTSO,O,X,X,O,O,X,X
IZJLTOS,O,X,X,O,O,X,X
IZJLSTO,O,O,X,O,X,X,X
IZJLSOT,O,O,X,O,X,X,X
IZJLOTS,X,X,X,O,X,O,X
IZJLOST,O,O,X,O,X,X,X
IZJSTLO,X,O,O,O,O,X,X
IZJSTOL,X,X,X,O,X,X,X
IZJSLTO,O,O,X,O,X,X,X
IZJSLOT,O,O,X,O,X,X,X
IZJSOTL,X,X,X,O,X,O,X
IZJSOLT,X,X,X,O,X,X,X
IZJOTLS,X,X,X,X,O,O,X
IZJOTSL,X,X,X,X,O,O,X
IZJOLTS,X,X,X,O,O,O,X
IZJOLST,O,X,X,O,X,X,X
IZJOSTL,X,X,X,O,O,O,X
IZJOSLT,X,X,X,O,X,X,X
IZSTLJO,X,X,O,O,O,X,X
IZSTLOJ,X,O,O,O,X,X,X
IZSTJLO,X,X,O,O,O,X,X
IZSTJOL,X,X,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,X,X
IZSTOJL,X,X,O,O,X,X,X
IZSLTJO,O,X,X,O,X,X,X
IZSLTOJ,O,O,X,O,X,X,X
IZSLJTO,O,X,X,O,X,X,X
IZSLJOT,O,X,X,O,X,X,X
IZSLOTJ,O,O,X,O,X,X,X
IZSLOJT,O,X,X,O,X,X,X
IZSJTLO,X,X,O,O,O,X,X
IZSJTOL,X,X,X,O,X,X,X
IZSJLTO,O,X,X,O,X,X,X
IZSJLOT,O,X,X,O,X,X,X
IZSJOTL,X,X,X,O,X,O,X
IZSJOLT,X,X,X,O,X,X,X
IZSOTLJ,X,X,O,X,X,O,X
IZSOTJL,X,X,O,O,X,O,X
IZSOLTJ,X,X,X,O,X,X,X
IZSOLJT,X,X,X,O,X,X,X
IZSOJTL,X,X,O,O,X,O,X
IZSOJLT,X,X,X,O,X,X,X
IZOTLJS,X,X,O,X,O,O,X
IZOTLSJ,X,X,X,X,O,O,X
IZOTJLS,X,X,O,X,O,O,X
IZOTJSL,X,X,X,X,O,O,X
IZOTSLJ,X,X,X,X,O,O,X
IZOTSJL,X,X,X,X,O,O,X
IZOLTJS,X,X,X,O,O,O,X
IZOLTSJ,X,X,X,O,O,O,X
IZOLJTS,X,X,X,O,O,O,X
IZOLJST,O,X,X,O,X,X,X
IZOLSTJ,O,X,X,O,X,X,X
IZOLSJT,O,X,X,O,X,X,X
IZOJTLS,X,X,O,X,O,O,X
IZOJTSL,X,X,X,X,O,O,X
IZOJLTS,X,X,X,O,O,O,X
IZOJLST,O,X,X,O,X,X,X
IZOJSTL,X,X,O,O,O,O,X
IZOJSLT,X,X,X,O,X,X,X
IZOSTLJ,X,X,O,X,O,O,X
IZOSTJL,X,X,O,O,O,O,X
IZOSLTJ,X,X,X,O,X,X,X
IZOSLJT,X,X,X,O,X,X,X
IZOSJTL,X,X,O,O,O,O,X
IZOSJLT,X,X,X,O,X,X,X
IOTLJSZ,X,X,O,X,O,X,X
IOTLJZS,X,X,O,X,O,O,X
IOTLSJZ,X,X,O,X,O,X,X
IOTLSZJ,X,X,X,X,X,O,X
IOTLZJS,X,X,O,X,O,O,X
IOTLZSJ,X,X,X,X,X,O,X
IOTJLSZ,X,X,O,X,O,X,X
IOTJLZS,X,X,O,X,O,O,X
IOTJSLZ,X,X,O,X,O,X,X
IOTJSZL,X,X,O,X,X,X,X
IOTJZLS,X,X,O,X,O,O,X
IOTJZSL,X,X,X,X,O,O,X
IOTSLJZ,X,X,O,X,O,X,X
IOTSLZJ,X,X,O,X,X,O,X
IOTSJLZ,X,X,O,X,O,X,X
IOTSJZL,X,X,O,X,X,X,X
IOTSZLJ,X,X,O,X,X,O,X
IOTSZJL,X,X,O,X,X,O,X
IOTZLJS,X,X,O,X,O,O,X
IOTZLSJ,X,X,X,X,O,O,X
IOTZJLS,X,X,O,X,O,O,X
IOTZJSL,X,X,X,X,O,O,X
IOTZSLJ,X,X,X,X,O,O,X
IOTZSJL,X,X,X,X,O,O,X
IOLTJSZ,X,O,O,X,O,X,X
IOLTJZS,X,X,O,X,O,O,X
IOLTSJZ,X,O,O,O,O,X,X
IOLTSZJ,X,O,X,O,X,O,X
IOLTZJS,X,X,O,O,O,O,X
IOLTZSJ,X,X,X,O,X,O,X
IOLJTSZ,X,O,O,X,O,X,X
IOLJTZS,X,X,O,X,O,X,X
IOLJSTZ,X,O,O,O,X,X,X
IOLJSZT,X,O,X,O,X,X,X
IOLJZTS,X,O,X,O,O,X,X
IOLJZST,X,O,X,O,X,X,X
IOLSTJZ,O,O,O,O,X,X,X
IOLSTZJ,O,O,O,O,X,X,X
IOLSJTZ,X,O,O,O,X,X,X
IOLSJZT,X,O,X,O,X,X,X
IOLSZTJ,O,O,X,O,X,X,X
IOLSZJT,O,X,X,O,X,X,X
IOLZTJS,X,X,X,O,O,O,X
IOLZTSJ,X,X,X,O,O,O,X
IOLZJTS,X,X,X,O,O,O,X
IOLZJST,O,O,X,O,X,X,X
IOLZSTJ,O,O,X,O,X,X,X
IOLZSJT,O,X,X,O,X,X,X
IOJTLSZ,X,X,O,X,O,X,X
IOJTLZS,X,X,O,X,O,O,X
IOJTSLZ,X,X,O,X,O,X,X
IOJTSZL,X,X,O,X,X,X,X
IOJTZLS,X,X,O,X,O,O,X
IOJTZSL,X,X,X,X,O,O,X
IOJLTSZ,X,O,O,X,O,X,X
IOJLTZS,X,X,O,X,O,X,X
IOJLSTZ,X,O,O,X,X,X,X
IOJLSZT,X,O,X,X,X,X,X
IOJLZTS,X,O,X,X,O,X,X
IOJLZST,X,O,X,X,X,X,X
IOJSTLZ,X,O,O,X,O,X,X
IOJSTZL,X,O,O,X,X,X,X
IOJSLTZ,X,O,O,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X
IOJSZTL,X,O,O,X,O,X,X
IOJSZLT,X,O,X,X,X,X,X
IOJZTLS,X,X,O,X,O,O,X
IOJZTSL,X,X,X,X,O,O,X
IOJZLTS,X,O,X,X,O,O,X
IOJZLST,X,O,X,X,X,X,X
IOJZSTL,X,O,O,X,O,O,X
IOJZSLT,X,O,X,X,X,X,X
IOSTLJZ,X,O,O,X,O,X,X
IOSTLZJ,X,O,O,X,X,O,X
IOSTJLZ,X,O,O,X,O,X,X
IOSTJZL,X,O,O,X,X,X,X
IOSTZLJ,X,X,O,X,X,O,X
IOSTZJL,X,X,O,O,X,O,X
IOSLTJZ,X,O,O,X,X,X,X
IOSLTZJ,X,O,O,O,X,X,X
IOSLJTZ,X,O,O,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,X
IOSLZJT,X,X,X,O,X,X,X
IOSJTLZ,X,O,O,X,O,X,X
IOSJTZL,X,O,O,X,X,X,X
IOSJLTZ,X,O,O,X,X,X,X
IOSJLZT,X,O,X,X,X,X,X
IOSJZTL,X,O,O,X,O,X,X
IOSJZLT,X,O,X,X,X,X,X
IOSZTLJ,X,X,O,X,O,O,X
IOSZTJL,X,X,O,O,O,O,X
IOSZLTJ,X,X,X,O,X,X,X
IOSZLJT,X,X,X,O,X,X,X
IOSZJTL,X,X,O,O,O,O,X
IOSZJLT,X,X,X,O,X,X,X
IOZTLJS,X,X,O,X,O,O,X
IOZTLSJ,X,X,X,X,O,O,X
IOZTJLS,X,X,O,X,O,O,X
IOZTJSL,X,X,X,X,O,O,X
IOZTSLJ,X,X,X,X,O,O,X
IOZTSJL,X,X,X,X,O,O,X
IOZLTJS,X,X,X,O,O,O,X
IOZLTSJ,X,X,X,O,O,O,X
IOZLJTS,X,X,X,O,O,O,X
IOZLJST,O,X,X,O,X,X,X
IOZLSTJ,O,X,X,O,X,X,X
IOZLSJT,O,X,X,O,X,X,X
IOZJTLS,X,X,O,X,O,O,X
IOZJTSL,X,X,X,X,O,O,X
IOZJLTS,X,X,X,O,O,O,X
IOZJLST,O,X,X,O,X,X,X
IOZJSTL,X,X,O,O,O,O,X
IOZJSLT,X,X,X,O,X,X,X
IOZSTLJ,X,X,O,X,O,O,X
IOZSTJL,X,X,O,O,O,O,X
IOZSLTJ,X,X,X,O,X,X,X
IOZSLJT,X,X,X,O,X,X,X
IOZSJTL,X,X,O,O,O,O,X
IOZSJLT,X,X,X,O,X,X,X
LTIJSZO,X,O,O,X,X,X,O
LTIJSOZ,X,O,O,X,X,X,O
LTIJZSO,X,X,O,X,X,X,O
LTIJZOS,X,X,O,X,X,X,O
LTIJOSZ,X,O,O,X,X,X,O
LTIJOZS,X,X,O,X,X,X,O
LTISJZO,O,X,O,O,X,X,X
LTISJOZ,O,O,O,X,X,X,X
LTISZJO,O,X,X,O,X,X,X
LTISZOJ,O,O,X,O,X,X,X
LTISOJZ,O,O,O,X,X,X,X
LTISOZJ,O,O,X,O,X,X,X
LTIZJSO,O,X,O,O,X,X,X
LTIZJOS,O,X,O,O,X,X,X
LTIZSJO,O,X,X,O,X,X,X
LTIZSOJ,O,X,X,O,X,X,X
LTIZOJS,O,X,O,O,X,X,X
LTIZOSJ,O,X,X,O,X,X,X
LTIOJSZ,X,O,O,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X
LTIOSJZ,O,O,O,O,X,X,X
LTIOSZJ,O,O,X,O,X,X,X
LTIOZJS,O,X,O,O,X,X,X
LTIOZSJ,O,X,X,O,X,X,X
LTJISZO,X,O,O,X,X,X,O
LTJISOZ,X,O,O,X,X,X,O
LTJIZSO,X,X,O,X,X,X,O
LTJIZOS,X,X,O,X,X,X,O
LTJIOSZ,X,O,O,X,X,X,O
LTJIOZS,X,X,O,X,X,X,O
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X
LTJSOZI,O,O,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X
LTJZSIO,O,O,X,X,X,X,X
LTJZSOI,O,O,X,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X
LTJOISZ,X,O,O,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X
LTJOSZI,O,O,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,X,X,X,X
LTSIZJO,O,X,O,O,X,X,X
LTSIZOJ,O,O,O,O,X,X,X
LTSIOJZ,O,O,O,X,X,X,X
LTSIOZJ,O,O,O,O,X,X,X
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,X,X,X,X
LTSJZIO,O,O,O,O,X,X,X
LTSJZOI,O,O,X,O,X,X,X
LTSJOIZ,O,O,O,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X
LTSZIJO,O,X,O,O,X,X,X
LTSZIOJ,O,O,O,O,X,X,X
LTSZJIO,O,O,O,O,X,X,X
LTSZJOI,O,O,X,O,X,X,X
LTSZOIJ,O,O,O,O,X,X,X
LTSZOJI,O,O,O,O,X,X,X
LTSOIJZ,O,O,O,O,X,X,X
LTSOIZJ,O,O,O,O,X,X,X
LTSOJIZ,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,X,X,X
LTZIJSO,O,X,O,O,X,X,X
LTZIJOS,O,X,O,O,X,X,X
LTZISJO,O,X,X,O,X,X,X
LTZISOJ,O,X,X,O,X,X,X
LTZIOJS,O,X,O,O,X,X,X
LTZIOSJ,O,X,X,O,X,X,X
LTZJISO,O,X,O,O,X,X,X
LTZJIOS,O,X,O,O,X,X,X
LTZJSIO,O,X,X,O,X,X,X
LTZJSOI,O,X,X,O,X,X,X
LTZJOIS,O,X,X,O,X,X,X
LTZJOSI,O,X,X,O,X,X,X
LTZSIJO,O,X,X,O,X,X,X
LTZSIOJ,O,X,X,O,X,X,X
LTZSJIO,O,X,X,O,X,X,X
LTZSJOI,O,X,X,O,X,X,X
LTZSOIJ,O,X,X,O,X,X,X
LTZSOJI,O,X,X,O,X,X,X
LTZOIJS,O,X,O,O,X,X,X
LTZOISJ,O,X,X,O,X,X,X
LTZOJIS,O,X,O,O,X,X,X
LTZOJSI,O,X,X,O,X,X,X
LTZOSIJ,O,X,X,O,X,X,X
LTZOSJI,O,X,X,O,X,X,X
LTOIJSZ,X,O,O,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X
LTOISJZ,O,O,O,O,X,X,X
LTOISZJ,O,O,X,O,X,X,X
LTOIZJS,O,X,O,O,X,X,X
LTOIZSJ,O,X,X,O,X,X,X
LTOJISZ,X,O,O,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,X
LTOJSZI,O,O,O,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X
LTOSIJZ,O,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,X,X,X
LTOSJIZ,O,O,O,O,X,X,X
LTOSJZI,O,O,O,O,X,X,X
LTOSZIJ,O,O,O,O,X,X,X
LTOSZJI,O,O,O,O,X,X,X
LTOZIJS,O,X,O,O,X,X,X
LTOZISJ,O,X,X,O,X,X,X
LTOZJIS,O,X,O,O,X,X,X
LTOZJSI,O,X,X,O,X,X,X
LTOZSIJ,O,X,X,O,X,X,X
LTOZSJI,O,X,X,O,X,X,X
LITJSZO,X,O,O,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X
LITJZSO,X,X,O,X,X,X,X
LITJZOS,X,X,O,X,X,X,X
LITJOSZ,X,O,O,X,X,X,X
LITJOZS,X,X,O,X,X,X,X
LITSJZO,O,X,O,O,X,X,X
LITSJOZ,O,O,O,X,X,X,X
LITSZJO,O,X,X,O,X,X,X
LITSZOJ,O,O,X,O,X,X,X
LITSOJZ,O,O,O,X,X,X,X
LITSOZJ,O,O,X,O,X,X,X
LITZJSO,O,X,O,O,X,X,X
LITZJOS,O,X,O,O,X,X,X
LITZSJO,O,X,X,O,X,X,X
LITZSOJ,O,X,X,O,X,X,X
LITZOJS,O,X,O,O,X,X,X
LITZOSJ,O,X,X,O,X,X,X
LITOJSZ,X,O,O,X,X,X,X
LITOJZS,X,X,O,X,X,X,X
LITOSJZ,O,O,O,O,X,X,X
LITOSZJ,O,O,X,O,X,X,X
LITOZJS,O,X,O,O,X,X,X
LITOZSJ,O,X,X,O,X,X,X
LIJTSZO,X,O,O,X,X,X,X
LIJTSOZ,X,O,O,X,X,X,X
LIJTZSO,X,X,O,X,X,X,X
LIJTZOS,X,X,O,X,X,X,X
LIJTOSZ,X,O,O,X,X,X,X
LIJTOZS,X,X,O,X,X,X,X
LIJSTZO,O,O,O,O,X,X,X
LIJSTOZ,O,O,O,X,X,X,X
LIJSZTO,O,O,X,O,X,X,X
LIJSZOT,O,O,X,O,X,X,X
LIJSOTZ,X,O,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,X
LIJZTSO,O,O,X,O,O,X,X
LIJZTOS,X,O,X,O,O,X,X
LIJZSTO,O,O,X,O,X,X,X
LIJZSOT,O,O,X,O,X,X,X
LIJZOTS,X,O,X,O,X,X,X
LIJZOST,O,O,X,O,X,X,X
LIJOTSZ,X,O,X,X,O,X,X
LIJOTZS,X,X,X,X,O,X,X
LIJOSTZ,X,O,X,O,X,X,X
LIJOSZT,X,O,X,O,X,X,X
LIJOZTS,X,O,X,O,O,X,X
LIJOZST,X,O,X,O,X,X,X
LISTJZO,O,O,O,O,X,X,X
LISTJOZ,O,O,O,X,X,X,X
LISTZJO,O,X,O,O,X,X,X
LISTZOJ,O,O,O,O,X,X,X
LISTOJZ,O,O,O,X,X,X,X
LISTOZJ,O,O,O,O,X,X,X
LISJTZO,O,O,O,O,X,X,X
LISJTOZ,O,O,O,X,X,X,X
LISJZTO,O,O,X,O,X,X,X
LISJZOT,O,O,X,O,X,X,X
LISJOTZ,X,O,X,X,X,X,X
LISJOZT,X,O,X,X,X,X,X
LISZTJO,O,X,X,O,X,X,X
LISZTOJ,O,O,X,O,X,X,X
LISZJTO,O,X,X,O,X,X,X
LISZJOT,O,X,X,O,X,X,X
LISZOTJ,O,O,X,O,X,X,X
LISZOJT,O,X,X,O,X,X,X
LISOTJZ,O,O,O,O,X,X,X
LISOTZJ,O,O,O,O,X,X,X
LISOJTZ,X,O,O,O,X,X,X
LISOJZT,X,O,X,O,X,X,X
LISOZTJ,O,O,X,O,X,X,X
LISOZJT,O,X,X,O,X,X,X
LIZTJSO,O,X,X,O,O,X,X
LIZTJOS,O,X,X,O,O,X,X
LIZTSJO,O,X,X,O,O,X,X
LIZTSOJ,O,X,X,O,X,X,X
LIZTOJS,O,X,X,O,O,X,X
LIZTOSJ,O,X,X,O,X,X,X
LIZJTSO,O,X,X,O,O,X,X
LIZJTOS,O,X,X,O,O,X,X
LIZJSTO,O,O,X,O,X,X,X
LIZJSOT,O,O,X,O,X,X,X
LIZJOTS,X,X,X,O,X,O,X
LIZJOST,O,O,X,O,X,X,X
LIZSTJO,O,X,X,O,X,X,X
LIZSTOJ,O,O,X,O,X,X,X
LIZSJTO,O,X,X,O,X,X,X
LIZSJOT,O,X,X,O,X,X,X
LIZSOTJ,O,O,X,O,X,X,X
LIZSOJT,O,X,X,O,X,X,X
LIZOTJS,X,X,X,O,X,O,X
LIZOTSJ,X,X,X,O,X,O,X
LIZOJTS,X,X,X,O,X,O,X
LIZOJST,O,O,X,O,X,X,X
LIZOSTJ,O,O,X,O,X,X,X
LIZOSJT,O,X,X,O,X,X,X
LIOTJSZ,X,O,O,X,O,X,X
LIOTJZS,X,X,O,X,O,O,X
LIOTSJZ,X,O,O,O,O,X,X
LIOTSZJ,X,O,X,O,X,O,X
LIOTZJS,X,X,O,O,O,O,X
LIOTZSJ,X,X,X,O,X,O,X
LIOJTSZ,X,O,O,X,O,X,X
LIOJTZS,X,X,O,X,O,X,X
LIOJSTZ,X,O,O,O,X,X,X
LIOJSZT,X,O,X,O,X,X,X
LIOJZTS,X,O,X,O,O,X,X
LIOJZST,X,O,X,O,X,X,X
LIOSTJZ,O,O,O,O,X,X,X
LIOSTZJ,O,O,O,O,X,X,X
LIOSJTZ,X,O,O,O,X,X,X
LIOSJZT,X,O,X,O,X,X,X
LIOSZTJ,O,O,X,O,X,X,X
LIOSZJT,O,X,X,O,X,X,X
LIOZTJS,X,X,X,O,O,O,X
LIOZTSJ,X,X,X,O,O,O,X
LIOZJTS,X,X,X,O,O,O,X
LIOZJST,O,O,X,O,X,X,X
LIOZSTJ,O,O,X,O,X,X,X
LIOZSJT,O,X,X,O,X,X,X
LJTISZO,X,O,O,X,X,X,O
LJTISOZ,X,O,O,X,X,X,O
LJTIZSO,X,X,O,X,X,X,O
LJTIZOS,X,X,O,X,X,X,O
LJTIOSZ,X,O,O,X,X,X,O
LJTIOZS,X,X,O,X,X,X,O
LJTSIZO,O,O,O,X,X,X,X
LJTSIOZ,O,O,O,X,X,X,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,X,X,X,X,X
LJTSOIZ,O,O,O,X,X,X,X
LJTSOZI,O,O,X,X,X,X,X
LJTZISO,O,O,O,X,X,X,X
LJTZIOS,O,O,O,X,X,X,X
LJTZSIO,O,O,X,X,X,X,X
LJTZSOI,O,O,X,X,X,X,X
LJTZOIS,O,O,X,X,X,X,X
LJTZOSI,O,O,X,X,X,X,X
LJTOISZ,X,O,O,X,X,X,X
LJTOIZS,X,X,O,X,X,X,X
LJTOSIZ,O,O,X,X,X,X,X
LJTOSZI,O,O,X,X,X,X,X
LJTOZIS,O,O,X,X,X,X,X
LJTOZSI,O,O,X,X,X,X,X
LJITSZO,X,O,O,X,X,X,X
LJITSOZ,X,O,O,X,X,X,X
LJITZSO,X,X,O,X,X,X,X
LJITZOS,X,X,O,X,X,X,X
LJITOSZ,X,O,O,X,X,X,X
LJITOZS,X,X,O,X,X,X,X
LJISTZO,O,O,O,O,X,X,X
LJISTOZ,O,O,O,X,X,X,X
LJISZTO,O,O,X,O,X,X,X
LJISZOT,O,O,X,O,X,X,X
LJISOTZ,X,O,X,X,X,X,X
LJISOZT,X,O,X,X,X,X,X
LJIZTSO,O,O,X,O,O,X,X
LJIZTOS,X,O,X,O,O,X,X
LJIZSTO,O,O,X,O,X,X,X
LJIZSOT,O,O,X,O,X,X,X
LJIZOTS,X,O,X,O,X,X,X
LJIZOST,O,O,X,O,X,X,X
LJIOTSZ,X,O,X,X,O,X,X
LJIOTZS,X,X,X,X,O,X,X
LJIOSTZ,X,O,X,O,X,X,X
LJIOSZT,X,O,X,O,X,X,X
LJIOZTS,X,O,X,O,O,X,X
LJIOZST,X,O,X,O,X,X,X
LJSTIZO,O,O,O,O,X,X,X
LJSTIOZ,O,O,O,X,X,X,X
LJSTZIO,O,O,O,O,X,X,X
LJSTZOI,O,O,X,O,X,X,X
LJSTOIZ,O,O,O,X,X,X,X
LJSTOZI,O,O,X,X,X,X,X
LJSITZO,O,O,O,O,X,X,X
LJSITOZ,O,O,O,X,X,X,X
LJSIZTO,O,O,X,O,X,X,X
LJSIZOT,O,O,X,O,X,X,X
LJSIOTZ,X,O,X,X,X,X,X
LJSIOZT,X,O,X,X,X,X,X
LJSZTIO,O,O,X,O,X,X,X
LJSZTOI,O,O,X,O,X,X,X
LJSZITO,O,O,X,O,X,X,X
LJSZIOT,O,O,X,O,X,X,X
LJSZOTI,O,O,X,O,X,X,X
LJSZOIT,O,O,X,O,X,X,X
LJSOTIZ,X,O,X,O,X,X,X
LJSOTZI,X,O,X,O,X,X,X
LJSOITZ,X,O,X,O,X,X,X
LJSOIZT,X,O,X,O,X,X,X
LJSOZTI,X,O,X,O,X,X,X
LJSOZIT,X,O,X,O,X,X,X
LJZTISO,O,O,X,O,O,X,X
LJZTIOS,O,O,X,O,O,X,X
LJZTSIO,O,O,X,O,O,X,X
LJZTSOI,O,O,X,O,O,X,X
LJZTOIS,O,O,X,O,O,X,X
LJZTOSI,O,O,X,O,O,X,X
LJZITSO,O,O,X,O,O,X,X
LJZITOS,O,O,X,O,O,X,X
LJZISTO,O,O,X,O,X,X,X
LJZISOT,O,O,X,O,X,X,X
LJZIOTS,X,O,X,O,X,X,X
LJZIOST,O,O,X,O,X,X,X
LJZSTIO,O,O,X,O,X,X,X
LJZSTOI,O,O,X,O,X,X,X
LJZSITO,O,O,X,O,X,X,X
LJZSIOT,O,O,X,O,X,X,X
LJZSOTI,O,O,X,O,X,X,X
LJZSOIT,O,O,X,O,X,X,X
LJZOTIS,O,O,X,O,X,X,X
LJZOTSI,O,O,X,O,X,X,X
LJZOITS,X,O,X,O,X,X,X
LJZOIST,O,O,X,O,X,X,X
LJZOSTI,O,O,X,O,X,X,X
LJZOSIT,O,O,X,O,X,X,X
LJOTISZ,X,O,X,X,O,X,X
LJOTIZS,X,X,X,X,O,X,X
LJOTSIZ,X,O,X,X,O,X,X
LJOTSZI,X,O,X,X,O,X,X
LJOTZIS,X,O,X,X,O,X,X
LJOTZSI,X,O,X,X,O,X,X
LJOITSZ,X,O,X,X,O,X,X
LJOITZS,X,X,X,X,O,X,X
LJOISTZ,X,O,X,O,X,X,X
LJOISZT,X,O,X,O,X,X,X
LJOIZTS,X,O,X,O,O,X,X
LJOIZST,X,O,X,O,X,X,X
LJOSTIZ,X,O,X,O,X,X,X
LJOSTZI,X,O,X,O,X,X,X
LJOSITZ,X,O,X,O,X,X,X
LJOSIZT,X,O,X,O,X,X,X
LJOSZTI,X,O,X,O,X,X,X
LJOSZIT,X,O,X,O,X,X,X
LJOZTIS,X,O,X,O,O,X,X
LJOZTSI,X,O,X,O,O,X,X
LJOZITS,X,O,X,O,O,X,X
LJOZIST,X,O,X,O,X,X,X
LJOZSTI,X,O,X,O,X,X,X
LJOZSIT,X,O,X,O,X,X,X
LSTIJZO,O,O,O,O,X,X,X
LSTIJOZ,O,O,O,X,X,X,X
LSTIZJO,O,X,O,O,X,X,X
LSTIZOJ,O,O,O,O,X,X,X
LSTIOJZ,O,O,O,X,X,X,X
LSTIOZJ,O,O,O,O,X,X,X
LSTJIZO,O,O,O,O,X,X,X
LSTJIOZ,O,O,O,X,X,X,X
LSTJZIO,O,O,O,O,X,X,X
LSTJZOI,O,O,X,O,X,X,X
LSTJOIZ,O,O,O,X,X,X,X
LSTJOZI,O,O,O,X,X,X,X
LSTZIJO,O,X,O,O,X,X,X
LSTZIOJ,O,O,O,O,X,X,X
LSTZJIO,O,O,O,O,X,X,X
LSTZJOI,O,O,X,O,X,X,X
LSTZOIJ,O,O,O,O,X,X,X
LSTZOJI,O,O,O,O,X,X,X
LSTOIJZ,O,O,O,O,X,X,X
LSTOIZJ,O,O,O,O,X,X,X
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,O,O,O,O,X,X,X
LSTOZJI,O,O,O,O,X,X,X
LSITJZO,O,O,O,O,X,X,X
LSITJOZ,O,O,O,X,X,X,X
LSITZJO,O,X,O,O,X,X,X
LSITZOJ,O,O,O,O,X,X,X
LSITOJZ,O,O,O,X,X,X,X
LSITOZJ,O,O,O,O,X,X,X
LSIJTZO,O,O,O,O,X,X,X
LSIJTOZ,O,O,O,X,X,X,X
LSIJZTO,O,O,X,O,X,X,X
LSIJZOT,O,O,X,O,X,X,X
LSIJOTZ,X,O,X,X,X,X,X
LSIJOZT,X,O,X,X,X,X,X
