sequence,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBliB?3mBTqBarBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgB3iB?UmBTqBWxBirB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBzhB?yqB1wBusB3qB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBliB?3mB0qBaqBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgBihB?cqBXrBusBzrB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB3iB?+rBlqBaqBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBUiB?+rBlqBaqB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmBUiB?KqBGlBTrB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmB3iB?KqBGlBTrBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhF3gBzhB?yqB1wBusBUqB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB+mB?0qBaqBXsBlsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFymBTlB?XrBusBFqB0rB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFWnB3lB?0rBaqBzqBlsB
ITJSOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITJZLSO,X,X,O,X,X,O,O,X,X,X,X,X,X
ITJZLOS,X,X,O,X,X,O,O,X,X,X,X,X,X
ITJZSLO,X,X,X,O,O,O,O,X,X,X,X,X,O
ITJZSOL,X,X,X,O,O,O,O,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,O,O,X,X,X,X,X,X
ITJZOSL,O,X,X,X,X,O,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ITJOLZS,X,X,O,X,X,O,O,X,X,O,X,X,X
ITJOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITJOZLS,X,O,O,X,X,O,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITSLJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
ITSLJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
ITSLZJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSLZOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSLOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ITSLOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
ITSJLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ITSJZLO,X,X,X,O,X,O,O,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,O,O,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ITSJOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITSZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZJLO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSZJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
ITSZOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ITSOLZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
ITSOJLZ,O,X,X,X,X,O,O,X,O,X,X,O,X
ITSOJZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X,O,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZLJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
ITZLJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
ITZLSJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZLSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZLOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
ITZJLSO,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZJLOS,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZJSLO,X,X,X,O,O,O,O,X,X,X,O,X,O
ITZJSOL,X,X,X,O,O,O,O,X,X,X,O,X,X
ITZJOLS,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZJOSL,O,X,X,X,X,O,O,X,X,X,O,X,X
ITZSLJO,X,X,O,O,O,X,X,X,X,X,X,X,O
ITZSLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSJLO,X,X,X,O,O,X,X,X,X,X,X,X,O
ITZSJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
ITZSOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ITZOLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,O,X,O,X,X,X
ITZOJLS,X,O,O,X,X,O,O,O,X,X,O,X,X
ITZOJSL,O,O,X,X,X,O,O,X,X,X,O,X,X
ITZOSLJ,O,O,O,O,O,X,X,O,X,X,X,X,X
ITZOSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
ITOLJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOLZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
ITOLZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOJLSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
ITOJLZS,X,X,O,X,X,O,O,O,X,O,X,X,X
ITOJSLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
ITOJSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOJZLS,X,O,O,X,X,O,O,O,X,X,X,X,X
ITOJZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
ITOSLZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOSJLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
ITOSJZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,O,O,X,X,X,O,O,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITOZLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOZJLS,X,O,O,X,X,O,O,O,X,X,X,X,X
ITOZJSL,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,O,O,O,X,X,O,O,X,X,X,X
ITOZSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ILTJSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTSJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
ILTSJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
ILTSZJO,X,X,O,O,X,X,X,X,X,O,X,X,X
ILTSZOJ,X,X,O,O,X,X,X,X,X,O,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ILTSOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
ILTZJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
ILTZJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
ILTZSJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ILTZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
ILTZOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
ILTOJSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
ILTOJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ILTOZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ILJTSZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTZSO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJSTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
ILJZTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJZSTO,X,X,X,X,X,X,X,X,X,X,X,X,O
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X,O
ILJZOTS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTZJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ILSTOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILSJTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSJZTO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
ILSZTJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSZJTO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSZJOT,X,X,X,O,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
ILSZOJT,X,X,X,O,O,X,X,X,X,X,X,O,X
ILSOTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ILSOTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ILSOZTJ,O,O,X,X,O,X,X,O,O,X,X,X,X
ILSOZJT,O,O,X,X,O,X,X,X,X,X,X,O,X
ILZTJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZTSJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X
ILZJTSO,X,X,X,X,X,X,O,X,X,X,O,X,X
ILZJTOS,X,X,X,X,X,X,O,X,X,X,O,X,X
ILZJSTO,X,X,X,X,X,X,X,X,X,X,O,X,O
ILZJSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
ILZJOTS,X,X,X,X,X,X,X,O,X,X,O,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZSTJO,X,X,X,O,O,X,X,X,X,X,X,X,O
ILZSTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZSJTO,X,X,X,O,O,X,X,X,X,X,X,X,O
ILZSJOT,X,X,X,O,O,X,X,X,X,X,X,X,O
ILZSOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
ILZSOJT,X,X,X,O,O,X,X,X,X,X,X,O,O
ILZOTJS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,O,O,X,X,X,X
ILZOJTS,X,X,X,X,X,X,X,O,X,X,O,X,X
ILZOJST,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZOSTJ,O,X,X,X,X,X,X,O,O,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,X,X,O,O,X,X,X
ILOTJZS,X,X,O,X,X,X,X,O,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ILOTZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
ILOTZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ILOSTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ILOSZTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X,X,X,X,O,X
ILOZTJS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ILOZJTS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOZJST,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTSLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJTSZLO,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTSZOL,X,X,X,O,X,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJTZLSO,X,X,O,X,X,O,O,X,X,X,X,X,X
IJTZLOS,X,X,O,X,X,O,O,X,X,X,X,X,X
IJTZSLO,X,X,X,O,O,O,O,X,X,X,X,X,O
IJTZSOL,X,X,X,O,O,O,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,O,O,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,O,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTOLZS,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJTOZLS,X,O,O,X,X,O,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJLTSZO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTZSO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSZTO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLZTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLZTOS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLZOTS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJSTZLO,X,X,X,O,X,O,O,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,O,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
IJSTOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSLZOT,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSZTLO,X,X,X,O,O,O,O,X,X,X,X,X,O
IJSZTOL,X,X,X,O,O,O,O,X,X,X,X,X,X
IJSZLTO,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSZLOT,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSZOTL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSOTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X
IJSOTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,O,X
IJSOZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X,X,X,X,O,X
IJZTLSO,X,X,O,X,X,O,O,X,X,X,O,X,X
IJZTLOS,X,X,O,X,X,O,O,X,X,X,O,X,X
IJZTSLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IJZTSOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IJZTOLS,X,X,O,X,X,O,O,X,X,X,O,X,X
IJZTOSL,O,X,X,X,X,O,O,X,X,X,O,X,X
IJZLTSO,X,X,X,X,X,X,O,X,X,X,O,X,X
IJZLTOS,X,X,X,X,X,X,O,X,X,X,O,X,X
IJZLSTO,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZLSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZLOTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZSTLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IJZSTOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IJZSLTO,X,X,X,O,O,X,X,X,X,X,O,X,O
IJZSLOT,X,X,X,O,O,X,X,X,X,X,O,X,O
IJZSOTL,X,X,X,O,O,X,X,X,X,X,O,X,X
IJZSOLT,X,X,X,O,O,X,X,X,X,X,O,X,O
IJZOTLS,X,X,X,X,X,X,O,O,X,X,O,X,X
IJZOTSL,O,X,X,X,X,X,O,X,X,X,O,X,X
IJZOLTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IJZOLST,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X,X,X,X,X,O,X,X
IJZOSLT,O,X,X,X,X,X,X,X,X,X,O,X,O
IJOTLSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
IJOTLZS,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOTSLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
IJOTSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJOTZLS,X,O,O,X,X,O,O,O,X,X,X,X,X
IJOTZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,X,O,X,X,O,X,X,X,X
IJOSTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,X,X,O,O,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
ISTLJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
ISTLZJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ISTLZOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
ISTLOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ISTLOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
ISTJLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ISTJZLO,X,X,X,O,X,O,O,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,O,O,X,X,X,X,X,X
ISTJOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ISTZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZJLO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTZJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
ISTZOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ISTOLZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
ISTOJLZ,O,X,X,X,X,O,O,X,O,X,X,O,X
ISTOJZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,X,X,O,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISLTOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLJZOT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZTJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLZJTO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLZJOT,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
ISLZOJT,X,X,X,O,O,X,X,X,X,X,X,O,X
ISLOTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISLOTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ISLOZTJ,O,O,X,X,O,X,X,O,O,X,X,X,X
ISLOZJT,O,O,X,X,O,X,X,X,X,X,X,O,X
ISJTLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJTZLO,X,X,X,O,X,O,O,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,O,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
ISJTOZL,O,O,X,X,X,O,O,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,O,X,X,O,X
