sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TSJIOZL,X,X,X,X,X,X
TSJLIZO,X,X,X,O,X,X
TSJLIOZ,X,X,X,O,X,X
TSJLZIO,X,X,X,O,X,X
TSJLZOI,X,X,X,O,X,X
TSJLOIZ,X,X,X,O,X,X
TSJLOZI,X,X,X,X,X,X
TSJZILO,X,X,X,O,X,X
TSJZIOL,X,X,X,O,X,X
TSJZLIO,X,X,X,O,X,X
TSJZLOI,X,X,X,O,X,X
TSJZOIL,X,X,X,O,X,X
TSJZOLI,X,X,X,O,X,X
TSJOILZ,X,X,X,O,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,X,X,X,O,X,X
TSJOLZI,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,O,X,O,X,X
TSZILOJ,X,O,X,O,X,X
TSZIJLO,X,X,X,O,X,X
TSZIJOL,X,X,X,O,X,X
TSZIOLJ,X,O,X,O,X,X
TSZIOJL,X,X,X,O,X,X
TSZLIJO,X,O,X,O,X,X
TSZLIOJ,X,O,X,O,X,X
TSZLJIO,X,O,X,O,X,X
TSZLJOI,X,O,X,O,X,X
TSZLOIJ,X,O,X,O,X,X
TSZLOJI,X,O,X,O,X,X
TSZJILO,X,X,X,O,X,X
TSZJIOL,X,X,X,O,X,X
TSZJLIO,X,X,X,O,X,X
TSZJLOI,X,X,X,O,X,X
TSZJOIL,X,X,X,O,X,X
TSZJOLI,X,X,X,O,X,X
TSZOILJ,X,O,X,O,X,X
TSZOIJL,X,X,X,O,X,X
TSZOLIJ,X,O,X,O,X,X
TSZOLJI,X,O,X,O,X,X
TSZOJIL,X,X,X,O,X,X
TSZOJLI,X,X,X,O,X,X
TSOILJZ,X,O,X,O,X,X
TSOILZJ,X,X,X,X,X,X
TSOIJLZ,X,X,X,O,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,O,X,O,X,X
TSOLIZJ,X,X,X,X,X,X
TSOLJIZ,X,O,X,O,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,X,X,X,O,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,O,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,O,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,O,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,O,X
TZIJSLO,X,X,X,O,X,X
TZIJSOL,X,X,X,O,X,X
TZIJOLS,X,X,X,X,O,X
TZIJOSL,X,X,X,O,X,X
TZISLJO,X,O,X,O,X,X
TZISLOJ,X,O,X,O,X,X
TZISJLO,X,X,X,O,X,X
TZISJOL,X,X,X,O,X,X
TZISOLJ,X,O,X,O,X,X
TZISOJL,X,X,X,O,X,X
TZIOLJS,X,X,X,X,O,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,X,O,X
TZIOJSL,X,X,X,O,X,X
TZIOSLJ,X,O,X,O,X,X
TZIOSJL,X,X,X,O,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,O,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,O,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,O,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,O,X
TZLJOSI,X,X,X,X,X,X
