sequence,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhFukB1lB0hB6?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBTiBKpBG?mBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jei/IvhF1lBxhBcpBG?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF6mBTiB0kBl?lB2uBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBFiBWqB6?rBcsBzpB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBOpBllBS?sBzpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeT/IvhFxhBllBurBc?sBipBXqB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBWqBlmBc?sBzpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je/EJvhFRgBTlBlmBc?sB2uBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBKpBGmBT?nBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBllBSsBm?pBTpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhFlmBcsBxpBT?pBmpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhF+nBlmBxpB0?pBipBzrB
ITJZSLO,O,X,O,O,X,X,X,O,X,X,X,X,O
ITJZSOL,O,X,O,O,X,X,X,O,X,X,X,X,O
ITJZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
ITJZOSL,O,X,X,O,X,X,X,O,X,X,X,X,O
ITJOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,O,X,X,X,X,X,X,X,X,O
ITJOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITSLJZO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSLZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,O,O,X,X,X,X,X,X,X,X,O
ITSJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,O,O,X,X,X,X,X,X,X,X,O
ITSJZOL,O,X,O,O,X,X,X,X,X,X,X,X,O
ITSJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
ITSZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSZJOL,O,X,O,X,X,X,X,X,X,X,X,O,X
ITSZOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSZOJL,O,X,O,X,X,X,X,X,X,X,X,O,X
ITSOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSOZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,O,X,O,X,O,X,O,O,X,X,X,X,X
ITZLJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
ITZLSJO,O,X,O,X,O,X,X,O,X,X,X,X,X
ITZLSOJ,O,X,O,O,O,X,X,X,X,X,X,O,X
ITZLOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
ITZLOSJ,O,X,O,X,O,X,X,X,X,X,X,O,X
ITZJLSO,O,X,O,X,O,X,O,O,X,X,X,X,X
ITZJLOS,O,X,O,X,O,O,O,X,X,X,O,X,X
ITZJSLO,O,X,O,X,X,X,O,O,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X,X,O,X,X,X,O,X
ITZJOLS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITZJOSL,O,X,X,X,X,X,X,O,X,X,X,O,X
ITZSLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
ITZSLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITZSJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X,X,O,X,X,X,O,X
ITZSOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITZSOJL,O,X,X,X,X,X,X,O,X,X,X,O,X
ITZOLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITZOJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZOJSL,O,X,O,X,X,O,X,O,X,X,X,O,X
ITZOSLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITZOSJL,O,X,X,X,X,X,X,O,X,X,X,O,X
ITOLJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOLZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJLZS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJSZL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJZLS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOJZSL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOZJSL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,X,O,X,X,X,X,O,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X,X,O,X,X,X
ILTJZSO,O,O,X,X,O,X,X,X,X,O,X,X,X
ILTJZOS,O,O,X,X,O,O,X,X,X,O,O,X,X
ILTJOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
ILTJOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
ILTSJZO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILTZJSO,O,O,X,X,O,X,O,X,X,O,X,X,X
ILTZJOS,O,O,X,X,O,O,O,X,X,O,O,X,X
ILTZSJO,O,O,X,X,O,X,X,X,X,O,X,X,X
ILTZSOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILTZOJS,O,O,X,X,O,O,O,X,X,O,X,X,X
ILTZOSJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ILTOJZS,O,X,X,X,X,O,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,O,O,X,X,O,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,O,X,X,O,X,X,X,X,O,X,X,O
ILJTSOZ,O,O,X,X,X,X,X,X,X,O,X,X,X
ILJTZSO,O,O,X,X,O,X,X,X,X,O,X,X,O
ILJTZOS,O,O,X,X,O,O,X,X,X,O,O,X,X
ILJTOSZ,X,O,X,X,X,X,X,X,X,O,O,X,X
ILJTOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
ILJSTZO,O,O,X,X,O,X,X,X,X,X,X,X,O
ILJSTOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,O,X,X,O,X,X,X,X,X
ILJSZOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJSOZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJZTSO,X,O,X,X,O,X,X,O,X,X,X,X,X
ILJZTOS,X,X,X,X,O,O,X,X,X,X,O,X,X
ILJZSTO,X,O,X,X,O,X,X,O,X,X,X,X,X
ILJZSOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,O,X,X,X,X,O,X,X,X
ILJZOST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJOSZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,O,X,X,X
ILJOZST,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSJTZO,O,O,X,X,O,X,X,X,X,X,X,X,O
ILSJTOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSJOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSZTJO,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,O,X,X,X,X,X,X,O,X
ILSZJTO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSZJOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSZOJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSOZJT,O,O,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,X,X,O,X,O,O,X,X,X,X,X
ILZTJOS,O,X,X,X,O,O,O,X,X,X,O,X,X
ILZTSJO,O,X,X,X,O,X,X,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,X,X,X,X,X,O,X
ILZTOJS,O,X,X,X,O,O,O,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,O,X,X,X,X,X,X,O,X
ILZJTSO,X,O,X,X,O,X,O,O,X,X,X,X,X
ILZJTOS,X,X,X,X,O,O,O,X,X,X,O,X,X
ILZJSTO,X,O,X,X,O,X,O,O,X,X,X,X,X
ILZJSOT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZJOTS,X,X,X,X,O,X,O,X,X,O,X,X,X
ILZJOST,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZSTJO,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,O,X,X,X,X,X,X,O,X
ILZSJTO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILZSJOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZSOJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,O,O,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,O,O,O,X,X,O,X,X,X
ILZOJST,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZOSTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZOSJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ILOTJZS,O,X,X,X,X,O,X,X,X,O,X,X,X
ILOTSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,O,X,X,O,X,X,X
ILOTZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ILOJTZS,O,X,X,X,X,O,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,X,X,O,O,X,X,X,O,X,X,X
ILOJZST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,O,O,O,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,O,O,O,X,X,O,X,X,X
ILOZJST,O,X,X,X,O,X,O,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,O,O,O,X,X,X,X,X,X,X,O
IJTLSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJTLZSO,O,O,O,O,O,X,X,X,X,X,X,X,O
IJTLZOS,O,X,O,O,O,O,X,X,X,X,O,X,X
IJTLOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
IJTLOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
IJTSLZO,O,O,O,O,O,X,X,X,X,X,X,X,O
IJTSLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
IJTSZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
IJTSOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
IJTZLSO,O,X,O,O,O,X,X,O,X,X,X,X,O
IJTZLOS,O,X,O,O,O,O,X,X,X,X,O,X,X
IJTZSLO,O,X,O,O,X,X,X,O,X,X,X,X,O
IJTZSOL,O,X,O,O,X,X,X,O,X,X,X,X,O
IJTZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTZOSL,O,X,X,O,X,X,X,O,X,X,X,X,O
IJTOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,O,O,X,X,X,X,X,X,X,X,O
IJTOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJLTSZO,O,O,O,X,O,X,X,X,X,O,X,X,O
IJLTSOZ,O,O,X,X,X,X,X,X,X,O,X,X,X
IJLTZSO,O,O,O,X,O,X,X,X,X,O,X,X,O
IJLTZOS,O,O,O,X,O,O,X,X,X,O,O,X,X
IJLTOSZ,X,O,X,X,X,X,X,X,X,O,O,X,X
IJLTOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
IJLSTZO,O,O,O,X,O,X,X,X,X,X,X,X,O
IJLSTOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,O,X,X,O,X,X,X,X,X
IJLSZOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLZTSO,X,O,O,X,O,X,X,O,X,X,X,X,X
IJLZTOS,X,X,O,X,O,O,X,X,X,X,O,X,X
IJLZSTO,X,O,X,X,O,X,X,O,X,X,X,X,X
IJLZSOT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X,X,O,X,X,X
IJLZOST,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,X,O,X,X,X
IJLOSTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLOSZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,O,X,X,X
IJLOZST,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,O,O,O,X,X,X,X,X,X,X,O
IJSTLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
IJSTZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
IJSTOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSTOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
IJSLTZO,O,O,O,O,O,X,X,X,X,X,X,X,O
IJSLTOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,O,O,X,X,O,X,X,X,X,X
IJSLZOT,X,O,X,O,O,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSLOZT,O,O,X,O,O,X,X,X,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,X,O,X,X,X,X,O
IJSZTOL,O,X,O,O,X,X,X,O,O,X,X,O,O
IJSZLTO,O,O,X,O,O,X,X,O,X,X,X,X,X
IJSZLOT,X,O,X,O,O,X,X,X,X,X,X,X,X
IJSZOTL,O,X,X,O,X,X,X,O,O,X,X,X,X
IJSZOLT,O,O,X,O,X,X,X,X,O,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,O,O,X,X,X,X,O,X,X,X,O
IJSOLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,O,O,X,X,X,O,X,X,X,X
IJSOZTL,O,X,X,O,X,X,X,O,O,X,X,X,X
IJSOZLT,O,O,X,O,X,X,X,X,O,X,X,X,X
IJZTLSO,X,X,O,O,O,X,X,O,X,X,X,X,O
IJZTLOS,X,X,O,O,O,X,X,X,X,X,X,X,X
IJZTSLO,X,X,O,O,X,X,X,O,X,X,X,X,O
IJZTSOL,X,X,O,O,X,X,X,O,O,X,X,O,O
IJZTOLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZTOSL,X,X,X,O,X,X,X,O,O,X,X,O,O
IJZLTSO,X,O,O,X,O,X,X,O,X,X,X,X,X
IJZLTOS,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZLSTO,X,O,X,O,O,X,X,O,X,X,X,X,X
IJZLSOT,X,O,X,O,O,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOST,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,O,X,X,X,O,X,X,X,X,O
IJZSTOL,X,X,O,O,X,X,X,O,O,X,X,O,O
IJZSLTO,X,O,X,O,O,X,X,O,X,X,X,X,X
IJZSLOT,X,O,X,O,O,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,X,O,O,X,X,X,X
IJZSOLT,X,O,X,O,X,X,X,X,O,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOSTL,X,X,X,O,X,X,X,O,O,X,X,X,X
IJZOSLT,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,O,X,X,X,X,X,X,X,X,X,O
IJOTZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOLTSZ,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOLSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,O,X,X,X,X,O,X,X,X
IJOLZST,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,X,O,X,X,X,X,X,O,X,X,X,O
IJOSLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,O,X,X,O,X,X,X,O,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,O,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X,O,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,O,O,X,X,X,X
IJOZLTS,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,O,X,X,X,X,X,X,O,O,X,X,X,X
IJOZSLT,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTLJZO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTLZJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTJLZO,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTJZLO,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTJZOL,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ISTZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X,X,X,O,X
ISTZOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
ISTZOJL,O,X,O,X,X,X,X,X,X,X,X,O,X
ISTOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLTJZO,O,O,X,O,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLJTZO,O,O,X,O,O,X,X,X,X,X,X,X,O
ISLJTOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,O,O,X,X,X,X,X,X,X,X
ISLJZOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,O,O,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,O,X,X,X,X,X,X,O,X
ISLZJTO,O,O,X,X,O,X,X,X,X,X,X,X,X
ISLZJOT,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ISLOZJT,O,O,X,X,O,X,X,X,X,X,X,X,X
ISJTLZO,O,O,O,O,O,X,X,X,X,X,X,X,O
ISJTLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
ISJTZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
ISJTOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
ISJLTZO,O,O,O,O,O,X,X,X,X,X,X,X,O
ISJLTOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISJLZOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,X,O,O,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,O,X,X,X,O,X,X,X,X,O
ISJZTOL,O,X,O,O,X,X,X,O,X,X,X,O,O
ISJZLTO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISJZLOT,X,O,X,O,O,X,X,X,X,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,O,X,X,X,X,X
