sequence,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBXjB9tB0sBOsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFUhBXjByrB9tBGnBRxB,v115@/gA8IeB8FeD8FeE8OeT/IvhFGhBaoB5oB/rB0sBNsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rB3sBCsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rBUtBCsB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBNnBGtBctB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhBtnBmmB0rBXtB6tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBisBGsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBasBUtBusB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamBRiBurBcsBXtB9tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBGjB/tB0sBNsB
ILJZSOT,X,X,X,X,X,X,X,X,X,O,O
ILJZOTS,O,O,X,X,O,O,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,O,O
ILJOTSZ,X,O,X,X,X,O,X,X,X,X,X
ILJOTZS,O,O,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,X,O,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,X,O
ILJOZTS,O,O,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,O,O
ILSTJZO,X,O,X,X,X,X,X,O,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,X,O,O,X,O
ILSTZOJ,O,O,X,X,X,X,X,O,O,X,O
ILSTOJZ,X,O,X,X,X,X,X,O,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,O,O,X,O
ILSJTZO,X,X,X,X,X,O,X,O,X,X,X
ILSJTOZ,X,X,X,X,X,O,X,O,X,X,X
ILSJZTO,X,X,X,X,X,X,X,X,O,X,O
ILSJZOT,X,X,X,X,X,X,X,X,O,X,O
ILSJOTZ,X,X,X,X,X,O,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,O,X,O
ILSZTJO,O,O,O,X,X,X,X,O,O,X,O
ILSZTOJ,O,O,O,X,X,X,X,O,O,X,O
ILSZJTO,X,X,O,X,X,X,O,X,O,O,O
ILSZJOT,X,X,O,X,X,X,O,X,O,O,O
ILSZOTJ,O,O,O,X,X,X,X,O,O,X,O
ILSZOJT,X,X,O,X,X,X,O,X,O,O,O
ILSOTJZ,X,O,X,X,X,X,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,O,O,X,O
ILSOJTZ,X,X,X,X,X,O,X,O,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X,O,X,O
ILSOZTJ,O,O,O,X,X,X,X,O,O,X,O
ILSOZJT,X,X,O,X,X,X,O,X,O,O,O
ILZTJSO,O,O,X,X,X,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X,X,O
ILZTSOJ,O,O,O,X,X,X,X,X,X,X,O
ILZTOJS,O,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,X,X,X,X,O
ILZJTSO,O,O,X,X,X,O,X,X,X,X,X
ILZJTOS,O,O,X,X,X,O,X,X,X,X,X
ILZJSTO,X,X,O,X,X,X,O,X,X,O,O
ILZJSOT,X,X,O,X,X,X,O,X,X,O,O
ILZJOTS,O,O,X,X,X,O,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,O,X,X,O,O
ILZSTJO,O,O,O,X,X,X,X,X,X,X,O
ILZSTOJ,O,O,O,X,X,X,X,X,X,X,O
ILZSJTO,X,X,O,X,X,X,O,X,X,O,O
ILZSJOT,X,X,O,X,X,X,O,X,X,O,O
ILZSOTJ,O,O,O,X,X,X,X,X,X,X,O
ILZSOJT,X,X,O,X,X,X,O,X,X,O,O
ILZOTJS,O,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X,X,X,O
ILZOJTS,O,O,X,X,X,O,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,O,X,X,O,O
ILZOSTJ,O,O,O,X,X,X,X,X,X,X,O
ILZOSJT,X,X,O,X,X,X,O,X,X,O,O
ILOTJSZ,X,O,X,X,X,O,X,X,X,X,X
ILOTJZS,O,O,X,X,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,O,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,O,X,X,O
ILOTZJS,O,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X,X,X,O
ILOJTSZ,X,O,X,X,X,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,O,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,X,X,X,O
ILOJZTS,O,O,X,X,O,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,O,O
ILOSTJZ,X,O,X,X,X,X,X,O,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,O,O,X,O
ILOSJTZ,X,X,X,X,X,O,X,O,X,X,X
ILOSJZT,X,X,X,X,X,X,X,X,O,X,O
ILOSZTJ,O,O,O,X,X,X,X,O,O,X,O
ILOSZJT,X,X,O,X,X,X,O,X,O,O,O
ILOZTJS,O,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X,X,X,O
ILOZJTS,O,O,X,X,X,O,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,O,X,X,O,O
ILOZSTJ,O,O,O,X,X,X,X,X,X,X,O
ILOZSJT,X,X,O,X,X,X,O,X,X,O,O
IJTLSZO,X,O,X,X,X,O,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,O,X,X,X,X,X
IJTLZSO,O,O,X,X,X,O,X,X,X,X,X
IJTLZOS,O,O,X,X,X,O,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O,X,X,X,X,X
IJTLOZS,O,O,X,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,O,X,O,X,X,X,X,X
IJTSLOZ,X,O,X,O,X,O,X,X,X,X,X
IJTSZLO,X,O,X,O,X,X,X,X,X,X,X
IJTSZOL,X,O,X,O,X,X,X,X,X,X,X
IJTSOLZ,X,O,X,O,X,O,X,X,X,X,X
IJTSOZL,X,O,X,O,X,X,X,X,X,X,X
IJTZLSO,O,O,X,X,O,O,X,X,X,X,X
IJTZLOS,O,O,X,X,O,O,X,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,X,X,X,X,X
IJTZOLS,O,O,X,X,O,O,X,X,X,X,X
IJTZOSL,O,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,X,X,X,X,X
IJTOLZS,O,O,X,X,X,O,X,X,X,X,X
IJTOSLZ,X,O,X,O,X,O,X,X,X,X,X
IJTOSZL,X,O,X,O,X,X,X,X,X,X,X
IJTOZLS,O,O,X,X,O,O,X,X,X,X,X
IJTOZSL,O,O,X,X,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,O,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,O,X,X,X,X,X
IJLTZSO,O,O,X,X,X,O,X,X,X,X,X
IJLTZOS,O,O,X,X,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,O,X,X,X,X,X
IJLTOZS,O,O,X,X,X,O,X,X,X,X,X
IJLSTZO,X,X,X,O,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,O,X,X,X,X,X
IJLSZTO,X,X,X,X,X,X,X,X,X,X,O
IJLSZOT,X,X,X,X,X,X,X,X,X,X,O
IJLSOTZ,X,X,X,O,X,O,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,O
IJLZTSO,O,O,X,X,O,O,X,X,X,X,X
IJLZTOS,O,O,X,X,O,O,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X,X,O,O
IJLZSOT,X,X,X,X,X,X,X,X,X,O,O
IJLZOTS,O,O,X,X,O,O,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,O,O
IJLOTSZ,X,O,X,X,X,O,X,X,X,X,X
IJLOTZS,O,O,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,O,X,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X,O
IJLOZTS,O,O,X,X,O,O,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,O,O
IJSTLZO,X,X,X,O,X,O,X,X,X,X,X
IJSTLOZ,X,X,X,O,X,O,X,X,X,X,X
IJSTZLO,X,X,X,O,X,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,O,X,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,X,X,X
IJSLTZO,X,X,X,O,X,O,X,O,X,X,X
IJSLTOZ,X,X,X,O,X,O,X,O,X,X,X
IJSLZTO,X,X,X,X,X,X,X,X,O,X,O
IJSLZOT,X,X,X,X,X,X,X,X,O,X,O
IJSLOTZ,X,X,X,O,X,O,X,O,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,O,X,O
IJSZTLO,X,X,X,O,O,X,O,X,X,X,X
IJSZTOL,X,X,X,O,O,X,O,X,X,X,X
IJSZLTO,X,X,O,X,X,X,O,X,X,X,O
IJSZLOT,X,X,O,X,X,X,O,X,X,X,O
IJSZOTL,X,X,X,O,O,X,O,X,X,X,X
IJSZOLT,X,X,O,X,X,X,O,X,X,X,O
IJSOTLZ,X,X,X,O,X,O,X,X,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,O,X,O,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,O,X,O
IJSOZTL,X,X,X,O,O,X,O,X,X,X,X
IJSOZLT,X,X,O,X,X,X,O,X,X,X,O
IJZTLSO,O,O,X,X,O,O,X,X,X,X,X
IJZTLOS,O,O,X,X,O,O,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,O,X,X,X,X
IJZTSOL,O,O,X,X,O,X,O,X,X,X,X
IJZTOLS,O,O,X,X,O,O,X,X,X,X,X
IJZTOSL,O,O,X,X,O,X,O,X,X,X,X
IJZLTSO,O,O,X,X,O,O,X,X,X,X,X
IJZLTOS,O,O,X,X,O,O,X,X,X,X,X
IJZLSTO,X,X,O,X,X,X,O,X,X,O,O
IJZLSOT,X,X,O,X,X,X,O,X,X,O,O
IJZLOTS,O,O,X,X,O,O,X,X,X,X,X
IJZLOST,X,X,O,X,X,X,O,X,X,O,O
IJZSTLO,X,X,X,O,O,X,O,X,X,X,X
IJZSTOL,X,X,X,O,O,X,O,X,X,X,X
IJZSLTO,X,X,O,X,X,X,O,X,X,O,O
IJZSLOT,X,X,O,X,X,X,O,X,X,O,O
IJZSOTL,X,X,X,O,O,X,O,X,X,X,X
IJZSOLT,X,X,O,X,X,X,O,X,X,O,O
IJZOTLS,O,O,X,X,O,O,X,X,X,X,X
IJZOTSL,O,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,O,X,X,O,O,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,O,X,X,O,O
IJZOSTL,X,X,X,O,O,X,O,X,X,X,X
IJZOSLT,X,X,O,X,X,X,O,X,X,O,O
IJOTLSZ,X,O,X,X,X,O,X,X,X,X,X
IJOTLZS,O,O,X,X,X,O,X,X,X,X,X
IJOTSLZ,X,O,X,O,X,O,X,X,X,X,X
IJOTSZL,X,O,X,O,X,X,X,X,X,X,X
IJOTZLS,O,O,X,X,O,O,X,X,X,X,X
IJOTZSL,O,O,X,X,O,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,O,X,X,X,X,X
IJOLTZS,O,O,X,X,X,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,O
IJOLZTS,O,O,X,X,O,O,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,O,O
IJOSTLZ,X,X,X,O,X,O,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,O,X,O,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,O,X,O
IJOSZTL,X,X,X,O,O,X,O,X,X,X,X
IJOSZLT,X,X,O,X,X,X,O,X,X,X,O
IJOZTLS,O,O,X,X,O,O,X,X,X,X,X
IJOZTSL,O,O,X,X,O,X,O,X,X,X,X
IJOZLTS,O,O,X,X,O,O,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,O,X,X,O,O
IJOZSTL,X,X,X,O,O,X,O,X,X,X,X
IJOZSLT,X,X,O,X,X,X,O,X,X,O,O
ISTLJZO,X,O,X,X,X,X,X,O,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,O,X,X,X
ISTLZJO,O,O,X,X,X,X,X,O,O,X,O
ISTLZOJ,O,O,X,X,X,X,X,O,O,X,O
ISTLOJZ,X,O,X,X,X,X,X,O,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,O,O,X,O
ISTJLZO,X,O,X,O,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,X,X,X,X
ISTJZLO,X,O,X,O,X,X,X,X,X,X,X
ISTJZOL,X,O,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X,X,X,O
ISTZLOJ,O,O,O,X,X,X,X,X,X,X,O
ISTZJLO,O,O,X,X,X,X,O,X,X,X,X
ISTZJOL,O,O,X,X,X,X,O,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X,X,O
ISTZOJL,O,O,X,X,X,X,O,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,O,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,O,O,X,O
ISTOJLZ,X,O,X,O,X,X,X,X,X,X,X
ISTOJZL,X,O,X,O,X,X,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X,X,O
ISTOZJL,O,O,X,X,X,X,O,X,X,X,X
ISLTJZO,X,O,X,X,X,X,X,O,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,O,X,X,X
ISLTZJO,O,O,X,X,X,X,X,O,O,X,O
ISLTZOJ,O,O,X,X,X,X,X,O,O,X,O
ISLTOJZ,X,O,X,X,X,X,X,O,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,O,O,X,O
ISLJTZO,X,X,X,X,X,O,X,O,X,X,X
ISLJTOZ,X,X,X,X,X,O,X,O,X,X,X
ISLJZTO,X,X,X,X,X,X,X,X,O,X,O
ISLJZOT,X,X,X,X,X,X,X,X,O,X,O
ISLJOTZ,X,X,X,X,X,O,X,O,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,O,X,O
ISLZTJO,O,O,O,X,X,X,X,O,O,X,O
ISLZTOJ,O,O,O,X,X,X,X,O,O,X,O
ISLZJTO,X,X,O,X,X,X,O,X,O,O,O
ISLZJOT,X,X,O,X,X,X,O,X,O,O,O
ISLZOTJ,O,O,O,X,X,X,X,O,O,X,O
ISLZOJT,X,X,O,X,X,X,O,X,O,O,O
ISLOTJZ,X,O,X,X,X,X,X,O,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,O,O,X,O
ISLOJTZ,X,X,X,X,X,O,X,O,X,X,X
ISLOJZT,X,X,X,X,X,X,X,X,O,X,O
ISLOZTJ,O,O,O,X,X,X,X,O,O,X,O
ISLOZJT,X,X,O,X,X,X,O,X,O,O,O
ISJTLZO,X,X,X,O,X,O,X,X,X,X,X
ISJTLOZ,X,X,X,O,X,O,X,X,X,X,X
ISJTZLO,X,X,X,O,X,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,O,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,X,X,O,X,O,X,O,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,O,X,X,X
ISJLZTO,X,X,X,X,X,X,X,X,O,X,O
ISJLZOT,X,X,X,X,X,X,X,X,O,X,O
ISJLOTZ,X,X,X,O,X,O,X,O,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,O,X,O
ISJZTLO,X,X,X,O,O,X,O,X,X,X,X
ISJZTOL,X,X,X,O,O,X,O,X,X,X,X
ISJZLTO,X,X,O,X,X,X,O,X,X,X,O
ISJZLOT,X,X,O,X,X,X,O,X,X,X,O
ISJZOTL,X,X,X,O,O,X,O,X,X,X,X
ISJZOLT,X,X,O,X,X,X,O,X,X,X,O
ISJOTLZ,X,X,X,O,X,O,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,O,X,O,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,O,X,O
ISJOZTL,X,X,X,O,O,X,O,X,X,X,X
ISJOZLT,X,X,O,X,X,X,O,X,X,X,O
ISZTLJO,O,O,O,X,X,X,X,X,O,X,O
ISZTLOJ,O,O,O,X,X,X,X,X,O,X,O
ISZTJLO,O,O,X,X,X,X,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,O,X,O
ISZTOJL,O,O,X,X,X,X,O,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X,O,O,X,O
ISZLTOJ,O,O,O,X,X,X,X,O,O,X,O
ISZLJTO,X,X,O,X,X,X,O,X,O,O,O
ISZLJOT,X,X,O,X,X,X,O,X,O,O,O
ISZLOTJ,O,O,O,X,X,X,X,O,O,X,O
ISZLOJT,X,X,O,X,X,X,O,X,O,O,O
ISZJTLO,X,X,X,X,X,X,O,X,X,X,X
ISZJTOL,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,X,O,X,X,X,O,X,X,O,O
ISZJLOT,X,X,O,X,X,X,O,X,X,O,O
ISZJOTL,X,X,X,X,X,X,O,X,X,X,X
ISZJOLT,X,X,O,X,X,X,O,X,X,O,O
ISZOTLJ,O,O,O,X,X,X,X,X,O,X,O
ISZOTJL,O,O,X,X,X,X,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,O,O,X,O
ISZOLJT,X,X,O,X,X,X,O,X,O,O,O
ISZOJTL,X,X,X,X,X,X,O,X,X,X,X
ISZOJLT,X,X,O,X,X,X,O,X,X,O,O
ISOTLJZ,X,O,X,X,X,X,X,O,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,O,O,X,O
ISOTJLZ,X,O,X,O,X,X,X,X,X,X,X
ISOTJZL,X,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,X,X,X,O
ISOTZJL,O,O,X,X,X,X,O,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,O,O,X,O
ISOLJTZ,X,X,X,X,X,O,X,O,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,O,X,O
ISOLZTJ,O,O,O,X,X,X,X,O,O,X,O
ISOLZJT,X,X,O,X,X,X,O,X,O,O,O
ISOJTLZ,X,X,X,O,X,O,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,O,X,O,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,O,X,O
ISOJZTL,X,X,X,O,O,X,O,X,X,X,X
ISOJZLT,X,X,O,X,X,X,O,X,X,X,O
ISOZTLJ,O,O,O,X,X,X,X,X,O,X,O
ISOZTJL,O,O,X,X,X,X,O,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,O,O,X,O
ISOZLJT,X,X,O,X,X,X,O,X,O,O,O
ISOZJTL,X,X,X,X,X,X,O,X,X,X,X
ISOZJLT,X,X,O,X,X,X,O,X,X,O,O
IZTLJSO,O,O,X,X,X,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X,X,O
IZTLSOJ,O,O,O,X,X,X,X,X,X,X,O
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X,X,X,X,O
IZTJLSO,O,O,X,X,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,O,X,X,X,X,X,X
IZTJSLO,O,O,X,X,O,X,O,X,X,X,X
IZTJSOL,O,O,X,X,O,X,O,X,X,X,X
IZTJOLS,O,O,X,X,O,X,X,X,X,X,X
IZTJOSL,O,O,X,X,O,X,O,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,X,O,X,O
IZTSLOJ,O,O,O,X,X,X,X,X,O,X,O
IZTSJLO,O,O,X,X,X,X,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X,O,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,O,X,O
IZTSOJL,O,O,X,X,X,X,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X,X,X,O
IZTOJLS,O,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,O,X,X,O,X,O,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,X,O,X,O
IZTOSJL,O,O,X,X,X,X,O,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X,X
IZLTSJO,O,O,O,X,X,X,X,X,X,X,O
IZLTSOJ,O,O,O,X,X,X,X,X,X,X,O
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,O,X,X,X,X,X,X,X,O
IZLJTSO,O,O,X,X,X,O,X,X,X,X,X
IZLJTOS,O,O,X,X,X,O,X,X,X,X,X
IZLJSTO,X,X,O,X,X,X,O,X,X,O,O
IZLJSOT,X,X,O,X,X,X,O,X,X,O,O
IZLJOTS,O,O,X,X,X,O,X,X,X,X,X
IZLJOST,X,X,O,X,X,X,O,X,X,O,O
IZLSTJO,O,O,O,X,X,X,X,X,X,X,O
IZLSTOJ,O,O,O,X,X,X,X,X,X,X,O
IZLSJTO,X,X,O,X,X,X,O,X,X,O,O
IZLSJOT,X,X,O,X,X,X,O,X,X,O,O
IZLSOTJ,O,O,O,X,X,X,X,X,X,X,O
IZLSOJT,X,X,O,X,X,X,O,X,X,O,O
IZLOTJS,O,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X,X,X,X,O
IZLOJTS,O,O,X,X,X,O,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,O,X,X,O,O
IZLOSTJ,O,O,O,X,X,X,X,X,X,X,O
IZLOSJT,X,X,O,X,X,X,O,X,X,O,O
IZJTLSO,O,O,X,X,O,O,X,X,X,X,X
IZJTLOS,O,O,X,X,O,O,X,X,X,X,X
IZJTSLO,O,O,X,X,O,X,O,X,X,X,X
IZJTSOL,O,O,X,X,O,X,O,X,X,X,X
IZJTOLS,O,O,X,X,O,O,X,X,X,X,X
IZJTOSL,O,O,X,X,O,X,O,X,X,X,X
IZJLTSO,O,O,X,X,O,O,X,X,X,X,X
IZJLTOS,O,O,X,X,O,O,X,X,X,X,X
IZJLSTO,X,X,O,X,X,X,O,X,X,O,O
IZJLSOT,X,X,O,X,X,X,O,X,X,O,O
IZJLOTS,O,O,X,X,O,O,X,X,X,X,X
IZJLOST,X,X,O,X,X,X,O,X,X,O,O
IZJSTLO,X,X,X,O,O,X,O,X,X,X,X
IZJSTOL,X,X,X,O,O,X,O,X,X,X,X
IZJSLTO,X,X,O,X,X,X,O,X,X,O,O
IZJSLOT,X,X,O,X,X,X,O,X,X,O,O
IZJSOTL,X,X,X,O,O,X,O,X,X,X,X
IZJSOLT,X,X,O,X,X,X,O,X,X,O,O
IZJOTLS,O,O,X,X,O,O,X,X,X,X,X
IZJOTSL,O,O,X,X,O,X,O,X,X,X,X
IZJOLTS,O,O,X,X,O,O,X,X,X,X,X
IZJOLST,X,X,O,X,X,X,O,X,X,O,O
IZJOSTL,X,X,X,O,O,X,O,X,X,X,X
IZJOSLT,X,X,O,X,X,X,O,X,X,O,O
IZSTLJO,O,O,O,X,X,X,X,X,O,X,O
IZSTLOJ,O,O,O,X,X,X,X,X,O,X,O
IZSTJLO,O,O,X,X,X,X,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,O,X,O
IZSTOJL,O,O,X,X,X,X,O,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,O,O,X,O
IZSLTOJ,O,O,O,X,X,X,X,O,O,X,O
IZSLJTO,X,X,O,X,X,X,O,X,O,O,O
IZSLJOT,X,X,O,X,X,X,O,X,O,O,O
IZSLOTJ,O,O,O,X,X,X,X,O,O,X,O
IZSLOJT,X,X,O,X,X,X,O,X,O,O,O
IZSJTLO,X,X,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,O,X,X,X,O,X,X,O,O
IZSJLOT,X,X,O,X,X,X,O,X,X,O,O
IZSJOTL,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,X,X,O,X,X,X,O,X,X,O,O
IZSOTLJ,O,O,O,X,X,X,X,X,O,X,O
IZSOTJL,O,O,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,O,O,X,O
IZSOLJT,X,X,O,X,X,X,O,X,O,O,O
IZSOJTL,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,X,X,O,X,X,X,O,X,X,O,O
IZOTLJS,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,X,O
IZOTJLS,O,O,X,X,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,O,X,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X,O,X,O
IZOTSJL,O,O,X,X,X,X,O,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X,X,X,X,O
IZOLJTS,O,O,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,O,X,X,O,O
IZOLSTJ,O,O,O,X,X,X,X,X,X,X,O
IZOLSJT,X,X,O,X,X,X,O,X,X,O,O
IZOJTLS,O,O,X,X,O,O,X,X,X,X,X
IZOJTSL,O,O,X,X,O,X,O,X,X,X,X
IZOJLTS,O,O,X,X,O,O,X,X,X,X,X
IZOJLST,X,X,O,X,X,X,O,X,X,O,O
IZOJSTL,X,X,X,O,O,X,O,X,X,X,X
IZOJSLT,X,X,O,X,X,X,O,X,X,O,O
IZOSTLJ,O,O,O,X,X,X,X,X,O,X,O
IZOSTJL,O,O,X,X,X,X,O,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,O,O,X,O
IZOSLJT,X,X,O,X,X,X,O,X,O,O,O
IZOSJTL,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,X,X,O,X,X,X,O,X,X,O,O
IOTLJSZ,X,O,X,X,X,O,X,X,X,X,X
IOTLJZS,O,O,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,O
IOTLZJS,O,O,X,X,X,X,X,X,X,X,X
