sequence,v115@HhA8IeF8DeB8CeC8Lel/IvhF3gBzhBGjBxsByvBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFlgBfnBxiBznB+tByvB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziB5oBmsBcqBXrB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBzhBxsBftB6tB1vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFzgBfnBxiBStB2vBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFzgBfnB5oBatBlnB2vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziBxsBcqB+tBXrB,v115@HhA8IeF8DeB8CeC8Lel/IvhFRiBSoBUnBTtBmqB3qB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBfnBxiBCoBTtB1vB
TSJLZIO,X,O,X,X,O,X,X,X,X
TSJLZOI,X,O,X,X,O,X,X,X,X
TSJLOIZ,X,O,O,X,O,X,X,X,X
TSJLOZI,X,O,X,X,O,X,X,X,X
TSJZILO,X,O,X,X,X,X,X,X,X
TSJZIOL,X,O,X,X,X,X,X,X,X
TSJZLIO,X,O,X,X,X,X,X,X,X
TSJZLOI,X,O,X,X,X,X,X,X,X
TSJZOIL,X,O,X,X,X,X,X,X,X
TSJZOLI,X,O,X,X,X,X,X,X,X
TSJOILZ,X,O,O,X,O,X,X,X,X
TSJOIZL,O,O,O,X,X,X,X,X,X
TSJOLIZ,X,O,O,X,O,X,X,X,X
TSJOLZI,X,O,X,X,O,X,X,X,X
TSJOZIL,X,O,X,X,X,X,X,X,X
TSJOZLI,X,O,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,O,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,O,O,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X,X
TSZLIJO,X,O,X,X,O,X,X,X,X
TSZLIOJ,X,X,X,X,O,O,X,X,X
TSZLJIO,X,O,X,X,O,X,X,X,X
TSZLJOI,X,O,X,X,O,X,X,X,X
TSZLOIJ,X,X,X,X,O,O,X,X,X
TSZLOJI,X,X,X,X,O,X,X,X,X
TSZJILO,X,O,X,X,X,X,X,X,X
TSZJIOL,X,O,X,X,X,X,X,X,X
TSZJLIO,X,O,X,X,X,X,X,X,X
TSZJLOI,X,O,X,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,X,X,X,X
TSZJOLI,X,O,X,X,X,X,X,X,X
TSZOILJ,O,X,X,X,O,O,X,O,X
TSZOIJL,O,O,X,X,X,X,X,O,X
TSZOLIJ,X,X,X,X,O,O,X,O,O
TSZOLJI,X,X,X,X,O,X,X,O,O
TSZOJIL,X,O,X,X,X,X,X,O,X
TSZOJLI,X,O,X,X,X,X,X,O,X
TSOILJZ,O,X,X,X,O,X,X,X,X
TSOILZJ,O,X,X,X,O,O,X,X,X
