sequence,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBRiBcoBXmBTnBSwB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBXiBTjB1sBCrBUrB,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBSnBTjB8qBRsB3rB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoBCrBTrB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoB6rBzqB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBTjBCmBXnB0nBVwB
IOLTJZS,O,O,O,X,X,X
IOLTSJZ,X,O,X,X,X,X
IOLTSZJ,X,O,X,X,X,X
IOLTZJS,O,O,O,X,X,X
IOLTZSJ,O,O,O,X,X,X
IOLJTSZ,X,O,X,X,X,X
IOLJTZS,O,O,O,X,X,X
IOLJSTZ,O,X,X,X,X,X
IOLJSZT,O,X,O,X,X,X
IOLJZTS,O,X,O,X,X,X
IOLJZST,O,X,O,X,X,X
IOLSTJZ,O,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X
IOLSZTJ,O,X,O,X,X,X
IOLSZJT,O,X,O,X,X,X
IOLZTJS,O,X,O,X,X,X
IOLZTSJ,O,X,O,X,X,X
IOLZJTS,O,X,O,X,X,X
IOLZJST,O,X,O,X,X,X
IOLZSTJ,O,X,O,X,X,X
IOLZSJT,O,X,O,X,X,X
IOJTLSZ,X,O,X,X,X,O
IOJTLZS,X,O,O,X,X,O
IOJTSLZ,X,O,X,X,O,O
IOJTSZL,X,O,X,X,O,X
IOJTZLS,O,O,O,X,X,X
IOJTZSL,O,O,O,X,O,X
IOJLTSZ,X,O,X,X,X,X
IOJLTZS,O,O,O,X,X,X
IOJLSTZ,O,X,X,X,X,X
IOJLSZT,O,X,O,X,X,X
IOJLZTS,O,X,O,X,X,X
IOJLZST,O,X,O,X,X,X
IOJSTLZ,X,O,X,X,O,O
IOJSTZL,X,O,X,X,O,X
IOJSLTZ,X,X,X,X,O,X
IOJSLZT,X,X,O,X,X,X
IOJSZTL,X,X,O,X,O,X
IOJSZLT,X,X,O,X,X,X
IOJZTLS,O,O,O,X,X,X
IOJZTSL,O,O,O,X,O,X
IOJZLTS,O,X,O,X,X,X
IOJZLST,O,X,O,X,X,X
IOJZSTL,O,X,O,X,O,X
IOJZSLT,O,X,O,X,X,X
IOSTLJZ,X,O,X,X,O,O
IOSTLZJ,X,O,X,X,O,O
IOSTJLZ,X,O,X,X,O,O
IOSTJZL,X,O,X,X,O,X
IOSTZLJ,X,X,X,X,O,X
IOSTZJL,X,O,X,X,O,X
IOSLTJZ,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,O,X
IOSLJTZ,X,X,X,X,O,X
IOSLJZT,X,X,O,X,X,X
IOSLZTJ,X,X,O,X,X,X
IOSLZJT,X,X,O,X,X,X
IOSJTLZ,X,O,X,X,O,O
IOSJTZL,X,O,X,X,O,X
IOSJLTZ,X,X,X,X,O,X
IOSJLZT,X,X,O,X,X,X
IOSJZTL,X,X,O,X,O,X
IOSJZLT,X,X,O,X,X,X
IOSZTLJ,X,X,O,X,O,X
IOSZTJL,X,X,O,X,O,X
IOSZLTJ,X,X,O,X,X,X
IOSZLJT,X,X,O,X,X,X
IOSZJTL,X,X,O,X,O,X
IOSZJLT,X,X,O,X,X,X
IOZTLJS,O,O,O,X,X,X
IOZTLSJ,O,O,O,X,X,X
IOZTJLS,O,O,O,X,X,X
IOZTJSL,O,O,O,X,O,X
IOZTSLJ,X,X,O,X,O,X
IOZTSJL,O,O,O,X,O,X
IOZLTJS,O,X,O,X,X,X
IOZLTSJ,O,X,O,X,X,X
IOZLJTS,O,X,O,X,X,X
IOZLJST,O,X,O,X,X,X
IOZLSTJ,O,X,O,X,X,X
IOZLSJT,O,X,O,X,X,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,O,O,O,X,O,X
IOZJLTS,O,X,O,X,X,X
IOZJLST,O,X,O,X,X,X
IOZJSTL,O,X,O,X,O,X
IOZJSLT,O,X,O,X,X,X
IOZSTLJ,X,X,O,X,O,X
IOZSTJL,O,X,O,X,O,X
IOZSLTJ,O,X,O,X,X,X
IOZSLJT,O,X,O,X,X,X
IOZSJTL,O,X,O,X,O,X
IOZSJLT,O,X,O,X,X,X
LTIJSZO,X,O,X,O,X,O
LTIJSOZ,X,O,X,O,X,O
LTIJZSO,O,O,X,O,X,O
LTIJZOS,O,O,X,X,X,O
LTIJOSZ,X,O,X,X,X,O
LTIJOZS,O,O,X,X,X,O
LTISJZO,X,O,X,O,X,O
LTISJOZ,X,O,X,O,X,O
LTISZJO,X,O,X,O,X,O
LTISZOJ,X,O,X,O,X,O
LTISOJZ,X,O,X,O,X,O
LTISOZJ,X,O,X,O,X,O
LTIZJSO,O,O,X,O,X,O
LTIZJOS,O,O,X,X,X,O
LTIZSJO,O,O,X,O,X,O
LTIZSOJ,X,O,X,O,X,O
LTIZOJS,O,O,X,X,X,O
LTIZOSJ,O,O,X,X,X,O
LTIOJSZ,X,O,X,X,X,O
LTIOJZS,O,O,X,X,X,O
LTIOSJZ,X,O,X,X,X,O
LTIOSZJ,X,O,X,X,X,O
LTIOZJS,O,O,X,X,X,O
LTIOZSJ,O,O,X,X,X,O
LTJISZO,X,O,X,O,X,O
LTJISOZ,X,O,X,O,X,O
LTJIZSO,O,O,X,O,X,O
LTJIZOS,O,O,X,X,X,O
LTJIOSZ,X,O,X,X,X,O
LTJIOZS,O,O,X,X,X,O
LTJSIZO,O,O,X,O,O,O
LTJSIOZ,O,O,X,O,O,O
LTJSZIO,O,O,X,O,O,O
LTJSZOI,O,O,X,O,O,O
LTJSOIZ,O,O,X,O,O,O
LTJSOZI,O,O,X,O,O,O
LTJZISO,O,O,O,O,X,O
LTJZIOS,O,O,O,X,X,O
LTJZSIO,O,O,X,O,O,O
LTJZSOI,O,O,X,O,O,O
LTJZOIS,O,O,O,X,X,O
LTJZOSI,O,O,X,O,X,O
LTJOISZ,X,O,X,X,X,O
LTJOIZS,O,O,X,X,X,O
LTJOSIZ,O,O,X,O,O,O
LTJOSZI,O,O,X,O,O,O
LTJOZIS,O,O,O,X,X,O
LTJOZSI,O,O,X,O,O,O
LTSIJZO,O,O,X,O,O,O
LTSIJOZ,O,O,X,O,O,O
LTSIZJO,O,O,X,O,O,O
LTSIZOJ,O,O,X,O,X,O
LTSIOJZ,O,O,X,O,O,O
LTSIOZJ,O,O,X,O,O,O
LTSJIZO,O,O,X,O,O,O
LTSJIOZ,O,O,X,O,O,O
LTSJZIO,O,O,X,O,O,O
LTSJZOI,O,O,X,O,O,O
LTSJOIZ,O,O,X,O,O,O
LTSJOZI,O,O,X,O,O,O
LTSZIJO,O,O,X,O,O,O
LTSZIOJ,O,O,X,O,X,O
LTSZJIO,O,O,X,O,O,O
LTSZJOI,O,O,X,O,O,O
LTSZOIJ,O,O,X,O,X,O
LTSZOJI,O,O,X,O,X,O
LTSOIJZ,O,O,X,O,O,O
LTSOIZJ,O,O,X,O,O,O
LTSOJIZ,O,O,X,O,O,O
LTSOJZI,O,O,X,O,O,O
LTSOZIJ,O,O,X,O,O,O
LTSOZJI,O,O,X,O,O,O
LTZIJSO,O,O,O,O,X,O
LTZIJOS,O,O,O,X,X,O
LTZISJO,O,O,O,O,X,O
LTZISOJ,O,O,O,O,X,O
LTZIOJS,O,O,O,X,X,O
LTZIOSJ,O,O,O,X,X,O
LTZJISO,O,O,O,O,X,O
LTZJIOS,O,O,O,X,X,O
LTZJSIO,O,O,X,O,O,O
LTZJSOI,O,O,X,O,O,O
LTZJOIS,O,O,O,X,X,O
LTZJOSI,O,O,X,O,X,O
LTZSIJO,O,O,X,O,O,O
LTZSIOJ,O,O,X,O,X,O
LTZSJIO,O,O,X,O,O,O
LTZSJOI,O,O,X,O,O,O
LTZSOIJ,O,O,X,O,X,O
LTZSOJI,O,O,X,O,X,O
LTZOIJS,O,O,O,X,X,O
LTZOISJ,O,O,O,X,X,O
LTZOJIS,O,O,O,X,X,O
LTZOJSI,O,O,X,O,X,O
LTZOSIJ,O,O,X,O,X,O
LTZOSJI,O,O,X,O,X,O
LTOIJSZ,X,O,X,X,X,O
LTOIJZS,O,O,X,X,X,O
LTOISJZ,X,O,X,X,X,O
LTOISZJ,X,O,X,X,X,O
LTOIZJS,O,O,X,X,X,O
LTOIZSJ,O,O,X,X,X,O
LTOJISZ,X,O,X,X,X,O
LTOJIZS,O,O,X,X,X,O
LTOJSIZ,O,O,X,O,O,O
LTOJSZI,O,O,X,O,O,O
LTOJZIS,O,O,O,X,X,O
LTOJZSI,O,O,X,O,O,O
LTOSIJZ,O,O,X,O,O,O
LTOSIZJ,O,O,X,O,O,O
LTOSJIZ,O,O,X,O,O,O
LTOSJZI,O,O,X,O,O,O
LTOSZIJ,O,O,X,O,O,O
LTOSZJI,O,O,X,O,O,O
LTOZIJS,O,O,O,X,X,O
LTOZISJ,O,O,O,X,X,O
LTOZJIS,O,O,O,X,X,O
LTOZJSI,O,O,X,O,O,O
LTOZSIJ,O,O,X,O,O,O
LTOZSJI,O,O,X,O,O,O
LITJSZO,X,O,X,O,X,X
LITJSOZ,X,O,X,O,X,X
LITJZSO,O,O,O,O,X,X
LITJZOS,O,O,O,X,X,X
LITJOSZ,X,O,X,X,X,X
LITJOZS,O,O,O,X,X,X
LITSJZO,X,O,X,O,X,X
LITSJOZ,X,O,X,O,X,X
LITSZJO,X,O,X,O,X,X
LITSZOJ,X,O,X,O,X,X
LITSOJZ,X,O,X,O,X,X
LITSOZJ,X,O,X,O,X,X
LITZJSO,O,O,O,O,X,X
LITZJOS,O,O,O,X,X,X
LITZSJO,O,O,O,O,X,X
LITZSOJ,X,O,O,O,X,X
LITZOJS,O,O,O,X,X,X
LITZOSJ,O,O,O,X,X,X
LITOJSZ,X,O,X,X,X,X
LITOJZS,O,O,O,X,X,X
LITOSJZ,X,O,X,X,X,X
LITOSZJ,X,O,X,X,X,X
LITOZJS,O,O,O,X,X,X
LITOZSJ,O,O,O,X,X,X
LIJTSZO,X,O,X,O,X,X
LIJTSOZ,X,O,X,O,X,X
LIJTZSO,O,O,O,O,X,X
LIJTZOS,O,O,O,X,X,X
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,O,O,O,X,X,X
LIJSTZO,O,O,X,O,X,X
LIJSTOZ,O,O,X,O,X,X
LIJSZTO,O,X,O,O,X,X
LIJSZOT,O,X,O,X,X,X
LIJSOTZ,O,X,X,X,X,X
LIJSOZT,O,X,O,X,X,X
LIJZTSO,O,O,O,O,X,X
LIJZTOS,O,O,O,X,X,X
LIJZSTO,O,X,O,O,X,X
LIJZSOT,O,X,O,X,X,X
LIJZOTS,O,X,O,X,X,X
LIJZOST,O,X,O,X,X,X
LIJOTSZ,X,O,X,X,X,X
LIJOTZS,O,O,O,X,X,X
LIJOSTZ,O,X,X,X,X,X
LIJOSZT,O,X,O,X,X,X
LIJOZTS,O,X,O,X,X,X
LIJOZST,O,X,O,X,X,X
LISTJZO,O,O,X,O,X,X
LISTJOZ,O,O,X,O,X,X
LISTZJO,O,O,X,O,X,X
LISTZOJ,O,O,X,O,X,X
LISTOJZ,O,O,X,O,X,X
LISTOZJ,O,O,X,O,X,X
LISJTZO,O,O,X,O,X,X
LISJTOZ,O,O,X,O,X,X
LISJZTO,O,X,O,O,X,X
LISJZOT,O,X,O,X,X,X
LISJOTZ,O,X,X,X,X,X
LISJOZT,O,X,O,X,X,X
LISZTJO,O,X,O,O,X,X
LISZTOJ,O,X,O,O,X,X
LISZJTO,O,X,O,O,X,X
LISZJOT,O,X,O,X,X,X
LISZOTJ,O,X,O,X,X,X
LISZOJT,O,X,O,X,X,X
LISOTJZ,O,X,X,X,X,X
LISOTZJ,O,X,X,X,X,X
LISOJTZ,O,X,X,X,X,X
LISOJZT,O,X,O,X,X,X
LISOZTJ,O,X,O,X,X,X
LISOZJT,O,X,O,X,X,X
LIZTJSO,O,O,O,O,X,X
LIZTJOS,O,O,O,X,X,X
LIZTSJO,O,O,O,O,X,X
LIZTSOJ,O,O,O,O,X,X
LIZTOJS,O,O,O,X,X,X
LIZTOSJ,O,O,O,X,X,X
LIZJTSO,O,O,O,O,X,X
LIZJTOS,O,O,O,X,X,X
LIZJSTO,O,X,O,O,X,X
LIZJSOT,O,X,O,X,X,X
LIZJOTS,O,X,O,X,X,X
LIZJOST,O,X,O,X,X,X
LIZSTJO,O,X,O,O,X,X
LIZSTOJ,O,X,O,O,X,X
LIZSJTO,O,X,O,O,X,X
LIZSJOT,O,X,O,X,X,X
LIZSOTJ,O,X,O,X,X,X
LIZSOJT,O,X,O,X,X,X
LIZOTJS,O,X,O,X,X,X
LIZOTSJ,O,X,O,X,X,X
LIZOJTS,O,X,O,X,X,X
LIZOJST,O,X,O,X,X,X
LIZOSTJ,O,X,O,X,X,X
LIZOSJT,O,X,O,X,X,X
LIOTJSZ,X,O,X,X,X,X
LIOTJZS,O,O,O,X,X,X
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,O,O,O,X,X,X
LIOTZSJ,O,O,O,X,X,X
LIOJTSZ,X,O,X,X,X,X
LIOJTZS,O,O,O,X,X,X
LIOJSTZ,O,X,X,X,X,X
LIOJSZT,O,X,O,X,X,X
LIOJZTS,O,X,O,X,X,X
LIOJZST,O,X,O,X,X,X
LIOSTJZ,O,X,X,X,X,X
LIOSTZJ,O,X,X,X,X,X
LIOSJTZ,O,X,X,X,X,X
LIOSJZT,O,X,O,X,X,X
LIOSZTJ,O,X,O,X,X,X
LIOSZJT,O,X,O,X,X,X
LIOZTJS,O,X,O,X,X,X
LIOZTSJ,O,X,O,X,X,X
LIOZJTS,O,X,O,X,X,X
LIOZJST,O,X,O,X,X,X
LIOZSTJ,O,X,O,X,X,X
LIOZSJT,O,X,O,X,X,X
LJTISZO,X,O,X,O,X,O
LJTISOZ,X,O,X,O,X,O
LJTIZSO,O,O,X,O,X,O
LJTIZOS,O,O,X,X,X,O
LJTIOSZ,X,O,X,X,X,O
LJTIOZS,O,O,X,X,X,O
LJTSIZO,O,O,X,O,O,O
LJTSIOZ,O,O,X,O,O,O
LJTSZIO,O,O,X,O,O,O
LJTSZOI,O,O,X,O,O,O
LJTSOIZ,O,O,X,O,O,O
LJTSOZI,O,O,X,O,O,O
LJTZISO,O,O,O,O,X,O
LJTZIOS,O,O,O,X,X,O
LJTZSIO,O,O,X,O,O,O
LJTZSOI,O,O,X,O,O,O
LJTZOIS,O,O,O,X,X,O
LJTZOSI,O,O,X,O,X,O
LJTOISZ,X,O,X,X,X,O
LJTOIZS,O,O,X,X,X,O
LJTOSIZ,O,O,X,O,O,O
LJTOSZI,O,O,X,O,O,O
LJTOZIS,O,O,O,X,X,O
LJTOZSI,O,O,X,O,O,O
LJITSZO,X,O,X,O,X,X
LJITSOZ,X,O,X,O,X,X
LJITZSO,O,O,O,O,X,X
LJITZOS,O,O,O,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,O,O,O,X,X,X
LJISTZO,O,O,X,O,X,X
LJISTOZ,O,O,X,O,X,X
LJISZTO,O,X,O,O,X,X
LJISZOT,O,X,O,X,X,X
LJISOTZ,O,X,X,X,X,X
LJISOZT,O,X,O,X,X,X
LJIZTSO,O,O,O,O,X,X
LJIZTOS,O,O,O,X,X,X
LJIZSTO,O,X,O,O,X,X
LJIZSOT,O,X,O,X,X,X
LJIZOTS,O,X,O,X,X,X
LJIZOST,O,X,O,X,X,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,O,O,O,X,X,X
LJIOSTZ,O,X,X,X,X,X
LJIOSZT,O,X,O,X,X,X
LJIOZTS,O,X,O,X,X,X
LJIOZST,O,X,O,X,X,X
LJSTIZO,O,O,X,O,O,O
LJSTIOZ,O,O,X,O,O,O
LJSTZIO,O,O,X,O,O,O
LJSTZOI,O,O,X,O,O,O
LJSTOIZ,O,O,X,O,O,O
LJSTOZI,O,O,X,O,O,O
LJSITZO,O,O,X,O,O,X
LJSITOZ,O,O,X,O,O,X
LJSIZTO,O,X,X,O,X,X
LJSIZOT,O,X,X,X,X,X
LJSIOTZ,O,X,X,X,O,X
LJSIOZT,O,X,X,X,X,X
LJSZTIO,O,X,X,O,O,X
LJSZTOI,O,X,X,O,O,X
LJSZITO,O,X,X,O,X,X
LJSZIOT,O,X,X,X,X,X
LJSZOTI,O,X,X,O,X,X
LJSZOIT,O,X,X,X,X,X
LJSOTIZ,O,X,X,O,O,O
LJSOTZI,O,X,X,O,O,O
LJSOITZ,O,X,X,X,O,X
LJSOIZT,O,X,X,X,X,X
LJSOZTI,O,X,X,O,O,X
LJSOZIT,O,X,X,X,X,X
LJZTISO,O,O,O,O,X,X
LJZTIOS,O,O,O,X,X,X
LJZTSIO,O,O,X,O,O,X
LJZTSOI,O,O,X,O,O,X
LJZTOIS,O,O,O,X,X,X
LJZTOSI,O,O,X,O,X,X
LJZITSO,O,O,O,O,X,X
LJZITOS,O,O,O,X,X,X
LJZISTO,O,X,O,O,X,X
LJZISOT,O,X,O,X,X,X
LJZIOTS,O,X,O,X,X,X
LJZIOST,O,X,O,X,X,X
LJZSTIO,O,X,X,O,O,X
LJZSTOI,O,X,X,O,O,X
LJZSITO,O,X,X,O,X,X
LJZSIOT,O,X,X,X,X,X
LJZSOTI,O,X,X,O,X,X
LJZSOIT,O,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X
LJZOTSI,O,X,X,O,X,X
LJZOITS,O,X,O,X,X,X
LJZOIST,O,X,O,X,X,X
LJZOSTI,O,X,X,O,X,X
LJZOSIT,O,X,X,X,X,X
LJOTISZ,X,O,X,X,X,O
LJOTIZS,O,O,X,X,X,O
LJOTSIZ,O,O,X,O,O,O
LJOTSZI,O,O,X,O,O,O
LJOTZIS,O,O,O,X,X,O
LJOTZSI,O,O,X,O,O,O
LJOITSZ,X,O,X,X,X,X
LJOITZS,O,O,O,X,X,X
LJOISTZ,O,X,X,X,X,X
LJOISZT,O,X,O,X,X,X
LJOIZTS,O,X,O,X,X,X
LJOIZST,O,X,O,X,X,X
LJOSTIZ,O,X,X,O,O,O
LJOSTZI,O,X,X,O,O,O
LJOSITZ,O,X,X,X,O,X
LJOSIZT,O,X,X,X,X,X
LJOSZTI,O,X,X,O,O,X
LJOSZIT,O,X,X,X,X,X
LJOZTIS,O,X,O,X,X,X
LJOZTSI,O,X,X,O,O,X
LJOZITS,O,X,O,X,X,X
LJOZIST,O,X,O,X,X,X
LJOZSTI,O,X,X,O,O,X
LJOZSIT,O,X,X,X,X,X
LSTIJZO,O,O,X,O,O,O
LSTIJOZ,O,O,X,O,O,O
LSTIZJO,O,O,X,O,O,O
LSTIZOJ,O,O,X,O,X,O
LSTIOJZ,O,O,X,O,O,O
LSTIOZJ,O,O,X,O,O,O
LSTJIZO,O,O,X,O,O,O
LSTJIOZ,O,O,X,O,O,O
LSTJZIO,O,O,X,O,O,O
LSTJZOI,O,O,X,O,O,O
LSTJOIZ,O,O,X,O,O,O
LSTJOZI,O,O,X,O,O,O
LSTZIJO,O,O,X,O,O,O
LSTZIOJ,O,O,X,O,X,O
LSTZJIO,O,O,X,O,O,O
LSTZJOI,O,O,X,O,O,O
LSTZOIJ,O,O,X,O,X,O
LSTZOJI,O,O,X,O,X,O
LSTOIJZ,O,O,X,O,O,O
LSTOIZJ,O,O,X,O,O,O
LSTOJIZ,O,O,X,O,O,O
LSTOJZI,O,O,X,O,O,O
LSTOZIJ,O,O,X,O,O,O
LSTOZJI,O,O,X,O,O,O
LSITJZO,O,O,X,O,O,X
LSITJOZ,O,O,X,O,O,X
LSITZJO,O,O,X,O,O,X
LSITZOJ,O,O,X,O,X,X
LSITOJZ,O,O,X,O,O,X
LSITOZJ,O,O,X,O,O,X
LSIJTZO,O,O,X,O,O,X
LSIJTOZ,O,O,X,O,O,X
LSIJZTO,O,X,X,O,X,X
LSIJZOT,O,X,X,X,X,X
LSIJOTZ,O,X,X,X,O,X
LSIJOZT,O,X,X,X,X,X
LSIZTJO,O,X,X,O,X,X
LSIZTOJ,O,X,X,O,X,X
LSIZJTO,O,X,X,O,X,X
LSIZJOT,O,X,X,X,X,X
LSIZOTJ,O,X,X,X,X,X
LSIZOJT,O,X,X,X,X,X
LSIOTJZ,O,X,X,X,O,X
LSIOTZJ,O,X,X,X,O,X
LSIOJTZ,O,X,X,X,O,X
LSIOJZT,O,X,X,X,X,X
LSIOZTJ,O,X,X,X,X,X
LSIOZJT,O,X,X,X,X,X
LSJTIZO,O,O,X,O,O,O
LSJTIOZ,O,O,X,O,O,O
LSJTZIO,O,O,X,O,O,O
LSJTZOI,O,O,X,O,O,O
LSJTOIZ,O,O,X,O,O,O
LSJTOZI,O,O,X,O,O,O
LSJITZO,O,O,X,O,O,X
LSJITOZ,O,O,X,O,O,X
LSJIZTO,O,X,X,O,X,X
LSJIZOT,O,X,X,X,X,X
LSJIOTZ,O,X,X,X,O,X
LSJIOZT,O,X,X,X,X,X
LSJZTIO,O,X,X,O,O,X
LSJZTOI,O,X,X,O,O,X
LSJZITO,O,X,X,O,X,X
LSJZIOT,O,X,X,X,X,X
LSJZOTI,O,X,X,O,X,X
LSJZOIT,O,X,X,X,X,X
LSJOTIZ,O,X,X,O,O,O
LSJOTZI,O,X,X,O,O,O
LSJOITZ,O,X,X,X,O,X
LSJOIZT,O,X,X,X,X,X
LSJOZTI,O,X,X,O,O,X
LSJOZIT,O,X,X,X,X,X
LSZTIJO,O,X,X,O,O,X
LSZTIOJ,O,X,X,O,X,X
LSZTJIO,O,X,X,O,O,X
LSZTJOI,O,X,X,O,O,X
LSZTOIJ,O,X,X,O,X,X
LSZTOJI,O,X,X,O,X,X
LSZITJO,O,X,X,O,X,X
LSZITOJ,O,X,X,O,X,X
LSZIJTO,O,X,X,O,X,X
LSZIJOT,O,X,X,X,X,X
LSZIOTJ,O,X,X,X,X,X
LSZIOJT,O,X,X,X,X,X
LSZJTIO,O,X,X,O,O,X
LSZJTOI,O,X,X,O,O,X
LSZJITO,O,X,X,O,X,X
LSZJIOT,O,X,X,X,X,X
LSZJOTI,O,X,X,O,X,X
LSZJOIT,O,X,X,X,X,X
LSZOTIJ,O,X,X,O,X,X
LSZOTJI,O,X,X,O,X,X
LSZOITJ,O,X,X,X,X,X
LSZOIJT,O,X,X,X,X,X
LSZOJTI,O,X,X,O,X,X
LSZOJIT,O,X,X,X,X,X
LSOTIJZ,O,X,X,O,O,O
LSOTIZJ,O,X,X,O,O,O
LSOTJIZ,O,X,X,O,O,O
LSOTJZI,O,X,X,O,O,O
LSOTZIJ,O,X,X,O,O,O
LSOTZJI,O,X,X,O,O,O
LSOITJZ,O,X,X,X,O,X
LSOITZJ,O,X,X,X,O,X
LSOIJTZ,O,X,X,X,O,X
LSOIJZT,O,X,X,X,X,X
LSOIZTJ,O,X,X,X,X,X
LSOIZJT,O,X,X,X,X,X
LSOJTIZ,O,X,X,O,O,O
LSOJTZI,O,X,X,O,O,O
LSOJITZ,O,X,X,X,O,X
LSOJIZT,O,X,X,X,X,X
LSOJZTI,O,X,X,O,O,X
LSOJZIT,O,X,X,X,X,X
LSOZTIJ,O,X,X,O,O,X
LSOZTJI,O,X,X,O,O,X
LSOZITJ,O,X,X,X,X,X
LSOZIJT,O,X,X,X,X,X
LSOZJTI,O,X,X,O,O,X
LSOZJIT,O,X,X,X,X,X
LZTIJSO,O,O,O,O,X,X
LZTIJOS,O,O,O,X,X,X
LZTISJO,O,O,O,O,X,X
LZTISOJ,O,O,O,O,X,X
LZTIOJS,O,O,O,X,X,X
LZTIOSJ,O,O,O,X,X,X
LZTJISO,O,O,O,O,X,X
LZTJIOS,O,O,O,X,X,X
LZTJSIO,O,O,X,O,O,X
LZTJSOI,O,O,X,O,O,X
LZTJOIS,O,O,O,X,X,X
LZTJOSI,O,O,X,O,X,X
LZTSIJO,O,O,X,O,O,X
LZTSIOJ,O,O,X,O,X,X
LZTSJIO,O,O,X,O,O,X
LZTSJOI,O,O,X,O,O,X
LZTSOIJ,O,O,X,O,X,X
LZTSOJI,O,O,X,O,X,X
LZTOIJS,O,O,O,X,X,X
LZTOISJ,O,O,O,X,X,X
LZTOJIS,O,O,O,X,X,X
LZTOJSI,O,O,X,O,X,X
LZTOSIJ,O,O,X,O,X,X
LZTOSJI,O,O,X,O,X,X
LZITJSO,O,O,O,O,X,X
LZITJOS,O,O,O,X,X,X
LZITSJO,O,O,O,O,X,X
LZITSOJ,O,O,O,O,X,X
LZITOJS,O,O,O,X,X,X
LZITOSJ,O,O,O,X,X,X
LZIJTSO,O,O,O,O,X,X
LZIJTOS,O,O,O,X,X,X
LZIJSTO,O,X,O,O,X,X
LZIJSOT,O,X,O,X,X,X
LZIJOTS,O,X,O,X,X,X
LZIJOST,O,X,O,X,X,X
LZISTJO,O,X,O,O,X,X
LZISTOJ,O,X,O,O,X,X
LZISJTO,O,X,O,O,X,X
LZISJOT,O,X,O,X,X,X
LZISOTJ,O,X,O,X,X,X
LZISOJT,O,X,O,X,X,X
LZIOTJS,O,X,O,X,X,X
LZIOTSJ,O,X,O,X,X,X
LZIOJTS,O,X,O,X,X,X
LZIOJST,O,X,O,X,X,X
LZIOSTJ,O,X,O,X,X,X
LZIOSJT,O,X,O,X,X,X
LZJTISO,O,O,O,O,X,X
LZJTIOS,O,O,O,X,X,X
LZJTSIO,O,O,X,O,O,X
LZJTSOI,O,O,X,O,O,X
LZJTOIS,O,O,O,X,X,X
LZJTOSI,O,O,X,O,X,X
LZJITSO,O,O,O,O,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,X,O,O,X,X
LZJISOT,O,X,O,X,X,X
LZJIOTS,O,X,O,X,X,X
LZJIOST,O,X,O,X,X,X
LZJSTIO,O,X,X,O,O,X
LZJSTOI,O,X,X,O,O,X
LZJSITO,O,X,X,O,X,X
LZJSIOT,O,X,X,X,X,X
LZJSOTI,O,X,X,O,X,X
LZJSOIT,O,X,X,X,X,X
LZJOTIS,O,X,O,X,X,X
LZJOTSI,O,X,X,O,X,X
LZJOITS,O,X,O,X,X,X
LZJOIST,O,X,O,X,X,X
LZJOSTI,O,X,X,O,X,X
LZJOSIT,O,X,X,X,X,X
LZSTIJO,O,X,X,O,O,X
LZSTIOJ,O,X,X,O,X,X
LZSTJIO,O,X,X,O,O,X
LZSTJOI,O,X,X,O,O,X
LZSTOIJ,O,X,X,O,X,X
LZSTOJI,O,X,X,O,X,X
LZSITJO,O,X,X,O,X,X
LZSITOJ,O,X,X,O,X,X
LZSIJTO,O,X,X,O,X,X
LZSIJOT,O,X,X,X,X,X
LZSIOTJ,O,X,X,X,X,X
LZSIOJT,O,X,X,X,X,X
LZSJTIO,O,X,X,O,O,X
LZSJTOI,O,X,X,O,O,X
LZSJITO,O,X,X,O,X,X
LZSJIOT,O,X,X,X,X,X
LZSJOTI,O,X,X,O,X,X
LZSJOIT,O,X,X,X,X,X
LZSOTIJ,O,X,X,O,X,X
LZSOTJI,O,X,X,O,X,X
LZSOITJ,O,X,X,X,X,X
LZSOIJT,O,X,X,X,X,X
LZSOJTI,O,X,X,O,X,X
LZSOJIT,O,X,X,X,X,X
LZOTIJS,O,X,O,X,X,X
LZOTISJ,O,X,O,X,X,X
LZOTJIS,O,X,O,X,X,X
LZOTJSI,O,X,X,O,X,X
LZOTSIJ,O,X,X,O,X,X
LZOTSJI,O,X,X,O,X,X
LZOITJS,O,X,O,X,X,X
LZOITSJ,O,X,O,X,X,X
LZOIJTS,O,X,O,X,X,X
LZOIJST,O,X,O,X,X,X
LZOISTJ,O,X,O,X,X,X
LZOISJT,O,X,O,X,X,X
