sequence,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhF/lBUhBRiBmnBlp?ByvB,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhFUiBaoBxlBlpB3q?BmqB,v115@GhA8IeA8EeC8AeB8DeE8JeOEJvhFlgBUiBaoBzkBXm?BRvB,v115@GhA8IeA8EeC8AeB8DeE8Jex/IvhFXhBVnBaoBmkB0p?BzqB,v115@GhA8IeA8EeC8AeB8DeE8Jel/IvhFUhBRiB/pBTlBmn?ByvB
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,O,O,O
TSJIZLO,O,O,O,X,O
TSJIZOL,O,O,O,X,O
TSJIOLZ,O,O,O,X,O
TSJIOZL,O,O,O,X,O
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,X,O,O
TSJLOZI,O,O,O,O,O
TSJZILO,O,O,O,O,O
TSJZIOL,O,O,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,X,O,O
TSJZOLI,O,O,O,O,X
TSJOILZ,O,O,X,O,O
TSJOIZL,O,O,X,X,O
TSJOLIZ,O,O,X,O,O
TSJOLZI,O,O,O,O,O
TSJOZIL,O,O,X,O,O
TSJOZLI,O,O,O,O,X
TSZILJO,X,O,O,O,O
TSZILOJ,O,O,O,O,O
TSZIJLO,O,O,O,O,O
TSZIJOL,O,O,O,O,O
TSZIOLJ,O,O,O,O,O
TSZIOJL,O,O,O,X,O
TSZLIJO,X,O,O,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,O,O,O
TSZLJOI,O,O,O,O,O
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,O,O,O,O
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,X,O,O
TSZJOLI,O,O,O,O,X
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,O,O
TSZOLIJ,O,O,O,O,X
TSZOLJI,O,O,O,O,X
TSZOJIL,O,O,X,O,O
TSZOJLI,O,O,O,O,X
TSOILJZ,X,O,O,O,X
TSOILZJ,X,O,O,O,X
TSOIJLZ,O,O,O,O,X
TSOIJZL,O,O,O,X,X
TSOIZLJ,O,O,O,O,X
TSOIZJL,O,O,O,O,X
TSOLIJZ,O,O,O,O,X
TSOLIZJ,O,O,O,O,X
TSOLJIZ,O,O,X,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,O,O,O,O
TSOLZJI,O,O,O,O,O
TSOJILZ,O,O,X,O,O
TSOJIZL,O,O,X,X,O
TSOJLIZ,O,O,X,O,O
TSOJLZI,O,O,O,O,O
TSOJZIL,O,O,X,O,O
TSOJZLI,O,O,O,O,X
TSOZILJ,O,O,O,O,O
TSOZIJL,O,O,O,O,O
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,X,O,O
TSOZJLI,O,O,O,O,X
TZILJSO,X,X,O,O,X
TZILJOS,X,O,O,O,X
TZILSJO,O,O,O,O,O
TZILSOJ,O,O,O,O,O
TZILOJS,X,O,O,O,X
TZILOSJ,X,O,O,O,O
TZIJLSO,X,X,O,O,X
TZIJLOS,X,O,O,O,X
TZIJSLO,X,X,O,O,X
TZIJSOL,X,X,O,O,X
TZIJOLS,X,O,O,O,X
TZIJOSL,X,X,O,O,X
TZISLJO,X,O,O,O,O
TZISLOJ,X,O,O,O,O
TZISJLO,X,O,O,O,O
TZISJOL,X,O,O,O,O
TZISOLJ,X,O,O,O,O
TZISOJL,X,O,O,X,O
TZIOLJS,X,O,O,O,X
TZIOLSJ,X,O,O,O,X
TZIOJLS,X,O,O,O,X
TZIOJSL,X,X,O,O,X
TZIOSLJ,X,O,O,O,X
TZIOSJL,X,O,O,O,X
TZLIJSO,X,X,O,O,X
TZLIJOS,X,O,O,O,X
TZLISJO,O,O,O,O,O
TZLISOJ,O,O,O,O,O
