sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TZIJLSO,O,O,O,O,O,O
TZIJLOS,O,O,O,O,O,O
TZIJSLO,O,O,O,O,O,X
TZIJSOL,O,O,O,O,O,X
TZIJOLS,O,O,O,O,O,O
TZIJOSL,O,O,O,O,O,X
TZISLJO,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,X
TZISJLO,O,O,O,O,O,X
TZISJOL,O,O,O,O,O,X
TZISOLJ,O,O,O,O,O,X
TZISOJL,O,O,O,O,O,X
TZIOLJS,O,O,O,O,O,O
TZIOLSJ,O,O,O,O,O,O
TZIOJLS,O,O,O,O,O,O
TZIOJSL,O,O,O,O,O,X
TZIOSLJ,O,O,O,O,O,X
TZIOSJL,O,O,O,O,O,X
TZLIJSO,O,O,O,O,O,O
TZLIJOS,O,O,O,O,O,O
TZLISJO,O,O,O,O,O,O
TZLISOJ,O,O,O,O,O,O
TZLIOJS,O,O,O,O,O,O
TZLIOSJ,O,O,O,O,O,O
TZLJISO,O,O,O,O,O,O
TZLJIOS,O,O,O,O,O,O
TZLJSIO,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O
TZLJOIS,O,O,O,O,O,O
TZLJOSI,O,O,O,O,O,O
TZLSIJO,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O
TZLOIJS,O,O,O,O,O,O
TZLOISJ,O,O,O,O,O,O
TZLOJIS,O,O,O,O,O,O
TZLOJSI,O,O,O,O,O,O
TZLOSIJ,O,O,O,O,O,O
TZLOSJI,O,O,O,O,O,O
TZJILSO,O,O,O,O,O,O
TZJILOS,O,O,O,O,O,O
TZJISLO,O,O,O,O,O,X
TZJISOL,O,O,O,O,O,X
TZJIOLS,O,O,O,O,O,O
TZJIOSL,O,O,O,O,O,X
TZJLISO,O,O,O,O,O,O
TZJLIOS,O,O,O,O,O,O
TZJLSIO,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,X
TZJLOIS,O,O,O,O,O,O
TZJLOSI,O,O,O,O,O,X
TZJSILO,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,X
TZJSLIO,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,X
TZJSOLI,O,O,O,O,O,X
TZJOILS,O,O,O,O,O,O
TZJOISL,O,O,O,O,O,X
TZJOLIS,O,O,O,O,O,O
TZJOLSI,O,O,O,O,O,X
TZJOSIL,O,O,O,O,O,X
TZJOSLI,O,O,O,O,O,X
TZSILJO,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,X
TZSIJLO,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,X
TZSIOLJ,O,O,O,O,O,X
TZSIOJL,O,O,O,O,O,X
TZSLIJO,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,X
TZSLJIO,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,X
TZSLOJI,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,X
TZSJIOL,O,O,O,O,O,X
TZSJLIO,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,X
TZSJOLI,O,O,O,O,O,X
TZSOILJ,O,O,O,O,O,X
TZSOIJL,O,O,O,O,O,X
TZSOLIJ,O,O,O,O,O,X
