sequence,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBVnBaoBT?kBeqB0sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeKEJvhFUhBGiBZoBF?lB/sBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBliBikBU?nBetBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBmiBypBF?nBzsB0pB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeUBJvhFRiB/pBFlBi?nBzsBmpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeT/IvhFXhBZoBUnBl?pBOqB6sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFVmBUiBikBe?tB3nBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeOFJvhFXhBZoBTkBF?nB6sB0pB
ISLTJZO,O,O,O,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,O
ISLTZJO,O,O,X,X,X,O,X,X
ISLTZOJ,O,O,X,X,O,O,X,X
ISLTOJZ,O,O,X,O,X,X,X,O
ISLTOZJ,X,O,X,O,X,O,X,X
ISLJTZO,X,O,O,X,X,X,X,X
ISLJTOZ,X,O,O,X,X,X,X,O
ISLJZTO,X,O,O,X,X,X,X,X
ISLJZOT,X,O,O,X,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,O
ISLJOZT,X,O,O,O,X,X,X,X
ISLZTJO,O,O,X,X,X,O,X,X
ISLZTOJ,O,O,X,X,O,O,X,X
ISLZJTO,X,O,O,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X,X
ISLZOTJ,X,O,X,O,X,X,X,X
ISLZOJT,X,O,X,O,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,X,O
ISLOTZJ,X,O,X,O,X,X,X,X
ISLOJTZ,X,O,O,O,X,X,X,O
ISLOJZT,X,O,O,O,X,X,X,X
ISLOZTJ,X,O,X,O,X,X,X,X
ISLOZJT,X,O,X,O,X,X,X,X
ISJTLZO,O,O,O,X,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,X,O
ISJTZLO,O,O,O,X,X,O,X,X
ISJTZOL,O,X,O,X,X,O,X,O
ISJTOLZ,O,X,O,X,X,X,X,O
ISJTOZL,O,X,O,X,X,O,X,O
ISJLTZO,O,O,O,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,O
ISJLZTO,O,O,O,X,X,X,X,X
ISJLZOT,X,O,O,X,X,X,X,X
ISJLOTZ,X,O,O,X,X,X,X,O
ISJLOZT,X,O,O,X,X,X,X,X
ISJZTLO,O,O,O,X,X,O,X,X
ISJZTOL,O,X,O,X,X,O,X,O
ISJZLTO,O,O,O,X,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,X
ISJZOTL,O,X,O,X,X,X,X,O
ISJZOLT,O,O,O,X,X,X,X,X
ISJOTLZ,O,X,O,O,X,X,X,O
ISJOTZL,O,X,O,O,X,X,X,O
ISJOLTZ,O,O,O,O,X,X,X,O
ISJOLZT,O,O,O,O,X,X,X,X
ISJOZTL,O,X,O,O,X,X,X,O
ISJOZLT,O,O,O,O,X,X,X,X
ISZTLJO,O,O,X,X,X,O,X,X
ISZTLOJ,O,O,X,X,O,O,X,X
ISZTJLO,O,O,X,X,X,O,X,X
ISZTJOL,O,X,X,X,X,O,X,O
ISZTOLJ,O,X,X,X,O,O,X,X
ISZTOJL,X,X,X,X,X,O,X,O
ISZLTJO,O,O,X,X,X,O,X,X
ISZLTOJ,O,O,X,X,O,O,X,X
ISZLJTO,X,O,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X
ISZJTLO,O,O,O,X,X,O,X,X
ISZJTOL,O,X,O,X,X,O,X,O
ISZJLTO,O,O,O,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,X,X
ISZJOTL,O,X,O,X,X,X,X,O
ISZJOLT,O,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,O,O,X,X
ISZOTJL,X,X,X,O,X,O,X,O
ISZOLTJ,X,O,X,X,O,X,X,X
ISZOLJT,X,O,X,X,O,X,X,X
ISZOJTL,X,X,X,O,X,X,X,O
ISZOJLT,X,O,X,O,X,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,O
ISOTLZJ,X,X,X,O,O,O,X,X
ISOTJLZ,X,X,O,O,X,X,X,O
ISOTJZL,X,X,O,O,X,O,X,O
ISOTZLJ,O,X,X,X,O,O,X,X
ISOTZJL,X,X,X,O,X,O,X,O
ISOLTJZ,X,O,O,O,O,X,X,O
ISOLTZJ,X,O,X,O,O,X,X,X
ISOLJTZ,X,O,O,O,O,X,X,O
ISOLJZT,X,O,O,O,O,X,X,X
ISOLZTJ,X,O,X,O,O,X,X,X
ISOLZJT,X,O,O,O,O,X,X,X
ISOJTLZ,X,X,O,O,X,X,X,O
ISOJTZL,X,X,O,O,X,X,X,O
ISOJLTZ,X,O,O,O,X,X,X,O
ISOJLZT,X,O,O,O,X,X,X,X
ISOJZTL,X,X,O,O,X,X,X,O
ISOJZLT,X,O,O,O,X,X,X,X
ISOZTLJ,O,X,X,X,O,O,X,X
ISOZTJL,X,X,X,O,X,O,X,O
ISOZLTJ,X,O,X,X,O,X,X,X
ISOZLJT,X,O,X,X,O,X,X,X
ISOZJTL,X,X,O,O,X,X,X,O
ISOZJLT,X,O,O,O,X,X,X,X
IZTLJSO,O,O,X,X,X,O,X,X
IZTLJOS,O,X,X,X,X,O,X,X
IZTLSJO,O,O,X,X,X,O,X,X
IZTLSOJ,O,O,X,X,X,O,X,X
IZTLOJS,O,X,X,X,X,O,X,X
IZTLOSJ,X,O,X,X,X,O,X,X
IZTJLSO,O,X,X,X,X,O,X,X
IZTJLOS,O,X,X,X,X,O,X,X
IZTJSLO,O,X,X,X,X,O,X,X
IZTJSOL,O,X,X,X,X,O,X,X
IZTJOLS,O,X,X,X,X,O,X,X
IZTJOSL,O,X,X,X,X,O,X,X
IZTSLJO,O,O,X,X,X,O,X,X
IZTSLOJ,O,O,X,X,X,O,X,X
IZTSJLO,O,O,X,X,X,O,X,X
IZTSJOL,O,X,X,X,X,O,X,O
IZTSOLJ,O,X,X,X,X,O,X,X
IZTSOJL,X,X,X,X,X,O,X,O
IZTOLJS,O,X,X,X,X,O,X,X
IZTOLSJ,X,X,X,X,X,O,X,X
IZTOJLS,O,X,X,X,X,O,X,X
IZTOJSL,O,X,X,X,X,O,X,X
IZTOSLJ,X,X,X,X,X,O,X,X
IZTOSJL,X,X,X,X,X,O,X,O
IZLTJSO,O,O,X,X,X,O,X,X
IZLTJOS,O,X,X,X,X,O,X,X
IZLTSJO,O,O,X,X,X,O,X,X
IZLTSOJ,O,O,X,X,X,O,X,X
IZLTOJS,O,X,X,X,X,O,X,X
IZLTOSJ,X,O,X,X,X,O,X,X
IZLJTSO,O,O,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X
IZLJSOT,X,O,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,O,X,X
IZLSTOJ,X,O,X,X,O,O,X,X
IZLSJTO,X,O,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,O,X,X
IZJTLOS,O,X,X,X,X,O,X,X
IZJTSLO,O,X,X,X,X,O,X,X
IZJTSOL,O,X,X,X,X,O,X,X
IZJTOLS,O,X,X,X,X,O,X,X
IZJTOSL,O,X,X,X,X,O,X,X
IZJLTSO,O,O,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X
IZJLSOT,X,O,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,O,X,X
IZJSTOL,O,X,X,X,X,O,X,X
IZJSLTO,O,O,X,X,X,X,X,X
IZJSLOT,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,O,X,X
IZSTLOJ,O,O,X,X,O,O,X,X
IZSTJLO,O,O,X,X,X,O,X,X
IZSTJOL,O,X,X,X,X,O,X,O
IZSTOLJ,O,X,X,X,O,O,X,X
IZSTOJL,X,X,X,X,X,O,X,O
IZSLTJO,O,O,X,X,X,O,X,X
IZSLTOJ,O,O,X,X,O,O,X,X
IZSLJTO,X,O,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,O,X,X
IZSJTOL,O,X,X,X,X,O,X,O
IZSJLTO,O,O,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,O
IZSJOLT,O,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,O,O,X,X
IZSOTJL,X,X,X,X,X,O,X,O
IZSOLTJ,X,O,X,X,O,X,X,X
IZSOLJT,X,O,X,X,O,X,X,X
IZSOJTL,X,X,X,X,X,X,X,O
IZSOJLT,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X,X
IZOTLSJ,X,X,X,X,X,O,X,X
IZOTJLS,O,X,X,X,X,O,X,X
IZOTJSL,O,X,X,X,X,O,X,X
IZOTSLJ,X,X,X,X,X,O,X,X
IZOTSJL,X,X,X,X,X,O,X,O
IZOLTJS,O,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,O,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,O,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X
IZOLSJT,X,O,X,X,O,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,O,O,X,X
IZOSTJL,X,X,X,X,X,O,X,O
IZOSLTJ,X,O,X,X,O,X,X,X
IZOSLJT,X,O,X,X,O,X,X,X
IZOSJTL,X,X,X,X,X,X,X,O
IZOSJLT,X,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,X,O,X
IOTLJZS,O,X,X,O,X,X,O,X
IOTLSJZ,X,X,X,O,X,X,O,O
IOTLSZJ,X,X,X,O,X,O,X,X
IOTLZJS,X,X,X,O,X,O,O,X
IOTLZSJ,X,X,X,O,X,O,X,X
IOTJLSZ,O,X,X,O,X,X,O,X
IOTJLZS,O,X,X,O,X,X,O,X
IOTJSLZ,O,X,X,O,X,X,X,O
IOTJSZL,O,X,X,O,X,O,X,O
IOTJZLS,O,X,X,X,X,O,O,X
IOTJZSL,O,X,X,X,X,O,X,X
IOTSLJZ,X,X,X,O,X,X,X,O
IOTSLZJ,X,X,X,O,X,O,X,X
IOTSJLZ,X,X,X,O,X,X,X,O
IOTSJZL,X,X,X,O,X,O,X,O
IOTSZLJ,X,X,X,X,X,O,X,X
IOTSZJL,X,X,X,O,X,O,X,O
IOTZLJS,O,X,X,X,X,O,X,X
IOTZLSJ,X,X,X,X,X,O,X,X
IOTZJLS,O,X,X,X,X,O,X,X
IOTZJSL,O,X,X,X,X,O,X,X
IOTZSLJ,X,X,X,X,X,O,X,X
IOTZSJL,X,X,X,X,X,O,X,O
IOLTJSZ,X,X,O,O,X,X,O,X
IOLTJZS,X,X,O,O,X,X,O,X
IOLTSJZ,X,O,O,O,O,X,O,O
IOLTSZJ,X,O,X,O,O,X,X,X
IOLTZJS,X,X,X,O,X,X,O,X
IOLTZSJ,X,O,X,O,O,X,X,X
IOLJTSZ,X,X,O,O,X,X,O,X
IOLJTZS,X,X,O,O,X,X,O,X
IOLJSTZ,X,X,O,O,O,X,O,X
IOLJSZT,X,X,O,O,O,X,X,X
IOLJZTS,X,X,O,O,X,X,O,X
IOLJZST,X,X,O,O,O,X,X,X
IOLSTJZ,X,O,O,O,O,X,O,O
IOLSTZJ,X,O,X,O,O,X,X,X
IOLSJTZ,X,O,O,O,O,X,O,O
IOLSJZT,X,O,O,O,O,X,X,X
IOLSZTJ,X,O,X,O,O,X,X,X
IOLSZJT,X,O,O,O,O,X,X,X
IOLZTJS,X,X,X,O,X,X,O,X
IOLZTSJ,X,O,X,O,O,X,X,X
IOLZJTS,X,X,O,O,X,X,O,X
IOLZJST,X,X,O,O,O,X,X,X
IOLZSTJ,X,O,X,O,O,X,X,X
IOLZSJT,X,O,O,O,O,X,X,X
IOJTLSZ,O,X,O,X,X,X,O,X
IOJTLZS,O,X,O,X,X,X,O,X
IOJTSLZ,O,X,O,X,X,X,X,O
IOJTSZL,O,X,O,X,X,X,X,O
IOJTZLS,O,X,X,X,X,X,O,X
IOJTZSL,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,O,O,X,X,O,X
IOJLTZS,O,X,O,O,X,X,O,X
IOJLSTZ,O,X,O,O,X,X,O,X
IOJLSZT,O,X,O,O,X,X,X,X
IOJLZTS,O,X,O,O,X,X,O,X
IOJLZST,O,X,O,O,X,X,X,X
IOJSTLZ,O,X,O,O,X,X,X,O
IOJSTZL,O,X,O,O,X,X,X,O
IOJSLTZ,O,X,O,O,X,X,X,O
IOJSLZT,O,X,O,O,X,X,X,X
IOJSZTL,O,X,O,O,X,X,X,O
IOJSZLT,O,X,O,O,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X,X
IOJZSTL,O,X,O,X,X,X,X,X
IOJZSLT,O,X,O,X,X,X,X,X
IOSTLJZ,X,X,X,O,O,X,X,O
IOSTLZJ,X,X,X,O,O,O,X,X
IOSTJLZ,X,X,O,O,X,X,X,O
IOSTJZL,X,X,O,O,X,O,X,O
IOSTZLJ,X,X,X,X,O,O,X,X
IOSTZJL,X,X,X,O,X,O,X,O
IOSLTJZ,X,O,O,O,O,X,X,O
IOSLTZJ,X,O,X,O,O,X,X,X
IOSLJTZ,X,O,O,O,O,X,X,O
IOSLJZT,X,O,O,O,O,X,X,X
IOSLZTJ,X,O,X,O,O,X,X,X
IOSLZJT,X,O,O,O,O,X,X,X
IOSJTLZ,X,X,O,O,X,X,X,O
IOSJTZL,X,X,O,O,X,X,X,O
IOSJLTZ,X,O,O,O,X,X,X,O
IOSJLZT,X,O,O,O,X,X,X,X
IOSJZTL,X,X,O,O,X,X,X,O
IOSJZLT,X,O,O,O,X,X,X,X
IOSZTLJ,X,X,X,X,O,O,X,X
IOSZTJL,X,X,X,O,X,O,X,O
IOSZLTJ,X,O,X,X,O,X,X,X
IOSZLJT,X,O,X,X,O,X,X,X
IOSZJTL,X,X,O,O,X,X,X,O
IOSZJLT,X,O,O,O,X,X,X,X
IOZTLJS,O,X,X,X,X,O,X,X
IOZTLSJ,X,X,X,X,X,O,X,X
IOZTJLS,O,X,X,X,X,O,X,X
IOZTJSL,O,X,X,X,X,O,X,X
IOZTSLJ,X,X,X,X,X,O,X,X
IOZTSJL,X,X,X,X,X,O,X,O
IOZLTJS,O,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,O,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X
IOZLSJT,X,O,X,X,O,X,X,X
IOZJTLS,O,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,O,O,X,X
IOZSTJL,X,X,X,X,X,O,X,O
IOZSLTJ,X,O,X,X,O,X,X,X
IOZSLJT,X,O,X,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,X,O
IOZSJLT,X,O,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,O,X
LTIJSOZ,O,O,O,X,X,X,X,X
LTIJZSO,O,O,O,X,X,X,O,X
LTIJZOS,X,X,O,X,X,X,O,X
LTIJOSZ,O,X,O,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,O,X
LTISJZO,O,O,O,X,X,X,O,X
LTISJOZ,O,O,O,X,X,X,X,O
LTISZJO,O,O,X,X,X,O,X,X
LTISZOJ,X,O,X,X,X,O,X,X
LTISOJZ,O,O,X,O,X,X,X,O
LTISOZJ,X,O,X,O,X,O,X,X
LTIZJSO,X,O,X,X,X,O,O,X
LTIZJOS,X,X,X,X,X,O,O,X
LTIZSJO,X,O,X,X,X,O,X,X
LTIZSOJ,X,O,X,X,X,O,X,X
LTIZOJS,X,X,X,X,X,O,X,X
LTIZOSJ,X,O,X,X,X,O,X,X
LTIOJSZ,O,X,X,O,X,X,X,X
LTIOJZS,O,X,X,O,X,X,O,X
LTIOSJZ,X,O,X,O,X,X,X,O
LTIOSZJ,X,O,X,O,X,O,X,X
LTIOZJS,X,X,X,O,X,O,X,X
LTIOZSJ,X,O,X,O,X,O,X,X
LTJISZO,O,O,O,X,X,X,O,X
LTJISOZ,O,O,O,X,X,X,X,X
LTJIZSO,O,O,O,X,X,X,O,X
LTJIZOS,O,X,O,X,X,X,O,X
LTJIOSZ,O,X,O,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,O,X
LTJSIZO,O,O,O,X,X,X,O,X
LTJSIOZ,O,O,O,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,O,X
LTJSZOI,O,O,O,X,X,X,O,X
LTJSOIZ,O,O,O,X,X,X,X,X
LTJSOZI,O,O,X,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,O,X
LTJZIOS,O,X,O,X,X,X,O,X
LTJZSIO,O,O,O,X,X,X,O,X
LTJZSOI,O,O,O,X,X,X,O,X
LTJZOIS,O,X,O,X,X,X,O,X
LTJZOSI,O,X,O,X,X,X,O,X
LTJOISZ,O,X,O,X,X,X,O,X
LTJOIZS,O,X,X,X,X,X,O,X
LTJOSIZ,O,X,O,X,X,X,O,X
LTJOSZI,O,X,X,X,X,X,O,X
LTJOZIS,O,X,X,X,X,X,O,X
LTJOZSI,O,X,X,X,X,X,O,X
LTSIJZO,O,O,O,X,X,X,O,X
LTSIJOZ,O,O,O,X,X,X,X,O
LTSIZJO,O,O,X,X,X,O,X,X
LTSIZOJ,O,O,X,X,O,O,X,X
LTSIOJZ,O,O,X,O,X,X,X,O
LTSIOZJ,X,O,X,O,X,O,X,X
LTSJIZO,O,O,O,X,X,X,O,X
LTSJIOZ,O,O,O,X,X,X,X,O
LTSJZIO,O,O,O,X,X,X,O,X
LTSJZOI,O,O,O,X,O,X,O,X
LTSJOIZ,O,O,O,X,X,X,X,O
LTSJOZI,O,O,X,X,X,X,X,X
LTSZIJO,O,O,X,X,X,O,X,X
LTSZIOJ,O,O,X,X,O,O,X,X
LTSZJIO,O,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,O,X,X,X
LTSZOIJ,O,O,X,X,O,O,X,X
LTSZOJI,O,O,X,X,O,X,X,X
LTSOIJZ,O,O,X,O,X,X,X,O
LTSOIZJ,X,O,X,O,X,O,X,X
LTSOJIZ,O,O,X,O,X,X,X,O
LTSOJZI,O,O,X,O,X,X,X,X
LTSOZIJ,X,O,X,O,O,O,X,X
LTSOZJI,X,O,X,O,O,X,X,X
LTZIJSO,O,O,X,X,X,O,O,X
LTZIJOS,O,X,X,X,X,O,O,X
LTZISJO,O,O,X,X,X,O,X,X
LTZISOJ,O,O,X,X,X,O,X,X
LTZIOJS,O,X,X,X,X,O,X,X
LTZIOSJ,X,O,X,X,X,O,X,X
LTZJISO,O,O,X,X,X,X,O,X
LTZJIOS,O,X,X,X,X,X,O,X
LTZJSIO,O,O,X,X,X,X,O,X
LTZJSOI,O,O,X,X,X,X,O,X
LTZJOIS,O,X,X,X,X,X,O,X
LTZJOSI,O,X,X,X,X,X,O,X
LTZSIJO,O,O,X,X,X,O,X,X
LTZSIOJ,O,O,X,X,O,O,X,X
LTZSJIO,O,O,X,X,X,X,X,X
LTZSJOI,O,O,X,X,O,X,X,X
LTZSOIJ,O,O,X,X,O,O,X,X
LTZSOJI,O,O,X,X,O,X,X,X
LTZOIJS,O,X,X,X,X,O,X,X
LTZOISJ,X,O,X,X,X,O,X,X
LTZOJIS,O,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,O,X,X
LTZOSJI,O,O,X,X,X,X,X,X
LTOIJSZ,O,X,X,O,X,X,O,X
LTOIJZS,O,X,X,O,X,X,O,X
LTOISJZ,X,O,X,O,X,X,O,O
LTOISZJ,X,O,X,O,X,O,X,X
LTOIZJS,X,X,X,O,X,O,O,X
LTOIZSJ,X,O,X,O,X,O,X,X
LTOJISZ,O,X,X,O,X,X,O,X
LTOJIZS,O,X,X,O,X,X,O,X
LTOJSIZ,O,X,X,O,X,X,O,X
LTOJSZI,O,X,X,O,X,X,O,X
LTOJZIS,O,X,X,O,X,X,O,X
LTOJZSI,O,X,X,O,X,X,O,X
LTOSIJZ,O,O,X,O,X,X,O,O
LTOSIZJ,X,O,X,O,X,O,X,X
LTOSJIZ,O,O,X,O,X,X,O,O
LTOSJZI,O,O,X,O,X,X,O,X
LTOSZIJ,X,O,X,O,X,O,X,X
LTOSZJI,X,O,X,O,X,X,X,X
LTOZIJS,O,X,X,O,X,O,O,X
LTOZISJ,X,O,X,O,X,O,X,X
LTOZJIS,O,X,X,O,X,X,O,X
LTOZJSI,O,X,X,O,X,X,O,X
LTOZSIJ,X,O,X,O,X,O,X,X
LTOZSJI,O,O,X,O,X,X,X,X
LITJSZO,X,O,O,X,X,X,O,X
LITJSOZ,X,O,O,X,X,X,X,X
LITJZSO,X,O,O,X,X,X,O,X
LITJZOS,X,X,O,X,X,X,O,X
LITJOSZ,X,X,O,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,O,X
LITSJZO,X,O,O,X,X,X,O,X
LITSJOZ,X,O,O,X,X,X,X,O
LITSZJO,X,O,X,X,X,O,X,X
LITSZOJ,X,O,X,X,X,O,X,X
LITSOJZ,X,O,X,O,X,X,X,O
LITSOZJ,X,O,X,O,X,O,X,X
LITZJSO,X,O,X,X,X,O,O,X
LITZJOS,X,X,X,X,X,O,O,X
LITZSJO,X,O,X,X,X,O,X,X
LITZSOJ,X,O,X,X,X,O,X,X
LITZOJS,X,X,X,X,X,O,X,X
LITZOSJ,X,O,X,X,X,O,X,X
LITOJSZ,X,X,X,O,X,X,X,X
LITOJZS,X,X,X,O,X,X,O,X
LITOSJZ,X,O,X,O,X,X,X,O
LITOSZJ,X,O,X,O,X,O,X,X
LITOZJS,X,X,X,O,X,O,X,X
LITOZSJ,X,O,X,O,X,O,X,X
LIJTSZO,X,O,O,X,X,X,O,X
LIJTSOZ,X,O,O,X,X,X,X,X
LIJTZSO,X,O,O,X,X,X,O,X
LIJTZOS,X,X,O,X,X,X,O,X
LIJTOSZ,X,X,O,X,X,X,X,X
LIJTOZS,X,X,X,X,X,X,O,X
LIJSTZO,X,O,O,X,X,X,O,X
LIJSTOZ,X,O,O,X,X,X,X,X
LIJSZTO,X,O,O,X,X,X,X,X
LIJSZOT,X,O,O,X,X,X,X,X
LIJSOTZ,X,O,O,O,X,X,X,X
LIJSOZT,X,O,O,O,X,X,X,X
LIJZTSO,X,O,O,X,X,X,O,X
LIJZTOS,X,X,O,X,X,X,O,X
LIJZSTO,X,O,O,X,X,X,X,X
LIJZSOT,X,O,O,X,X,X,X,X
LIJZOTS,X,X,O,X,X,X,X,X
LIJZOST,X,X,O,X,X,X,X,X
LIJOTSZ,X,X,O,O,X,X,X,X
LIJOTZS,X,X,X,O,X,X,O,X
LIJOSTZ,X,X,O,O,X,X,X,X
LIJOSZT,X,X,O,O,X,X,X,X
LIJOZTS,X,X,O,O,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,X
LISTJZO,X,O,O,X,X,X,O,X
LISTJOZ,X,O,O,X,X,X,X,O
LISTZJO,X,O,X,X,X,O,X,X
LISTZOJ,X,O,X,X,O,O,X,X
LISTOJZ,X,O,X,O,X,X,X,O
LISTOZJ,X,O,X,O,X,O,X,X
LISJTZO,X,O,O,X,X,X,O,X
LISJTOZ,X,O,O,X,X,X,X,O
LISJZTO,X,O,O,X,X,X,X,X
LISJZOT,X,O,O,X,X,X,X,X
LISJOTZ,X,O,O,O,X,X,X,O
LISJOZT,X,O,O,O,X,X,X,X
LISZTJO,X,O,X,X,X,O,X,X
LISZTOJ,X,O,X,X,O,O,X,X
LISZJTO,X,O,O,X,X,X,X,X
LISZJOT,X,O,O,X,X,X,X,X
LISZOTJ,X,O,X,O,X,X,X,X
LISZOJT,X,O,X,O,X,X,X,X
LISOTJZ,X,O,X,O,X,X,X,O
LISOTZJ,X,O,X,O,X,X,X,X
LISOJTZ,X,O,O,O,X,X,X,O
LISOJZT,X,O,O,O,X,X,X,X
LISOZTJ,X,O,X,O,X,X,X,X
LISOZJT,X,O,X,O,X,X,X,X
LIZTJSO,X,O,X,X,X,O,O,X
LIZTJOS,X,X,X,X,X,O,O,X
LIZTSJO,X,O,X,X,X,O,X,X
LIZTSOJ,X,O,X,X,X,O,X,X
LIZTOJS,X,X,X,X,X,O,X,X
LIZTOSJ,X,O,X,X,X,O,X,X
LIZJTSO,X,O,O,X,X,X,O,X
LIZJTOS,X,X,O,X,X,X,O,X
LIZJSTO,X,O,O,X,X,X,X,X
LIZJSOT,X,O,O,X,X,X,X,X
LIZJOTS,X,X,O,X,X,X,X,X
LIZJOST,X,X,O,X,X,X,X,X
LIZSTJO,X,O,X,X,X,O,X,X
LIZSTOJ,X,O,X,X,O,O,X,X
LIZSJTO,X,O,O,X,X,X,X,X
LIZSJOT,X,O,O,X,X,X,X,X
LIZSOTJ,X,O,X,O,X,X,X,X
LIZSOJT,X,O,X,O,X,X,X,X
LIZOTJS,X,X,X,O,X,X,X,X
LIZOTSJ,X,O,X,O,X,X,X,X
LIZOJTS,X,X,X,O,X,X,X,X
LIZOJST,X,X,X,O,X,X,X,X
LIZOSTJ,X,O,X,O,X,X,X,X
LIZOSJT,X,O,X,O,X,X,X,X
LIOTJSZ,X,X,X,O,X,X,X,X
LIOTJZS,X,X,X,O,X,X,O,X
LIOTSJZ,X,O,X,O,X,X,X,O
LIOTSZJ,X,O,X,O,X,X,X,X
LIOTZJS,X,X,X,O,X,X,X,X
LIOTZSJ,X,O,X,O,X,X,X,X
LIOJTSZ,X,X,O,O,X,X,X,X
LIOJTZS,X,X,X,O,X,X,O,X
