sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
IZTJOLS,O,X,X,O,X,X,X
IZTJOSL,O,X,X,X,X,O,X
IZTSLJO,O,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X
IZTOJLS,O,O,X,O,X,X,X
IZTOJSL,O,O,X,X,X,O,X
IZTOSLJ,O,O,O,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X
IZLTJSO,O,O,O,X,X,X,X
IZLTJOS,O,O,O,X,X,X,X
IZLTSJO,O,O,O,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,X
IZLTOJS,O,O,O,X,X,X,X
IZLTOSJ,O,O,O,X,X,X,X
IZLJTSO,O,O,O,O,X,X,X
IZLJTOS,O,O,O,O,X,X,X
IZLJSTO,O,O,O,O,X,O,X
IZLJSOT,O,O,O,O,X,O,X
IZLJOTS,O,O,O,O,X,X,X
IZLJOST,O,O,O,O,X,O,X
IZLSTJO,O,O,O,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X
IZLOTJS,O,O,O,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X
IZLOJTS,O,O,O,O,X,X,X
IZLOJST,O,O,O,O,X,O,X
IZLOSTJ,O,O,O,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X
IZJTLSO,O,O,O,O,X,X,X
IZJTLOS,O,O,O,O,X,X,X
IZJTSLO,O,O,O,X,X,O,X
IZJTSOL,O,X,O,X,O,O,X
IZJTOLS,O,X,X,O,X,X,X
IZJTOSL,O,X,X,X,O,O,X
IZJLTSO,O,O,O,O,X,X,X
IZJLTOS,O,O,O,O,X,X,X
IZJLSTO,O,O,O,O,X,O,X
IZJLSOT,O,O,O,O,X,O,X
IZJLOTS,O,O,O,O,X,X,X
IZJLOST,O,O,O,O,X,O,X
IZJSTLO,O,O,O,X,X,O,X
IZJSTOL,O,X,O,X,X,O,X
IZJSLTO,O,O,O,X,X,O,X
IZJSLOT,O,O,O,X,X,O,X
IZJSOTL,O,X,O,X,X,O,X
IZJSOLT,O,X,O,X,X,O,X
IZJOTLS,O,O,X,O,X,X,X
IZJOTSL,O,O,X,X,O,O,X
IZJOLTS,O,O,X,O,X,X,X
IZJOLST,O,O,X,O,X,O,X
IZJOSTL,O,O,X,X,X,O,X
IZJOSLT,O,O,X,X,X,O,X
IZSTLJO,O,O,O,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X
IZSTJOL,O,X,O,X,X,X,O
IZSTOLJ,O,O,O,X,X,X,X
IZSTOJL,O,X,O,X,X,X,O
IZSLTJO,O,O,O,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X
IZSLJOT,O,O,O,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X
IZSJTLO,O,O,O,X,X,O,X
IZSJTOL,O,X,O,X,X,O,X
IZSJLTO,O,O,O,X,X,O,X
IZSJLOT,O,O,O,X,X,O,X
IZSJOTL,O,X,O,X,X,O,X
IZSJOLT,O,X,O,X,X,O,X
IZSOTLJ,O,O,O,X,X,X,X
IZSOTJL,O,O,O,X,X,X,O
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,O,O,X,X,O,X
IZSOJLT,O,O,O,X,X,O,X
IZOTLJS,O,O,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X
IZOTJLS,O,O,X,O,X,X,X
IZOTJSL,O,O,X,X,X,O,X
IZOTSLJ,O,O,O,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X
IZOLJTS,O,O,O,O,X,X,X
IZOLJST,O,O,O,O,X,O,X
IZOLSTJ,O,O,O,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X
IZOJTLS,O,O,X,O,X,X,X
IZOJTSL,O,O,X,X,O,O,X
IZOJLTS,O,O,X,O,X,X,X
IZOJLST,O,O,X,O,X,O,X
IZOJSTL,O,O,X,X,X,O,X
IZOJSLT,O,O,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,X
IZOSTJL,O,O,O,X,X,X,O
IZOSLTJ,O,O,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X
IZOSJTL,O,O,O,X,X,O,X
IZOSJLT,O,O,O,X,X,O,X
IOTLJSZ,X,O,X,O,X,X,X
IOTLJZS,X,O,O,O,X,X,X
IOTLSJZ,X,O,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X
IOTLZJS,O,O,O,X,X,X,X
IOTLZSJ,O,O,O,X,X,X,X
IOTJLSZ,O,O,X,O,O,X,X
IOTJLZS,O,O,X,O,X,X,X
IOTJSLZ,X,X,X,O,O,X,X
IOTJSZL,X,X,X,X,O,X,X
IOTJZLS,O,O,X,O,X,X,X
IOTJZSL,O,O,X,X,O,X,X
IOTSLJZ,X,O,X,X,X,X,O
IOTSLZJ,X,O,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,X,O
IOTSJZL,X,X,X,X,X,X,O
IOTSZLJ,X,O,X,X,X,X,X
IOTSZJL,X,O,X,X,X,X,O
IOTZLJS,O,O,O,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X
IOTZJLS,O,O,X,O,X,X,X
IOTZJSL,O,O,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X
IOLTJZS,X,O,O,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X
IOLTZJS,O,O,O,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X
IOLJTSZ,O,O,X,O,O,X,X
IOLJTZS,O,O,O,O,X,X,X
IOLJSTZ,O,O,O,O,X,X,X
IOLJSZT,O,O,O,O,X,X,X
IOLJZTS,O,O,O,O,X,X,X
IOLJZST,O,O,O,O,X,X,X
IOLSTJZ,X,O,O,X,X,X,O
IOLSTZJ,O,O,O,X,X,X,X
IOLSJTZ,X,O,O,O,X,X,X
IOLSJZT,X,O,O,O,X,X,X
IOLSZTJ,O,O,O,X,X,X,X
IOLSZJT,O,O,O,X,X,X,X
IOLZTJS,O,O,O,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X
IOLZJTS,O,O,O,O,X,X,X
IOLZJST,O,O,O,O,X,X,X
IOLZSTJ,O,O,O,X,X,X,X
IOLZSJT,O,O,O,X,X,X,X
IOJTLSZ,O,O,X,O,O,X,X
IOJTLZS,O,O,X,O,X,X,X
IOJTSLZ,X,X,X,O,O,X,X
IOJTSZL,X,X,X,X,O,X,X
IOJTZLS,O,O,X,O,X,X,X
IOJTZSL,O,O,X,X,O,X,X
IOJLTSZ,O,O,X,O,O,X,X
IOJLTZS,O,O,X,O,X,X,X
IOJLSTZ,O,O,X,O,X,X,X
IOJLSZT,O,O,X,O,X,X,X
IOJLZTS,O,O,X,O,X,X,X
IOJLZST,O,O,X,O,X,X,X
IOJSTLZ,X,X,X,O,O,X,O
IOJSTZL,X,X,X,X,O,O,O
IOJSLTZ,X,X,X,O,X,X,X
IOJSLZT,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,X,O,X
IOJSZLT,X,X,X,X,X,O,X
IOJZTLS,O,O,X,O,X,X,X
IOJZTSL,O,O,X,X,O,O,X
IOJZLTS,O,O,X,O,X,X,X
IOJZLST,O,O,X,O,X,O,X
IOJZSTL,O,O,X,X,X,O,X
IOJZSLT,O,O,X,X,X,O,X
IOSTLJZ,X,O,O,X,O,X,O
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,X,X,X,O,O,X,O
IOSTJZL,X,X,X,X,O,X,O
IOSTZLJ,X,O,O,X,X,X,X
IOSTZJL,X,O,O,X,X,X,O
IOSLTJZ,X,O,O,X,X,X,O
IOSLTZJ,X,O,O,X,X,X,X
IOSLJTZ,X,O,O,O,X,X,X
IOSLJZT,X,O,O,O,X,X,X
IOSLZTJ,X,O,O,X,X,X,X
IOSLZJT,X,O,O,X,X,X,X
IOSJTLZ,X,X,X,O,O,X,O
IOSJTZL,X,X,X,X,O,X,O
IOSJLTZ,X,X,O,O,X,X,X
IOSJLZT,X,X,O,O,X,X,X
IOSJZTL,X,X,O,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X
IOSZTLJ,X,O,O,X,X,X,X
IOSZTJL,X,O,O,X,X,X,O
IOSZLTJ,X,O,O,X,X,X,X
IOSZLJT,X,O,O,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X
IOSZJLT,X,O,O,X,X,X,X
IOZTLJS,O,O,O,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X
IOZTJLS,O,O,X,O,X,X,X
IOZTJSL,O,O,X,X,X,O,X
IOZTSLJ,O,O,O,X,X,X,X
IOZTSJL,O,O,O,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X
IOZLJTS,O,O,O,O,X,X,X
IOZLJST,O,O,O,O,X,O,X
IOZLSTJ,O,O,O,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,X,O,X,X,X
IOZJTSL,O,O,X,X,O,O,X
IOZJLTS,O,O,X,O,X,X,X
IOZJLST,O,O,X,O,X,O,X
IOZJSTL,O,O,X,X,X,O,X
IOZJSLT,O,O,X,X,X,O,X
IOZSTLJ,O,O,O,X,X,X,X
IOZSTJL,O,O,O,X,X,X,O
IOZSLTJ,O,O,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,O,O,X,X,O,X
IOZSJLT,O,O,O,X,X,O,X
LTIJSZO,O,O,O,O,X,X,X
LTIJSOZ,O,O,O,O,X,X,X
LTIJZSO,O,O,O,O,X,X,X
LTIJZOS,O,O,O,O,X,X,X
LTIJOSZ,O,O,X,O,X,X,X
LTIJOZS,O,O,O,O,X,X,X
LTISJZO,O,O,O,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X
LTISZJO,O,O,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X
LTISOZJ,O,O,O,X,X,X,X
LTIZJSO,O,O,O,X,X,X,X
LTIZJOS,O,O,O,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X
LTIZOJS,O,O,O,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X
LTIOJZS,X,O,O,O,X,X,X
LTIOSJZ,X,O,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X
LTJISZO,O,O,O,O,X,X,X
LTJISOZ,O,O,O,O,X,X,X
LTJIZSO,O,O,O,O,X,X,X
LTJIZOS,O,O,O,O,X,X,X
LTJIOSZ,O,O,X,O,X,X,X
LTJIOZS,O,O,O,O,X,X,X
LTJSIZO,O,O,O,O,X,X,X
LTJSIOZ,O,O,O,O,X,X,X
LTJSZIO,O,O,O,O,X,X,X
LTJSZOI,O,O,O,O,X,X,X
LTJSOIZ,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,X,X,X
LTJZISO,O,O,O,O,X,X,X
LTJZIOS,O,O,O,O,X,X,X
LTJZSIO,O,O,O,O,X,X,X
LTJZSOI,O,O,X,O,X,X,X
LTJZOIS,O,O,O,O,X,X,X
LTJZOSI,O,O,X,O,X,X,X
LTJOISZ,O,O,X,O,X,X,X
LTJOIZS,O,O,O,O,X,X,X
LTJOSIZ,O,O,X,O,X,X,X
LTJOSZI,O,O,X,O,X,X,X
LTJOZIS,O,O,O,O,X,X,X
LTJOZSI,O,O,X,O,X,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,X,O,O,X,X,X,X
LTSIOZJ,O,O,O,X,X,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,X,O,O,X,X,X,X
LTSJOZI,X,O,O,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,X
LTSOJIZ,X,O,O,X,X,X,X
LTSOJZI,X,O,O,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,X
LTSOZJI,O,O,O,X,X,X,X
LTZIJSO,O,O,O,X,X,X,X
LTZIJOS,O,O,O,X,X,X,X
LTZISJO,O,O,O,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,X
LTZJISO,O,O,O,X,X,X,X
LTZJIOS,O,O,O,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,X
LTZSOJI,O,O,X,X,X,X,X
LTZOIJS,O,O,O,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X
LTZOJIS,O,O,O,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,X
LTOIJZS,X,O,O,O,X,X,X
LTOISJZ,X,O,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X
LTOIZJS,O,O,O,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X
LTOJISZ,X,O,X,O,X,X,X
LTOJIZS,X,O,O,O,X,X,X
LTOJSIZ,X,O,X,O,X,X,X
LTOJSZI,X,O,X,O,X,X,X
LTOJZIS,X,O,O,O,X,X,X
LTOJZSI,X,O,X,O,X,X,X
LTOSIJZ,X,O,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X
LTOZIJS,O,O,O,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X
LTOZJIS,O,O,O,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X
LITJSZO,O,O,O,O,X,X,X
LITJSOZ,O,O,O,O,X,X,X
LITJZSO,O,O,O,O,X,X,X
LITJZOS,O,O,O,O,X,X,X
LITJOSZ,O,O,X,O,X,X,X
LITJOZS,O,O,O,O,X,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X
LITSZJO,O,O,O,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X
LITSOJZ,X,O,O,X,X,X,X
LITSOZJ,O,O,O,X,X,X,X
LITZJSO,O,O,O,X,X,X,X
LITZJOS,O,O,O,X,X,X,X
LITZSJO,O,O,O,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X
LITZOJS,O,O,O,X,X,X,X
LITZOSJ,O,O,O,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X
LITOJZS,X,O,O,O,X,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X
LITOZJS,O,O,O,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X
LIJTSZO,O,O,O,O,X,X,X
LIJTSOZ,O,O,O,O,O,X,X
LIJTZSO,O,O,O,O,X,X,X
LIJTZOS,O,O,O,O,X,X,X
LIJTOSZ,O,O,X,O,O,X,X
LIJTOZS,O,O,O,O,X,X,X
LIJSTZO,O,O,O,O,X,O,X
LIJSTOZ,O,O,O,O,X,X,X
LIJSZTO,O,O,O,O,X,O,X
LIJSZOT,O,O,O,O,X,O,X
LIJSOTZ,O,O,O,O,X,X,X
LIJSOZT,O,O,O,O,X,X,X
LIJZTSO,O,O,O,O,X,X,X
LIJZTOS,O,O,O,O,X,X,X
LIJZSTO,O,O,O,O,X,O,X
LIJZSOT,O,O,O,O,X,O,X
LIJZOTS,O,O,O,O,X,X,X
LIJZOST,O,O,O,O,X,O,X
LIJOTSZ,O,O,X,O,O,X,X
LIJOTZS,O,O,O,O,X,X,X
LIJOSTZ,O,O,O,O,X,X,X
LIJOSZT,O,O,O,O,X,X,X
LIJOZTS,O,O,O,O,X,X,X
LIJOZST,O,O,O,O,X,X,X
LISTJZO,O,O,O,X,X,X,X
LISTJOZ,X,O,O,X,X,X,O
LISTZJO,O,O,O,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X
LISTOJZ,X,O,O,X,X,X,O
LISTOZJ,O,O,O,X,X,X,X
LISJTZO,O,O,O,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,O,X,X,X
LISJOTZ,O,O,O,O,X,X,X
LISJOZT,O,O,O,O,X,X,X
LISZTJO,O,O,O,X,X,X,X
LISZTOJ,O,O,O,X,X,X,X
LISZJTO,O,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X,X
LISZOTJ,O,O,O,X,X,X,X
LISZOJT,O,O,O,X,X,X,X
LISOTJZ,X,O,O,X,X,X,O
LISOTZJ,O,O,O,X,X,X,X
LISOJTZ,X,O,O,O,X,X,X
LISOJZT,X,O,O,O,X,X,X
LISOZTJ,O,O,O,X,X,X,X
LISOZJT,O,O,O,X,X,X,X
LIZTJSO,O,O,O,X,X,X,X
LIZTJOS,O,O,O,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X
LIZTSOJ,O,O,O,X,X,X,X
LIZTOJS,O,O,O,X,X,X,X
LIZTOSJ,O,O,O,X,X,X,X
LIZJTSO,O,O,O,O,X,X,X
LIZJTOS,O,O,O,O,X,X,X
LIZJSTO,O,O,O,O,X,O,X
LIZJSOT,O,O,O,O,X,O,X
LIZJOTS,O,O,O,O,X,X,X
LIZJOST,O,O,O,O,X,O,X
LIZSTJO,O,O,O,X,X,X,X
LIZSTOJ,O,O,O,X,X,X,X
LIZSJTO,O,O,O,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,X
LIZSOJT,O,O,O,X,X,X,X
LIZOTJS,O,O,O,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X
LIZOJTS,O,O,O,O,X,X,X
LIZOJST,O,O,O,O,X,O,X
LIZOSTJ,O,O,O,X,X,X,X
LIZOSJT,O,O,O,X,X,X,X
LIOTJSZ,X,O,X,O,X,X,X
LIOTJZS,X,O,O,O,X,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,O,O,X,X,X,X,X
LIOTZJS,O,O,O,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,X
LIOJTSZ,O,O,X,O,O,X,X
LIOJTZS,O,O,O,O,X,X,X
LIOJSTZ,O,O,O,O,X,X,X
LIOJSZT,O,O,O,O,X,X,X
LIOJZTS,O,O,O,O,X,X,X
LIOJZST,O,O,O,O,X,X,X
LIOSTJZ,X,O,O,X,X,X,O
LIOSTZJ,O,O,O,X,X,X,X
LIOSJTZ,X,O,O,O,X,X,X
LIOSJZT,X,O,O,O,X,X,X
LIOSZTJ,O,O,O,X,X,X,X
LIOSZJT,O,O,O,X,X,X,X
LIOZTJS,O,O,O,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X
LIOZJTS,O,O,O,O,X,X,X
LIOZJST,O,O,O,O,X,X,X
LIOZSTJ,O,O,O,X,X,X,X
LIOZSJT,O,O,O,X,X,X,X
LJTISZO,O,O,O,O,X,X,X
LJTISOZ,O,O,O,O,O,X,X
LJTIZSO,O,O,O,O,X,X,X
LJTIZOS,O,O,O,O,X,X,X
LJTIOSZ,O,O,X,O,O,X,X
LJTIOZS,O,O,O,O,X,X,X
LJTSIZO,O,O,O,O,X,X,X
LJTSIOZ,O,O,O,O,O,X,X
LJTSZIO,O,O,O,O,X,X,X
LJTSZOI,O,O,O,O,X,X,X
LJTSOIZ,O,O,O,O,O,X,X
LJTSOZI,O,O,O,O,O,X,X
LJTZISO,O,O,O,O,X,X,X
LJTZIOS,O,O,O,O,X,X,X
LJTZSIO,O,O,O,O,X,X,X
LJTZSOI,O,O,X,O,X,X,X
LJTZOIS,O,O,O,O,X,X,X
LJTZOSI,O,O,X,O,X,X,X
LJTOISZ,O,O,X,O,O,X,X
LJTOIZS,O,O,O,O,X,X,X
LJTOSIZ,O,O,X,O,O,X,X
LJTOSZI,O,O,X,O,O,X,X
LJTOZIS,O,O,O,O,X,X,X
LJTOZSI,O,O,X,O,X,X,X
LJITSZO,O,O,O,O,X,X,X
LJITSOZ,O,O,O,O,O,X,X
LJITZSO,O,O,O,O,X,X,X
LJITZOS,O,O,O,O,X,X,X
LJITOSZ,O,O,X,O,O,X,X
LJITOZS,O,O,O,O,X,X,X
LJISTZO,O,O,O,O,X,O,X
LJISTOZ,O,O,O,O,X,X,X
LJISZTO,O,O,O,O,X,O,X
LJISZOT,O,O,O,O,X,O,X
LJISOTZ,O,O,O,O,X,X,X
LJISOZT,O,O,O,O,X,X,X
LJIZTSO,O,O,O,O,X,X,X
LJIZTOS,O,O,O,O,X,X,X
LJIZSTO,O,O,O,O,X,O,X
LJIZSOT,O,O,O,O,X,O,X
LJIZOTS,O,O,O,O,X,X,X
LJIZOST,O,O,O,O,X,O,X
LJIOTSZ,O,O,X,O,O,X,X
LJIOTZS,O,O,O,O,X,X,X
LJIOSTZ,O,O,O,O,X,X,X
LJIOSZT,O,O,O,O,X,X,X
LJIOZTS,O,O,O,O,X,X,X
LJIOZST,O,O,O,O,X,X,X
LJSTIZO,O,O,O,O,X,O,X
LJSTIOZ,O,O,O,O,O,X,X
LJSTZIO,O,O,O,O,X,O,X
LJSTZOI,O,O,O,O,X,O,X
LJSTOIZ,O,O,O,O,O,X,X
LJSTOZI,O,O,O,O,O,X,X
LJSITZO,O,O,O,O,X,O,X
LJSITOZ,O,O,O,O,X,X,X
LJSIZTO,O,O,O,O,X,O,X
LJSIZOT,O,O,O,O,X,O,X
LJSIOTZ,O,O,O,O,X,X,X
LJSIOZT,O,O,O,O,X,X,X
LJSZTIO,O,O,O,O,X,O,X
LJSZTOI,O,O,O,O,X,O,X
LJSZITO,O,O,O,O,X,O,X
LJSZIOT,O,O,O,O,X,O,X
LJSZOTI,O,O,O,O,X,O,X
LJSZOIT,O,O,O,O,X,O,X
LJSOTIZ,O,O,O,O,O,X,X
LJSOTZI,O,O,O,O,O,X,X
LJSOITZ,O,O,O,O,X,X,X
LJSOIZT,O,O,O,O,X,X,X
LJSOZTI,O,O,O,O,X,X,X
LJSOZIT,O,O,O,O,X,X,X
LJZTISO,O,O,O,O,X,X,X
LJZTIOS,O,O,O,O,X,X,X
LJZTSIO,O,O,O,O,X,X,X
LJZTSOI,O,O,X,O,X,X,X
LJZTOIS,O,O,O,O,X,X,X
LJZTOSI,O,O,X,O,X,X,X
LJZITSO,O,O,O,O,X,X,X
LJZITOS,O,O,O,O,X,X,X
LJZISTO,O,O,O,O,X,O,X
LJZISOT,O,O,O,O,X,O,X
LJZIOTS,O,O,O,O,X,X,X
LJZIOST,O,O,O,O,X,O,X
LJZSTIO,O,O,O,O,X,O,X
LJZSTOI,O,O,O,O,X,O,X
LJZSITO,O,O,O,O,X,O,X
LJZSIOT,O,O,O,O,X,O,X
LJZSOTI,O,O,O,O,X,O,X
LJZSOIT,O,O,O,O,X,O,X
LJZOTIS,O,O,O,O,X,X,X
LJZOTSI,O,O,X,O,X,X,X
LJZOITS,O,O,O,O,X,X,X
LJZOIST,O,O,O,O,X,O,X
LJZOSTI,O,O,X,O,X,O,X
LJZOSIT,O,O,X,O,X,O,X
LJOTISZ,O,O,X,O,O,X,X
LJOTIZS,O,O,O,O,X,X,X
LJOTSIZ,O,O,X,O,O,X,X
LJOTSZI,O,O,X,O,O,X,X
LJOTZIS,O,O,O,O,X,X,X
LJOTZSI,O,O,X,O,X,X,X
LJOITSZ,O,O,X,O,O,X,X
LJOITZS,O,O,O,O,X,X,X
LJOISTZ,O,O,O,O,X,X,X
LJOISZT,O,O,O,O,X,X,X
LJOIZTS,O,O,O,O,X,X,X
LJOIZST,O,O,O,O,X,X,X
LJOSTIZ,O,O,O,O,O,X,X
LJOSTZI,O,O,O,O,O,X,X
LJOSITZ,O,O,O,O,X,X,X
LJOSIZT,O,O,O,O,X,X,X
LJOSZTI,O,O,O,O,X,X,X
LJOSZIT,O,O,O,O,X,X,X
LJOZTIS,O,O,O,O,X,X,X
LJOZTSI,O,O,X,O,X,X,X
LJOZITS,O,O,O,O,X,X,X
LJOZIST,O,O,O,O,X,X,X
LJOZSTI,O,O,X,O,X,X,X
LJOZSIT,O,O,X,O,X,X,X
LSTIJZO,O,O,O,X,X,X,X
LSTIJOZ,X,O,O,X,X,X,O
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,X,O,O,X,X,X,O
LSTIOZJ,O,O,O,X,X,X,X
LSTJIZO,O,O,O,X,X,X,X
LSTJIOZ,X,O,O,X,X,X,O
LSTJZIO,O,O,O,X,X,X,X
LSTJZOI,O,O,O,X,X,X,X
LSTJOIZ,X,O,O,X,X,X,O
LSTJOZI,X,O,O,X,X,X,X
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,X
LSTZOJI,O,O,O,X,X,X,X
LSTOIJZ,X,O,O,X,O,X,O
LSTOIZJ,O,O,O,X,X,X,X
LSTOJIZ,X,O,O,X,O,X,O
LSTOJZI,X,O,O,X,O,X,X
LSTOZIJ,O,O,O,X,X,X,X
LSTOZJI,O,O,O,X,O,X,X
LSITJZO,O,O,O,X,X,X,X
