sequence,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?XjBurB0nByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBumB?FjBKrB0nB3qB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?0iBurBXoByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBUhB?1nBurBXoByvB
JSILZTO,O,X,X,X
JSILZOT,O,X,X,X
JSILOTZ,O,X,X,X
JSILOZT,O,X,X,X
JSIZTLO,X,X,X,X
JSIZTOL,O,X,O,X
JSIZLTO,X,X,X,X
JSIZLOT,X,X,X,X
JSIZOTL,O,X,O,X
JSIZOLT,X,X,X,X
JSIOTLZ,O,X,X,X
JSIOTZL,O,X,O,X
JSIOLTZ,O,X,X,X
JSIOLZT,O,X,X,X
JSIOZTL,O,X,O,X
JSIOZLT,X,X,X,X
JSLTIZO,O,X,X,X
JSLTIOZ,O,X,X,X
JSLTZIO,O,X,X,X
JSLTZOI,O,X,X,X
JSLTOIZ,O,X,X,X
JSLTOZI,O,X,X,X
JSLITZO,O,X,X,X
JSLITOZ,O,X,X,X
JSLIZTO,O,X,X,X
JSLIZOT,O,X,X,X
JSLIOTZ,O,X,X,X
JSLIOZT,O,X,X,X
JSLZTIO,O,X,X,X
JSLZTOI,O,X,X,X
JSLZITO,O,X,X,X
JSLZIOT,O,X,X,X
JSLZOTI,O,X,X,X
JSLZOIT,O,X,X,X
JSLOTIZ,O,X,X,X
JSLOTZI,O,X,X,X
JSLOITZ,O,X,X,X
JSLOIZT,O,X,X,X
JSLOZTI,O,X,X,X
JSLOZIT,O,X,X,X
JSZTILO,X,X,X,X
JSZTIOL,O,X,O,X
JSZTLIO,X,X,X,X
JSZTLOI,X,X,X,X
JSZTOIL,O,X,O,X
JSZTOLI,X,X,X,X
JSZITLO,X,X,X,X
JSZITOL,O,X,O,X
JSZILTO,X,X,X,X
JSZILOT,X,X,X,X
JSZIOTL,O,X,O,X
JSZIOLT,X,X,X,X
JSZLTIO,X,X,X,X
JSZLTOI,X,X,X,X
JSZLITO,X,X,X,X
JSZLIOT,X,X,X,X
JSZLOTI,X,X,X,X
JSZLOIT,X,X,X,X
JSZOTIL,O,X,O,X
JSZOTLI,X,X,X,X
JSZOITL,O,X,O,X
JSZOILT,X,X,X,X
JSZOLTI,X,X,X,X
JSZOLIT,X,X,X,X
JSOTILZ,O,X,X,X
JSOTIZL,O,X,O,X
JSOTLIZ,O,X,X,X
JSOTLZI,X,X,X,X
JSOTZIL,O,X,O,X
JSOTZLI,X,X,X,X
JSOITLZ,O,X,X,X
JSOITZL,O,X,O,X
JSOILTZ,O,X,X,X
JSOILZT,O,X,X,X
JSOIZTL,O,X,O,X
JSOIZLT,X,X,X,X
JSOLTIZ,O,X,X,X
JSOLTZI,O,X,X,X
JSOLITZ,O,X,X,X
JSOLIZT,O,X,X,X
JSOLZTI,O,X,X,X
JSOLZIT,O,X,X,X
JSOZTIL,O,X,O,X
JSOZTLI,X,X,X,X
JSOZITL,O,X,O,X
JSOZILT,X,X,X,X
JSOZLTI,X,X,X,X
JSOZLIT,X,X,X,X
JZTILSO,X,O,X,X
JZTILOS,X,O,O,X
JZTISLO,X,X,X,X
JZTISOL,O,X,O,X
JZTIOLS,X,O,O,O
JZTIOSL,O,X,O,O
JZTLISO,X,O,X,X
JZTLIOS,X,O,O,X
JZTLSIO,X,O,X,X
JZTLSOI,X,O,X,X
JZTLOIS,X,O,O,X
JZTLOSI,X,O,X,X
JZTSILO,X,X,X,X
JZTSIOL,O,X,O,X
JZTSLIO,X,X,X,X
JZTSLOI,X,X,X,X
JZTSOIL,O,X,O,X
JZTSOLI,X,X,X,X
JZTOILS,X,O,O,O
JZTOISL,O,X,O,O
JZTOLIS,X,O,O,X
JZTOLSI,X,O,X,X
JZTOSIL,O,X,O,X
JZTOSLI,X,X,X,X
JZITLSO,X,O,X,X
JZITLOS,X,O,O,X
JZITSLO,X,X,X,X
JZITSOL,O,X,O,X
JZITOLS,X,O,O,O
JZITOSL,O,X,O,O
JZILTSO,X,O,X,X
JZILTOS,X,O,O,X
JZILSTO,X,O,X,X
JZILSOT,X,O,X,X
JZILOTS,X,O,O,X
JZILOST,X,O,X,X
JZISTLO,X,X,X,X
JZISTOL,O,X,O,X
JZISLTO,X,X,X,X
JZISLOT,X,X,X,X
JZISOTL,O,X,O,X
JZISOLT,X,X,X,X
JZIOTLS,X,O,O,O
JZIOTSL,O,X,O,O
JZIOLTS,X,O,O,X
JZIOLST,X,O,X,X
JZIOSTL,O,X,O,X
JZIOSLT,X,X,X,X
JZLTISO,X,O,X,X
JZLTIOS,X,O,O,X
JZLTSIO,X,O,X,X
JZLTSOI,X,O,X,X
JZLTOIS,X,O,O,X
JZLTOSI,X,O,X,X
JZLITSO,X,O,X,X
JZLITOS,X,O,O,X
JZLISTO,X,O,X,X
JZLISOT,X,O,X,X
JZLIOTS,X,O,O,X
JZLIOST,X,O,X,X
JZLSTIO,X,O,X,X
JZLSTOI,X,O,X,X
JZLSITO,X,O,X,X
JZLSIOT,X,O,X,X
JZLSOTI,X,O,X,X
JZLSOIT,X,O,X,X
JZLOTIS,X,O,O,X
JZLOTSI,X,O,X,X
JZLOITS,X,O,O,X
JZLOIST,X,O,X,X
JZLOSTI,X,O,X,X
JZLOSIT,X,O,X,X
JZSTILO,X,X,X,X
JZSTIOL,O,X,O,X
JZSTLIO,X,X,X,X
JZSTLOI,X,X,X,X
JZSTOIL,O,X,O,X
JZSTOLI,X,X,X,X
JZSITLO,X,X,X,X
JZSITOL,O,X,O,X
JZSILTO,X,X,X,X
JZSILOT,X,X,X,X
JZSIOTL,O,X,O,X
JZSIOLT,X,X,X,X
JZSLTIO,X,X,X,X
JZSLTOI,X,X,X,X
JZSLITO,X,X,X,X
JZSLIOT,X,X,X,X
JZSLOTI,X,X,X,X
JZSLOIT,X,X,X,X
JZSOTIL,O,X,O,X
JZSOTLI,X,X,X,X
JZSOITL,O,X,O,X
JZSOILT,X,X,X,X
JZSOLTI,X,X,X,X
JZSOLIT,X,X,X,X
JZOTILS,X,O,O,O
JZOTISL,O,X,O,O
JZOTLIS,X,O,O,X
JZOTLSI,X,O,X,X
JZOTSIL,O,X,O,X
JZOTSLI,X,X,X,X
JZOITLS,X,O,O,O
JZOITSL,O,X,O,O
JZOILTS,X,O,O,X
JZOILST,X,O,X,X
JZOISTL,O,X,O,X
JZOISLT,X,X,X,X
JZOLTIS,X,O,O,X
JZOLTSI,X,O,X,X
JZOLITS,X,O,O,X
JZOLIST,X,O,X,X
JZOLSTI,X,O,X,X
JZOLSIT,X,O,X,X
JZOSTIL,O,X,O,X
JZOSTLI,X,X,X,X
JZOSITL,O,X,O,X
JZOSILT,X,X,X,X
JZOSLTI,X,X,X,X
JZOSLIT,X,X,X,X
JOTILSZ,O,X,X,X
JOTILZS,X,X,O,O
JOTISLZ,O,X,X,X
JOTISZL,O,X,O,X
JOTIZLS,X,X,O,O
JOTIZSL,O,X,O,O
JOTLISZ,O,X,X,X
JOTLIZS,X,X,O,O
JOTLSIZ,O,X,X,X
JOTLSZI,X,X,X,X
JOTLZIS,X,X,O,O
JOTLZSI,X,X,X,X
JOTSILZ,O,X,X,X
JOTSIZL,O,X,O,X
JOTSLIZ,O,X,X,X
JOTSLZI,X,X,X,X
JOTSZIL,O,X,O,X
JOTSZLI,X,X,X,X
JOTZILS,X,X,O,O
JOTZISL,O,X,O,O
JOTZLIS,X,X,O,X
JOTZLSI,X,X,X,X
JOTZSIL,O,X,O,X
JOTZSLI,X,X,X,X
JOITLSZ,O,X,X,X
JOITLZS,X,X,O,O
JOITSLZ,O,X,X,X
JOITSZL,O,X,O,X
JOITZLS,X,X,O,O
JOITZSL,O,X,O,O
JOILTSZ,O,X,O,X
JOILTZS,O,O,O,O
JOILSTZ,O,X,O,X
JOILSZT,O,O,O,X
JOILZTS,O,O,O,O
JOILZST,O,O,O,X
JOISTLZ,O,X,X,X
JOISTZL,O,X,O,X
JOISLTZ,O,X,X,X
JOISLZT,O,X,X,X
JOISZTL,O,X,O,X
JOISZLT,X,X,X,X
JOIZTLS,X,O,O,O
JOIZTSL,O,X,O,O
JOIZLTS,X,O,O,X
JOIZLST,X,O,X,X
JOIZSTL,O,X,O,X
JOIZSLT,X,X,X,X
JOLTISZ,O,X,O,X
JOLTIZS,O,O,O,O
JOLTSIZ,O,X,O,X
JOLTSZI,O,X,O,X
JOLTZIS,O,O,O,O
JOLTZSI,O,O,O,X
JOLITSZ,O,X,O,X
JOLITZS,O,O,O,O
JOLISTZ,O,X,O,X
JOLISZT,O,O,O,X
JOLIZTS,O,O,O,O
JOLIZST,O,O,O,X
JOLSTIZ,O,X,O,X
JOLSTZI,O,X,O,X
JOLSITZ,O,X,O,X
JOLSIZT,O,O,O,X
JOLSZTI,O,O,O,X
JOLSZIT,O,O,O,X
JOLZTIS,O,O,O,O
JOLZTSI,O,O,O,X
JOLZITS,O,O,O,O
JOLZIST,O,O,O,X
JOLZSTI,O,O,O,X
JOLZSIT,O,O,O,X
JOSTILZ,O,X,X,X
JOSTIZL,O,X,O,X
JOSTLIZ,O,X,X,X
JOSTLZI,X,X,X,X
JOSTZIL,O,X,O,X
JOSTZLI,X,X,X,X
JOSITLZ,O,X,X,X
JOSITZL,O,X,O,X
JOSILTZ,O,X,X,X
JOSILZT,O,X,X,X
JOSIZTL,O,X,O,X
JOSIZLT,X,X,X,X
JOSLTIZ,O,X,X,X
JOSLTZI,O,X,X,X
JOSLITZ,O,X,X,X
JOSLIZT,O,X,X,X
JOSLZTI,O,X,X,X
JOSLZIT,O,X,X,X
JOSZTIL,O,X,O,X
JOSZTLI,X,X,X,X
JOSZITL,O,X,O,X
JOSZILT,X,X,X,X
JOSZLTI,X,X,X,X
JOSZLIT,X,X,X,X
JOZTILS,X,O,O,O
JOZTISL,O,X,O,O
JOZTLIS,X,O,O,X
JOZTLSI,X,O,X,X
JOZTSIL,O,X,O,X
JOZTSLI,X,X,X,X
JOZITLS,X,O,O,O
JOZITSL,O,X,O,O
JOZILTS,X,O,O,X
JOZILST,X,O,X,X
JOZISTL,O,X,O,X
JOZISLT,X,X,X,X
JOZLTIS,X,O,O,X
JOZLTSI,X,O,X,X
JOZLITS,X,O,O,X
JOZLIST,X,O,X,X
JOZLSTI,X,O,X,X
JOZLSIT,X,O,X,X
JOZSTIL,O,X,O,X
JOZSTLI,X,X,X,X
JOZSITL,O,X,O,X
JOZSILT,X,X,X,X
JOZSLTI,X,X,X,X
JOZSLIT,X,X,X,X
STILJZO,O,X,X,X
STILJOZ,O,X,X,X
STILZJO,X,X,X,X
STILZOJ,X,X,X,O
STILOJZ,O,X,X,X
STILOZJ,X,X,X,O
STIJLZO,X,X,X,X
STIJLOZ,O,X,X,X
STIJZLO,X,X,X,X
STIJZOL,O,X,X,X
STIJOLZ,O,X,X,X
STIJOZL,O,X,X,X
STIZLJO,X,X,X,X
STIZLOJ,X,X,X,X
STIZJLO,X,X,X,X
STIZJOL,X,X,X,X
STIZOLJ,X,X,X,O
STIZOJL,X,X,X,O
STIOLJZ,O,X,X,X
STIOLZJ,X,X,X,O
STIOJLZ,O,X,X,X
STIOJZL,O,X,X,X
STIOZLJ,X,X,X,O
STIOZJL,X,X,X,O
STLIJZO,O,X,X,X
STLIJOZ,O,X,X,X
STLIZJO,X,X,X,X
STLIZOJ,X,X,X,O
STLIOJZ,O,X,X,X
STLIOZJ,X,X,X,O
STLJIZO,O,X,X,X
STLJIOZ,O,X,X,X
STLJZIO,O,X,X,X
STLJZOI,O,X,X,X
STLJOIZ,O,X,X,X
STLJOZI,O,X,X,X
STLZIJO,X,X,X,X
STLZIOJ,X,X,X,O
STLZJIO,X,X,X,X
STLZJOI,X,X,X,X
STLZOIJ,X,X,X,O
STLZOJI,X,X,X,X
STLOIJZ,O,X,X,X
STLOIZJ,X,X,X,O
STLOJIZ,O,X,X,X
STLOJZI,O,X,X,X
STLOZIJ,X,X,X,O
STLOZJI,X,X,X,X
STJILZO,X,X,X,X
STJILOZ,O,X,X,X
STJIZLO,X,X,X,X
STJIZOL,O,X,X,X
STJIOLZ,O,X,X,X
STJIOZL,O,X,X,X
STJLIZO,X,X,X,X
STJLIOZ,O,X,X,X
STJLZIO,X,X,X,X
STJLZOI,X,X,X,X
STJLOIZ,O,X,X,X
STJLOZI,X,X,X,X
STJZILO,X,X,X,X
STJZIOL,O,X,X,X
STJZLIO,X,X,X,X
STJZLOI,X,X,X,X
STJZOIL,O,X,X,X
STJZOLI,X,X,X,X
STJOILZ,O,X,X,X
STJOIZL,O,X,X,X
STJOLIZ,O,X,X,X
STJOLZI,X,X,X,X
STJOZIL,O,X,X,X
STJOZLI,X,X,X,X
STZILJO,X,X,X,X
STZILOJ,X,X,X,X
STZIJLO,X,X,X,X
STZIJOL,X,X,X,X
STZIOLJ,X,X,X,O
STZIOJL,X,X,X,O
STZLIJO,X,X,X,X
STZLIOJ,X,X,X,X
STZLJIO,X,X,X,X
STZLJOI,X,X,X,X
STZLOIJ,X,X,X,X
STZLOJI,X,X,X,X
STZJILO,X,X,X,X
STZJIOL,X,X,X,X
STZJLIO,X,X,X,X
STZJLOI,X,X,X,X
STZJOIL,X,X,X,X
STZJOLI,X,X,X,X
STZOILJ,X,X,X,O
STZOIJL,X,X,X,O
STZOLIJ,X,X,X,X
STZOLJI,X,X,X,X
STZOJIL,X,X,X,X
STZOJLI,X,X,X,X
STOILJZ,O,X,X,X
STOILZJ,X,X,X,O
STOIJLZ,O,X,X,X
STOIJZL,O,X,X,X
STOIZLJ,X,X,X,O
STOIZJL,X,X,X,O
STOLIJZ,O,X,X,X
STOLIZJ,X,X,X,O
STOLJIZ,O,X,X,X
STOLJZI,O,X,X,X
STOLZIJ,X,X,X,O
STOLZJI,X,X,X,X
STOJILZ,O,X,X,X
STOJIZL,O,X,X,X
STOJLIZ,O,X,X,X
STOJLZI,X,X,X,X
STOJZIL,O,X,X,X
STOJZLI,X,X,X,X
STOZILJ,X,X,X,O
STOZIJL,X,X,X,O
STOZLIJ,X,X,X,X
STOZLJI,X,X,X,X
STOZJIL,X,X,X,X
STOZJLI,X,X,X,X
SITLJZO,O,X,X,X
SITLJOZ,O,X,X,X
SITLZJO,X,X,X,X
SITLZOJ,X,X,X,O
SITLOJZ,O,X,X,X
SITLOZJ,X,X,X,O
SITJLZO,X,X,X,X
SITJLOZ,O,X,X,X
SITJZLO,X,X,X,X
SITJZOL,O,X,X,X
SITJOLZ,O,X,X,X
SITJOZL,O,X,X,X
SITZLJO,X,X,X,X
SITZLOJ,X,X,X,X
SITZJLO,X,X,X,X
SITZJOL,X,X,X,X
SITZOLJ,X,X,X,O
SITZOJL,X,X,X,O
SITOLJZ,O,X,X,X
SITOLZJ,X,X,X,O
SITOJLZ,O,X,X,X
SITOJZL,O,X,X,X
SITOZLJ,X,X,X,O
SITOZJL,X,X,X,O
SILTJZO,O,X,X,X
SILTJOZ,O,X,X,X
SILTZJO,X,X,X,X
SILTZOJ,X,X,X,O
SILTOJZ,O,X,X,X
SILTOZJ,X,X,X,O
SILJTZO,O,X,O,X
SILJTOZ,O,X,O,X
SILJZTO,O,O,O,X
SILJZOT,O,O,O,X
SILJOTZ,O,X,O,X
SILJOZT,O,O,O,X
SILZTJO,X,O,X,X
SILZTOJ,X,O,X,O
SILZJTO,O,O,X,X
SILZJOT,O,O,X,X
SILZOTJ,X,O,X,O
SILZOJT,O,O,X,X
SILOTJZ,O,X,X,X
SILOTZJ,X,X,X,O
SILOJTZ,O,X,O,X
SILOJZT,O,O,O,X
SILOZTJ,X,O,X,O
SILOZJT,O,O,X,X
SIJTLZO,X,X,X,X
SIJTLOZ,O,X,X,X
SIJTZLO,X,X,X,X
SIJTZOL,O,X,O,X
SIJTOLZ,O,X,X,X
SIJTOZL,O,X,O,X
SIJLTZO,O,X,X,X
SIJLTOZ,O,X,X,X
SIJLZTO,O,X,X,X
SIJLZOT,O,X,X,X
SIJLOTZ,O,X,X,X
SIJLOZT,O,X,X,X
SIJZTLO,X,X,X,X
SIJZTOL,O,X,O,X
SIJZLTO,X,X,X,X
SIJZLOT,X,X,X,X
SIJZOTL,O,X,O,X
SIJZOLT,X,X,X,X
SIJOTLZ,O,X,X,X
SIJOTZL,O,X,O,X
SIJOLTZ,O,X,X,X
SIJOLZT,O,X,X,X
SIJOZTL,O,X,O,X
SIJOZLT,X,X,X,X
SIZTLJO,X,O,X,X
SIZTLOJ,X,O,X,X
SIZTJLO,X,X,X,X
SIZTJOL,X,X,X,X
SIZTOLJ,X,O,X,O
SIZTOJL,X,X,X,O
SIZLTJO,X,O,X,X
SIZLTOJ,X,O,X,X
SIZLJTO,O,O,X,X
SIZLJOT,O,O,X,X
SIZLOTJ,X,O,X,X
SIZLOJT,O,O,X,X
SIZJTLO,X,X,X,X
SIZJTOL,O,X,X,X
SIZJLTO,X,X,X,X
SIZJLOT,X,X,X,X
SIZJOTL,O,X,X,X
SIZJOLT,X,X,X,X
SIZOTLJ,X,O,X,O
SIZOTJL,X,X,X,O
SIZOLTJ,X,O,X,X
SIZOLJT,O,O,X,X
SIZOJTL,O,X,X,X
SIZOJLT,X,X,X,X
SIOTLJZ,O,X,X,X
SIOTLZJ,X,X,X,O
SIOTJLZ,O,X,X,X
SIOTJZL,O,X,X,X
SIOTZLJ,X,X,X,O
SIOTZJL,X,X,X,O
SIOLTJZ,O,X,X,X
SIOLTZJ,X,X,X,O
SIOLJTZ,O,X,O,X
SIOLJZT,O,O,O,X
SIOLZTJ,X,O,X,O
SIOLZJT,O,O,X,X
SIOJTLZ,O,X,X,X
SIOJTZL,O,X,O,X
SIOJLTZ,O,X,X,X
SIOJLZT,O,X,X,X
SIOJZTL,O,X,O,X
SIOJZLT,X,X,X,X
SIOZTLJ,X,O,X,O
SIOZTJL,X,X,X,O
SIOZLTJ,X,O,X,X
SIOZLJT,O,O,X,X
SIOZJTL,O,X,X,X
SIOZJLT,X,X,X,X
SLTIJZO,O,X,X,X
SLTIJOZ,O,X,X,X
SLTIZJO,X,X,X,X
SLTIZOJ,X,X,X,O
SLTIOJZ,O,X,X,X
SLTIOZJ,X,X,X,O
SLTJIZO,O,X,X,X
SLTJIOZ,O,X,X,X
SLTJZIO,O,X,X,X
SLTJZOI,O,X,X,X
SLTJOIZ,O,X,X,X
SLTJOZI,O,X,X,X
SLTZIJO,X,X,X,X
SLTZIOJ,X,X,X,O
SLTZJIO,X,X,X,X
SLTZJOI,X,X,X,X
SLTZOIJ,X,X,X,O
SLTZOJI,X,X,X,X
SLTOIJZ,O,X,X,X
SLTOIZJ,X,X,X,O
SLTOJIZ,O,X,X,X
SLTOJZI,O,X,X,X
SLTOZIJ,X,X,X,O
SLTOZJI,X,X,X,X
SLITJZO,O,X,X,X
SLITJOZ,O,X,X,X
SLITZJO,X,X,X,X
SLITZOJ,X,X,X,O
SLITOJZ,O,X,X,X
SLITOZJ,X,X,X,O
SLIJTZO,O,X,O,X
SLIJTOZ,O,X,O,X
SLIJZTO,O,O,O,X
SLIJZOT,O,O,O,X
SLIJOTZ,O,X,O,X
SLIJOZT,O,O,O,X
SLIZTJO,X,O,X,X
SLIZTOJ,X,O,X,O
SLIZJTO,O,O,X,X
SLIZJOT,O,O,X,X
SLIZOTJ,X,O,X,O
SLIZOJT,O,O,X,X
SLIOTJZ,O,X,X,X
SLIOTZJ,X,X,X,O
SLIOJTZ,O,X,O,X
SLIOJZT,O,O,O,X
SLIOZTJ,X,O,X,O
SLIOZJT,O,O,X,X
SLJTIZO,O,X,O,X
SLJTIOZ,O,X,O,X
SLJTZIO,O,X,O,X
SLJTZOI,O,X,O,X
SLJTOIZ,O,X,O,X
SLJTOZI,O,X,O,X
SLJITZO,O,X,O,X
SLJITOZ,O,X,O,X
SLJIZTO,O,O,O,X
SLJIZOT,O,O,O,X
SLJIOTZ,O,X,O,X
SLJIOZT,O,O,O,X
SLJZTIO,O,O,O,X
SLJZTOI,O,O,O,X
SLJZITO,O,O,O,X
SLJZIOT,O,O,O,X
SLJZOTI,O,O,O,X
SLJZOIT,O,O,O,X
SLJOTIZ,O,X,O,X
SLJOTZI,O,X,O,X
SLJOITZ,O,X,O,X
SLJOIZT,O,O,O,X
SLJOZTI,O,O,O,X
SLJOZIT,O,O,O,X
SLZTIJO,X,O,X,X
SLZTIOJ,X,O,X,O
SLZTJIO,X,O,X,X
SLZTJOI,X,O,X,X
SLZTOIJ,X,O,X,O
SLZTOJI,X,O,X,X
SLZITJO,X,O,X,X
SLZITOJ,X,O,X,O
SLZIJTO,O,O,X,X
SLZIJOT,O,O,X,X
SLZIOTJ,X,O,X,O
SLZIOJT,O,O,X,X
SLZJTIO,O,O,X,X
SLZJTOI,O,O,X,X
SLZJITO,O,O,X,X
SLZJIOT,O,O,X,X
SLZJOTI,O,O,X,X
SLZJOIT,O,O,X,X
SLZOTIJ,X,O,X,O
SLZOTJI,X,O,X,X
SLZOITJ,X,O,X,O
SLZOIJT,O,O,X,X
SLZOJTI,O,O,X,X
SLZOJIT,O,O,X,X
SLOTIJZ,O,X,X,X
SLOTIZJ,X,X,X,O
SLOTJIZ,O,X,X,X
SLOTJZI,O,X,X,X
SLOTZIJ,X,X,X,O
SLOTZJI,X,X,X,X
SLOITJZ,O,X,X,X
SLOITZJ,X,X,X,O
SLOIJTZ,O,X,O,X
SLOIJZT,O,O,O,X
SLOIZTJ,X,O,X,O
SLOIZJT,O,O,X,X
SLOJTIZ,O,X,O,X
SLOJTZI,O,X,O,X
SLOJITZ,O,X,O,X
SLOJIZT,O,O,O,X
SLOJZTI,O,O,O,X
SLOJZIT,O,O,O,X
SLOZTIJ,X,O,X,O
SLOZTJI,X,O,X,X
SLOZITJ,X,O,X,O
SLOZIJT,O,O,X,X
SLOZJTI,O,O,X,X
SLOZJIT,O,O,X,X
SJTILZO,X,X,X,X
SJTILOZ,O,X,X,X
SJTIZLO,X,X,X,X
SJTIZOL,O,X,O,X
SJTIOLZ,O,X,X,X
SJTIOZL,O,X,O,X
SJTLIZO,X,X,X,X
SJTLIOZ,O,X,X,X
SJTLZIO,X,X,X,X
SJTLZOI,X,X,X,X
SJTLOIZ,O,X,X,X
SJTLOZI,X,X,X,X
SJTZILO,X,X,X,X
SJTZIOL,O,X,O,X
SJTZLIO,X,X,X,X
SJTZLOI,X,X,X,X
SJTZOIL,O,X,O,X
SJTZOLI,X,X,X,X
SJTOILZ,O,X,X,X
SJTOIZL,O,X,O,X
SJTOLIZ,O,X,X,X
SJTOLZI,X,X,X,X
SJTOZIL,O,X,O,X
SJTOZLI,X,X,X,X
SJITLZO,X,X,X,X
SJITLOZ,O,X,X,X
SJITZLO,X,X,X,X
SJITZOL,O,X,O,X
SJITOLZ,O,X,X,X
SJITOZL,O,X,O,X
SJILTZO,O,X,X,X
SJILTOZ,O,X,X,X
SJILZTO,O,X,X,X
SJILZOT,O,X,X,X
SJILOTZ,O,X,X,X
SJILOZT,O,X,X,X
SJIZTLO,X,X,X,X
SJIZTOL,O,X,O,X
SJIZLTO,X,X,X,X
SJIZLOT,X,X,X,X
SJIZOTL,O,X,O,X
SJIZOLT,X,X,X,X
SJIOTLZ,O,X,X,X
SJIOTZL,O,X,O,X
SJIOLTZ,O,X,X,X
SJIOLZT,O,X,X,X
SJIOZTL,O,X,O,X
SJIOZLT,X,X,X,X
SJLTIZO,O,X,X,X
SJLTIOZ,O,X,X,X
SJLTZIO,O,X,X,X
SJLTZOI,O,X,X,X
SJLTOIZ,O,X,X,X
SJLTOZI,O,X,X,X
SJLITZO,O,X,X,X
SJLITOZ,O,X,X,X
SJLIZTO,O,X,X,X
SJLIZOT,O,X,X,X
SJLIOTZ,O,X,X,X
SJLIOZT,O,X,X,X
SJLZTIO,O,X,X,X
SJLZTOI,O,X,X,X
SJLZITO,O,X,X,X
SJLZIOT,O,X,X,X
SJLZOTI,O,X,X,X
SJLZOIT,O,X,X,X
SJLOTIZ,O,X,X,X
SJLOTZI,O,X,X,X
SJLOITZ,O,X,X,X
SJLOIZT,O,X,X,X
SJLOZTI,O,X,X,X
SJLOZIT,O,X,X,X
SJZTILO,X,X,X,X
SJZTIOL,O,X,O,X
SJZTLIO,X,X,X,X
SJZTLOI,X,X,X,X
SJZTOIL,O,X,O,X
SJZTOLI,X,X,X,X
SJZITLO,X,X,X,X
SJZITOL,O,X,O,X
SJZILTO,X,X,X,X
SJZILOT,X,X,X,X
SJZIOTL,O,X,O,X
SJZIOLT,X,X,X,X
SJZLTIO,X,X,X,X
SJZLTOI,X,X,X,X
SJZLITO,X,X,X,X
SJZLIOT,X,X,X,X
SJZLOTI,X,X,X,X
SJZLOIT,X,X,X,X
SJZOTIL,O,X,O,X
SJZOTLI,X,X,X,X
SJZOITL,O,X,O,X
SJZOILT,X,X,X,X
SJZOLTI,X,X,X,X
SJZOLIT,X,X,X,X
SJOTILZ,O,X,X,X
SJOTIZL,O,X,O,X
SJOTLIZ,O,X,X,X
SJOTLZI,X,X,X,X
SJOTZIL,O,X,O,X
SJOTZLI,X,X,X,X
SJOITLZ,O,X,X,X
SJOITZL,O,X,O,X
SJOILTZ,O,X,X,X
SJOILZT,O,X,X,X
SJOIZTL,O,X,O,X
SJOIZLT,X,X,X,X
SJOLTIZ,O,X,X,X
SJOLTZI,O,X,X,X
SJOLITZ,O,X,X,X
SJOLIZT,O,X,X,X
SJOLZTI,O,X,X,X
SJOLZIT,O,X,X,X
SJOZTIL,O,X,O,X
SJOZTLI,X,X,X,X
SJOZITL,O,X,O,X
SJOZILT,X,X,X,X
SJOZLTI,X,X,X,X
SJOZLIT,X,X,X,X
SZTILJO,X,O,X,X
SZTILOJ,X,O,X,X
SZTIJLO,X,X,X,X
SZTIJOL,X,X,X,X
SZTIOLJ,X,O,X,O
SZTIOJL,X,X,X,O
SZTLIJO,X,O,X,X
SZTLIOJ,X,O,X,X
SZTLJIO,X,O,X,X
SZTLJOI,X,O,X,X
SZTLOIJ,X,O,X,X
SZTLOJI,X,O,X,X
SZTJILO,X,X,X,X
SZTJIOL,X,X,X,X
SZTJLIO,X,X,X,X
SZTJLOI,X,X,X,X
SZTJOIL,X,X,X,X
SZTJOLI,X,X,X,X
SZTOILJ,X,O,X,O
SZTOIJL,X,X,X,O
SZTOLIJ,X,O,X,X
SZTOLJI,X,O,X,X
SZTOJIL,X,X,X,X
SZTOJLI,X,X,X,X
SZITLJO,X,O,X,X
SZITLOJ,X,O,X,X
SZITJLO,X,X,X,X
SZITJOL,X,X,X,X
SZITOLJ,X,O,X,O
SZITOJL,X,X,X,O
SZILTJO,X,O,X,X
SZILTOJ,X,O,X,X
SZILJTO,O,O,X,X
SZILJOT,O,O,X,X
SZILOTJ,X,O,X,X
SZILOJT,O,O,X,X
SZIJTLO,X,X,X,X
SZIJTOL,O,X,X,X
SZIJLTO,X,X,X,X
SZIJLOT,X,X,X,X
SZIJOTL,O,X,X,X
SZIJOLT,X,X,X,X
SZIOTLJ,X,O,X,O
SZIOTJL,X,X,X,O
SZIOLTJ,X,O,X,X
SZIOLJT,O,O,X,X
SZIOJTL,O,X,X,X
SZIOJLT,X,X,X,X
SZLTIJO,X,O,X,X
SZLTIOJ,X,O,X,X
SZLTJIO,X,O,X,X
SZLTJOI,X,O,X,X
SZLTOIJ,X,O,X,X
SZLTOJI,X,O,X,X
SZLITJO,X,O,X,X
SZLITOJ,X,O,X,X
SZLIJTO,O,O,X,X
SZLIJOT,O,O,X,X
SZLIOTJ,X,O,X,X
SZLIOJT,O,O,X,X
SZLJTIO,O,O,X,X
SZLJTOI,O,O,X,X
SZLJITO,O,O,X,X
