sequence,v115@QhA8BeC8CeB8BeD8BeB8JeZEJvhFSlB/mBUiBFjBup?BTsB,v115@QhA8BeC8CeB8BeD8BeB8Je2EJvhFRgBSmB/nBFjBTp?BUsB,v115@QhA8BeC8CeB8BeD8BeB8Jei/IvhFGhB/nBFjBRlBTp?BUsB
ITZSJLO,O,X,O
ITZSJOL,X,X,O
ITZSOLJ,O,X,O
ITZSOJL,X,X,O
ITZOLJS,X,X,X
ITZOLSJ,O,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,O,X,X
ITZOSJL,O,X,X
ITOLJSZ,O,X,X
ITOLJZS,X,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,X,X,X
ITOLZSJ,O,X,X
ITOJLSZ,O,X,X
ITOJLZS,X,X,X
ITOJSLZ,O,X,X
ITOJSZL,O,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,O,X,X
ITOSLZJ,O,X,X
ITOSJLZ,O,X,X
ITOSJZL,O,X,X
ITOSZLJ,O,X,X
ITOSZJL,O,X,X
ITOZLJS,X,X,X
ITOZLSJ,O,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,O,X,X
ITOZSJL,O,X,X
ILTJSZO,O,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,O,O
ILTJZOS,X,X,X
ILTJOSZ,O,X,X
ILTJOZS,X,X,X
ILTSJZO,O,X,X
ILTSJOZ,X,X,X
ILTSZJO,O,X,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,X,O,O
ILTZJOS,X,X,X
ILTZSJO,O,O,O
ILTZSOJ,O,O,O
ILTZOJS,X,X,X
ILTZOSJ,O,X,X
ILTOJSZ,O,X,X
ILTOJZS,X,X,X
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,X,X,X
ILTOZSJ,O,X,X
ILJTSZO,O,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,O,O
ILJTZOS,X,X,X
ILJTOSZ,O,X,X
ILJTOZS,X,X,X
ILJSTZO,O,X,X
ILJSTOZ,X,X,X
ILJSZTO,O,O,O
ILJSZOT,X,O,O
ILJSOTZ,O,X,X
ILJSOZT,O,X,X
ILJZTSO,X,O,O
ILJZTOS,X,X,X
